DesiredFlux,1,HitTime,1714476621.5886972,DesiredPos,0.56110215187072754  0.2900652289390564 0.22049176692962646
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714476621.015228,-0.48471665700802241   1.1329913190451986 0.020281443129413601  -1.2810503057339657  -1.9585623180914653  -1.8895855177086793 -0.90837758293115312,-3.7414310997127796e-06  7.7429333873206825e-07 -3.3025759845364542e-05   0.0024125776189507253 -7.9803068507776107e-07  -1.396945175603881e-05  7.2580841591043755e-06, 0.36563592529296873   65.197455928802484  -1.9544322967529297  -16.260524559020997  -1.1348032569885254   1.8379704933166503 -0.23796494674682617, 0.12796091056584113  -1.4253808043527365  0.16758582911509495 -0.83052047204670321 0.085838623552522683 -0.32534623875397906  0.47817185722438332,  0.55472666025161743 -0.054925408214330673   0.21355582773685455, -0.70299059152603149 -0.010660114698112011 0.0039308471605181694   0.71110838651657104,  0.0006208395934663713 -0.00034054866409860551  0.00036260901833884418,0.0037042624317109585    1.0918294191360474 0.0040279827080667019,   0.2465132474899292  0.029761899262666702  0.065687887370586395  0.029761899262666702   0.22960756719112396 -0.023825805634260178  0.065687887370586395 -0.023825805634260178   0.18849071860313416,   -1.1290902095781874   -0.42114021024097781    -1.1960377849380421    0.75772704915433309    0.53224857142541993   0.037033840869504786 1.6184968920640586e-05,0.00072863069362938404
IIWA_7,1714476621.0202584,-0.48471659701232933   1.1329913190451986 0.020281203364807609  -1.2810369433841293  -1.9585625097286172  -1.8895856374818991 -0.90837740316224014,-5.9331715656065521e-07  6.1943467098565469e-07 -3.6011192115979807e-05   0.0024645560886165339 -8.3039106250642239e-06 -1.5966490196295972e-05  1.2997223846398883e-05, 0.36429167556762693    65.18670193099976  -1.9561930465698243  -16.258763809204101  -1.1304013824462891    1.840306755065918 -0.23729744338989259, 0.12871017898779116  -1.4231577695714983  0.16756799148094953  -0.8328527964252137 0.084905371959196077 -0.32592224099186456  0.47886772804182537,   0.5547301173210144 -0.054927371442317963   0.21355786919593811, -0.70299279689788818 -0.010664039291441441 0.0039266389794647694   0.71110618114471436, 0.00063471926841884851 -0.00035086815478280187  0.00037191229057498276,0.0037008340004831553    1.0918292999267578 0.0040252129547297955,  0.2465118020772934 0.029762454330921173 0.065688490867614746 0.029762454330921173  0.22960703074932098 -0.02382577583193779 0.065688490867614746 -0.02382577583193779  0.18849225342273712,   -1.1291166430567046   -0.42114167994089513    -1.1960516958087197     0.7577442467407991    0.53225254896727137   0.037024859288692369 1.6183276940751057e-05,0.00074648420559242368
IIWA_7,1714476621.0251923,-0.48471665700802241   1.1329913190451986 0.020281023595894652   -1.281023760694123  -1.9585625097286172  -1.8895856374818991 -0.90837740316224014, -2.874481448458093e-06  4.9554773678852373e-07 -3.5999710211066557e-05   0.0024989524711442196 -6.6431285000513798e-06 -1.2773192157036778e-05  1.0397779077119107e-05, 0.36966867446899415    65.16384968566895  -1.9561930465698243   -16.26844793319702  -1.1321621322631836   1.8396392517089843 -0.23696369171142578,  32.960965492523997   3.2073721643157738   11.607220739460338  -7.7292870045392279   4.2111143809052525  -1.7140260132208407 -0.78839751671919278,  0.55473357439041138 -0.054929289966821671   0.21355989575386047, -0.70299506187438965 -0.010668104514479637  0.003922593779861927   0.71110385656356812,  0.0006468825158663094 -0.00035743298940360546  0.00037887500366196036,0.0036972539965063334    1.0918292999267578 0.0040222671814262867,  0.24651032686233521  0.029763035476207733  0.065689116716384888  0.029763035476207733   0.22960649430751801 -0.023825732991099358  0.065689116716384888 -0.023825732991099358   0.18849381804466248,   -1.1291439729674835    -0.4211428064149203    -1.1960655305145451    0.75776158902662871     0.5322571782579999   0.037016606710515987 1.6181676443238757e-05,0.00076065800385549664
IIWA_7,1714476621.0302315,-0.48471677678124231   1.1329913190451986 0.020280783940371739  -1.2810112970797682  -1.9585625097286172  -1.8895858172508122 -0.90837740316224014,-7.0905139546722881e-06  3.9643818943081903e-07 -3.8385989085366425e-05   0.0024977065511076701 -5.3145028000411045e-06 -1.7409310249185699e-05  8.3182232616952868e-06, 0.36025892639160156   65.135620441436771  -1.9500304222106932  -16.271969432830812     -1.1268798828125   1.8349667282104491 -0.23863245010375977,  32.961219548618445   3.2085373201526495   11.607114502731061  -7.7304011342291421   4.2108937267805011  -1.7143898190692837 -0.78772211282860449,  0.55473709106445312 -0.054931227117776871   0.21356192231178284, -0.70299726724624634 -0.010672097094357014 0.0039184014312922955   0.71110165119171143, 0.00065663142595440149 -0.00036349424044601619  0.00038396392483264208, 0.003697253530845046    1.0918290615081787 0.0040222667157649994,  0.24650886654853821  0.029763592407107353  0.065689735114574432  0.029763592407107353   0.22960594296455383 -0.023825693875551224  0.065689735114574432 -0.023825693875551224   0.18849536776542664,   -1.1291703673244058   -0.42114408861859687    -1.1960790228426887    0.75777886490424606    0.53226129198069572   0.037007852212056491 1.6180025319556535e-05,0.0007721286965534091
IIWA_7,1714476621.0351877,-0.48468933289683469   1.1330009663526388 0.020310025513908887  -1.2810266368876471  -1.9585511966789386  -1.8896015765922101 -0.90839130481881536,  0.0010920829651410054  0.00038620944816120258   0.0011389541502176118   0.0013845729257332363  0.00044827038490426137 -0.00064430110411368882 -0.00054941168439950243, 0.14652322006225585   64.950113979339605   -2.406944999694824   -15.93742696762085  -1.2985529899597168   1.9003820571899415 -0.20492353057861329,  32.961440073261556   3.2091200065382437   11.607158727992228   -7.730971595949879   4.2109376661801381  -1.7146357385600051 -0.78716163329857713,    0.554740309715271 -0.054933119565248489   0.21356384456157684, -0.70299935340881348 -0.010675868950784206 0.0039144549518823624   0.71109956502914429, 0.00065545469988137484 -0.00036648611421696842  0.00038439591298811138,0.0036935559473931789    1.0918290615081787 0.0040192408487200737,  0.24650749564170837  0.029764128848910332  0.065690316259860992  0.029764128848910332   0.22960542142391205 -0.023825669661164284  0.065690316259860992 -0.023825669661164284   0.18849684298038483,  -1.1291958405177382  -0.42114561389983152   -1.1960924270884021   0.75779550470311818    0.5322653100643393  0.036999694910555547 1.617849854085307e-05,0.00077265658183023334
IIWA_7,1714476621.0402312,-0.48426766800362064   1.1330801820477314 0.020726357444510395  -1.2812024455394466  -1.9584028798208346  -1.8897621052136575 -0.90850587401231941,  0.017740262100674666  0.0034775953622335999   0.017564440544234408 -0.0059246877313957422  0.0062912906320839674 -0.0069365857411886386 -0.0050222970876817987, -8.1353993377685541   61.787094375610351  -7.7789926910400391  -12.812096042633057  -1.4508578491210937   2.3058903465270997 -0.31239157104492188,  32.929935784881643    3.201263074842787     11.5823559903444  -7.7163789260912763   4.2121099140664029  -1.7011605453564254 -0.78702536614935648,  0.55473858118057251 -0.054905395954847336   0.21356642246246338, -0.70297986268997192 -0.010693075135350227 0.0039263158105313778   0.71111851930618286,0.00045547159970737994 0.00081571034388616681   0.000410629523685202,0.0036898662801831961     1.091828465461731 0.0040162312798202038,  0.24650663137435913   0.02976292185485363  0.065691672265529633   0.02976292185485363   0.22960944473743439 -0.023822300136089325  0.065691672265529633 -0.023822300136089325   0.18849407136440277,   -1.1291104207522551   -0.42104977461754345    -1.1959321420729196    0.75770608170167009    0.53229357317974291   0.037137489497851561 1.6207676978297059e-05,0.00093467283295467496
IIWA_7,1714476621.0452313,-0.48343248737763628    1.133070714509204 0.021317719064649687  -1.2815797688158508  -1.9576066480497043  -1.8903362095635685 -0.90883400212942977,  0.04106026383305398 0.0019370813119899716  0.032600008866221997 -0.017982559169263782  0.033672133497036023 -0.025598284869719826  -0.01536483700013707,  -17.898685092926026    62.066698318481443    -11.06279109954834   -13.096457138061524   -1.9024901771545411    2.3486105613708497 -0.035043926239013673,    32.4926221693648   3.2083922821392186   11.215610905281252   -7.611703897057267   4.1863200804148386  -1.5338095173525905 -0.77042903513905958,  0.55474042892456055 -0.054502673447132111   0.21362656354904175,   -0.702739417552948 -0.010939083062112331 0.0040951189585030079   0.71135145425796509,0.00043122252100147307   0.016759887337684631  0.0027352313045412302,0.0036826841533184052    1.0918287038803101 0.0040103709325194359,  0.24648071825504303   0.02974780835211277  0.065716184675693512   0.02974780835211277   0.22966574132442474 -0.023770149797201157  0.065716184675693512 -0.023770149797201157   0.18846851587295532,   -1.1279827592494129   -0.41959155467807818    -1.1936184928877935     0.7563871313198689     0.5326986780751497    0.03899940899021459 1.6590178120168275e-05,0.0155578488484025
IIWA_7,1714476621.050231,-0.48343248737763628    1.133070714509204 0.021317719064649687  -1.2815797688158508  -1.9576066480497043  -1.8903362095635685 -0.90883400212942977,  0.04106026383305398 0.0019370813119899716  0.032600008866221997 -0.017982559169263782  0.033672133497036023 -0.025598284869719826  -0.01536483700013707,  -17.898685092926026    62.066698318481443    -11.06279109954834   -13.096457138061524   -1.9024901771545411    2.3486105613708497 -0.035043926239013673,   32.16311200434258   3.3315013226320378   10.916850772119428  -7.6008599386344855   4.1036951842104337  -1.3730522138180903 -0.73217899624049421,  0.55477362871170044 -0.054135061800479889   0.21374779939651489, -0.70251637697219849 -0.011204996146261692 0.0041954913176596165    0.7115669846534729,0.0016589353326708078  0.028108919039368629 0.0070399814285337925,0.003682765644043684   1.0918529033660889 0.004010460339486599,  0.24644845724105835  0.029744485393166542  0.065742611885070801  0.029744485393166542   0.22970832884311676 -0.023726239800453186  0.065742611885070801 -0.023726239800453186    0.1884605884552002,    -1.127437290709743   -0.41829804003423732    -1.1919664434527633    0.75528259156865118    0.53311872623940104   0.040660908545042673 1.6936595237382335e-05,0.026582099497318268
IIWA_7,1714476621.055192,-0.48314384733485222   1.1330642430465039 0.021693604189750089  -1.2819853149389242  -1.9568665980781297  -1.8907953251864564 -0.90910820120889979, 0.044393812777805616 0.0012908065415854232  0.041115412096993667 -0.030607892258347792  0.056539705660613573 -0.038843252811292577 -0.023259832778910323, -17.702424633026123   62.111058559417728  -9.1946355438232423    -12.2988374710083  -1.2906296157836914    1.989827507019043 -0.14618323516845702,  31.943079034414268   3.4438537775960807    10.64152137569088   -7.572289559548155   3.9791185387897747  -1.1866750698421467 -0.69439245175019282,  0.55478578805923462 -0.053789835423231125     0.213897705078125, -0.70217543840408325 -0.011411130428314209  0.004221831914037466   0.71189999580383301,0.0017952861962839961  0.036286279559135437  0.011631021276116371,0.0036624753847718239    1.0918700695037842 0.0039523313753306866,  0.24644508957862854  0.029730429872870445  0.065764144062995911  0.029730429872870445   0.22974632680416107 -0.023692265152931213  0.065764144062995911 -0.023692265152931213   0.18843312561511993,   -1.1265312893229407   -0.41727010243874929    -1.1904469059320633     0.7542986927191464    0.53326902365924411   0.042236171972298564 1.7304031985077017e-05,0.034936446696519852
IIWA_7,1714476621.0601895,-0.4828592818722901  1.1330653815465914 0.02225069092495564 -1.2824917683635324 -1.9558746878452473  -1.891455895656422 -0.9095028417512252, 0.046897668724729058 0.0010781852367698816  0.055175799085816976 -0.044744450791006224  0.084908173843785462 -0.057497421047657801 -0.034393487916144598, -14.473536792755127    61.56932592010498  -10.331199550628662  -12.215201854705811  -1.7889218139648437   2.3282517089843751 -0.16821084594726562,  31.793687384691975   3.5757404975394311   10.351768850429576  -7.5409972959070259   3.8134631969471697 -0.97027699427823122 -0.65389836936610679,  0.55478388071060181 -0.053448405116796494   0.21409350633621216, -0.70171517133712769 -0.011581417173147202 0.0041790571995079517   0.71235120296478271,0.0013396188151091337  0.042664706707000732  0.017142331227660179,0.0035948373842984438    1.0918707847595215 0.0038308249786496162,  0.24646158516407013  0.029705610126256943  0.065784953534603119  0.029705610126256943    0.2297833263874054 -0.023663189262151718  0.065784953534603119 -0.023663189262151718   0.18839125335216522,   -1.1265312893229407   -0.41727010243874929    -1.1904469059320633     0.7542986927191464    0.53326902365924411   0.042236171972298564 1.7304031985077017e-05,0.042127203196287155
