DesiredFlux,1,HitTime,1714476683.0037038,DesiredPos,0.56097143888473511 0.29066494107246399  0.2203279435634613
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714476682.4529335,-0.48514425416628087   1.0418455361336036 0.014348233098256247  -1.3654544826837844  -1.9497065511517007  -1.8195672642423135 -0.90462394388779399,-0.00028070101672952321   0.0005125821266735173 -0.00053264541600772522   0.0020987704457794704  9.0760303697795494e-06  6.3057471504459397e-06   0.0001227871439657728, 0.57265038299560544   63.263080574035648  -1.6859179496765135  -16.458608913421632   -1.156812629699707   1.8075990905761719 -0.26232881927490237, -0.42644677430938138    5.3878954562632133  -0.32141703439169367   -0.7233038850652197   0.14607299475438346 0.0024907729502622739    0.6053054841958716,   0.5524865984916687 -0.050411246716976166   0.23426124453544617, -0.72326356172561646 0.0069304956123232841 -0.015249026007950306    0.6903688907623291,  0.0004687492037191987 -0.00072443741373717785 -7.6515942055266351e-05,0.0093396622687578201    1.0919421911239624 -0.015327868051826954,  0.24588599801063538  0.026883816346526146  0.065694756805896759  0.026883816346526146   0.23022317886352539 -0.022602861747145653  0.065694756805896759 -0.022602861747145653   0.19167466461658478,    -1.0144896367689782    -0.39844079755280148     -1.1551106777263342     0.62839770456157851     0.44087241277157574    -0.10685983296987445 -1.7052882661516833e-05,0.00079320493387058377
IIWA_7,1714476682.4579084,-0.48514437393950083   1.0418469742849075 0.014346854942645641   -1.365445254909863  -1.9497067427888526  -1.8195672642423135 -0.90462364434566112,-0.00022935174218174483  0.00046759175349173694 -0.00048124255723041198   0.0020481273134806757 -4.0466178117837484e-07  5.0445977203567518e-06  0.00011021140048763945, 0.57937163162231442   63.238884078979495  -1.6665497016906738    -16.4524462890625  -1.1585733795166016   1.8059303321838378 -0.26032630920410155, 35.277902554090581  4.6064512723513245  15.850778992532216 -9.5159327237270919  3.9465473246412461 -6.1642821079112462 -0.6354445700036675,  0.55248898267745972 -0.050413616001605988   0.23426169157028198, -0.72326546907424927 0.0069288485683500767 -0.015251912176609039   0.69036692380905151, 0.00047079758951440454 -0.00067432387731969357 -4.3270803871564567e-05,0.0093370042741298676    1.0919420719146729 -0.015325582586228848,  0.24588531255722046  0.026884213089942932  0.065694987773895264  0.026884213089942932   0.23022271692752838 -0.022603007033467293  0.065694987773895264 -0.022603007033467293   0.19167560338973999,    -1.0145085648423091    -0.39844511570397145     -1.1551262166253906     0.62841075153130532     0.44087409641146991     -0.1068701943305328 -1.7055366008378314e-05,0.00075410556746646762
IIWA_7,1714476682.4629111,-0.48511609120622151   1.0418466746336914 0.014376815482751533  -1.3654653883736156  -1.9496961966368473  -1.8196434838615789 -0.90463604796432273, 0.00094782793742727376  0.00036208735415089126  0.00081342755845132308   0.0008331633006795347  0.00042152235078473304  -0.0030447490924399231 -0.00040797562607453248, 0.40461916732788084   63.271146072387694  -2.1393110275268556  -16.119664573669432  -1.3240838623046876   2.0849467353820801 -0.23662994003295898, 35.276733839488855  4.6082626670934443  15.849485979584154 -9.5168261304475745  3.9462137772213706 -6.1640851137987624 -0.6348927147946406,  0.55249160528182983 -0.050415746867656708   0.23426239192485809,  -0.7232673168182373 0.0069269374944269657 -0.015254891477525234   0.69036489725112915, 0.00048023476847447455 -0.00062470103148370981 -6.8830181589873973e-06, 0.009334104135632515    1.0919419527053833 -0.015323799103498459,  0.24588453769683838  0.026884611696004868  0.065695270895957947  0.026884611696004868   0.23022228479385376 -0.022603103891015053  0.065695270895957947 -0.022603103891015053   0.19167660176753998,   -1.0145274569737239   -0.39844826735624395    -1.1551404076941552    0.62842319412848013    0.44087599662301358   -0.10688002595760082 -1.705777918914464e-05,0.00072154146619141102
IIWA_7,1714476682.4679396,-0.48467363355112997   1.0418418210912077 0.014851390795821345  -1.3657146003377663  -1.9495702185969055  -1.8203818918710266 -0.90473126265633608,  0.018456568553603569 9.5528183972874584e-05   0.019633754569553571 -0.0093019479254811584  0.0053763394783019544  -0.031972119651859483 -0.0041349681813934516,  -8.163628582000733   61.945715843200681  -8.8002275848388667  -11.822554645538331  -1.1295210075378417   3.5381015434265137 -0.48460743713378907, 35.275545539408256  4.6093050414251122  15.848292046611945 -9.5170752184218976  3.9462389199968881 -6.1638084852455473 -0.6345228517656164,   0.5524938702583313 -0.050417572259902954   0.23426292836666107, -0.72326886653900146 0.0069251167587935925 -0.015257358551025391   0.69036322832107544, 0.00047478871420025826 -0.00057274132268503308  1.5986746802809648e-05,0.0093309506773948669    1.0919418334960938 -0.015322733670473099,  0.24588382244110107  0.026884967461228371  0.065695531666278839  0.026884967461228371   0.23022191226482391 -0.022603169083595276  0.065695531666278839 -0.022603169083595276   0.19167748093605042,    -1.0145440645983328    -0.39845068888944013     -1.1551520702335338     0.62843419710301163     0.44087819261040551    -0.10688774171718762 -1.7059764267912669e-05,0.00068137195194140077
IIWA_7,1714476682.4729099,-0.48421218104145664   1.0418209085561103 0.015286597916867782  -1.3658804020352164  -1.9493467366911035  -1.8216653424257607  -0.9047978949638541,   0.033223355229816148 -0.00076007885671749553    0.033115288497500325   -0.014073626238391892    0.013240347814722137   -0.076915717910852041  -0.0059732668458356399, -16.875711051940918   61.023560531616212  -12.695886554718017  -12.566471443176269   -1.620770206451416   2.6990498237609861 -0.16287081909179688,  35.233984343985071   4.6212586772691759   15.805445829370797  -9.5000077747553906   3.9444239152153147  -6.1267965724524061 -0.63319913119229376,  0.55248260498046875 -0.050387285649776459   0.23428036272525787, -0.72323548793792725 0.0068920762278139591 -0.015231451950967312   0.69039911031723022,-6.9131725467741489e-05  0.00075323670171201229  0.00071054510772228241, 0.009327729232609272    1.0919414758682251 -0.015322239138185978,  0.24588242173194885  0.026887413114309311   0.06569632887840271  0.026887413114309311   0.23022526502609253 -0.022601010277867317   0.06569632887840271 -0.022601010277867317   0.19167518615722656,   -1.0146067271135095   -0.39838058207930516    -1.1551118154056184    0.62838403978826562    0.44098060246522408   -0.10662364242719491 -1.700313223551575e-05,0.0009502836037427187
IIWA_7,1714476682.4779384, -0.4838986736565733   1.0418216875183721  0.01576099346102464  -1.3662307608473419  -1.9489141540434698  -1.8236030118700635 -0.90490976773274689,   0.039118979579186447 -0.00057690459490180245    0.045468052564274559   -0.025273253475730215    0.027895584157125054     -0.1390393521007911  -0.0092535242323803363,   -19.45801477432251    62.572136215209959   -13.820125312805176   -11.273200702667236    -1.776596565246582    3.4917100601196287 -0.011347557067871094,  34.678402083767665   4.7679516658246692   15.256622623820123  -9.3345054798511118   3.9109996675722605  -5.7275379337907122 -0.61397177845719764,  0.55238419771194458 -0.049927007406949997   0.23447853326797485, -0.72285068035125732 0.0064819636754691601 -0.014899430796504021   0.69081318378448486,-0.0040010623633861542   0.019004058092832565  0.0084973732009530067,0.0093243131414055824    1.0919415950775146 -0.015322135761380196, 0.24585124850273132   0.0269046351313591 0.065715968608856201   0.0269046351313591  0.23027931153774261 -0.02255600318312645 0.065715968608856201 -0.02255600318312645  0.19165025651454926,    -1.0147781630047703    -0.39708047289632731     -1.1537437943713869     0.62736253026240973     0.44216184067913389    -0.10337982912922428 -1.6328415064492674e-05,0.019410381093621254
IIWA_7,1714476682.4829438,-0.48370914322619457   1.0418190509803709 0.016374346120655983  -1.3667175001235503  -1.9482693068956696  -1.8262461327078805 -0.90507083566093327,   0.038876400878498196 -0.00056698519597164049    0.060908548436673392   -0.039688173828922521    0.048110353237708861    -0.21695631519331438   -0.013845536513359302, -19.124640842437746    60.85687356567383  -11.061030349731444  -11.871855640411377  -1.2606968688964844   3.0524928512573242 -0.15319202041625976,   34.18193625996669   5.0289676583772662   14.698543580765371  -9.2042892726643863   3.8250580494707438  -5.2206680088321704 -0.58193787821408738,  0.55224615335464478 -0.049476910382509232   0.23480339348316193,  -0.7223246693611145 0.0059544239193201065 -0.014499492011964321    0.6913764476776123,-0.0087435059249401093   0.033170502632856369   0.019796034321188927,0.0093213319778442383    1.0919429063796997  -0.01532191876322031,  0.24581427872180939  0.026954073458909988  0.065734304487705231  0.026954073458909988   0.23032382130622864 -0.022525006905198097  0.065734304487705231 -0.022525006905198097   0.19163331389427185,    -1.0162475395283366     -0.3960474965545302     -1.1535011628192038     0.62680527231862015     0.44385613572295313   -0.099251369863218031 -1.5451366408569811e-05,0.036264684051275253
IIWA_7,1714476682.4879372,-0.48356389441693276   1.0418070068995351 0.017257823170452331  -1.3673647681302894  -1.9473924451018871  -1.8296249051348408 -0.90532747781895895,   0.036911073073270996 -0.00093535139020816662    0.084065920741192651   -0.057641259332701533    0.073562754341464504     -0.3087159492330625   -0.021342115531714532, -15.839294513702393   60.918709053039549  -11.198368835449219  -11.580451545715333  -1.7405011940002442   3.0341365089416503 -0.23629618835449218,  33.785928017563933   5.2990263556088211    14.12327336379111  -9.0013746589602892   3.7033252563826413  -4.5755766581558026 -0.56383364398185298,  0.55199217796325684 -0.049059897661209106   0.23524032533168793, -0.72153633832931519 0.0054067582823336124 -0.014029141515493393   0.69221335649490356,-0.017180716618895531  0.043124191462993622  0.033323537558317184,0.0093483608216047287    1.0919636487960815 -0.015365154482424259, 0.24580979347229004 0.027019737288355827 0.065740346908569336 0.027019737288355827  0.23036141693592072 -0.02251831628382206 0.065740346908569336 -0.02251831628382206  0.19158831238746643,    -1.0183887122225954    -0.39557865254380431     -1.1542700254176808      0.6267649214048987     0.44578819133977987   -0.094172625899169304 -1.4279337712252982e-05,0.052321895956993103
IIWA_7,1714476682.4929521,-0.48336172049420334   1.0418065874750992 0.018330171570668637  -1.3681411661761498  -1.9463191379486795  -1.8336353661051386 -0.90573835701372807,   0.037615815367793626 -0.00076505808960049661     0.11014667260160634   -0.077168929300576533     0.10178248960147707    -0.40739119819836123   -0.033508860216136443, -14.883532958984375   60.183404453277589  -11.349793319702147  -12.044409122467041  -1.6418992042541503   2.9119833946228026 -0.12282061767578124,  33.421082079965679    5.651944859238613   13.444344993729594  -8.7707918732369006   3.5232013353025673  -3.7744257253898832 -0.54175272983420864,  0.55163896083831787 -0.048635974526405334   0.23583845794200897, -0.72045481204986572 0.0047639338299632072 -0.013492435216903687   0.69335424900054932,-0.027908103540539742  0.051267288625240326  0.050603363662958145,0.0096127195283770561    1.0919723510742188 -0.015840437263250351,  0.24582050740718842  0.027104748412966728  0.065742656588554382  0.027104748412966728   0.23039752244949341 -0.022527739405632019  0.065742656588554382 -0.022527739405632019   0.19152551889419556,    -1.0212706044203657    -0.39549390232807013     -1.1558388863575075     0.62718149627016828     0.44808083890579553   -0.087861598285776665 -1.2764894918859682e-05,0.070733442902565002
IIWA_7,1714476682.4979379,-0.48309441241095258   1.0417985579787925 0.019559573314542573  -1.3690900771467664  -1.9450023112881265  -1.8382190924673925 -0.90631605652373193,  0.040784975624265349 -0.0009332263239499348    0.13729340783624253  -0.099691582265127934    0.13409905810330142   -0.50926201304884522  -0.049915068573063534,  -15.015269432067871    59.511279590606691   -11.863932266235352    -11.62623104095459   -1.9817239189147948    2.8068516159057615 -0.029370147705078124,   32.97750962710311    6.116758409891256   12.560954443106038  -8.5126342988337189   3.2777060177316013  -2.7873088504542469 -0.50300574823859279,  0.55119186639785767 -0.048112943768501282    0.2366294264793396, -0.71902871131896973 0.0039409343153238297 -0.012868850491940975   0.69485002756118774,-0.040258530527353287  0.061587460339069366  0.072156257927417755, 0.010020128451287746    1.0919721126556396 -0.016623623669147491,  0.24583393335342407  0.027206376194953918  0.065749697387218475  0.027206376194953918   0.23044522106647491 -0.022539222612977028  0.065749697387218475 -0.022539222612977028   0.19144456088542938,    -1.0246728816101225    -0.39544404449554094     -1.1576475746082338     0.62777872895036779     0.45086101923530464   -0.079871153026545016 -1.0827976737459721e-05,0.094357125461101532
