RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714476639.1892338,0.56172162294387817 0.39140772819519043 0.28038796782493591,-0.0015746892895549536  0.0013751393416896462 -0.0052580046467483044    0.99998396635055542,0.56172162294387817 0.39140772819519043 0.28038796782493591,-0.0015746892895549536  0.0013751393416896462 -0.0052580046467483044    0.99998396635055542
1714476639.1940844, 0.5617067813873291 0.39140099287033081 0.28043144941329956,-0.0015447845216840506  0.0013772228267043829  -0.005270316731184721    0.99998396635055542, 0.5617067813873291 0.39140099287033081 0.28043144941329956,-0.0015447845216840506  0.0013772228267043829  -0.005270316731184721    0.99998396635055542
1714476639.199132,0.56171929836273193 0.39140263199806213 0.28037884831428528,-0.0015549134695902467  0.0014133395161479712  -0.005257562268525362    0.99998396635055542,0.56171929836273193 0.39140263199806213 0.28037884831428528,-0.0015549134695902467  0.0014133395161479712  -0.005257562268525362    0.99998396635055542
1714476639.2041242,0.56172966957092285 0.39139685034751892 0.28039327263832092,-0.0015565879875794053  0.0014203584287315607 -0.0052694282494485378    0.99998390674591064,0.56172966957092285 0.39139685034751892 0.28039327263832092,-0.0015565879875794053  0.0014203584287315607 -0.0052694282494485378    0.99998390674591064
1714476639.2091355,0.56169658899307251 0.39139387011528015 0.28043749928474426,-0.0014925026334822178  0.0013163295807316899 -0.0052747461013495922    0.99998408555984497,0.56169658899307251 0.39139387011528015 0.28043749928474426,-0.0014925026334822178  0.0013163295807316899 -0.0052747461013495922    0.99998408555984497
1714476639.214133,0.56170296669006348  0.3914225697517395 0.28040793538093567,-0.0015493000391870737  0.0013903691433370113 -0.0052523319609463215     0.9999840259552002,0.56170296669006348  0.3914225697517395 0.28040793538093567,-0.0015493000391870737  0.0013903691433370113 -0.0052523319609463215     0.9999840259552002
1714476639.2191594,0.56172013282775879 0.39140218496322632 0.28041419386863708,-0.0015230003045871854  0.0014050505124032497 -0.0051905685104429722    0.99998438358306885,0.56172013282775879 0.39140218496322632 0.28041419386863708,-0.0015230003045871854  0.0014050505124032497 -0.0051905685104429722    0.99998438358306885
1714476639.2241266,0.56168919801712036 0.39147517085075378 0.28038680553436279,-0.0015654168091714382  0.0013836981961503625 -0.0052188122645020485    0.99998420476913452,0.56168919801712036 0.39147517085075378 0.28038680553436279,-0.0015654168091714382  0.0013836981961503625 -0.0052188122645020485    0.99998420476913452
1714476639.2291276, 0.5617106556892395 0.39151883125305176 0.28037932515144348,-0.0014630384976044297  0.0014159298734739423 -0.0051855766214430332     0.9999845027923584, 0.5617106556892395 0.39151883125305176 0.28037932515144348,-0.0014630384976044297  0.0014159298734739423 -0.0051855766214430332     0.9999845027923584
1714476639.2341523,0.56168127059936523 0.39160946011543274 0.28042018413543701,-0.0014926607254892588  0.0013744074385613203 -0.0051377811469137669     0.9999847412109375,0.56168127059936523 0.39160946011543274 0.28042018413543701,-0.0014926607254892588  0.0013744074385613203 -0.0051377811469137669     0.9999847412109375
1714476639.2391248,0.56168574094772339 0.39161744713783264 0.28039586544036865,-0.0014128038892522454  0.0014280179748311639 -0.0050983107648789883     0.9999849796295166,0.56168574094772339 0.39161744713783264 0.28039586544036865,-0.0014128038892522454  0.0014280179748311639 -0.0050983107648789883     0.9999849796295166
1714476639.244156,0.56187498569488525  0.3914429247379303 0.28025144338607788,-0.0011716085718944669  0.0016831230605021119 -0.0052130413241684437    0.99998432397842407,0.56187498569488525  0.3914429247379303 0.28025144338607788,-0.0011716085718944669  0.0016831230605021119 -0.0052130413241684437    0.99998432397842407
1714476639.2491522,0.56188297271728516 0.39144796133041382 0.28025519847869873,-0.0012088983785361052  0.0016587786376476288   -0.00534403370693326    0.99998360872268677,0.56188297271728516 0.39144796133041382 0.28025519847869873,-0.0012088983785361052  0.0016587786376476288   -0.00534403370693326    0.99998360872268677
1714476639.254248,0.56172287464141846 0.39162334799766541   0.280445396900177,-0.0015612991992384195  0.0013502211077138782 -0.0051610087975859642    0.99998456239700317,0.56172287464141846 0.39162334799766541   0.280445396900177,-0.0015612991992384195  0.0013502211077138782 -0.0051610087975859642    0.99998456239700317
1714476639.2591782,0.56172943115234375 0.39163923263549805 0.28042575716972351, -0.001445676083676517  0.0013480499619618058 -0.0052701863460242748    0.99998414516448975,0.56172943115234375 0.39163923263549805 0.28042575716972351, -0.001445676083676517  0.0013480499619618058 -0.0052701863460242748    0.99998414516448975
1714476639.2641764,0.56171464920043945 0.39164641499519348 0.28046566247940063, -0.001450039679184556  0.0013675558147951961 -0.0052216858603060246    0.99998438358306885,0.56171464920043945 0.39164641499519348 0.28046566247940063, -0.001450039679184556  0.0013675558147951961 -0.0052216858603060246    0.99998438358306885
1714476639.2692473,0.56170862913131714 0.39170670509338379 0.28048193454742432,-0.0015800738474354148  0.0013176799984648824  -0.005147675983607769    0.99998462200164795,0.56170862913131714 0.39170670509338379 0.28048193454742432,-0.0015800738474354148  0.0013176799984648824  -0.005147675983607769    0.99998462200164795
1714476639.2741237,0.56183141469955444 0.39155477285385132 0.28034165501594543,-0.0013916564639657736  0.0014712511328980327 -0.0051946705207228661    0.99998444318771362,0.56183141469955444 0.39155477285385132 0.28034165501594543,-0.0013916564639657736  0.0014712511328980327 -0.0051946705207228661    0.99998444318771362
1714476639.2791436,0.56167304515838623 0.39172521233558655 0.28047645092010498,-0.0014910207828506827  0.0013361817691475153 -0.0051448345184326172     0.9999847412109375,0.56167304515838623 0.39172521233558655 0.28047645092010498,-0.0014910207828506827  0.0013361817691475153 -0.0051448345184326172     0.9999847412109375
1714476639.2840798,0.56167495250701904 0.39171609282493591 0.28047281503677368,-0.0015658517368137836  0.0012525600614026189 -0.0050708693452179432    0.99998515844345093,0.56167495250701904 0.39171609282493591 0.28047281503677368,-0.0015658517368137836  0.0012525600614026189 -0.0050708693452179432    0.99998515844345093
1714476639.2892487,0.56168723106384277 0.39170166850090027 0.28046053647994995,-0.0015292393509298563  0.0012876304099336267 -0.0050756847485899925    0.99998509883880615,0.56168723106384277 0.39170166850090027 0.28046053647994995,-0.0015292393509298563  0.0012876304099336267 -0.0050756847485899925    0.99998509883880615
1714476639.294163,0.56167173385620117 0.39168715476989746 0.28048703074455261,-0.0014206074411049485  0.0013487117830663919 -0.0051118126139044762    0.99998503923416138,0.56167173385620117 0.39168715476989746 0.28048703074455261,-0.0014206074411049485  0.0013487117830663919 -0.0051118126139044762    0.99998503923416138
1714476639.299183,0.56167799234390259  0.3916257917881012 0.28048518300056458,-0.0013919234042987227   0.001331975101493299   -0.00513448566198349     0.9999849796295166,0.56167799234390259  0.3916257917881012 0.28048518300056458,-0.0013919234042987227   0.001331975101493299   -0.00513448566198349     0.9999849796295166
1714476639.3041265, 0.5616946816444397 0.39164078235626221 0.28049203753471375,-0.0014714286662638187  0.0012088035000488162 -0.0051439320668578148     0.9999849796295166, 0.5616946816444397 0.39164078235626221 0.28049203753471375,-0.0014714286662638187  0.0012088035000488162 -0.0051439320668578148     0.9999849796295166
1714476639.309128,0.56171661615371704 0.39165690541267395 0.28051316738128662,-0.0014993868535384536  0.0012300239177420735 -0.0051695234142243862     0.9999847412109375,0.56171661615371704 0.39165690541267395 0.28051316738128662,-0.0014993868535384536  0.0012300239177420735 -0.0051695234142243862     0.9999847412109375
1714476639.3142548,0.56172019243240356 0.39171087741851807 0.28050088882446289,-0.0015587023226544261   0.001241092337295413 -0.0051882453262805939    0.99998456239700317,0.56172019243240356 0.39171087741851807 0.28050088882446289,-0.0015587023226544261   0.001241092337295413 -0.0051882453262805939    0.99998456239700317
1714476639.3191848,0.56169974803924561 0.39172086119651794 0.28048175573348999,-0.0016534973401576281  0.0012989011593163013 -0.0052296416833996773    0.99998408555984497,0.56169974803924561 0.39172086119651794 0.28048175573348999,-0.0016534973401576281  0.0012989011593163013 -0.0052296416833996773    0.99998408555984497
1714476639.324177,0.56170779466629028 0.39174699783325195  0.2804790735244751,-0.0017949712928384542  0.0012241947697475553 -0.0052504800260066986    0.99998384714126587,0.56170779466629028 0.39174699783325195  0.2804790735244751,-0.0017949712928384542  0.0012241947697475553 -0.0052504800260066986    0.99998384714126587
1714476639.3292494, 0.5617026686668396 0.39177340269088745 0.28048920631408691,-0.0018316053319722414  0.0011343385558575392 -0.0052236472256481647     0.9999840259552002, 0.5617026686668396 0.39177340269088745 0.28048920631408691,-0.0018316053319722414  0.0011343385558575392 -0.0052236472256481647     0.9999840259552002
1714476639.3341522,0.56168550252914429 0.39175084233283997 0.28050398826599121,-0.0017415899783372879  0.0012041422305628657 -0.0052503743208944798    0.99998396635055542,0.56168550252914429 0.39175084233283997 0.28050398826599121,-0.0017415899783372879  0.0012041422305628657 -0.0052503743208944798    0.99998396635055542
