DesiredFlux,1,HitTime,1714491089.211499,DesiredPos,0.55670160055160522 0.31157702207565308 0.21897777915000916
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714491088.6867309, -0.46083107810272933    1.1315130648749998 0.0069474349312083523   -1.2568573314777467   -1.9599906458094138   -1.9051014936680781  -0.88906081000467096, 0.0012716221994446505 4.5040993972381755e-06 5.5997514494457169e-06 2.7669678816283297e-05 2.0232352001065734e-06 0.00015741148814365282 4.0496765632031424e-06, -0.1330807228088379   65.658533584594721  -1.7299366950988768  -16.388178920745851   -1.282706241607666   1.6971272850036621 -0.24397247695922852,0.089375292132931938  0.51743250867581259   1.1457336391638946  -1.3201540764848627  0.79739099734282892   1.2880026899312389  0.46244105405870428,  0.55905145406723022 -0.049570940434932709   0.21825492382049561,-0.70694255828857422 -0.01982605829834938 0.015184678137302399  0.70682996511459351, 0.00010118523641722277  0.00081633101217448711 -2.1160814867471345e-05,-0.00042849796591326594      1.4391732215881348  0.00013182900147512555,  0.24304132163524628  0.032644357532262802  0.066493295133113861  0.032644357532262802   0.22933356463909149 -0.023373551666736603  0.066493295133113861 -0.023373551666736603   0.19113849103450775,    -1.241281018558027   -0.39517679141543027    -1.2418080734057924    0.76183659504902579    0.58202211749058819   0.085292747185050644 2.2353256134977073e-05,0.00057175185065716505
IIWA_7,1714491088.6917555, -0.46082910064468685    1.1315129449926968 0.0069474349312083523   -1.2568574513600497   -1.9599906458094138   -1.9051011341302522  -0.88906081000467096,  0.0010963960812548875 -1.1920126011514889e-06  4.4798011595565739e-06  1.7340450934084608e-05  1.6185881600852588e-06  0.00014031070355315304  3.2397412505625142e-06,-0.15996571731567383   65.673320331573493  -1.7378600692749022  -16.407547168731689  -1.2888688659667968   1.6997972984313965 -0.24363872528076172,0.096434818403945244  0.51649917477121687   1.1501512443994097  -1.3228516663990435  0.79686706148998376   1.2858434373772931  0.46239097204520108,   0.5590517520904541 -0.049569502472877502   0.21825473010540009, -0.70694279670715332 -0.019826781004667282  0.015185313299298286   0.70682966709136963, 9.3608672614209354e-05  0.00071057112654671073 -2.4658198526594788e-05,-0.00042864351416938007      1.4391738176345825  0.00013184220006223768,  0.24304114282131195  0.032644331455230713  0.066493377089500427  0.032644331455230713   0.22933372855186462 -0.023373354226350784  0.066493377089500427 -0.023373354226350784   0.19113852083683014,   -1.2412782188455651   -0.39517087943607976    -1.2418005614378558     0.7618310493446856    0.58202338702262324   0.085296147194213745 2.2353822792808842e-05,0.00049829593626782298
IIWA_7,1714491088.6967313, -0.46082778237568622    1.1315130648749998 0.0069473150489053562   -1.2568578707844857   -1.9599906458094138   -1.9051007147058163  -0.88906092988697394, 0.00092984762502900927  3.8416820380208381e-06 -1.2114511921988263e-06 -2.9046166955773218e-06  1.2948705280682072e-06  0.00012902554027648566 -2.2034991184920179e-06,-0.19222771072387695   65.692139827728269  -1.7405011940002442   -16.42339391708374  -1.2835866165161132    1.695458526611328  -0.2443062286376953,  41.422981806621522    4.170223822646423   17.691145005695795  -9.6774558752701889   5.7332544716425478 -0.93981056745949187 -0.86860615418462894,  0.55905187129974365 -0.049568384885787964   0.21825471520423889,  -0.7069428563117981 -0.019827403128147125  0.015185929834842682   0.70682960748672485, 8.0178484495263547e-05  0.00061314692720770836 -2.0559211407089606e-05,-0.00042875908548012376      1.4391740560531616  0.00013189365563448519,   0.2430410236120224   0.03264433890581131  0.066493421792984009   0.03264433890581131   0.22933386266231537 -0.023373214527964592  0.066493421792984009 -0.023373214527964592   0.19113852083683014,   -1.2412770945484652   -0.39516650394322284    -1.2417957680685987    0.76182668746493931    0.58202481044933307   0.085299652963222172 2.2354440964988953e-05,0.00042990531073883176
IIWA_7,1714491088.7017307, -0.46082670387129154    1.1315131247616097 0.0069473150489053562   -1.2568581704357016   -1.9599904541722619   -1.9050996360923387  -0.88906081000467096, 0.00078701827581042268  5.4688100261491318e-06 -9.6916095375906105e-07 -1.4309741990078377e-05  8.7013824994565808e-06  0.00014636497132699904   3.032492824148415e-06,-0.22045695495605469    65.71095932388306  -1.7545871925354004  -16.437479915618898  -1.2897492408752442    1.695458526611328 -0.24363872528076172,  41.425596036499577   4.1700398994856283   17.692514804662281  -9.6774946780391176   5.7334106203749418 -0.93997660971639529 -0.86871759922075287,  0.55905187129974365 -0.049567624926567078   0.21825447678565979, -0.70694291591644287 -0.019827615469694138  0.015186426229774952   0.70682954788208008, 6.3951854826882482e-05  0.00052095309365540743 -2.5540684873703867e-05,-0.00042887454037554562      1.4391742944717407  0.00013194781786296517,  0.24304100871086121  0.032644312828779221  0.066493429243564606  0.032644312828779221   0.22933395206928253 -0.023373130708932877  0.066493429243564606 -0.023373130708932877   0.19113846123218536,  -1.2412751104005082  -0.39516372923920073   -1.2417921504956908   0.76182335020558156   0.58202541127716501  0.085301700748274811 2.235480422996261e-05,0.00036512935184873641
IIWA_7,1714491088.7067306,-0.46079866079353515   1.1315207347243976 0.006977575240227199   -1.256885734093329  -1.9599764566316609  -1.9051231851654373 -0.88907477165693916,  0.0017513377309039395  0.00030877355953789825   0.0012096323241107029  -0.0011139940986904912  0.00056686273004163479 -0.00082487094688439447 -0.00055604009646830854,-0.45032365798950197   65.604763595581048  -2.2546401405334473  -16.096774826049803  -1.4843120956420899   1.8005903053283692 -0.20659228897094725,  41.427885313052059   4.1699544188993158   17.693701595626475  -9.6776903823077447   5.7334560050223624 -0.94032290916622463 -0.86881287731606993,  0.55905205011367798 -0.049566969275474548   0.21825423836708069,  -0.7069430947303772 -0.019827580079436302  0.015186643227934837   0.70682930946350098, 5.7505316362949088e-05  0.00044294912368059158 -3.0253657314460725e-05,-0.00042891775956377387      1.4391741752624512  0.00013195711653679609,  0.24304099380970001  0.032644245773553848  0.066493451595306396  0.032644245773553848    0.2293340265750885 -0.023373039439320564  0.066493451595306396 -0.023373039439320564   0.19113843142986298,   -1.2412716992225015   -0.39516109121784382     -1.241787792152671    0.76182023449877789    0.58202496442749663    0.08530177391996574 2.2354739392937972e-05,0.00031107390532270074
IIWA_7,1714491088.7117307, -0.46035099005813407    1.1315622601433766 0.0074823508580088953   -1.2571332682506533   -1.9597595900473226   -1.9053046862085923  -0.88918023284974168,   0.01930789960076653  0.0019080356067882926   0.021158730570556415  -0.010792561571922731  0.0091281535575645969 -0.0079199384837056117 -0.0046632797892756503, -8.8881791839599611   63.068164363861086  -8.3890925025939946  -12.687963180541992  -1.6313347053527831   2.1316719703674316 -0.31839910125732424,  41.397447070872794   4.1656621045671169   17.667098392907718  -9.6638210220543908   5.7326302761426327 -0.92338123400790062 -0.86864555331341653,  0.55904638767242432 -0.049537155777215958   0.21825754642486572, -0.70691871643066406 -0.019843537360429764  0.015202932991087437   0.70685285329818726,-0.00018005768652074039   0.0015469191130250692  0.00010816317808348686,-0.00042891784687526524      1.4391746520996094  0.00013195716019254178,  0.24304112792015076  0.032642815262079239  0.066494472324848175  0.032642815262079239   0.22933878004550934 -0.023369945585727692  0.066494472324848175 -0.023369945585727692   0.19113436341285706,   -1.2411659089561766   -0.39507050023335211     -1.241621117754832    0.76172160366816399    0.58205148954293406   0.085460733716402615 2.2393364496053891e-05,0.0010847221128642559
IIWA_7,1714491088.7167311, -0.45986898455118924    1.1315330785655324 0.0080447704467439124   -1.2573581522885264   -1.9593262405020158   -1.9054779182090005  -0.88928090027758744,  0.034726539958406306 0.00035916537166460799   0.039423768005845822  -0.017629410772463376   0.024636504658324759  -0.013265230803292356 -0.0077573209452508219,  -18.17963328552246   62.623217704772948   -12.31204309463501  -13.262847995758056  -1.8558303070068358    1.638053237915039 -0.11113930892944336,   40.91229166773082   4.2171093013778806   17.229218584724052  -9.5638668988558955     5.67584518527228 -0.71821593362232639 -0.84740892745772856,  0.55904412269592285 -0.049082059413194656   0.21835169196128845, -0.70662498474121094 -0.020106956362724304  0.015376594848930836   0.70713537931442261,-0.00024148223747033626    0.019438635557889938   0.0038545988500118256,-0.0004290092911105603     1.4391837120056152  0.0001320622832281515,  0.24301046133041382  0.032620254904031754  0.066524557769298553  0.032620254904031754   0.22940592467784882 -0.023311862722039223  0.066524557769298553 -0.023311862722039223   0.19110623002052307,   -1.2395807601395248   -0.39350908174462518    -1.2388574959842913    0.76025909316790319    0.58235696468411646    0.08749857614009926 2.2880503713906819e-05,0.013769491575658321
IIWA_7,1714491088.7217307, -0.45957129639431366    1.1315278054895297 0.0087047417233606494    -1.257778319143827   -1.9585673992685166   -1.9056978885996141  -0.88946677566126331,  0.039688758241748501 7.6409257222407646e-05   0.057937865469346136  -0.030910202829992788   0.050062853066624571  -0.019411000267178319  -0.013640872103235491, -21.942188266754151   62.491481231689455  -14.131778030395507  -12.260981349945068  -2.0046136665344236   2.2174461517333985 0.027033885955810546,  40.497553467591985   4.3965372676409036   16.782320703637225  -9.5622607644904516   5.5348425625129769 -0.51738000945379703 -0.80159934888530837,  0.55909854173660278 -0.048593390733003616   0.21852575242519379,-0.70628660917282104 -0.02039322629570961 0.015453235246241093  0.70746344327926636,0.001959523418918252  0.03509160503745079 0.010051560588181019,-0.00042686818051151931      1.4393123388290405  0.00013111827138345689,   0.2429683655500412  0.032592754811048508  0.066566728055477142  0.032592754811048508   0.22946995496749878 -0.023247426375746727  0.066566728055477142 -0.023247426375746727   0.19109310209751129,  -1.2378433932713762   -0.3918282101640358   -1.2359212322481383   0.75877718000150196   0.58250326754727411  0.089412067360683523 2.336061388774624e-05,0.025395631790161133
IIWA_7,1714491088.7268429,-0.45947338527768911   1.1315171394552217 0.009512059040501581  -1.2583507456869114  -1.9574895860242463  -1.9059170801370489 -0.88973672028251538,   0.035667451258380778 -0.00036551396654180984    0.078642985061114182   -0.047625223987371249    0.083162812224114258   -0.024296461711133491   -0.021710482532671264, -21.124884433746338   61.600243663787843  -11.184282836914063  -12.105154991149902  -1.6463010787963868    1.761207607269287 -0.10012550354003906,  40.256957104586533   4.5540291661021044   16.378016383839007  -9.5513611191543646   5.3353788507453572  -0.3137048321624758 -0.75724081826239686,  0.55914437770843506 -0.048146098852157593    0.2187274843454361, -0.70580434799194336 -0.020566940307617188  0.015394367277622223   0.70794087648391724,0.0033724827226251364  0.045949004590511322   0.01612292043864727,-0.0004214458167552948     1.4394347667694092 0.00011264005297562107,  0.24296556413173676  0.032541554421186447  0.066607415676116943  0.032541554421186447   0.22952672839164734 -0.023193366825580597  0.066607415676116943 -0.023193366825580597   0.19105644524097443,   -1.2352873303687062   -0.39049631777388072    -1.2329148078249474    0.75747547114346503    0.58215167486608266   0.090953110889024913 2.3819207939368425e-05,0.033908125013113022
IIWA_7,1714491088.7317302,-0.45946026247429261   1.1315034175675593 0.010655893399802618  -1.2590918501209702  -1.9560613541248737  -1.9062268123747601 -0.89013166047605674,   0.029058873142564324 -0.00084128667972763204     0.10866776242093282   -0.067744356552250473     0.12365952575419455   -0.031826458877356661   -0.033165993767791405, -16.430764392852783   61.075986270904544  -11.064551849365234  -11.819913520812989  -2.0231015396118162   1.8833607215881347 -0.14217821502685546,  40.166781119792851   4.7449030797672158   15.983263560673528  -9.5734405239081397   5.0656182107493706 -0.11480850771385276 -0.70278220484639886,  0.55920487642288208 -0.047739248722791672   0.21897915005683899, -0.70519018173217773 -0.020650161430239677  0.015163670293986797   0.70855516195297241,0.0050876480527222157  0.053000345826148987  0.022985998541116714,-0.00043391724466346204      1.4395437240600586   8.183020690921694e-05,  0.24299061298370361  0.032465267926454544  0.066652141511440277  0.032465267926454544   0.22957614064216614 -0.023145264014601707  0.066652141511440277 -0.023145264014601707   0.19100683927536011,   -1.2318619612248227   -0.38944983900801589    -1.2296989821498627    0.75636444420634774    0.58126303462291418   0.092038956311490949 2.4235027318297853e-05,0.040283568203449249
IIWA_7,1714491088.7367313,-0.45937972851019937   1.1314834638727198 0.012092682146715529  -1.2599870118228593  -1.9543130953377299  -1.9065283354563347 -0.89070684333036232,  0.026468457077781199 -0.0014711771373635552     0.1444057598132627  -0.090001953317363576    0.16885797208910752  -0.037522090364869573  -0.049540109186456252, -15.227660888671876   60.184748703002931  -10.939538612365723   -12.14125036239624  -1.9764416694641114   1.8913707618713378 -0.11013805389404296,  40.052647266460525   5.0234523406860294   15.434994089693305  -9.6172090873707763   4.7079921540589957  0.15579384791624129 -0.62256802293172586,  0.55928593873977661 -0.047243691980838776   0.21933287382125854, -0.70435243844985962 -0.020763307809829712  0.014802794903516769   0.70939230918884277,0.0072687938809394836   0.06215541809797287    0.0325792096555233,-0.00044530510785989463      1.4396382570266724  4.5627395593328401e-05,  0.24302338063716888  0.032361406832933426  0.066713340580463409  0.032361406832933426   0.22963812947273254 -0.023084081709384918  0.066713340580463409 -0.023084081709384918   0.19094407558441162,   -1.2272597981786149   -0.38821144944112262    -1.2254714166415326    0.75509316401412008     0.5800004701885797   0.093367201662530874 2.4767049744411906e-05,0.049002476036548615
IIWA_7,1714491088.7417321,-0.45924214965941856   1.1314519452990073 0.013791266245353696  -1.2610836283718263  -1.9522159518653635  -1.9068555048422704 -0.89145106372255134,   0.02667791969345721 -0.0024376846583920473    0.18346797179613683   -0.11586622461256997    0.21897211656594393  -0.043104447729323189  -0.069400903036725858, -15.579854316711426   59.940095252990723  -11.704584407806397  -12.343736591339111  -2.1058567810058593   1.9444372787475586 0.034042671203613283,  39.838664031712696   5.3480782809917375   14.752735691489836  -9.6780804474494282   4.2890220299781179  0.46545984766316284 -0.51071944226697552,  0.55940496921539307 -0.046591088175773621   0.21976321935653687, -0.70333766937255859 -0.020954424515366554  0.014329124242067337   0.71040248870849609,0.010508243925869465  0.07571806013584137 0.043346934020519257,-0.00046551859122700989      1.4397569894790649  -2.549389535033697e-07, 0.24305512011051178 0.032229691743850708 0.066792823374271393 0.032229691743850708   0.2297193706035614 -0.02300022728741169 0.066792823374271393 -0.02300022728741169  0.19087077677249908,   -1.2214019677800891   -0.38647879454689615    -1.2199214772428135    0.75334155551942672    0.57843087501652235   0.095009520558519966 2.5411258874896703e-05,0.061030339449644089
IIWA_7,1714491088.7467325, -0.4590807220843231   1.1314089219511978 0.015701371922945732  -1.2623608471193832  -1.9498372270943902  -1.9071521143856682  -0.8923535357360125,  0.027799438758584288 -0.0036710816390927905    0.22317860454059094   -0.14378172959233315    0.27032668409168426   -0.04634793991937175  -0.091619602967827257,   -16.667352344512938     59.516656589508059    -11.364759693145752    -11.989825878143311    -1.9773220443725585     1.8740156745910646 -0.0016687583923339843,  39.558314075897094   5.6955080278133314   13.971101396227599  -9.7340752825191164   3.8170641875139113  0.82162406925424625 -0.37792283702363694,  0.55954694747924805 -0.045792628079652786    0.2202700674533844, -0.70213210582733154 -0.021195566281676292  0.013753568753600121   0.71159827709197998,0.013983926735818386 0.092343203723430634 0.055057991296052933,-0.00050153868505731225      1.4399124383926392 -6.8912697315681726e-05,  0.24309466779232025  0.032070357352495193  0.066886790096759796  0.032070357352495193   0.22981803119182587 -0.022897819057106972  0.066886790096759796 -0.022897819057106972   0.19078131020069122,   -1.2143223725926688   -0.38433782927871363    -1.2132043562598227    0.75112196680660048    0.57653554826675446   0.096953495738461015 2.6155519528003879e-05,0.075284130871295929
IIWA_7,1714491088.7517576,-0.45892420815648743   1.1313365971432414 0.017861049102514365  -1.2638065640980847  -1.9471551574671688   -1.907404382312256 -0.89342726240092252,  0.02850010812029409 -0.005829857629529471   0.26492997081521807  -0.17285406282192409   0.32354413236220325 -0.047169068999006351  -0.11624474897066232, -17.433574687957762   59.676622306823731  -9.9570402145385746  -11.495935554504394  -1.5195270919799804   1.5262464256286621 -0.13483567810058594,  39.268399846974226     6.03214751688453   13.160928563673513  -9.7865249780104548   3.3200788095293792   1.1872389634177938 -0.23200490746912783,  0.55970883369445801 -0.044887136667966843   0.22082848846912384, -0.70078325271606445 -0.021459454670548439  0.013073723763227463   0.71293157339096069,0.017526213079690933  0.10986053943634033 0.066532135009765625,-0.00056773237884044647      1.4401013851165771 -0.00016494969895575196,  0.24314413964748383  0.031884647905826569  0.066991336643695831  0.031884647905826569   0.22992944717407227 -0.022780751809477806  0.066991336643695831 -0.022780751809477806   0.19067771732807159,   -1.2061232037314795   -0.38189717031134052    -1.2055035739599873    0.74851153787403035    0.57429146355669758   0.098990305477997254 2.6935767394320465e-05,0.089998729526996613
