DesiredFlux,1,HitTime,1714491495.9114506,DesiredPos, 0.5581706166267395 0.31163817644119263   0.219026118516922
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714491495.3987463,-0.46850871188724846   1.1346580250322982 0.030619934333023957  -1.2515462225690963  -1.9609569579962889  -1.8914950840795324  -0.8846608617948305, 9.4902976883329322e-05  -4.007243020812674e-06   0.0022529033949600548 -4.6523194333166565e-07   5.419991983493794e-06  7.1495450319864032e-06  3.2287504874355862e-05,-0.056458488464355472    65.741877067565923    -2.621756477355957   -16.374973297119141   -1.2325248718261719    1.6654208755493165  -0.21927485275268555,-0.087097184237535166    1.2428459008000219  -0.59713121417452586   -2.0104638699083823   0.26975533272033464   0.85544374668082346   0.69527989413928748,  0.56322938203811646 -0.046369440853595734   0.21939021348953247, -0.70458078384399414 -0.020447367802262306  0.010495278984308243    0.7092515230178833,0.00016947994299698621 0.00084596773376688361 0.00046255599590949714,-0.0019692820496857166      1.440764307975769 -0.0001401639892719686,  0.24142050743103027  0.030915120616555214  0.067854449152946472  0.030915120616555214   0.23016481101512909 -0.021876068785786629  0.067854449152946472 -0.021876068785786629    0.1919236034154892,   -1.1670385505144765   -0.37295299627082557     -1.154260450762834    0.75544806261707009    0.56218414578079745   0.076486072989823128 2.1563519858602831e-05,0.00067946506896987557
IIWA_7,1714491495.403769,-0.46850799281159666   1.1346581449146012 0.030629521644771316  -1.2515463424513993  -1.9609570538148648  -1.8914949641972294 -0.88466062203022444, 0.00010468540757868411  1.5894977022918902e-06   0.0021858151858624025 -5.1674776736073623e-06  5.0325054829402767e-07  1.0514928144531153e-05  3.5420588141809638e-05,-0.061835487365722655    65.751286815643311    -2.621756477355957   -16.380255546569824   -1.2272426223754882    1.6654208755493165  -0.21593733596801759,-0.091737260160928008    1.2304024064557955  -0.59564351121333659   -2.0042603351879835   0.27370270136981789   0.85265333130282606   0.69543956513312488,  0.56323015689849854 -0.046365711838006973   0.21939210593700409,  -0.7045779824256897 -0.020450606942176819  0.010495427995920181   0.70925414562225342,0.00016639144450891763 0.00082585494965314865 0.00044539966620504856, -0.0019705987069755793      1.4407641887664795 -0.00014183008170221001,  0.24141962826251984  0.030914714559912682  0.067855007946491241  0.030914714559912682   0.23016545176506042 -0.021875295788049698  0.067855007946491241 -0.021875295788049698   0.19192381203174591,   -1.1670165824373413   -0.37293727013221201      -1.15422402497245    0.75543803843558521    0.56218458539802896   0.076502292996494248 2.1567442942682646e-05,0.00066141487332060933
IIWA_7,1714491495.4087453,-0.46850727373594486   1.1346581449146012 0.030638449985642972  -1.2515464623337023  -1.9609571496334408  -1.8914948444240096 -0.88466038237470157, 0.00011251135213496792  1.2715981618335122e-06   0.0021057857835561468   -8.92927425782792e-06 -3.4301425998657854e-06  1.3202871307089844e-05  3.7922691428295553e-05,-0.067212486267089838    65.767417812347418   -2.6270387268066404   -16.382896671295164   -1.2210799980163574    1.6657546272277832  -0.21660483932495117,  41.940252488619173    4.342009349633158    17.38418987461694  -10.120189105380353   5.0540639635990434 -0.74704162646207495 -0.46521505743535863,  0.56323087215423584 -0.046362001448869705   0.21939410269260406,  -0.7045750617980957 -0.020453648641705513  0.010495708324015141   0.70925700664520264,0.00016201175458263606 0.00080916518345475197 0.00043639939394779503, -0.0019706003367900848      1.4407655000686646 -0.00014183021266944706,  0.24141879379749298  0.030914317816495895  0.067855559289455414  0.030914317816495895   0.23016609251499176 -0.021874543279409409  0.067855559289455414 -0.021874543279409409   0.19192402064800262,   -1.1669950645689653    -0.3729219114978477    -1.1541885307009281    0.75542814254880852    0.56218497952631452   0.076518755586896248 2.1571409547505027e-05,0.00064792507328093052
IIWA_7,1714491495.4137704,-0.46850661465598609   1.1346581449146012 0.030647258335128554  -1.2515463424513993  -1.9609571496334408  -1.8914947844283165 -0.88466038237470157, 0.00011637228005900586  1.0172785294668097e-06   0.0020369626062681926 -2.3481272873203072e-06 -2.7441140798926284e-06  1.2962124768881445e-05  3.0338153142636444e-05,-0.052425739288330081    65.782204559326175   -2.6261583518981935    -16.39786304473877    -1.226362247467041    1.6657546272277832  -0.21693859100341797,  41.940361946513008   4.3412630401787808   17.384544125188725   -10.11993073530966   5.0540400893352402 -0.74661605534956221 -0.46508377978091908,  0.56323152780532837 -0.046358358114957809   0.21939583122730255, -0.70457231998443604 -0.020456589758396149  0.010496105998754501   0.70925962924957275,0.00015567119407933205 0.00079309544526040554 0.00041846767999231815, -0.0019712804351001978      1.4407666921615601 -0.00014259472663979977,  0.24141800403594971  0.030913917347788811  0.067856080830097198  0.030913917347788811    0.2301667332649231 -0.021873801946640015  0.067856080830097198 -0.021873801946640015   0.19192418456077576,   -1.1669734212453875   -0.37290674634782306    -1.1541531607139888    0.75541818264124316    0.56218544630848299   0.076534857097243503 2.1575256248240748e-05,0.00063170201610773802
IIWA_7,1714491495.4187737,-0.46847887112036252   1.1346647362596045 0.030685727682587153  -1.2515744454157658  -1.9609431520928398  -1.8915123413497608 -0.88467266622014329,  0.0012028392489900053  0.00026446762295795145   0.0031683439833585297  -0.0011259970764900718  0.00055770633277815544 -0.00069190715795403002 -0.00046708329515462906,-0.28498094177246092   65.704238075256342  -3.0698673057556154  -16.042191581726073  -1.4244466018676758   1.7385124931335449 -0.18423092651367187,  41.940662117813069   4.3405471341688564   17.385102100084559  -10.119716109104667   5.0540338292545588 -0.74624486697893677 -0.46495324285533202,  0.5632321834564209 -0.04635494202375412  0.21939750015735626,-0.70456975698471069  -0.0204593725502491 0.010496468283236027  0.70926207304000854,0.00014929626195225865 0.00077113579027354717 0.00040154563612304628,-0.0019719158299267292     1.4407680034637451 -0.0001433986471965909,  0.24141724407672882  0.030913548544049263  0.067856572568416595  0.030913548544049263   0.23016734421253204 -0.021873107179999352  0.067856572568416595 -0.021873107179999352   0.19192434847354889,   -1.1669534613361066   -0.37289250377448013    -1.1541202533251749    0.75540879606084133    0.56218594935408817   0.076549913404555525 2.1578846265413176e-05,0.00061227264814078808
IIWA_7,1714491495.4237435,-0.46803000199826378   1.1347097370654564  0.03124611003575278  -1.2518298293004837  -1.9607568692620501  -1.8916397336954454 -0.88476230818493806,   0.01891703628314154  0.0020116063324424598     0.0249499693133119  -0.011116153049908376   0.007897478297810399 -0.0056492195537470643 -0.0039593452279146337, -9.0575546493530279   63.198556587219237  -9.5221350097656252  -12.678279056549073  -1.7308170700073242   2.0789392051696778 -0.30705154418945313,  41.940971208470401   4.3401295602476493   17.385485246427336  -10.119705439605877   5.0538992834872154 -0.74585698666332867  -0.4647430119490541,  0.56323283910751343 -0.046351630240678787   0.21939921379089355,-0.70456725358963013 -0.02046225406229496 0.010496625676751137  0.70926451683044434,0.00014656424173153937 0.00074932724237442017 0.00038961504469625652, -0.0019724955782294273      1.4407691955566406 -0.00014409593131858855,  0.24141648411750793  0.030913196504116058  0.067857071757316589  0.030913196504116058   0.23016791045665741 -0.021872425451874733  0.067857071757316589 -0.021872425451874733   0.19192454218864441,  -1.1669342731321919  -0.37287860504875425   -1.1540881938962855   0.75540001365315135   0.56218644180017208  0.076564534315259891 2.158238832095094e-05,0.00059495109599083662
IIWA_7,1714491495.4287674,-0.46754979407136549   1.1346908618750113 0.031915309195374046  -1.2520742476087607  -1.9603977260550831  -1.8917462135060326 -0.88480790818413868,  0.034341946102444856 0.00085427744815085179   0.046727941835500178  -0.018669654771008265    0.02068371091692631 -0.0087785680664856959 -0.0049914761503564442,-19.363917293548585  62.772429424285889 -13.955703048706054 -12.820019416809082 -1.7598694419860839  1.7194886474609374 -0.1491870002746582,  41.909123187664491   4.3347525872273502   17.359493377208683  -10.105769232490319   5.0530482884602135 -0.73011054348737692 -0.46464237571408118,  0.56322842836380005 -0.046319019049406052   0.21940366923809052, -0.70454221963882446 -0.020478889346122742  0.010512043721973896   0.70928859710693359,-6.0207916249055415e-05   0.0019039096077904105   0.0004900100757367909, -0.0019730741623789072       1.440770149230957 -0.00014477010699920356,   0.2414160817861557  0.030911006033420563  0.067858517169952393  0.030911006033420563   0.23017288744449615 -0.021868497133255005  0.067858517169952393 -0.021868497133255005   0.19192090630531311,    -1.166801079100388   -0.37277557832560149    -1.1538872468870309    0.75529080112168856    0.56220668609707758   0.076722266410200746 2.1619385393023549e-05,0.0013651465997099876
IIWA_7,1714491495.433773,-0.46728266575702765   1.1346918804927961 0.032646766321992433  -1.2525114919653766  -1.9597437709065815  -1.8918757030829796   -0.884903242758455,  0.038158689455469443  0.0007241666699121642   0.066640638533135635  -0.032425498081440664    0.04270517467360662  -0.012202437531069692 -0.0078065638929379231,   -23.133193523406984     62.681020442962648    -15.395996398925782    -11.804066772460937    -1.9491500473022461     2.1036368293762209 -0.0073425369262695309,  41.402445525351808   4.3770493601707194   16.909192318773872  -9.9970127849958477   5.0038165129842458 -0.53089026732795963 -0.44722987772954004,  0.56322783231735229 -0.045841369777917862   0.21949540078639984, -0.70425117015838623 -0.020742971450090408  0.010695682838559151   0.70956718921661377,-8.0346486356575042e-05    0.020626522600650787   0.0040641753003001213,  -0.001973665552213788      1.4407798051834106 -0.00014546283637173474,  0.24138325452804565  0.030881540849804878  0.067889302968978882  0.030881540849804878   0.23024097084999084 -0.021803850308060646  0.067889302968978882 -0.021803850308060646   0.19189506769180298,   -1.1649982956818405   -0.37113146118183948    -1.1508732921186038    0.75373713821491606    0.56248636581024414   0.078761406854255256 2.2085643536229327e-05,0.014590250328183174
IIWA_7,1714491495.4387679,-0.46723964230013521   1.1346801359540932 0.033503638445336006  -1.2531018349677312  -1.9588107269641772  -1.8919647458544255  -0.8850447165296278,  0.032247889840073304 0.00010955178781389848    0.08758739576025143  -0.049554118559336918   0.071485897435054596  -0.013323660882693607  -0.011904201961262153, -21.159834926605225   61.656702152252194  -11.614786167144775  -11.519705677032471  -1.4834317207336425   1.6750996742248536 -0.11481057739257812,   40.95308012408357   4.5336580503404358   16.437634296336469  -9.9723260731402288   4.8821483582376839 -0.33113387959586005 -0.41343149507038846,  0.56327754259109497 -0.045313339680433273   0.21966424584388733, -0.70390993356704712 -0.021027259528636932  0.010814905166625977    0.7098955512046814,0.0018983738264068961  0.037616770714521408  0.010013154707849026, -0.001970440149307251     1.4409101009368896 -0.0001470875577069819,  0.24133570492267609  0.030844520777463913   0.06793280690908432  0.030844520777463913   0.23031055927276611 -0.021729364991188049   0.06793280690908432 -0.021729364991188049   0.19188326597213745,   -1.1628971183581527   -0.36929719498246527    -1.1474832912385935     0.7520905105389275     0.5626191302434691    0.08077542004514271 2.2560123547066269e-05,0.027044907212257385
IIWA_7,1714491495.4437439,-0.46726409021779869   1.1346658747596921 0.034744005765650988  -1.2538428795151801  -1.9575831588850321  -1.8920633760467021  -0.8852196861143895,   0.024820395165519295 -0.00048280634579597065     0.11968460942080043   -0.069285076745427276     0.10629144111384956   -0.014604136397215545   -0.016522144959478055,-16.144439201354981  60.945594047546386 -10.823329124450684 -11.959893131256104 -2.0160585403442384  1.6514033050537109  -0.192240966796875,   40.71581199222944   4.6536056459457047   16.049616152505241  -9.9397106215509616   4.7108584418269768 -0.14414732835101685 -0.38828939524277373,  0.56331443786621094 -0.044856056571006775    0.2198491245508194, -0.70344865322113037 -0.021167060360312462  0.010807150974869728   0.71034860610961914,0.0029641559813171625  0.048370935022830963  0.015420305542647839, -0.0019733104854822159      1.4410432577133179 -0.00018311254098080099,  0.24132983386516571  0.030785262584686279  0.067972168326377869  0.030785262584686279   0.23037002980709076 -0.021669007837772369  0.067972168326377869 -0.021669007837772369   0.19184862077236176,   -1.1600636575774814   -0.36789488539046289    -1.1441852646667527    0.75065356017667284    0.56221480580820327   0.082284792936704321 2.2976085922721268e-05,0.035288181155920029
