Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
0,2024-05-07_18:04:00__clean_paper,299,7,0.501,0.5767159461975098,0.2035093692010652,4.390537423700772,"[0.54515624, 0.31085461, 0.21976018]","[0.55516797, 0.29802951, 0.22527426]","[-0.00376949646, 0.000789356593, -0.019963121, 0.999793291]","[-0.71062911, 0.0011698, -0.00247227, 0.70356154]","[0.54477811, 0.42150787, 0.27961841]","[0.45940015, 0.60623908, 0.27859607]"
1,2024-05-06_15:31:11__clean_paper,3,7,0.505,0.5809286236763,0.2118835946595609,4.39950949653904,"[0.54999375, 0.3197822, 0.21975854]","[0.55367678, 0.2948409, 0.22251473]","[-0.0038280515, 0.000478726404, -0.009458296, 0.999947846]","[-0.70904464, 0.00186748, -0.00228023, 0.70515746]","[0.55361885, 0.41931751, 0.27996475]","[0.50665581, 0.62592673, 0.27863756]"
2,2024-05-06_14:23:00__clean_paper,3,7,0.506,0.5850155353546143,0.2474816080220089,4.382066225888597,"[0.55124128, 0.30419308, 0.22044268]","[0.55733979, 0.28959742, 0.22183014]","[-0.00379552, 0.00101592, -0.00992995, 0.99994296]","[-0.71078324, 0.00125856, -0.00091175, 0.70340937]","[0.55134708, 0.4147822, 0.28010291]","[0.49010685, 0.65456313, 0.27872983]"
3,2024-05-15_14:20:51__clean_paper,499,7,0.501,0.5882762670516968,0.2357984124281696,4.362819824453177,"[0.53841341, 0.3054921, 0.21990424]","[0.55567592, 0.2909852, 0.2033215]","[-0.00393473124, 0.000932170311, 0.00164036336, 0.999990463]","[-0.71119183, 0.00137651, -0.00211027, 0.70299345]","[0.5384717, 0.41598395, 0.27957442]","[0.53152567, 0.65167576, 0.27815595]"
4,2024-05-06_14:23:00__clean_paper,1,7,0.506,0.5916374921798706,0.2785254196228787,4.366821279006407,"[0.56502038, 0.30198687, 0.22048363]","[0.5651474, 0.28852996, 0.20931032]","[-0.0036595217, 0.000962715596, -0.00893472135, 0.999952912]","[-0.71037149, -0.00124508, -0.00513089, 0.70380712]","[0.56487304, 0.41280329, 0.28027847]","[0.50820905, 0.68549907, 0.27866191]"
5,2024-05-15_14:20:51__clean_paper,483,7,0.526,0.5949392318725586,0.2619373592941741,4.373147986744139,"[0.53944057, 0.30697143, 0.21975091]","[0.56640595, 0.29598692, 0.19289787]","[-0.00391308684, 0.000960604695, -0.00241564238, 0.999988973]","[-0.70113558, -0.00181891, 0.0061534, 0.71299911]","[0.53917485, 0.41845235, 0.27977556]","[0.45559865, 0.66669244, 0.2780264]"
6,2024-05-08_14:15:56__clean_paper,229,7,0.524,0.5971254706382751,0.2669217179723686,4.384006538950183,"[0.55016857, 0.31155437, 0.22025219]","[0.56944525, 0.29986054, 0.19567652]","[-0.00299714645, 0.000914158183, 0.00172363746, 0.999993622]","[-0.70288086, -0.00115973, 0.0031907, 0.71129948]","[0.5497579, 0.42278624, 0.28041461]","[0.50215983, 0.68542504, 0.27883831]"
7,2024-05-06_15:31:11__clean_paper,35,7,0.529,0.6007757186889648,0.2433377278253325,4.396508781439566,"[0.55830055, 0.30825979, 0.22028154]","[0.55865949, 0.29674166, 0.21627101]","[-0.00401812792, 0.000839089567, -0.0058035627, 0.999974728]","[-0.708266318, -0.000493502535, -0.00395397143, 0.705934107]","[0.55849725, 0.41889149, 0.28009701]","[0.52029759, 0.65920913, 0.27888617]"
8,2024-05-07_18:04:00__clean_paper,291,7,0.527,0.602915346622467,0.2510759448045743,4.406432120919114,"[0.54800653, 0.32469106, 0.21975327]","[0.56884706, 0.30924845, 0.19937728]","[-0.00381836132, 0.000877637882, -0.0125758527, 0.999913216]","[-0.704251766, 0.000135413167, 0.00279312884, 0.709944844]","[0.54799467, 0.43527576, 0.27976555]","[0.43594149, 0.65995425, 0.27809483]"
9,2024-05-07_18:04:00__clean_paper,287,7,0.533,0.6074573397636414,0.2612569634093887,4.39000981439907,"[0.5575338, 0.31059188, 0.22011971]","[0.56843603, 0.29970279, 0.20461297]","[-0.00415780721, 0.000562137284, -0.00667140726, 0.999968946]","[-0.70666867, -0.0009057, -0.00160148, 0.70754224]","[0.55649036, 0.42200935, 0.27997029]","[0.4884612, 0.67424852, 0.27834675]"
