Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,AttractorPos,HittingPos,ObjectOrientation,HittingOrientation,ObjectPosStart,ObjectPosEnd
0,2024-05-07_18:04:00__clean_paper,233,7,0.684,0.7574447989463806,0.3647112947557234,4.412685894361891,"[0.55234385, 0.3215214, 0.2200492]","[0.56323278, 0.30535221, 0.20823459]","[-0.00399649329, 0.000876013364, -0.0306633301, 0.999521375]","[-0.70482302, -0.00162897, -0.00261538, 0.70937645]","[0.55193436, 0.43298417, 0.27969968]","[0.38540465, 0.75744778, 0.27734363]"
1,2024-05-07_18:04:00__clean_paper,217,7,0.715,0.7845035195350647,0.3549644523215616,4.386393778810503,"[0.54520547, 0.31686133, 0.21983537]","[0.56377751, 0.30120009, 0.20194009]","[-0.0040877494, 0.000628285343, -0.0208366234, 0.999774337]","[-0.706765473, -1.19331537e-06, 0.000669149333, 0.707447588]","[0.5451169, 0.42759135, 0.27970636]","[0.37562904, 0.73946971, 0.27735707]"
2,2024-05-07_18:04:00__clean_paper,263,7,0.584,0.6603459715843201,0.3379145548925575,4.3831294924817055,"[0.5583325, 0.31399667, 0.2194846]","[0.57214296, 0.29884484, 0.19681746]","[-0.00414727442, 0.000996401766, -0.000320272316, 0.99999088]","[-0.702634871, -0.00256304257, -0.000157883784, 0.711545944]","[0.55778044, 0.42463428, 0.27981234]","[0.51528877, 0.75986099, 0.27787486]"
3,2024-05-07_18:04:00__clean_paper,297,7,0.513,0.5879098773002625,0.2390415122409683,4.3714034891959495,"[0.54743558, 0.31058198, 0.2198028]","[0.56296068, 0.29301158, 0.19369856]","[-0.00369818835, 0.000926439534, -0.0166109521, 0.999854743]","[-0.70348763, -0.00422615, -0.00314292, 0.71068799]","[0.54717147, 0.42107734, 0.27972296]","[0.43919396, 0.6343354, 0.27807894]"
4,2024-05-07_18:04:00__clean_paper,227,7,0.694,0.7588736414909363,0.3814711762364079,4.385412606938309,"[0.54082626, 0.31519365, 0.2198562]","[0.55935287, 0.29698333, 0.19231243]","[-0.00366946729, 0.000759952061, -0.0243102089, 0.999697447]","[-0.69670755, -0.00651444, -0.0038754, 0.7173152]","[0.54067415, 0.42584768, 0.27970839]","[0.35387221, 0.75844246, 0.27725801]"
5,2024-05-07_18:04:00__clean_paper,247,7,0.653,0.7252373695373535,0.3455856767160994,4.394126058616971,"[0.55507112, 0.31985688, 0.21983325]","[0.57241386, 0.30325487, 0.19265203]","[-0.00372552, 0.00107328, -0.01745181, 0.9998402]","[-0.69863015, -0.00370732, -0.00119843, 0.7154724]","[0.55497205, 0.43055564, 0.2797792]","[0.39872202, 0.73879308, 0.27752692]"
6,2024-05-07_18:04:00__clean_paper,287,7,0.533,0.6074573397636414,0.2612569634093887,4.39000981439907,"[0.5575338, 0.31059188, 0.22011971]","[0.56843603, 0.29970279, 0.20461297]","[-0.00415780721, 0.000562137284, -0.00667140726, 0.999968946]","[-0.70666867, -0.0009057, -0.00160148, 0.70754224]","[0.55649036, 0.42200935, 0.27997029]","[0.4884612, 0.67424852, 0.27834675]"
7,2024-05-07_18:04:00__clean_paper,259,7,0.596,0.6698789596557617,0.2463914375184311,4.430137671944699,"[0.55118042, 0.31575406, 0.21983093]","[0.55233425, 0.30316105, 0.23002711]","[-0.00429175, 0.00129321, -0.01564746, 0.9998675]","[-0.70912981, -0.00307521, -0.00519914, 0.70505202]","[0.55087453, 0.42739025, 0.27983341]","[0.45839173, 0.65576065, 0.27821094]"
8,2024-05-07_18:04:00__clean_paper,241,7,0.669,0.7447951436042786,0.3612385746463259,4.394433937102937,"[0.5571062, 0.31447917, 0.21959195]","[0.5706805, 0.30188498, 0.19884758]","[-0.00322822, 0.00118201, -0.01510526, 0.99988002]","[-0.70175666, -0.00431307, -0.00093642, 0.71240306]","[0.55681539, 0.42667761, 0.27984428]","[0.39336872, 0.74881589, 0.27751526]"
9,2024-05-07_18:04:00__clean_paper,199,7,0.745,0.7994977235794067,0.3865160306124851,4.437009823934804,"[0.53804368, 0.32528329, 0.2198965]","[0.5490104, 0.30781391, 0.21461323]","[-0.00374217331, 0.000763581309, -0.0307220444, 0.999520659]","[-0.70605791, 0.00278501, -0.00295498, 0.70814246]","[0.53778094, 0.43613091, 0.27963462]","[0.36509699, 0.78191829, 0.27718833]"
10,2024-05-07_18:04:00__clean_paper,207,7,0.728,0.7785314321517944,0.4092418215195611,4.454340905354306,"[0.54688698, 0.31935149, 0.22018862]","[0.5467574, 0.3079505, 0.22470382]","[-0.00438321615, 0.000905612193, -0.011095007, 0.999928415]","[-0.7059055, 0.00296161, -0.00697795, 0.70826548]","[0.54652786, 0.43039435, 0.27976766]","[0.49006543, 0.83571553, 0.27740079]"
