Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
0,2024-05-01_14:09:10,75,7,1.0,1.0024937391281128,0.7033407502376591,4.649746365934097,"[0.556387186050415, 0.3099147081375122, 0.21993571519851685]","[0.5633008480072021, 0.3002476394176483, 0.20163224637508392]",[-2.72083096e-03 -2.01254094e-04  1.09297913e-02  9.99936521e-01],"[-0.7027468681335449, 0.0019761903677135706, -0.0029506159480661154, 0.7114311456680298]"
1,2024-05-01_14:09:10,89,7,1.13,1.04582679271698,0.6429977799644355,4.706255140431252,"[0.560647189617157, 0.3114798665046692, 0.219722718000412]","[0.5538533329963684, 0.2999514639377594, 0.20397253334522247]",[-3.24819121e-03 -9.09113005e-05  3.63005535e-03  9.99988139e-01],"[-0.7028976082801819, 0.01044394914060831, -0.005404121242463589, 0.711193859577179]"
2,2024-05-01_14:09:10,69,7,0.97,0.9929245114326477,0.5972865875401993,4.652338017940124,"[0.5557969212532043, 0.31279128789901733, 0.22035309672355652]","[0.5613500475883484, 0.30706876516342163, 0.20561696588993073]",[-3.58005031e-03  1.24306564e-04  2.80582230e-03  9.99989629e-01],"[-0.7062386274337769, 0.0041018943302333355, -0.00450084637850523, 0.7079476714134216]"
3,2024-05-01_14:09:10,43,7,0.79,0.8479353189468384,0.46708316614393514,4.493591819341561,"[0.5600246787071228, 0.30902063846588135, 0.2199152410030365]","[0.5694327354431152, 0.2934608459472656, 0.20397494733333588]",[-3.49429972e-03 -2.48877710e-04  1.02297999e-02  9.99941528e-01],"[-0.7052266001701355, -0.0012899989960715175, -0.00511153694242239, 0.7089623808860779]"
4,2024-05-01_14:09:10,104,7,0.55,0.6318816542625427,0.21172922166802308,4.439031114622473,"[0.5617071390151978, 0.310322105884552, 0.2200867235660553]","[0.5755805969238281, 0.2940954566001892, 0.2070252001285553]",[-2.78262282e-03  4.39662108e-04  2.03453747e-05  9.99996006e-01],"[-0.7101256847381592, -0.003984044771641493, -0.0052001699805259705, 0.7040444612503052]"
5,2024-05-01_14:09:10,57,7,0.88,0.9299039840698242,0.5340722758342689,4.55851170598209,"[0.5563401579856873, 0.30984771251678467, 0.22013938426971436]","[0.5652792453765869, 0.2967683970928192, 0.20549722015857697]",[-3.62613681e-03  1.42023971e-04  6.73693046e-03  9.99970734e-01],"[-0.7064090371131897, 0.0006588938995264471, -0.001657601329497993, 0.7078015804290771]"
6,2024-05-01_14:09:10,63,7,0.91,0.9446067214012146,0.43527068803973445,4.567279147965811,"[0.5589373111724854, 0.310627281665802, 0.2199847400188446]","[0.5466004610061646, 0.29989421367645264, 0.21612854301929474]",[-4.38820478e-03  7.03343307e-04  4.39580623e-03  9.99980450e-01],"[-0.7071077227592468, 0.0008902467088773847, -0.011474592611193657, 0.7070121765136719]"
7,2024-05-01_14:09:10,15,7,0.59,0.672935962677002,0.2072081459116511,4.443726773254788,"[0.5572390556335449, 0.3131004571914673, 0.21999302506446838]","[0.5736644864082336, 0.29747670888900757, 0.20628438889980316]",[-3.14504118e-03  6.03647553e-04 -7.34227523e-03  9.99967933e-01],"[-0.7096151113510132, 0.001534789800643921, -6.247764395084232e-05, 0.7045878171920776]"
8,2024-05-01_14:09:10,47,7,0.82,0.8819830417633057,0.4846939666979214,4.523694862280449,"[0.5589167475700378, 0.3100165128707886, 0.21983426809310913]","[0.5681009292602539, 0.2955052852630615, 0.20942701399326324]",[-3.77854193e-03 -1.14751703e-04  8.60652013e-04  9.99992490e-01],"[-0.7072500586509705, 0.0011127771576866508, -0.0038712560199201107, 0.7069520354270935]"
9,2024-05-01_14:09:10,91,7,1.13,1.0367063283920288,0.6762945240692846,4.668528451583389,"[0.5564195513725281, 0.3098897933959961, 0.21985122561454773]","[0.555050253868103, 0.2945398986339569, 0.20334316790103912]",[-3.10030370e-03  1.66179998e-05  2.85588321e-03  9.99991119e-01],"[-0.7012363076210022, 0.00779451010748744, -0.005886581726372242, 0.7128620147705078]"
10,2024-05-01_14:09:10,74,7,0.99,0.9999804496765137,0.631228328732526,4.613123420634958,"[0.55684894323349, 0.3051978349685669, 0.2196657657623291]","[0.5624473094940186, 0.2983502745628357, 0.21083468198776245]",[-2.38040206e-03  9.79771139e-05  3.75976466e-04  9.99997079e-01],"[-0.7062439322471619, 0.0038548926822841167, -0.005824478808790445, 0.7079341411590576]"
11,2024-05-01_14:09:10,16,7,0.6,0.6855284571647644,0.24481640714842984,4.424847982700668,"[0.5601029992103577, 0.31318002939224243, 0.2198369801044464]","[0.5645202398300171, 0.3037903308868408, 0.19717513024806976]",[-2.74737575e-03  4.57656250e-04 -4.00404399e-03  9.99988079e-01],"[-0.7054000496864319, -0.002538321539759636, -0.003405021969228983, 0.7087966799736023]"
12,2024-05-01_14:09:10,14,7,0.58,0.6561862230300903,0.2593093551464379,4.460646112694804,"[0.5590972304344177, 0.30849677324295044, 0.2199418842792511]","[0.5795144438743591, 0.29886406660079956, 0.19887369871139526]",[-2.15382432e-03 -1.18533913e-04  6.37248112e-03  9.99977350e-01],"[-0.7051090002059937, -0.0017456156201660633, 0.002796795219182968, 0.709091305732727]"
13,2024-05-01_14:09:10,48,7,0.83,0.8821579813957214,0.49671703759333324,4.56626199914348,"[0.556361973285675, 0.3117414116859436, 0.21991848945617676]","[0.5714107155799866, 0.30196142196655273, 0.19969479739665985]",[-2.81083933e-03 -9.96950912e-05 -1.00894307e-04  9.99996066e-01],"[-0.7020471096038818, -0.004199011251330376, -0.0003153045545332134, 0.7121180891990662]"
14,2024-05-01_14:09:10,42,7,0.78,0.8405252695083618,0.3790185113441593,4.5263194316341195,"[0.5563611388206482, 0.31076812744140625, 0.21993675827980042]","[0.5750999450683594, 0.2967638671398163, 0.19871467351913452]",[-2.76887277e-03 -1.66665734e-04 -3.69083229e-03  9.99989331e-01],"[-0.7009872198104858, -0.010374822653830051, -0.001111346296966076, 0.7130975127220154]"
15,2024-05-01_14:09:10,99,7,1.19,1.0431578159332275,0.6178503381996044,4.689698875145049,"[0.5581815242767334, 0.3110508322715759, 0.21979323029518127]","[0.5487471222877502, 0.29635366797447205, 0.20160800218582153]",[-2.51391670e-03 -1.26453015e-04  2.47676577e-03  9.99993742e-01],"[-0.7004713416099548, 0.008790452033281326, -0.009140287525951862, 0.713567852973938]"
16,2024-05-01_14:09:10,44,7,0.81,0.87665194272995,0.3983107869718358,4.519853511432001,"[0.5542245507240295, 0.30975455045700073, 0.2200668454170227]","[0.5698831081390381, 0.29513949155807495, 0.2079911082983017]",[-3.05335107e-03 -2.85135229e-05 -9.68511507e-04  9.99994874e-01],"[-0.7077942490577698, -0.009842361323535442, -0.0044793011620640755, 0.7063359022140503]"
17,2024-05-01_14:09:10,11,7,0.57,0.655655562877655,0.15212857447316697,4.435661364603326,"[0.559156596660614, 0.3116267919540405, 0.21982339024543762]","[0.5564541220664978, 0.2995406687259674, 0.21671314537525177]",[-4.67312476e-03  6.89438311e-04  5.47434436e-03  9.99973834e-01],"[-0.7102041244506836, 0.00047232332872226834, -0.005585815757513046, 0.7039734721183777]"
18,2024-05-01_14:09:10,50,7,0.84,0.8951772451400757,0.4604934394706459,4.533737257810662,"[0.5565645694732666, 0.3118396997451782, 0.21988695859909058]","[0.5699309706687927, 0.2959005832672119, 0.20786944031715393]",[-2.82826042e-03 -2.07371468e-05  2.69031012e-03  9.99992371e-01],"[-0.7098856568336487, -0.007637673988938332, -0.004961859900504351, 0.7042580842971802]"
19,2024-05-01_14:09:10,30,7,0.7,0.7648522853851318,0.26965898372844305,4.490274253277701,"[0.5580064654350281, 0.310393750667572, 0.21983465552330017]","[0.5583224892616272, 0.30171844363212585, 0.22734501957893372]",[-4.76234127e-03  1.00293162e-03 -8.92649405e-04  9.99987781e-01],"[-0.7096245288848877, -0.00023671989038120955, -0.0058281212113797665, 0.704555869102478]"
20,2024-05-01_14:09:10,60,7,0.89,0.934943437576294,0.5713158001627945,4.58291296408584,"[0.5558747053146362, 0.30800825357437134, 0.21994706988334656]","[0.5680115818977356, 0.29815226793289185, 0.2003793865442276]",[-2.78717512e-03  4.15521754e-05  3.72460205e-03  9.99989152e-01],"[-0.703061580657959, -0.002915198216214776, 0.0002240173489553854, 0.7111229300498962]"
21,2024-05-01_14:09:10,65,7,0.94,0.9723163843154907,0.7112274408644419,4.590858011066542,"[0.5577073693275452, 0.30898088216781616, 0.21995902061462402]","[0.5703898668289185, 0.30024173855781555, 0.19414584338665009]",[-3.47349606e-03  4.11529996e-04  6.76012924e-03  9.99971032e-01],"[-0.6971879005432129, -0.005444643087685108, -0.003043804783374071, 0.7168613076210022]"
22,2024-05-01_14:09:10,79,7,1.07,1.0335007905960083,0.6648085960434188,4.681652953537488,"[0.5564014315605164, 0.31295138597488403, 0.21983042359352112]","[0.5578174591064453, 0.2990055978298187, 0.20644201338291168]",[-2.86450004e-03  3.70959751e-04  7.65981385e-03  9.99966502e-01],"[-0.7055661678314209, 0.006052352488040924, -0.0029221719596534967, 0.7086121439933777]"
23,2024-05-01_14:09:10,49,7,0.83,0.8843116164207458,0.42118371924567544,4.5433407585591565,"[0.5584338307380676, 0.31016862392425537, 0.2201281487941742]","[0.5729502439498901, 0.3008938431739807, 0.20838654041290283]",[-3.52935120e-03  2.52850296e-04  1.26746076e-03  9.99992907e-01],"[-0.7094342112541199, -0.007999606430530548, -0.008190678432583809, 0.7046786546707153]"
24,2024-05-01_14:09:10,101,7,0.51,0.5889155864715576,0.11470431193820232,4.471834429376671,"[0.5528693199157715, 0.3122193217277527, 0.21979570388793945]","[0.5690879225730896, 0.3000873923301697, 0.21036703884601593]",[-4.18088259e-03 -2.67668074e-05  1.85015134e-03  9.99989569e-01],"[-0.7104523181915283, 0.004533802159130573, -0.0014850449515506625, 0.7037292122840881]"
25,2024-05-01_14:09:10,19,7,0.61,0.6902598738670349,0.21233456056672095,4.479082078983352,"[0.5569632649421692, 0.3128342032432556, 0.21981391310691833]","[0.5591488480567932, 0.3041364252567291, 0.21952879428863525]",[-5.47548383e-03  6.55522279e-04 -4.54808207e-04  9.99984682e-01],"[-0.7108067274093628, 0.0002753431035671383, -0.004049614537507296, 0.7033756971359253]"
26,2024-05-01_14:09:10,77,7,1.06,1.0377298593521118,0.6261941162353574,4.6938669823289105,"[0.5545842051506042, 0.31086021661758423, 0.2195994257926941]","[0.55839604139328, 0.3033566474914551, 0.21147002279758453]",[-3.59698362e-03 -5.88189323e-05  4.23278520e-03  9.99984562e-01],"[-0.7064094543457031, 0.00686022499576211, -0.004910277668386698, 0.7077531814575195]"
27,2024-05-01_14:09:10,86,7,1.11,1.0342507362365723,0.678434014719927,4.686598350535277,"[0.5615201592445374, 0.3152519464492798, 0.22050851583480835]","[0.5556012988090515, 0.30081069469451904, 0.2048805058002472]",[-1.81422615e-03  5.81414788e-05 -2.56698579e-03  9.99995053e-01],"[-0.6981801390647888, 0.007257991470396519, -0.009944889694452286, 0.7158162593841553]"
28,2024-05-01_14:09:10,78,7,1.07,1.0388965606689453,0.6850047067905289,4.700135851703756,"[0.551633358001709, 0.311215877532959, 0.219887375831604]","[0.5567083358764648, 0.301502525806427, 0.20649711787700653]",[-3.16341291e-03  1.66365120e-04  7.98180792e-03  9.99963105e-01],"[-0.7055444121360779, 0.005344022996723652, -0.0033036114182323217, 0.7086378335952759]"
29,2024-05-01_14:09:10,3,7,0.53,0.5895612835884094,0.13827087481829528,4.423806082793483,"[0.5573971271514893, 0.3049933910369873, 0.21989023685455322]","[0.60101318359375, 0.29042765498161316, 0.20546482503414154]",[-2.64898269e-03  8.55373335e-04  7.57264905e-03  9.99967456e-01],"[-0.7030628323554993, -0.02073066681623459, 0.016569269821047783, 0.7106323838233948]"
30,2024-05-01_14:09:10,20,7,0.62,0.7059513330459595,0.2498959103459159,4.46282462677659,"[0.5566981434822083, 0.3142368197441101, 0.21984949707984924]","[0.5637032985687256, 0.3000462055206299, 0.21348756551742554]",[-3.52611137e-03  7.58894370e-04  1.25627802e-03  9.99992728e-01],"[-0.7095032334327698, 0.0018135382561013103, -0.004069965332746506, 0.7046881318092346]"
