Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
0,2024-05-06_14:23:00,295,7,1.173,0.9024213552474976,0.5264410919032562,4.5587922630327045,"[0.56667560338974, 0.31175780296325684, 0.22023099660873413]","[0.550959587097168, 0.3024420440196991, 0.2088283896446228]",[-2.34537911e-05 -3.89828056e-04 -7.04609230e-03  9.99975085e-01],"[-0.6786072254180908, 0.018755394965410233, -0.032950274646282196, 0.7335221767425537]"
1,2024-05-06_14:23:00,75,7,0.661,0.7380539774894714,0.4365557350939754,4.3930252424845655,"[0.5666912198066711, 0.3130462169647217, 0.22026309370994568]","[0.5685597062110901, 0.2987554371356964, 0.20993806421756744]",[-3.66929313e-03  8.00985494e-04 -1.37236882e-02  9.99898791e-01],"[-0.7078197598457336, -0.0001516660413471982, -0.006350271869450808, 0.7063645124435425]"
2,2024-05-06_14:23:00,230,14,1.048,0.8423746824264526,0.3879250332266191,4.6268608331013885,"[0.5392132997512817, -0.28220582008361816, 0.21911033987998962]","[0.5165504217147827, -0.2467053234577179, 0.20029841363430023]",[-3.52319796e-03  3.56507517e-04 -9.12609044e-03  9.99952078e-01],"[0.4856298267841339, -0.46041277050971985, 0.5455895066261292, 0.5044956207275391]"
3,2024-05-06_14:23:00,89,7,0.685,0.751848042011261,0.4782247581456105,4.382358393912578,"[0.5450838208198547, 0.31102824211120605, 0.22004136443138123]","[0.5633724331855774, 0.29325681924819946, 0.20462127029895782]",[-3.60803585e-03  6.04699133e-04 -8.36548302e-03  9.99958336e-01],"[-0.703088104724884, -0.004025700967758894, 0.00029517218354158103, 0.7110912799835205]"
4,2024-05-06_14:23:00,69,7,0.641,0.7161181569099426,0.48721732344484153,4.39527406055403,"[0.5627986192703247, 0.3083329200744629, 0.22042423486709595]","[0.5683148503303528, 0.29963552951812744, 0.20691733062267303]",[-2.79348763e-03  3.37760837e-04 -3.05252080e-03  9.99991357e-01],"[-0.7045632004737854, -0.0019763216841965914, -0.0024792172480374575, 0.7096341848373413]"
5,2024-05-06_14:23:00,269,7,1.118,0.8902779221534729,0.6533648234091606,4.5725417998445135,"[0.5525503158569336, 0.3246944546699524, 0.22069934010505676]","[0.5446920990943909, 0.3088337481021881, 0.2034522294998169]",[-2.66658934e-03  6.57245400e-04 -5.50367422e-02  9.98480558e-01],"[-0.6756064891815186, 0.01669578067958355, -0.030117163434624672, 0.7364577651023865]"
6,2024-05-06_14:23:00,198,14,0.981,0.882200300693512,0.43260472429228686,4.659868554902458,"[0.559598445892334, -0.27514010667800903, 0.21921399235725403]","[0.5076321363449097, -0.2486841380596161, 0.24379901587963104]",[-2.94327084e-03  5.44607639e-04  6.94085658e-03  9.99971449e-01],"[0.5139917135238647, -0.4928174316883087, 0.5109530687332153, 0.4815292954444885]"
7,2024-05-06_14:23:00,43,7,0.596,0.670620858669281,0.4053097504313617,4.360311127856999,"[0.5687372088432312, 0.3004886507987976, 0.22036439180374146]","[0.5711080431938171, 0.28543099761009216, 0.2035304456949234]",[-3.27315694e-03  7.98420340e-04 -7.51896901e-03  9.99966085e-01],"[-0.7043077349662781, -0.00248948042280972, -0.0014424975961446762, 0.7098889350891113]"
8,2024-05-06_14:23:00,226,14,1.041,0.8636184334754944,0.3926901296753078,4.830060050372816,"[0.5474283695220947, -0.3090801239013672, 0.2190755009651184]","[0.4899504482746124, -0.27887555956840515, 0.23468293249607086]",[-3.64111131e-03  8.83984088e-04  1.46986777e-02  9.99884963e-01],"[0.517493486404419, -0.487301766872406, 0.5126762986183167, 0.48156043887138367]"
9,2024-05-06_14:23:00,116,14,0.754,0.7679833769798279,0.3916554889622094,4.577700117981287,"[0.5518546104431152, -0.27628815174102783, 0.21930894255638123]","[0.5157893896102905, -0.24861308932304382, 0.24198795855045319]",[ 1.52398541e-04 -5.61879831e-04 -1.43744284e-02  9.99896526e-01],"[0.5064699649810791, -0.49517980217933655, 0.5085474252700806, 0.48955556750297546]"
