Fold,Desired_number_of_samples,Actual_number_of_samples,Number_of_iterations,KL_div,KL_div_inv,KL_div_resampled,KL_div_resampled_inv
1,10,10,5,0.4304,0.6464,0.5402,0.6514
1,20,20,7,0.1371,0.2892,0.3700,0.3335
1,50,50,33,0.1182,0.1586,0.2090,0.1866
1,100,99,120,0.0710,0.0683,0.0701,0.0638
1,150,143,181,0.0389,0.0616,0.0830,0.0833
1,200,187,13,0.0412,0.0473,0.0451,0.0507
1,250,228,127,0.0189,0.0185,0.0184,0.0201
1,300,269,64,0.0179,0.0181,0.0151,0.0211
1,350,304,49,0.0100,0.0102,0.0072,0.0150
1,400,335,55,0.0138,0.0159,0.0083,0.0238
1,450,366,35,0.0083,0.0093,0.0073,0.0122
1,500,383,56,0.0077,0.0097,0.0078,0.0128
2,10,10,4,0.7653,1.4342,0.7462,1.4762
2,20,20,6,0.1353,0.2849,0.3487,0.3075
2,50,50,48,0.0958,0.1611,0.2045,0.2094
2,100,99,34,0.0530,0.1307,0.1931,0.1780
2,150,143,20,0.0321,0.0416,0.0407,0.0534
2,200,187,22,0.0581,0.0577,0.0793,0.1177
2,250,228,127,0.0196,0.0185,0.0091,0.0231
2,300,269,61,0.0088,0.0681,0.1575,0.1926
2,350,304,50,0.0103,0.0108,0.0060,0.0162
2,400,335,24,0.0395,0.0243,0.0899,0.1403
2,450,366,94,0.0070,0.0068,0.0050,0.0083
2,500,383,112,0.0164,0.0181,0.0701,0.1021
3,10,10,10,0.2171,0.2963,0.2063,0.2871
3,20,20,42,0.2496,0.2836,0.2997,0.3849
3,50,50,165,0.0987,0.1652,0.2009,0.2084
3,100,99,94,0.0450,0.1174,0.2392,0.1865
3,150,143,66,0.0327,0.0774,0.1915,0.2202
3,200,187,52,0.0298,0.0250,0.0190,0.0305
3,250,228,54,0.0047,0.0563,0.1838,0.2002
3,300,269,30,0.0204,0.0366,0.0456,0.0472
3,350,304,17,0.0155,0.0205,0.0194,0.0298
3,400,335,38,0.0214,0.0292,0.0361,0.0537
3,450,366,47,0.0070,0.0079,0.0056,0.0111
3,500,383,40,0.0095,0.0094,0.0096,0.0073
4,10,10,4,0.5319,0.7473,0.4896,0.7326
4,20,20,13,0.1104,0.1141,0.0833,0.1054
4,50,50,11,0.0522,0.0454,0.0431,0.0564
4,100,99,41,0.1309,0.1330,0.3216,0.2991
4,150,143,108,0.0459,0.0680,0.0886,0.0883
4,200,187,302,0.0472,0.0523,0.0543,0.0564
4,250,228,18,0.0335,0.0338,0.0304,0.0358
4,300,269,32,0.0237,0.0266,0.0242,0.0297
4,350,304,43,0.0119,0.0106,0.0065,0.0132
4,400,335,17,-0.0496,0.0878,0.1436,0.1046
4,450,366,45,0.0073,0.0085,0.0056,0.0119
4,500,383,36,0.0061,0.0056,0.0038,0.0056
5,10,10,41,0.3883,0.8046,0.4601,0.6857
5,20,20,47,0.4674,0.3926,0.4936,0.4137
5,50,50,40,0.0847,0.1637,0.1862,0.1891
5,100,99,40,0.0701,0.1035,0.1355,0.1304
5,150,143,14,0.0336,0.0447,0.0493,0.0628
5,200,187,48,0.0294,0.0271,0.0235,0.0323
5,250,228,35,0.0201,0.0197,0.0176,0.0218
5,300,269,78,0.0246,0.0268,0.0258,0.0254
5,350,304,38,0.0167,0.0229,0.0214,0.0326
5,400,335,47,0.0092,0.0087,0.0061,0.0111
5,450,366,40,0.0055,0.0059,0.0036,0.0093
5,500,383,32,0.0054,0.0063,0.0051,0.0077
