DesiredFlux,1.2,HitTime,1715015848.5117824,DesiredPos, 0.61348569393157959 -0.28521543741226196  0.21934670209884644
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715015847.9369562, 0.55190405678623877   1.2230177152969894 -0.18285140876053321  -1.1298790757392272   -1.092332570948088   1.7898571123434059 -0.78699919591728784, 1.9705170730441872e-06  1.4737702947824627e-05 -2.4933055901699617e-05   0.0001970563670800502 -8.6458798913982263e-06  5.0751688847458718e-05 -7.6816425253907332e-06,-1.3348672714233398  72.828712249755867  6.6567246398925786 -18.529138214111327  1.9667575454711914 -2.0572453460693358 0.35978430938720701,   -1.536984709596817    0.8394124334513049   0.55118127950729123 -0.016359648899839867   -1.7451215101871216   0.59805626036449133   0.75153595234708626, 0.61051559448242188 0.067758604884147644  0.22283026576042175, 0.50627052783966064 -0.50249528884887695  0.49351504445075989   0.4976259171962738,4.4611020712181926e-05 2.3448554202332161e-05 4.0038627048488706e-05,0.00094440695829689503    -1.3109333515167236 -0.0011072905035689473,  0.22131523489952087 -0.024375669658184052  0.075034312903881073 -0.024375669658184052   0.23111267387866974  0.029544886201620102  0.075034312903881073  0.029544886201620102   0.20244936645030975,  0.91309851690546395  -0.58299157605024021    1.1956779230697379   0.81672209055394518 -0.081372514734390222  0.035516318810380199                     0,5.8919828006764874e-05
IIWA_14,1715015847.9419758, 0.55190405678623877   1.2230177152969894 -0.18285158852944616  -1.1298775178147036   -1.092332570948088   1.7898571123434059 -0.78699907603498487, 1.5764136584353498e-06  1.1790162358259702e-05 -2.7137201239364854e-05  0.00021996207460842814 -6.9167039131185815e-06  4.0601351077966977e-05 -1.3500219013705578e-06,-1.3271512756347656  72.815852256774903  6.6473148918151859 -18.541236461639404  1.9729201698303223 -2.0565778427124024 0.35744804763793947,   -1.5269125024547874    0.83607085493185418    0.55546844076868063 -0.0018765520792614566    -1.7511436749106024     0.5898899587268458    0.75149027618230246, 0.61051583290100098 0.067758806049823761  0.22283051908016205, 0.50627040863037109 -0.50249546766281128   0.4935152530670166  0.49762564897537231,4.6293887862702832e-05 2.6852230803342536e-05 4.1988456359831616e-05,0.00094428460579365492    -1.3109334707260132 -0.0011073610512539744,  0.22131510078907013 -0.024375727400183678  0.075034327805042267 -0.024375727400183678   0.23111262917518616  0.029544917866587639  0.075034327805042267  0.029544917866587639    0.2024494856595993,    0.91310106398179158    -0.58299249031712463      1.1956800202561624     0.81672430444346134   -0.081372491552933468    0.035516674449453944 -3.5527136788005009e-12,6.2267208704724908e-05
IIWA_14,1715015847.946981,  0.5519039369039358   1.2230178950659025 -0.18285194806727206  -1.1298765590835289  -1.0923323793109361   1.7898575317678418 -0.78699907603498487,-3.5341611921937493e-06  1.6622886410164037e-05 -3.6091274027502204e-05  0.00021431890667361099  2.1321229465071494e-06  4.9258058296336808e-05 -1.0800175210964463e-06,-1.3220072784423829  72.810708259582526  6.6594131393432621 -18.538547962188719  1.9702790451049805 -2.0589141044616701 0.35611304092407225,-56.768284329499799  6.5856058174293235 -28.544038960697137  -16.22590537111105  -1.984544863558376  1.4571612960529414 0.75134043094916203,  0.6105162501335144 0.067759029567241669  0.22283083200454712, 0.50627022981643677 -0.50249594449996948  0.49351555109024048  0.49762505292892456,5.4365038522519171e-05  3.020212534465827e-05 4.6215835027396679e-05,0.00094421691028401256    -1.3109333515167236 -0.0011074510402977467,  0.22131487727165222 -0.024375805631279945  0.075034365057945251 -0.024375805631279945   0.23111256957054138  0.029544929042458534  0.075034365057945251  0.029544929042458534   0.20244969427585602,  0.91310440197833742  -0.58299299110053937    1.1956819028284826   0.81672672521904133 -0.081372947439817267  0.035517729665812681                     0,7.092630403349176e-05
IIWA_14,1715015847.9519515, 0.55190399679054569   1.2230179549525124 -0.18285200795388204  -1.1298756602389641  -1.0923323793109361   1.7898578913056677 -0.78699895626176486,-4.3186455802253914e-07  1.5693773523863689e-05 -3.1268483621064893e-05  0.00020740890793002483  1.7056983572057196e-06  5.3787959675300211e-05   3.926914783469548e-06, -1.329723274230957  72.815852256774903  6.6432821426391602 -18.547957710266115  1.9667575454711914 -2.0582466011047362 0.35744804763793947,-56.767983068943614   6.585523148178698 -28.543810711069536 -16.225773394473343 -1.9846247086385627  1.4570716607049099 0.75132254071874005, 0.61051642894744873 0.067758992314338684  0.22283102571964264, 0.50626987218856812 -0.50249624252319336  0.49351567029953003  0.49762502312660217,5.0591876060934737e-05 2.2892816559760831e-05 4.4747270294465125e-05,0.00094414933118969202    -1.3109332323074341 -0.0011075410293415189,  0.22131472826004028 -0.024375850334763527  0.075034394860267639 -0.024375850334763527   0.23111256957054138  0.029544921591877937  0.075034394860267639  0.029544921591877937   0.20244979858398438,  0.91310613658368567  -0.58299275750073321    1.1956822829031211   0.81672773814389643 -0.081373492163194783  0.035516930887879994                     0,6.5280866692773998e-05
IIWA_14,1715015847.9569516, 0.55189758521445542   1.2230207712594268 -0.18286908545519739  -1.1298908202779301  -1.0923327627597728   1.7898618461126696 -0.78699907603498487,-0.00025680853525723976  0.00012520729539284572 -0.00070811483951103472 -0.00044047443229420558 -1.3973394781544686e-05   0.0002012226478155379 -1.6493969735710668e-06,-1.2139833374023439  72.743836296081554  6.8852470932006833 -18.307337009429933  1.9826042938232422 -2.0699279098510743 0.35778179931640625,-56.768078017416563  6.5855258713240632 -28.543842893521912  -16.22579043478498   -1.98463399128573  1.4570542398056525 0.75128295547476087, 0.61051660776138306 0.067759163677692413  0.22283123433589935, 0.50626963376998901 -0.50249648094177246  0.49351584911346436  0.49762478470802307,4.7536530473735183e-05 2.5152252419502474e-05 4.3682357500074431e-05,0.00094400957459583879    -1.3109332323074341 -0.0011076322989538312,  0.22131460905075073 -0.024375906214118004   0.07503441721200943 -0.024375906214118004    0.2311125248670578  0.029544945806264877   0.07503441721200943  0.029544945806264877   0.20244990289211273,   0.91310856311288546   -0.58299350777257786     1.1956840918374567    0.81672962394296889  -0.081373717160104775   0.035517000700480139 3.5527136788005009e-12,6.3422579842153937e-05
IIWA_14,1715015847.9619567, 0.55176348175054768   1.2230778761418073 -0.18333491230539159  -1.1302075632850803   -1.092334680178489   1.7899468741905036 -0.78700147291746325, -0.0055695853845154752   0.0023843611315355574   -0.019199565879376643   -0.013022099831844687 -8.7875464475087293e-05   0.0035621012316103704 -9.7194816714207499e-05, 6.6409003753662113  67.962490905761726  12.117067024230957  -11.81326658630371  1.9676379203796386 -2.6993835754394531 0.39883325576782225,-56.748237739866184    6.58006289873921 -28.529563831141239 -16.216245069017514 -1.9857761034877375  1.4517965526121395 0.75282408546091584, 0.61051362752914429 0.067746929824352264  0.22283194959163666, 0.50626081228256226 -0.50249284505844116  0.49351605772972107  0.49763727188110352,-8.1303202023264021e-05 -0.00046928625670261681  6.3736981246620417e-05,0.00094395974883809686    -1.3109332323074341 -0.0011077021481469274,  0.22131514549255371 -0.024374136701226234  0.075034976005554199 -0.024374136701226234   0.23111467063426971  0.029543384909629822  0.075034976005554199  0.029543384909629822   0.20244795083999634,  0.91302538998938587  -0.58294582114370996    1.1955951752620209   0.81666332896102034 -0.081365457587523338   0.03546032383461295                     0,0.00043985963566228747
IIWA_14,1715015847.966954, 0.55171626394021345   1.2230819507220292 -0.18390440265925875  -1.1304538990557069  -1.0923445552513968   1.7899837257268287 -0.78700452887990036, -0.0063443807209816782   0.0020704721141040902   -0.038139266858187859   -0.020271110690539933 -0.00046530328789362807   0.0043237424382945111 -0.00019999435085552773, 12.561641143798829  67.785023002624513  14.422455303192139 -12.325425731658935  1.5776318359374999 -2.3389317626953123 0.27100636291503905,-56.290324326895011  6.4877437894963572  -28.16557311287465 -16.020077664052092 -2.0024445169846965  1.3293738276873757 0.77799461686184279, 0.61045998334884644 0.067456722259521484  0.22287432849407196,  0.5060308575630188 -0.50242036581039429  0.49354401230812073  0.49791651964187622,-0.0022139183711260557  -0.011982630006968975  0.0017490067984908819,0.00094391294987872243      -1.31093430519104 -0.0011077803792431951,  0.22131618857383728 -0.024332279339432716  0.075051009654998779 -0.024332279339432716    0.2311662882566452   0.02950405515730381  0.075051009654998779   0.02950405515730381   0.20241035521030426,  0.91105134611701999  -0.58178295804189872    1.1934067292767025   0.81510898577175084 -0.081148676965625555  0.034108860964998655                     0,0.011268369853496552
IIWA_14,1715015847.9719558, 0.55170715593951192    1.223097650067734 -0.18464886270697067  -1.1309002515221074  -1.0923458015910157   1.7901408987346232 -0.78700195233759207, -0.0054398246048465368   0.0022843515194744032   -0.060289815395027091   -0.034070987208450226 -0.00042209621506863652   0.0097459142624155178 -5.6933788352992376e-05, 14.485496093750001  67.944486915588385  14.989728687286377 -12.146640518188477  2.0204604148864744 -2.7734764480590819 0.28035140991210938,-55.996973722897664  6.4863850957252565 -27.845468925164369 -15.929405420296053 -1.9889729036854229  1.2380556212084508  0.7797357637700284, 0.61044389009475708 0.067203007638454437  0.22297745943069458, 0.50578904151916504 -0.50236290693283081  0.49363622069358826    0.498128741979599,-0.0024209124967455864  -0.019731676205992699  0.0055305934511125088,0.00094541965518146753    -1.3109591007232666 -0.0011086633894592524,  0.22129586338996887 -0.024291457608342171   0.07507014274597168 -0.024291457608342171   0.23121556639671326  0.029464274644851685   0.07507014274597168  0.029464274644851685    0.2023930698633194,    0.90913654450464065    -0.58070662268949746      1.1912244360923196     0.81371261043106102   -0.080814510676319173    0.032910186003931585 -4.4408920985006262e-12,0.018887756392359734
IIWA_14,1715015847.9769518, 0.55170973259090328   1.2231016048747358 -0.18558794660123401  -1.1315599831432011  -1.0923459934027004   1.7903425933463069 -0.78700452887990036, -0.0042487936282227636   0.0019856734956548204   -0.085795208086555164   -0.053646054610507116 -0.00034534943944521649    0.015864515877277323 -0.00014860872301382372, 14.688683982849122  67.144595352172857  13.626659465789794 -11.006716751098633  1.7184918212890625 -2.4864500045776365 0.34676799392700197,-55.649541541086016  6.4366013357272536 -27.464835344519742 -15.770818760481927 -1.9869907978160832  1.0932266514835787 0.80057857932745524, 0.61036509275436401 0.066880621016025543   0.2231011688709259, 0.50545454025268555 -0.50224018096923828  0.49374759197235107  0.49848157167434692,-0.0050987298600375652  -0.028673678636550903  0.0093873217701911926,0.00097743014339357615    -1.3109827041625977 -0.0011395699111744761,  0.22128972411155701 -0.024235570803284645    0.0750909224152565 -0.024235570803284645   0.23128288984298706  0.029417742043733597    0.0750909224152565  0.029417742043733597   0.20235273241996765,  0.90651813437325757  -0.57944280757737943    1.1884421911956267   0.81188246057006808 -0.080299308996778507  0.031108744435570657                     0,0.028007898479700089
IIWA_14,1715015847.9819534, 0.55171123051973381   1.2231022640637776 -0.18678145553995762  -1.1323738916962622  -1.0923643052226795   1.7906586772734985 -0.78700476853542323, -0.0033391177493570325   0.0016149063581957037    -0.11637652401818847   -0.075473185810852994  -0.0010087523507170614    0.025334969789486812 -0.00012847319932590684, 14.472636100769044  66.691923599243168   13.21935179901123 -10.280821899414063  1.1286406326293945 -2.4734336891174316 0.36645934295654298,-55.227937913218732   6.351619895439784 -27.017413522121149 -15.557817726678595 -1.9906064264282297 0.91177920721134664 0.83653183552076316, 0.61023974418640137 0.066466748714447021  0.22324991226196289, 0.50504034757614136 -0.50205826759338379  0.49387636780738831  0.49895676970481873,-0.0091119660064578056  -0.039480429142713547   0.013488883152604103,0.0010026247473433614   -1.3110150098800659 -0.001196752768009901,  0.22129370272159576 -0.024161066859960556  0.075114935636520386 -0.024161066859960556    0.2313707023859024   0.02935856394469738  0.075114935636520386   0.02935856394469738   0.20229202508926392,    0.90304703727817071    -0.57784001438676569      1.1848436684305241     0.80945182310454555   -0.079613237184084085    0.028781039369540906 -2.6645352591003757e-12,0.039087139070034027
IIWA_14,1715015847.9869528, 0.55170787501516372   1.2231016647613457 -0.18821656648004398  -1.1333342475543657  -1.0923688113137422   1.7910534375890437 -0.78700476853542323,   -0.00280551438228925   0.0012679529892804483    -0.15050565681800515   -0.098792782972822429 -0.00098724552308277489    0.036058388453397254 -0.00010277855946072548, 14.873867881774903  66.720215583801277  14.582421020507812 -10.908586521148681  1.8382228088378907 -2.7067261123657227  0.3524417724609375,-54.713714766937457  6.2654543458595704 -26.458935701665631 -15.307772051907802 -1.9853592354539762  0.6768828891284665 0.87399543164101656, 0.61008048057556152 0.065944448113441467  0.22345893085002899, 0.50448858737945557 -0.50183165073394775  0.49405103921890259  0.49956968426704407,-0.013691444881260395 -0.052450984716415405  0.019202729687094688, 0.0010621900437399745    -1.3110569715499878 -0.0012779452372342348,  0.22129471600055695 -0.024069616571068764  0.075145788490772247 -0.024069616571068764   0.23148077726364136  0.029285822063684464  0.075145788490772247  0.029285822063684464   0.20221880078315735,   0.89877554002359972   -0.57586044059743102      1.180411182801322    0.80646185981159135  -0.078736861408579273   0.025742609711443265 1.7763568394002505e-12,0.052635539323091507
IIWA_14,1715015847.9919813, 0.55171278855334038   1.2231022640637776 -0.18984468334646518  -1.1344962979150699  -1.0923715916232406   1.7915029659001844 -0.78700452887990036, -0.0020478699787647931   0.0010383344887004734    -0.18552920011125201    -0.12551624080642432 -0.00090100879840249626    0.046827843208348069  -7.263662665373254e-05, 16.373343063354493  66.884823493957526  15.249168884277344 -11.442253662109374  1.6876786994934081  -2.341601776123047 0.32440663146972654,-54.129491522403761  6.1706257767132797 -25.822611254549063 -15.028647318040353 -1.9812170306337198 0.40611092769942936  0.9144516785406962,0.60988867282867432 0.06531708687543869 0.22371472418308258,0.50381761789321899 -0.5015711784362793 0.49425479769706726 0.50030624866485596,-0.018674137070775032 -0.067013084888458252  0.025673946365714073, 0.0011517780367285013    -1.3111095428466797 -0.0013849972747266293,  0.22129292786121368 -0.023961747065186501  0.075183182954788208 -0.023961747065186501   0.23161226511001587   0.02919783815741539  0.075183182954788208   0.02919783815741539   0.20213346183300018,    0.89373441784257324    -0.57347409021257789      1.1751153933907688     0.80289573879266385   -0.077730544449927663    0.022075927321729694 -3.5527136788005009e-12,0.067865356802940369
IIWA_14,1715015847.9969511, 0.55173052513461451   1.2231019644125618 -0.19165460090725728   -1.135847159848667  -1.0923717834349254    1.792022122485587 -0.78700237176202803,-0.00092883273204662025  0.00081868154232676231    -0.22082006252068567    -0.15444746998902448 -0.00072847950611230428    0.058228537982781672  2.8175413570039658e-05, 16.931466758728028  67.180603332519539  15.062318172454834  -11.34143493270874  1.6850375747680664 -2.4317147293090819 0.31673034286499024,-53.512164314205435  6.0418785000143886 -25.156470101495792 -14.711931013160576 -1.9829385318228216 0.11023845009953848  0.9672191799885258,0.60964959859848022 0.06459837406873703 0.22399275004863739, 0.50306129455566406 -0.50125283002853394  0.49447530508041382  0.50116771459579468,-0.024571727961301804 -0.082298330962657928   0.03177822008728981, 0.0012751115718856454    -1.3111724853515625 -0.0015398595714941621, 0.22130124270915985 -0.02383546344935894 0.075223840773105621 -0.02383546344935894  0.23176373541355133 0.029097110033035278 0.075223840773105621 0.029097110033035278  0.20202745497226715,    0.88786513407779211    -0.57075152850938338         1.1690164016116     0.79874973582416686    -0.07656355792651226    0.017871621040832508 -8.8817841970012523e-13,0.083809040486812592
IIWA_14,1715015848.0019503,  0.5517422097867074   1.2231042414127371 -0.19365027396942222  -1.1373598685636295  -1.0923735090419568   1.7925460128402535 -0.78700159279976623,-0.00027568010192163665  0.00074602524087337765    -0.25648297250314628    -0.18406632458971767 -0.00065180788614938772    0.067538444572884937  5.3698821328225713e-05, 16.537950973510743  67.203751319885257  14.519241283416749 -11.051076992034913  1.7017646980285643 -2.2554938430786131 0.34509923553466798, -52.879292645504158   5.8897690925864987  -24.469720485604519  -14.369005087174507   -1.987958170675352 -0.20980023807789128   1.0292442135572957,0.60936284065246582 0.06379728764295578 0.22429646551609039, 0.50221836566925049 -0.50088047981262207   0.4947127103805542  0.50215017795562744,-0.031219581142067909  -0.09779965877532959  0.037733253091573715, 0.0014334250008687377    -1.3112447261810303 -0.0017406715778633952, 0.22131885588169098  -0.0236927829682827 0.075267329812049866  -0.0236927829682827  0.23193344473838806 0.028985083103179932 0.075267329812049866 0.028985083103179932  0.20190250873565674,  0.88126201938631965    -0.567736180474121    1.1622045684669402   0.79408953199866517 -0.075248197270560979  0.013141612259737201                     0,0.10009080171585083
IIWA_14,1715015848.006953, 0.55174203001779443    1.223105200143912 -0.19584338707596977  -1.1390232790418522  -1.0923748513746847   1.7930721203084854  -0.7870011133796373,-0.00022773483805642471  0.00063516943969445239    -0.29291090226441885    -0.21378947880068275  -0.0005751396180339322    0.075075054387583773  6.2135862219753359e-05, 15.082199768066408    67.5483991317749  13.769149936676026  -11.55113788986206  1.5873159599304199 -2.2481513061523439 0.34209547042846677, -52.225401781150687   5.7216078281968583  -23.763253194685433  -14.012649838944926  -1.9932432357293552 -0.53718734948340985   1.0965551785373675, 0.60904765129089355 0.062905818223953247  0.22462007403373718, 0.50130420923233032 -0.50046348571777344  0.49496722221374512  0.50322741270065308,-0.037701182067394257  -0.11379451304674149  0.043344598263502121,  0.001635498134419322    -1.3113256692886353 -0.0019808169454336166,  0.22134144604206085 -0.023531967774033546  0.075314924120903015 -0.023531967774033546   0.23212131857872009  0.028858233243227005  0.075314924120903015  0.028858233243227005   0.20176194608211517,   0.87386718838544652   -0.56434478942168909     1.1545683290163922    0.78885777266979318  -0.073800005761626153   0.007994784679610234 1.7763568394002505e-12,0.11664274334907532
IIWA_14,1715015848.0119522, 0.55172225609186787   1.2231099339131757 -0.19825227621968911  -1.1408577641844446  -1.0923710163627192   1.7935281800780194 -0.78699919591728784,-0.00097314490750747401  0.00069748632230305369    -0.33068428756030865    -0.24441098874424361  -0.0003067112158052557    0.078302434291427053  0.00012640718375398055, 12.929436943054199  68.003642883300785  12.993517845153809 -11.696316860198975   1.786280689239502 -2.1673833999633789 0.31372657775878904,  -51.54607668266538   5.5463896993048518  -23.028787203834845  -13.647445653914234  -1.9970916601999624 -0.87383357714544352   1.1661539441546216, 0.60870873928070068 0.061919171363115311  0.22497044503688812, 0.50031208992004395 -0.50000888109207153  0.49524110555648804  0.50439584255218506,-0.043872501701116562  -0.13037353754043579  0.048961523920297623, 0.0018895665416494012    -1.3114149570465088 -0.0022685520816594362,  0.22136569023132324 -0.023353172466158867  0.075367346405982971 -0.023353172466158867   0.23232747614383698  0.028715169057250023  0.075367346405982971  0.028715169057250023    0.2016083300113678,    0.86569263043223543     -0.5605475253327441       1.146079462286842       0.783043769367886   -0.072231977651604495   0.0024258234958551839 -8.8817841970012523e-13,0.13359604775905609
