DesiredFlux,1.2,HitTime,1715016158.3276885,DesiredPos,0.33423441648483276 -0.2982897162437439 0.21889552474021912
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715016157.7132182, 0.64769738195160809  0.86771025420639114 0.047227373538606912  -1.9812595650972953 -0.91096427003113678   1.7261350111078975 -0.21749570572043009,-1.8197582972813553e-05  1.4956619778138203e-06   0.0027489470317684436 -0.00058122688268179051  8.2252065839812405e-07  3.1540928449869072e-06  6.5826975975835254e-06,0.98764746093750011  53.098911018371588 0.71245235443115229 -6.8166903572082518 0.99394327163696283 -2.5268339576721193 0.31339282608032226,   0.8130085225892244     3.897627146418924 -0.074188019080300649   -1.0566722650226672    0.5225745979219536    0.3377958172973477   0.40154515569989668, 0.33746358752250671 0.045927725732326508  0.23617443442344666, 0.51667326688766479 -0.51043552160263062  0.48435217142105103  0.48775744438171387,-0.00044288407661952078  0.00071831542300060391 -0.00036047198227606714,-0.0046756640076637268    -1.3103715181350708  -0.024999078363180161,   0.28231635689735413 -0.0080441730096936226   0.030276885256171227 -0.0080441730096936226     0.2304542064666748   0.037339609116315842   0.030276885256171227   0.037339609116315842    0.14417269825935364,    0.30197417736932408    -0.85539446093996219      1.0497939436104886     0.62492227787025456   -0.065768974500279853     0.10504711369119235 -2.6645352591003757e-12,0.00084018998313695192
IIWA_14,1715016157.7182152,   0.647697262069305  0.86771019431978125 0.047236541535001481  -1.9812606437107729 -0.91096427003113678   1.7261350111078975 -0.21749588548934304,-1.9353358501633764e-05 -1.1989348134814042e-06   0.0025658774811974927 -0.00050812604525124288  6.5801652671849931e-07  2.5232742759895259e-06 -1.9245984399383381e-06, 1.0082234497070313  53.106627014160161 0.72320635223388674 -6.8207231063842775 0.99218252182006839 -2.5261664543151854 0.31539533615112303,   0.8094411539559021    3.9104853290692909 -0.070928991137525932    -1.073753107680923   0.53378346773074414   0.33492902378899514   0.40177828512303615, 0.33746209740638733 0.045929815620183945  0.23617331683635712, 0.51667720079421997 -0.51043349504470825  0.48435103893280029  0.48775649070739746,-0.00041369936661794782  0.00065821362659335136 -0.00033328932477161288,-0.004672701470553875   -1.3103715181350708 -0.024994140490889549,   0.28231680393218994 -0.0080437613651156425   0.030275842174887657 -0.0080437613651156425    0.23045377433300018   0.037340208888053894   0.030275842174887657   0.037340208888053894    0.14417257905006409,   0.30195978127700585   -0.85541107858766452     1.0498012581994232    0.62493997383938904  -0.065760437214734679    0.10505765124246835 8.8817841970012523e-13,0.00077446555951610208
IIWA_14,1715016157.7232161, 0.64769738195160809  0.86771025420639114   0.0472463086156618  -1.9812617223242508 -0.91096417421256082   1.7261351908768106 -0.21749588548934304,-1.0687394677924089e-05  1.4363165449473371e-06   0.0024433852113707744 -0.00044964537531568661   4.359156259875807e-06  9.2093759443478953e-06 -1.5396787519506706e-06,  1.031371437072754  53.116915008544922 0.72320635223388674 -6.8113133583068848 0.99130214691162111 -2.5241639442443846 0.31606283950805664, -30.926051123580827   8.5043028457576906  -28.717522921732343  -23.694409779184653 -0.42820524918247316   3.1166108150722134  0.40190037802363499, 0.33746099472045898 0.045932207256555557  0.23617218434810638, 0.51668113470077515 -0.51043188571929932  0.48434987664222717  0.48775514960289001,-0.00037534386501647532  0.00062220316613093019  -0.0003113927086815238,-0.0046702600084245205    -1.3103712797164917  -0.024990005418658257,   0.28231722116470337 -0.0080434205010533333    0.03027491457760334 -0.0080434205010533333    0.23045331239700317   0.037340857088565826    0.03027491457760334   0.037340857088565826    0.14417260885238647,    0.30194814727391162     -0.8554291730051844      1.0498119202262401      0.6249591174087854   -0.065752291419585163      0.1050698538191952 -3.5527136788005009e-12,0.00072383589576929808
IIWA_14,1715016157.7282152, 0.64769738195160809  0.86771019431978125  0.04725619568770819  -1.9812625611731225 -0.91096446184282165   1.7261353107591135 -0.21749588548934304,-8.5499157423392721e-06 -1.2464111597745908e-06   0.0023501910509522105 -0.00039327025512047578 -8.0178854253485014e-06  1.2162792874420346e-05 -1.2317430015605366e-06, 1.0365154342651368  53.111771011352545 0.71917360305786138 -6.8005593605041508 0.99482364654541011 -2.5238301925659181 0.31539533615112303, -30.925965635176706   8.5044587461782086  -28.716879766775111  -23.694593042003284 -0.42796569535353801   3.1170738286569404  0.40208331052434565, 0.33745977282524109 0.045934844762086868  0.23617099225521088, 0.51668530702590942 -0.51043015718460083  0.48434871435165405  0.48775365948677063,-0.00034885000786744058  0.00060322444187477231 -0.00029690656810998917,-0.0046676537021994591    -1.3103711605072021   -0.02498597651720047,    0.2823176383972168 -0.0080430479720234871   0.030273908749222755 -0.0080430479720234871    0.23045279085636139   0.037341561168432236   0.030273908749222755   0.037341561168432236    0.14417265355587006,   0.30193542852785527   -0.85544900592271489     1.0498232555065101    0.62498012116307677  -0.065743378820926068    0.10508258672103921 1.7763568394002505e-12,0.00069351994898170233
IIWA_14,1715016157.733243, 0.64768959221990718  0.86771241132426358 0.047250083653750781  -1.9812725081317788 -0.91096599581270121   1.7261478941466881 -0.21749588548934304,-0.00031842920062996572  8.7683050365379368e-05   0.0016356714824654129 -0.00071249455034853686 -6.7773103522821083e-05  0.00051306573728329566  -9.853944012484293e-07, 1.1471113739013672  53.057759040832522 0.99205629730224609 -6.6379051437377932  1.0159526443481446 -2.5622116355895996 0.31739784622192385, -30.926033804896857   8.5046750872887245  -28.716526246699399   -23.69492314530077 -0.42760468580514155   3.1175930827407736  0.40224050513322207, 0.33745872974395752 0.045937541872262955  0.23616981506347656, 0.51668953895568848 -0.51042848825454712  0.48434767127037048  0.48775196075439453,-0.00032093925983645022  0.00059053883887827396 -0.00028460024623200297,-0.0046656266786158085    -1.3103710412979126  -0.024982022121548653,   0.28231802582740784 -0.0080426773056387901   0.030272930860519409 -0.0080426773056387901     0.2304522693157196   0.037342283874750137   0.030272930860519409   0.037342283874750137    0.14417274296283722,   0.30192284127750213   -0.85546927136537221     1.0498352471213224      0.625001545555115  -0.065733997143269107    0.10509599223773591 2.6645352591003757e-12,0.00066828419221565127
IIWA_14,1715016157.7382195, 0.64751138679471232  0.86775315778098061 0.046862693645470466  -1.9814748617143381 -0.91101239870699102   1.7263967465730128 -0.21749588548934304, -0.0073829603682986182   0.0017000047089736426   -0.014187063145240281  -0.0086641389426495123  -0.0019103342544106495    0.010364549642813191 -7.8831552099874344e-07,  8.482451370239259  50.789256278991701  7.3987504882812498 -2.3282405242919921 0.84339916229248046 -3.4453185768127441  0.3287454032897949,  -30.91555222173281   8.5016178664812436  -28.703753983169079  -23.685124613761793 -0.42974913081725596   3.1110851341400791  0.40265642720385847, 0.33745613694190979 0.045930355787277222  0.23617313802242279, 0.51668208837509155 -0.51042437553405762  0.48434904217720032  0.48776283860206604,-0.00036057506804354489  0.00018498461577109993  -9.498544386588037e-05,-0.0046634017489850521    -1.3103708028793335  -0.024977844208478928,   0.28231817483901978 -0.0080427872017025948   0.030272670090198517 -0.0080427872017025948    0.23045308887958527    0.03734176978468895   0.030272670090198517    0.03734176978468895    0.14417126774787903,   0.30192483792479408   -0.85544273828386252     1.0498253273718561    0.62497493251090219  -0.065748595811321309    0.10504678316713978 3.5527136788005009e-12,0.00038110910099931061
IIWA_14,1715016157.7432296, 0.64740280964377961  0.86776340428176979 0.046475603179323026  -1.9816024937155456 -0.91103281975737105   1.7267711337692826 -0.21749618503147591,   -0.01024945433194727   0.0017698637987460916   -0.026833269162089814   -0.012036591202422739  -0.0023451094187295664    0.023267127565042942 -1.2612337731820191e-05, 11.844053535461427  50.321152534484867   10.21226516342163 -1.9881453437805177 0.82843278884887694 -3.2016798515319822 0.28302142333984376,-30.673259170870701  8.4351768702502898 -28.411010643248609 -23.463624032378114 -0.4823147283725735  2.9579661637844996 0.40430514817846913, 0.33743113279342651 0.045700736343860626  0.23627455532550812, 0.51641768217086792 -0.51037889719009399  0.48440679907798767  0.48803296685218811,-0.0012909537181258202 -0.0090345041826367378  0.0039821229875087738,-0.0046614543534815311    -1.3103712797164917  -0.024973785504698753,   0.28231042623519897 -0.0080540208145976067    0.03029283881187439 -0.0080540208145976067    0.23048454523086548   0.037310898303985596    0.03029283881187439   0.037310898303985596    0.14413709938526154,   0.30226616473516543   -0.85431162351667922     1.0492618644946106    0.62380919234517052  -0.066285649327646468    0.10367053304172202 3.5527136788005009e-12,0.0091167101636528969
IIWA_14,1715016157.7482152, 0.64731502525472429  0.86777233251355845 0.045955248098139563  -1.9818172510258496 -0.91104135249755114   1.7273648921628173 -0.21749408780021348, -0.011710939027770742  0.0017730203105433924  -0.042280818577010368  -0.018219565374096552 -0.0022173971421872302   0.042364037793422543 7.3799380311837079e-05, 13.945376388549805  51.735751762390137  10.065741943359376 -2.5984347190856933 0.99746477127075195 -3.4733537178039549  0.2960377388000488, -30.515810591447273   8.4041447574944801  -28.178755045564248  -23.312799365840473 -0.51777481679208481   2.8114711499412137  0.39607372730288815, 0.33741664886474609 0.045513883233070374  0.23641000688076019, 0.51612645387649536 -0.51033490896224976  0.48450121283531189  0.48829329013824463,-0.0016184705309569836  -0.014695550315082073   0.008606230840086937,-0.0046586720272898674    -1.3103861808776855  -0.024983774870634079,   0.28229862451553345 -0.0080695534124970436   0.030319714918732643 -0.0080695534124970436      0.230510413646698   0.037291787564754486   0.030319714918732643   0.037291787564754486    0.14411529898643494,   0.30278377865755601   -0.85356804283964749     1.0490599187935601    0.62302182917672866  -0.066787731087813995     0.1022196709925538 8.8817841970012523e-13,0.015662727877497673
IIWA_14,1715016157.7532158, 0.64722993718119726  0.86779648067092285 0.045230921514180192  -1.9821573034505757 -0.91105659655230387   1.7281752654423954 -0.21749528629599421, -0.012772274163297744  0.0023843425430107503  -0.062797718219983145  -0.028177749288322153 -0.0023836799038588928    0.06630616141786258 1.1099673020276238e-05, 12.528205162048341   51.68431179046631  8.9567359199523917 -2.5486974792480468 0.65059705734252926 -3.3685556907653806 0.31839910125732424, -30.329587807846238    8.354392344050277  -27.881092613874348  -23.101793818327565 -0.56510582280852939   2.6032190085554969  0.39274431437419355, 0.33737322688102722 0.045271284878253937  0.23661437630653381, 0.51572179794311523 -0.51023554801940918  0.48465299606323242  0.48867389559745789,-0.0030425118748098612  -0.021444022655487061   0.015065413899719715,-0.0046535064466297626    -1.3103926181793213  -0.025298906490206718,   0.28228485584259033 -0.0080875474959611893   0.030350230634212494 -0.0080875474959611893    0.23054507374763489   0.037270784378051758   0.030350230634212494   0.037270784378051758    0.14408159255981445,   0.30337084847786855   -0.85274069260776741     1.0487870170168279    0.62213365013619182  -0.067399903915799086    0.10009120551490724 5.3290705182007514e-12,0.024155553430318832
IIWA_14,1715016157.7582159, 0.64711105375194844  0.86781547574367079 0.044264034306766412  -1.9825954466517564 -0.91107788049346616   1.7292754772605383 -0.21749588548934304,  -0.014973156500590884   0.0026672769443262176   -0.088913662872537727    -0.04006792747788291  -0.0027583015695790266    0.097053401860006244 -1.5087995536857617e-05, 11.293645835876465  52.008383613586432  8.1703498306274422 -2.4935832405090332 0.85924591064453126 -3.6405633087158202 0.32140286636352539, -30.085260879611983   8.2739478059711473  -27.486764564304416  -22.806864778241174 -0.62880549241337647   2.3254061052043444   0.3963486712136145, 0.33729878067970276 0.044935859739780426  0.23689325153827667, 0.51517635583877563 -0.51007002592086792  0.48486787080764771  0.48920854926109314,-0.0054328208789229393  -0.030536267906427383   0.023219630122184753,-0.0046748872846364975    -1.3104009628295898  -0.025729808956384659,   0.28226864337921143 -0.0081076892092823982   0.030386598780751228 -0.0081076892092823982    0.23059476912021637   0.037239965051412582   0.030386598780751228   0.037239965051412582    0.14402845501899719,  0.30399898850141938  -0.85158375872218528    1.0482211824012211   0.62089693322331385 -0.068171800863048304  0.097119140447077257                     0,0.035472515970468521
