DesiredFlux,1.2,HitTime,1715016317.02985,DesiredPos, 0.63073891401290894 -0.31203347444534302   0.2191656231880188
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715016316.4895289, 0.48122595181647626   1.1642795535841959 -0.17442206450334016  -1.1908512766751154  -1.1017978077353137   1.7052593901605135 -0.78145313634797098,  4.113101545884175e-05 -3.5925141881550866e-05   0.0021769752792566294 -0.00052458077477996444 -0.00061353098587243061  1.2286513902131464e-05  0.00091243219024200869,   0.27520384979248047     73.554015853881836     5.9899767761230471    -17.831472606658934     2.0838474082946776     -1.626705680847168 -0.0050062751770019532,  4.2797233345106669   3.4396091759259604 -0.18644717781345665   1.1970792585144585  -3.1221507483279027  -0.3990854874686976  0.11021532588663008, 0.61797481775283813 0.021208614110946655  0.23002779483795166,-0.51776981353759766  0.52187103033065796 -0.47532567381858826 -0.48335346579551697,-0.00030721089569851756  0.00060927472077310085 -0.00059270113706588745, 0.017436875030398369   -1.3125122785568237 -0.014852147549390793,  0.21971401572227478 -0.020917093381285667  0.075951479375362396 -0.020917093381285667    0.2348158210515976  0.021118847653269768  0.075951479375362396  0.021118847653269768    0.2036021500825882,    0.75912007383838187    -0.35764490686851502     0.92390936194775009     0.54915359795515428    -0.15586327341576833    0.088341033405825442 -6.2172489379008766e-12,0.0008262156043201685
IIWA_14,1715016316.4945285, 0.48122643123660513   1.1642791940463699  -0.1744106195067702  -1.1908491195572428  -1.1018014509355942   1.7052592103916004 -0.78145265692784205, 5.2081617522025747e-05 -4.3121626543471459e-05   0.0021993800862038946 -0.00033337990492206412 -0.00063655279992064554  2.6384545981488966e-06  0.00074912255735077975,   0.36007980346679691      73.33796797180176     5.9899767761230471    -17.754850372314454     2.0680006599426268    -1.6216994056701659 -0.0046725234985351563,-56.039472985344418  7.4999800694623175 -35.164936050557877  -15.79002302900777 -4.1660294282252659  2.6763355376293849 0.11041220030606333, 0.61797481775283813 0.021212739869952202  0.23002572357654572,-0.51777392625808716  0.52187061309814453 -0.47532454133033752 -0.48335057497024536,-0.00024600923643447459  0.00065243669087067246 -0.00055717147188261151, 0.01743844710290432  -1.3125118017196655 -0.01484830304980278,  0.21971476078033447 -0.020917711779475212  0.075951144099235535 -0.020917711779475212   0.23481521010398865  0.021119644865393639  0.075951144099235535  0.021119644865393639   0.20360198616981506,   0.75914647147978798   -0.35766043057705588    0.92394635828441096    0.54916927496062584   -0.15586490202590397   0.088359597308240723 8.8817841970012523e-13,0.00081590859917923808
IIWA_14,1715016316.4995284, 0.48121792242925243   1.1642808718531965 -0.17441463420038211  -1.1908647589072547  -1.1018069157360153   1.7052736513549145 -0.78145235738570917,-0.00029868700009049435  3.2614971828552842e-05   0.0015989163244865346 -0.00089227792441445419 -0.00072783425677944982  0.00057974929624028302  0.00061127973119564499,   0.60699166870117194      73.14249607849122     6.2561382217407226    -17.379804698944092     2.0979334068298341    -1.6644196205139159 -0.0023362617492675782,-56.041370686010573  7.5013590907967886 -35.166424342594951 -15.791414661451348  -4.165550888405237  2.6772774265046491 0.11045928355378291, 0.61797499656677246 0.021217094734311104    0.230024054646492,-0.51777786016464233  0.52187031507492065 -0.47532373666763306 -0.48334747552871704,-0.00019091628200840205  0.00069614965468645096 -0.00051254074787721038, 0.017438335344195366   -1.3125120401382446 -0.014839922077953815,   0.2197154313325882 -0.020918378606438637   0.07595081627368927 -0.020918378606438637   0.23481455445289612  0.021120496094226837   0.07595081627368927  0.021120496094226837   0.20360192656517029, 0.75917493892241339 -0.35767712810486074  0.92398609068311544  0.54918653107627335 -0.15586600234485104 0.088378330917571191                    0,0.00080929492833092809
IIWA_14,1715016316.5045278, 0.48102275927596211   1.1642989680813796 -0.17479123851021741  -1.1912516097178791  -1.1018648234916684   1.7055507266279086 -0.78145127877223142,-0.0080454757316853181 0.00074994110478488266  -0.013785039333822729  -0.016187854764507365  -0.002898577631546113   0.011546810356757939 0.00053216832406676742, 9.8327506332397459  70.140973716735843  12.572767681121826 -10.806423542022705  1.9148154258728027 -2.8038478507995603 0.12115185928344727,-56.043554358752466  7.5024710755722754 -35.168225711725036  -15.79286027163791 -4.1649375665722683  2.6785014866199601 0.11048395954446127, 0.61797553300857544 0.021221714094281197  0.23002240061759949,-0.51778221130371094  0.52186983823776245 -0.47532320022583008 -0.48334389925003052,-0.00013042506179772317  0.00074173568282276392 -0.00047605799045413733, 0.017438331618905067    -1.312511682510376 -0.014839918352663517,  0.21971604228019714 -0.020919043570756912  0.075950488448143005 -0.020919043570756912   0.23481383919715881  0.021121390163898468  0.075950488448143005  0.021121390163898468   0.20360194146633148, 0.75920357262493354 -0.35769471169277978  0.92402728212714891  0.54920499631716524 -0.15586594309624502 0.088399297811569966                    0,0.00081446330295875669
IIWA_14,1715016316.5095272, 0.48094516150108613   1.1642764377351487 -0.17518228378336678  -1.1915702702964621  -1.1019877337663839    1.705868188819794 -0.78144552638518305, -0.0095402915803875152 -0.00030126096540800942   -0.026669842393033015   -0.025696706954925312  -0.0072352730938592784    0.021935935960819615  0.00065583014118794744,   15.527155525207521     68.67236251831055    13.908951908111572    -10.96773350906372    1.4658242225646974   -2.4080183601379392 -0.035711429595947267, -56.02049012060538  7.4980749899190231 -35.151686894904898 -15.782208290079319 -4.1653305081645389  2.6706315757322754  0.1122366026440953,0.61796975135803223 0.02121218666434288 0.23002275824546814,-0.51777464151382446  0.52186566591262817 -0.47532147169113159   -0.483358234167099,-0.00033587514190003276  0.00021228980040177703  -0.0003663894603960216, 0.017436614260077477   -1.3125113248825073 -0.014835627749562263,  0.21971774101257324 -0.020918257534503937  0.075950458645820618 -0.020918257534503937   0.23481479287147522    0.0211209487169981  0.075950458645820618    0.0211209487169981   0.20359990000724792, 0.75916892223215626 -0.35767849475654145  0.92399794665531942  0.54917707826973583 -0.15586149483670653 0.088344489369340806                    0,0.00049407506594434381
IIWA_14,1715016316.5145278, 0.48094084715625829   1.1642728424659727 -0.17575315229284455   -1.192048680534231  -1.1022419910628865   1.7064262941727844  -0.7814375567754861, -0.0078048070574235412 -0.00038481953936347451   -0.044170614293537122   -0.039693775074694043    -0.01595851033518841    0.039872962888271302  0.00084344850082860386,    16.087851219177246     69.492830070495614     14.509831535339355    -11.462417407989502     2.6041489791870118    -2.5795667228698731 -0.0043387718200683595,-55.467642596685543  7.4007585860236764 -34.732919631091619 -15.538830528691586 -4.1759112763657109  2.4804824829907046 0.14295681373207902, 0.61784690618515015 0.020892422646284103  0.23008736968040466,-0.51750862598419189  0.52179133892059326 -0.47531530261039734 -0.48372921347618103,-0.0051850331947207451   -0.01261781994253397  0.0022932642605155706, 0.017434818670153618   -1.3125110864639282 -0.014832029119133949,  0.21973429620265961 -0.020883677527308464  0.075958557426929474 -0.020883677527308464   0.23485229909420013  0.021088378503918648  0.075958557426929474  0.021088378503918648   0.20356057584285736,    0.75767251996516904    -0.35688058397731481     0.92231703763889783     0.54810375417613244    -0.15572786319761889    0.086722631282398766 -2.6645352591003757e-12,0.012645143084228039
IIWA_14,1715016316.5195267, 0.48095067423261162    1.164271224545756 -0.17654039603284291  -1.1927534727387035  -1.1026820517482332    1.707174709027498 -0.78143707746444024, -0.0058507625918056191 -0.00037257244015837719   -0.066826241034764144   -0.059946708238655402   -0.030369235682020476    0.061834964499163592  0.00069393124249701971,   16.12643119812012   68.883266403198249   13.251613792419434  -11.958445556640624   1.8531891822814941  -2.6596671257019042 0.042052711486816406,-55.162050414176925  7.3889202788831758 -34.423026269843355 -15.413575453868436 -4.1479498114295739   2.327080611011783 0.15461466420777192, 0.61775112152099609 0.020652368664741516  0.23020806908607483,-0.51724112033843994  0.52169990539550781 -0.47538363933563232 -0.48404672741889954,-0.0079838084056973457  -0.019689515233039856  0.0066677015274763107, 0.017432209104299545    -1.312511682510376 -0.014828170649707317,  0.21973976492881775 -0.020854620262980461  0.075966261327266693 -0.020854620262980461   0.23488198220729828  0.021067701280117035  0.075966261327266693  0.021067701280117035   0.20353704690933228,    0.75642763299921256    -0.35638750711886047     0.92110488261809564     0.54736899066831768    -0.15539940291109389    0.085251735616687085 -8.8817841970012523e-13,0.020355800166726112
IIWA_14,1715016316.5245271,  0.4809594825820972   1.1642670900789243 -0.17758673869995525  -1.1936572631302484  -1.1033873953240332   1.7081503446977875 -0.78143551953991675, -0.0043282760940213591 -0.00046343662539807866   -0.095314699512305048   -0.084108982252723466   -0.052509131577615914    0.088493398410909488  0.00061746197493756289,  14.513788078308107   67.947058914184581   14.154949607849121   -11.05645399093628   2.1419521522521974  -2.4253734474182127 0.049729000091552733,-54.832056835014072  7.3632792985408049 -34.023154368033694 -15.244395583988107 -4.0921892027215687  2.1041511198794609 0.17869205803500776,0.61759859323501587 0.02036345936357975 0.23039315640926361,-0.51684850454330444  0.52150183916091919 -0.47553363442420959 -0.48453190922737122, -0.01249596755951643 -0.027289694175124168  0.012750499881803989,  0.01744624599814415    -1.312529444694519 -0.014833882451057434,  0.21975800395011902 -0.020812766626477242  0.075974784791469574 -0.020812766626477242    0.2349206805229187  0.021051052957773209  0.075974784791469574  0.021051052957773209   0.20349721610546112,    0.75466150185032888     -0.3559833438346871     0.91973085978747093     0.54655748146803518    -0.15467300126204009    0.083073581978787558 -2.6645352591003757e-12,0.029809465631842613
IIWA_14,1715016316.5295258, 0.48095534811526541   1.1642606185071409 -0.17885359117350311  -1.1947233797232875  -1.1043247533712823   1.7093696198231751 -0.78143420127091601, -0.0036279995484884645 -0.00062961217165249418    -0.12692585855175814    -0.10993184952373929   -0.079501627152058663     0.11956572374423417  0.00054670033997959049, 15.030759796142579    68.6595025253296  14.840516967773437 -11.293041942596435  2.5680536079406737 -2.8131928977966307   0.021360107421875,-54.392191176529856    7.31321531890032 -33.491405110081274 -15.009890099721158 -4.0023970287800328  1.8099107743626401 0.21685318695240743,0.61739218235015869 0.01996677927672863 0.23064929246902466,-0.51632177829742432  0.52118158340454102  -0.4757688045501709 -0.48520681262016296,-0.018263338133692741 -0.037659179419279099  0.020473111420869827, 0.017788741737604141    -1.312536358833313 -0.015070123597979546,  0.21979081630706787 -0.020749401301145554  0.075985841453075409 -0.020749401301145554   0.23497417569160461  0.021030593663454056  0.075985841453075409  0.021030593663454056   0.20343638956546783,   0.75202209796465525   -0.35547844211247792    0.91782271997153941    0.54541952109232739   -0.15349937743014408   0.080104637843803062 4.4408920985006262e-12,0.04259001836180687
IIWA_14,1715016316.5345547, 0.48096385681353504   1.1642633150408352 -0.18031326969538977   -1.195980225351569  -1.1055072608888652   1.7107386376533993  -0.7814297670437852, -0.0025620517080056932 -0.00039582838954858727    -0.15992782771687311    -0.13821930475025321    -0.11090160242496153     0.15041329220435293  0.00061472935721614301,    16.522518981933594     69.536554046630869     14.769271732330322    -11.735300102233886     2.0864885330200194    -2.8115241394042969 -0.0013350067138671875,-53.834097694046818  7.2755003598750552 -32.795278388771543 -14.728167118362359 -3.8567636242040813  1.4309975942883795 0.25719812435486145, 0.61715042591094971 0.019441751763224602  0.23101373016834259,-0.51561951637268066  0.52073007822036743 -0.47613334655761719 -0.48607996106147766,-0.024302838370203972 -0.051049411296844482  0.031007124111056328, 0.018117951229214668   -1.3125466108322144 -0.015404193662106991,  0.21982979774475098 -0.020662026479840279   0.07600189745426178 -0.020662026479840279   0.23504360020160675  0.021006219089031219   0.07600189745426178  0.021006219089031219   0.20336045324802399,   0.74841422822480297    -0.3548573927201204    0.91534208131793804    0.54395876939494769   -0.15176841504160876   0.076225794864548391 4.4408920985006262e-12,0.058941863477230072
