DesiredFlux,1.2,HitTime,1715016524.7848463,DesiredPos,  0.7284356951713562 -0.46171033382415771  0.21990373730659485
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1715016524.085202, 0.20962668382070962   1.4583535576939197 -0.18340867515556863 -0.64240035446844579  -1.3078086471079571   1.6977115454950742  -1.0674758384434744,-1.3408982414877905e-05 -4.6306501730834641e-05 -6.7373940460982735e-06   -0.001282016591158114 -2.2167817059495457e-05  3.8308331303815929e-06  4.4110147560524071e-06,0.63785565185546877  80.634727989196776  5.1538534469604489 -21.775501300811769  2.3866963768005371 -1.3927457542419432 0.30471528244018553,  2.6573064039504786  -2.3291234637352236 -0.52816205038666153  0.58703832621425955  0.33936722990771506 -0.63758003897311344  0.82707754665185229, 0.74224579334259033 -0.11481962352991104  0.21290723979473114, 0.48678052425384521 -0.50440090894699097  0.48630991578102112  0.52165806293487549,-0.00040925131179392338 -0.00018968632502947003 -0.00046867397031746805,-0.017065621912479401   -1.3073583841323853 0.0086471438407897949,  0.15455040335655212 -0.012089087627828121   0.08841116726398468 -0.012089087627828121   0.22395472228527069  0.015958130359649658   0.08841116726398468  0.015958130359649658   0.23208701610565186,  0.48349801999769682  -0.13247651000991567   0.67295801496847218    1.3193021340827116 -0.088375560820530552 -0.096145605458453076                     0,0.00059699866687878966
IIWA_14,1715016524.0902026, 0.20962668382070962   1.4583538572360526 -0.18340855538234871 -0.64240119342640067  -1.3078085512893813   1.6977115454950742  -1.0674758384434744,-1.0727185931902325e-05 -2.5063516069646517e-05 -5.9898643986258293e-07  -0.0010591715911218947 -1.3901510617977142e-05  3.0646665043052746e-06  3.5288118048419258e-06,0.63528365325927738  80.814767890930185  5.1646074447631838 -21.854812034606933  2.3919786262512206 -1.3940807609558106 0.30271277236938476,  2.6580340486064018  -2.3178665457705403 -0.52389684238522038  0.58339399577886453  0.34169325371352677 -0.64098610613944407  0.82634077729192779, 0.74224561452865601 -0.11481977999210358  0.21290694177150726, 0.48678058385848999 -0.50440067052841187  0.48630976676940918  0.52165836095809937,-0.00033532458473928273 -0.00015802313282620162 -0.00038688731729052961,-0.017065564170479774   -1.3073583841323853 0.0086459899321198463,  0.15455062687397003 -0.012089037336409092  0.088411211967468262 -0.012089037336409092   0.22395478188991547  0.015958108007907867  0.088411211967468262  0.015958108007907867   0.23208686709403992,    0.48349573453521089    -0.13247622166634443     0.67295654957177931      1.3192978950025136   -0.088375241183769049    -0.09614612436337211 -7.9936057773011271e-12,0.00049176026368513703
IIWA_14,1715016524.0952272, 0.20962668382070962   1.4583541568872684 -0.18340855538234871  -0.6424017327331395  -1.3078082636591204   1.6977113658352443  -1.0674760182123875,  -8.58174874552186e-06 -8.0647642221006947e-06 -4.7918915189006639e-07 -0.00086890954245042113  3.8400194330832423e-07 -4.7346599926349464e-06 -4.3677070796827336e-06,0.64557164764404296  81.084827743530283  5.1807384414672848 -21.900516525268554   2.392859001159668 -1.3954157676696777 0.30271277236938476, -65.162257202040848   1.5561231504453612  -20.790220096658381  -7.4306529320516912 -0.19550829941315373  -3.7770454822104842  0.82585111447313952,0.74224531650543213 -0.1148199588060379 0.21290650963783264,  0.4867807924747467 -0.50440031290054321  0.48630937933921814  0.52165883779525757,-0.00028037198353558779 -0.00013363982725422829 -0.00032679305877536535,-0.017065463587641716   -1.3073583841323853 0.0086457375437021255,  0.15455092489719391 -0.012088995426893234  0.088411279022693634 -0.012088995426893234   0.22395485639572144  0.015958081930875778  0.088411279022693634  0.015958081930875778    0.2320866584777832,  0.48349371095302018   -0.1324758371179513   0.67295484803508998    1.3192922523579398 -0.088375092872183814 -0.096146883089787138                     0,0.00041377852903679013
IIWA_14,1715016524.1002014, 0.20961841477796292    1.458356433887444 -0.18342407495914054 -0.64241251854066761  -1.3078093183615875   1.6976965053384112  -1.0674757185611714,-0.00033762710886442795  8.4628195643168946e-05 -0.00062116642299463762  -0.0011265599350848605 -4.1880897130967136e-05 -0.00059820760131731215  8.4918829787521168e-06,0.82818354797363281  81.239147659301764   5.434801639556885 -21.821205791473389  2.4183898735046387 -1.3597043380737304 0.30438153076171875, -65.163597751213842    1.558018781913852  -20.790145497233432  -7.4320811342085928 -0.19503265876317166   -3.776786756186274  0.82543422956576706, 0.74224507808685303 -0.11482001841068268  0.21290601789951324, 0.48678103089332581 -0.50440007448196411  0.48630905151367188  0.52165919542312622,-0.00023406505351886153 -0.00010941933578578755 -0.00028145714895799756,-0.017065213993191719   -1.3073585033416748 0.0086460905149579048,   0.1545511782169342 -0.012088969349861145  0.088411338627338409 -0.012088969349861145   0.22395491600036621  0.015958067029714584  0.088411338627338409  0.015958067029714584   0.23208646476268768,  0.48349243921563811  -0.13247564838980708   0.67295370558539958    1.3192883872665817 -0.088375184486011449 -0.096147202606644555                     0,0.00035065703559666872
IIWA_14,1715016524.105202, 0.20942846481406521   1.4583830988095896 -0.18383561323386835 -0.64264063820080797  -1.3078072091311865   1.6973652014856437  -1.0674758384434744,-0.0078681002429998002   0.001134299442340423  -0.016958464127508226  -0.010026034353682205 5.0864498335385083e-05   -0.01373072019175276  1.998214264059664e-06,  9.1717469940185552   78.523117141723631   8.7564427108764651  -19.091034599304198   2.8876296997070314 -0.49895875930786132  0.32741039657592774, -65.164707666876566   1.5595882049431542  -20.790078651742249  -7.4332768119328687 -0.19467682056780145  -3.7765243159428432  0.82509686064029397,  0.7422448992729187 -0.11482008546590805  0.21290557086467743, 0.48678129911422729 -0.50439983606338501    0.486308753490448  0.52165943384170532,-0.00019368658831808716 -9.0042114607058465e-05 -0.00024285085964947939, -0.01706475205719471   -1.3073583841323853 0.0086465766653418541,  0.15455135703086853 -0.012088938616216183  0.088411383330821991 -0.012088938616216183    0.2239549458026886  0.015958046540617943  0.088411383330821991  0.015958046540617943   0.23208633065223694,   0.48349106113310114   -0.13247542567373927    0.67295239114883998     1.3192856553896348   -0.08837548538576101  -0.096147188330952815 2.6645352591003757e-12,0.0002968267654068768
IIWA_14,1715016524.1102262, 0.20932719808378755   1.4583745900022369 -0.18441187470165171 -0.64288241997108364   -1.307856008886138   1.6967181731344276  -1.0674758384434744, -0.010345149405506258 0.00056708725976422356  -0.036617230013341065  -0.017692098293972686 -0.0019112985993886107  -0.036865710202046438 1.5985714112477313e-06, 14.786419929504396  78.535977134704595  9.1556848793029779 -19.241590568542481   2.117301654815674 -1.2402212371826171 0.31005530929565428, -65.146929428881251   1.5567642206358405  -20.781698025249149  -7.4298547014111911 -0.19479421797748764  -3.7759717111299045  0.82609135062946737, 0.74224460124969482 -0.11483103036880493  0.21290351450443268, 0.48678094148635864 -0.50439447164535522  0.48630976676940918  0.52166402339935303, -0.0001681670401012525  -0.0005099449772387743 -0.00027671954012475908,-0.017064465209841728   -1.3073585033416748 0.0086471885442733765,  0.15455356240272522 -0.012085812166333199  0.088412128388881683 -0.012085812166333199   0.22395633161067963  0.015956779941916466  0.088412128388881683  0.015956779941916466   0.23208434879779816,   0.48336039380370011    -0.1324581242876377     0.6728812535845563     1.3191944049513182  -0.088354240448396126  -0.096154899348555034 5.3290705182007514e-12,0.00055440282449126244
IIWA_14,1715016524.1152015, 0.20929250377441794   1.4583799828514594  -0.1852757574853513 -0.64323062155625355  -1.3078903316585431   1.6956460643897342  -1.0674732019054731, -0.009663891899189609 0.00066938377671212253  -0.063849095358656363  -0.028081742041974347  -0.002901949775715504  -0.072376917949374509 0.00010674037717919667,  16.663978904724122   77.430017738342286   10.669310070037842  -18.963330875396728   3.0751495552062988 -0.39482823562622071   0.3090540542602539,-64.701464882670493  1.4908445686521015 -20.563215570153272 -7.3418534578334729 -0.2027195869421996 -3.7748119621660758 0.85152684335671758, 0.74224096536636353 -0.11509210616350174  0.21289031207561493, 0.48674827814102173 -0.50428283214569092  0.48634445667266846  0.52177006006240845,-0.00028065897640772164   -0.010851603932678699 -0.00074849743396043777, -0.01706431619822979   -1.3073593378067017 0.0086477780714631081,  0.15459272265434265 -0.012011613696813583  0.088426187634468079 -0.012011613696813583   0.22398842871189117   0.01592663861811161  0.088426187634468079   0.01592663861811161   0.23204696178436279,  0.48026324689320887  -0.13205169893737434   0.67120367014883442    1.3171256829958011 -0.087848289599179452 -0.096398227510618995                     0,0.0099862832576036453
IIWA_14,1715016524.1202013,  0.2092965783546398   1.4583705751995419 -0.18644673607784398 -0.64370148182692744  -1.3079082600296854   1.6941747611023645  -1.0674738610945151,-0.0075681303104771537 0.00015920094467044709  -0.097918419986632421  -0.041299804460535064 -0.0030386946662659823   -0.11675366585428612 5.9024740062628281e-05,   17.09864666748047   77.126521903991701   9.5334190521240227  -18.811430656433107   2.2352718925476074 -0.52065261840820309  0.32540788650512698, -64.472802293080562   1.4990339956809251  -20.355534780558241  -7.3428438463972752 -0.16823035167952427  -3.6998360704752455  0.86520261779702801, 0.74232131242752075 -0.11532899737358093  0.21291548013687134, 0.48678189516067505 -0.50408792495727539  0.48650056123733521  0.52178150415420532, 0.0029844541568309069   -0.01815834641456604 0.00041179507388733327,-0.017065031453967094   -1.3073745965957642 0.0086508672684431076,  0.15462668240070343 -0.011913824826478958  0.088436216115951538 -0.011913824826478958   0.22402280569076538  0.015897715464234352  0.088436216115951538  0.015897715464234352   0.23201587796211243,  0.47621800472175124  -0.13170824543706772   0.66945760667014298    1.3148010559813628   -0.0869096012374726 -0.096042328895151741                     0,0.016892826184630394
IIWA_14,1715016524.125201, 0.20931095943134392   1.4583725526575846 -0.18794967782122909  -0.6442735488321859  -1.3079385561529733   1.6922264856194469  -1.0674733816743862,-0.0054792611802168024 0.00020645907744218597    -0.1384524057247104  -0.055922523778766844 -0.0036428006645273913    -0.1713339520001349 6.6396597207275419e-05,  15.380551605224611   76.421794288635255   10.139675678253173  -17.999503822326659   2.5390012359619138 -0.48460743713378907   0.3394254570007324, -64.327638152412717   1.4894876962391468  -20.125990002366358  -7.3648848041575077 -0.12816397696687076  -3.5506458054899968  0.88734667611025386, 0.74247175455093384 -0.11559754610061646   0.2129252552986145, 0.48690244555473328 -0.50376898050308228  0.48676189780235291  0.52173334360122681,0.0083961049094796181 -0.025270510464906693 0.0007294577662833035,-0.017064381390810013   -1.3073909282684326 0.0086691360920667648,  0.15468063950538635 -0.011771433055400848  0.088449865579605103 -0.011771433055400848   0.22407029569149017  0.015861304476857185  0.088449865579605103  0.015861304476857185    0.2319687157869339,    0.470342681596847  -0.13132887010236516   0.66713113541627678    1.3115140136203962 -0.085454588687916555 -0.095104522104705325                     0,0.024447601288557053
IIWA_14,1715016524.1301632, 0.20931203804482165   1.4583681784261466 -0.18975378299927972 -0.64494820072763959  -1.3079396108554402   1.6897355644737206  -1.0674727225944274, -0.0043402644050643006 -9.8019955643939549e-06    -0.18292613170179353    -0.07172409484116074  -0.0029564286302986454    -0.23670400742915768    7.94804761190723e-05,  15.802359375000002   76.509242240905763   9.8748584823608407  -18.132584545135497   2.5671732330322263 -0.38781945037841797  0.32173661804199216,  -64.199958302759171    1.4845957169456596   -19.848859580179795    -7.405623049058689 -0.078195011572232187   -3.3531131150003453   0.91556667916860668, 0.74268436431884766 -0.11592313647270203  0.21294306218624115, 0.48708629608154297 -0.50333571434020996  0.48712247610092163  0.52164340019226074, 0.015208886936306953 -0.033240761607885361 0.0013167354045435786,-0.017244694754481316   -1.3074113130569458 0.0086787901818752289,  0.15475171804428101 -0.011582376435399055  0.088465876877307892 -0.011582376435399055   0.22413317859172821  0.015814520418643951  0.088465876877307892  0.015814520418643951   0.23190818727016449,    0.46255025844388342    -0.13086979124921072     0.66410653412862786       1.307129493116399   -0.083493780355325953   -0.093708849257190252 -8.8817841970012523e-13,0.033569004386663437
