DesiredFlux,1.2,HitTime,1715015893.0617721,DesiredPos,0.50789004564285278 0.39089620113372803 0.22047412395477295
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715015892.5531888,-0.43096009793115814    0.966848376565003  0.10239315770475658  -1.6576506186561974  -1.9104579269229904  -1.6624124305613432  -1.0557687487249927, -0.0001178430907599959  2.0149239331535323e-05   0.0021006390589754613   0.0014384604574754138  0.00055749471355602239 -3.6041650267782671e-06 -1.4221127226185629e-05,   0.5108148956298828    56.766321651458739   -3.9564048385620119   -12.194953231811523   -1.4517382240295409    1.9541160774230957 -0.088110443115234374, -0.32681823784151054  -0.60657361521152497  -0.22512413845386159    1.6784613655578593 -0.020934936835278445  -0.58402226734451723  0.082197469679401641, 0.50229352712631226 0.048222813755273819  0.21977697312831879,  -0.7091522216796875  0.010828879661858082 -0.012326212599873543   0.70486444234848022,0.00069344014627858996 0.00034190865699201822 0.00062420300673693419,  0.002234345767647028     1.3154833316802979 0.00028058289899490774,   0.25884193181991577  0.0088719325140118599   0.060829609632492065  0.0088719325140118599     0.2405942976474762 -0.0072418814525008202   0.060829609632492065 -0.0072418814525008202    0.17003943026065826,   -0.3068256170761785   -0.10903966260578102   -0.35440133981889943    0.13892272204607536     0.3080049178825206  -0.043508559608440578 7.1009997881787967e-06,0.00090644124429672956
IIWA_7,1715015892.5581901,-0.43095991816224516  0.96684849644730597   0.1024083177437225  -1.6576440273111943   -1.910455242432068  -1.6624122507924304  -1.0557689284939058,-8.708371608888134e-05 2.0914683584170287e-05  0.0022869128058169291  0.0014144221661058273 0.00055337540774259321 4.3074244932518757e-06 -1.856765830450478e-05,  0.58743712997436526     56.77304290008545   -3.9247113418579103   -12.203756980895996   -1.4499774742126466    1.9507785606384278 -0.089111698150634772, -0.32918253874587367  -0.61126466503791432  -0.22583160750120693    1.6812259459429619 -0.018791464534433699  -0.58488425989547155  0.082557608739450644, 0.50229620933532715 0.048226606100797653  0.21978054940700531,-0.70914930105209351 0.010823696851730347 -0.01232816930860281  0.70486742258071899,0.00066103984136134386 0.00042530547943897545 0.00064250541618093848,  0.002229518024250865     1.3154833316802979 0.00027772810426540673,   0.25884079933166504  0.0088715944439172745   0.060830540955066681  0.0088715944439172745    0.24059446156024933 -0.0072408793494105339   0.060830540955066681 -0.0072408793494105339    0.17004053294658661,  -0.30681349380223821    -0.1090251177471302   -0.35436860096194067    0.13891706527591197     0.3080083440183401  -0.043493226828061893 7.1039156779306722e-06,0.00092609471175819635
IIWA_7,1715015892.5632203,-0.43095967839763916  0.96684849644730597  0.10242527536273487  -1.6576384545839757  -1.9104529413899822  -1.6624122507924304  -1.0557692281451216,-6.0076388631000576e-05  1.6731746867336229e-05    0.002507835005148229    0.001354446821627557  0.00053474200962454069  3.4459395946015007e-06 -2.6840175277220344e-05,   0.6492726173400879    56.755567653656009   -3.9009412193298338   -12.214321479797363   -1.4526185989379883    1.9541160774230957 -0.086775436401367187, 34.509483326326276  3.5263943412957022  25.479661577853115 -9.7202396190495737 -1.3489600353787832 -1.3338094992808203 0.08288879515330147, 0.50229871273040771 0.048231121152639389  0.21978439390659332, -0.70914584398269653  0.010818214155733585 -0.012329778634011745   0.70487093925476074,0.00062999862711876631 0.00052075542043894529 0.00066818820778280497, 0.0022295182570815086     1.3154834508895874 0.00027772813336923718,   0.25883963704109192  0.0088711781427264214   0.060831509530544281  0.0088711781427264214    0.24059467017650604 -0.0072397105395793915   0.060831509530544281 -0.0072397105395793915    0.17004160583019257,  -0.30679857471849203   -0.10900816902559285   -0.35432994619011282    0.13890947675498921    0.30801247618139627  -0.043474725146097626 7.1074000018711558e-06,0.00096304574981331825
IIWA_7,1715015892.5682018,-0.43093223462231467   0.9668577242212274  0.10247441074450164  -1.6576643405438598  -1.9104541877296011   -1.662420459948567  -1.0557692281451216,  0.0010496899020746861  0.00038249635435096835   0.0039716832747896504  4.8119061939469942e-05  0.00037794002294589855 -0.00032560949378993546 -2.1472140221776275e-05,  0.50543789672851558    56.575438190460204   -4.3384875488281249   -11.847205142974854   -1.4279681015014649    1.9864899902343749 -0.090780456542968749,   34.50770033654139   3.5273892683425299   25.475956224662163   -9.720123625926588  -1.3488543025720703  -1.3323528714505648 0.083453278026951488, 0.50230169296264648 0.048235945403575897  0.21978858113288879, -0.70914226770401001  0.010812087915837765 -0.012331819161772728   0.70487469434738159,0.00062297313706949353 0.00060955021763220429 0.00070179166505113244, 0.0022271359339356422      1.315483570098877 0.00027614051941782236,   0.25883829593658447  0.0088707339018583298   0.060832593590021133  0.0088707339018583298    0.24059487879276276 -0.0072384490631520748   0.060832593590021133 -0.0072384490631520748    0.17004284262657166,   -0.3067826393987616   -0.10898985206075906   -0.35428833351591749     0.1389016494934836     0.3080167542925949  -0.043455387493729347 7.1110646260308386e-06,0.001020762836560607
IIWA_7,1715015892.5731914,-0.43049133489174668  0.96693825829440372   0.1030489344097654  -1.6580280618149046  -1.9104722120938522  -1.6624824183734312  -1.0557704265318193,   0.018475741144379332   0.0035273600105335482     0.02615829323038189   -0.014510355592239673 -0.00041862255168866627  -0.0027388245896010676 -6.5113180083578229e-05, -8.4217245292663581   53.045438411712645  -11.595417919158935   -5.391415939331055 -0.74479717254638667   2.4891200180053712 -0.22461487960815429,  34.505426084537874   3.5281789961600061    25.47165254376311  -9.7193805443805878  -1.3483952169932463  -1.3305001962629233 0.083949891706750435, 0.50230425596237183 0.048241615295410156  0.21979305148124695,-0.70913809537887573 0.010805457830429077 -0.01233324222266674  0.70487892627716064,0.00060110003687441349 0.00071448110975325108 0.00074054667493328452, 0.0022248877212405205     1.3154836893081665 0.00027445546584203839,   0.25883695483207703  0.0088702347129583359   0.060833685100078583  0.0088702347129583359    0.24059514701366425 -0.0072370129637420177   0.060833685100078583 -0.0072370129637420177    0.17004401981830597,  -0.30676469834833853    -0.1089689796378579   -0.35424105807813078    0.13889149365642339    0.30802269945784388  -0.043431699329410378 7.1155046299509195e-06,0.0010871061822399497
IIWA_7,1715015892.5781896,-0.43003179984442286   0.9669189636795229  0.10367822607062442  -1.6581976984370537   -1.910463775172248   -1.662487811331737  -1.0557742015699083,   0.033161994808456365   0.0020501034131942004    0.046098301018666486    -0.01839374935975506   2.578822818583926e-06  -0.0024067780039090749 -0.00020309206762748582,  -17.307215213775635    52.783309715270995   -16.948977737426759     -6.99633939743042  -0.67612792968750002    2.2034285812377932 -0.043053966522216797,    34.4688821199939   3.5154593956388034   25.440303905639276  -9.6908040216582449  -1.3350156571117844  -1.3139445926179389 0.080052530209016509,  0.5022926926612854 0.048278048634529114  0.21979765594005585, -0.70911860466003418  0.010789031162858009 -0.012305375188589096   0.70489931106567383,1.7438962458982132e-05  0.0020288978703320026 0.00077665946446359158, 0.0022222341503947973     1.3154838085174561 0.00027260926435701549,    0.2588372528553009  0.0088686784729361534   0.060833390802145004  0.0088686784729361534    0.24059690535068512 -0.0072305859066545963   0.060833390802145004 -0.0072305859066545963    0.17004144191741943,  -0.30670640854779663   -0.10886916501284816   -0.35404239220593325    0.13880688835943289     0.3080911014441412  -0.043268855157485575 7.1436430104654391e-06,0.0019818129949271679
IIWA_7,1715015892.5832136,-0.4297369279944615 0.96691105406551903 0.10427893534698815 -1.6585341555926039 -1.9104677060027895 -1.6625275989481962 -1.0557818115326962,   0.038324469845219228   0.0013236981704003239    0.060907011869482323   -0.028173285709811889 -0.00015517016340552397  -0.0035169270614986946 -0.00046687216561896761,  -20.321023097991944    54.157132934570313   -17.156746215820313   -7.5588989639282227   -1.0881433868408203    2.5905805282592773 -0.055736530303955076,  33.945065512781781    3.411657375679936   24.974093018188114  -9.3606702862884568   -1.181315153971644  -1.0905070773680834 0.041450730236748438, 0.50213676691055298 0.048771418631076813  0.21984891593456268,-0.70889872312545776 0.010568617843091488 -0.01192904356867075  0.70513021945953369,-0.0062338314019143581   0.021352540701627731  0.0026756383012980223, 0.0022199105005711317     1.3154845237731934 0.00027067254995927215,   0.25884106755256653  0.0088506070896983147   0.060828927904367447  0.0088506070896983147    0.24062009155750275 -0.0071467929519712925   0.060828927904367447 -0.0071467929519712925    0.17000742256641388,  -0.30602284572545102    -0.1075508555539173   -0.35150618923029953    0.13765317266756227    0.30901959996221251  -0.041202004667617587 7.4979844555400632e-06,0.020437212660908699
IIWA_7,1715015892.5881948,-0.42959593353433456  0.96691428979686922  0.10501416762077861  -1.6590516943668732  -1.9104666514748554  -1.6625471931052098  -1.0557834294529129,   0.036299354281253061   0.0011883877903279773    0.078134900447204447   -0.043240179538621484  -8.195501336099239e-05  -0.0035973079297421749 -0.00043821454116277163,  -18.757660667419433    53.560286056518557   -13.974190921783448   -7.3942688560485843  -0.67612792968750002    2.0819429702758789 -0.093784221649169927,  33.542176273348062   3.4804406135152322   24.546102788426769  -9.2424580612198692  -1.1220568622930851 -0.90603425369261914 0.052115246730834508, 0.50206845998764038 0.049261342734098434  0.21997040510177612, -0.70871466398239136  0.010250247083604336 -0.011663466691970825   0.70532429218292236,-0.0077439118176698685    0.03666975349187851  0.0070073381066322327, 0.0022291550412774086     1.3154958486557007 0.00026940449606627226,   0.25881382822990417  0.0088351285085082054   0.060848016291856766  0.0088351285085082054    0.24064208567142487 -0.0070604821667075157   0.060848016291856766 -0.0070604821667075157    0.17000961303710938,  -0.30543153365414355   -0.10619700126124343   -0.34897162768654511     0.1365922870304459    0.30992169155386051  -0.039291835705057565 7.8265243175223986e-06,0.034780137240886688
IIWA_7,1715015892.5931506,-0.42948537914352547  0.96690805798969182  0.10609490494604462  -1.6597075310675748  -1.9104562011414261  -1.6625824267213183  -1.0557848674951333,  0.033461659057366144 0.00070143794516623463    0.10573741336840384  -0.060825611658964551  0.0003524493264823808 -0.0042871909881323569 -0.0004080933217467815, -16.109488708496094   53.761923515319822  -12.432654457092285  -6.6433090591430659  -0.5784063148498535   2.0375539970397951 -0.13416817474365234,  33.283103091358299   3.4633849099307303   24.253590132497706  -9.0746274129430802  -1.0467665418517424 -0.75212818065000908 0.033130367372040691, 0.50194340944290161 0.049682319164276123  0.22006642818450928, -0.70850706100463867  0.010042116977274418 -0.011385557241737843   0.70554041862487793,-0.011226451955735683  0.046160507947206497 0.0094573358073830605, 0.002356342040002346    1.3155063390731812 0.0002560633874963969,  0.25880700349807739 0.0088153723627328873  0.060852319002151489 0.0088153723627328873   0.24066202342510223 -0.006984928622841835  0.060852319002151489 -0.006984928622841835   0.16999013721942902,  -0.30469834167412557   -0.10503828770502821   -0.34662116877015592    0.13557187723378661    0.31064912220113428   -0.03752906964571423 8.1327664602781624e-06,0.044184833765029907
IIWA_7,1715015892.5982189,-0.42931753999233974  0.96691039487647723    0.107500534766154  -1.6604480961948949  -1.9104602277905434  -1.6625797302967071  -1.0557857663396981,   0.033482893293322255  0.00065462582754956971     0.14081512349909808   -0.078283094419972221  0.00012089349649589432   -0.003321895806059955 -0.00036242843998856124,     -15.14162890625   53.366714096069337  -13.542807216644286   -6.735748424530029  -0.9050254058837891   2.1797322120666505 -0.11914934921264649,   33.090333901195045    3.3987200085138927    23.980111643532105   -8.8627142138976929  -0.96024433326015446  -0.60352023802800259 -0.010186441688490137, 0.50176829099655151 0.050102531909942627  0.22016057372093201, -0.70824480056762695 0.0099106011912226677 -0.011084704659879208    0.7058103084564209,-0.016022957861423492  0.053715977817773819  0.011351120658218861, 0.0024092169478535652     1.3155155181884766 0.00020846004190389067,   0.25881361961364746  0.0087827062234282494    0.06084810197353363  0.0087827062234282494    0.24068327248096466 -0.0069031552411615849    0.06084810197353363 -0.0069031552411615849    0.16995270550251007,  -0.30351669246098112    -0.1038255078986694   -0.34384318117108847    0.13439836303952291    0.31122562941288123  -0.035727274849683965 8.4506499575809357e-06,0.052169986069202423
