DesiredFlux,1.2,HitTime,1715015996.0817611,DesiredPos,0.39040318131446838 0.47824162244796753  0.2187201976776123
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715015995.5330739,-0.43735613862759937  0.91183197578402997  0.21207955504341305  -1.9842475320157122  -1.9335982187781222  -1.5243501449580237    -1.28790935708277, -0.0029657103210941013   0.0017945396335727463   0.0036056535589133187   0.0011016214446445223 -1.1394072123932458e-05  4.1102199720951326e-05  -0.0040926014345271681,  0.28766944122314453    48.023321437835691   -5.5648497962951655   -5.7382836532592769  -0.43490520477294919    1.9861562385559082 -0.090112953186035155,-0.38204043876844618  -1.3921815003289586 -0.51395742412899326  -1.6150518583507929  0.68279930665302846 -0.51159409094558961  0.63714388536169142,0.39541906118392944 0.12767894566059113   0.208576500415802, -0.69895154237747192 -0.016008706763386726 0.0060274330899119377   0.71496438980102539, 0.00031904783099889755   4.287611591280438e-05 -0.00022038687893655151,-0.0043012876994907856     1.3147118091583252  0.0087343519553542137,   0.27471867203712463 -0.0025969464331865311   0.043196670711040497 -0.0025969464331865311    0.23905794322490692   0.013114313594996929   0.043196670711040497   0.013114313594996929    0.14361560344696045,  0.090261725127938064    0.18717666709378022    0.38372406697195771   -0.36662781173379955    0.32772886404064394   0.062165705921657377 4.5104295409714723e-05,0.00035607907921075821
IIWA_7,1715015995.5381019,-0.43736980062865166  0.91183293462428783  0.21210274457868583  -1.9842477117846251   -1.933598410589807  -1.5243500250757207   -1.287909237200467, -0.0029190482989670716   0.0014739853171725427   0.0038121042580417487  0.00087410639920094339 -1.6787725089453215e-05  3.7677051895703093e-05  -0.0032692858555027926,  0.24330920028686523    48.183287155151369   -5.6079881668090819   -5.9037941360473631  -0.44635007858276365    1.9861562385559082 -0.090112953186035155,-0.37084371480035921  -1.3743101129780182 -0.51956897674217473  -1.6208694585833703  0.67791704539478093 -0.50034992900344988  0.63644756655689205, 0.3954240083694458 0.12767709791660309 0.20858272910118103, -0.69894707202911377 -0.016011662781238556 0.0060184760950505733   0.71496880054473877, 0.00045312641304917634 -3.9915015804581344e-05  7.3058443376794457e-05,-0.0043073003180325031     1.3147116899490356  0.0087283151224255562,    0.2747173011302948 -0.0025979604106396437   0.043198782950639725 -0.0025979604106396437    0.23905771970748901   0.013115162029862404   0.043198782950639725   0.013115162029862404    0.14361757040023804,  0.090297387128401851    0.18719864936134201    0.38376332741396624   -0.36663335433928523    0.32771766151018511     0.0621711798265423 4.5101558043825207e-05,0.00042050101910717785
IIWA_7,1715015995.5430746,-0.43738316308757108  0.91183413301098548  0.21212449596265495  -1.9842524455538888  -1.9335989858503284  -1.5243496655378947    -1.28790935708277, -0.0028697369959504266   0.0012271237216441916    0.003919738765198231  0.00050993434881326308 -3.6440600929179081e-05   4.452315455479324e-05  -0.0026202239765211761,  0.24330920028686523    48.356695369720462   -5.6423227882385252   -6.1458972358703612  -0.46747907638549802    1.9844874801635741 -0.087776691436767584, 25.031003403458836  3.6763955431277138  19.991476883591176 -8.7545099568640303  1.4658960408564674  1.5775112143334746 0.63547164037179271,0.39542695879936218  0.1276777982711792 0.20858822762966156, -0.69894170761108398 -0.016015172004699707 0.0060129784978926182     0.714974045753479, 0.00047981346142478287 -3.4815004710253561e-06  0.00027868786128237844,-0.0043124314397573471     1.3147116899490356  0.0087211029604077339,   0.27471631765365601 -0.0025988433044403791   0.043200276792049408 -0.0025988433044403791    0.23905739188194275   0.013116482645273209   0.043200276792049408   0.013116482645273209    0.14361913502216339,  0.090328554700036534    0.18722597606135594    0.38381305816059808   -0.36664569374877942    0.32771403582643188   0.062187111278255713 4.5101362644572873e-05,0.00050645828014239669
IIWA_7,1715015995.5480373,-0.43736872212425704  0.91184635686073412  0.21217680708007883  -1.9842753953245555  -1.9335968766199274  -1.5243257570360533  -1.2879091773138571, -0.0017181510641985777   0.0014706529672608819   0.0052282357091136059 -0.00051004334761926839  5.5216735296815522e-05  0.00099195859730058186  -0.0020889884247022664, 0.099474479675292965    48.366105117797851   -6.1177252388000491   -6.1881552314758297  -0.50709594726562501    1.8973782920837403 -0.087776691436767584, 25.028800245494921  3.6769213783206554  19.986331183735025 -8.7508394271850936  1.4665612963360035  1.5810186413810901 0.63398076173997631,0.39542767405509949 0.12768027186393738 0.20859308540821075, -0.69893568754196167 -0.016017843037843704 0.0060107843019068241   0.71497988700866699,0.00041314400732517242 9.6054231107700616e-05 0.00041720634908415377,-0.0043152007274329662     1.3147115707397461  0.0087127508595585823,   0.27471572160720825 -0.0025996407493948936   0.043201107531785965 -0.0025996407493948936    0.23905694484710693   0.013118100352585316   0.043201107531785965   0.013118100352585316    0.14362013339996338,  0.090356799083757267    0.18725658602924966    0.38386945398460881   -0.36666539835916723    0.32771525308028515   0.062209639823507246 4.5102737544766569e-05,0.00054303219076246023
IIWA_7,1715015995.5530727,-0.4368014487748722 0.91195079943575197 0.21276852812896094 -1.9843982336698895 -1.9335598693565998 -1.5241290958448492 -1.2879090574315541,  0.021316413124034483   0.005354225374522667   0.027851430522575289 -0.0053215684914553196  0.0015244639213398432  0.0086600145260042651 -0.0016663954476428711,  -10.080528690338134    45.751539402008056    -13.69335132598877   -4.2002686882019038   0.10212348937988282    1.8586630973815919 -0.082436664581298821, 25.025979689746986  3.6755858410338798  19.982240413127172 -8.7450447631195818   1.468298397842831  1.5841426394454736 0.63216542211424609,0.39542651176452637 0.12768298387527466 0.20859736204147339, -0.69892960786819458 -0.016018994152545929 0.0060104005970060825   0.71498578786849976, 0.0002839846711140126 0.00018527908832766116 0.00050459010526537895,-0.0043161520734429359     1.3147114515304565   0.008704829029738903,   0.27471548318862915 -0.0026004256214946508    0.04320138692855835 -0.0026004256214946508    0.23905643820762634   0.013119757175445557    0.04320138692855835   0.013119757175445557    0.14362059533596039,  0.090384653455899411    0.18728773161580392    0.38392682414833956   -0.36669096996355677    0.32771723921776186   0.062232621601765459 4.5104322943245734e-05,0.0005548776825889945
IIWA_7,1715015995.5580723,-0.43617083884501251  0.91199897597726087  0.21338685421337891  -1.9844676222886286  -1.9335237248095214  -1.5237625583759733  -1.2879096566249029,  0.042277527693615327  0.0062104419599743003   0.047014187794779227 -0.0070327995427267977  0.0026653530202100277   0.021589510375840941 -0.0013570840920629347,  -18.647432189941405    46.281173793792725    -20.12977228164673   -3.5188585090637208  -0.22449560165405272    2.1179881515502927 -0.079099147796630853, 24.999207974672455  3.6636219956149896  19.960216986601768 -8.7180812222013575  1.4826242852824598  1.5899512676170682 0.62778228250472046,0.39541438221931458 0.12771013379096985 0.20859965682029724, -0.69891947507858276 -0.016028169542551041 0.0060301520861685276   0.71499532461166382,-0.00025793240638449788   0.0012339308159425855   0.0004954300238750875,-0.0043149976991117001      1.314711332321167  0.0086970897391438484,   0.27471685409545898 -0.0026017541531473398   0.043199140578508377 -0.0026017541531473398    0.23905448615550995    0.01312734093517065   0.043199140578508377    0.01312734093517065    0.14361986517906189,  0.090432569814780095     0.1873978274860022    0.38415348476217304   -0.36679665404193429    0.32776082594754286   0.062315106231558559 4.5123528913393329e-05,0.0012362489942461252
IIWA_7,1715015995.5630705,-0.43572071144960617  0.91206686666716952  0.21390259540760165  -1.9845770382884331  -1.9335056048012274  -1.5231942664088038  -1.2879096566249029,  0.051827117971145913  0.0076839811643252447   0.058240998004732793   -0.01000287962636218  0.0028570827479297216   0.040003286987450926 -0.0010856672736503478,  -20.398989582061766    45.817407638549803   -18.818894042968751   -3.5998530006408691  -0.11532911300659179    1.9924975204467774 -0.082770416259765625, 24.551584034559014  3.5969706050593091  19.554482548058441 -8.4253486000128515   1.666387267834164  1.7261570213208179 0.62219222043583255,0.39528167247772217 0.12815667688846588 0.20865647494792938, -0.69879549741744995 -0.016324969008564949 0.0063375835306942463   0.71510714292526245,-0.005525373388081789  0.018845189362764359 0.0026725118514150381,-0.0043120924383401871     1.3147103786468506  0.0086895748972892761,  0.27472290396690369 -0.002599234227091074  0.043186530470848083 -0.002599234227091074   0.23903343081474304   0.01322220079600811  0.043186530470848083   0.01322220079600811   0.14362820982933044,  0.090359817129126441    0.18860333967651854    0.38662139303458076   -0.36779738336356615    0.32878427350802042   0.063808840837786818 4.5502756229609531e-05,0.018089881166815758
IIWA_7,1715015995.5680683,-0.43539318252584464  0.91215698805209322  0.21460163522502582  -1.9847427800992734  -1.9334695562472577  -1.5223921022853626    -1.28790947685599,   0.054562851327378058   0.0097520403284083006    0.074554391100752987   -0.014631976134700977    0.003727608357130124    0.064089194527610804 -0.00086134306240560378,  -16.703647087097167    46.666973464965821   -14.933799571990967   -2.8682614517211915   0.27115547180175781    1.5232426605224609 -0.079766651153564447, 24.177127369618052  3.5647673291948139  19.234736544491067 -8.2338716877473299  1.8184920565393834  1.8002395948553345 0.63421740897090828,0.39517864584922791 0.12862823903560638 0.20870022475719452, -0.69873702526092529 -0.016669873148202896 0.0066141239367425442   0.71515375375747681,-0.008568943478167057  0.033931676298379898 0.0038941241800785065,-0.0042983954772353172     1.3147003650665283  0.0086809704080224037,   0.27472227811813354 -0.0026005192194133997   0.043185845017433167 -0.0026005192194133997     0.2390124499797821    0.01332435104995966   0.043185845017433167    0.01332435104995966    0.14364738762378693,  0.090420305955518643    0.18988608322700884    0.38935484724422764   -0.36881229703134011    0.32974787511985681    0.06505982638582708 4.5883283839032174e-05,0.032140158116817474
IIWA_7,1715015995.5730708,-0.43501280317792035  0.91229612482739764  0.21569519570247239  -1.9849368646390859  -1.9334223862807616  -1.5213881238861007  -1.2879096566249029,  0.058865454978873917   0.013367103274903279    0.10338593197846542  -0.019468962500261235  0.0048688853455488568   0.091430491592565361 -0.0006962652064391576,  -13.680429454803466    46.098355831146243   -13.582424087524414   -3.1411776733398438 -0.074831867218017573    1.6941235198974609 -0.084105422973632812,  23.98968034770402  3.4943254028084141  19.118633127512787 -8.1226068542005816   1.929561249611591  1.7541452953732042 0.62846781161377163,0.39509335160255432 0.12900154292583466 0.20866832137107849, -0.69877040386199951 -0.016886645928025246  0.006822479423135519   0.71511411666870117,-0.010296802967786789  0.042071610689163208 0.0018470495706424117,-0.0041380664333701134     1.3146917819976807  0.0085363183170557022,   0.27472886443138123 -0.0026140522677451372   0.043177209794521332 -0.0026140522677451372     0.2389930933713913   0.013418556191027164   0.043177209794521332   0.013418556191027164    0.14365646243095398,  0.090908394651201263     0.1911239552168098    0.39212872775085117   -0.36987588772507962    0.33025399771791086   0.065574775288901321 4.6136184650436007e-05,0.039569921791553497
IIWA_7,1715015995.5780704,-0.43451336063183427  0.91244904359514034    0.217122217368725   -1.985200098142115  -1.9333772297260907  -1.5201152194833716  -1.2879096566249029,   0.067070065826542402    0.016810433329630808     0.13978961223287673   -0.026104510121370456   0.0057013704632733033     0.12406056938321595 -0.00055701216515132606,  -13.692527702331542    45.286428997039792   -14.833436832427978   -3.5884081268310548 -0.060745868682861325    1.6010068016052246 -0.076429134368896479, 23.862181063429041  3.4213999567044922  19.001991674443705 -8.0324686415883928  2.0326064059660367  1.6701038010222906 0.61425458095651853, 0.3950117826461792 0.12939825654029846 0.20861910283565521, -0.69882625341415405 -0.017070315778255463 0.0070029911585152149   0.71505343914031982,   -0.01153778750449419    0.049517814069986343 -0.00047798213199712336,-0.004015785176306963    1.3146836757659912 0.0084259975701570511,   0.27473780512809753 -0.0026441211812198162   0.043167587369680405 -0.0026441211812198162    0.23896746337413788   0.013535607606172562   0.043167587369680405   0.013535607606172562    0.14366719126701355,  0.091980436402572252    0.19276316704530672     0.3958314835097454   -0.37131442338367293    0.33053927361326174   0.065841532016719384 4.6353488158956679e-05,0.046410247683525085
