DesiredFlux,1.2,HitTime,1715016339.7148402,DesiredPos, 0.6325371265411377 0.46737724542617798 0.22052934765815735
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1715016339.1316552,-0.25338977754347636    1.167007163193108  0.13283290915454318  -1.1884344180307822  -1.8083901050048905  -1.6477273208831009 -0.78684843437650054,0.00010127869848912093 3.7244981030717367e-05  0.0022738371654534954 1.8354958477056269e-05 0.00083381213434809707 0.00094451587426943738 7.9783707731915297e-06,-0.069900985717773437    67.317337745666507   -4.8358993721008297   -17.594292545318602   -1.8884041786193848    1.3780606803894042   -0.2656663360595703, 0.01460609176101875  0.22904221229082081 -0.36176874784833224  -1.1065819909723065  0.11106518875436458 0.091323642723828605  0.50695895692782644,0.63639473915100098 0.11567097157239914 0.21901020407676697, -0.70476394891738892 -0.011010433547198772 0.0036123653408139944   0.70934724807739258,0.00026196069666184485 0.00083203037502244115 0.00050263130106031895,-0.0011051421752199531     1.3129560947418213 0.00043770208139903843,  0.22712111473083496 0.0061669540591537952  0.078729666769504547 0.0061669540591537952   0.23532615602016449 0.0034090222325176001  0.078729666769504547 0.0034090222325176001   0.20184651017189026,  -0.22256059207048651    0.03028213293898574   0.025661634808216149    0.43526257174697491    0.36765247713077542   0.025498579975469227 7.3092634167437609e-06,0.00092013285029679537
IIWA_7,1715016339.1366549,-0.25338869892999866   1.1670072230797179   0.1328461517311596  -1.1884344180307822  -1.8083861741743492  -1.6477242049249707 -0.78684831449419756, 0.0001241674978993277 3.2191449220306357e-05  0.0023487727970195136 1.4683966781645016e-05   0.000824282929129987 0.00088025102462292119 1.1177988737495254e-05,-0.030917743682861328    67.311960746765138   -4.8350189971923827   -17.597814044952393    -1.889284553527832    1.3793956871032715  -0.26733509445190429, 0.01460609176101875  0.22904221229082081 -0.36176874784833224  -1.1065819909723065  0.11106518875436458 0.091323642723828605  0.50695895692782644,0.63639473915100098 0.11567097157239914 0.21901020407676697, -0.70476394891738892 -0.011010433547198772 0.0036123653408139944   0.70934724807739258,0.00026196069666184485 0.00083203037502244115 0.00050263130106031895,-0.0011056733783334494     1.3129560947418213 0.00043714564526453614,  0.22712111473083496 0.0061669540591537952  0.078729666769504547 0.0061669540591537952   0.23532615602016449 0.0034090222325176001  0.078729666769504547 0.0034090222325176001   0.20184651017189026,  -0.22256059207048651    0.03028213293898574   0.025661634808216149    0.43526257174697491    0.36765247713077542   0.025498579975469227 7.3092634167437609e-06,0.00092013285029679537
IIWA_7,1715016339.1416714,-0.25338768031221393   1.1670071033064982  0.13285921453886307  -1.1884343581441721  -1.8083819557135472  -1.6477204298868817 -0.78684825460758756,0.00014007870970872443 2.0962230584780165e-05  0.0024015305457543226 1.4142637829930258e-05 0.00082816477538430727 0.00085520234325896021 1.1337855390169556e-05,                   0   67.290452751159663  -4.8174114990234376  -17.589890670776366  -1.8875238037109374   1.3777269287109375 -0.26766884613037112, 40.980387616174418  2.4232421492681229  22.560270706710234 -6.2196125646021398 0.59310378990126711  1.0519049970231646 0.50739945087886973,0.63639754056930542 0.11568616330623627 0.21901951730251312, -0.70475184917449951 -0.011014088988304138 0.0036093825474381447   0.70935922861099243,0.00022299193369690329  0.0009247477282769978 0.00056395534193143249,-0.0011059876997023821     1.3129560947418213 0.00043638769420795143,  0.22711984813213348 0.0061631882563233376  0.078730210661888123 0.0061631882563233376   0.23532587289810181 0.0034114944282919168  0.078730210661888123 0.0034114944282919168   0.20184820890426636,  -0.22242512561643224   0.030304122621060969   0.025794326485417685    0.43524057955668383    0.36762289222291855   0.025524924746278543 7.3187269578056657e-06,0.0010107217822223902
IIWA_7,1715016339.1466541,-0.25335849873436983   1.1670120168446747  0.13290343638245317  -1.1884547312634477  -1.8083762032828656   -1.647705269847916 -0.78684825460758756,  0.0012793260815307853  0.00021331131152999035   0.0036900981802073631 -0.00080361066076035036  0.00089262904757030569    0.001290563433236512  9.0702843121356456e-06,-0.18819496154785156   67.219207515716548  -5.2620008277893069  -17.334581947326662  -1.9200976753234864   1.3406804924011231 -0.26766884613037112, 40.979767944167357  2.4241314184188383  22.558058181439812 -6.2199278491569761 0.59261558786993307  1.0528016390349046 0.50758578703061941, 0.6363985538482666 0.11569149792194366 0.21902294456958771, -0.70474761724472046 -0.011015495285391808 0.0036082945298403502   0.70936340093612671,0.00021787095465697348 0.00095334649085998535 0.00058829924091696739,-0.0011062804842367768     1.3129558563232422 0.00043565774103626609,  0.22711934149265289 0.0061618685722351074  0.078730404376983643 0.0061618685722351074   0.23532576858997345 0.0034123673103749752  0.078730404376983643 0.0034123673103749752   0.20184884965419769,  -0.22237765275789911   0.030311889326561925   0.025840970208967917    0.43523287248792286    0.36761267991813895   0.025534376748126419 7.3220762786263549e-06,0.0010430585825815797
IIWA_7,1715016339.1516542,-0.25290615411631495   1.1670508457299593   0.1334722076606685  -1.1885966844547493  -1.8083554946022249  -1.6475856074564053 -0.78684759552762884,  0.019117245587419767   0.001723804460608558   0.025702929672779304 -0.0063210161806728261  0.0015424504636860998  0.0058189464070185336 3.3619425798519583e-05, -9.4016825790405267   65.057653957366938  -11.296970825195313  -15.260418663024902  -2.0002117919921876   1.5078900833129882 -0.29537023544311525, 40.940930932101651  2.4143046893465394  22.531595613222262 -6.2037288451021331 0.59904534993511505  1.0621938520655902  0.5049308484555205,0.63639122247695923 0.11572793871164322 0.21902486681938171, -0.70473384857177734 -0.011022686958312988 0.0036251114215701818   0.70937687158584595,-0.00011900342360604554   0.0022202103864401579  0.00054805161198601127,-0.0011065368307754397     1.3129560947418213 0.00043481105240061879,  0.22712117433547974 0.0061570773832499981  0.078729912638664246 0.0061570773832499981   0.23532640933990479 0.0034177997149527073  0.078729912638664246 0.0034177997149527073   0.20184747874736786,  -0.22220343864276515   0.030357142756010091   0.026084753907085201    0.43517032789353038    0.36761288221498489   0.025633564502136608 7.3430674873975477e-06,0.0020929374732077122
IIWA_7,1715016339.1567571,-0.25244338333764105   1.1670531227301346  0.13418778567266917   -1.188709336185904  -1.8083202129459286  -1.6473490387664391  -0.7868441200316727,  0.033804627616891986  0.0014701235754988142   0.049185464218250353 -0.0095628821907267209  0.0026452266228006085   0.014117904724260121 0.00016591537888441772, -18.956609626770021   65.920662281036371  -15.855552101135254  -15.248973789215087  -1.6093253326416015   1.5846529693603515 -0.24697624206542967, 40.940939997001131  2.4143314315012079  22.531589517703587 -6.2037435116728217 0.59903634310642873  1.0621986500313803  0.5049308484555205,0.63639122247695923 0.11572793871164322 0.21902486681938171, -0.70473384857177734 -0.011022686958312988 0.0036251114215701818   0.70937687158584595,-0.00011900342360604554   0.0022202103864401579  0.00054805161198601127,-0.0011068599997088313     1.3129559755325317 0.00043289939640089869,  0.22712117433547974 0.0061570773832499981  0.078729912638664246 0.0061570773832499981   0.23532640933990479 0.0034177997149527073  0.078729912638664246 0.0034177997149527073   0.20184747874736786,  -0.22220343864276515   0.030357142756010091   0.026084753907085201    0.43517032789353038    0.36761288221498489   0.025633564502136608 7.3430674873975477e-06,0.0020929374732077122
IIWA_7,1715016339.1616571,-0.25219453091131627   1.1670824840768919  0.13497754617744889  -1.1889130080374639  -1.8082761110937247   -1.647023307531807 -0.78684471922502153,  0.036997799146504584  0.0023505527306886338   0.070938791565789028  -0.015797179814977157  0.0038802553863979726   0.024323573164691588 0.00010876456915445557, -23.200406009674072   65.509321865081787  -16.763218631744383  -14.789418087005615  -1.8285386848449707   1.5873229827880859 -0.23128991317749023, 40.343630116358788  2.4429016394183054  22.056026610732847 -6.0711912512285933 0.64656997270132011  1.2278113970705702 0.49429779793862977,0.63630515336990356 0.11623366177082062 0.21909534931182861, -0.70456194877624512 -0.011217367835342884 0.0038480623625218868   0.70954340696334839,-0.0035455366596579552    0.02200283482670784  0.0032603286672383547,-0.001107066054828465    1.3129562139511108 0.0004318837309256196,  0.22712071239948273 0.0061021479777991772  0.078727923333644867 0.0061021479777991772    0.2353338748216629 0.0034920563921332359  0.078727923333644867 0.0034920563921332359   0.20184804499149323,  -0.22020575521786157   0.030968835155853469   0.029261508204037057    0.43452795930498667    0.36784941667455939   0.027198050273291585 7.6567534534888182e-06,0.0205860435962677
IIWA_7,1715016339.1666799,-0.25217721364539486   1.1670939889600718     0.13592112407637  -1.1891949968486346  -1.8082269277154035  -1.6465253630236347 -0.78684423991397567,  0.030290929954060176  0.0023406375117474513   0.094494149209475437  -0.023917296298809607  0.0050715394419647928   0.039376638858645674 0.00010618409715770105, -21.608814334869386   65.655845085144037  -14.048142414093018  -14.421421375274658  -1.4094802284240722   1.0706753845214845 -0.24897875213623047, 39.830451972349287   2.560556040253299  21.574221803508781 -6.0247286948787249 0.65583576460339787  1.3680533260121639 0.49741698917548099,0.63624942302703857 0.11679528653621674 0.21921436488628387, -0.70437461137771606  -0.01143617182970047 0.0040264599956572056   0.70972484350204468,-0.0050904341042041779   0.040063176304101944  0.0073773856274783611,-0.0011028508888557553     1.3129560947418213 0.00043050773092545569,  0.22710512578487396 0.0060299495235085487  0.078729823231697083 0.0060299495235085487    0.2353399246931076 0.0035776842851191759  0.078729823231697083 0.0035776842851191759   0.20186483860015869,  -0.21758717544440032   0.031679380565918791   0.033038646537697502    0.43380330659381627    0.36795158361435654   0.028736231165282788 7.9742132896853946e-06,0.037521455436944962
IIWA_7,1715016339.1717727,-0.25224588329756537   1.1671141823104341  0.13721320332076001   -1.189541820387277  -1.8081515710305536  -1.6459036214389535 -0.78684382048953982,  0.021485957876427923  0.0026802440238898177    0.12727848914318074  -0.033006778584741644  0.0070714989475688514   0.056370974474164594 0.00010172425516012407,-18.010257820129393  65.631648590087892 -13.018984146118164 -14.412617626190185 -1.7008843231201172  1.4544898147583007  -0.279350154876709, 39.570719606397454  2.5950720064833375  21.244524228153303 -5.9819239218227978 0.66549041534945408  1.4343532852476966 0.48339345157901031,0.63620293140411377 0.11725664883852005 0.21930219233036041, -0.70417612791061401 -0.011536509729921818  0.004150924738496542   0.70991945266723633,-0.0059604146517813206   0.050500273704528809  0.0094302026554942131,-0.0011028539156541228     1.3129597902297974 0.00043050892418250442,  0.22710777819156647 0.0059475256130099297  0.078729100525379181 0.0059475256130099297   0.23534482717514038 0.0036535977851599455  0.078729100525379181 0.0036535977851599455   0.20186947286128998,  -0.21460208869950037   0.032327314936964058   0.036650569472662653    0.43295523176034578    0.36770014985698651   0.029808710398704363 8.2245001920000504e-06,0.047268096357584
IIWA_7,1715016339.1767447,-0.25227680256884599   1.1671280840760925  0.13882034776547386  -1.1899902700849398  -1.8080567518301487  -1.6450595125811807 -0.78684310141388802, 0.015951995449917249 0.0027002658454481901   0.16610856910309874 -0.044343410774308895 0.0094499671742504059  0.078861133890246182 0.0001101424302001199, -16.514107875823974   65.247193168640138  -13.445085601806641  -14.581649608612061   -1.746663818359375    1.209182331085205 -0.27033885955810549, 39.523337569852458  2.6361695737154043  20.992615925483385 -5.9941515372704792 0.65162123982975939  1.4329454665496173 0.46359705621747599,0.63618862628936768 0.11763296276330948 0.21939411759376526, -0.70396828651428223 -0.011527484282851219  0.004181192722171545   0.71012550592422485,-0.0053683356381952763     0.0554497130215168   0.011246021836996078,-0.0010492813307791948     1.3129627704620361 0.00039932513027451932,  0.22711721062660217 0.0058453483507037163  0.078728355467319489 0.0058453483507037163   0.23534795641899109 0.0037247168365865946  0.078728355467319489 0.0037247168365865946   0.20187413692474365,  -0.21090738275653109    0.03296118988860286   0.040378105296667854    0.43192955232917996     0.3669977102171984   0.030324619330279745 8.3925648652893869e-06,0.051942896097898483
