RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715016698.345901,0.50623112916946411  1.0589152574539185 0.27709949016571045, -0.0030685840174555779 -2.6163059374084696e-05   -0.011763635091483593     0.99992609024047852,0.50623112916946411  1.0589152574539185 0.27709949016571045, -0.0030685840174555779 -2.6163059374084696e-05   -0.011763635091483593     0.99992609024047852
1715016698.350904,0.50620365142822266  1.0589276552200317 0.27708014845848083,-0.0030303711537271738 9.2531277914531529e-05  -0.011739354580640793    0.99992650747299194,0.50620365142822266  1.0589276552200317 0.27708014845848083,-0.0030303711537271738 9.2531277914531529e-05  -0.011739354580640793    0.99992650747299194
1715016698.3558588,0.50620019435882568  1.0588774681091309 0.27711611986160278,-0.0029862869996577501  -6.54107570881024e-05  -0.011776098981499672    0.99992620944976807,0.50620019435882568  1.0588774681091309 0.27711611986160278,-0.0029862869996577501  -6.54107570881024e-05  -0.011776098981499672    0.99992620944976807
1715016698.3608699,0.50625306367874146  1.0589475631713867 0.27705645561218262,-0.0031532794237136841 0.00024155269784387201  -0.011647604405879974    0.99992716312408447,0.50625306367874146  1.0589475631713867 0.27705645561218262,-0.0031532794237136841 0.00024155269784387201  -0.011647604405879974    0.99992716312408447
1715016698.3659048,0.50626647472381592  1.0589135885238647 0.27707543969154358,-0.0032786417286843061 0.00016189631423912942  -0.011775517836213112    0.99992525577545166,0.50626647472381592  1.0589135885238647 0.27707543969154358,-0.0032786417286843061 0.00016189631423912942  -0.011775517836213112    0.99992525577545166
1715016698.370928,0.50618046522140503  1.0588937997817993 0.27709150314331055, -0.0029900604858994484 -6.8124238168820739e-05   -0.011785861104726791     0.99992609024047852,0.50618046522140503  1.0588937997817993 0.27709150314331055, -0.0029900604858994484 -6.8124238168820739e-05   -0.011785861104726791     0.99992609024047852
1715016698.3759007,0.50621193647384644   1.058874249458313 0.27711388468742371, -0.0029560106340795755 -9.8795106168836355e-05    -0.01184882503002882     0.99992543458938599,0.50621193647384644   1.058874249458313 0.27711388468742371, -0.0029560106340795755 -9.8795106168836355e-05    -0.01184882503002882     0.99992543458938599
1715016698.3809001,0.50722283124923706  1.0583428144454956 0.27713918685913086,-0.0028760561253875494 0.00026632138178683817  -0.012184538878500462    0.99992161989212036,0.50722283124923706  1.0583428144454956 0.27713918685913086,-0.0028760561253875494 0.00026632138178683817  -0.012184538878500462    0.99992161989212036
1715016698.3858988,0.50634396076202393  1.0589059591293335 0.27705854177474976,-0.0032168370671570301 0.00024314271286129951  -0.011733063496649265    0.99992597103118896,0.50634396076202393  1.0589059591293335 0.27705854177474976,-0.0032168370671570301 0.00024314271286129951  -0.011733063496649265    0.99992597103118896
1715016698.3908992,0.50636237859725952  1.0589170455932617 0.27704870700836182,-0.0031353197991847992 0.00031992123695090413  -0.011663763783872128    0.99992698431015015,0.50636237859725952  1.0589170455932617 0.27704870700836182,-0.0031353197991847992 0.00031992123695090413  -0.011663763783872128    0.99992698431015015
1715016698.3958998,0.50628089904785156  1.0589430332183838 0.27702361345291138,-0.0032852902077138424 0.00020487063738983124  -0.011810021474957466    0.99992483854293823,0.50628089904785156  1.0589430332183838 0.27702361345291138,-0.0032852902077138424 0.00020487063738983124  -0.011810021474957466    0.99992483854293823
1715016698.4009001,0.50629663467407227  1.0589536428451538 0.27700233459472656, -0.003289021085947752 0.00022780257859267294  -0.011724580079317093    0.99992585182189941,0.50629663467407227  1.0589536428451538 0.27700233459472656, -0.003289021085947752 0.00022780257859267294  -0.011724580079317093    0.99992585182189941
