RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1715016695.455894,0.52726536989212036 0.51029008626937866  0.2792181670665741,-0.0046054599806666374  0.0013725045137107372   0.013980244286358356    0.99989074468612671,0.52726536989212036 0.51029008626937866  0.2792181670665741,-0.0046054599806666374  0.0013725045137107372   0.013980244286358356    0.99989074468612671
1715016695.460892,0.52694535255432129 0.51532953977584839 0.27921602129936218,-0.004442896693944931  0.001679061446338892  0.014084002934396267    0.9998895525932312,0.52694535255432129 0.51532953977584839 0.27921602129936218,-0.004442896693944931  0.001679061446338892  0.014084002934396267    0.9998895525932312
1715016695.4658916,0.52665376663208008 0.52038806676864624 0.27924239635467529,-0.0042375782504677773  0.0013683730503544211   0.013869605958461761     0.9998939037322998,0.52665376663208008 0.52038806676864624 0.27924239635467529,-0.0042375782504677773  0.0013683730503544211   0.013869605958461761     0.9998939037322998
1715016695.4760096,0.52616643905639648 0.52824467420578003 0.27922391891479492,-0.0043526613153517246  0.0014772545546293259   0.013765254057943821    0.99989467859268188,0.52616643905639648 0.52824467420578003 0.27922391891479492,-0.0043526613153517246  0.0014772545546293259   0.013765254057943821    0.99989467859268188
1715016695.4808962,0.52585995197296143 0.53355318307876587 0.27923116087913513,-0.0042973770759999752  0.0012465193867683411   0.013856577686965466    0.99989396333694458,0.52585995197296143 0.53355318307876587 0.27923116087913513,-0.0042973770759999752  0.0012465193867683411   0.013856577686965466    0.99989396333694458
1715016695.4858935, 0.5255247950553894 0.53890615701675415 0.27922755479812622,-0.0038460255600512028  0.0012153516290709376   0.013749211095273495    0.99989736080169678, 0.5255247950553894 0.53890615701675415 0.27922755479812622,-0.0038460255600512028  0.0012153516290709376   0.013749211095273495    0.99989736080169678
1715016695.4909315,0.52508825063705444 0.54427653551101685 0.27929127216339111,-0.0035838491749018431  0.0012466318439692259   0.013196657411754131    0.99990570545196533,0.52508825063705444 0.54427653551101685 0.27929127216339111,-0.0035838491749018431  0.0012466318439692259   0.013196657411754131    0.99990570545196533
1715016695.4959004,0.52463549375534058 0.54966360330581665 0.27925020456314087,-0.0036910164635628462   0.001092018443159759   0.012828068807721138    0.99991029500961304,0.52463549375534058 0.54966360330581665 0.27925020456314087,-0.0036910164635628462   0.001092018443159759   0.012828068807721138    0.99991029500961304
1715016695.5108929, 0.5234377384185791 0.56351006031036377 0.27914568781852722,-0.0037839889992028475  0.0012781902914866805   0.011144082061946392    0.99992990493774414, 0.5234377384185791 0.56351006031036377 0.27914568781852722,-0.0037839889992028475  0.0012781902914866805   0.011144082061946392    0.99992990493774414
1715016695.515893,0.52295160293579102 0.56915903091430664 0.27916553616523743,-0.0037400764413177967  0.0014154000673443079    0.01060029212385416     0.9999358057975769,0.52295160293579102 0.56915903091430664 0.27916553616523743,-0.0037400764413177967  0.0014154000673443079    0.01060029212385416     0.9999358057975769
1715016695.5208931,0.52266478538513184 0.57486516237258911 0.27915194630622864,-0.0038320820312947035  0.0011796639300882816   0.010443896986544132    0.99993741512298584,0.52266478538513184 0.57486516237258911 0.27915194630622864,-0.0038320820312947035  0.0011796639300882816   0.010443896986544132    0.99993741512298584
1715016695.5308945, 0.5221092700958252 0.58350515365600586  0.2793843150138855,-0.0039152461104094982  0.0010204006684944034   0.011102089658379555    0.99993020296096802, 0.5221092700958252 0.58350515365600586  0.2793843150138855,-0.0039152461104094982  0.0010204006684944034   0.011102089658379555    0.99993020296096802
