DesiredFlux,1,HitTime,1714491015.1014655,DesiredPos,0.55756938457489014 0.31122797727584839    0.21894571185112
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714491014.5707371,-0.47904122763497842   1.1321650666510026 0.014623211139987971  -1.2532763252414472  -1.9634115188940577  -1.9015485305095348 -0.88495309710679049, 0.00015967383059442032  5.2206855812216315e-05 -2.5488719938954343e-06  -2.526815343814777e-05 -1.0920209517159512e-05  2.5001029045715691e-07 -2.1276160164074664e-07, 0.11560547637939453   66.118266990661624  -1.8470265579223633  -16.429556541442871  -1.1576930046081544    1.690786003112793 -0.23662994003295898,-0.16464666797508057   0.9338986674896218 0.069990820183740504  -2.6198323908611143 -0.29965392079638764 -0.25522580374339765  0.40006350411550379,  0.55944603681564331 -0.057620421051979065   0.21881256997585297, -0.70712190866470337 -0.014873565174639225 0.0097066741436719894   0.70686858892440796,-6.0050092542951461e-06  0.00013649158063344657 -3.2373871363233775e-05,-0.00025995948817580938      1.4377963542938232  1.8339156667934731e-05,  0.24317523837089539  0.032122422009706497  0.066591918468475342  0.032122422009706497   0.22861447930335999 -0.023910732939839363  0.066591918468475342 -0.023910732939839363   0.19162353873252869,   -1.2291555641192886   -0.42162233887665934    -1.2504666796209207    0.79378778143723849    0.56537045542448539   0.052501185715314591 1.6209040332171298e-05,9.7654155979398638e-05
IIWA_7,1714491014.5757556,-0.47904116774836841   1.1321649467686996 0.014623151253378012  -1.2532766847792729  -1.9634114230754818  -1.9015484106272318 -0.88495291733787762, 0.00013013452887570962  3.6970192530831027e-05 -4.4345619934855874e-06 -3.4596035779867193e-05 -4.9034245752266019e-06  4.9953003513077546e-06  7.0205472333618928e-06,0.098130229949951173   66.118266990661624  -1.8479069328308104  -16.424274291992187  -1.1647360038757324   1.6821084594726563 -0.23462742996215821,  42.154678937308333   4.3024018510683986   17.625072262904194  -10.071186822596861   5.2326595042788657  -1.5741191131279777 -0.88014558500920126,  0.55944597721099854 -0.057620231062173843   0.21881219744682312, -0.70712178945541382 -0.014873498119413853 0.0097070001065731049   0.70686864852905273,-4.9865711844176985e-06  9.4756818725727499e-05 -3.3449392503825948e-05,-0.0002599595463834703     1.4377965927124023 1.8339158486924134e-05,  0.24317528307437897  0.032122395932674408  0.066591911017894745  0.032122395932674408   0.22861452400684357 -0.023910719901323318  0.066591911017894745 -0.023910719901323318   0.19162346422672272,   -1.2291542705202829   -0.42162173747950504    -1.2504650790559069    0.79378727917767122    0.56537071421924878   0.052502134572307568 1.6209234843245213e-05,6.997584569035098e-05
IIWA_7,1714491014.5807309,-0.47904122763497842   1.1321648868820897 0.014623211139987971  -1.2532768046615759  -1.9634115188940577  -1.9015484106272318  -0.8849532168800105, 0.00010171215870039436  2.7180689628932364e-05 -1.1521851964192299e-06 -3.2472120742835784e-05 -7.7554826986822904e-06  3.9962402810462038e-06 -6.3652475283316813e-06,0.041671741485595701   66.088693496704096  -1.8417443084716796  -16.455967788696288  -1.1603341293334961   1.6904522514343261 -0.23395992660522461,  42.154685606256393    4.302402517224011   17.625076255768697  -10.071188440948969   5.2326595742405289  -1.5741190534474465 -0.88014558500920126,  0.55944597721099854 -0.057620231062173843   0.21881219744682312, -0.70712178945541382 -0.014873498119413853 0.0097070001065731049   0.70686864852905273,-4.9865711844176985e-06  9.4756818725727499e-05 -3.3449392503825948e-05,-0.00025992962764576077      1.4377967119216919  1.8383614587946795e-05,  0.24317528307437897  0.032122395932674408  0.066591911017894745  0.032122395932674408   0.22861452400684357 -0.023910719901323318  0.066591911017894745 -0.023910719901323318   0.19162346422672272,   -1.2291542705202829   -0.42162173747950504    -1.2504650790559069    0.79378727917767122    0.56537071421924878   0.052502134572307568 1.6209234843245213e-05,6.997584569035098e-05
IIWA_7,1714491014.5857334, -0.4790145028262226   1.1321715980003129 0.014653770873442688  -1.2533051472814654  -1.9633963708324138  -1.9015623722795001 -0.88496663922553986,   0.001150362077193038  0.00029018928062898879   0.0012214675900315266  -0.0011596824921737729  0.00059971807959835672 -0.00055526909850723129 -0.00054198601919738744,-0.20029320907592774   65.866892292022712  -2.3145056343078614  -16.109100074768065  -1.3733848571777343   1.7358424797058105 -0.20158601379394531,  42.155621532259488   4.3029549127444895   17.625340147472787  -10.071533566071013   5.2325020632266481  -1.5741091136468659 -0.88011338309068288,  0.55944591760635376 -0.057620175182819366   0.21881219744682312, -0.70712178945541382 -0.014873422682285309 0.0097070261836051941   0.70686870813369751,-6.3229367697203998e-06  6.2415427237283438e-05 -2.1490623112185858e-05,-0.00025988367269746959      1.4377968311309814   1.843783502408769e-05,  0.24317532777786255  0.032122377306222916  0.066591896116733551  0.032122377306222916   0.22861453890800476 -0.023910719901323318  0.066591896116733551 -0.023910719901323318   0.19162341952323914,   -1.2291534161326112   -0.42162166636838805    -1.2504647205275887    0.79378656978068562    0.56537046015492365    0.05250211462470844 1.6209238395958891e-05,4.6121771447360516e-05
IIWA_7,1714491014.5907581,-0.47856227809047075   1.1322123443479468 0.015149198834999938  -1.2535490262830034  -1.9631871742720064  -1.9016358355875442 -0.88507257983847132,  0.019009279091828406  0.0018620053298614939   0.020794292534315226  -0.010682906055258793  0.0088476368799750744 -0.0033827476005714487 -0.0046712133326160862,-8.8518844413757325  63.285932819366458  -8.331868133544921 -12.977606525421143 -1.6190094566345214  1.8566605873107911 -0.2960377388000488,  42.124713666631109   4.2979837052950378   17.599241885524524  -10.058783902656874   5.2312982042795007  -1.5601763562892239 -0.87994286329383775,  0.55944210290908813 -0.057590745389461517   0.21881440281867981, -0.70709991455078125 -0.014886869117617607 0.0097202789038419724   0.70689010620117188,-0.00015666411491110921    0.001226997934281826  7.1186434070114046e-05,-0.00025987048866227269      1.4377968311309814  1.8489068679627962e-05, 0.24317555129528046 0.032120369374752045 0.066593050956726074 0.032120369374752045  0.22861915826797485 -0.02390747144818306 0.066593050956726074 -0.02390747144818306  0.19161956012248993,   -1.2290266534025207   -0.42152603594569626    -1.2502858260150518    0.79367922071504893    0.56538513684767366   0.052640240685519757 1.6241998856969531e-05,0.00086173374438658357
IIWA_7,1714491014.5957625,-0.47805618431277153   1.1321846009214063 0.015712277612776819  -1.2537939837889363  -1.9627995565418919  -1.9016570476647745 -0.88517067072400879,  0.035451174381431666 0.00037986720226721045   0.039158585138527421  -0.018344625081522906   0.022582818708561304 -0.0035546811696679755 -0.0076606060875917415, -18.358418498992918   62.577513214111327  -12.320846843719481  -12.756632423400879  -1.6788749504089355   1.7315037078857423 -0.14084320831298827, 41.645963726766695  4.3323617945842363  17.180838587913463 -9.9685874369578595  5.1783597162811281 -1.3922745512468828 -0.8593027944547369,  0.55946153402328491 -0.057135604321956635   0.21888858079910278, -0.70684289932250977 -0.015131237916648388 0.0098704323172569275   0.70713979005813599,0.00064322532853111625   0.019185826182365417  0.0030263664666563272,-0.00025987048866227269      1.4377968311309814  1.8489068679627962e-05,  0.24314460158348083  0.032093118876218796  0.066624157130718231  0.032093118876218796   0.22868561744689941 -0.023847488686442375  0.066624157130718231 -0.023847488686442375   0.19159385561943054,  -1.2272693243540189  -0.41986420858286522   -1.2474050757091959   0.79208240245698391   0.56560261834270875  0.054486579998958007 1.666494942043073e-05,0.013515022583305836
IIWA_7,1714491014.6007338,-0.47774141865458053   1.1321720174247487 0.016382914814618649  -1.2542172067157569  -1.9621021704457506  -1.9016705298969139 -0.88534881615351058,   0.040951565832785183 -0.00019944610448858634    0.058152356184495123   -0.031604617138043169    0.045961698812498175  -0.0033830342213092761    -0.01325430205014483,  -22.454347412109374    61.926896347045897   -14.450473747253417   -11.695780658721924   -1.9183369255065919    1.9514460639953612 -0.010012550354003906,  41.218952475260828   4.4705505891723014   16.753752278426447  -9.9592808788183707   5.0580623837939127  -1.2325493529561227 -0.81953841310337361,  0.55953341722488403 -0.056630060076713562   0.21902680397033691, -0.70655423402786255 -0.015395359136164188 0.0099436193704605103   0.70742154121398926,0.0033675795421004295  0.035568058490753174 0.0079561127349734306,-0.00025985535467043519      1.4378057718276978  1.8488581190467812e-05,  0.24310199916362762  0.032058507204055786  0.066666729748249054  0.032058507204055786   0.22875294089317322 -0.023778416216373444  0.066666729748249054 -0.023778416216373444   0.19158068299293518,   -1.2252228383209385   -0.41800037517258914    -1.2441901771360619    0.79034473691130813    0.56565353696846898   0.056227670623520964 1.7081955405728877e-05,0.025452511385083199
IIWA_7,1714491014.6057358,-0.47765585127000765   1.1321520637299092 0.017196823476762817  -1.2547918503724067  -1.9611104518500202  -1.9016742450483928 -0.88560773542079474,   0.036183948049143433 -0.00095770467717231863    0.079078231433362817   -0.048269439976427797    0.076438102879216124    -0.00285503343620343   -0.020960212331482399,  -21.90454927444458     61.1647067527771   -11.66144603729248  -11.570767421722412  -1.4860728454589844   1.7378449897766113 -0.12615813446044921,  40.976378433866834   4.6012899575348065   16.371893777029623  -9.9569016187437569   4.8759647025687869  -1.0804360623509905 -0.77857031208633787,  0.55960714817047119 -0.056168802082538605   0.21919041872024536, -0.70614039897918701 -0.015545402653515339 0.0098657561466097832    0.7078324556350708,0.0056127314455807209  0.046896521002054214  0.012921924702823162,-0.00025879146414808929      1.4379328489303589   1.814563074731268e-05,  0.24309428036212921  0.031997803598642349  0.066709361970424652  0.031997803598642349   0.22881336510181427 -0.023717986419796944  0.066709361970424652 -0.023717986419796944   0.19154819846153259,   -1.2222570237891972   -0.41647204757744305    -1.2408080829544588    0.78877148359435267    0.56513647987266324   0.057482204895542566 1.7463473334089485e-05,0.034047916531562805
IIWA_7,1714491014.6107318,-0.47767999942737205     1.13212701672798 0.018321962414531882  -1.2555243861125029  -1.9597912283288053  -1.9016861093603157 -0.88602089150665608,  0.027981232144738712 -0.0017680438189050271    0.10826814265745285  -0.067916981584991876    0.11391942315197053 -0.0027585992258789237  -0.033294413299639669, -16.762794075012206   60.565171375274659  -11.553159923553467  -11.691378784179687  -1.8461461830139161   1.6724296607971192 -0.15419327545166014,  40.905983161363309   4.7658731111699062   16.012021686339587  -9.9868050269354711   4.6277713344939331 -0.93198858842392918 -0.72924049197350038,  0.55969047546386719 -0.055766277015209198   0.21939986944198608, -0.70560336112976074 -0.015595910139381886 0.0096128573641180992    0.7083701491355896,0.0077934307046234608  0.053597334772348404  0.018737591803073883,-0.00026373850414529443      1.4380618333816528  7.9632491178927012e-06,   0.2431146651506424  0.031911849975585938   0.06675468385219574  0.031911849975585938   0.22886563837528229 -0.023665549233555794   0.06675468385219574 -0.023665549233555794   0.19150331616401672,   -1.2184180094099162   -0.41530070272610686    -1.2372692487518933    0.78743346858178853    0.56404101524520911   0.058211079198677851 1.7800021900882257e-05,0.039846710860729218
IIWA_7,1714491014.6157649,-0.47763763526860459   1.1320754845728178 0.019735621621865051  -1.2564398610470575  -1.9581940667092639  -1.9016613620096023 -0.88662897109028482,  0.024079552066489394 -0.0034757212616112892    0.14316088241928904  -0.090952582650176389    0.15502200330323146 -0.0012169853521695833  -0.050958713984861334,  -15.414511600494384     60.39445166015625   -11.090963096618653   -12.259220600128174   -2.0935315322875976    1.7608738555908203 -0.095786731719970708,  40.905983161363309   4.7658731111699062   16.012021686339587  -9.9868050269354711   4.6277713344939331 -0.93198858842392918 -0.72924049197350038,  0.55969047546386719 -0.055766277015209198   0.21939986944198608, -0.70560336112976074 -0.015595910139381886 0.0096128573641180992    0.7083701491355896,0.0077934307046234608  0.053597334772348404  0.018737591803073883,-0.00028455391293391585      1.4381774663925171 -1.1748826182156336e-05,   0.2431146651506424  0.031911849975585938   0.06675468385219574  0.031911849975585938   0.22886563837528229 -0.023665549233555794   0.06675468385219574 -0.023665549233555794   0.19150331616401672,   -1.2184180094099162   -0.41530070272610686    -1.2372692487518933    0.78743346858178853    0.56404101524520911   0.058211079198677851 1.7800021900882257e-05,0.039846710860729218
