DesiredFlux,1,HitTime,1714491197.0364525,DesiredPos, 0.5583794116973877 0.31217497587203979 0.21882596611976624
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714491196.5084829,-0.45747327798839332   1.1327510353128363 0.008046807791396382  -1.2532749470858364  -1.9602359869168995  -1.8906346166870129 -0.88670806701215754, 0.00091964511265729568 -4.2700297440890739e-05 -3.8199855017266692e-06  4.1167732120595645e-07  8.1505868211603237e-06 -8.0848050320435118e-06  6.7500739665157598e-06,-0.24196495056152345   65.747254066467292  -1.8241368103027344  -16.377614421844481  -1.2906296157836914   1.7211574058532715 -0.21727234268188478,-0.033426663014139324   0.12735822658386062    1.7007697397598771   -1.5925268011438258    1.0033038272033183   0.24623531731870585   0.47461297356644977,  0.56218326091766357 -0.047633182257413864   0.21578004956245422, -0.71106582880020142 -0.018136478960514069  0.013199563138186932   0.70276755094528198,8.1454629253130406e-05 0.00085107097402215004 4.4327491195872426e-05,-0.001418737112544477    1.4394044876098633 0.0011362225050106645,  0.24253995716571808  0.031911980360746384  0.066870756447315216  0.031911980360746384   0.22945468127727509 -0.022733252495527267  0.066870756447315216 -0.022733252495527267    0.1915823370218277,  -1.2121541313323547  -0.38132990272021772   -1.2092646511394634   0.75033697403892319   0.57103900410560016  0.063084114501066324 1.668360916085021e-05,0.00059476518072187901
IIWA_7,1714491196.5135102, -0.45747411694634815    1.1327510353128363 0.0080465082492635082   -1.2532751867413594   -1.9602357952797478   -1.8906347964559258  -0.88670788724324456, 0.00070215777193265345 -3.4160237952712593e-05 -1.5037673716333142e-05 -9.2568790623239697e-06   1.418595552504849e-05   -1.36586005403093e-05  1.2590815692327989e-05,-0.30111193847656248   65.799679805755616  -1.8646340560913086   -16.39786304473877  -1.2967922401428222   1.7248286743164063 -0.21760609436035155,-0.02376282846541522  0.12576488170210801   1.7067933243065525      -1.595813560661   1.0026333941828964   0.2431511676352453  0.47445921745927633,   0.5621832013130188 -0.047633383423089981   0.21578004956245422, -0.71106588840484619 -0.018136316910386086  0.013199502602219582   0.70276749134063721, 6.447151827160269e-05 0.00067289324942976236 3.5381963243708014e-05,-0.0014187383931130171     1.4394044876098633  0.0011360488133504987,  0.24253998696804047  0.031911987811326981  0.066870741546154022  0.031911987811326981    0.2294546514749527 -0.022733280435204506  0.066870741546154022 -0.022733280435204506    0.1915823370218277,   -1.2121546926406879   -0.38133065272027977    -1.2092658943858581    0.75033759499110175    0.57103879413933356   0.063083299559174577 1.6683414649776296e-05,0.00047026362153701484
IIWA_7,1714491196.5185091,  -0.4574748959086099    1.1327511550860563 0.0080459089468316036   -1.2532756661614883   -1.9602357952797478   -1.8906347964559258  -0.88670788724324456,  0.0005305677270761492 -2.2537261561823369e-05 -3.6002236249250725e-05 -2.6582308407031969e-05  1.1348764420038792e-05 -1.0926880432247441e-05  1.0072652553862392e-05,-0.36563592529296873   65.849417045593256  -1.8972079277038574  -16.425154666900635  -1.3029548645019531   1.7258299293518067 -0.21793984603881836,  41.826297325315693   4.4756403468257355   18.543347446310051  -9.9672929452366485   5.9540016793645805  -1.6987232274584814 -0.82904893240139188,  0.56218302249908447 -0.047634545713663101   0.21577991545200348, -0.71106594800949097 -0.018135378137230873  0.013199000619351864   0.70276749134063721,3.4135213354602456e-05 0.00038904216489754617  1.804534622351639e-05,-0.0014187383931130171     1.4394044876098633  0.0011360488133504987,  0.24254019558429718  0.031911980360746384  0.066870659589767456  0.031911980360746384   0.22945450246334076 -0.022733451798558235  0.066870659589767456 -0.022733451798558235   0.19158229231834412,   -1.2121560494549044   -0.38133535697504328    -1.2092720174132765     0.7503414431724309    0.57103708648664764   0.063078884533496193 1.6682551340352347e-05,0.000271607656031847
IIWA_7,1714491196.5235074, -0.45747603440869761    1.1327512150817494 0.0080452498668728209   -1.2532760255902311   -1.9602359869168995   -1.8906347964559258  -0.88670770747433159, 0.00037891417815271507 -1.5629981526249128e-05 -5.5164987350709651e-05 -3.5642996436379231e-05  1.4135254679108029e-06 -8.7415043457979534e-06  1.5248878562205297e-05, -0.3938651695251465   65.883023288726804   -1.919217300415039   -16.45508741378784  -1.3038352394104005   1.7244949226379394 -0.21827359771728516,  41.829220112950033   4.4751559687647005   18.545039018220841  -9.9672986290904699   5.9541876984295445  -1.6991709456181538 -0.82922277692550006,  0.56218284368515015 -0.047635119408369064   0.21577966213226318, -0.71106600761413574 -0.018134735524654388  0.013198917731642723   0.70276737213134766,1.8534541595727205e-05 0.00028834899421781301 4.3137556531291921e-06,-0.0014187383931130171     1.4394044876098633  0.0011360488133504987,  0.24254035949707031  0.031911969184875488   0.06687057763338089  0.031911969184875488   0.22945442795753479 -0.022733552381396294   0.06687057763338089 -0.022733552381396294   0.19158220291137695,   -1.2121562976332712   -0.38133786572380757    -1.2092752754790936    0.75034286986941368    0.57103617417286756   0.063076604816636461 1.6682085046682005e-05,0.00020076088549103588
IIWA_7,1714491196.5285103, -0.45744895006211594    1.1327604429647538 0.0080757497137175782   -1.2533052072771582    -1.960221605927462   -1.8906576264533728  -0.88672184878642968,  0.0013865052057886844  0.00035661133495469539    0.001175861883909725  -0.0011957818742337248  0.00057637039787482563 -0.00092019310135505231 -0.00055345338107394223,-0.60356812667846682   65.772794811248772  -2.4131076240539548  -16.096774826049803  -1.4983980941772461    1.833631721496582  -0.1815609130859375, 41.831835813285629   4.474807498002928  18.546551272014234 -9.9673565329969911  5.9543583574900429  -1.699595116635388 -0.8293931287484253,  0.56218260526657104 -0.047635935246944427   0.21577942371368408, -0.71106618642807007 -0.018133969977498055  0.013198784552514553   0.70276725292205811, 5.4460829232994001e-06  0.00019806971249636263 -6.1447044572560117e-06,-0.0014187013730406761     1.4394040107727051   0.001136037171818316,  0.24254052340984344  0.031911969184875488  0.066870495676994324  0.031911969184875488   0.22945433855056763 -0.022733679041266441  0.066870495676994324 -0.022733679041266441   0.19158214330673218,    -1.212157281982762   -0.38134116349830549    -1.2092797108360642    0.75034514453964363    0.57103516389211961   0.063073573075556055 1.6681425130116168e-05,0.00013772344391327351
IIWA_7,1714491196.5335088, -0.45701482144546413     1.132818746124749 0.0085829221048945754   -1.2535626283974457   -1.9599960147912587   -1.8908623170318004  -0.88683497993771321,  0.018474348830703698   0.002617415467772599   0.021227585154207668  -0.011253470310886264  0.0094847417664294734 -0.0089237776181899011 -0.0049680087562003457, -8.6152964897155755   62.955247386932371  -8.2473521423339839  -12.550624694824219  -1.6181290817260743   2.2081011047363281 -0.33675544357299803,  41.800050873909768   4.4679562252741576   18.519854474165044  -9.9519622177089175    5.954090818526165  -1.6829563781541068 -0.82959970478597156,  0.56217628717422485 -0.047606009989976883   0.21578153967857361, -0.71104162931442261 -0.018148526549339294  0.013215523213148117   0.70279145240783691,-0.00024647786631248891   0.0013554850593209267  7.9944380559027195e-05,-0.0014185564359650016     1.4394040107727051  0.0011361723300069571,  0.24254119396209717  0.031910285353660583  0.066871337592601776  0.031910285353660583   0.22945898771286011 -0.022730650380253792  0.066871337592601776 -0.022730650380253792    0.1915777325630188,    -1.212044125975531   -0.38125432508540058     -1.209111540589447    0.75024769590825713    0.57105864061668399   0.063231177890976653 1.6721035223099534e-05,0.0009587441454641521
IIWA_7,1714491196.5384836, -0.45655247009122607    1.1328007697788689 0.0091500755719763922   -1.2537924258644126   -1.9595395597046492   -1.8911539531504116  -0.88694978878674013,  0.033273533234085169   0.001374878539014981   0.039668206806638809  -0.018194674927386658   0.025845996877524362  -0.018804466838998338 -0.0085667609660373227, -17.697047634124758   62.369154506683351  -12.135968112945557  -12.987290649414062  -1.9200976753234864   1.9234109230041503 -0.13516942977905275,  41.313358309591131    4.506284624839382   18.079677851166288  -9.8403652204985814    5.898232088243418  -1.4702092738916177 -0.81024866399746887,  0.56216549873352051 -0.047151915729045868   0.21587115526199341, -0.71073681116104126 -0.018405811861157417  0.013393092900514603   0.70308965444564819,-0.00063697510631754994    0.019245080649852753    0.003651180537417531,-0.0014185651671141386     1.4394129514694214  0.0011361793149262667,  0.24251562356948853  0.031886599957942963  0.066899217665195465  0.031886599957942963   0.22952422499656677 -0.022674243897199631  0.066899217665195465 -0.022674243897199631   0.19154666364192963,   -1.2104548979712249   -0.37976298562103494    -1.2063978537710796    0.74884248048956437    0.57136059980056331   0.065304325350901138 1.7232649085485718e-05,0.013614585623145103
IIWA_7,1714491196.5434828, -0.45625502158987341    1.1327996912744742 0.0098092078906383117    -1.254220921867236   -1.9587494636385043   -1.8916217573495653  -0.88713434590141538, 0.038516766641374517 0.0010567626554247697  0.058099858191787833  -0.03169558005484345  0.052280640147814902 -0.033755741437347053 -0.014235693359839593, -21.783566799163818   62.371843006134036  -14.217174396514892  -11.918515510559082  -1.9579537963867186    2.439724769592285 0.019023845672607422,  40.893715555453099   4.7044507904643185   17.609190497188241  -9.8312542504124263   5.7469445396444048  -1.2313251064571289 -0.76276625667904308, 0.56220179796218872 -0.04666784405708313  0.21606439352035522, -0.71035873889923096 -0.018707767128944397  0.013482856564223766   0.70346194505691528,0.00092078704619780183   0.034750014543533325   0.010656046681106091,-0.0014141781721264124     1.4394128322601318  0.0011339222546666861, 0.24247722327709198 0.031863130629062653 0.066938884556293488 0.031863130629062653  0.22958575189113617 -0.02261396124958992 0.066938884556293488 -0.02261396124958992  0.19153118133544922,   -1.2089145034357429   -0.37820133016008839    -1.2036763955309837    0.74749649000871443    0.57158428233172742   0.067421692066638172 1.7783749584054931e-05,0.025255190208554268
IIWA_7,1714491196.5484829,-0.45616525974277561   1.1327920213159932  0.01061065293842783  -1.2548077893736345  -1.9576261103907262  -1.8922242642059754  -0.8873844566010477,  0.034403887197011707 0.00053861178509962727    0.07853768846501101  -0.048831164299813545   0.086758642029376914  -0.051104867406284352   -0.02139298267316456, -21.865566032409667   61.542440925598143  -11.418462562561036  -11.800545272827149  -1.6894394493103027   1.9651298828124999 -0.12916189956665039,  40.624985575225018   4.8992574203011641   17.156578793117568  -9.8013349936143008   5.5339059824891796 -0.95093909862497994 -0.71870896316976962,  0.56221222877502441 -0.046216614544391632   0.21631148457527161, -0.70980173349380493 -0.018923843279480934  0.013477322645485401   0.70401829481124878,0.0011246183421462774  0.045824263244867325  0.018420539796352386,-0.0014143009902909398     1.4395377635955811  0.0011340207420289516,  0.24247603118419647  0.031823918223381042  0.066976256668567657  0.031823918223381042   0.22964125871658325 -0.022566186264157295  0.066976256668567657 -0.022566186264157295   0.19149148464202881,   -1.2068427576465979   -0.37699907646793207    -1.2010790349510359    0.74636349015033687    0.57144900029904022   0.069460066224991124 1.8390740486040613e-05,0.034311793744564056
IIWA_7,1714491196.5534844,-0.45619222431613737   1.1327809958529422 0.011738608183111144   -1.255549373227822  -1.9561364233539957  -1.8930100699037533 -0.88775794495275284,   0.026444526823138761 -1.0129093959669578e-05     0.10794836055934134   -0.068728285607352613     0.12899439509272032   -0.072316121836142028   -0.032053920206737349, -17.365017951965331   60.926774551391603  -11.296970825195313  -11.731876029968262  -1.8989686775207519   2.1169868965148924 -0.20225351715087891,  40.502604575932146   5.1385990326323983    16.69817368555589  -9.7935407974499942   5.2465632962847941 -0.64450786893081036 -0.66786234943377509,  0.56221771240234375 -0.045812007039785385   0.21663345396518707, -0.70907336473464966 -0.019063133746385574  0.013333058916032314   0.70475089550018311,0.0010891183046624064  0.052792105823755264  0.027636183425784111,-0.0013907988322898746     1.4397618770599365  0.0010854339925572276,  0.24250343441963196  0.031766884028911591  0.067016042768955231  0.031766884028911591   0.22968907654285431 -0.022528594359755516  0.067016042768955231 -0.022528594359755516   0.19143693149089813,   -1.2041790833068333    -0.3761540033302424    -1.1985219192736096    0.74550960228592089     0.5708894952389798   0.071288299629657104 1.9022868613660648e-05,0.041391853243112564
