DesiredFlux,1,HitTime,1714483090.8311086,DesiredPos,  0.586708664894104 0.15128538012504578 0.22083234786987305
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714483090.3022826,-0.96403262302920956   1.5776306306839045   1.0907972599575129 -0.74116828409331259  -2.8183062025210779  -1.8527317491074882 -0.31936407411687234, 0.00015238427416431469  9.8493122445103126e-06  -0.0019690130419366299 -7.6024990239968097e-05  8.9041326208373515e-07  9.0264190928168835e-06  7.8057158692799879e-06, 0.18819496154785156   70.794911785125734  -15.776318359374999  -7.3396856117248532  -2.1305072784423826  0.82703665924072267 -0.17321712112426757,-0.22641463688219982 -0.41784963339639769 -0.30454794604623081 -0.42966284128561433  -4.7588852671999486 0.048152417498744271  0.69162911440846486, 0.59285527467727661 -0.20301339030265808  0.22273823618888855,  -0.68819701671600342 0.00070076907286420465 3.1188104912871495e-05    0.72552353143692017,-0.00015623949002474546  0.00029695115517824888 -0.00077723100548610091, -0.0023592200595885515      1.0984972715377808 -0.00073394563514739275,  0.13084009289741516  0.034853696823120117  0.047247152775526047  0.034853696823120117   0.24624964594841003 -0.012499631382524967  0.047247152775526047 -0.012499631382524967    0.2408333420753479,    -1.1473211863570754    -0.33648248238371536    -0.21815203579578224      1.2209329019441384     0.46537389411671626    -0.11711425388316599 -1.7944330465979874e-05,0.00077065901132300496
IIWA_7,1714483090.3072836,-0.96403585876055975   1.5776303909192986   1.0907873129988566  -0.7411649884753525  -2.8183062025210779   -1.852732048649621 -0.31936407411687234,-7.5218346762662256e-06 -1.7111344422758081e-06    -0.00197308877980146  7.1004726211475964e-05  7.1233060966698817e-07 -4.7605500407676887e-06  6.2445726954239909e-06, 0.24196495056152345   70.807010032653807  -15.772796859741211  -7.3740202331542966  -2.1305072784423826  0.82436664581298824 -0.17388462448120118,-0.28520103462038671 -0.36470308809273466 -0.35648102461844133 -0.36590575325794833  -4.7795634942252905 0.085896870249719648  0.69150453880220408, 0.59285438060760498 -0.20301590859889984  0.22273480892181396,  -0.68819928169250488 0.00070469343336299062 3.2285490306094289e-05    0.72552138566970825,-0.00016253103967756033  0.00013702688738703728 -0.00075927266152575612,  -0.002358179772272706      1.0984971523284912 -0.00073240685742348433,  0.13084086775779724  0.034854352474212646  0.047247674316167831  0.034854352474212646   0.24624922871589661 -0.012500150129199028  0.047247674316167831 -0.012500150129199028   0.24083270132541656,     -1.147346748573419    -0.33649802743340729    -0.21816145984576707      1.2209679543264684     0.46537941569191332    -0.11712023699583796 -1.7946470975971351e-05,0.00071777141420170665
IIWA_7,1714483090.312289,-0.96403597853377965   1.5776305108016015   1.0907796431494587 -0.74116486859304953  -2.8183062025210779  -1.8527314494562723 -0.31936389434795942,-1.0808396536918795e-05  3.4263845651213829e-06  -0.0018852649997538795  6.1599073088122811e-05  5.6986448773359053e-07  2.0159293916023563e-05   1.218641467323413e-05, 0.23524370193481445   70.782813537597661  -15.784241733551026   -7.341446361541748    -2.13138765335083  0.82336539077758786 -0.17355087280273437,   34.075349648452452   0.22145916622902817   -6.3326672303072682   -19.204506425305841    4.4237818618609515 -0.063900251368434802   -3.2525330584198824, 0.59285348653793335 -0.20301875472068787  0.22273148596286774,   -0.6882014274597168 0.00070880935527384281 3.2852738513611257e-05    0.72551929950714111, -0.0001653476501815021 -4.4388493734004442e-06 -0.00073995708953589201, -0.0023570968769490719      1.0984970331192017 -0.00073086854536086321,  0.13084161281585693   0.03485507145524025  0.047248147428035736   0.03485507145524025    0.2462487518787384 -0.012500695884227753  0.047248147428035736 -0.012500695884227753   0.24083209037780762,     -1.147374700763315    -0.33651453891270222    -0.21817107465693653      1.2210057751609327     0.46538385065542087    -0.11712835371469055 -1.7948650565813296e-05,0.0006902315653860569
IIWA_7,1714483090.3172836,-0.96400805533832623   1.5776316493016893    1.090745368264525 -0.74119440970871953  -2.8182923967921614  -1.8527334868009246 -0.31941075272955077,  0.0011082811009071243  4.8281111162521863e-05  -0.0028792073971548524  -0.0011323653683293178  0.00055268504825083098 -6.5366350959860129e-05  -0.0018645861319155159, 0.013442497253417968    70.750551544189449   -15.375747776031494    -6.987535648345947    -2.299539260864258   0.83704920959472651 -0.073425369262695314,   34.080079951125647   0.22272297117315309   -6.3321786989687929   -19.207572403731184    4.4241946261664413 -0.064769305355265261   -3.2528384679141622, 0.59285229444503784 -0.20302252471446991  0.22272808849811554,  -0.68820399045944214 0.00071340793510898948 3.3210239053005353e-05     0.7255169153213501,-0.00017974041111301631  -0.0001546781713841483 -0.00072787946555763483, -0.0023560130503028631      1.0984967947006226 -0.00072932476177811623, 0.13084246218204498 0.034856054931879044 0.047248609364032745 0.034856054931879044  0.24624815583229065 -0.01250134501606226 0.047248609364032745 -0.01250134501606226  0.24083143472671509,    -1.1474128805861739    -0.33653448479498138    -0.21818300365694654      1.2210558825813678     0.46538976838217394    -0.11713818977199253 -1.7951239605906721e-05,0.00069688964867964387
IIWA_7,1714483090.3223109,-0.96341465648261748    1.577628892990468   1.0904694913782285 -0.74188146533191801  -2.8180095689794027  -1.8527353443766643 -0.31991133377572456,   0.024622579109075653 -7.1627559920527692e-05   -0.013338441369583436   -0.028388117222602847    0.011755260548947832  -0.0001265961103547744   -0.021514910752483893,  -9.929972721099853   68.258312553405759  -14.343068008422851   2.7925492095947266  -1.3170408630371093   1.1033830490112304 -0.27868265151977539,    34.07987784728769   0.22369371579557118   -6.3330120356049573    -19.20770013526791    4.4242268195050043 -0.064973019178039659   -3.2531439232733095, 0.59285169839859009 -0.20302312076091766  0.22272515296936035,  -0.68820559978485107 0.00071603519609197974  3.519613528624177e-05    0.72551536560058594,-0.00016828923253342509 -0.00014707054651807994 -0.00070014153607189655, -0.0023549427278339863      1.0984965562820435 -0.00072782608913257718,  0.13084307312965393  0.034856162965297699  0.047249145805835724  0.034856162965297699    0.2462480366230011 -0.012501604855060577  0.047249145805835724 -0.012501604855060577   0.24083095788955688,    -1.1474174308521157    -0.33654180759867813    -0.21818778473825517      1.2210649299353449     0.46539380386700913    -0.11713824617842761 -1.7952553221789458e-05,0.00066904776031151414
IIWA_7,1714483090.3273158,-0.96275510463043668   1.5775442843370699    1.090137947869938 -0.74274588753143955   -2.817425218259602  -1.8526808161456749 -0.32074681405292493, 0.046080137374492777 -0.003441648183860399  -0.02393249342728495 -0.057287381758943948  0.032778237231185253 0.0020798523512918768 -0.050631139690002047,  -23.383223972320557    63.003640377044675   -16.325672302246094     6.604572563171387   -1.9077724266052245    1.2842764587402344 -0.026032630920410155,   34.047853461288966   0.21029058873137885    -6.325788311981972   -19.184600408852678    4.4263303960020011 -0.058061703861428615   -3.2491879670212223, 0.59285038709640503 -0.20299790799617767  0.22271353006362915,  -0.68820351362228394 0.00069391127908602357 4.8287511162925512e-05     0.7255173921585083,-0.00018701096996665001  0.00089040282182395458  -0.0010245851008221507, -0.0023536367807537317      1.0984964370727539 -0.00072626204928383231,  0.13084523379802704  0.034849304705858231   0.04725370928645134  0.034849304705858231   0.24625132977962494 -0.012500033713877201   0.04725370928645134 -0.012500033713877201   0.24082933366298676,    -1.1471607114836857    -0.33648397675456465    -0.21816370085847581      1.2207789021410065     0.46541068562699905    -0.11703722506961611 -1.7943523999974786e-05,0.0012473753886297345
IIWA_7,1714483090.3323073,-0.96244824858624956   1.5773700936054869   1.0895674387892031 -0.74374483261930469  -2.8165898698202101  -1.8527311499141395 -0.32200282072325165,   0.049138351667079042  -0.0097209478104119361   -0.041966357971222362   -0.085787708921760478    0.059636527360625219 -0.00034946885754760858   -0.090745178565070223, -28.07599976348877  63.771206970214841 -16.553689403533934  7.1011040115356447 -1.5529813385009765 0.86575185394287113 0.14785199356079101,  33.326574931123353 0.019146002408324314  -6.3009060313113299  -18.682178751436545   4.4078317828326581 0.099813475688701914  -3.2084762097448505, 0.59286701679229736 -0.20241454243659973  0.22264042496681213,  -0.68807262182235718 0.00025655125500634313 0.00038489472353830934    0.72564172744750977,0.00050166255095973611   0.024044258520007133 -0.0037434778641909361, -0.0023528425954282284      1.0984978675842285 -0.00072496308712288737,  0.13085703551769257   0.03468811884522438  0.047319356352090836   0.03468811884522438   0.24633148312568665 -0.012448682449758053  0.047319356352090836 -0.012448682449758053   0.24082647264003754,    -1.1411035495498822    -0.33474475512385027    -0.21733692028291784      1.2137718241227446     0.46545739099101979    -0.11491840535082787 -1.7699232301993106e-05,0.022156007587909698
IIWA_7,1714483090.3372824,-0.96249420801419305   1.5771247765617282   1.0887732441663756 -0.74495260275242947  -2.8154438902985421  -1.8527503246467172 -0.32376096647335872,  0.037472304215923305   -0.01758943999867477   -0.06534087129008162   -0.11694097246239982   0.093548402755218196 -0.0010465643891473424   -0.14292197285633923, -22.949031311035156   65.506633365631103  -15.215519542694091   4.2469285583496097   -1.660387077331543  0.78999022293090815 0.014685073852539062,   32.633061580504965 -0.036195397678575603   -6.4104434952552118    -18.22677394697271    4.2793083460198158   0.26488134756685633   -3.1111653521226428, 0.59290486574172974 -0.20174151659011841  0.22263908386230469,    -0.6878591775894165 -0.00033258550683967769  0.00061645632376894355     0.72584378719329834, 0.0018749312730506063   0.046147320419549942 -0.0030479573179036379, -0.0023505599237978458      1.0985298156738281 -0.00071996607584878802,  0.13087348639965057  0.034490443766117096  0.047394085675477982  0.034490443766117096   0.24641817808151245 -0.012393978424370289  0.047394085675477982 -0.012393978424370289   0.24083501100540161,    -1.1337925572370011    -0.33288786223817368    -0.21656541910619609      1.2054886002834664     0.46522621755062943     -0.1127716746189833 -1.7369624849550291e-05,0.042132928967475891
IIWA_7,1714483090.3423078,-0.96260062793817036   1.5767653096398182   1.0878341603811954 -0.74652900769477559  -2.8139924568647583  -1.8527449317974947 -0.32610609950308428,   0.025721046413646333   -0.028450228875340745   -0.089836048439271315    -0.15660897566376469     0.13289605955552833 -0.00062153754241713033    -0.20814289947409359,  -15.497855083465577    64.355955600738525   -15.426809520721436    1.3179212379455567   -2.0442305374145509   0.73158367919921874 -0.020358852386474609,   32.334102057839068 -0.036682978090668339   -6.4829115818665244   -17.952316479251269    4.1192939477302364   0.46055796073824418    -2.969903361513309, 0.59282970428466797 -0.20125545561313629  0.22264833748340607,   -0.68760740756988525 -0.00095290382159873843  0.00065587146673351526      0.7260817289352417,-0.0015498519642278552   0.056336771696805954 -0.0020709179807454348, -0.0023549841716885567      1.0985645055770874 -0.00069141760468482971,  0.13093584775924683  0.034323856234550476  0.047482751309871674  0.034323856234550476   0.24647705256938934 -0.012360634282231331  0.047482751309871674 -0.012360634282231331   0.24084019660949707,   -1.1277699545058084   -0.33176797262868263   -0.21621193567877839     1.1988243260914189    0.46488487025175829   -0.11111193546220477 -1.702265084446708e-05,0.051334965974092484
IIWA_7,1714483090.3472772,-0.96255904274166459   1.5762389026294534   1.0867081824854714 -0.74849855514153363  -2.8122543607807828   -1.852725517300311 -0.32902695469385423,   0.02224024499114774  -0.043816463514863443   -0.11690795458037687   -0.20406907840133318    0.17584069100344107 0.00027934985341343543   -0.28334852721007309,   -12.891354866027832     68.188411567687993    -14.574606609344482     1.1603341293334961    -1.7818788146972655     1.0296239280700683 -0.0066750335693359373,     32.32500204236667 -0.0019841287467063928    -6.5513462340476778     -17.82774655365489     3.9166556183642665    0.65365414747552619    -2.7804674668318254, 0.59266561269760132 -0.20092672109603882  0.22266365587711334,  -0.68729382753372192 -0.0016003475757315755 0.00044628474279306829    0.72637760639190674,-0.0078427931293845177   0.058179501444101334 -0.0010540597140789032, -0.0023838800843805075      1.0985881090164185 -0.00069511012407019734,  0.13104715943336487  0.034168645739555359    0.0475899837911129  0.034168645739555359   0.24651353061199188 -0.012347311712801456    0.0475899837911129 -0.012347311712801456    0.2408452183008194,    -1.1223320077435872     -0.3313319893321065    -0.21622782757813042      1.1930143427294482     0.46416688916917082    -0.11010984653303524 -1.6646716893831126e-05,0.053445212543010712
IIWA_7,1714483090.3522978,-0.96238976554825839    1.575693081121905   1.0854259303174347  -0.7507972493231867  -2.8102009357117841  -1.8526969349158156 -0.33251292600705362, 0.024563283729166319 -0.056886031113828742  -0.14481645038576868  -0.25520302998718941   0.22280955556270282 0.0013667752625481366  -0.36611767429603398,  -14.472192543029784    69.090403133392329   -15.917178344726562   0.83195428848266595   -1.6867983245849609    1.0459777603149414 -0.014017570495605468,  32.242599606809542 0.095742380974216168  -6.7116657403065947  -17.655581133705422   3.6446592544835754  0.89118676886312254  -2.5293714639094711, 0.59245705604553223 -0.20052281022071838  0.22272783517837524,  -0.68689256906509399 -0.0024715308099985123 0.00010063416993943974    0.72675478458404541,-0.014668541960418224  0.062637917697429657 0.0017026694258674979, -0.0023275597486644983      1.0986027717590332 -0.00069054035702720284,  0.13118642568588257  0.033971507102251053  0.047718401998281479  0.033971507102251053   0.24655942618846893 -0.012327328324317932  0.047718401998281479 -0.012327328324317932   0.24085980653762817,    -1.1154336804652942    -0.33070917514521625    -0.21622578528823766      1.1855916914536024     0.46319184916754352      -0.108900025605152 -1.6167937211264416e-05,0.058577887713909149
IIWA_7,1714483090.3573034,-0.96219238539048568   1.5751028580018533    1.083881223717714 -0.75344276693439904  -2.8078699559932949   -1.852688006684027 -0.33650403247586058, 0.027545833294241401  -0.06911774969312845  -0.17764142429744392  -0.30998312843824533   0.27148683318972899 0.0014505494815805875  -0.45253839818910557, -16.303060668945314   69.114599628448488   -16.71919988632202   1.2069939994812011  -2.2088606452941892  0.79833401489257816 0.066082832336425784, 31.927815203489931 0.25134297035868469 -6.9536728880982803 -17.356275069140455  3.3160894936651282   1.180181428119792 -2.2245431365660444, 0.59223788976669312 -0.19991925358772278  0.22284723818302155,  -0.68642807006835938 -0.0036399438977241516 -0.0002825782576110214     0.7271885871887207,-0.020592315122485161   0.07415296882390976 0.0060965931043028831, -0.0022067164536565542      1.0986213684082031 -0.00067839736584573984,  0.13134163618087769  0.033709686249494553  0.047869887202978134  0.033709686249494553    0.2466290295124054 -0.012289003469049931  0.047869887202978134 -0.012289003469049931   0.24088457226753235,    -1.1062014620417671     -0.3295000233096701    -0.21609517137566314      1.1755582722168256       0.462169156266512    -0.10697854702534926 -1.5574229905723769e-05,0.070268154144287109
IIWA_7,1714483090.3623044,-0.96201813466320973   1.5744651774159446    1.082067650892053 -0.75635409470003168  -2.8053128100526146  -1.8526645176066214 -0.34097888214504884, 0.029006695726431067 -0.080801423190852345  -0.21465605246439393  -0.36443961337590158   0.31947530417899717 0.0021000026814872539  -0.54102470531881508,-16.262733177185059  68.931781665802006 -16.032507457733153  2.7221192169189452 -1.6436599540710448  1.1254106597900391 0.03537767791748047, 31.460438803388541 0.35547143131824388 -7.2296399334335533 -16.957520642377347  2.9629712557031374  1.4991722837424721 -1.8840492129475923, 0.59200644493103027 -0.19913643598556519  0.22296811640262604,   -0.68584698438644409  -0.0050588916055858135 -0.00071789388312026858     0.72772783041000366,-0.025870177894830704  0.090487189590930939 0.0096526322886347771, -0.0020635158289223909      1.0986495018005371 -0.00068042834755033255,  0.13151782751083374  0.033386737108230591   0.04805225133895874  0.033386737108230591   0.24671816825866699 -0.012239007279276848   0.04805225133895874 -0.012239007279276848    0.2409096360206604,    -1.0947984675357958     -0.3278995343816149    -0.21579000427340844      1.1631784033587778     0.46092177476264595    -0.10457208539005336 -1.4837043593729504e-05,0.086108580231666565
IIWA_7,1714483090.3672829, -0.9618419665826673   1.5737555914465153   1.0800407590164744 -0.75948059920040412   -2.802496900724369  -1.8525793097598744 -0.34588294678362913, 0.030252079802842381  -0.09302457732985274  -0.25280051699465855  -0.41661187071561889   0.36821661647302184 0.0050883160150712991  -0.62898234979826351,  -16.094701961517334    67.346911239624021   -14.710184345245361    1.5072018432617187   -1.6146075820922852   0.91214333724975583 -0.016687583923339844, 30.954416318478295 0.37616077379712554 -7.4493677739667898 -16.498249821477309  2.6247453579215234  1.8533714184456884 -1.5298108443410852, 0.59172219038009644 -0.19823652505874634  0.22305667400360107,  -0.68518388271331787 -0.0066589051857590675 -0.0011706004152074456    0.72833871841430664,-0.032260976731777191   0.10817353427410126  0.011183010414242744, -0.0019256877712905407      1.0986853837966919 -0.00070173479616641998,   0.1317305713891983  0.033017732203006744  0.048270050436258316  0.033017732203006744    0.2468196302652359 -0.012182195670902729  0.048270050436258316 -0.012182195670902729   0.24092847108840942,     -1.081792679247684    -0.32608183034454896    -0.21539896909228418      1.1490983246300601     0.45956289275306261    -0.10172324845125758 -1.3989126301794386e-05,0.10324150323867798
IIWA_7,1714483090.3722808,-0.96163404027288946   1.5729380276285851   1.0778457283384943 -0.76291419950956962  -2.7994383347795599  -1.8525054869140043 -0.35115492715577906, 0.032518716233387479  -0.10712221458108977  -0.29004164071493099  -0.47063350893911543   0.41691593097077834 0.0070235666468609339  -0.71406509472460811,-14.555536026000977  67.172158775329592 -14.373881130218505  1.7924433135986328 -1.3927531051635742 0.87543065261840824 0.18923720169067382, 30.490958859247961 0.33504141061163262 -7.6047804540833672 -16.048108642763125  2.3121328703947377  2.2086770585561393 -1.1653215642803041,0.59138941764831543  -0.197280153632164 0.22310222685337067,  -0.68447202444076538 -0.0083835441619157791 -0.0016848592786118388    0.72898900508880615,-0.039364147931337357   0.12451142817735672  0.010659921914339066, -0.0017870082519948483      1.0987261533737183 -0.00072042166721075773,  0.13198056817054749   0.03261922299861908  0.048517890274524689   0.03261922299861908   0.24692516028881073 -0.012124504894018173  0.048517890274524689 -0.012124504894018173   0.24093863368034363,    -1.0678056961195281     -0.3242399550291708    -0.21502326447997433       1.134057722244286     0.45810312421323829   -0.098674667092346624 -1.3072569693406422e-05,0.11924250423908234
IIWA_7,1714483090.3772795,-0.96134408196110477   1.5720333983881685   1.0754502615403045 -0.76661103332176406  -2.7961724896930598  -1.8523726418324873  -0.3567384973413798,0.037613305458097518 -0.12188294128153888 -0.32785198449953701  -0.5243801596390697  0.46416654823663012 0.010932656578169064 -0.79459488320371607,-14.349865818023682   66.77829360580445 -15.974402713775634 0.20160585403442383 -2.0231015396118162 0.90313204193115237 0.12682563781738282,   30.05861640551776  0.30350047074393949  -7.7669666718290493  -15.635131663229544   1.9881344683046995   2.5439021996030093 -0.78759464524223799, 0.59103959798812866 -0.19627057015895844  0.22314299643039703,   -0.6837078332901001  -0.010214401409029961 -0.0022957553155720234    0.72968071699142456,-0.045780502259731293    0.1396392434835434   0.01001561526209116, -0.0016191834583878517      1.0987687110900879 -0.00071837508585304022,   0.1322588324546814  0.032192263752222061  0.048787385225296021  0.032192263752222061   0.24703203141689301 -0.012067030183970928  0.048787385225296021 -0.012067030183970928   0.24094554781913757,    -1.0528992668774606    -0.32240513018244599    -0.21471717349808017        1.11817976698525     0.45645994745768803   -0.095593377030134263 -1.2097452817272369e-05,0.13404756784439087
