DesiredFlux,1,HitTime,1714483252.7081649,DesiredPos,0.58721554279327393  0.1516667902469635 0.22027119994163513
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714483252.1708961,-0.95389223105902377   1.5775531526822484   1.0891175509402367 -0.72015166879488468  -2.8197487197658448  -1.8677048396394726 -0.30904319972131628, 0.00015830608896389445  5.5247209211698638e-06   -0.002283558529861879 -3.6955485647477882e-06 -2.1363809439833303e-06 -0.00068194073613339395  6.8651992614163672e-06,  0.9826465492248535   71.168613208770751  -15.397757148742675  -8.2306250190734858  -2.0512735366821291  0.85206803512573237 -0.19758099365234374,-0.028624278472910381   0.30630133597978237  -0.17082779627914801  -0.78494051163833489     -4.65086837211408  0.065772587107522484   0.40290893631772173, 0.5943107008934021 -0.2048533707857132 0.22393499314785004, -0.69026327133178711 0.0005258330493234098 0.0044649606570601463   0.72354429960250854,-0.00033151794923469424 -4.7038454795256257e-05 -0.00080629705917090178,-0.0034488444216549397     1.0981045961380005 -0.0017851233715191483,  0.12935054302215576  0.037380296736955643  0.046376015990972519  0.037380296736955643   0.24527855217456818 -0.013117257505655289  0.046376015990972519 -0.013117257505655289   0.24023187160491943,    -1.2403583908877636    -0.35335371761568979    -0.23416088211725139      1.3369069680750911     0.49531396253144067      -0.108782522459272 -1.9597279354854891e-05,0.00079505483154207468
IIWA_7,1714483252.1758945,-0.95389229094563366   1.5775530327999454   1.0891070048973146  -0.7201514890259717  -2.8197487197658448  -1.8677080754799058 -0.30904319972131628, 0.00012424940677538309  -3.755153820061386e-07  -0.0022486885407717021  4.2343176673171512e-06 -1.7091047551866643e-06 -0.00067498620623302852  5.4921594091330944e-06, 0.87913932037353515   71.144416713714605  -15.378388900756836  -8.2218212699890127  -2.0433501625061035  0.84672800827026362 -0.19591223526000975, 33.863661965505379 0.23471739661144841 -6.2075686658122908 -18.854716901361215  5.1443726486708954 0.13713204014082314 -3.5648959161769076, 0.59430903196334839 -0.20485371351242065  0.22393134236335754,  -0.69026505947113037 0.00052752101328223944  0.0044693206436932087    0.72354263067245483,-0.00033133869874291122 -5.1301227358635515e-05 -0.00079089234350249171,-0.0034469973761588335     1.0981045961380005 -0.0017826356925070286,  0.12935131788253784  0.037380579859018326  0.046376761049032211  0.037380579859018326   0.24527843296527863 -0.013117536902427673  0.046376761049032211 -0.013117536902427673   0.24023118615150452,     -1.240369122260887    -0.35336147693421083    -0.23416638190099093       1.336923063774087     0.49532522743689356     -0.1087733228040122 -1.9598302536394385e-05,0.00078227696940302849
IIWA_7,1714483252.1808941,-0.95389241071885356   1.5775530327999454   1.0890962789763963 -0.72015106960153585  -2.8197486237727358   -1.867711550866779 -0.30904319972131628, 9.4608596624400667e-05 -3.0041230560491088e-07  -0.0022279876693505939  2.0164431567816947e-05  2.4724405565386922e-06 -0.00067900443991342956  4.3937275273064756e-06, 0.72186210250854488   71.125597217559815  -15.384551525115967   -8.198931522369385    -2.04775203704834  0.84439174652099613 -0.19557848358154298,  33.86418300403367 0.23539305051930981 -6.2075493944288693 -18.854992732374328  5.1447348083814148 0.13715323568533111 -3.5653058299081275, 0.59430736303329468 -0.20485450327396393  0.22392779588699341,  -0.69026690721511841 0.00052954285638406873  0.0044732573442161083     0.7235407829284668,-0.00033202639315277338 -7.2769304097164422e-05 -0.00077512062853202224,-0.0034450194798409939     1.0981044769287109 -0.0017803292721509933,  0.12935212254524231  0.037380952388048172  0.046377472579479218  0.037380952388048172   0.24527823925018311 -0.013117860071361065  0.046377472579479218 -0.013117860071361065   0.24023051559925079,    -1.2403834240162226    -0.35337077322861177    -0.23417289451721501      1.3369435902701454     0.49533609135465895    -0.10876615500432507 -1.9599538880754608e-05,0.00077075418084859848
IIWA_7,1714483252.1858938,-0.95386586567901077   1.5775529729133355   1.0890607458181549 -0.72018360668394998  -2.8197366396439603   -1.867714966367042  -0.3090876013338193,  0.0011374884710109072 -2.6357942402163895e-06  -0.0032037164651341132  -0.0012853517513109554  0.00048134310346787914 -0.00067982356245313612  -0.0017725495180989546,   0.3064889373779297    71.085269725799563   -15.034162311553954   -7.7578636932373044    -2.178047523498535    0.8417217330932617 -0.091114208221435553, 33.864725764581827 0.23583014575917094 -6.2073123884139196 -18.855212284542944  5.1451862317997223 0.13718877734390578  -3.565742477540141, 0.59430563449859619 -0.20485542714595795  0.22392414510250092,  -0.69026881456375122 0.00053163198754191399  0.0044772080145776272    0.72353899478912354,-0.00033458415418863297 -9.4946110039018095e-05 -0.00076562329195439816,-0.0034429926890879869     1.0981044769287109 -0.0017778903711587191,  0.12935292720794678  0.037381373345851898  0.046378195285797119  0.037381373345851898    0.2452780157327652 -0.013118209317326546  0.046378195285797119 -0.013118209317326546   0.24022981524467468,    -1.2403995895411413    -0.35338084687985827    -0.23417975455597428      1.3369665285614118     0.49534718048160897    -0.10875925029285582 -1.9600789435969546e-05,0.00076578429434448481
IIWA_7,1714483252.1909561,-0.95344869489953754   1.5775495574130725   1.0887830712427289 -0.72067807580524945  -2.8195194854293613  -1.8677155655603908 -0.30958536607307879,   0.017596821955737942 -0.00013872864591456558   -0.013669956189149117   -0.020807046253027477   0.0090712430667344007 -0.00056782658391114666   -0.021328629184859109, -7.0680650558471676   68.840372684478766  -13.924009552001953 -0.54055019378662106  -1.2325248718261719   1.1511095390319823 -0.27501138305664063, 33.832813000454038 0.22244410672203951 -6.1997708842483963 -18.832146105097774  5.1476227292042935 0.14416056676654354 -3.5622945237746539, 0.59430336952209473 -0.20483015477657318  0.22391232848167419, -0.69026738405227661 0.0005096005043014884  0.004492858424782753   0.72354024648666382,-0.00035858110641129315  0.00093471456784754992  -0.0010855059372261167,-0.0034406811464577913     1.0981044769287109 -0.0017753437859937549,   0.1293550580739975   0.03737436980009079  0.046382930129766464   0.03737436980009079   0.24528172612190247 -0.013116560876369476  0.046382930129766464 -0.013116560876369476    0.2402283251285553,  -1.2401294305064425  -0.35331910357427887  -0.23415375899915603    1.3366578026623444   0.49536636440983273  -0.10864932660759052 -1.95913871792186e-05,0.001344747026450932
IIWA_7,1714483252.1960135,-0.95299251535678375   1.5774953287242159   1.0884654293910139 -0.72123042877119126  -2.8190567984701245  -1.8676878221338502 -0.31043486788915736,   0.03232463927474185 -0.0022801304709923276  -0.023641639019919752  -0.038739755640094173   0.025764472822859163 0.00065547579449306745  -0.051042975991030026, -15.934736244201661   64.936671482086183   -15.78600248336792   1.4561400985717774  -2.3180271339416505  0.84706175994873045 0.037380187988281251, 33.329846293620868 0.06571825013015431 -6.1564968044407458 -18.482428998095127  5.1431282676430889 0.25111421908661558 -3.5186457715624941, 0.59430980682373047 -0.20442180335521698  0.22383363544940948,  -0.69018620252609253 0.00017143583681900054  0.0047006653621792793    0.72361648082733154,-3.6586407077265903e-05    0.017080103978514671  -0.0040154536254703999,-0.0034383940510451794     1.0981044769287109 -0.0017728616949170828,  0.12936626374721527  0.037259005010128021  0.046436991542577744  0.037259005010128021   0.24534198641777039 -0.013083790428936481  0.046436991542577744 -0.013083790428936481   0.24022310972213745,    -1.2356886847655346    -0.35215870771043711    -0.23361568789859177        1.33149991899284      0.4953983934905537    -0.10713349809687855 -1.9411121598977843e-05,0.01597779244184494
IIWA_7,1714483252.2009952,-0.95267379489159087   1.5773838154931492   1.0879326706911687 -0.72200772555253323  -2.8182959439993334  -1.8677523571010228  -0.3117509754086088,  0.038608530027508636 -0.0062846336194630151  -0.040223659209741733  -0.062083675765754298   0.051045757089931559  -0.002057018051310536  -0.093478681570881517,-21.505307106018066  65.068407955169675 -15.551822757720947  3.8912570953369139 -1.6718319511413573 0.99090873336791996 0.11080555725097656,  32.878103839388146 0.037558844489197885  -6.2399356194544096  -18.200139819412254   5.0429468079181179  0.35167136749628813  -3.4159743516613021,0.59433871507644653 -0.2039787769317627 0.22381287813186646,   -0.69004255533218384 -0.00030095051624812186   0.0047603067941963673     0.72375309467315674,0.0011079146061092615  0.031380206346511841  -0.00404331274330616,-0.0034360361751168966     1.0981059074401855 -0.0017703087069094181,  0.12937828898429871  0.037127036601305008  0.046494942158460617  0.037127036601305008   0.24540074169635773 -0.013053925707936287  0.046494942158460617 -0.013053925707936287    0.2402254045009613,     -1.230716277059507     -0.3510743595134258    -0.23321852492674822      1.3259046068858638     0.49521636764016108    -0.10575962501579994 -1.9167852194357238e-05,0.028829136863350868
IIWA_7,1714483252.2058942, -0.9525701912745278   1.5771803234105022   1.0872081643382965 -0.72298378075634162  -2.8171906149412735  -1.8677620044084633 -0.31364154681579715,  0.035030968704529909   -0.01316739020145152  -0.061159181482683192  -0.088709148764939044   0.085049767994338166 -0.0020315067386669685   -0.15040580154423905,-21.503962856292723  65.514698863983156 -14.982220191955566  3.4317013931274412 -1.7061665725708008 0.76896386718749998   0.106800537109375, 32.561873860920052 0.03013065075456689  -6.326673626796806 -17.946764190966814   4.893699453559397 0.51161151698184004 -3.2644263793232788, 0.59429222345352173 -0.20355795323848724  0.22380062937736511,   -0.68982023000717163 -0.00091207062359899282   0.0047121560201048851     0.72396481037139893,-0.0010011325357481837   0.041921291500329971 -0.0037267750594764948,-0.0034314887598156929     1.0981299877166748 -0.0017628100467845798,  0.12942478060722351  0.036985099315643311  0.046576216816902161  0.036985099315643311   0.24545317888259888 -0.013031266629695892  0.046576216816902161 -0.013031266629695892   0.24022679030895233,    -1.2254813816783283    -0.35024031512342901    -0.23299790492181671      1.3201329945342621     0.49490834419607665     -0.1043828220126386 -1.8838599125103883e-05,0.038334764540195465
IIWA_7,1714483252.2108743,-0.95258912635158266   1.5768543525203473   1.0863118042497095 -0.72424056649801316  -2.8157667931398547  -1.8677699140224671 -0.31614702880714035,  0.027267371881429522  -0.023572747767355115  -0.084781748729624795   -0.12123874867881283    0.12499268645222524 -0.0019415899510841703   -0.22054392088911948, -17.510196922302246   65.315749904632568  -15.244571914672852   1.9931687927246093  -2.1674830245971681  0.80968157196044921 0.002670013427734375, 32.431340317877186 0.10616537905172496 -6.4698837849792303 -17.807171242853627  4.6693229532922373 0.66999015690998887  -3.046259545745821,0.59419816732406616 -0.2032167911529541 0.22382348775863647,  -0.68952912092208862 -0.0016291774809360504   0.004406503401696682     0.7242426872253418,-0.0045904177241027355   0.047155752778053284 -0.0020754046272486448,-0.0034204716794192791     1.0981537103652954 -0.0017176142428070307, 0.12950679659843445 0.036837723106145859 0.046673361212015152 0.036837723106145859  0.24549059569835663 -0.01302252896130085 0.046673361212015152 -0.01302252896130085   0.2402336597442627,    -1.2202207338276594    -0.34988134322677666    -0.23310919086760862      1.3145482875129844      0.4942342779248321    -0.10350287658233981 -1.8456660200172337e-05,0.043183617293834686
IIWA_7,1714483252.2159204, -0.9525633002783086   1.5763916415192001   1.0852281307352263 -0.72582757747897453  -2.8140088512660211  -1.8677603266016367 -0.31928503819069276,  0.022846940436106022  -0.037366638259774237   -0.11117233956302948   -0.16047143818150497    0.17031182411512424 -0.0011697751276534109   -0.30195551205339199, -15.024679180145263   68.611850231170649  -14.505937366485595   1.8364620590209961  -1.4561400985717774  0.88043692779541016 -0.11047180557250977, 32.340788963441369 0.26281215343243813 -6.6893611536009905 -17.685501315230734  4.3755954503377605 0.86351034121860049 -2.7627783382147659, 0.59405457973480225 -0.20287227630615234  0.22389845550060272,  -0.68916451930999756 -0.0025449478998780251  0.0039066220633685589    0.72458994388580322,-0.0094506628811359406   0.051457349210977554   0.001320261973887682, -0.003442385932430625     1.0981745719909668 -0.0017115721711888909,   0.1296180784702301  0.036668069660663605  0.046787921339273453  0.036668069660663605   0.24552632868289948 -0.013016033917665482  0.046787921339273453 -0.013016033917665482   0.24024912714958191,    -1.2142416808167411    -0.34962171318575486    -0.23338019516483399      1.3082447936056951     0.49332323696038571    -0.10266436386530131 -1.7990855916139026e-05,0.047654490917921066
