DesiredFlux,1,HitTime,1714483506.1231809,DesiredPos,0.58657979965209961 0.14828026294708252  0.2207750678062439
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714483505.5792232,-0.94976869893313554   1.5813646754611668   1.0885765231976448 -0.70130623545012227  -2.8198122841336035  -1.8822151593927832 -0.31132649420848052,-0.00019485502768872958  1.1818389035646936e-05  -0.0018273572992631966 -6.3406067809801945e-05 -2.4214498445562696e-06 -1.0602553727238132e-05  5.1997575925719675e-06, 0.65733811569213862   71.320513427734369  -15.028880062103271  -8.0351817893981927    -2.03806791305542  0.81101657867431642 -0.19691349029541017,-0.02924163470617025  0.36278617153731962 -0.32157514525855468 -0.87048837416423019  -4.6452140005719755  0.03141434493512052  0.63806415211996126,0.59420621395111084 -0.2090049684047699 0.22374005615711212,   -0.6902584433555603 -0.0017366795800626278  0.0030844123102724552    0.72355425357818604,-0.00027816402143798769 -0.00034172934829257429 -0.00072577153332531452,-0.0038016361650079489     1.0975936651229858 -0.0014804278034716845,  0.12855072319507599  0.040097672492265701  0.045803554356098175  0.040097672492265701   0.24400334060192108 -0.013967471197247505  0.045803554356098175 -0.013967471197247505   0.23944175243377686,    -1.3445876716211558    -0.37903002696282329    -0.24834896813974439      1.4674468513904415     0.51682301008160181     -0.1118573163259029 -1.9797642636376622e-05,0.0007735571707598865
IIWA_7,1714483505.584193, -0.9497652234371794   1.5813646754611668   1.0885710104661193  -0.7013075537191229  -2.8198122841336035  -1.8822149797329533 -0.31132655409509047,-1.6864183905381625e-05  9.4547112285175489e-06  -0.0016823951004302431  -0.0001034556142729408 -1.9371598756450157e-06 -1.2956497857113404e-06  1.7643416761046672e-06, 0.77966484069824216   71.359496669769285  -15.017435188293456  -8.0924061584472646  -2.0336660385131835  0.80667780685424806 -0.19891600036621093,-0.034479978654054666   0.36527460929652267  -0.32464803113372653  -0.86831354498115365   -4.6462836261652889  0.031645552065569849   0.63802723898599867, 0.59420621395111084 -0.20900322496891022  0.22373782098293304,  -0.69025963544845581 -0.0017361501231789589  0.0030875252559781075     0.7235531210899353,-0.00022115168394520879 -0.00020381044305395335 -0.00066985178273171186,-0.0038008703850209713     1.0975937843322754   -0.00147891731467098,   0.1285509318113327  0.040097307413816452   0.04580402746796608  0.040097307413816452   0.24400356411933899 -0.013967490755021572   0.04580402746796608 -0.013967490755021572    0.2394414097070694,    -1.3445729873611256    -0.37902900477870816    -0.24835012635460174      1.4674322911050197     0.51682818742904146    -0.11184864849322906 -1.9798114259117483e-05,0.00066897424403578043
IIWA_7,1714483505.5891814,-0.94976150839478346     1.58136479534347   1.0885657972767266 -0.70130923152594937  -2.8198123799521797  -1.8822150396195632 -0.31132649420848052, 0.00013511034871310838  1.2359061110637853e-05  -0.0015544436560488591 -0.00014987676447724178 -5.3824709478988039e-06  -3.431984224301533e-06  3.8069377388366405e-06, 0.89930306625366208   71.421332157135012  -15.052650184631348  -8.1161762809753419  -2.0371875381469726  0.80667780685424806 -0.19858224868774413, 33.787682741116654 0.38092166321600507 -6.7717960913209989 -18.772755421831707  5.3039570705608767 0.19932010404978251 -3.3204826025645158, 0.59420633316040039 -0.20900101959705353   0.2237357497215271,  -0.69026058912277222 -0.0017359806224703789  0.0030908144544810057     0.7235521674156189,-0.00017363272490911186 -7.4795112595893443e-05 -0.00061878480482846498,-0.0038001027423888445     1.0975937843322754 -0.0014773994917050004,  0.12855111062526703  0.040096793323755264  0.045804519206285477  0.040096793323755264   0.24400387704372406 -0.013967446051537991  0.045804519206285477 -0.013967446051537991   0.23944111168384552,    -1.3445521720045761    -0.37902587922289399     -0.2483502192722753      1.4674100170211091     0.51683276198133399    -0.11183850905904791 -1.9798338080079247e-05,0.00058948702644556761
IIWA_7,1714483505.5941923,-0.94975749370117157   1.5813649750032996   1.0885593857006364 -0.70130995049251821  -2.8198123799521797  -1.8822150396195632 -0.31132649420848052, 0.00026867602344595777  1.7073642075707663e-05   -0.001500017968449909 -0.00014866007433521876 -4.3059767583190431e-06 -2.7455873794412267e-06  3.0455501910693127e-06,  0.9678598022460938   71.464348148345948  -15.063214683532715  -8.1593146514892574   -2.038948287963867  0.80868031692504883 -0.19791474533081055, 33.783772971461708 0.38202020949303606 -6.7735700354671096 -18.770831375926885  5.3036333762090146  0.1996838619521446 -3.3206371950549642, 0.59420639276504517 -0.20899850130081177  0.22373370826244354,  -0.69026142358779907 -0.0017360730562359095  0.0030944189056754112    0.72355133295059204,-0.00013710344501305372  4.0510858525522053e-05 -0.00057691463734954596,-0.0037996876053512096     1.0975940227508545 -0.0014761242782697082,  0.12855127453804016  0.040096204727888107  0.045805025845766068  0.040096204727888107   0.24400424957275391 -0.013967355713248253  0.045805025845766068 -0.013967355713248253   0.23944081366062164,    -1.3445283502697691    -0.37902126802702441     -0.2483492854752356      1.4673836494711878     0.51683742568187085    -0.11182679219956526 -1.9798348738220284e-05,0.00054151186486706138
IIWA_7,1714483505.5991917,-0.94972585535423915   1.5813649750032996   1.0885281667781399 -0.70134338652858019  -2.8198002040117189  -1.8822133019261267 -0.31137221398090115, 0.0014804746960538754 1.3658913660566131e-05 -0.0024487712746186323 -0.0014563695019475563  0.0004835928370240638 6.7311267555509493e-05 -0.0018263544566722277,  0.76218959426879884    71.524839385986326   -14.663524475097656   -7.7728300666809078   -2.1824493980407715   0.80667780685424806 -0.075094127655029291, 33.780858762701392 0.38247879553454034 -6.7742548310943898 -18.769459939828742  5.3037193509025524   0.199752554149488 -3.3208761645157563,0.59420651197433472 -0.2089962363243103 0.22373126447200775,  -0.69026261568069458 -0.0017357043689116836  0.0030980296432971954    0.72355020046234131,-0.00010410015238448977  0.00012321112444624305  -0.0005594262620434165, -0.003799419617280364     1.0975940227508545 -0.0014749652473255992,  0.12855146825313568  0.040095720440149307  0.045805569738149643  0.040095720440149307   0.24400454759597778 -0.013967354781925678  0.045805569738149643 -0.013967354781925678    0.2394404411315918,    -1.3445088562296093     -0.3790192219526034     -0.2483501923720155      1.4673638389464116     0.51684306271759795    -0.11181627017364804 -1.9798713779550781e-05,0.00053044379455968738
IIWA_7,1714483505.6041918,-0.94921760434958447   1.5813619790365556   1.0882434815423578 -0.70184133103675261  -2.8195726954567997  -1.8822094070057347 -0.31187195617820318,   0.021514419943030327 -0.00010891153883249924   -0.013346426450977597   -0.021082875928454883   0.0094872164663898344  0.00020964582972397285   -0.021450771457419113, -7.5506507072448734   69.203320110321044  -13.544567966461182 -0.74655792236328122  -1.2254818725585936   1.1153981094360352 -0.24597498703002929, 33.780870172329742 0.38244563097240825  -6.774229125013588 -18.769458305140546  5.3037339712472935 0.19975264148211624 -3.3208761645157563,0.59420651197433472 -0.2089962363243103 0.22373126447200775,  -0.69026261568069458 -0.0017357043689116836  0.0030980296432971954    0.72355020046234131,-0.00010410015238448977  0.00012321112444624305  -0.0005594262620434165, -0.003799098776653409     1.0975943803787231 -0.0014738122699782252,  0.12855146825313568  0.040095720440149307  0.045805569738149643  0.040095720440149307   0.24400454759597778 -0.013967354781925678  0.045805569738149643 -0.013967354781925678    0.2394404411315918,    -1.3445088562296093     -0.3790192219526034     -0.2483501923720155      1.4673638389464116     0.51684306271759795    -0.11181627017364804 -1.9798713779550781e-05,0.00053044379455968738
IIWA_7,1714483505.6091802,-0.94862965822970824   1.5813066118476116   1.0878970176506244 -0.70238721253999425  -2.8190795205625903  -1.8821753717763239 -0.31271972030084522,  0.040729380749473298 -0.0023018167888282175  -0.024535696830119212  -0.038701560872429541    0.02731676894148842  0.0015291258402116382  -0.051071182071616747, -18.218616527557373   65.235094921112065  -15.630176124572754   1.5573832130432128  -2.2951373863220215  0.70922231674194336 0.035711429595947267, 33.745420961395439 0.36933792224640971 -6.7681077533540384 -18.745486883880602  5.3056009654371916  0.2060565411017945 -3.3170497437055357, 0.59420698881149292 -0.20896731317043304  0.22372071444988251,  -0.69026064872741699 -0.0017597631085664034  0.0031124271918088198    0.72355198860168457,-6.2992359744384885e-05   0.0012552738189697266  -0.0008695504511706531,-0.0037987609393894672     1.0975942611694336 -0.0014724411303177476,  0.12855255603790283  0.040087562054395676  0.045810170471668243  0.040087562054395676   0.24400916695594788 -0.013965409249067307  0.045810170471668243 -0.013965409249067307   0.23943941295146942,    -1.3441840436652086     -0.3789434681156223    -0.24831965027516389      1.4669861524172489     0.51685315536609266    -0.11170300470642047 -1.9788228833306221e-05,0.0013924259692430496
IIWA_7,1714483505.6142216,-0.94824826026399922   1.5811952184988476   1.0872999635300467 -0.70314479528201956  -2.8182704415973689  -1.8822228293512642 -0.31399376320366201,   0.047839423227939375  -0.0062971873816216675   -0.043510722287205601   -0.061264558378955988    0.054216573762043155 -0.00067500232544231206   -0.091818661769965254,-23.131849273681642  65.528141361236578 -15.033281936645508  4.5400934028625484 -1.5010392189025878 0.92349089431762699 0.15886579895019531,  33.16764918398593 0.20500434861684758 -6.7320905757277689 -18.362081642695237   5.300068874365456 0.31162146077450026 -3.2738679743227341, 0.59423726797103882 -0.20850442349910736   0.2236415296792984,  -0.69017642736434937 -0.0021289004944264889  0.0033513207454234362    0.72363024950027466, 0.0011507278541103005   0.019518263638019562 -0.0038625141605734825,-0.0037987672258168459     1.0975960493087769  -0.001472443575039506,  0.12855245172977448  0.039959728717803955  0.045867446810007095  0.039959728717803955   0.24408189952373505 -0.013929573819041252  0.045867446810007095 -0.013929573819041252    0.2394353449344635,    -1.3390933545185391    -0.37760804741360232    -0.24774618605771792      1.4610024744454719     0.51688302709518297    -0.11000115329551363 -1.9589303512645984e-05,0.018157277256250381
IIWA_7,1714483505.6191916,-0.94811355760674265   1.5809992763832956   1.0865032522515208 -0.70407105602410236  -2.8170963710013899  -1.8822108451570383 -0.31576634991708319,   0.043659644872614263    -0.01287543452737579   -0.066677028970799468   -0.086062076386476644    0.090336082848797364 -6.0634091318728027e-05    -0.14435839795281924, -20.705478519439698   65.222996673583978  -14.674088973999023   3.4915668869018552  -1.8021274375915528  0.78765396118164066 0.037380187988281251, 32.307707222576397 0.14161581481102603 -6.8819260365740309 -17.788844597655658  5.0531427759343934 0.55856860896825622 -3.0295295117131893, 0.59427499771118164 -0.20754170417785645  0.22359375655651093,    -0.689808189868927 -0.0032323938794434071  0.0034350452478975058    0.72397685050964355, 0.0016947300173342228   0.046849988400936127 -0.0041982238180935383,-0.0037973797880113125     1.0976252555847168 -0.0014665612252429128,  0.12859068810939789  0.039661746472120285  0.046017061918973923  0.039661746472120285   0.24421390891075134 -0.013876780867576599  0.046017061918973923 -0.013876780867576599   0.23943917453289032,    -1.3276585865735768    -0.37551575584249264    -0.24721090577806137      1.4481793845391167     0.51637594437803358     -0.1070063356616302 -1.8986870742310202e-05,0.042879525572061539
IIWA_7,1714483505.6241925,-0.94804740471935356   1.5806694106818318   1.0855161715846615 -0.70530932611315489  -2.8156061087041384   -1.882208807812386 -0.31813299467525497,  0.037573831393655117  -0.023494975680455502  -0.092824849851010111   -0.11838046467128248    0.13187935816909652 3.2986513037696567e-05   -0.21015250868912644, -15.792245773315429   65.485125370025628  -14.959330444335937   1.8065293121337891  -2.2335111427307131  0.82970667266845699 0.053734020233154295, 32.212058831498972 0.19987040679386459 -6.9970801774283728 -17.672374915431611  4.8326223788662332 0.69978933549926525 -2.8297405160377185, 0.59420132637023926 -0.20720468461513519  0.22360429167747498,  -0.68951588869094849 -0.0038866100367158651  0.0031587346456944942    0.72425323724746704,-0.0016206632135435939    0.05093223974108696 -0.0029466191772371531,-0.0038127200677990913     1.0976780652999878 -0.0014272363623604178,  0.12866869568824768   0.03951253741979599  0.046118941158056259   0.03951253741979599   0.24425198137760162 -0.013875097967684269  0.046118941158056259 -0.013875097967684269   0.23944544792175293,    -1.3222467794902215    -0.37532620387725757    -0.24749500815346437       1.442478259781943     0.51564041889129442    -0.10625996214130851 -1.8607798857317448e-05,0.046500049531459808
