RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714483535.638719,0.58816778659820557 0.24725957214832306 0.28044977784156799,-0.0019459618488326669  0.0022023115307092667 -0.0024439776316285133    0.99999266862869263,0.58816778659820557 0.24725957214832306 0.28044977784156799,-0.0019459618488326669  0.0022023115307092667 -0.0024439776316285133    0.99999266862869263
1714483535.6436987,0.58816826343536377 0.24726337194442749 0.28044071793556213,-0.0019319545244798064  0.0021994118578732014 -0.0024372788611799479     0.9999927282333374,0.58816826343536377 0.24726337194442749 0.28044071793556213,-0.0019319545244798064  0.0021994118578732014 -0.0024372788611799479     0.9999927282333374
1714483535.648808,0.58814865350723267 0.24726855754852295 0.28041845560073853, -0.001934151048772037  0.0021984518971294165 -0.0024752616882324219    0.99999266862869263,0.58814865350723267 0.24726855754852295 0.28041845560073853, -0.001934151048772037  0.0021984518971294165 -0.0024752616882324219    0.99999266862869263
1714483535.6537986,0.58797925710678101 0.24760766327381134 0.28072372078895569,-0.0021541444584727287  0.0018981477478519082 -0.0022150608710944653    0.99999344348907471,0.58797925710678101 0.24760766327381134 0.28072372078895569,-0.0021541444584727287  0.0018981477478519082 -0.0022150608710944653    0.99999344348907471
1714483535.6586988,0.58797693252563477 0.24761413037776947 0.28073975443840027,-0.0021355855278670788    0.00189414550550282 -0.0022135244216769934    0.99999350309371948,0.58797693252563477 0.24761413037776947 0.28073975443840027,-0.0021355855278670788    0.00189414550550282 -0.0022135244216769934    0.99999350309371948
1714483535.6638167,0.58816355466842651 0.24728231132030487 0.28042086958885193,-0.0019531445577740669  0.0022227803710848093 -0.0024250342976301908    0.99999266862869263,0.58816355466842651 0.24728231132030487 0.28042086958885193,-0.0019531445577740669  0.0022227803710848093 -0.0024250342976301908    0.99999266862869263
1714483535.6687589,0.58798325061798096  0.2476138174533844 0.28071609139442444,-0.0022070580162107944  0.0018810263136401772 -0.0022044568322598934    0.99999338388442993,0.58798325061798096  0.2476138174533844 0.28071609139442444,-0.0022070580162107944  0.0018810263136401772 -0.0022044568322598934    0.99999338388442993
1714483535.6738195,0.58815836906433105 0.24729512631893158 0.28040418028831482,-0.0019548821728676558  0.0021933163516223431 -0.0023744164500385523    0.99999284744262695,0.58815836906433105 0.24729512631893158 0.28040418028831482,-0.0019548821728676558  0.0021933163516223431 -0.0023744164500385523    0.99999284744262695
1714483535.6786993,0.58814752101898193 0.24737632274627686 0.28040337562561035,-0.0019810548983514309  0.0021957634016871452 -0.0024030185304582119     0.9999927282333374,0.58814752101898193 0.24737632274627686 0.28040337562561035,-0.0019810548983514309  0.0021957634016871452 -0.0024030185304582119     0.9999927282333374
1714483535.6837163,0.58816510438919067  0.2474290132522583 0.28038609027862549,-0.0020143662113696337    0.00220668432302773 -0.0023242777679115534    0.99999284744262695,0.58816510438919067  0.2474290132522583 0.28038609027862549,-0.0020143662113696337    0.00220668432302773 -0.0023242777679115534    0.99999284744262695
1714483535.688822,0.58813363313674927  0.2474663257598877 0.28041180968284607,-0.0019838493317365646  0.0021985508501529694 -0.0023468721192330122    0.99999284744262695,0.58813363313674927  0.2474663257598877 0.28041180968284607,-0.0019838493317365646  0.0021985508501529694 -0.0023468721192330122    0.99999284744262695
1714483535.6938164,0.58814531564712524 0.24746675789356232 0.28039434552192688,-0.0019742518197745085  0.0021756410133093596 -0.0023534609936177731    0.99999290704727173,0.58814531564712524 0.24746675789356232 0.28039434552192688,-0.0019742518197745085  0.0021756410133093596 -0.0023534609936177731    0.99999290704727173
1714483535.6987002,0.58815616369247437 0.24743101000785828 0.28040596842765808,-0.0019397054566070437  0.0021831928752362728 -0.0024141827598214149    0.99999284744262695,0.58815616369247437 0.24743101000785828 0.28040596842765808,-0.0019397054566070437  0.0021831928752362728 -0.0024141827598214149    0.99999284744262695
1714483535.703699,0.58817183971405029 0.24742968380451202 0.28042641282081604,-0.0018887686310335994   0.002174329711124301 -0.0024221010971814394    0.99999290704727173,0.58817183971405029 0.24742968380451202 0.28042641282081604,-0.0018887686310335994   0.002174329711124301 -0.0024221010971814394    0.99999290704727173
1714483535.7088163, 0.5881996750831604 0.24742569029331207 0.28040942549705505,-0.0018996100407093763  0.0021916639525443316 -0.0023957695811986923    0.99999290704727173, 0.5881996750831604 0.24742569029331207 0.28040942549705505,-0.0018996100407093763  0.0021916639525443316 -0.0023957695811986923    0.99999290704727173
