DesiredFlux,1,HitTime,1714489609.4058955,DesiredPos,0.57700598239898682 0.13932861387729645 0.21901771426200867
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714489608.9037347,-0.98772639439486543   1.5740644249487448   1.0828106728975442 -0.74679194165567164  -2.8198441142267709  -1.8683842852998831 -0.32761089871312576,-0.00077974348706162644  8.5766560910580951e-06 -0.00016053157527737264 -8.2147398026334844e-05  1.5166556546963361e-06 -0.00026180212226206722  1.6883336246635022e-05, 0.30380043792724609   70.785502037048346  -15.770155735015869  -8.0615930366516118   -2.005494041442871   0.8570743103027344 -0.18823594665527343, 0.077552535129930489   0.19115534383016397  -0.45521837322126446  -0.76216272527648599   -5.0476357108045358 -0.012981135292794321   0.89317694902046774, 0.58304727077484131 -0.21577097475528717   0.2221381664276123,  -0.68881398439407349  0.0010930842254310846 -0.0022187493741512299      0.724933922290802,-0.00031148939160630107 -0.00060548062901943922  -4.979705045116134e-05,-0.0032883491367101669     1.4686038494110107 -0.0016986852278932929,  0.13328365981578827  0.038007825613021851  0.047519169747829437  0.038007825613021851   0.24470444023609161 -0.013288368470966816  0.047519169747829437 -0.013288368470966816   0.24042196571826935,    -1.2672063169247849    -0.36823514026629312    -0.23053532951600175      1.3496476201044771     0.48115308484852903    -0.12204857727393659 -1.8861771700073859e-05,0.00046487801591865718
IIWA_7,1714489608.9087362,-0.98772417728130002   1.5740644848353549   1.0828102534731083 -0.74679248085332739  -2.8198441142267709  -1.8683851841444479 -0.32761053917529986,-0.00053511024703306598  9.2567892774607215e-06 -0.00014520223765586134 -8.7285824650936922e-05   1.213324523757069e-06 -0.00024539548040078982  2.7888182033318338e-05, 0.38445542144775391   70.782813537597661  -15.756069736480713  -8.0800809097290038  -2.0063744163513184  0.85907682037353517 -0.18790219497680663, 44.537857131233267  2.2709743601774939 -5.3156849346006183 -26.115875699845713  4.2365259039816046  -0.232727510930824  -3.199736023818105, 0.58304715156555176 -0.21576973795890808  0.22213797271251678,  -0.68881380558013916  0.0010921128559857607 -0.0022172473836690187    0.72493410110473633, -0.0002526884782128036 -0.00043454725528135896   -4.75002707389649e-05,-0.0032879109494388103     1.4686039686203003 -0.0016983889508992434, 0.13328363001346588 0.038007598370313644 0.047519292682409286 0.038007598370313644  0.24470461905002594 -0.01328825019299984 0.047519292682409286 -0.01328825019299984  0.24042192101478577,    -1.2671967996435995    -0.36823092823556891    -0.23053337317868738      1.3496359329119301     0.48115527570669059    -0.12204174169827553 -1.8861234352129941e-05,0.00034380480065010488
IIWA_7,1714489608.9137604,-0.98772202016342758   1.5740644848353549   1.0828099538218925 -0.74679248085332739  -2.8198441142267709  -1.8683861428756225 -0.32761065894851982,-0.00034180348272898624  7.4054314219685777e-06  -0.0001281478387583056 -6.9828659720749543e-05  9.7065961900565525e-07 -0.00023466563130750034  1.7519616828528413e-05, 0.45032365798950197   70.778780788421628   -15.75078748703003  -8.0862435340881351  -2.0081351661682127  0.85907682037353517 -0.18923720169067382,  44.532855735964226   2.2707805162538963  -5.3163981911841667  -26.113578259130286   4.2363889353599422 -0.23282651544233046  -3.1997760076897745, 0.58304733037948608 -0.21576826274394989  0.22213782370090485,  -0.68881368637084961  0.0010911886347457767 -0.0022156678605824709    0.72493422031402588,-0.00019557043560780585 -0.00028895173454657197 -4.3715452193282545e-05, -0.003287911880761385     1.4686042070388794 -0.0016983894165605307,  0.13328352570533752  0.038007333874702454  0.047519389539957047  0.038007333874702454   0.24470481276512146 -0.013288119807839394  0.047519389539957047 -0.013288119807839394   0.24042187631130219,    -1.2671859308399647    -0.36822615580245355    -0.23053144869411568      1.3496229335228094     0.48115756291799983    -0.12203479895500635 -1.8860790262920091e-05,0.00023943856649566442
IIWA_7,1714489608.9187617,-0.98769307824110641   1.5740690388357055   1.0827911985137506 -0.74682561723817353  -2.8198351978632217  -1.8683892587246698 -0.32765937490585068, 0.00088423410666354835   0.0001880843591615103 -0.00085273059668193683  -0.0013813183216223645  0.00035743106966607338 -0.00031236646693477623  -0.0019346225997715055,  0.22717820358276367    70.688716056823736   -15.453220767974853   -7.6786299514770509   -2.1093782806396484   0.87476314926147458 -0.074092872619628908,  44.529088978115553   2.2708806718891443  -5.3171404065529337  -26.111978715343643   4.2361941479139826 -0.23295603513845919  -3.1997016432105569,0.58304756879806519 -0.2157670259475708 0.22213779389858246,  -0.68881362676620483  0.0010901652276515961 -0.0022145307157188654    0.72493427991867065,-0.00014740157348569483  -0.0001817145966924727 -3.6547618947224692e-05,-0.0032879302743822336     1.4686046838760376 -0.0016982848756015301,  0.13328337669372559  0.038007151335477829  0.047519441694021225  0.038007151335477829    0.2447049617767334 -0.013288017362356186  0.047519441694021225 -0.013288017362356186    0.2404218465089798,    -1.2671782662136977    -0.36822233383837499    -0.23053016076968191      1.3496139111834893     0.48115998801190329    -0.12202887729184653 -1.8860427886124853e-05,0.00016125371621455997
IIWA_7,1714489608.9237568,-0.98723785742952741   1.5741034336029422   1.0825842908217573 -0.74737251735919974  -2.8196743216158202  -1.8684062164527653 -0.32819243314782864,   0.018916219748491024   0.0015262581767998989  -0.0089584921570765256   -0.022981059498346126   0.0067209947517914452 -0.00092820229736831849    -0.02287002775893594, -7.6568464355468748   67.807988895416258  -14.501535491943359 0.093319740295410153  -1.2254818725585936   1.1551145591735841 -0.26299632263183592,  44.493259333636139    2.256131834945275  -5.3122215698470097  -26.086353122772618   4.2380982234839966 -0.22517462219049311  -3.1951581237912001, 0.58304715156555176 -0.21573886275291443  0.22212916612625122,  -0.68880808353424072   0.001061995280906558 -0.0022027704399079084    0.72493964433670044,-0.00013317160482984036  0.00098145334050059319 -0.00037424228503368795,-0.0032877635676413774     1.4686049222946167 -0.0016981269000098109,  0.13328424096107483  0.037999644875526428  0.047523427754640579  0.037999644875526428   0.24470940232276917 -0.013285665772855282  0.047523427754640579 -0.013285665772855282   0.24042081832885742,    -1.2668817489283057    -0.36813669486424061    -0.23048635181677213      1.3492651572102332     0.48116904345807399     -0.1219140056996082 -1.8848080429734182e-05,0.00072094489587470889
IIWA_7,1714489608.9287596,-0.98672199646208469   1.5740616086418306    1.082359826317403 -0.74808779582906759  -2.8193301346588124  -1.8683933933005847 -0.32907513123536319,   0.035767414496501462 -0.00045199190302419416   -0.016145373899833854   -0.046995986393391011    0.019144274081744152 -0.00022963575067301133   -0.053603945708530762, -17.934979835510255   63.841107955932614  -15.822978229522706   3.7503971099853515  -1.9244995498657227   1.0526527938842773 0.034042671203613283,   43.938382684703654    2.0751677598127229   -5.2780018682169274   -25.690907136246796    4.2422640957693263 -0.097666960792144986   -3.1485245535181305, 0.58305704593658447 -0.21528464555740356  0.22204534709453583,  -0.68870723247528076 0.00067113683326169848 -0.0019700957927852869    0.72503656148910522,0.00027874953229911625   0.018951801583170891 -0.0036511730868369341,-0.0032879279460757971     1.4686137437820435 -0.0016980805667117238,  0.13328972458839417  0.037876464426517487  0.047578215599060059  0.037876464426517487   0.24478107690811157 -0.013244470581412315  0.047578215599060059 -0.013244470581412315   0.24041405320167542,     -1.262029844252055    -0.36666901491333448    -0.22976571717236993       1.343527620488949     0.48122633161717943    -0.12014610436494877 -1.8651072686282077e-05,0.013141954317688942
IIWA_7,1714489608.9337337,-0.98639464741631921   1.5739924596786143   1.0819594932746393 -0.74906876457105254  -2.8187339914473877  -1.8684410905310478 -0.33034396105787051,  0.041707893427820344 -0.0031275520510714904  -0.028929620830417783  -0.076835538794110592   0.039161147722385721  -0.002091597819060439  -0.093636349467117075,-23.903448616027831  62.629938953399659 -15.834423103332519  6.2735515975952145  -1.524809341430664  1.0389689750671387 0.11214056396484375,  43.382168380962518   2.0180572313165692  -5.3661223909009044  -25.318499775381191   4.1576183542036826 0.048345585561387683  -3.0454430186941446, 0.58307951688766479 -0.21474406123161316  0.22202157974243164,  -0.68855208158493042 0.00010579907393548638 -0.0018315453780815005    0.72518461942672729, 0.0010967851849272847   0.036778796464204788 -0.0038695074617862701,-0.0032859672792255878     1.4687509536743164 -0.0016924088122323155,  0.13329532742500305  0.037722494453191757  0.047638852149248123  0.037722494453191757   0.24486352503299713 -0.013195633888244629  0.047638852149248123 -0.013195633888244629   0.24041779339313507,    -1.2560462306048237    -0.36494704629053132    -0.22901342666337143        1.33652436522258     0.48113016257911312    -0.11819949274816111 -1.8384546329741625e-05,0.025187356397509575
IIWA_7,1714489608.9387336,-0.98634311526115714   1.5738660260641044   1.0813883851096384 -0.75028270662474472   -2.817842269222222  -1.8684589469946249 -0.33211564903580998,  0.035427600948739105 -0.0075593862212541638  -0.045988023264367558   -0.11002611318297589   0.066997807184534491 -0.0023875367983325077    -0.1457765986912726, -22.568608638763429   62.081485065460207  -14.864249954223633   5.6062274169921871  -1.4904747200012207   0.9391772232055664 0.034042671203613283, 43.000136618778292  1.9535335998819598 -5.4334676273856886 -24.988314536475027  4.0372959196208118 0.24846517753674235 -2.9093018122024743,0.58301436901092529 -0.2142331451177597 0.22199165821075439,    -0.6883121132850647 -0.00055372057249769568  -0.0017812809674069285     0.72541224956512451,-0.0017693680711090565   0.049843627959489822 -0.0042897905223071575,  -0.00327637093141675     1.4689091444015503 -0.0016393231926485896,   0.1333395391702652  0.037556428462266922  0.047723554074764252  0.037556428462266922    0.2449418306350708 -0.013152625411748886  0.047723554074764252 -0.013152625411748886   0.24041929841041565,     -1.249710235030399    -0.36344921020603493    -0.22834527622439538       1.329181069241514      0.4808242359555237    -0.11629613879371448 -1.8036967475154597e-05,0.034075561910867691
IIWA_7,1714489608.9437332,-0.98641148526211164   1.5735910480223727   1.0807079807180533 -0.75185006345299932  -2.8166707872985897  -1.8684630815705399 -0.33443789218147868, 0.025607280720811344 -0.017046630646271752 -0.064006594274898881  -0.15071516367656457   0.10045752269292227  -0.00207541247526486  -0.20951100477976614,   -17.58950765609741    62.205156040191653   -14.856326580047607    3.4942080116271974   -1.7325778198242188   0.85306929016113275 -0.099124248504638676, 42.847038170172823   1.938575436875591 -5.5242668058240278 -24.776189386669003   3.857782536912429 0.45716950544456436 -2.7205695904426941, 0.58287262916564941 -0.21381774544715881  0.22197632491588593,  -0.68799585103988647 -0.0012859732378274202 -0.0019528254633769393    0.72571086883544922,-0.0071283089928328991   0.056461833417415619 -0.0040436070412397385,-0.0032939114607870579     1.4690589904785156   -0.00162911182269454,  0.13342568278312683  0.037387590855360031  0.047826390713453293  0.037387590855360031   0.24500557780265808 -0.013123043812811375  0.047826390713453293 -0.013123043812811375   0.24042268097400665,    -1.2434385946766824    -0.36243693448057002    -0.22792064770804643      1.3220594709029143     0.48014050781652884    -0.11486706386065748 -1.7635324311982004e-05,0.038833416998386383
IIWA_7,1714489608.9487648, -0.9864157994978564   1.5731854419036062   1.0799140857464418 -0.75385610289825644  -2.8152175322646658  -1.8684530747252734 -0.33732758844544514,  0.020313255146858583  -0.029861549267677381  -0.082961074284380334   -0.20081370875153662    0.13849621951129404 -0.0012600561695551176   -0.28319665438247121, -15.788213024139404   64.982375972747803  -14.703141345977784   2.7045117187500001  -1.8435050582885741  0.93483845138549804 0.021026355743408203, 42.700721332987442  2.0384061651320491 -5.7228395326844623 -24.566758545275707   3.591446913569869  0.7118478567653046 -2.4676552031814287, 0.58267867565155029 -0.21336810290813446  0.22203607857227325,  -0.68760371208190918 -0.0022278120741248131 -0.0022845021449029446    0.72607916593551636,  -0.013519025407731533    0.063107229769229889 -0.00084917049389332533,-0.0032214163802564144     1.4691812992095947 -0.0015944899059832096,  0.13353727757930756  0.037187919020652771  0.047943413257598877  0.037187919020652771   0.24507510662078857 -0.013088171370327473  0.047943413257598877 -0.013088171370327473   0.24043925106525421,    -1.2360892627762965    -0.36129485664915251     -0.2275386798533674      1.3137050375622294       0.479215940290878    -0.11332580969192207 -1.7146565944869963e-05,0.043928258121013641
