DesiredFlux,1,HitTime,1714489721.855922,DesiredPos,0.57702547311782837  0.1400439590215683  0.2190907895565033
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714489721.3393679,-0.97674105460895178   1.5790577721233769   1.0829496300130188 -0.72466816365627174  -2.8179484974654145  -1.8838503470243364 -0.31514724487040346, 0.00022052667151321723 -6.3445012653552319e-07  -0.0022448283367726583 -4.5383315080320893e-05  4.4252811113490847e-06  9.6861619094789559e-06  2.3882486643775071e-06, 0.24330920028686523   71.063761730194088  -15.414484272003174  -7.9894022941589355  -2.1155409049987792  0.72824616241455076 -0.16821084594726562,-0.00022262604348005643    0.021734223093966221    -0.27445474991764174    -0.82756771649590244     -5.0031712635984071   -0.077617659126893168      0.4451848893009383, 0.58478492498397827 -0.21700809895992279  0.22224812209606171, -0.68801629543304443 0.0019241517875343561 0.0027965647168457508   0.72568732500076294,-0.00021946462220512331 -8.6217572970781475e-05 -0.00091450108448043466,-0.0053096385672688484     1.4666038751602173 -0.0021679429337382317,  0.13189442455768585  0.040265187621116638  0.046961374580860138  0.040265187621116638   0.24366313219070435 -0.014041757211089134  0.046961374580860138 -0.014041757211089134   0.23962205648422241,   -1.3540455492355719   -0.38948751534650938   -0.24324636274197786     1.4628694792380159    0.50389948752016522   -0.11887602773708039 -1.848920216929173e-05,0.0006439387216232717
IIWA_7,1714489721.3443916,-0.97673709980194978   1.5790577721233769   1.0829426791301897 -0.72466870285392748  -2.8179485932839903  -1.8838503470243364 -0.31514712498810044, 0.00033461361729031239 -5.0756010122841855e-07  -0.0020738979825818534 -5.7874558294125755e-05 -2.9251814053995545e-07  7.7489295275831658e-06  6.7058910526644819e-06, 0.30917743682861326   71.039565235137943  -15.395996398925782  -8.0131724166870111  -2.1111390304565427  0.73058242416381836 -0.16921210098266601,  44.319368840784058   1.8942937814964114  -5.4399478578877396  -25.529498136466678    4.549756638645901 0.078106958623128664  -3.6186919303335645, 0.58478426933288574 -0.21700757741928101  0.22224453091621399, -0.68801820278167725 0.0019263678696006536 0.0028001002501696348    0.7256854772567749,-0.00020050635794177651 -4.7940473450580612e-05 -0.00087529380107298493,-0.0053046527318656445     1.4666038751602173 -0.0021608059760183096,  0.13189506530761719  0.040265075862407684  0.046962067484855652  0.040265075862407684   0.24366316199302673 -0.014041994698345661  0.046962067484855652 -0.014041994698345661   0.23962146043777466,    -1.3540415138493245    -0.38949357620765568    -0.24325133925806597      1.4628693263905035     0.50390639510222712     -0.1188700341590021 -1.8490450948149828e-05,0.00061314273625612259
IIWA_7,1714489721.3493674,-0.97673116764598844    1.579057652241074   1.0829366869785353 -0.72466930215635939  -2.8179485932839903  -1.8838501073688136 -0.31514712498810044,  0.0005049771322858988 -5.2013401999247646e-06  -0.0018988044522423413 -7.0271743911415438e-05 -2.3401451243196438e-07  1.5785364532473484e-05   5.364712842131586e-06,0.35757042694091795  71.018057239532467  -15.38983377456665 -8.0131724166870111 -2.1146605300903318  0.7299149208068848 -0.1688783493041992,  44.317396643063795   1.8961333270833514  -5.4418306837016948   -25.52874208859043   4.5494205416309885 0.078267531817544533  -3.6188817089588263, 0.58478403091430664 -0.21700641512870789  0.22224162518978119, -0.68801981210708618 0.0019278235267847776  0.002803547540679574   0.72568392753601074,-0.00017061855760402977   8.284139767056331e-06  -0.0008167670457623899,-0.0053046527318656445     1.4666038751602173 -0.0021608059760183096,    0.131895512342453  0.040264837443828583  0.046962667256593704  0.040264837443828583   0.24366328120231628 -0.014042139984667301  0.046962667256593704 -0.014042139984667301   0.23962096869945526,     -1.354032166148933    -0.38949653245179405    -0.24325517335022084      1.4628624449857242     0.50391278741113155    -0.11886259421878265 -1.8491354225602663e-05,0.00056895538000389934
IIWA_7,1714489721.3543677,-0.97669257841622681   1.5790617868169889   1.0829110407832572 -0.72470213888998947  -2.8179330617735099  -1.8838484295619871 -0.31519368371847589, 0.0019475508962939962 0.00016122196443891419 -0.0025448913729185646 -0.0013696867403323989 0.00062107320760578443 7.9740564689308801e-05  -0.001858057444744561,  0.12098247528076173    70.944123504638668   -15.067616558074951    -7.631089706420898   -2.2863336372375489   0.73225118255615229 -0.061076557159423825,  44.314493914069352   1.8981240990259467  -5.4441718601610525  -25.527582022241436   4.5489374401001541 0.078478961618444032  -3.6190343319902545, 0.58478415012359619 -0.21700432896614075  0.22223904728889465, -0.68802118301391602  0.001928465673699975 0.0028072656132280827   0.72568261623382568,-0.00013188282900955528   9.003650484373793e-05 -0.00075619667768478394,-0.0053025460802018642     1.4666038751602173  -0.002157613867893815,   0.1318957507610321  0.040264416486024857   0.04696321114897728  0.040264416486024857   0.24366354942321777 -0.014042162336409092   0.04696321114897728 -0.014042162336409092   0.23962053656578064,    -1.3540150154724984    -0.38949526332654472    -0.24325678864389744      1.4628455231990856     0.50391903524360515    -0.11885228419838967 -1.8491890685368162e-05,0.00052697729552164674
IIWA_7,1714489721.3593278, -0.9760828210257716   1.5790903692014842   1.0826819023962491 -0.72524909889762579  -2.8176441938998087  -1.8838359659476323 -0.31572338645588383,  0.025948336335243689  0.0012722729513596378  -0.011201448578659245  -0.022974149697718767   0.012051573514132346 0.00056233702594374151  -0.022674555452112981, -9.5025013084411629   68.111789333343509  -14.406455001831054  0.13469736099243163  -1.5591439628601074  0.93850971984863285 -0.23763119506835936,  44.310456739336082   1.9001323306729745  -5.4467599190729992  -25.525916256326465   4.5483392132091556 0.078703752308830532  -3.6190926731584421,  0.5847848653793335 -0.21700102090835571  0.22223688662052155, -0.68802237510681152 0.0019281458808109164 0.0028112845029681921   0.72568148374557495,-7.7688200690317899e-05  0.00020443749963305891 -0.00069139921106398106, -0.005300725344568491     1.4666038751602173 -0.0021546015050262213,  0.1318957656621933 0.040263742208480835 0.046963714063167572 0.040263742208480835  0.24366399645805359 -0.01404205895960331 0.046963714063167572 -0.01404205895960331  0.23962019383907318,    -1.3539874539327812    -0.38948939341576505    -0.24325674080571957      1.4628161344942825      0.5039253100651564    -0.11883863746398049 -1.8492082531906817e-05,0.00049444701289758086
IIWA_7,1714489721.3643711,-0.97539378805361365   1.5790459077023713   1.0824120775482169  -0.7259398096766102   -2.817088988782253  -1.8837719102915056 -0.31661015923272329,     0.0483199879545127 -0.00076064160342660149   -0.019754152784214361   -0.046007750917551646    0.031849463513533495   0.0030120958658214057   -0.053610555435268853, -22.333364936828612   64.251104122161863  -16.178649692535402   4.4133194160461429  -2.0125370407104493   0.7739701423645019 0.067417839050292971,  44.270137966841638   1.8875979319212344  -5.4451823997066864  -25.499501286749588   4.5482552100947391 0.085365461222114636  -3.6147804338548126, 0.58478766679763794 -0.21696783602237701  0.22222703695297241, -0.68801683187484741 0.0019010195974260569 0.0028261251281946898   0.72568672895431519, 5.0100712542189285e-05    0.001490812748670578 -0.00094754417659714818,-0.0052996403537690639     1.4666045904159546 -0.0021522424649447203,  0.13189609348773956  0.040254775434732437  0.046968374401330948  0.040254775434732437   0.24366921186447144 -0.014039792120456696  0.046968374401330948 -0.014039792120456696   0.23961904644966125,    -1.3536274266341408    -0.38939961445727533    -0.24321780812819327      1.4623994320812628     0.50392890012584957    -0.11871895926507392 -1.8478962360291007e-05,0.0012049182550981641
IIWA_7,1714489721.3693244,-0.97503318274069917   1.5789790956259402   1.0819295926211432 -0.72684192226132849   -2.816274924284023  -1.8837597462192839  -0.3179715671001595,  0.053080202880189602 -0.0032809963399857158  -0.035102719310319525  -0.072890704122772682   0.058042150740025222  0.0028962395815255162  -0.097344759045663698,-27.101418712615967  63.177048591613769  -15.78600248336792  6.8827710342407222 -1.6058038330078124 0.83604795455932612 0.13650443649291993, 42.942951784291999  1.6897279880573914 -5.6028964263626273 -24.665004626578082  4.3807288073017547 0.32995146351969207 -3.4531164683869191, 0.58493548631668091 -0.21579933166503906  0.22216519713401794,  -0.68768060207366943 0.00088027020683512092  0.0032244422473013401     0.7260056734085083, 0.0054225651547312737   0.043360136449337006 -0.0025628975126892328,-0.0052991234697401524     1.4666054248809814 -0.0021502382587641478,  0.13187713921070099  0.039929136633872986  0.047097068279981613  0.039929136633872986   0.24384775757789612 -0.013949739746749401  0.047097068279981613 -0.013949739746749401   0.23962327837944031,    -1.3406972099074821    -0.38599671125005841    -0.24186528400793605      1.4473919544979452      0.5035666785833115    -0.11491049913558982 -1.7922655359825512e-05,0.029839074239134789
IIWA_7,1714489721.3743536,-0.97501364847029537   1.5788395393171168   1.0812701606512654 -0.72796154846757211  -2.8151404496237182  -1.8837198388296048 -0.31988670619823123,   0.04324553312030361 -0.0082070494249222095  -0.054459454243368934   -0.10309761154796288   0.091812707004212471  0.0039132872523833118   -0.15448137115940008, -22.669427368164062   62.686397441864017   -14.57548698425293   5.6388012886047365    -1.79332368850708  0.81702410888671873 0.062411563873291012, 42.623665371932212  1.6479213509913846 -5.6967421417721988 -24.397671017504521  4.2226241111849161 0.49625414810121682 -3.2991643346918869, 0.58491218090057373 -0.21530574560165405   0.2221495509147644,  -0.68740475177764893 0.00023568570031784475  0.0031776940450072289    0.72626751661300659, 0.0033647569362074137   0.054415985941886902 -0.0026762259658426046, -0.005299542099237442     1.4666153192520142 -0.0021487344056367874,  0.13191814720630646  0.039759308099746704  0.047187440097332001  0.039759308099746704   0.24392098188400269 -0.013920084573328495  0.047187440097332001 -0.013920084573328495   0.23962640762329102,    -1.3341870037892889    -0.38485519297903892    -0.24147869861046445      1.4400340936457923     0.50299710792334196    -0.11342848820561358 -1.7553494657818192e-05,0.037206217646598816
IIWA_7,1714489721.3793709, -0.9750693750879823   1.5785540152324631   1.0805018519883218 -0.72945783887026094   -2.813700233421037  -1.8836872417514976 -0.32244935295856503, 0.032367361788765474 -0.017986602926088384 -0.074299909912436291  -0.14232970534592382   0.13105881371061795 0.0044345129261950684  -0.22609096734087197, -16.254667678833009   62.768396675109862  -14.675849723815917   2.9246054458618165  -1.7871610641479492  0.82470039749145507 0.058740295410156247, 42.581194539862082  1.6786214073927743 -5.8267198665319855 -24.274697412172848  3.9975335065215196 0.67264757714539947 -3.0843563864253194, 0.58480268716812134 -0.21495437622070312  0.22216075658798218,   -0.68705278635025024 -0.00047761810128577054   0.0028537767939269543     0.72660171985626221,-0.0017235828563570976   0.057557404041290283 -0.0016971451696008444,-0.0053019206970930099     1.4669573307037354 -0.0021421953570097685,  0.13200578093528748  0.039595760405063629  0.047293443232774734  0.039595760405063629   0.24397164583206177 -0.013908366672694683  0.047293443232774734 -0.013908366672694683   0.23963333666324615,    -1.3281417723893796    -0.38437488983955603    -0.24143392013975529      1.4333936371064837     0.50201623358958614    -0.11260346209329697 -1.7139738517357728e-05,0.03926389291882515
IIWA_7,1714489721.3843732,-0.97501754328160428   1.5781331291924279   1.0795950057434229 -0.73142427035888868  -2.8119474687173636  -1.8836273205622027 -0.32565435407837823, 0.027967161686133266 -0.031224723942278973 -0.095713777725904864  -0.19252102382184866   0.17495763911543319 0.0059444579127510902  -0.30907281866522562,   -15.00720393371582    65.970399520874025   -14.209251022338867    2.2132625198364257   -1.8875238037109374   0.81168408203124998 -0.020025100708007813,  42.49030169772638  1.8254385584019652 -6.0837532924407398 -24.119807722701381  3.6792597915207423   0.910597830276757 -2.7939387133269347,0.58464586734771729 -0.2145351767539978 0.22225244343280792,  -0.68661010265350342 -0.0014627274358645082  0.0023606971371918917    0.72702056169509888,-0.0077005494385957718   0.062761455774307251  0.0022971411235630512,-0.0054855230264365673     1.4670968055725098 -0.0021320737432688475,  0.13211587071418762  0.039392836391925812  0.047416474670171738  0.039392836391925812   0.24403385818004608 -0.013888171873986721  0.047416474670171738 -0.013888171873986721   0.23965483903884888,    -1.3206551453706084    -0.38364771538823561    -0.24139052867955257      1.4250662844883522     0.50079373383482562    -0.11153012534670381 -1.6614506215262281e-05,0.043121889233589172
