DesiredFlux,0.57,HitTime,1714572623.8137395,DesiredPos,0.55767571926116943   0.310863196849823 0.21975049376487732
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572623.0908427,-0.48448626023862357   1.1255086086493638 0.025332614152995172   -1.297512855777196  -1.9544204741019648  -1.8800769340550507 -0.91395749796096781,-7.2046653707628618e-05 -1.4453418747776173e-06 -6.8726054488147574e-05 -1.9282924044717586e-06  1.4078636949402994e-06 -1.5193984863117221e-06 -9.6807226697393821e-06,  0.4207501640319824   64.850639499664311  -1.9377051734924315  -15.806251106262208  -1.3496147346496581   1.7872402381896972 -0.20659228897094725, -0.39536398616457991   -1.2954498296304016  -0.56560496610714461  -0.44755130599363779 -0.094126465859803332  -0.16407782262406301   0.50274649459635412,   0.5536506175994873 -0.051168691366910934   0.21466045081615448,  -0.70188939571380615 -0.0087720351293683052  0.0013212600024417043    0.71223068237304688,-7.5440807449922431e-06 -7.8898265201132745e-05  -9.813618817133829e-06,0.0008826057892292738   0.62250339984893799 0.0011161018628627062,  0.24719515442848206  0.028604375198483467   0.06563674658536911  0.028604375198483467   0.23028506338596344 -0.023267820477485657   0.06563674658536911 -0.023267820477485657   0.18781614303588867,   -1.0788252252762476   -0.40880929970832369    -1.1583241115280529    0.72729356168199644    0.51453352455510526    0.02926793007596018 1.5179582035784733e-05,7.3127310315612704e-05
IIWA_7,1714572623.0958698,-0.48448542138975187   1.1255086086493638 0.025332434384082215   -1.297512855777196  -1.9544205699205408  -1.8800768141727477 -0.91395749796096781,-2.4083368098176444e-05 -1.1562734998220939e-06 -6.2171600108800785e-05 -1.5426339235774069e-06  -2.706452082548768e-06  3.5797733298926517e-06  -7.744578135791506e-06, 0.42747141265869143   64.860049247741699  -1.9403462982177735  -15.800968856811524  -1.3478539848327638    1.787573989868164 -0.20759354400634766,  -0.3958311367305542   -1.2956655300658653  -0.56571352411923281   -0.4473348297685153 -0.093995162777198368  -0.16406355452302213   0.50272951234493357,  0.55365049839019775 -0.051168818026781082   0.21466033160686493,   -0.7018895149230957 -0.0087719447910785675  0.0013213255442678928    0.71223056316375732,-9.8975533546763472e-06 -6.8126137193758041e-05  -1.285803136852337e-05,0.00088263949146494269    0.62250334024429321  0.0011161572765558958,  0.24719519913196564   0.02860439196228981  0.065636709332466125   0.02860439196228981   0.23028503358364105 -0.023267850279808044  0.065636709332466125 -0.023267850279808044   0.18781612813472748,   -1.0788260042797759   -0.40880987877489616    -1.1583254460463266    0.72729376238189758    0.51453366992681993   0.029267553080636333 1.5179479895266468e-05,6.412504444597289e-05
IIWA_7,1714572623.1007996,-0.48448422289397114   1.1255086685359736 0.025332434384082215   -1.297512735894893  -1.9544205699205408  -1.8800768741684408  -0.9139577376164908, 2.8673136750652273e-05  1.4704455958747854e-06 -4.9737280087040632e-05  3.5611849800801039e-06 -2.1651616660390144e-06  4.6399094070455257e-07 -1.5781883427921938e-05, 0.44091390991210938   64.862737747192384  -1.9350640487670898   -15.80537073135376      -1.352255859375   1.7885752449035643 -0.20592478561401367,  16.99218546119322  1.9006195775395496  8.9135485856448113 -4.4916706602544547  0.2823246688300825 0.78864243062288952 0.40243105483273467,  0.55365049839019775 -0.051169030368328094   0.21466027200222015,  -0.70188969373703003 -0.0087718162685632706  0.0013212420744821429    0.71223044395446777,-9.1513884399319068e-06 -6.2975785112939775e-05 -1.2274455002625473e-05,0.00088264321675524116    0.62250334024429321  0.0011161684524267912,  0.24719522893428802  0.028604406863451004  0.065636686980724335  0.028604406863451004   0.23028500378131866 -0.023267889395356178  0.065636686980724335 -0.023267889395356178   0.18781612813472748,   -1.0788269207244738   -0.40881076617349521     -1.158327203865106    0.72729440421337443    0.51453352685282283   0.029266611333511605 1.5179304924117787e-05,5.9343790780985728e-05
IIWA_7,1714572623.1058426,-0.48445366316051641   1.1255154396498899 0.025360896886274506  -1.2975289745473366  -1.9544195152180739  -1.8800655490541738 -0.91395863646105557,  0.0012453278475896001   0.0002720209131257523   0.0010987102636220137  -0.0006466971497599719    4.04559693439008e-05  0.00045337576343443335 -4.8579289333473572e-05, 0.19491621017456054   64.755197769165036   -2.369969253540039    -15.5993630027771  -1.3760259819030762   1.7485250434875488 -0.20392227554321288, 16.991348454647039  1.9005642758355679  8.9131480496667699 -4.4915530984324672 0.28239623747458215  0.7887130628435316  0.4024336696137184,  0.55365049839019775 -0.051168624311685562   0.21466021239757538,   -0.7018897533416748 -0.0087720463052392006  0.0013215497601777315    0.71223032474517822,-6.1184546211734414e-06 -3.4217438951600343e-05 -1.2591019185492769e-05,0.00088269385742023587    0.62250339984893799  0.0011162254959344864,  0.24719519913196564  0.028604423627257347  0.065636694431304932  0.028604423627257347   0.23028504848480225 -0.023267844691872597  0.065636694431304932 -0.023267844691872597   0.18781612813472748,   -1.0788271965207485   -0.40880918329389004    -1.1583260359442349    0.72729287125916642    0.51453439370696685   0.029267970033330926 1.5179490553407504e-05,3.3852043998194858e-05
IIWA_7,1714572623.110847,-0.48385211503528092   1.1255701476497921 0.025859260927965921  -1.2977134117797087  -1.9544058053077336     -1.8799279102077 -0.91396966192410656,   0.025058187287491519   0.0024059367265909727    0.020813529878554227  -0.0078948470146898882  0.00058076118908838195   0.0058682544696985646 -0.00047988195350615027, -10.909930770874023   62.205156040191653  -9.2236879158020013  -12.648346309661864  -1.3011941146850585   1.5976692848205567 -0.21827359771728516, 16.990375945475932  1.9006392580799423  8.9125693962165542 -4.4914949547373837 0.28240914055615629 0.78887439704636542  0.4024967443312879, 0.55365055799484253 -0.05116797611117363  0.21466021239757538,   -0.7018897533416748 -0.0087725818157196045  0.0013218846870586276    0.71223032474517822,-1.7678419226285769e-06 -1.3798642157780705e-06 -1.0124716027348768e-05,0.00088270078413188457    0.62250334024429321  0.0011162473820149899,  0.24719512462615967  0.028604449704289436  0.065636724233627319  0.028604449704289436   0.23028510808944702 -0.023267766460776329  0.065636724233627319 -0.023267766460776329   0.18781612813472748,   -1.0788275441528938   -0.40880666746367922    -1.1583238694461429    0.72729076438537987    0.51453577630500291   0.029270579324780499 1.5179931978082095e-05,9.4954448286443949e-06
IIWA_7,1714572623.115845,-0.48320916137336961   1.1255654737671383 0.026249107705334573  -1.2978418826297879  -1.9543605529344867  -1.8796434646274409 -0.91398763826998675,  0.045764696306445425   0.001737794075121019   0.032244694997589432  -0.011454711614922966  0.0022747038811434242   0.016072426786122255 -0.0011029593980124595, -21.271407653808595   61.858339611053466  -13.368492984771729  -13.067404766082763 -0.93055627822875975   1.7101436004638673 -0.16654208755493163, 16.960092434363986  1.8917453974345428  8.8920385496365455 -4.4811612022191873 0.28585534845098243 0.79302953625437345 0.40114026555119658,  0.55365097522735596 -0.051138680428266525   0.21465775370597839,  -0.70188069343566895 -0.0087824305519461632  0.0013369169319048524    0.71223914623260498, 1.4409585674002301e-05   0.0011707120575010777 -0.00010594551713438705,0.0008827078272588551   0.62250339984893799  0.001116269500926137,  0.24719375371932983  0.028602270409464836  0.065638124942779541  0.028602270409464836   0.23028934001922607 -0.023263491690158844  0.065638124942779541 -0.023263491690158844   0.18781393766403198,   -1.0787057191308236   -0.40869328085157974    -1.1581239197742121    0.72717697697211037    0.51455061370386801   0.029369525597289226 1.5197990421711438e-05,0.0010764283360913396
IIWA_7,1714572623.1208456,-0.48282518675626929   1.1255746417635328 0.026452360132458653  -1.2980065459362335  -1.9542663089946033  -1.8792629655062967 -0.91401448296104548,  0.051970741729169316  0.0017569551158767775   0.033925853083034752   -0.01575030154976239  0.0055895207002524478     0.0280779062746674 -0.0019561551607594116, -22.229857707977295   61.988731834411624  -12.165900859832764  -14.035817165374755  -1.3267249870300293   1.4004220428466796 -0.14518198013305664, 15.969299253253489  1.8456860997876374  8.2015136832098499 -4.3264016658436422 0.32142240591624971 0.92644062488816692 0.41115884253232948,  0.55376130342483521 -0.050099752843379974   0.21468557417392731,  -0.70166844129562378 -0.0092834793031215668  0.0017733777640387416    0.71244090795516968,0.0041134553030133247  0.038057487457990646 0.0009229259449057281,0.00088268896797671914    0.62250339984893799  0.0011162621667608619,  0.24709546566009521  0.028550323098897934  0.065705128014087677  0.028550323098897934   0.23042576014995575 -0.023108065128326416  0.065705128014087677 -0.023108065128326416   0.18779186904430389,   -1.0754687749585656   -0.40453818446639644    -1.1516501260402379    0.72330007853960154    0.51531790450365378   0.032716486724204685 1.5790858398645469e-05,0.035058882087469101
IIWA_7,1714572623.1258864,-0.48258502290621019   1.1255764393435794 0.026679161632681421  -1.2982256174822824  -1.9541460832108102  -1.8787795218480481 -0.91405169392611341,  0.051183147385699221  0.0014774672945650988   0.036212742475338525  -0.021363103081763209   0.009280647911926572   0.041800071349677705 -0.0030533627313244979, -16.963087284088136   62.101648811340333  -8.2455913925170901  -14.568443984985352  -1.0661340141296387   1.2405549888610841 -0.20592478561401367, 15.862746217076236   1.772903161694573  8.1698524970409849 -4.3060153654341722 0.33125334382594873  0.8755977968738311  0.4068881576617685,  0.55382108688354492 -0.049792595207691193   0.21463821828365326,  -0.70166796445846558 -0.0093373069539666176  0.0018386500887572765    0.71244055032730103, 0.0056623704731464386   0.042737074196338654 -0.0011528535978868604,0.00088269036496058106    0.62250435352325439  0.0011162639129906893,  0.24708031117916107  0.028517410159111023  0.065722040832042694  0.028517410159111023   0.23046335577964783 -0.023060407489538193  0.065722040832042694 -0.023060407489538193   0.18778008222579956,   -1.0738782790662427   -0.40328080336138328    -1.1494393007502879    0.72195620831649876    0.51517375221354911   0.033091146663721815 1.5850257994998174e-05,0.03948594257235527
IIWA_7,1714572623.130842,-0.48226504405862658   1.1255745218812299 0.027120660447515141  -1.2984923264812673  -1.9539908635755145  -1.8782085334562675 -0.91409561611848755,    0.0537456718119039  0.0011052753416694603   0.046630146573619614  -0.027758842424808756   0.013633303741366603   0.056279592750966265 -0.0041995778800254461,-12.244770748138428  62.057288570404054  -7.733213195800781 -14.644156227111816 -1.3953942298889159  1.3743894119262696 -0.2032547721862793, 15.862746217076236  1.7729031616945734  8.1698524970409849 -4.3060153654341722 0.33125334382594862 0.87559779687383132  0.4068881576617685,  0.55382108688354492 -0.049792595207691193   0.21463821828365326,  -0.70166796445846558 -0.0093373069539666176  0.0018386500887572765    0.71244055032730103, 0.0056623704731464386   0.042737074196338654 -0.0011528535978868604,0.00088290136773139238     0.6225440502166748  0.0011171859223395586,  0.24708031117916107  0.028517410159111023  0.065722040832042694  0.028517410159111023   0.23046335577964783 -0.023060407489538193  0.065722040832042694 -0.023060407489538193   0.18778008222579956,   -1.0738782790662427   -0.40328080336138328    -1.1494393007502879    0.72195620831649876    0.51517375221354911   0.033091146663721815 1.5850257994998174e-05,0.03948594257235527
IIWA_7,1714572623.1358418,-0.48179765928390883   1.1255635563047888 0.027654977180966857  -1.2988096686817665  -1.9538233720066494  -1.8775116507567156 -0.91414013750421053,  0.061691928438233103 0.00044559721569192932   0.058676786596964334  -0.034900761959813849   0.017606305747701154   0.072898982182850069 -0.0051405177329392829, -11.504089149475098   62.150041801452637  -8.7060274696350088  -14.360675506591797  -1.4869532203674316   1.5522790565490723 -0.17355087280273437, 15.765176489831983  1.6698483331088438  8.0815167464920563 -4.2941136505275468 0.31911794937253291 0.75643766736359708 0.39850078188512883,  0.55396628379821777 -0.049182083457708359   0.21453781425952911,  -0.70163542032241821 -0.0093401689082384109  0.0018343918491154909    0.71247255802154541,  0.008913838304579258   0.049837648868560791 -0.0042441310361027718,0.00083310966147109866    0.62254416942596436  0.0011049266904592514,  0.24705959856510162  0.028413606807589531  0.065762951970100403  0.028413606807589531   0.23054514825344086 -0.022953633219003677  0.065762951970100403 -0.022953633219003677   0.18774949014186859,   -1.0692105486818093   -0.40070968322947209    -1.1439285495429274    0.71906181495506871    0.51422196254069519   0.033222269039789865 1.5877146708476175e-05,0.046516448259353638
