DesiredFlux,0.55,HitTime,1714573324.8137197,DesiredPos,0.56170713901519775   0.310322105884552  0.2200867235660553
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714573324.058044, -0.4845334780489578   1.1391138797378215 0.024168646329941597  -1.2765565809834156  -1.9564936491422464  -1.8941753559958074 -0.90846153239550942,  0.0048802021883689985  5.9434130289341392e-06  -0.0047852682580130576   0.0031231245274588983   -0.000507272845470708 -9.7051953742629319e-06  0.00022270546188674417, 0.41537316513061523    65.28214366149902  -1.8804808044433594  -16.202419815063475  -1.0995882606506346   1.8282916946411132 -0.24230371856689453, -0.28843763606257439   -1.8047657780736877  -0.41818199821590524  -0.63443049483538239 -0.058640916091662498 -0.074850680596785346     0.512778860806959,   0.5552295446395874 -0.053821340203285217   0.21295478940010071, -0.69984191656112671    -0.012047722004354 0.0046426835469901562   0.71418100595474243, 0.00068533729063346982  0.00055107730440795422 -0.00045007065637037158,0.0021207882091403008   0.60054171085357666 0.0023312331177294254,  0.24644468724727631  0.029684079810976982  0.065910443663597107  0.029684079810976982   0.22977116703987122 -0.023672653362154961  0.065910443663597107 -0.023672653362154961   0.18819364905357361,  -1.1245323350150827  -0.41772642747961442   -1.1843229108237097   0.76259945163670295   0.53536049153724008   0.05002597584624624 1.937718696609636e-05,0.00090474175522103906
IIWA_7,1714573324.0630462,-0.48450453623571971   1.1391139396244316 0.024143479445709385  -1.2765451359868456  -1.9564960458283753  -1.8941750563445916 -0.90846009435328889,  0.0050618342802188996  7.1501948277615569e-06  -0.0048348899756989194   0.0029562994847679306 -0.00050168572153222826  4.2218923342061743e-06  0.00023568605833040041, 0.43150416183471679   65.294241909027093  -1.8663948059082032  -16.210343189239502  -1.1048705101013183   1.8259554328918457 -0.24397247695922852, -0.29281593945681988   -1.8068578540902498   -0.4171323188276444  -0.63348924272386808 -0.057339195898770956 -0.075694610966663356   0.51268070360829721,  0.55523234605789185 -0.053817391395568848   0.21295167505741119, -0.69985175132751465 -0.012053469195961952 0.0046488172374665737   0.71417129039764404, 0.00066078233066946268  0.00059883500216528773 -0.00048433782649226487,0.0021207872778177261   0.60054141283035278 0.0023312319535762072,  0.24644352495670319  0.029686041176319122   0.06591024249792099  0.029686041176319122   0.22977064549922943 -0.023672709241509438   0.06591024249792099 -0.023672709241509438   0.18819482624530792,   -1.1246117304164471   -0.41770893242265572    -1.1843708658672014    0.76259082908514131    0.53539329561935745   0.050035711045559594 1.9376673598969774e-05,0.00092938239686191082
IIWA_7,1714573324.0680401,-0.48447301766200718   1.1391139996201247    0.024118911754826  -1.2765342304060976  -1.9564982510518854  -1.8941749964579815 -0.90845883597089816,  0.0053102103726763231  8.1199835854188157e-06  -0.0048506196158945303   0.0028012628177347741 -0.00048955751762662944  5.7729782719791846e-06  0.00023888414229368711,0.41806166458129884  65.299618907928462 -1.8690359306335449  -16.22971143722534 -1.1039901351928711  1.8269566879272461 -0.2443062286376953, 15.999001236037159  1.6822043268180729    8.06662827254498 -4.1369264681555622 0.44821067322959957  1.3077094915843321 0.40547215817201626,  0.55523496866226196 -0.053812544792890549   0.21294878423213959, -0.69986134767532349 -0.012059753760695457 0.0046556429006159306   0.71416169404983521,0.00063435995252802968 0.00067300454247742891 -0.0005030391039326787,0.0021188883110880852   0.60054141283035278 0.0023329297546297312,  0.24644231796264648  0.029688036069273949   0.06591004878282547  0.029688036069273949    0.2297702431678772 -0.023672675713896751   0.06591004878282547 -0.023672675713896751   0.18819594383239746,   -1.1246912483198201   -0.41768836354894034    -1.1844162785852319    0.76257852887806621    0.53542790712324262   0.050049929689599537 1.9376963145134596e-05,0.00096418720204383135
IIWA_7,1714573324.0730445,-0.48440842269914164   1.1391213099316966 0.024122327255089077  -1.2765376459063607  -1.9564992097612435  -1.8941600161879286 -0.90845877608428816,  0.0068319668127625969  0.00029890844974281571  -0.0037438756821925379   0.0021043902436654271 -0.00042999438842622934  0.00060382918473225245  0.00019350277823512306,  0.1774409637451172   65.210898426055905  -2.2960177612304689  -16.049234580993652  -1.1383247566223145   1.7695513992309571 -0.24063496017456054,  15.99534723374175  1.6803478824891087   8.067209368672529 -4.1350534972552415 0.45077357710975707  1.3074456391016704 0.40493892043974583,  0.5552372932434082 -0.05380648747086525  0.21294532716274261, -0.69987094402313232 -0.012065672315657139 0.0046638012863695621   0.71415221691131592, 0.00059906917158514261  0.00078073074109852314 -0.00054076476953923702,0.0021188878454267979   0.60054123401641846 0.0023329290561378002,  0.24644125998020172  0.029689963907003403  0.065909780561923981  0.029689963907003403    0.2297699898481369 -0.023672547191381454  0.065909780561923981 -0.023672547191381454   0.18819683790206909,   -1.1247666347991014   -0.41766393415976211    -1.1844567618908286    0.76255992020524133    0.53546323812714292   0.050067508607476441 1.9377705662293465e-05,0.0010283614974468946
IIWA_7,1714573324.0780246,-0.48380981065404033   1.1391736810448134  0.02437333679928624  -1.2766212957195011   -1.956496333458636  -1.8940483830745587 -0.90845805700863635,   0.029410055254262477   0.0023339712844680418   0.0070452812221324882  -0.0016624803306861712 -0.00022894340644401918   0.0049483878825827788  0.00018356524866011909, -9.3506010894775393   63.224097332000731  -6.6987726783752439  -14.423182125091552 -0.98513952255249027   1.7208236541748048 -0.24564123535156249, 15.990273799106282  1.6788388003864243  8.0667232387589607 -4.1332079164487006 0.45323845467729529  1.3075469367595243  0.4045028567707758,  0.55523961782455444 -0.053798723965883255   0.21294195950031281, -0.69988012313842773 -0.012072589248418808 0.0046729664318263531   0.71414303779602051, 0.00057243084302172065  0.00093511166051030159 -0.00056691752979531884,0.0021173120476305485   0.60054117441177368 0.0023351123090833426,  0.24644008278846741  0.029691897332668304  0.065909579396247864  0.029691897332668304   0.22976994514465332 -0.023672213777899742  0.065909579396247864 -0.023672213777899742   0.18819765746593475,   -1.1248402096413201   -0.41763310675690946    -1.1844899222532845    0.76253514991631022    0.53550117771372641   0.050092138802249053 1.9379712057343568e-05,0.0011304102372378111
IIWA_7,1714573324.0830433,-0.48312131698862132   1.1391640337373732 0.024463278415296951  -1.2766367554096829  -1.9564822400994593  -1.8939065497655601 -0.90845823677754933,  0.051067790820170378  0.0014812847299647755  0.0092338896181344242 -0.0019483718718207789 0.00038057964191647346  0.0096320426660118277 0.00013966144240897991, -17.906750591278076   63.994352424621582   -9.953518714904785  -14.772690963745116 -0.81082529067993159   1.6607483520507813 -0.21493608093261718, 15.486560592406022  1.6104951034613382  7.7651727759488711 -4.0304874257538374 0.49192080978769648  1.3698623551389066 0.40133516862451346,   0.5552833080291748 -0.053328797221183777    0.2129238098859787, -0.69981366395950317 -0.012306984513998032 0.0049264831468462944   0.71420246362686157, 0.0020742232445627451   0.019092312082648277 -0.0010372287360951304,0.0021173120476305485   0.60054117441177368 0.0023351123090833426,  0.24639761447906494  0.029679765924811363  0.065934553742408752  0.029679765924811363   0.22982965409755707 -0.023607749491930008  0.065934553742408752 -0.023607749491930008   0.18818530440330505,   -1.1237949576301531   -0.41575965815354721    -1.1819278774778397    0.76078515160471483    0.53602021581333759   0.051723805113645938 1.9666509309956837e-05,0.017613409087061882
IIWA_7,1714573324.0880694,-0.48259802582730371   1.1391691270444628 0.024459623259510961  -1.2766643790630035  -1.9564959500097994  -1.8937652557633002 -0.90845823677754933,   0.061785879108840591   0.0013887600675575431   0.0072409054630679405  -0.0026636436302782613 -0.00024393270007120075    0.013357394223202161  0.00011172915392718393, -20.311613349914552    63.97687717819214  -10.239640560150146  -15.496359138488769  -1.1180761337280274   1.5142313652038575 -0.21627108764648437, 15.486560592406022  1.6104951034613382  7.7651727759488711 -4.0304874257538374 0.49192080978769642  1.3698623551389066 0.40133516862451346,   0.5552833080291748 -0.053328797221183777    0.2129238098859787, -0.69981366395950317 -0.012306984513998032 0.0049264831468462944   0.71420246362686157, 0.0020742232445627451   0.019092312082648277 -0.0010372287360951304,0.0021168452221900225   0.60055422782897949 0.0023365672677755356,  0.24639761447906494  0.029679765924811363  0.065934553742408752  0.029679765924811363   0.22982965409755707 -0.023607749491930008  0.065934553742408752 -0.023607749491930008   0.18818530440330505,   -1.1237949576301531   -0.41575965815354721    -1.1819278774778397    0.76078515160471483    0.53602021581333759   0.051723805113645938 1.9666509309956837e-05,0.017613409087061882
IIWA_7,1714573324.0930712,-0.48222285955968897   1.1391684079688109 0.024456926834899709  -1.2767098591799013  -1.9564833906205021  -1.8935549326801271  -0.9084584764330722,  0.064435353991662309   0.001082245027969573  0.0056848673860042586 -0.0039501195801372856 0.00030722941183218588    0.01909883870548762 7.9797102226899304e-05, -16.574599113464355   64.549527561187745  -8.5995021057128902  -15.665391120910645 -0.87685340881347651   1.3857369689941406 -0.23696369171142578, 14.937250900059581  1.5551720688984021  7.5398654506669942 -3.9672875490796655 0.54543842405234677  1.3998828836128037 0.40884182485796955,  0.55538398027420044 -0.052619203925132751   0.21288493275642395, -0.69985491037368774 -0.012683347798883915 0.0053086238913238049   0.71415269374847412, 0.0048167449422180653   0.037287510931491852 -0.0021873945370316505,0.0020981510169804096   0.60055428743362427 0.0023395500611513853,  0.24632410705089569  0.029678899794816971  0.065968349575996399  0.029678899794816971   0.22990778088569641 -0.023515302687883377  0.065968349575996399 -0.023515302687883377   0.18818606436252594,   -1.1229957361660325   -0.41290140344685256    -1.1787565382102017    0.75808856497960875    0.53696297546679261   0.053895788632907227 2.0020050506275311e-05,0.034489177167415619
IIWA_7,1714573324.0980675,-0.48181263955396175    1.139175238969337 0.024526315453638935   -1.276751624254403   -1.956493169700301  -1.8932763593692192 -0.90845781735311348,    0.06795708342241838   0.0011390360434204434   0.0073234386583724718  -0.0048306986441782095 -0.00014537966248712148    0.026422003400704462  9.0200880130330511e-05, -11.454351909637451   64.717558776855469  -8.1593146514892574  -15.915417594909668   -1.265979118347168   1.6674233856201173 -0.23062240982055665, 14.902821682378931  1.5144124998418513   7.560490807251238 -3.9605758190150526 0.56591261545329119   1.366976813884111 0.40436813319293596,  0.55542391538619995 -0.052403897047042847    0.2128414660692215, -0.69990289211273193 -0.012752369977533817 0.0054057054221630096   0.71410369873046875, 0.0054377610795199871   0.038444895297288895 -0.0034888689406216145,0.0020981510169804096   0.60055428743362427 0.0023395500611513853,  0.24630817770957947  0.029670858755707741  0.065976701676845551  0.029670858755707741   0.22993071377277374 -0.023486312478780746  0.065976701676845551 -0.023486312478780746   0.18818353116512299,   -1.1224670049587715   -0.41201643009092237     -1.177653297361303    0.75716880389631314    0.53709488212128065   0.054280843384546529 2.0072051576391914e-05,0.035700529813766479
IIWA_7,1714573324.1030414,-0.48123775635087213    1.139179253662949 0.024617874989866242  -1.2768068714519609  -1.9564932655188769  -1.8928599075563148 -0.90845763758420051,  0.077360994861519775  0.0010718165792162667  0.0095211323757902616 -0.0060744468176583671 -0.0001201364730281982   0.037795675236739365 7.9351460623379791e-05, -10.401804374694825    64.92457323455811  -7.4268427276611328  -16.056277580261231  -1.1876257514953612   1.3633756065368652 -0.22628363800048829, 14.831659568558653  1.4779028961788567  7.5446227679074145 -3.9557047364605227 0.58958599510540122  1.3317940294764341 0.40176503477856429,  0.55547714233398438 -0.052144583314657211   0.21279311180114746, -0.69995313882827759  -0.01284236554056406 0.0055097835138440132   0.71405208110809326, 0.0064629814587533474   0.041132077574729919 -0.0047248420305550098, 0.002098211320117116   0.60057157278060913 0.0023396173492074013,  0.24628454446792603  0.029657406732439995  0.065989978611469269  0.029657406732439995   0.22996066510677338 -0.023448050022125244  0.065989978611469269 -0.023448050022125244   0.18818242847919464,   -1.1216652726782073   -0.41091795249048602    -1.1761180659970449    0.75606702385044855    0.53721323262578835   0.054739298299466554 2.0136437406392815e-05,0.038374144583940506
