DesiredFlux,0.79,HitTime,1714572899.6687214,DesiredPos, 0.5600246787071228 0.30902063846588135  0.2199152410030365
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572899.0917501, -0.4639958122950375   1.1076121461618278  0.01473400529540304  -1.2999780108453411  -1.9512107151709774  -1.8585624939125871 -0.90394587649207725,-0.0023750443780033654 0.00023185969785186934   0.000200654662105014  0.0032185319986443922 3.9324115983890547e-06 1.4877944232826144e-06 1.7253186847363024e-05,-0.051081489562988282    64.776705764770512   -2.1710045242309568   -16.247318935394286   -1.3073567390441894    1.7174861373901367  -0.25932505416870116,-0.05175796850372974  0.21783614167200549   1.2568258363235612 -0.57726172605840076  0.86622395052272272 -0.14288716909964813  0.62344092391609651,   0.5588146448135376 -0.043988794088363647   0.21804678440093994,  -0.71269536018371582 -0.0089758904650807381  0.0013261267449706793    0.70141500234603882, 0.00082489929627627134 -0.00059374695410951972  0.00043149423436261714,0.00012059431173838675    0.86281657218933105 0.00018551414541434497,  0.24516327679157257  0.028786472976207733  0.066311687231063843  0.028786472976207733   0.23043051362037659 -0.022122306749224663  0.066311687231063843 -0.022122306749224663   0.19006101787090302,  -1.0842784082205625  -0.37303756301998447   -1.1440145298395876   0.68380399649292656   0.51230398160395652 0.0036634714595251694 6.197738322555324e-06,0.0010109811555594206
IIWA_7,1714572899.0967488,-0.46401930137244313   1.1076137040863514 0.014735683102229599  -1.2999612927727686  -1.9512107151709774  -1.8585623141436742 -0.90394593637868714,-0.0028395985986276969 0.00024780473922588343 0.00022763600274636978  0.0032435485018167225 3.1459292787112438e-06 8.3809920533005813e-06 1.1407085082157959e-05,0.080654983520507817   64.790148262023919  -2.1208231544494627  -16.286935806274414  -1.3117586135864259   1.7178198890686036 -0.25698879241943362,-0.010120777146062049   0.20927943105709673    1.2839881676398841  -0.58065082831125758    0.8696874352516073  -0.14936168292085517   0.62382355136009504,  0.55881780385971069 -0.044006951153278351   0.21804927289485931,  -0.71269756555557251 -0.0089706974104046822  0.0013107933336868882     0.7014128565788269,0.00078630301868543029 -0.0012012929655611515 0.00044441950740292668,0.00012000374408671632    0.86281603574752808 0.00018500354781281203, 0.24516314268112183 0.028786651790142059  0.06631181389093399 0.028786651790142059   0.2304282933473587 -0.02212410606443882  0.06631181389093399 -0.02212410606443882  0.19006286561489105,  -1.0843060572982566  -0.37309643711136431   -1.1440837814244986    0.6838767934391754   0.51227846887158535 0.0035938348261765896 6.186112955219869e-06,0.00137612025719136
IIWA_7,1714572899.101748,-0.46403236418014665   1.1076153220065681 0.014738019989014941  -1.2999472712338902  -1.9512109068081294  -1.8585624939125871 -0.90394587649207725, -0.0027941911870430899   0.0002629606000483043  0.00027558427361076344   0.0031557003565900604 -5.1487426540330193e-06 -4.8596287203402455e-07  1.1521132461458828e-05,0.030917743682861328   64.776705764770512  -2.1269857788085935  -16.306304054260252  -1.3135193634033202   1.7151498756408692 -0.25765629577636717,  23.882916071933757     3.21962673884823    14.59085765525694  -6.7276455904779455   1.3382026766622879 -0.57967612320063622  0.42834033290311768,  0.55882102251052856 -0.044024981558322906   0.21805143356323242, -0.71269983053207397 -0.008965320885181427 0.0012957985745742917   0.70141065120697021,0.00075786985689774156 -0.0016823388868942857 0.00044214571244083345,0.00011949816689593717    0.86281538009643555 0.00018452139920555055, 0.24516299366950989 0.028786774724721909 0.066311962902545929 0.028786774724721909   0.2304261177778244  -0.0221258495002985 0.066311962902545929  -0.0221258495002985   0.1900646835565567,  -1.0843311656989485  -0.37315437538154583   -1.1441495039301586    0.6839492801997693    0.5122528343468602 0.0035245028247032906 6.174484923349155e-06,0.0017372738802805543
IIWA_7,1714572899.1067481,-0.46403691818049742   1.1076164605066556 0.014739518026928543  -1.2999335493462281  -1.9512107151709774  -1.8585624939125871 -0.90394593637868714, -0.0024175129636650689  0.00025590848354018641  0.00028038893543268662   0.0030734357917573509   3.546491953775599e-06 -3.8877029762721966e-07  6.8214415734346028e-06,-0.15727721786499024   64.774017265319827  -2.1762867736816407   -16.32303117752075  -1.3143997383117676   1.7151498756408692 -0.25765629577636717, 23.891327375767531  3.2209540435810187  14.594378042140892 -6.7298531818826026   1.337132309864308 -0.5816610610710311 0.42892788387983327,  0.55882447957992554 -0.044039715081453323   0.21805363893508911,  -0.71270185708999634 -0.0089621255174279213  0.0012826216407120228    0.70140868425369263,0.00074511917773634195 -0.0019351390656083822 0.00044169052853249013,0.00011897672811755911    0.86281460523605347 0.00018395177903585136,  0.24516250193119049  0.028786949813365936  0.066312246024608612  0.028786949813365936   0.23042428493499756 -0.022127196192741394  0.066312246024608612 -0.022127196192741394   0.19006648659706116,   -1.0843549651218254    -0.3732003329810496    -1.1442025285832713    0.68401085711045084    0.51223286742096974  0.0034676023155100211 6.1649849669720425e-06,0.0019412317778915167
IIWA_7,1714572899.1117475,-0.46401450760748641   1.1076240704694436 0.014773313600816457   -1.299945293884931  -1.9512094686568258  -1.8585670479129379  -0.9039477939544267, -0.0010375874504920453  0.00050912529834912809   0.0015761341038627204   0.0019889670852900479  5.2697759630059735e-05 -0.00018247103027091901 -6.8845876323697712e-05,-0.50274939727783208    64.68932953262329  -2.6939472198486327  -16.022823333740234  -1.3610596084594726   1.7358424797058105 -0.25532003402709963,  23.884723987701594   3.2202414761840568   14.590784637816268  -6.7285572556790587   1.3373342030434747 -0.58133487763033531  0.42990719523787535,  0.55883115530014038 -0.044051848351955414   0.21805748343467712,  -0.71270465850830078 -0.0089647639542818069  0.0012684538960456848    0.70140576362609863,0.00071904610376805067 -0.0016574016772210598 0.00042135949479416013,0.00011846375855384395    0.86281412839889526  0.0001834357826737687,  0.24516041576862335  0.028787532821297646    0.0663132444024086  0.028787532821297646   0.23042255640029907 -0.022127952426671982    0.0663132444024086 -0.022127952426671982   0.19006945192813873,  -1.0843932672370826  -0.37323161671576344   -1.1442449438199276   0.68407278792737003   0.51222271175355161 0.0034211290937946615 6.157125476136116e-06,0.0016985848778858781
IIWA_7,1714572899.1167498,-0.46348678232812096   1.1076853698143492 0.015329381609154232   -1.300111035695771  -1.9512021822562646  -1.8585775940649432 -0.90395222807247444,   0.020278941214224529   0.0028592740349040516    0.023503627616601165  -0.0050384987653703129  0.00033361423014944993 -0.00056782290442641099 -0.00023244142296839247, -11.021503498077392   61.835487365722656  -9.3663086509704581  -13.170408630371094  -1.3232034873962402   1.9364272384643555 -0.31038906097412111, 23.848054973769642  3.2104397300326855  14.564194037848344 -6.7125606834482516  1.3417796163379334 -0.5701833824407283 0.42833652429169827,  0.55883002281188965 -0.044025566428899765   0.21805897355079651,  -0.71269047260284424 -0.0089783165603876114  0.0012827740283682942    0.70142000913619995, 0.00052894291002303362 -0.00027471207431517541  0.00039695797022432089,0.00011791942961281165    0.86281353235244751 0.00018290220759809017,  0.24515873193740845  0.028785958886146545  0.066314749419689178  0.028785958886146545   0.23042644560337067 -0.022124228999018669  0.066314749419689178 -0.022124228999018669   0.19006757438182831,    -1.084297303446391   -0.37313997302401702    -1.1440698514242342    0.68399092127080507    0.51224690638118631  0.0035412547783053583 6.1828826503074197e-06,0.00065568194258958101
IIWA_7,1714572899.1217489,-0.46294719262774975   1.1076862685498308 0.015741279421707971  -1.3002076884300049  -1.9511890476064457  -1.8585713023711559 -0.90394791383672968,   0.037806740986228118   0.0023233686471869001    0.035278814595430502  -0.0078969083816510816  0.00079227737687520474 -0.00020259057204924911 -1.3383708584221711e-05,  -20.14492638397217   62.167517047882079  -12.913339157104492  -13.681906452178955 -0.75800279617309574   1.6791046943664552  -0.2359624366760254,  23.848040511997755   3.2104546233683502   14.564179133868818  -6.7125686001808322   1.3417714983827294 -0.57018243639224209  0.42833652429169827,  0.55883002281188965 -0.044025566428899765   0.21805897355079651,  -0.71269047260284424 -0.0089783165603876114  0.0012827740283682942    0.70142000913619995, 0.00052894291002303362 -0.00027471207431517541  0.00039695797022432089,0.00011689119855873287    0.86281478404998779 0.00018194489530287683,  0.24515873193740845  0.028785958886146545  0.066314749419689178  0.028785958886146545   0.23042644560337067 -0.022124228999018669  0.066314749419689178 -0.022124228999018669   0.19006757438182831,    -1.084297303446391   -0.37313997302401702    -1.1440698514242342    0.68399092127080507    0.51224690638118631  0.0035412547783053583 6.1828826503074197e-06,0.00065568194258958101
IIWA_7,1714572899.126749, -0.4626224201242925   1.1077050838536657  0.01613891603986059  -1.3004272993918757  -1.9511762005868876  -1.8585775940649432 -0.90395294714812624,   0.043236292927272463   0.0026113070711480221    0.044128516402449171   -0.015101965180154543   0.0011477026838270002 -0.00041374020913127903 -0.00021203942272989028, -21.712321563720703   61.851618362426755  -12.713494052886963  -13.337679862976074  -1.4684653472900391   1.8693431510925294 -0.22394737625122071,  23.287965263955904   3.1973481509905177   14.114213939162047  -6.5854054806354769   1.3630010236330321 -0.41481667813848583  0.42956761210807454,  0.55883920192718506 -0.043511677533388138    0.2181079238653183,  -0.71249115467071533 -0.0092653669416904449  0.0015446926699951291    0.70161819458007812,0.00078144000144675374   0.020335083827376366  0.0022780331782996655,0.00011696724686771631    0.86281478404998779 0.00018174480646848679,  0.24511110782623291  0.028763443231582642  0.066346876323223114  0.028763443231582642   0.23049762845039368 -0.022050170227885246  0.066346876323223114 -0.022050170227885246   0.19004938006401062,   -1.0827782724414092     -0.371278136709563     -1.140884115880425    0.68234145445789096    0.51277957882334135  0.0056963471326554327 6.6183218905280228e-06,0.01874859631061554
IIWA_7,1714572899.1317494,-0.46245985404910933   1.1077049040847529 0.016705769855726454  -1.3007456004326328  -1.9511712150538794  -1.8585873012589935 -0.90395126934129966,   0.041091677349144699   0.0020818549004037435    0.057976965756593883   -0.024813613774404823   0.0011175834673898416 -0.00071927992931929542 -0.00010251926512058223, -18.733464172363281   61.137821758270263  -9.8461129760742185  -13.309507865905761  -0.7791317939758301   1.6000055465698242 -0.24897875213623047,  22.883174861688254   3.2329726554869183   13.805466287023366  -6.5315715311844018   1.3663196884681101 -0.30359564350978691  0.44113876782460537,  0.55886745452880859 -0.043053887784481049     0.218170166015625,   -0.7123560905456543 -0.0095459101721644402  0.0017651238013058901    0.70175105333328247,0.0017340003978461027  0.034579005092382431  0.004315563477575779,0.00011697028821799904    0.86283725500106812 0.00018174953584093601,   0.2450593113899231  0.028751019388437271  0.066376984119415283  0.028751019388437271   0.23055680096149445 -0.021984657272696495  0.066376984119415283 -0.021984657272696495   0.19004538655281067,    -1.081753359251536   -0.36959308020989567    -1.1382903493091234    0.68087316182374735    0.51332373483514715  0.0075359278950415387 6.9748216091625181e-06,0.031944382935762405
IIWA_7,1714572899.1367495, -0.4623065758526238   1.1077053235091887 0.017574446404382812  -1.3011615129387983  -1.9511550124643013  -1.8585865822924248 -0.90395156899251572,   0.039004469738736919   0.0016822608977569581    0.081128634551529466   -0.036487391266146751   0.0015421703570326025  -0.0005466652807064519 -9.4001460738964095e-05, -14.708780494689941   60.859562065124514  -10.255487308502197  -12.976726150512695  -1.2017117500305177   1.7164848823547363 -0.25198251724243165,  22.690061083902641    3.192291705137543   13.638706599122434  -6.4424762951665278   1.3897449253603038 -0.22008557922462899   0.4301583502615966, 0.55884796380996704 -0.04270346462726593  0.21820266544818878,   -0.7122005820274353 -0.0097080245614051819  0.0019550973083823919    0.70190614461898804,0.00058717333013191819    0.04167759045958519  0.0047578266821801662,0.00011358669871697202    0.86285597085952759 0.00017316844605375081,  0.24503698945045471  0.028730867430567741  0.066395118832588196  0.028730867430567741   0.23060750961303711 -0.021935524418950081  0.066395118832588196 -0.021935524418950081   0.19002397358417511,    -1.080518911527939   -0.36837168382497509    -1.1360616436215665    0.67967966535409374    0.51361381883907598   0.009003806074936449 7.2780403925776227e-06,0.038409397006034851
