DesiredFlux,0.83,HitTime,1714572926.7787204,DesiredPos,0.55636197328567505  0.3117414116859436 0.21991848945617676
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572926.200036,-0.46902133701425797   1.1395692803183137 0.024484190950394346  -1.2664969027462361  -1.9594145401995327  -1.8935976563767205 -0.90134242349749949, 0.00021840005370397399  7.3201511432979008e-07  2.7266412611202972e-05   0.0028015254812933156 -6.4381086888013995e-06 -2.0312962295531516e-06  0.00085792203747629713,-0.092753231048583989    65.451519126892094   -1.9826042938232422    -16.41635091781616   -1.2791847419738769    1.7565350837707518  -0.27367637634277342, 0.19360402359514262  -1.4967984446002371  0.48140934199632263 -0.48821931838392618  0.90663816244270412  0.70693795759694178  0.57985909817353343,   0.5582314133644104 -0.046430230140686035   0.21384024620056152, -0.70204901695251465 -0.018388155847787857  0.010624157264828682   0.71181190013885498, 0.00076374370837584138 -0.00028747681062668562  0.00045309436973184347,-0.00058094592532142997     0.90649527311325073   0.0019018326420336962,  0.24431504309177399  0.030370511114597321    0.0666913241147995  0.030370511114597321   0.23041340708732605 -0.022545116022229195    0.0666913241147995 -0.022545116022229195   0.18931663036346436,   -1.1440663325368305   -0.38390555022260742    -1.1596952620696044    0.74385288040534903    0.55657159373279086    0.07945778255891156 2.3733268683656661e-05,0.00085463555296882987
IIWA_7,1714572926.2050483,-0.46902145689656094   1.1395692803183137 0.024483471874742525   -1.266481922476183  -1.9594144443809567  -1.8935972968388946 -0.90133798927036857, 0.00016992475084423716  5.8561209146383215e-07 -6.9498959838909259e-06   0.0028404311871582035 -1.3177439125401124e-06  1.2756476054588243e-05  0.00086370671521794921,-0.087376232147216792    65.482436870574958   -1.9553126716613769   -16.460369663238524   -1.2879884910583497    1.7565350837707518  -0.27100636291503905, 0.11486537949814726  -1.4645563830605823  0.41949367959054584 -0.43411285090312252  0.92279963500862072  0.75603068947713026  0.58009736803143253,  0.55823498964309692 -0.046430665999650955   0.21384234726428986, -0.70205110311508179 -0.018391396850347519  0.010622339323163033   0.71180981397628784, 0.00075461639789864421 -0.00024739259970374405  0.00044603622518479824,-0.00058197142789140344     0.90649539232254028    0.001900883624330163,  0.24431338906288147  0.030371038243174553   0.06669200211763382  0.030371038243174553    0.2304130494594574 -0.022544873878359795   0.06669200211763382 -0.022544873878359795   0.18931818008422852,   -1.1440897378793835   -0.38390100159535478    -1.1597006573014212    0.74386507764234722    0.55657747380255529   0.079454679736912226 2.3732280141075535e-05,0.00083396013360470533
IIWA_7,1714572926.2100489,-0.46902115724534499   1.1395694000915335 0.024483951294871433  -1.2664679009373048  -1.9594145401995327  -1.8935977762590235 -0.90133397457675668, 0.00014792584931344716  5.2594184646359871e-06  1.3616888369227386e-05   0.0028332065048543636 -4.8869381685330973e-06 -8.9716243135021993e-06  0.00085155311664983054,-0.10619572830200195    65.52142011260986  -1.9764416694641114  -16.445403289794921  -1.2844669914245606   1.7595388488769532 -0.27367637634277342, 23.911001911877886  2.7371768532469547  13.165975936701622 -6.2895423351472779  1.3024593906757711  1.6848115691176644 0.43757344945944049,  0.55823498964309692 -0.046430665999650955   0.21384234726428986, -0.70205110311508179 -0.018391396850347519  0.010622339323163033   0.71180981397628784, 0.00075461639789864421 -0.00024739259970374405  0.00044603622518479824,-0.00058402487775310874     0.90649497509002686   0.0018988813972100616,  0.24431338906288147  0.030371038243174553   0.06669200211763382  0.030371038243174553    0.2304130494594574 -0.022544873878359795   0.06669200211763382 -0.022544873878359795   0.18931818008422852,   -1.1440897378793835   -0.38390100159535478    -1.1597006573014212    0.74386507764234722    0.55657747380255529   0.079454679736912226 2.3732280141075535e-05,0.00083396013360470533
IIWA_7,1714572926.2150486,-0.46899155624306499   1.1395785680879282 0.024516068952849711   -1.266478686744833  -1.9594133896784898  -1.8935877694137573 -0.90133085872770957, 0.0013023807706507471 0.00037092739056055282  0.0012955998298264889  0.0018351329027545267 4.2111291180406539e-05 0.00039309651119708694  0.0008058764552041995,-0.36698017501831054   65.389683639526368  -2.4676908683776855  -16.106458950042725  -1.3284857368469238   1.7148161239624022 -0.27267512130737304, 23.912353018063545  2.7379075410362006  13.166863511151028 -6.2905552821097306  1.3023992628326944  1.6840958629527727 0.43804175916455018,  0.55823898315429688 -0.046432994306087494   0.21384450793266296, -0.70205384492874146 -0.018394118174910545  0.010618989355862141   0.71180707216262817, 0.00076329009607434273 -0.00029104523127898574   0.0004437548341229558,-0.00058504665503278375     0.90649497509002686   0.0018979156157001853,  0.24431173503398895  0.030371649190783501  0.066692665219306946  0.030371649190783501   0.23041239380836487 -0.022544849663972855  0.066692665219306946 -0.022544849663972855   0.18931993842124939,   -1.1441191302470344   -0.38390277515087945    -1.1597161639773645    0.74388509950384929    0.55658151884863116   0.079443459515715631 2.3729707976372083e-05,0.00085119350114837289
IIWA_7,1714572926.2200651,-0.46854424504548986   1.1396492749756679 0.025021263995067277  -1.2666303470211018  -1.9594097464782092  -1.8935071155673608 -0.90133019953866778,  0.018934352519525747  0.0031250174220360835   0.021244281552563839 -0.0045983047285477197 0.00017941704416702631  0.0035406310648152303 0.00067106872583520697, -9.7780725021362311   62.496858230590817  -8.3618008804321295  -13.293661117553711  -1.3161604881286622   1.9210746612548828 -0.28802769851684568, 23.912616667692511  2.7385084818173642  13.166746144074684 -6.2909933502142827  1.3024809847201855  1.6840057156149504 0.43847633323328972,  0.55824267864227295 -0.046434558928012848    0.2138468325138092, -0.70205587148666382 -0.018397368490695953  0.010616237297654152   0.71180498600006104, 0.00075752160046249628 -0.00029537951922975481  0.00044755043927580118,-0.00058504659682512283     0.90649479627609253    0.001897915150038898,  0.24431006610393524  0.030372228473424911  0.066693343222141266  0.030372228473424911   0.23041190207004547 -0.022544732317328453  0.066693343222141266 -0.022544732317328453   0.18932159245014191,   -1.1441458621641587   -0.38390216856409864    -1.1597268809619976     0.7439024551905149    0.55658675062630891   0.079437483190503144 2.3728284226365304e-05,0.00084978999802842736
IIWA_7,1714572926.2250791,-0.46808596827147364   1.1396338752811792 0.025386483194942584  -1.2667141767122383  -1.9593956531190322  -1.8933680985652765 -0.90132912092519002,  0.033478552976269386  0.0018840261580802347   0.031604193237063358 -0.0070318314282988405 0.00070726800241419161  0.0083931849352240333 0.00057999951977841702, -17.547835914611817   63.435144538879392  -11.329544696807861  -13.665179328918457 -0.82843278884887694   1.6050118217468261 -0.23529493331909179, 23.881312672096229   2.724869626072608  13.146079588535018 -6.2765232222142053  1.3075479148802285  1.6890664396378834 0.43632695119750825,  0.55824410915374756 -0.046405185014009476   0.21384488046169281, -0.70204567909240723 -0.018407640978693962  0.010631382465362549   0.71181458234786987,0.00066253426484763622 0.00093858869513496757 0.00028036636649630964,-0.00058620551135390997      0.9064946174621582   0.0018969540251418948,  0.24430814385414124   0.03036988154053688  0.066695086658000946   0.03036988154053688   0.23041622340679169 -0.022540319710969925  0.066695086658000946 -0.022540319710969925   0.18931975960731506,   -1.1440145323033946   -0.38379060524817987    -1.1595152441419287    0.74379710294802948    0.55659870610647033   0.079537491993519893 2.3748666144740582e-05,0.0010827876394614577
IIWA_7,1714572926.2300484,-0.46778108957624598   1.1396435824752296 0.025762967622474889   -1.266910837794359  -1.9593935438886312  -1.8932430432154603  -0.9013298999965349,  0.038977990190121978    0.00189550868847846   0.040342731690942865  -0.013491908427466514  0.0006501836179715121    0.01171676194082789 0.00043283676202750341, -19.753749713897705   62.842330410003662  -11.476567306518554  -13.605313835144043   -1.425326976776123   1.7368437347412109 -0.23429367828369141, 23.415655365578193  2.6880070802063969   12.78107499819968 -6.1686573617226195  1.3278005866461682  1.7882451246753597 0.43380733064512023,  0.55826473236083984 -0.045960739254951477   0.21386715769767761, -0.70188057422637939 -0.018627353012561798  0.010840089060366154   0.71196848154067993,0.0013487619580700994  0.018528888002038002 0.0011172578670084476,-0.0005872477195225656    0.90649604797363281  0.0018958667060360312,  0.24426726996898651  0.030341949313879013  0.066724635660648346  0.030341949313879013   0.23048144578933716 -0.022472972050309181  0.066724635660648346 -0.022472972050309181   0.18930231034755707,   -1.1423140465822712   -0.38209577817926998    -1.1564644260948498    0.74224477832540714     0.5568872965904248   0.081203997497780733 2.4091754369237606e-05,0.017040472477674484
IIWA_7,1714572926.2350969,-0.46758724480103936   1.1396348340123539 0.026283921897007182  -1.2672065486022752  -1.9593858740392334  -1.8930095904836244 -0.90132882138305714,  0.038936183160362375  0.0011664684357553644   0.053112356334046026   -0.02262195905862275 0.00082694087028992115   0.018711518826100233 0.00038941394873225413, -18.262976768493651   62.557349468231202  -9.6489089965820316   -13.11670576095581  -0.7791317939758301   1.3376767272949219 -0.26333007431030275, 23.089898740860956  2.7244189939986247  12.537838096784791 -6.1467230595187461  1.3236346294787995  1.8445406098965633 0.44631121020471143,  0.55831360816955566 -0.045570626854896545   0.21390898525714874, -0.70179557800292969 -0.018842926248908043  0.010988104157149792     0.712044358253479,0.0030189224053174257   0.03042919933795929 0.0025701848790049553,-0.00058793736388906837     0.90651768445968628   0.0018972603138536215,  0.24421943724155426   0.03032292053103447  0.066753372550010681   0.03032292053103447    0.2305336594581604 -0.022412844002246857  0.066753372550010681 -0.022412844002246857   0.18930314481258392,   -1.1410791758388328   -0.38056108812334344    -1.1539739249197822     0.7408574784584232    0.55715227266350809   0.082476769900807767 2.4345168547768026e-05,0.028095617890357971
IIWA_7,1714572926.2400696, -0.4673942987613145   1.1396336955122661 0.027037250289897705  -1.2675651765662304  -1.9593780123781506  -1.8926468879394474 -0.90132822218970832,  0.038866788117284369 0.00088763474509386681   0.072623020782857761  -0.032442685805103733 0.00097601913954383738   0.029477316827961359 0.00033549889293888195, -15.19405464553833  61.980666336059571 -10.107584323883056 -13.263728370666504 -1.1823435020446778  1.4978775329589844 -0.2656663360595703, 22.911686813982374  2.6849099323059069  12.393496858910439 -6.0790864817262467  1.3443736692706982   1.891974286098737 0.43763246608292872,  0.55831921100616455 -0.045245889574289322   0.21392308175563812, -0.70168477296829224 -0.018970787525177002  0.011132153682410717   0.71214795112609863,0.0026212963275611401  0.037333469837903976 0.0026242611929774284,-0.00059286248870193958     0.90653502941131592   0.0018854764057323337,  0.24419564008712769  0.030296675860881805   0.06677275151014328  0.030296675860881805   0.23058255016803741 -0.022363109514117241   0.06677275151014328 -0.022363109514117241   0.18928709626197815,   -1.1396072591605133   -0.37933156726044359    -1.1516491906995441    0.73961433651348329    0.55725392396954732    0.08356051110691709 2.4566587875085588e-05,0.034349150955677032
IIWA_7,1714572926.2450526,-0.46711932071958273   1.1396248271670877 0.027945354917187398  -1.2680259699959449  -1.9593856822275484  -1.8920231688967237 -0.90132756300066641,  0.042092552163098138 0.00035537398893762957   0.094422601717873894  -0.044385885832663036 0.00047402133572235858   0.048530615171314087 0.00029476667602739375, -14.785402729034423   61.362311462402346   -10.43156229019165  -13.343842487335206   -1.322323112487793   1.1714683914184569 -0.25431877899169919, 22.797731582802662   2.649048065681789  12.250001364768256 -6.0184690956579354  1.3573067037253899  1.9238125451461445 0.42446549271213707,  0.55832219123840332 -0.044921364635229111   0.21394026279449463,  -0.7015494704246521 -0.019052820280194283  0.011236468330025673   0.71227741241455078,0.0021969431545585394  0.042849376797676086 0.0027953335084021091,-0.00060551497153937817     0.90655124187469482   0.0018645108211785555,  0.24417713284492493  0.030253753066062927  0.066794641315937042  0.030253753066062927    0.2306363582611084 -0.022308098152279854  0.066794641315937042 -0.022308098152279854   0.18926602602005005,    -1.137461383376781   -0.37808261922656072    -1.1488273943385252    0.73826714147973149    0.55710095393468606   0.084458185298785793 2.4757338401570905e-05,0.039365019649267197
