DesiredFlux,0.84,HitTime,1714572937.3337188,DesiredPos, 0.5565645694732666 0.31183969974517822 0.21988695859909058
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572936.7505004,-0.48467758835813191   1.1335225198205201 0.022183579306391796   -1.284233615465503  -1.9571473166604876  -1.8895978614407309 -0.91030440657223466, 2.6008766538773932e-05  4.4429522002996124e-06 -0.00053263450173428968  0.00017004587532550179  -4.583737951487895e-05 -2.0054642934473328e-05  5.4616758149145135e-05, 0.58474863052368165   65.075129203796394  -1.8769593048095703  -16.274610557556151  -1.2254818725585936   1.8536568222045899 -0.25198251724243165,-0.096112854573174686   -1.6923173030092797  -0.12039474357876127   -0.5121726886517195  0.081240659315566593  -0.14718848412530494   0.46137379275374063,  0.55421483516693115 -0.053784824907779694   0.21334709227085114, -0.70152413845062256 -0.010556695982813835 0.0038998487871140242   0.71255683898925781,-1.2479094948503189e-05 -0.00020449435396585613 -8.5672378190793097e-05,0.00081766373477876186    0.91721916198730469  0.0022756289690732956,  0.24681375920772552  0.029486645013093948  0.065655305981636047  0.029486645013093948   0.22982819378376007 -0.023710813373327255  0.065655305981636047 -0.023710813373327255   0.18808466196060181,   -1.1165086662900947   -0.41829726264008826    -1.1854469080381236    0.75214086043740025    0.52975719007886113   0.040798157703747506 1.7279567998684797e-05,0.00020337017485871911
IIWA_7,1714572936.7554784,-0.48467734870260898   1.1335223999382169 0.022181482075129367  -1.2842329563855441  -1.9571477001093243  -1.8895978614407309 -0.91030380737888583, 3.0393234148087436e-05 -1.2409303675841237e-06 -0.00050999685188458628  0.00016239989861365341 -5.2007857079212424e-05 -1.6043714347578664e-05  6.7661140472394718e-05, 0.60760087585449218   65.095292949676519  -1.8743181800842286  -16.273730182647704  -1.2193192481994628   1.8529893188476563 -0.25298377227783203,-0.09626464529505703  -1.6923193837484598 -0.12031946385584111 -0.51219799560309764 0.081310523499481091 -0.14729178557505168  0.46138432585902689,  0.55421477556228638 -0.053785655647516251    0.2133466899394989, -0.70152509212493896 -0.010556302033364773 0.0038998571690171957   0.71255588531494141, -1.087000964616891e-05 -0.00019685270672198385  -8.463291305815801e-05,0.00081778399180620909    0.91721916198730469   0.002275936072692275,  0.24681383371353149   0.02948678657412529   0.06565520167350769   0.02948678657412529   0.22982801496982574 -0.023710977286100388   0.06565520167350769 -0.023710977286100388   0.18808472156524658, -1.1165156397270337  -0.4183005351023894   -1.185455968122362  0.75214379068810899  0.52975799971299864 0.040794608071159644 1.72787295582566e-05,0.00019648708985187113
IIWA_7,1714572936.7604752,-0.48467692927817313   1.1335223999382169 0.022179324848173903  -1.2842322373098922     -1.9571477959279  -1.8895979813230339 -0.91030368760566582, 4.1091564752433177e-05 -9.9274429406729888e-07 -0.00049428655972622894  0.00015868294496738426 -4.5439028692989164e-05 -1.7630263597004961e-05  5.8919841178262485e-05, 0.61701062393188477   65.119489444732665  -1.8611125564575195  -16.279892807006835  -1.2246014976501465   1.8539905738830567 -0.25231626892089842, 24.917373082775779  2.6868654413003878  13.685303228309534 -6.4428332197508578 0.51836468822540227  1.0924117490260565 0.34610893899799733,  0.55421489477157593 -0.053786430507898331   0.21334637701511383, -0.70152592658996582 -0.010555967688560486 0.0038998257368803024   0.71255511045455933, -5.315842372510815e-06 -0.00018841278506442904 -8.0175523180514574e-05,0.0008178359130397439   0.91721904277801514 0.0022762308362871408,  0.24681389331817627  0.029486929997801781  0.065655119717121124  0.029486929997801781   0.22982785105705261 -0.023711128160357475  0.065655119717121124 -0.023711128160357475   0.18808479607105255,   -1.1165226745291079   -0.41830356841909833    -1.1854646680049541    0.75214700811088164      0.529758837422456   0.040791372793336222 1.7277979047491954e-05,0.00018758601800072938
IIWA_7,1714572936.7654958,-0.48464924573824258   1.1335315678255284 0.022211802153061171  -1.2842555466183849  -1.9571467413999661  -1.8895851581708534 -0.91030440657223466,  0.0011402148490237581  0.00036592129702611308  0.00090366294770972554 -0.00080542598373420219  5.8298944001536652e-06  0.00049882187634403953  1.8377210189184678e-05, 0.40596341705322264    64.99716271972656  -2.3822945022583006  -15.979684963226319  -1.2606968688964844   1.8069315872192382 -0.24931250381469727, 24.917140767725353  2.6869816415371988  13.685141978656006 -6.4427957415536978 0.51845879178446697  1.0923641089302283 0.34603253606129625,  0.55421483516693115 -0.053787101060152054   0.21334607899188995,  -0.7015267014503479 -0.010555513203144073 0.0039000243414193392   0.71255433559417725,-5.2332356972328853e-06 -0.00017762149218469858 -7.5677795393858105e-05,0.00081790797412395477    0.91721898317337036  0.0022765134926885366,  0.24681393802165985  0.029487054795026779  0.065655030310153961  0.029487054795026779   0.22982771694660187 -0.023711260408163071  0.065655030310153961 -0.023711260408163071   0.18808484077453613,   -1.1165287361718512   -0.41830618717764168    -1.1854722858766209    0.75214930883671371    0.52975963805845794   0.040788548584913542 1.7277264952042515e-05,0.0001768813090166077
IIWA_7,1714572936.770504,-0.48421343931476424   1.1336010164399608 0.022765293510007611  -1.2844216479670512  -1.9571452074300866  -1.8895200239012491 -0.91030338795444987,  0.018344428818352868  0.0030706816149155235   0.022862584636025415 -0.0072883947336368259 6.6022710702665215e-05  0.0030044282852474545 5.5446479542830464e-05, -8.4284457778930673    62.01964957809448  -8.4260682487487788   -13.06212251663208  -1.3152801132202148   2.1320057220458986 -0.26466508102416991, 24.916863090624179  2.6871236576642845  13.684954102594599 -6.4428214066663649 0.51846844881779375  1.0923293965374055  0.3460415874258827,  0.55421489477157593 -0.053787697106599808   0.21334579586982727, -0.70152741670608521 -0.010555233806371689 0.0039000539109110832   0.71255362033843994,-3.5729208320844918e-06 -0.00016587466234341264 -7.2201881266664714e-05,0.00081789877731353045    0.91721892356872559  0.0022767125628888607,  0.24681401252746582  0.029487177729606628  0.065654948353767395  0.029487177729606628   0.22982758283615112 -0.023711390793323517  0.065654948353767395 -0.023711390793323517   0.18808488547801971,   -1.1165347383537139   -0.41830863065595025    -1.1854798121930799    0.75215154911223436    0.52976044163433045    0.04078594829071136 1.7276652997111341e-05,0.000165708945132792
IIWA_7,1714572936.7754755,-0.48375270588074276   1.1335819614806029  0.02317952831842977  -1.2845187202348038  -1.9571346612780813  -1.8894484780555543 -0.91030338795444987,  0.033104880415541348  0.0016943469176146282   0.034859460045706669 -0.0097136064970168509 0.00047466424877180792  0.0052653764559898904 4.4357183634264373e-05, -16.253323429107667   62.850395908355715  -11.165794963836669  -13.404588356018067 -0.67788867950439458   1.6951247749328613 -0.22361362457275391, 24.412497689738661  2.6522559476213097  13.270663245069098 -6.3232529734852605 0.53992438870131365  1.2082097446913715 0.34168505362552193,  0.55423682928085327 -0.053302183747291565   0.21337401866912842, -0.70133382081985474  -0.01079320814460516 0.0041306279599666595   0.71273928880691528,0.0008768366533331573  0.019073000177741051 0.0011200787266716361,0.00081795844016596675    0.91721898317337036  0.0022769244387745857,  0.24677056074142456  0.029457809403538704  0.065688401460647583  0.029457809403538704   0.22990059852600098 -0.023637348785996437  0.065688401460647583 -0.023637348785996437   0.18806304037570953,   -1.1147127311117444   -0.41637795016224999    -1.1821260108320075    0.75037812255285274    0.53011029160732193   0.042683728024073275 1.7637661997582654e-05,0.017515262588858604
IIWA_7,1714572936.7804275,-0.48341648838071555   1.1335827405519476 0.023612039014864954   -1.284732938238369  -1.9571384002969379  -1.8894451224419011 -0.91030410703010178,  0.039932604333521637  0.0013866403878824919    0.04518799589397271  -0.016339605340218936  0.0002301706447562443  0.0043465257109185727 6.7227208309499707e-06,-19.455326274871826  62.261614528656004 -11.767971401214599 -13.141356258392333 -1.4561400985717774  1.9794812049865722 -0.2249486312866211, 24.066295417685186  2.7101882555163019  12.990738360670148 -6.2983618249607884  0.5317490490330774  1.2932806021082461 0.35595306535488636, 0.55428111553192139 -0.05289464071393013  0.21343643963336945, -0.70121759176254272 -0.011038015596568584  0.004299570806324482   0.71284890174865723,0.0024568031076341867  0.031560696661472321 0.0033961380831897259,0.00081795832375064492    0.91721880435943604  0.0022769242059439421,  0.24671955406665802  0.029443332925438881  0.065720073878765106  0.029443332925438881   0.22995659708976746 -0.023575279861688614  0.065720073878765106 -0.023575279861688614   0.18806254863739014,   -1.1136207041975155   -0.41472471436243552    -1.1796178054854778    0.74891204130445033    0.53049883245659402   0.044212131053100734 1.7919725259218922e-05,0.029155980795621872
IIWA_7,1714572936.7854609,-0.48321017999115429   1.1335727935932913 0.024183267062168633  -1.2850344613199436  -1.9571359076177002   -1.889442486012983 -0.91030410703010178,  0.040198419049267735 0.00071143396405383744   0.058999518607325302  -0.025132607535159397  0.0002838436853124635  0.0035826777254575797 5.3781766647599771e-06, -18.793955410003662   62.261614528656004  -10.067967453002929  -12.567351818084717 -0.59601381301879885   1.6627508621215821 -0.23929995346069335,  23.84389943476037  2.6995469558852139  12.792810358571945 -6.2206380931619565 0.54874031599717554  1.3877033484632526 0.34959732677984179,  0.55427438020706177 -0.052532851696014404   0.21348442137241364,  -0.7010577917098999 -0.011219527572393417 0.0044874269515275955   0.71300208568572998, 0.001675300532951951  0.039718810468912125 0.0046422644518315792,0.00081799074541777372    0.91724342107772827  0.0022771707735955715,  0.24671955406665802  0.029443332925438881  0.065720073878765106  0.029443332925438881   0.22995659708976746 -0.023575279861688614  0.065720073878765106 -0.023575279861688614   0.18806254863739014,   -1.1136207041975155   -0.41472471436243552    -1.1796178054854778    0.74891204130445033    0.53049883245659402   0.044212131053100734 1.7919725259218922e-05,0.036652833223342896
IIWA_7,1714572936.7904794,-0.48304120244896398   1.1335727935932913 0.024980937071869165  -1.2853932090571187  -1.9571282377683024  -1.8894273258649339 -0.91030392726118881,  0.038917836927026481 0.00056914717124306995   0.079106415273881542  -0.034455995515133397  0.0005338689241626822  0.0034725481023317665 1.1493297850923365e-05, -15.745197032928466   62.043846073150632  -10.540728778839112  -12.633379936218262  -1.0828611373901367   1.8126053657531738 -0.23796494674682617, 23.699107059105192  2.7009654976905062  12.595511395373302 -6.1448374274341768 0.55556065457243875  1.4895732050643091  0.3392589303123823,  0.55425000190734863 -0.052184883505105972   0.21355202794075012, -0.70084464550018311 -0.011372486129403114 0.0046513820998370647   0.71320807933807373,0.00034355258685536683   0.045690573751926422  0.0064278882928192616,0.00080605864059180021    0.91726231575012207  0.0022553254384547472,  0.24666421115398407  0.029395353049039841  0.065766304731369019  0.029395353049039841   0.23007132112979889 -0.023467313498258591  0.065766304731369019 -0.023467313498258591   0.18802101910114288,   -1.1106953849617796   -0.41200087252590833    -1.1745975689869681    0.74622268049395757    0.53095204029762755   0.047248001582289589 1.8507621213359471e-05,0.042253274470567703
IIWA_7,1714572936.7954779,-0.48279726356081587   1.1335683594752437 0.025927031735571628   -1.285847471137523  -1.9571405095273389  -1.8894020990940918 -0.91030380737888583,  0.040891825067545573 0.00027795301508946256    0.10112891876720374  -0.045735279628275595 -6.377522213019246e-05  0.0037871093155472601 1.3989930399680723e-05, -14.597207767486573   61.593522415161132  -10.781951503753662  -13.159844131469727  -1.2580557441711426   1.8626681175231934 -0.23629618835449218, 23.529823616918392  2.7240376660678587   12.32639982285602 -6.0713680703838833 0.54877790749008082  1.6111451186814396 0.33175252825303286,  0.55422693490982056 -0.051772873848676682   0.21364761888980865, -0.70055794715881348 -0.011555987410247326 0.0048185191117227077   0.71348565816879272,-0.00068085006205365062     0.05302748829126358   0.0089839966967701912,0.00078157841926440597    0.91728097200393677  0.0022078773472458124,  0.24663113057613373   0.02935359813272953  0.065799236297607422   0.02935359813272953   0.23014475405216217 -0.023398322984576225  0.065799236297607422 -0.023398322984576225   0.18799331784248352,   -1.1084089693618182   -0.41040419938020989     -1.171143563236221    0.74466024153441168    0.53103005750188004   0.049040216695495076 1.8870482065835859e-05,0.049253299832344055
