DesiredFlux,0.97,HitTime,1714573130.1337354,DesiredPos, 0.5573878288269043  0.3154335618019104 0.21981599926948547
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714573129.5996001,-0.46360446737067218   1.1260349557731184 0.030674282795100278  -1.2665117631339859  -1.9604985853164303  -1.8779834097628711 -0.89049849759614863, -0.0024998557347339781 -1.6029954810590695e-05   0.0038302996024580441   -0.000104753455956178 -5.2740486192652612e-06  8.6868029221428522e-05    0.034620086316450652,-0.0067212486267089842     65.454207626342779     -2.681621971130371    -16.329193801879882    -1.2800651168823243     1.6430595130920409   -0.28635894012451174,-0.060322138041708495    1.0385564498255881  -0.11826233311915471   -2.0372711409128881   0.44426460562179115   0.37711060350071024   0.66902012022550039,  0.56249386072158813 -0.041946735233068466   0.21913312375545502, -0.70713067054748535 -0.019443515688180923 0.0089431088417768478   0.70675891637802124,0.00015050999354571104 9.2221518571022898e-05 0.00072676711715757847,-0.0014868634752929211     1.0595575571060181 0.00020187142945360392,  0.24191944301128387  0.030007459223270416  0.067699603736400604  0.030007459223270416    0.2308214008808136 -0.021256456151604652  0.067699603736400604 -0.021256456151604652   0.19151170551776886,   -1.1263520451274545   -0.35692282509991458    -1.1221054577363887      0.718858178669457    0.54949328456821434   0.065148237844425694 1.8741829421742295e-05,0.00068468041718006134
IIWA_7,1714573129.6046491, -0.4636256195612925   1.1260349557731184 0.030690641220763829  -1.2665116433607659  -1.9604985853164303  -1.8779824510316965 -0.89021572971363294, -0.0028459722126000461 -1.2823963848472556e-05   0.0037185767085084588 -7.9011835964595703e-05 -4.2192388954122089e-06  0.00010784367036401129    0.039006784353788071,0.044360240936279299   65.482436870574958  -2.6393639755249021  -16.357365798950195  -1.2791847419738769   1.6443945198059082 -0.27901640319824217,0.018848008699337448   1.0195701444063152 -0.06061998871271615  -2.0962462040812229  0.42474319051959408  0.33173256919236871   0.6690201202255005,  0.56249386072158813 -0.041946735233068466   0.21913312375545502, -0.70713067054748535 -0.019443515688180923 0.0089431088417768478   0.70675891637802124,0.00015050999354571104 9.2221518571022898e-05 0.00072676711715757847,-0.0014871299499645829     1.0595576763153076 0.00019998422067146748,  0.24191944301128387  0.030007459223270416  0.067699603736400604  0.030007459223270416    0.2308214008808136 -0.021256456151604652  0.067699603736400604 -0.021256456151604652   0.19151170551776886,   -1.1263520451274545   -0.35692282509991458    -1.1221054577363887      0.718858178669457    0.54949328456821434   0.065148237844425694 1.8741829421742295e-05,0.00068468041718006134
IIWA_7,1714573129.6096244,-0.46364641221408687   1.1260347760042055 0.030709636293511752  -1.2665117631339859  -1.9604982976861696  -1.8779826308006093  -0.8899245730151506, -0.0031084838818546696 -1.7449927593452538e-05   0.0037346642767236908 -6.8000397572023276e-05  8.1298193124784875e-06  7.9084179776534551e-05    0.042851695422324143,0.053769989013671873   65.525452861785894  -2.6490480995178221  -16.364408798217774  -1.2915099906921386   1.6443945198059082 -0.28569143676757813, 28.445674623114169  3.4722331418512247  16.462029950982508 -7.6792906929455347  1.7824555034102607   1.066095460643731 0.52741207965482151,  0.56249427795410156 -0.041950874030590057   0.21913647651672363, -0.70712840557098389 -0.019346142187714577 0.0090326694771647453   0.70676273107528687, 0.00013685492740478367 -9.1744441306218505e-05  0.00071505294181406498,-0.0014872263418510556     1.0595576763153076 0.00019890013209078461,     0.24191914498806  0.030006468296051025  0.067700162529945374  0.030006468296051025    0.2308214008808136 -0.021256374195218086  0.067700162529945374 -0.021256374195218086   0.19151206314563751,    -1.126314914231763    -0.3569346252412231     -1.122080984244711    0.71887621707666938    0.54947506342628571   0.065136486193217991 1.8714711558232011e-05,0.00067176623269915581
IIWA_7,1714573129.614599,-0.46366450833318695   1.1260347760042055 0.030730488832916111  -1.2665121825584218  -1.9604983935047455  -1.8779823312584765 -0.88961651847518286, -0.0032106318694871809 -1.3959942074762031e-05   0.0038218329975533427 -7.1177295491581846e-05   2.671112411481783e-06  7.5249029136248844e-05    0.046603537936568885,0.017475246429443359   65.561747604370112  -2.6974687194824218  -16.358246173858642   -1.282706241607666   1.6453957748413086 -0.28802769851684568, 28.453124223913136  3.4498961936336014  16.475730720947652  -7.658273997420241  1.7890694589309268  1.0650841963232967 0.50243576964863135,  0.56249463558197021 -0.041957225650548935   0.21913948655128479,  -0.7071269154548645 -0.019243394955992699 0.0091248853132128716   0.70676583051681519, 0.00012466673797462136 -0.00032753703999333084  0.00069245131453499198,-0.0014872263418510556     1.0595576763153076 0.00019890013209078461,  0.24191908538341522  0.030005505308508873  0.067700594663619995  0.030005505308508873   0.23082110285758972 -0.021256592124700546  0.067700594663619995 -0.021256592124700546   0.19151243567466736,   -1.1262817218522514   -0.35695433137128418    -1.1220679905257214    0.71890123114393134    0.54945374123516189    0.06511494443373067 1.8684484182074357e-05,0.00071048876270651817
IIWA_7,1714573129.6196272,-0.46365186505900241   1.1260395697691623 0.030779564218989846  -1.2665346530180428  -1.9604948461230407  -1.8779741219932566 -0.88928006142871574,-0.0020627745282080327 0.00018058264461089167  0.0050204818409920584 -0.0009557602212334486 0.00014403215812226728 0.00038856983210209286   0.050741112207939913, -0.2164242057800293   65.524108612060544  -3.1816749191284179  -16.098535575866698  -1.3469736099243164   1.6247031707763673 -0.28035140991210938, 28.458053804483345  3.4294156352313863  16.486437942801096 -7.6379601567841657  1.7949982112767293  1.0652005921300105 0.47856676748959415,  0.56249505281448364 -0.041962463408708572   0.21914330124855042, -0.70712435245513916  -0.01913878507912159 0.0092203766107559204   0.70677000284194946, 0.00011599797289818525 -0.00047155865468084812  0.00070663989754393697,-0.0014873385662212968     1.0595575571060181 0.00019792233069892973,  0.24191878736019135  0.030004492029547691  0.067701175808906555  0.030004492029547691   0.23082098364830017 -0.021256620064377785  0.067701175808906555 -0.021256620064377785   0.19151285290718079,   -1.1262448806901304   -0.35697006405843723    -1.1220468983097476     0.7189238107763174    0.54943366524007331   0.065100298666465051 1.8655083700025443e-05,0.00078494386980310082
IIWA_7,1714573129.6246014,-0.46311089709393749    1.126054849581348 0.031342523114463727   -1.266729816171333  -1.9604624407693521  -1.8778988611051661 -0.88895157377377942,   0.01998849898003038 0.00075565860311840372   0.026534741291748903 -0.0085711343085930203  0.0014114398740436959  0.0033212913893021327   0.053732395963804566,  -11.10887973022461   63.780616718292237  -9.9966570854187005  -13.625562458038329  -1.4130017280578613   1.7124798622131348 -0.32307162475585938, 28.459697856903848  3.4081143588588039  16.495441643938715 -7.6165126997063775  1.8013330968098997  1.0657870115727262 0.45412383502376463,  0.56249558925628662 -0.041965503245592117   0.21914719045162201, -0.70712149143218994 -0.019029516726732254 0.0093229794874787331   0.70677447319030762, 0.00011481992987683043 -0.00049887556815519929  0.00072107510641217232,-0.0014874301850795746     1.0595575571060181 0.00019704396254383028,  0.24191825091838837  0.030003398656845093  0.067701883614063263  0.030003398656845093    0.2308211624622345 -0.021256320178508759  0.067701883614063263 -0.021256320178508759   0.19151324033737183,   -1.1262020457909472   -0.35697747314511474    -1.1220123781603419    0.71893901031661045    0.54941596235913437   0.065093876323807365 1.8625655684445519e-05,0.00080956704914569855
IIWA_7,1714573129.6295993,-0.46255369058551205   1.1260354351932473 0.031947486849045359  -1.2669056846006594  -1.9604380888884305  -1.8777395307613332 -0.88864981103668195,   0.038279059521042116 -0.00017204864153382135    0.045426342416664392   -0.013891644619933885   0.0021032271360963946   0.0090302468647607131    0.055056426254942753, -21.991925506591798    63.54940576553345  -14.963732318878174  -13.502309970855713  -1.0423638916015625   1.7088085937499999 -0.24230371856689453, 28.429640888586235  3.3755890881176756  16.483979029296119  -7.580654725347947  1.8114873714582136   1.072815310169132 0.42552013365584562,  0.56249469518661499 -0.041938383132219315   0.21914954483509064, -0.70710766315460205 -0.018918940797448158  0.009452025406062603   0.70678961277008057,5.6129367294488475e-05 0.00068577640922740102 0.00067089207004755735,-0.0014875250635668635     1.0595575571060181 0.00019592935859691352,  0.24191690981388092  0.029999800026416779  0.067703776061534882  0.029999800026416779   0.23082567751407623 -0.021251913160085678  0.067703776061534882 -0.021251913160085678   0.19151103496551514,   -1.1260228626532864   -0.35688100859143645    -1.1217769730365035    0.71884147112299956    0.54940851984763839   0.065190964104289151 1.8615485153361533e-05,0.00087977765360847116
IIWA_7,1714573129.6346254,-0.46228548365769651   1.1260352554243345 0.032559101706157105   -1.267200316795098  -1.9604194894381908  -1.8775742683706218 -0.88836944003664464,   0.041351524729455282 -0.00014482966974173158     0.06080566821780136    -0.02289860347349084   0.0024265597184668121    0.013834693120262632    0.055259981005446407, -23.904792865753173   63.072197113037106  -14.911790199279785  -12.761034297943114  -1.3047156143188476   1.8279579429626465 -0.24096871185302735,  27.87051035700749  3.3680685092937268  16.049765606941413 -7.4556025088286768  1.8223738482433078  1.2093420638465664 0.40689365255073134,0.56251764297485352 -0.0414152592420578  0.2192097008228302, -0.70692437887191772 -0.019076017662882805 0.0097992280498147011   0.70696389675140381,0.00095192994922399521    0.02147328108549118  0.0029460315126925707,-0.0014876921195536852     1.0595593452453613 0.00019479801994748414,  0.24186557531356812  0.029968664050102234  0.067737549543380737  0.029968664050102234   0.23089830577373505 -0.021174155175685883  0.067737549543380737 -0.021174155175685883   0.19149826467037201,   -1.1241449682630744   -0.35497523024563549    -1.1183713387667993    0.71707807781251631    0.54976274170570605   0.067135580748001189 1.8996412443073041e-05,0.019860977306962013
IIWA_7,1714573129.6396251,-0.46223652804484266   1.1260226720367599 0.033329447713753041  -1.2675898041437237  -1.9604060669835783  -1.8773010879089365  -0.8881274186108461,   0.035039444297717846 -0.00061919923877714472    0.079458374878078525    -0.03389837672381868   0.0024781459592712078    0.021994972963623731    0.053888841836298898, -19.453982025146484   62.332859764099119  -11.108570594787597  -12.829703540802003 -0.95520677566528323   1.2512350425720216 -0.29537023544311525, 27.403549366945743  3.3973211667734713  15.672806226030474 -7.3846801138660947  1.8213114291084529  1.3137510383221127 0.40173512389101035,  0.56256347894668579 -0.040872734040021896   0.21928329765796661, -0.70676231384277344 -0.019260454922914505  0.010109487920999527   0.70711660385131836,0.0025696817319840193  0.038880731910467148 0.0053078122437000275,-0.0014871039893478155     1.0595874786376953 0.00019406950741540641,  0.24180375039577484  0.029933765530586243  0.067776210606098175  0.029933765530586243   0.23097281157970428 -0.021089857444167137  0.067776210606098175 -0.021089857444167137   0.19149449467658997,   -1.1221098021323428   -0.35294827030885045    -1.1147213924989074    0.71522620235064949    0.55006588727124495   0.068991705367338341 1.9358573410954705e-05,0.035999447107315063
IIWA_7,1714573129.6446254,-0.46218823162103073   1.1260054146574485 0.034501145381897545  -1.2680958380348131  -1.9603888096915334   -1.876951088634637 -0.88789863976166383,  0.029963412390651607 -0.0011856545634758298    0.11043460662824299  -0.047360057022630381  0.0026728084492144278   0.031595949342877461   0.052262227436329724,-14.855303714752198  61.563948921203611 -10.350567798614502 -12.851712913513184 -1.2281229972839356  1.4838599624633788 -0.3013777656555176,  27.20727069075793  3.3556423203899945  15.466107297393631 -7.2938641261756949  1.8366404358993358  1.3828631576686625 0.37710108803809012,  0.56256365776062012 -0.040473572909832001   0.21932701766490936, -0.70658183097839355 -0.019309530034661293  0.010355434380471706   0.70729207992553711,0.0020370904821902514  0.047070935368537903 0.0060053193010389805,-0.0014985736925154924     1.0596164464950562 0.00017711808322928846,  0.24177493155002594  0.029889591038227081   0.06780320405960083  0.029889591038227081   0.23103529214859009 -0.021025268360972404   0.06780320405960083 -0.021025268360972404   0.19147405028343201,   -1.1198470019424533   -0.35149548676294273    -1.1115306064146679    0.71375059232003935    0.55004927800705872   0.070319776560801017 1.9629521119668425e-05,0.043478172272443771
