DesiredFlux,1.03,HitTime,1714573156.0837362,DesiredPos,0.55545800924301147 0.31175994873046875 0.21971052885055542
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714573155.5506661,-0.48369805776745051   1.1469667827583183 0.022271303808837083  -1.2649496193860408  -1.9589719868349482  -1.9008185714208301 -0.90577814463018724,-2.8167072150944795e-05 -1.9121750123625672e-05 -0.00034053771263571056  2.0151994510283096e-05 -3.9461923266812016e-05 -7.8709372399681921e-06  1.9718390938479623e-06, 0.43688116073608396   65.377585391998295  -1.9394659233093261  -16.160161819458008  -1.1990706253051757   1.8630018692016601 -0.24130246353149415,-0.23024327836032832  -2.3341589854987017 -0.11762423366035886 -0.61181787538275767   0.1555352736966237 -0.14350820244685539  0.47261408054542797,  0.55592679977416992 -0.055182989686727524   0.21118605136871338, -0.69965618848800659 -0.013792372308671474 0.0070526590570807457   0.71431171894073486,-3.4747041354421526e-05  -0.0001583905250299722 -6.6094573412556201e-05,-0.00025104946689680219      1.1245421171188354   0.0045605720952153206,  0.24605661630630493  0.030315658077597618  0.065984450280666351  0.030315658077597618   0.22949354350566864 -0.023897424340248108  0.065984450280666351 -0.023897424340248108   0.18834009766578674,  -1.1512234971968738  -0.42192412772745769   -1.1989787137682839   0.78094872873180066   0.54803795572588854  0.060803252337038316 2.143814814559164e-05,0.00016038661124184728
IIWA_7,1714573155.555618,-0.48369739868749173   1.1469666029894054 0.022270045426446394   -1.264949259957298  -1.9589720826535242  -1.9008185714208301 -0.90577808474357735, 3.8295406302756751e-06  -2.248815661357503e-05 -0.00032276546573613112  3.0498745318980132e-05  -3.540228165195062e-05 -6.2967497919745538e-06  3.9729356708108305e-06, 0.46511040496826173   65.348011898040767  -1.9183369255065919  -16.161922569274903  -1.1955491256713866   1.8636693725585938 -0.24030120849609374,-0.23140529558469511  -2.3336727501073335 -0.11851036350716185 -0.61179332086446092  0.15542036940028897 -0.14327122508200146  0.47266862933453041,  0.55592679977416992 -0.055183146148920059   0.21118597686290741, -0.69965660572052002   -0.0137923713773489 0.0070527698844671249   0.71431136131286621,-2.8262105843168683e-05 -0.00013300511636771262 -5.6028253311524168e-05,-0.0002509084006305784     1.1245421171188354  0.0045612175017595291,  0.24605663120746613  0.030315738171339035  0.065984413027763367  0.030315738171339035   0.22949348390102386 -0.023897474631667137  0.065984413027763367 -0.023897474631667137   0.18834012746810913,   -1.1512270259759205   -0.42192483510383738    -1.1989823937037514    0.78094924284410894    0.54803878437414966   0.060802656832947832 2.1437950081804047e-05,0.00013470039993990213
IIWA_7,1714573155.5606627, -0.4836969192673628   1.1469666629850985 0.022269386346487612   -1.264949140074995  -1.9589721784721001  -1.9008185714208301 -0.90577796486127427, 2.2240437661393333e-05 -1.5590697567650454e-05 -0.00028457557094021396  2.9194288374126138e-05 -3.2154568360061506e-05 -5.0373998335796432e-06  7.9736406600315866e-06, 0.49333964920043943   65.343979148864747  -1.9130546760559082  -16.158401069641112  -1.1929080009460449   1.8609993591308593 -0.24163621520996093, 30.368441116722039  3.1830757445932658  16.624531718095252 -7.6933712292077887 0.70814131520079915  1.6899851938019976 0.35479627301386574,   0.5559268593788147 -0.055183257907629013   0.21118587255477905, -0.69965702295303345 -0.013792389072477818 0.0070529025979340076   0.71431088447570801,-2.1096106138429604e-05 -0.00011092223576270044 -4.9013124225893989e-05,-0.00025085260858759284      1.1245421171188354    0.004561498761177063,  0.24605663120746613   0.03031582199037075  0.065984375774860382   0.03031582199037075   0.22949343919754028 -0.023897519335150719  0.065984375774860382 -0.023897519335150719   0.18834017217159271,   -1.1512307819367962   -0.42192529401141599    -1.1989860595376101    0.78094959754615445    0.54803970174610583   0.060801943104316081 2.1437720043593345e-05,0.00011274042481090873
IIWA_7,1714573155.5656652,  -0.483696439956317   1.1469666029894054 0.022268787153138785  -1.2649487805371691  -1.9589724661023609  -1.9008185714208301 -0.90577796486127427, 3.6964791961030799e-05 -1.4872385777329933e-05 -0.00025162819070524982  3.7736943737531678e-05 -3.7228865116857461e-05 -4.0299198668637144e-06  6.3789125280252693e-06, 0.53232289123535159   65.361454395294189  -1.9060116767883299  -16.164563694000243  -1.1981902503967286   1.8626681175231934 -0.23996745681762696, 30.367851812892738  3.1831442567290189  16.624014639158595 -7.6933047495561038  0.7081466097655742  1.6900509095690834 0.35477875831132077,  0.55592679977416992 -0.055183224380016327   0.21118570864200592, -0.69965726137161255 -0.013792350888252258 0.0070531377568840981   0.71431064605712891,-1.7522199414088391e-05 -8.7374697613995522e-05 -4.5271444832906127e-05,-0.00025085257948376238      1.1245419979095459   0.0045614982955157757,  0.24605664610862732  0.030315859243273735  0.065984353423118591  0.030315859243273735   0.22949342429637909 -0.023897536098957062  0.065984353423118591 -0.023897536098957062   0.18834017217159271,   -1.1512323245428391   -0.42192523302553298    -1.1989874107083409    0.78094939687733955    0.54804030908695012   0.060802009062221885 2.1437676522850779e-05,9.1550260549411178e-05
IIWA_7,1714573155.5706637,-0.48366845676517051   1.1469781677591953 0.022299526655506458  -1.2649746664970531  -1.9589711239441661  -1.9007984978436874 -0.90577946289918787,  0.0011488994794286935   0.0004506928829704127   0.0010282775421427447  -0.0010052488403725502  2.3903235698749063e-05  0.00079971914981578245 -5.4818386521794412e-05, 0.34950492858886717   65.240471920013434  -2.3814141273498537  -15.839705352783202  -1.2351659965515136   1.7922465133666992 -0.23963370513916016, 30.367371240288811  3.1834125435629761  16.623542418735749 -7.6933972497195695 0.70813067216254211  1.6901052813688577 0.35481873600392932,   0.5559268593788147 -0.055183213204145432   0.21118564903736115, -0.69965755939483643 -0.013792514801025391 0.0070532881654798985   0.71431034803390503,-1.2717188837996218e-05 -6.9377012550830841e-05  -3.889554864144884e-05,-0.00025085499510169029      1.1245419979095459   0.0045615816488862038,  0.24605660140514374  0.030315916985273361  0.065984345972537994  0.030315916985273361    0.2294934093952179 -0.023897543549537659  0.065984345972537994 -0.023897543549537659    0.1883402019739151,  -1.1512346843893795  -0.42192504765203864   -1.1989889690973143   0.78094940659312329   0.54804122290974533  0.060802182253461012 2.143764366024925e-05,7.3774339398369193e-05
IIWA_7,1714573155.5756621,-0.48323199126173338   1.1470683491398119 0.022801665626203782  -1.2651662942677775  -1.9589669054833641   -1.900659660501433 -0.90577946289918787,   0.018377739721027846   0.0039678095310432026    0.020908180861607149  -0.0084693099012718501  0.00018786102063931683    0.006193269010028396 -4.3854709217435529e-05, -8.3666102905273441   61.852962612152098  -8.2878493881225577  -12.746948299407959  -1.2219603729248047   1.8770194396972657 -0.25665504074096679, 30.337501257845894  3.1650766997890685  16.605762535836767  -7.678103241300386  0.7139436446719426   1.691652740341927 0.35175587994914914,  0.55592578649520874 -0.055152986198663712   0.21117807924747467, -0.69964760541915894 -0.013795781880617142 0.0070692957378923893   0.71431988477706909,-5.3771364036947489e-05   0.0011535783996805549 -0.00033366773277521133,-0.00025089041446335614      1.1245419979095459   0.0045617017894983292,  0.24605685472488403  0.030312385410070419  0.065985314548015594  0.030312385410070419    0.2294982522726059 -0.023893214762210846  0.065985314548015594 -0.023893214762210846   0.18833635747432709,   -1.1510518619335386   -0.42180865460661465    -1.1987525028001045    0.78081601165713721    0.54803569273609298   0.060887921308427906 2.1454032328449557e-05,0.0011009976733475924
IIWA_7,1714573155.5806637,-0.48276490613823159   1.1470536684118919 0.023346887940403509  -1.2653095656189965  -1.9589587561920205  -1.9004541909607433 -0.90577916324797192,     0.0333855967168942   0.0025870185080349144    0.038535437257274791    -0.01250630196977965  0.00047626047025216213    0.013173396835609651 -2.3097718735891013e-05,  -16.87705530166626    62.65951244735718   -12.33757396697998  -12.797129669189452 -0.87245153427124023   1.7198223991394044 -0.21493608093261718, 29.883343127156056   3.088262700480624  16.263150515992308 -7.5571171184856842 0.74397832975103917  1.7697087022141806 0.34168874073254596,  0.55594849586486816 -0.054710231721401215   0.21117323637008667, -0.69949042797088623 -0.013979701325297356 0.0072774807922542095   0.71446812152862549, 0.00085874227806925774    0.018633201718330383 -0.00045826239511370659,-0.00025086416280828416      1.1245439052581787    0.004561892244964838,  0.24602308869361877  0.030280562117695808  0.066013574600219727  0.030280562117695808   0.22956570982933044 -0.023826166987419128  0.066013574600219727 -0.023826166987419128   0.18831190466880798,   -1.1491666345628815   -0.42003401406276453    -1.1955950149458161     0.7791101552703239    0.54824897949767859   0.062463731156370272 2.1756742185630173e-05,0.017089355736970901
IIWA_7,1714573155.5856636,-0.48243156494081163   1.1470483953358894 0.023980074521654512   -1.265585682160816  -1.9589642209924416  -1.9002019230341556 -0.90578030174805968,   0.040042125270313617   0.0018586917663275348    0.056155813055859954   -0.021049703248602565  0.00016241635935879633    0.020629434531996671 -6.4018178499137559e-05, -21.181342922210693   61.862372360229493  -13.605313835144043  -12.869320411682128  -1.2668594932556152   1.6834434661865234 -0.19824849700927735, 29.496709645172409  3.1448335486893044  15.931724115756957 -7.5334169117480627 0.73234226789839951  1.8408731499986501 0.35551329815813654,  0.55601084232330322 -0.054248526692390442   0.21122704446315765, -0.69936436414718628 -0.014219830743968487 0.0074329124763607979   0.71458518505096436,0.0031614839099347591  0.033376947045326233 0.0017911576433107257,-0.00025057437596842647       1.124571681022644   0.0045705796219408512,  0.24596673250198364  0.030251061543822289  0.066051803529262543  0.030251061543822289   0.22963297367095947 -0.023751426488161087  0.066051803529262543 -0.023751426488161087     0.188309445977211,   -1.1473730169502261   -0.41810475447157103    -1.1923293646471933    0.77733727523110474    0.54845639199374574   0.063959673661351246 2.2040723024474573e-05,0.030749693512916565
IIWA_7,1714573155.5906618,-0.48227690847963239   1.1470250261407866 0.024785594149665892   -1.265992906090716  -1.9589570304104562  -1.8997870891414677 -0.90578096093710148,   0.038219958663420366  0.00055218560894930413    0.077145435565143167   -0.033128719794882147     0.00041755636690282    0.033096903333114415 -7.7582104471157342e-05, -20.479644565582277   61.852962612152098  -11.987184753417969  -12.100753116607665 -0.85132253646850586   1.4161083717346192 -0.22261236953735353, 29.236273199712834  3.1363354343777252  15.675639869586544 -7.4710560905264591   0.741445191341911  1.9008177466162366 0.35086470742048903,  0.55604070425033569 -0.053812555968761444   0.21126207709312439, -0.69920611381530762 -0.014387806877493858 0.0075790630653500557   0.71473520994186401,0.0036969315260648727  0.044143158942461014 0.0028438176959753036,-0.00026295418501831591      1.1245993375778198   0.0045769172720611095,  0.24592746794223785  0.030207818374037743  0.066085211932659149  0.030207818374037743   0.22970341145992279 -0.023678507655858994  0.066085211932659149 -0.023678507655858994   0.18829217553138733,   -1.1450291843404514   -0.41630722001162468    -1.1888154320516264    0.77553838289023957    0.54844594449487971   0.065309845290961732 2.2303023428094093e-05,0.04065357893705368
IIWA_7,1714573155.5956707,  -0.482211654327725   1.1470151990644333 0.025858362083401143  -1.2664894125566679  -1.9589562635127828  -1.8992401291338314 -0.90578048151697266,  0.033186133007031896 4.8665433026229114e-05    0.10462706580152459  -0.046363234473981552 0.00036472100045687454   0.048355922971939941 -4.288887842419398e-05,  -16.65390984725952   61.476572689056397  -10.979155483245849  -12.287392597198487 -0.93495815277099603   1.5659628753662109 -0.23929995346069335, 29.095567769153181   3.113515815934385  15.457180344937974 -7.4157264696864038 0.74304169832499301  1.9278525973574641 0.33812802593428976,  0.55606693029403687 -0.053400084376335144   0.21129179000854492, -0.69902384281158447 -0.014472376555204391 0.0076556955464184284   0.71491092443466187,0.0039771492592990398  0.051818437874317169 0.0034819380380213261,-0.00029446693952195346      1.1246287822723389   0.0045187338255345821,  0.24589906632900238  0.030141009017825127  0.066120132803916931  0.030141009017825127   0.22977772355079651 -0.023601572960615158  0.066120132803916931 -0.023601572960615158   0.18826733529567719,   -1.1417573326228947   -0.41457128074195992    -1.1847181515580729    0.77366084516139466    0.54802612411464224   0.066273234295088912 2.2500078245002442e-05,0.04770292341709137
