DesiredFlux,1.14,HitTime,1714573260.2087207,DesiredPos,0.55403727293014526 0.31018060445785522  0.2198980450630188
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714573259.6888571,-0.48098051489041455   1.1307101217892968 0.020203605589931627  -1.2865279953023281  -1.9504310694382618  -1.8877316779555131 -0.90791553111904788,-3.8011117581006901e-05  6.2256906242097332e-06  -0.0010183011432929458  0.00017402507054220875  -0.0021038584485489941 -5.8720211864896025e-07   1.662307949121817e-05, 0.10753997802734375   65.124866443634033  -1.8980883026123048  -16.126707572937011  -1.0168330192565918   1.8499855537414551 -0.25698879241943362,-0.44372778270942936   -1.259587317715759  -0.3920541284489546 -0.74300578082519453 -0.37693554976041282 -0.13355936969882598  0.44665725514468402,   0.5553925633430481 -0.052224822342395782   0.21464590728282928,  -0.70130103826522827 -0.0091249784454703331  0.0030168674420565367    0.71280044317245483,-0.00038396546733565629  -0.0003916699206456542 -0.00044323009205982089,-0.00049057602882385254      1.2447686195373535   0.0018974544946104288, 0.24687136709690094 0.029325811192393303 0.065775781869888306 0.029325811192393303  0.22975930571556091 -0.02361205592751503 0.065775781869888306 -0.02361205592751503  0.18823027610778809,   -1.1110902436239911   -0.41389111503331577    -1.1838351946185099    0.74499898422697441    0.52424100399228735   0.034736884968467052 1.6111003198204799e-05,0.00064583186758682132
IIWA_7,1714573259.693861,-0.48098027523489162   1.1307100619026866 0.020198692051754952  -1.2865275758778922  -1.9504418072274188  -1.8877316779555131 -0.90791553111904788,-2.0822673147737233e-05  2.5850880947535419e-06  -0.0010111824417013801  0.00015599703386773024  -0.0021125983251169913 -4.6976169491916823e-07  1.3298463592974536e-05, 0.11426122665405274   65.135620441436771   -1.889284553527832  -16.139913196563722  -1.0229956436157226   1.8493180503845215 -0.25832379913330078,-0.44337853891014245   -1.260611646582636 -0.39056196868689819 -0.74251153975549722 -0.37590094863487078 -0.13394436534137677  0.44642956955609092,  0.55539065599441528 -0.052226852625608444   0.21464356780052185,  -0.70130503177642822 -0.0091252382844686508   0.003020457224920392    0.71279650926589966,-0.00038484318065457046 -0.00039446694427169859 -0.00044777669245377183,-0.00049057602882385254      1.2447686195373535   0.0018974544946104288,  0.24687141180038452  0.029326418414711952  0.065775305032730103  0.029326418414711952   0.22975920140743256 -0.023612380027770996  0.065775305032730103 -0.023612380027770996    0.1882302314043045,   -1.1111142535558116   -0.41389711818595742    -1.1838559590957587    0.74500237094898836    0.52425233845188046   0.034739001076644627 1.6110209166697587e-05,0.00065031298436224461
IIWA_7,1714573259.6988568, -0.4809800954659787   1.1307100619026866  0.02019431782031714  -1.2865270965668465      -1.950452449198  -1.8877317977287329 -0.90791553111904788,-9.4673820012948501e-06  2.0680704758028338e-06 -0.00098391521087355703  0.00014397006892387989  -0.0021157574833417696 -5.1667381474002557e-06   1.063877087437963e-05, 0.13039222335815429    65.13965319061279   -1.879600429534912  -16.147836570739745  -1.0256367683410645   1.8489842987060547 -0.25632128906250001,-0.44337853891014245   -1.260611646582636 -0.39056196868689819 -0.74251153975549722 -0.37590094863487078 -0.13394436534137677  0.44642956955609092,  0.55539065599441528 -0.052226852625608444   0.21464356780052185,  -0.70130503177642822 -0.0091252382844686508   0.003020457224920392    0.71279650926589966,-0.00038484318065457046 -0.00039446694427169859 -0.00044777669245377183,-0.00049000926082953811      1.2447687387466431   0.0018989258678629994,  0.24687141180038452  0.029326418414711952  0.065775305032730103  0.029326418414711952   0.22975920140743256 -0.023612380027770996  0.065775305032730103 -0.023612380027770996    0.1882302314043045,   -1.1111142535558116   -0.41389711818595742    -1.1838559590957587    0.74500237094898836    0.52425233845188046   0.034739001076644627 1.6110209166697587e-05,0.00065031298436224461
IIWA_7,1714573259.7038596, -0.4809800954659787   1.1307101217892968 0.020190363013315199  -1.2865269766845433   -1.950462995350005  -1.8877317977287329 -0.90791529146352501,-7.5739056010358802e-06  4.0499207852565115e-06  -0.0009453244487765026  0.00011997134726692773  -0.0021144520668742095 -4.1333905179202051e-06  1.8097237614351548e-05, 0.16130996704101563   65.126210693359369  -1.8663948059082032  -16.151358070373536  -1.0265171432495117   1.8499855537414551 -0.25765629577636717, 34.201060121163707  3.5456002287369786  19.304047166037133 -8.6242305345281505 0.38964080166059428  1.0986148209403179 0.30661126635826552,  0.55538433790206909 -0.052231751382350922   0.21463659405708313,  -0.70131617784500122 -0.0091265812516212463  0.0030321851372718811    0.71278548240661621,-0.00040033197728917003 -0.00035849690902978182 -0.00045406192657537758,-0.00049000914441421628      1.2447687387466431   0.0018989256350323558,  0.24687151610851288  0.029328152537345886   0.06577388197183609  0.029328152537345886   0.22975915670394897 -0.023613175377249718   0.06577388197183609 -0.023613175377249718   0.18822996318340302,    -1.111180339822937   -0.41391074141294837    -1.1839088891179017    0.74500727375514941    0.52428759452993745   0.034751938009058847 1.6109026113042546e-05,0.00064431736245751381
IIWA_7,1714573259.7088118, -0.4809523520394382   1.1307199488656501 0.020218465977681576  -1.2865534618377763  -1.9504712404599245  -1.8877186750344195 -0.90791666961913564,  0.0011036779371389356  0.00039632299076141942  0.00036785901563387863 -0.00096342905150655295  -0.0020213660502785774  0.00052160106012232846 -4.0648434333791359e-05,-0.024196495056152345    64.950113979339605   -2.3294720077514648   -15.803609981536866   -1.0696555137634278     1.803927822113037  -0.25632128906250001, 34.200303247297263  3.5456057545683257  19.304041307566212 -8.6240432775461517 0.39038792473544298   1.098480346279503 0.30630321397812188,  0.55538225173950195 -0.052233103662729263   0.21463438868522644,  -0.70131951570510864 -0.0091270022094249725   0.003036158625036478    0.71278220415115356,-0.00040356974932365119  -0.0003409866476431489 -0.00045149069046601653,-0.00048949214396998286      1.2447686195373535   0.0019004413625225425,  0.24687153100967407  0.029328666627407074  0.065773442387580872  0.029328666627407074   0.22975920140743256 -0.023613383993506432  0.065773442387580872 -0.023613383993506432   0.18822982907295227,   -1.1111994059946895   -0.41391423104997216    -1.1839231067272138    0.74500792652365533    0.52429881498738951   0.034757297076026816 1.6108878675424876e-05,0.00063647620845586061
IIWA_7,1714573259.7138693, -0.4804897010339842   1.1308026999433087 0.020723720906509101  -1.2867733723417798  -1.9504654880292427  -1.8876371223434585 -0.90791720892587446,   0.019388982567871419   0.0036271014989551079     0.02050448436560812  -0.0095671634013450597  -0.0013869956129511204   0.0036793884865376778 -5.4091017019938343e-05, -9.1234228858947759   61.244017486572268  -8.5845357322692877  -12.217842979431152  -1.0335601425170897   1.9851549835205078 -0.29503648376464842, 34.169147504134052  3.5300927430449489  19.284236308428664 -8.6085542596932978 0.39637927152372704  1.1027988793568608 0.30316675994582337,  0.55537813901901245 -0.052203912287950516   0.21462702751159668,  -0.70131075382232666 -0.0091327689588069916  0.0030571951065212488    0.71279060840606689,-0.00048710807459428906  0.00089500099420547485 -0.00065565668046474457,-0.00048770467401482165      1.2447687387466431   0.0019049076363444328,  0.24687159061431885  0.029326081275939941  0.065774001181125641  0.029326081275939941   0.22976404428482056 -0.023609312251210213  0.065774001181125641 -0.023609312251210213   0.18822595477104187,   -1.1110545861345855   -0.41380382431288609    -1.1837111746135776    0.74488153434160154    0.52431363856086932   0.034863940348905942 1.6127837731971795e-05,0.0011096999514847994
IIWA_7,1714573259.7188613,-0.47999397353029405   1.1307836449839508 0.021284223141977726  -1.2869350395723982  -1.9504564758471172  -1.8875233921079093 -0.90791523157691501,   0.035340286201902993   0.0021394828248462957    0.038823676911231481   -0.014120419945811636 -0.00074910920534264477   0.0074927202111969363  3.5821144762400527e-05, -18.236091773986818   61.565293170928953  -12.997855148315429  -12.418568458557129 -0.71838592529296874   1.8423092651367188 -0.22895365142822266, 33.686529015097143  3.4586058320070809  18.915053176085479 -8.4703751729518935 0.43021669733245338  1.2105183218695053 0.29085194121170199,  0.55538499355316162 -0.051740843802690506   0.21463227272033691,  -0.70113557577133179 -0.0093336114659905434  0.0032978116068989038    0.71295928955078125,-0.00012370225158520043    0.019238278269767761 -0.00031238165684044361,-0.00048710557166486979       1.244770884513855   0.0019063173094764352,   0.2468390017747879   0.02929777093231678  0.065800949931144714   0.02929777093231678   0.22983287274837494 -0.023541418835520744  0.065800949931144714 -0.023541418835520744   0.18819838762283325,   -1.1093160681783232   -0.41200794754825409    -1.1805953169448102    0.74315861462448396    0.52464780146799228   0.036647654178878497 1.6459264173818156e-05,0.017621235921978951
IIWA_7,1714573259.7238593,-0.47969161159984774   1.1307748965210751 0.021917050076319743  -1.2872512432728098  -1.9504605026707673  -1.8874602951829573 -0.90791816765704925,   0.040366706179374573    0.001361647744849633    0.056372018902665841   -0.023944483973114609 -0.00076036031027743142   0.0085180531670370936 -8.8786289559740158e-05, -21.821205791473389   61.046412776947022  -13.995319919586182  -12.246895351409911  -1.0784592628479004    1.940432258605957 -0.20992980575561523, 33.686529015097143  3.4586058320070809  18.915053176085479 -8.4703751729518935 0.43021669733245338  1.2105183218695053 0.29085194121170199,  0.55538499355316162 -0.051740843802690506   0.21463227272033691,  -0.70113557577133179 -0.0093336114659905434  0.0032978116068989038    0.71295928955078125,-0.00012370225158520043    0.019238278269767761 -0.00031238165684044361,-0.00048621319001540542      1.2448022365570068   0.0019113305024802685,   0.2468390017747879   0.02929777093231678  0.065800949931144714   0.02929777093231678   0.22983287274837494 -0.023541418835520744  0.065800949931144714 -0.023541418835520744   0.18819838762283325,   -1.1093160681783232   -0.41200794754825409    -1.1805953169448102    0.74315861462448396    0.52464780146799228   0.036647654178878497 1.6459264173818156e-05,0.017621235921978951
IIWA_7,1714573259.7288587, -0.4795797987175649   1.1307562010995431 0.022734134583204068  -1.2877089208534771  -1.9504536955376188  -1.8873418910647544 -0.90791768834600339,   0.036765880234813531  0.00034150133460014655    0.077780995397505687   -0.037462690405182957 -0.00033600292228235331    0.011550607261748228 -5.1856589813655557e-05, -20.099221893310546   60.700940597534178  -11.775894775390626  -11.447514934539795 -0.68405130386352542   1.5719704055786132 -0.24063496017456054, 33.686536967804464  3.4584797553546696  18.915104878275201 -8.4703168022941639 0.43026298134896462  1.2104905604049288 0.29085194121170199,  0.55538499355316162 -0.051740843802690506   0.21463227272033691,  -0.70113557577133179 -0.0093336114659905434  0.0032978116068989038    0.71295928955078125,-0.00012370225158520043    0.019238278269767761 -0.00031238165684044361,-0.00048837333451956511      1.2448023557662964   0.0019081570208072662,   0.2468390017747879   0.02929777093231678  0.065800949931144714   0.02929777093231678   0.22983287274837494 -0.023541418835520744  0.065800949931144714 -0.023541418835520744   0.18819838762283325,   -1.1093160681783232   -0.41200794754825409    -1.1805953169448102    0.74315861462448396    0.52464780146799228   0.036647654178878497 1.6459264173818156e-05,0.017621235921978951
IIWA_7,1714573259.7338581,-0.47952395221757499   1.1307443367876204 0.023874733211154988  -1.2882668464375544  -1.9504520657491633  -1.8871790853340482 -0.90791804777474616,   0.031646564187447185 -0.00020137140922718062     0.10784874143604135    -0.05228717568723841 -0.00020361079960483938    0.015752715037644596 -5.5862421561678105e-05, -16.491255630493164   60.372943664550782   -11.06279109954834  -11.409658813476563 -0.79761966705322263   1.7755589294433594 -0.25832379913330078, 32.873746443469045  3.5244296521813059  18.021224980556596 -8.2506537278873857 0.43298371229767385   1.544411488923727 0.27651457483179853,  0.55538147687911987 -0.050429016351699829   0.21484245359897614,   -0.7004888653755188 -0.0099134529009461403  0.0038385652005672455    0.71358412504196167,-0.0008073258213698864    0.05191749706864357  0.0067259226925671101,-0.00048837333451956511      1.2448023557662964   0.0019081570208072662,  0.24672679603099823  0.029187528416514397  0.065896838903427124  0.029187528416514397    0.2300458699464798 -0.023330319672822952  0.065896838903427124 -0.023330319672822952   0.18813353776931763,   -1.1030926856117063   -0.40687086097079828    -1.1705751216064542    0.73810220336145704    0.52509701150338373   0.041707516088784757 1.7432577159581797e-05,0.047945693135261536
