RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714573016.1042914,0.51277107000350952 0.96167099475860596 0.27788186073303223,0.0039432770572602749 0.0018958012806251645 -0.049303371459245682   0.99877429008483887,0.51277107000350952 0.96167099475860596 0.27788186073303223,0.0039432770572602749 0.0018958012806251645 -0.049303371459245682   0.99877429008483887
1714573016.11432, 0.5160442590713501 0.95422667264938354 0.27796471118927002,0.0044152373448014259 0.0018696965416893363 -0.065798148512840271   0.99782145023345947, 0.5160442590713501 0.95422667264938354 0.27796471118927002,0.0044152373448014259 0.0018696965416893363 -0.065798148512840271   0.99782145023345947
1714573016.1192925,0.51800793409347534 0.94935405254364014 0.27804243564605713,0.0044812778942286968   0.00161116907838732 -0.076768085360527039   0.99703758955001831,0.51800793409347534 0.94935405254364014 0.27804243564605713,0.0044812778942286968   0.00161116907838732 -0.076768085360527039   0.99703758955001831
1714573016.1242945,0.52008074522018433 0.94430744647979736 0.27799412608146667,0.0043060886673629284 0.0017931717447936535  -0.08779241144657135   0.99612784385681152,0.52008074522018433 0.94430744647979736 0.27799412608146667,0.0043060886673629284 0.0017931717447936535  -0.08779241144657135   0.99612784385681152
1714573016.1343,0.52346950769424438 0.93673700094223022 0.27814829349517822,0.0044280844740569592 0.0016308831982314587  -0.10449954867362976   0.99451375007629395,0.52346950769424438 0.93673700094223022 0.27814829349517822,0.0044280844740569592 0.0016308831982314587  -0.10449954867362976   0.99451375007629395
1714573016.139291,0.52657264471054077 0.93113362789154053 0.27798986434936523,0.0043108765967190266 0.0016633212799206376  -0.11521873623132706   0.99332940578460693,0.52657264471054077 0.93113362789154053 0.27798986434936523,0.0043108765967190266 0.0016633212799206376  -0.11521873623132706   0.99332940578460693
1714573016.1443186,0.52916353940963745 0.92585545778274536 0.27791574597358704,0.0044347033835947514 0.0020893276669085026  -0.12615451216697693   0.99199849367141724,0.52916353940963745 0.92585545778274536 0.27791574597358704,0.0044347033835947514 0.0020893276669085026  -0.12615451216697693   0.99199849367141724
1714573016.1543233,0.53313589096069336 0.91798466444015503 0.27783551812171936, 0.003527648514136672 0.0019194394117221236  -0.14168210327625275   0.98990404605865479,0.53313589096069336 0.91798466444015503 0.27783551812171936, 0.003527648514136672 0.0019194394117221236  -0.14168210327625275   0.98990404605865479
1714573016.1592906, 0.5358816385269165  0.9125857949256897 0.27760142087936401,0.0027150413952767849 0.0019793761894106865  -0.15184687077999115   0.98839831352233887, 0.5358816385269165  0.9125857949256897 0.27760142087936401,0.0027150413952767849 0.0019793761894106865  -0.15184687077999115   0.98839831352233887
1714573016.1643519,0.53851062059402466 0.90728902816772461 0.27757939696311951,0.0021430165506899357 0.0021334285847842693  -0.16128729283809662   0.98690289258956909,0.53851062059402466 0.90728902816772461 0.27757939696311951,0.0021430165506899357 0.0021334285847842693  -0.16128729283809662   0.98690289258956909
1714573016.1692955,0.54103797674179077 0.90204203128814697 0.27748027443885803,0.0014986773021519184 0.0024498528800904751  -0.16985359787940979   0.98546510934829712,0.54103797674179077 0.90204203128814697 0.27748027443885803,0.0014986773021519184 0.0024498528800904751  -0.16985359787940979   0.98546510934829712
1714573016.1792948,0.54436153173446655 0.89428627490997314 0.27729904651641846,0.00020738840976264328  0.0023160646669566631   -0.18015709519386292    0.98363512754440308,0.54436153173446655 0.89428627490997314 0.27729904651641846,0.00020738840976264328  0.0023160646669566631   -0.18015709519386292    0.98363512754440308
1714573016.1893301,0.54698216915130615 0.88451796770095825 0.27727636694908142,0.00029654501122422516  0.0021078377030789852   -0.18849764764308929    0.98207134008407593,0.54698216915130615 0.88451796770095825 0.27727636694908142,0.00029654501122422516  0.0021078377030789852   -0.18849764764308929    0.98207134008407593
1714573016.1943166,0.54860854148864746  0.8790733814239502 0.27738285064697266,0.0010792851680889726 0.0022898877505213022  -0.19121564924716949   0.98154479265213013,0.54860854148864746  0.8790733814239502 0.27738285064697266,0.0010792851680889726 0.0022898877505213022  -0.19121564924716949   0.98154479265213013
1714573016.2042935,0.55062597990036011 0.86866569519042969 0.27756655216217041,0.0025836136192083359 0.0023782560601830482  -0.19284887611865997   0.98122221231460571,0.55062597990036011 0.86866569519042969 0.27756655216217041,0.0025836136192083359 0.0023782560601830482  -0.19284887611865997   0.98122221231460571
1714573016.2142918,0.55228066444396973 0.86067479848861694 0.27779421210289001,0.0034902477636933327 0.0023321171756833792  -0.19288930296897888   0.98121154308319092,0.55228066444396973 0.86067479848861694 0.27779421210289001,0.0034902477636933327 0.0023321171756833792  -0.19288930296897888   0.98121154308319092
1714573016.2193153,0.55368107557296753 0.85497546195983887 0.27711778879165649,0.0029987248126417398 0.0025490766856819391  -0.19247783720493317    0.9812934398651123,0.55368107557296753 0.85497546195983887 0.27711778879165649,0.0029987248126417398 0.0025490766856819391  -0.19247783720493317    0.9812934398651123
1714573016.2242908,0.55480742454528809 0.84927016496658325 0.27716436982154846, 0.003064572112634778 0.0024896508548408747  -0.19234226644039154   0.98131996393203735,0.55480742454528809 0.84927016496658325 0.27716436982154846, 0.003064572112634778 0.0024896508548408747  -0.19234226644039154   0.98131996393203735
1714573016.2343221,0.55558270215988159 0.84091424942016602 0.27822798490524292,0.0033900327980518341 0.0018949460936710238  -0.19138173758983612   0.98150801658630371,0.55558270215988159 0.84091424942016602 0.27822798490524292,0.0033900327980518341 0.0018949460936710238  -0.19138173758983612   0.98150801658630371
1714573016.2392902,0.55736297369003296  0.8344300389289856 0.27825784683227539,0.0031029458623379469 0.0018955062841996551   -0.1907452791929245   0.98163282871246338,0.55736297369003296  0.8344300389289856 0.27825784683227539,0.0031029458623379469 0.0018955062841996551   -0.1907452791929245   0.98163282871246338
1714573016.2442918,0.55857264995574951  0.8281090259552002 0.27827489376068115, 0.002876244718208909 0.0018330829916521907  -0.19010405242443085    0.9817579984664917,0.55857264995574951  0.8281090259552002 0.27827489376068115, 0.002876244718208909 0.0018330829916521907  -0.19010405242443085    0.9817579984664917
