DesiredFlux,0.51,HitTime,1714572491.1913581,DesiredPos,0.55110746622085571 0.31450825929641724  0.2203424870967865
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572490.3537319,-0.46533894427446065   1.1462300525556974 0.024357158142535643   -1.266837614250921  -1.9607941641556383   -1.898586030126566  -0.9058523270138833, 0.00082780940045723127 -1.2172050117409393e-05 -7.2572216809770979e-05 -1.0095509065276262e-05  4.6061491188376609e-06 -2.3737681642074572e-05  3.4992835128854857e-06,-0.14921171951293946   65.555026355743408  -2.0354267883300783  -16.124946823120116  -1.2985529899597168   1.8259554328918457 -0.26032630920410155,-0.32235564578932674  -2.4557924549590391  0.37387553483203217 -0.63728461551176896  0.77118335762632639  0.45379520916749072  0.48172499991615136,  0.55658751726150513 -0.044045448303222656   0.21102258563041687, -0.69971746206283569 -0.020311495289206505  0.014120778068900108   0.71399122476577759,  4.862752030021511e-05  0.00062058318872004747 -5.0941534937010147e-06,-0.0018949250224977732    0.55707955360412598  0.0032223772723227739,  0.24486212432384491  0.030411979183554649  0.066445626318454742  0.030411979183554649   0.23084311187267303 -0.022467723116278648  0.066445626318454742 -0.022467723116278648   0.18827615678310394,   -1.1413693062607422   -0.37838394207501125    -1.1501416243113738    0.73878741533039971    0.56527169593945104    0.10116390860837043 2.8648838856781822e-05,0.00056988466531038284
IIWA_7,1714572490.3587327,-0.46534397769494035   1.1462299327824774 0.024354401722231352  -1.2668378539064438  -1.9607941641556383  -1.8985858503576531 -0.90585202736266734, 0.00033852825623073189 -1.2101947996342225e-05 -0.00015334763544293278 -1.2691951225391116e-05  1.4148382206557006e-06 -8.4804526153997294e-06  1.4225590086304123e-05,-0.29170219039916995   65.533518360137933  -2.0996941566467284  -16.118784198760984  -1.2941511154174805   1.8179453926086426 -0.26032630920410155,-0.32261221925946215  -2.4529729936958762  0.37266637718663786 -0.63452517450085166  0.77247079978009336  0.45750316196103424  0.48172499991615136,  0.55658751726150513 -0.044045448303222656   0.21102258563041687, -0.69971746206283569 -0.020311495289206505  0.014120778068900108   0.71399122476577759,  4.862752030021511e-05  0.00062058318872004747 -5.0941534937010147e-06,-0.0018949266523122787     0.5570794939994812  0.0032224720343947411,  0.24486212432384491  0.030411979183554649  0.066445626318454742  0.030411979183554649   0.23084311187267303 -0.022467723116278648  0.066445626318454742 -0.022467723116278648   0.18827615678310394,   -1.1413693062607422   -0.37838394207501125    -1.1501416243113738    0.73878741533039971    0.56527169593945104    0.10116390860837043 2.8648838856781822e-05,0.00056988466531038284
IIWA_7,1714572490.3637335,-0.46534397769494035   1.1462299327824774 0.024354401722231352  -1.2668378539064438  -1.9607941641556383  -1.8985858503576531 -0.90585202736266734, 0.00033852825623073189 -1.2101947996342225e-05 -0.00015334763544293278 -1.2691951225391116e-05  1.4148382206557006e-06 -8.4804526153997294e-06  1.4225590086304123e-05,-0.29170219039916995   65.533518360137933  -2.0996941566467284  -16.118784198760984  -1.2941511154174805   1.8179453926086426 -0.26032630920410155,  16.720085108756837   1.4041601704627287   2.0663179154660245   -3.642034569925098   4.6388496821809921 -0.45602728634215506 -0.75447724217703227,  0.55658721923828125 -0.044046938419342041   0.21102258563041687, -0.69971752166748047 -0.020310599356889725  0.014120119623839855   0.71399122476577759, 2.7403706553741358e-05  0.00043691150494851172 -4.2686524466262199e-06,-0.001894861226901412    0.5570794939994812  0.003222583094611764,  0.24486233294010162  0.030412005260586739  0.066445522010326385  0.030412005260586739   0.23084293305873871 -0.022467941045761108  0.066445522010326385 -0.022467941045761108   0.18827612698078156,   -1.1413720184201281   -0.37838988698890574    -1.1501497285708595    0.73879242970598114    0.56527010101525832     0.1011593761228724 2.8647948013826863e-05,0.00040078363963402808
IIWA_7,1714572490.3687561,-0.46532072827305759   1.1462379621697012 0.024360154218362847  -1.2668494785628437  -1.9607832345547966  -1.8985958572029193 -0.90586515005698076,  0.0011667682048840764  0.00031391020777792505  0.00013435369563928969 -0.00047502634896322261  0.00043808953012932289 -0.00040666035874553294 -0.00051580339488142997,-0.60222387695312496   65.366831394195557  -2.2150232696533201  -15.962957839965821  -1.4314896011352538   1.8676743927001953 -0.22461487960815429,  16.728776098366616   1.4039542140406496   2.0710511753242935  -3.6429755874281993   4.6388810821633282  -0.4574535626530829 -0.75479477980617959,  0.55658680200576782 -0.044050633907318115   0.21102204918861389,  -0.6997184157371521 -0.020307844504714012  0.014118440449237823   0.71399044990539551, 1.0778776413644664e-06  0.00013807730283588171 -2.3380618586088531e-05,-0.0018948609940707684    0.55707943439483643  0.0032225828617811203,   0.2448628693819046  0.030412027612328529  0.066445246338844299  0.030412027612328529    0.2308424711227417 -0.022468475624918938  0.066445246338844299 -0.022468475624918938   0.18827606737613678,   -1.1413775490751732   -0.37840419321266694    -1.1501694943216734    0.73880400938541868    0.56526502655707134    0.10114444060072003 2.8644885574635737e-05,0.00012820858682971448
IIWA_7,1714572490.3737316,-0.46532072827305759   1.1462379621697012 0.024360154218362847  -1.2668494785628437  -1.9607832345547966  -1.8985958572029193 -0.90586515005698076,  0.0011667682048840764  0.00031391020777792505  0.00013435369563928969 -0.00047502634896322261  0.00043808953012932289 -0.00040666035874553294 -0.00051580339488142997,-0.60222387695312496   65.366831394195557  -2.2150232696533201  -15.962957839965821  -1.4314896011352538   1.8676743927001953 -0.22461487960815429,  16.731491076943215   1.4043641935713076   2.0720589565488261  -3.6435496100887672   4.6386977436358068 -0.45785982435216077 -0.75479824777926796,  0.55658674240112305 -0.044052168726921082    0.2110220342874527, -0.69971859455108643 -0.020306941121816635  0.014117421582341194   0.71399033069610596,-9.0096426674790564e-07  4.9051854148274288e-05 -1.9142125893267803e-05,-0.0018947276985272765    0.55707931518554688  0.0032225314062088728,  0.24486301839351654  0.030412010848522186  0.066445186734199524  0.030412010848522186   0.23084229230880737 -0.022468661889433861  0.066445186734199524 -0.022468661889433861   0.18827609717845917,   -1.1413786954648231   -0.37840979255943097    -1.1501758781662375     0.7388092989693007    0.56526257011579872    0.10113832867908457 2.8643699856445437e-05,4.821066977456212e-05
IIWA_7,1714572490.378731,-0.46489564777049741     1.14629434797643 0.024398623565821446  -1.2669307316025886  -1.9606233170167533  -1.8986532017408229 -0.90596737551843309,  0.017936634666314552  0.0025065604353760409  0.0016462568548554076 -0.0036301426689678948  0.0067471731458371188 -0.0026191098031369958 -0.0045016611739984291, -7.0492455596923831   63.734912227630616  -4.5911551475524899  -14.498894367218018  -1.1849846267700195   1.7672151374816893 -0.24764374542236328,  16.710765475484127    1.397958097855114   2.0602255185550096  -3.6353693931514117   4.6389610702837745 -0.45121445016037676 -0.75414956457341131,  0.55658459663391113 -0.044033791869878769   0.21102049946784973, -0.69970804452896118 -0.020316561684012413  0.014126396737992764   0.71400028467178345,-8.5518535342998803e-05  0.00077439408050850034 -7.6922980952076614e-05,-0.001894633169285953   0.55707931518554688 0.0032228017225861549,  0.24486355483531952  0.030411466956138611  0.066445395350456238  0.030411466956138611   0.23084458708763123 -0.022466927766799927  0.066445395350456238 -0.022466927766799927   0.18827362358570099,   -1.1413355776079825   -0.37835381922679545    -1.1500944510718369    0.73874871869517023    0.56528199939265278    0.10122003629575715 2.8661974127430767e-05,0.00071671052137389779
IIWA_7,1714572490.3837309, -0.4639053313722879   1.1462858990556872 0.024169125640987426  -1.2670508136367014  -1.9597174056138349  -1.8987580636311936 -0.90621634782706095,   0.04707211404663586  0.0013367095174766303 -0.0075491522939052464 -0.0069214022377583791   0.037897025700480397 -0.0054411917045609475  -0.012163565362167724,  -15.684705795288085    64.491724822998052    -7.648697204589844   -15.265700912475586   -1.4332503509521484    1.7181536407470703 -0.024697624206542968,  16.407895357794938   1.3633080527572472   1.9015547972930156  -3.5738792135939765   4.6242925471969389 -0.38442049604848538 -0.74014763494174474,  0.55659693479537964 -0.043769881129264832   0.21101830899715424,  -0.6996193528175354 -0.020456552505493164  0.014238401316106319   0.71408092975616455,  0.0004208288446534425    0.011175656691193581 -0.00014880309754516929,-0.0018946104682981968    0.55707979202270508  0.0032228033524006605,    0.244855135679245  0.030407758429646492  0.066454015672206879  0.030407758429646492   0.23087261617183685 -0.022439079359173775  0.066454015672206879 -0.022439079359173775   0.18825702369213104,   -1.1409187218829331   -0.37747540433130666    -1.1490114369898663    0.73788263989538194    0.56555677262259962    0.10217947570101416 2.8867742862814794e-05,0.010239005088806152
IIWA_7,1714572490.3887303,-0.46344945148075006   1.1462828430932501 0.023923209403879896  -1.2672072676779271    -1.95887755108338  -1.8988052815506109 -0.90645818948394663,  0.055892886898822131 0.00094712911649714256  -0.015875971319425412  -0.011795283439237629    0.06391180177857933 -0.0062416701403410924  -0.019404518565161274,  -15.61346055984497   64.222874877929684   -6.931191654205322  -14.753322715759277  -1.7343385696411133   1.7271649360656738 -0.11814809417724609,  16.163583531599471   1.4295186300591369   1.7667001155801589  -3.5938757963835748   4.5492222531240092 -0.32822228619361393 -0.70945098996743283,  0.55665695667266846 -0.043510068207979202   0.21106009185314178, -0.69954776763916016 -0.020594583824276924    0.0142825897783041    0.7141461968421936,0.0027311732992529869  0.019333794713020325 0.0015521091409027576,-0.0018939354922622442    0.55708551406860352  0.0032234475947916508,  0.24484173953533173  0.030408967286348343  0.066466756165027618  0.030408967286348343   0.23088985681533813 -0.022414619103074074  0.066466756165027618 -0.022414619103074074   0.18825508654117584,   -1.1407931487070755   -0.37663157022560512    -1.1482904852266884    0.73709113357800504    0.56576304504840635    0.10288592955021159 2.9022623415642101e-05,0.01793128065764904
IIWA_7,1714572490.3937855,-0.46344945148075006   1.1462828430932501 0.023923209403879896  -1.2672072676779271    -1.95887755108338  -1.8988052815506109 -0.90645818948394663,  0.055892886898822131 0.00094712911649714256  -0.015875971319425412  -0.011795283439237629    0.06391180177857933 -0.0062416701403410924  -0.019404518565161274,  -15.61346055984497   64.222874877929684   -6.931191654205322  -14.753322715759277  -1.7343385696411133   1.7271649360656738 -0.11814809417724609,  16.012770762756254   1.4899272899700893   1.6764020556943677  -3.6260530287893196   4.4353379873624696  -0.2870481057144878 -0.67228133251152888,  0.5567324161529541 -0.04327576607465744  0.21110266447067261, -0.69943845272064209 -0.020667374134063721  0.014228205196559429   0.71425223350524902,0.0051962812431156635  0.024839764460921288 0.0029440238140523434,-0.0018998450832441449    0.55708891153335571  0.0032269963994622231,  0.24485218524932861  0.030401874333620071  0.066475681960582733  0.030401874333620071   0.23089654743671417 -0.022399507462978363  0.066475681960582733 -0.022399507462978363   0.18824358284473419,   -1.1404610578349406   -0.37599030903656683    -1.1478198653769311    0.73638518084795379      0.565692571455223    0.10321532101364994 2.9117100730502443e-05,0.02338760532438755
IIWA_7,1714572490.3987322,-0.46295312478371115   1.1462809855175107 0.023602691249557429  -1.2673897873388666  -1.9577870824567034  -1.8988475858227685 -0.90677768891140131,  0.064567377400614426 0.00068340026361970964  -0.025521503228439005  -0.016737013188970799   0.094748186489927888  -0.006685506998575565  -0.028303591950316363, -12.478670200347901   63.920418689727782  -7.2437247467041015  -14.837838706970215  -1.8443854331970215   1.7895764999389647 -0.11748059082031249,  15.955246812783505   1.5660747719089279   1.6213338114990723  -3.6827917564112305   4.2762746352718732  -0.2595522139050237 -0.62628892847343609,  0.55683010816574097 -0.043079249560832977   0.21115602552890778, -0.6992911696434021 -0.02066887728869915 0.014054453931748867  0.71439981460571289, 0.008057192899286747  0.027730423957109451 0.0044889231212437153,-0.0019195473287254572    0.55709028244018555  0.0032107445877045393,  0.24488624930381775  0.030386367812752724  0.066481515765190125  0.030386367812752724    0.2308901846408844 -0.022395160049200058  0.066481515765190125 -0.022395160049200058   0.18822520971298218,   -1.1399432421290712   -0.37559574623280412    -1.1476695653902524    0.73581593054949934    0.56530761439343991    0.10308869043473834 2.9135899026755396e-05,0.026753228157758713
