DesiredFlux,0.65,HitTime,1714572023.9813681,DesiredPos,0.58337873220443726  0.3121216893196106 0.22056388854980469
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572023.2934184,-0.45339786262648724    1.148730800777777  0.03860538289290491  -1.2273875831935042  -1.9177341729840953  -1.8505760267349216 -0.87284621365228388,-0.00017908884808111609  0.00012908395762582339   0.0011197170804931459   0.0021634676243079019  7.6582992104765699e-07 -0.00043847630861152417  3.7387849873722348e-05, 0.39789791870117186   66.426100177764894  -2.9246054458618165  -16.976269359588624  -1.6929609489440918   1.7812327079772949 -0.25431877899169919,   -0.351952467871402  -0.24613803238814624  -0.33172179258834766  -0.51640467717048577 0.0073534442408365458 -0.036530708865716785    1.3819950149320628,  0.58261561393737793 -0.037116114050149918   0.21670569479465485,  -0.70546382665634155   -0.01089730579406023 -0.0084218122065067291    0.70861208438873291,0.00059259618865326047 7.5217882113065571e-05  0.0007180279353633523,0.00011289332178421319    0.70968079566955566 0.00056743004824966192,   0.2399383932352066  0.027158554643392563  0.070395670831203461  0.027158554643392563   0.22954224050045013 -0.019863877445459366  0.070395670831203461 -0.019863877445459366   0.19383658468723297,  -1.0308405380463626  -0.33018490616498752   -1.0343956232734541   0.74190292905651489   0.49119973857436605 -0.017386881589587233 6.061286583758374e-06,0.0008554724627174437
IIWA_7,1714572023.2983925,-0.45340001974435962   1.1487310404332998 0.038608738506558028  -1.2273785949660225  -1.9177341729840953   -1.850577584659445 -0.87284591400106792,-0.00022955579336013903  0.00011285338701106566   0.0010299982105192338   0.0020903031987116096  6.1266393683812567e-07 -0.00041309802782472558  4.1896328537035291e-05, 0.38848817062377927   66.395182434082031  -2.9219643211364748    -16.9833123588562  -1.6956020736694335   1.7808989562988282 -0.25298377227783203, -0.34387091698050826  -0.25894909213695905  -0.32167321179015779  -0.51745910820155272 0.0089983803386012931 -0.044122275064180337    1.3822107375092809,  0.58261817693710327 -0.037116531282663345   0.21670792996883392,    -0.705463707447052  -0.010901078581809998 -0.0084248678758740425    0.70861214399337769,0.00057633203687146306 4.3510292016435415e-05 0.00066386302933096886,0.00011238835577387363    0.70968073606491089 0.00056657363893464208,  0.23993702232837677  0.027158748358488083  0.070396237075328827  0.027158748358488083   0.22954204678535461 -0.019863655790686607  0.070396237075328827 -0.019863655790686607    0.1938377320766449,   -1.0308495510376048   -0.33018245117411027    -1.0343926265452552    0.74191552492397506    0.49120245448452948  -0.017386575830613538 6.0616613950514875e-06,0.00080618634819984436
IIWA_7,1714572023.3033922,-0.45340211697562205   1.1487312202022129 0.038611614700082238  -1.2273702060409728  -1.9177341729840953  -1.8505788430418357 -0.87284579422784803, -0.0002675338851854045  9.7473466132408815e-05  0.00093904630938376407   0.0020077995609584605  4.9013114947050054e-07 -0.00038081371788914724   3.830799162553405e-05, 0.37907842254638674    66.35351069259643  -2.9263661956787108  -16.971867485046385  -1.6964824485778809   1.7772276878356934 -0.25331752395629881, 23.579885626991928  2.9564009188583875  6.0469064088536513 -5.7871277161676646  3.2703422858480957 -2.3134730091629345 0.38588588745579566,  0.58262056112289429 -0.037117399275302887   0.21671013534069061,  -0.70546358823776245  -0.010904287919402122 -0.0084279123693704605    0.70861214399337769,0.00055587443057447672 3.2950659090147383e-08 0.00061895424732938409, 0.0001119096705224365    0.70968067646026611 0.00056579586816951632,  0.23993577063083649  0.027158953249454498  0.070396751165390015  0.027158953249454498   0.22954180836677551 -0.019863517954945564  0.070396751165390015 -0.019863517954945564   0.19383883476257324,   -1.0308595179839841   -0.33018190962064153    -1.0343929118770134     0.7419289572858645    0.49120445368622256   -0.01738793739036737 6.0617484365366181e-06,0.0007619648240506649
IIWA_7,1714572023.3083918,-0.45337671043586691   1.1487384107405649 0.038638818928966916  -1.2273825497730244  -1.9177249691648179  -1.8506074853129411 -0.87285580096403126, 0.00080223448205707924  0.00036560030698894278   0.0018394062028941312   0.0011124903667022977  0.00036854487601483007  -0.0014503418185244387 -0.00036962305402886615, 0.17071971511840819    66.18816797637939   -3.288200283050537  -16.705994262695313  -1.8391031837463379    1.889368251800537 -0.22695114135742187, 23.581373829842416  2.9555871298658793  6.0482877988647559 -5.7869526676742762  3.2706374257781663 -2.3137743134133948 0.38613342493830538,  0.58262282609939575 -0.037118680775165558   0.21671254932880402,   -0.7054634690284729  -0.010907439514994621 -0.0084310974925756454    0.70861214399337769, 0.00053454021690413356 -5.1146820624126121e-05  0.00059209932805970311,0.00011145375901833177    0.70968061685562134 0.00056506221881136298,   0.2399345189332962  0.027159206569194794  0.070397250354290009  0.027159206569194794   0.22954152524471283 -0.019863441586494446  0.070397250354290009 -0.019863441586494446   0.19383996725082397,  -1.0308716113325289  -0.33018288745090274   -1.0343962434271603   0.74194366700019998   0.49120649276357398  -0.01738986128607678 6.061763535569753e-06,0.00073211145354434848
IIWA_7,1714572023.3133914,-0.45295360739134921   1.1487974929719049 0.038884675279464487  -1.2275230049264125   -1.917557285784268  -1.8508613711597455 -0.87294346557986657,  0.017565909366353785   0.002655769499190786    0.01130577898221815 -0.0047282138421629342  0.0070021711228100423  -0.011315707326996096 -0.0038022830766356723, -7.0116065673828123   63.803468963623047  -7.1037451362609865  -14.220695896148682  -1.6577459526062011   2.2204499168395997 -0.33809045028686524, 23.582658875925798  2.9545992443699398  6.0496618863028369  -5.786653442817884  3.2710017410154353 -2.3141208729851588 0.38635374805903799,  0.58262491226196289 -0.037120010703802109   0.21671475470066071,  -0.70546352863311768  -0.010910305194556713 -0.0084342155605554581    0.70861208438873291,0.00051209190860390663 -9.419464913662523e-05 0.00056167854927480221,  0.000111026456579566    0.70968055725097656 0.00056434300495311618,  0.23993338644504547  0.027159443125128746  0.070397697389125824  0.027159443125128746   0.22954124212265015 -0.019863387569785118  0.070397697389125824 -0.019863387569785118   0.19384102523326874,   -1.0308831305723132   -0.33018422878328124    -1.0344001526876312    0.74195765108253653    0.49120811620628757   -0.01739263989719575 6.0615814589937145e-06,0.00070148595841601491
IIWA_7,1714572023.3183911,-0.45246734742618655   1.1488026461656045 0.038988458665440449  -1.2275935320452396  -1.9172273841726548  -1.8512718308209957 -0.87299511761733162,  0.033503126099589463  0.0023307433473340839   0.013195958624813027 -0.0066036558268121959   0.018797801362774848  -0.025470952311604692 -0.0051079079599103058, -13.703281700134278    63.97687717819214  -9.0000726890563971  -14.928517322540284   -1.723774070739746   1.9611248626708984 -0.20225351715087891, 23.551122187024468  2.9504725260032933  6.0258231493518695 -5.7732958216376824  3.2716936744749856 -2.2977736804110496 0.38638587584028361,  0.58262068033218384 -0.037094004452228546   0.21672047674655914, -0.70544266700744629 -0.010929486714303493 -0.008419085294008255    0.7086327075958252,0.00024075695546343923 0.00096491508884355426 0.00067836680682376027,0.00011061172699555755    0.70968049764633179 0.00056356645654886961,  0.23993252217769623  0.027158977463841438  0.070398733019828796  0.027158977463841438   0.22954444587230682 -0.019860517233610153  0.070398733019828796 -0.019860517233610153   0.19383887946605682,   -1.0308365380726769   -0.33011036977015351    -1.0342771399152184    0.74189068974561678    0.49124904859265683  -0.017237676702919202 6.0931792944529661e-06,0.0011025924468412995
IIWA_7,1714572023.3234253,-0.45201895761513361   1.1488185852759152 0.039002959515364491  -1.2277815645467878  -1.9167394822671815   -1.851914305062778  -0.8730200448460409,  0.044738093321789192  0.0025021590902962821   0.011136800896812082  -0.012804224723377618   0.034554317309152691   -0.04607573152057657 -0.0050834155162995109, -16.776236572265624   64.144908393859865  -9.4957237625122062  -14.250628643035888    -1.69031982421875   2.4253734474182127 -0.11380932235717774, 23.137265867409543  2.9660016356964101  5.7223251701806221 -5.6744257641757381  3.2454377991138221 -2.1247117243821974 0.39742807692567872,  0.58259743452072144 -0.036742828786373138    0.2167818546295166,  -0.70523220300674438  -0.011148241348564625 -0.0082361875101923943    0.70884090662002563,-0.00074266706360504031    0.014816878363490105   0.0029985080473124981,0.00011023084516637027    0.70968127250671387  0.0005628576036542654,  0.23991905152797699  0.027152687311172485  0.070412583649158478  0.027152687311172485   0.22958278656005859 -0.019821863621473312  0.070412583649158478 -0.019821863621473312   0.19381770491600037,   -1.0302527570873465   -0.32907540145910019    -1.0327157918377239    0.74091707981693844    0.49171934051628341  -0.015497653123475175 6.4356484585914586e-06,0.01386244036257267
IIWA_7,1714572023.3283916,-0.45162539568628596   1.1488328464703164 0.038988219009917537  -1.2280360495869409  -1.9160502456369166  -1.8528464380742122 -0.87302993180900423,  0.051532951811337442  0.0025721750482841153  0.0083198204995714922  -0.020422781384827275   0.055212919057917267  -0.074145905673831031 -0.0044622109315729961,-16.897219047546386  63.359866554260257 -8.2156586456298832 -14.081596660614013 -1.6137272071838378   1.983152473449707 -0.2012522621154785, 22.807838992720423  3.0855697536231927   5.462364124831061  -5.647955427094848  3.1603223092894459 -1.9367624381571185 0.42181440995761266,  0.58259457349777222 -0.036415491253137589   0.21690703928470612,  -0.70500332117080688  -0.011385343968868256 -0.0080793704837560654    0.70906656980514526,-0.00071907590609043837    0.024941505864262581   0.0074061905033886433,0.00011070894106524065    0.70969128608703613 0.00056130730081349611,  0.23990117013454437  0.027162227779626846  0.070427432656288147  0.027162227779626846   0.22960883378982544 -0.019792832434177399  0.070427432656288147 -0.019792832434177399   0.19380912184715271,   -1.0303799805662095   -0.32819362470348779    -1.0318663563957386    0.74020108492334202    0.49228574461590568  -0.013760486408109784 6.7841146034197664e-06,0.023838413879275322
IIWA_7,1714572023.3333914,-0.45123782590909267   1.1488371608151442 0.038999963548620363  -1.2283554891277857  -1.9151522915391239  -1.8540690687041699 -0.87303406638491909,  0.056729152536801407   0.002230313831740821  0.0071256379477702518  -0.029115806741653434   0.080088499158041698   -0.10822194973737059 -0.0037351517818528103, -13.925082904815675   63.529242019653317   -8.620631103515624  -14.093041534423827  -1.6463010787963868     2.23914001083374 -0.24831124877929686, 22.572769783801153  3.1602482747719289  5.2582989825052904 -5.5699538129614217  3.0708113416466074 -1.7120786773280334 0.42575567318017093,  0.58254289627075195 -0.036125220358371735   0.21705071628093719,  -0.70468449592590332  -0.011562599800527096 -0.0078867636620998383    0.70938277244567871,-0.0026540777180343866   0.031549964100122452   0.011672449298202991,0.00011240712046856061     0.7096981406211853 0.00054413004545494914,  0.23991172015666962  0.027178285643458366  0.070433169603347778  0.027178285643458366   0.22962851822376251 -0.019779600203037262  0.070433169603347778 -0.019779600203037262   0.19378124177455902,   -1.0308120385085218   -0.32761836686656665    -1.0316470914979448    0.73965710389156669    0.49284429524210083  -0.011875671279248934 7.1856707251072294e-06,0.030905751511454582
IIWA_7,1714572023.3383911,-0.45073718486722586   1.1488456096268038 0.038986541203090981  -1.2287663083268616  -1.9140638363242723  -1.8554863231806791 -0.87303574419174568,  0.065408963704113587  0.0021222035317775625   0.005163616537040925  -0.039725413356359915    0.10760900792049613   -0.14326773885026448 -0.0030552336985455782, -12.341556728363036   63.236195579528811  -8.6364778518676761  -14.062228412628174  -1.7950844383239746   1.9577873458862305 -0.23829869842529297,  22.41026246007911  3.2759393580199716  5.0443747849975189 -5.4904534911686849  2.9406081549693308 -1.4313304849505157 0.42724562964163093,  0.5824589729309082 -0.03586917370557785  0.21725724637508392,  -0.70424193143844604  -0.011721325106918812 -0.0076914313249289989    0.70982164144515991,-0.005491672083735466  0.035452891141176224  0.017599115148186684,0.00010908910917351022    0.70970320701599121 0.00050872663268819451, 0.23993992805480957 0.027202378958463669 0.070435404777526855 0.027202378958463669  0.22964084148406982 -0.01978059858083725 0.070435404777526855 -0.01978059858083725  0.19374319911003113,   -1.0316149785296602   -0.32733707567800252    -1.0320444687215158    0.73938522847516452    0.49340680391729563 -0.0097563018224278153 7.6675785720681233e-06,0.036598142236471176
