DesiredFlux,0.76,HitTime,1714572101.5514386,DesiredPos, 0.5646175742149353 0.31079459190368652 0.21997490525245667
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572100.8978155,-0.46407706533478255     1.13586220000533 0.024414143142613257  -1.2476705242517483  -1.9564414936427421  -1.8859305687442065 -0.87865634568258444, 0.00067165328614275589  1.2418825462104048e-05 -6.2992663307426324e-07   0.0028577848417999695  8.7974702761795547e-07 -6.8682623580812508e-06   0.0002090017382855759,-0.25271894836425779   65.818499301910407  -2.0046136665344236  -16.752654132843016  -1.4147624778747558   1.7855714797973632 -0.27267512130737304,-0.014378863187571839 0.0036666429563256119   0.55024250726232926  -0.79062854092871648    1.0729627995688658   0.73700595853978956   0.49805084455102616,  0.56547987461090088 -0.046331726014614105    0.2178599089384079,-0.70737928152084351 -0.01694210059940815 0.010402779094874859  0.70655453205108643,0.00080400076694786549  9.134280844591558e-05 0.00047212291974574327,-8.3466176874935627e-05     0.82985186576843262   0.0002067998138954863,  0.24148650467395782  0.030845994129776955  0.067887119948863983  0.030845994129776955   0.22977517545223236 -0.021924767643213272  0.067887119948863983 -0.021924767643213272   0.19219368696212769,   -1.1683906757840035   -0.37170680080578222     -1.159299456825913     0.7553982176169427    0.55708491105388447    0.05849529575385759 1.6935198132728146e-05,0.00085797865176573396
IIWA_7,1714572100.9028151,-0.46407724510369552   1.1358621401187201 0.024414083256003298  -1.2476574015574349  -1.9564414936427421  -1.8859305687442065 -0.87865616591367146, 0.00053013187239508931  7.5395959739507779e-06 -2.8994057048286507e-06   0.0028111356459766404  7.0379762209436444e-07 -5.4946098864650011e-06  0.00017439214714757613,-0.24599769973754884   65.819843551635742  -2.0063744163513184  -16.746491508483885  -1.4191643524169921   1.7865727348327636 -0.27267512130737304,-0.0059456656863398766  0.0044483430965735231    0.55504046994354872   -0.79527706575129598     1.0716849186811017    0.73446104152491254    0.49857501588586634,  0.56548333168029785 -0.046333529055118561   0.21786217391490936,-0.70738136768341064 -0.01694612018764019 0.010398604907095432  0.70655238628387451,0.00078262609895318747   9.23881259495829e-07 0.00046845112228766084,-8.3785045717377216e-05     0.82985162734985352  0.00020653342653531581,  0.24148491024971008  0.030846545472741127  0.067887693643569946  0.030846545472741127   0.22977463901042938 -0.021924685686826706  0.067887693643569946 -0.021924685686826706   0.19219528138637543,   -1.1684169702625979   -0.37170711774603404    -1.1593112718877308    0.75541605419449098    0.55708943414245482   0.058487544899676891 1.6933485724734965e-05,0.00083533761790022254
IIWA_7,1714572100.9078138,-0.46407718510800244   1.1358622598919399 0.024414143142613257  -1.2476443387497314  -1.9564414936427421  -1.8859305687442065 -0.87865586626245551, 0.00042650532563928104  1.0822605570625545e-05  7.5939834506319725e-08   0.0027714208249222448  5.6303809767549159e-07 -4.3956879091720012e-06  0.00015149976635611833,-0.22986670303344728   65.790270057678228  -1.9905276679992676  -16.749132633209229  -1.4094802284240722   1.7855714797973632 -0.27167386627197265,  25.048315243948117   2.6628011178770605    7.763049597060494  -5.9396372095554675   5.0387588697413683   -1.487458682814423 -0.68365517901040973, 0.56548678874969482 -0.04633539542555809  0.21786436438560486, -0.70738351345062256 -0.016950026154518127  0.010394361801445484    0.7065502405166626, 0.00076431100023910403 -7.3933973908424377e-05   0.0004625938308890909,-8.4098464867565781e-05     0.82985138893127441  0.00020627144840545952,  0.24148336052894592  0.030847080051898956  0.067888252437114716  0.030847080051898956    0.2297741025686264 -0.021924611181020737  0.067888252437114716 -0.021924611181020737   0.19219686090946198,   -1.1684426842526463   -0.37170770355121618    -1.1593231275304205     0.7554338289406104    0.55709359252897883   0.058479186407112138 1.6931656077190382e-05,0.00082099688006564975
IIWA_7,1714572100.9128149,-0.46404800353015835   1.1358678925057684 0.024440568300153079  -1.2476398446359906  -1.9564300847744878  -1.8859565145907005 -0.87866731114994245,  0.0014359129409269717  0.00023271011358297458    0.001057054903086945   0.0018513686256787531  0.00045671507455642582  -0.0010406471000201781 -0.00036323285873747128,-0.31186593627929687   65.684074329376216  -2.3356346321105956  -16.492943534851072   -1.564426212310791   1.8880332450866699 -0.23963370513916016,  25.049991636229223   2.6630504132719914   7.7638658752021348  -5.9400910983466169   5.0389629663472935  -1.4878256483719627 -0.68314722804722372, 0.5654902458190918 -0.0463370680809021 0.21786648035049438, -0.70738554000854492 -0.016953937709331512  0.010390320792794228   0.70654815435409546,0.00074901658808812499 -0.0001260698918486014 0.00045464924187399447,-8.4405568486545235e-05     0.82985132932662964  0.00020597719412762672,  0.24148181080818176  0.030847601592540741  0.067888818681240082  0.030847601592540741   0.22977359592914581 -0.021924516186118126  0.067888818681240082 -0.021924516186118126   0.19219841063022614,   -1.1684676013494766   -0.37170764055005634    -1.1593337397952652    0.75545095593465561     0.5570979191542591   0.058471626077860606 1.6929996071723963e-05,0.0008107139146886766
IIWA_7,1714572100.9178176,-0.46359404110096997   1.1359140916983179 0.024674440456424911  -1.2477720906332419  -1.9562671951152613  -1.8861486217815537 -0.87875533530360361,  0.019307227520276835  0.0020341357928486356   0.010200530173342829 -0.0038087449895072715  0.0068809584287053849 -0.0085168053141471238 -0.0038115524334363464, -7.7227146720886228   63.619306751251223  -6.2489011001586912  -14.110649032592773   -1.319681987762451   2.0512378158569335 -0.34877050399780274,  25.051014489034984   2.6633622589806656   7.7643807422619391  -5.9404753712496099   5.0391650410318798  -1.4880708330045578 -0.68263737947477654,  0.56549364328384399 -0.046338461339473724    0.2178686261177063, -0.70738762617111206 -0.016957962885499001   0.01038648933172226   0.70654606819152832, 0.00073512626113370061 -0.00015654871822334826  0.00044963133404962718,-8.4715407865587622e-05     0.82985109090805054  0.00020569759362842888,  0.24148024618625641  0.030848128721117973  0.067889384925365448  0.030848128721117973   0.22977311909198761 -0.021924391388893127  0.067889384925365448 -0.021924391388893127    0.1921999454498291,  -1.1684923546333437  -0.37170663637997592   -1.1593435103813832   0.75546680885008044   0.55710265276243121  0.058465118676132022 1.692849416201625e-05,0.00080211309250444174
IIWA_7,1714572100.9228148,-0.46359404110096997   1.1359140916983179 0.024674440456424911  -1.2477720906332419  -1.9562671951152613  -1.8861486217815537 -0.87875533530360361,  0.019307227520276835  0.0020341357928486356   0.010200530173342829 -0.0038087449895072715  0.0068809584287053849 -0.0085168053141471238 -0.0038115524334363464, -7.7227146720886228   63.619306751251223  -6.2489011001586912  -14.110649032592773   -1.319681987762451   2.0512378158569335 -0.34877050399780274,  25.019865980017677   2.6626300004913079   7.7383244759288754  -5.9292235693790598    5.038162282780319  -1.4717265411931819 -0.68145074828914709,  0.56549203395843506 -0.046312011778354645   0.21787554025650024, -0.70736783742904663 -0.016979770734906197  0.010398739948868752   0.70656514167785645,0.00052397511899471283 0.00093284557806327939 0.00063573010265827179,-8.5027946624904871e-05     0.82985097169876099  0.00020543241407722235,  0.24147821962833405  0.030847867950797081  0.067890934646129608  0.030847867950797081   0.22977669537067413 -0.021921323612332344  0.067890934646129608 -0.021921323612332344   0.19219845533370972,   -1.1684460599932223   -0.37162212529118221    -1.1592140211034163    0.75539701523918978    0.55714198744816201   0.058614958695635266 1.6963435989225673e-05,0.0011397905182093382
IIWA_7,1714572100.927814, -0.4630448639797683   1.1359136722738821 0.024791706183623297   -1.247846033252332  -1.9559170640904198  -1.8864029269437108 -0.87880890480341822,  0.037412866864288331  0.0016105316568449453    0.01285105322660973 -0.0060047007552100577   0.019510007736624049  -0.016985650737600728  -0.005192021939333465, -15.301594623565673   63.628716499328611  -8.7984668350219728  -14.794700336456298  -1.7880414390563966   1.7431850166320801 -0.18055965805053711,  24.611743143655094   2.6770480796577734   7.4430017210766151  -5.8407902031136052   5.0088738714362213  -1.3189177482244343 -0.66542390135292595,  0.56548786163330078 -0.045956339687108994   0.21793118119239807, -0.70717954635620117 -0.017203418537974358  0.010570136830210686   0.70674562454223633,0.00024781195679679513   0.014971774071455002  0.0027351684402674437,-8.5332845628727227e-05     0.82985097169876099  0.00020516051154118031,  0.24145634472370148  0.030841486528515816   0.06790827214717865  0.030841486528515816   0.22982101142406464 -0.021880602464079857   0.06790827214717865 -0.021880602464079857   0.19217957556247711,   -1.1677527391951159   -0.37045642597899331     -1.157528706846378    0.75431085845156787     0.5575630119469821   0.060262556057288919 1.7330923363090278e-05,0.013940092176198959
IIWA_7,1714572100.9328141,-0.46256423673751723   1.1359202636188854 0.024857978953315398  -1.2480396983677087  -1.9552922545441631   -1.886773119677456 -0.87890471868878028, 0.049155383181473222 0.0015520791256103342  0.012931753368971821 -0.012550365219234534  0.040600388039565435 -0.028396229939887267 -0.007986172965949237,  -18.447138980865478    63.807501712799073   -10.200904064178467   -14.205729522705077   -1.7387404441833496    2.2000910644531251 -0.062745315551757816,  24.264943361432202   2.7768461798178428   7.1847518293601134  -5.8231478381995538    4.920229923842026  -1.1702922569659178 -0.63621737252732569,  0.56552243232727051 -0.045595582574605942   0.21803617477416992, -0.70698410272598267 -0.017431693151593208  0.010700705461204052   0.70693355798721313,0.0015676743350923061  0.026405258104205132 0.0063878544606268406,-8.5334337200038135e-05     0.82986551523208618  0.00020516412041615695,  0.24143023788928986  0.030843010172247887  0.067928798496723175  0.030843010172247887   0.22985550761222839 -0.021843681111931801  0.067928798496723175 -0.021843681111931801     0.192172572016716,   -1.1674587951846505   -0.36931766679604294    -1.1562534276672309    0.75331683253399007    0.55798578904919793   0.061810848982268851 1.7682106445704449e-05,0.02492084912955761
IIWA_7,1714572100.9378147,-0.46218307842733114   1.1359188254675816 0.024888538686770115  -1.2483216271831865  -1.9543690856746667  -1.8872935946409424 -0.87905428184286993, 0.054570638952622243 0.0011841372483353445  0.011567792033366119 -0.021317444794501178  0.069407065211508093 -0.043535982491365602 -0.012371464536345356, -17.563966911315919   63.259047824859621  -8.6690517234802247  -14.077194786071777  -1.5890767097473144   2.0362189903259278 -0.15018825531005858, 24.043620269280996  2.8728067758655103  6.9697000306476031 -5.7996394173943875  4.7863253820939633 -1.0079232569913321 -0.6095743976059228,  0.56554657220840454 -0.045273482799530029   0.21816720068454742, -0.70669275522232056 -0.017580263316631317  0.010760133154690266   0.70722031593322754,0.0022042253986001015  0.034000817686319351  0.010351797565817833,-8.2483929872978479e-05     0.82987606525421143  0.00019369968504179269,  0.24143460392951965   0.03083815798163414  0.067944593727588654   0.03083815798163414   0.22987982630729675 -0.021820642054080963  0.067944593727588654 -0.021820642054080963    0.1921498030424118,    -1.167027879544591   -0.36849821439055575     -1.155375675889303    0.75250030893947439    0.55815071773945846    0.06315133827872188 1.8032348947372157e-05,0.032611347734928131
IIWA_7,1714572100.9428146,-0.46181030904219478   1.1359195445432335 0.024970450806473948  -1.2486934378371479  -1.9531514884870054  -1.8879839458821008 -0.87930265484906578,  0.058567286567552286 0.00097607282474473716    0.01253071841484624  -0.031926381994057465     0.1042295396756603  -0.062442835639430885   -0.01983209187691011, -13.138696815490723   63.092360858917239  -8.9974315643310554  -13.809560813903808  -1.9482696723937989   2.1089768562316893 -0.18489842987060548,  23.944369543778542    3.012292259973631   6.7722082112316402  -5.7989626935471099   4.5920217976557467 -0.82373024782965421 -0.57542088010403958,  0.56556886434555054 -0.045007586479187012   0.21834975481033325,-0.70629405975341797 -0.01766517385840416 0.010717829689383507  0.70761692523956299,0.0026393700391054153  0.037818834185600281  0.015583423897624016,-8.2517392002046108e-05      0.8298833966255188  0.00017680008022580296,  0.24146507680416107  0.030829176306724548  0.067957863211631775  0.030829176306724548   0.22989089787006378 -0.021813051775097847  0.067957863211631775 -0.021813051775097847   0.19211715459823608,   -1.1665761007186859   -0.36805596432909482     -1.155011185002941    0.75197681389216342    0.55805469727943091   0.064261509977292519 1.8382388056181753e-05,0.037536937743425369
