DesiredFlux,0.84,HitTime,1714572184.4163508,DesiredPos,   0.55987548828125 0.31173026561737061 0.21955624222755432
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572183.7813537,-0.48244247052155964    1.120817084207522 0.020518790672558466   -1.297594288585854   -1.959203522038985  -1.8743627956790252  -0.9140049555359081, 0.00011307600776097986  2.1739864373275748e-06 -0.00037690253101272005   0.0010846946528987487 -0.00061257031401183053 -8.0723110738860552e-05    3.44469039408564e-05, 0.32665268325805663   64.873491744995121   -1.776596565246582   -16.13375057220459  -1.2025921249389648   1.8880332450866699 -0.27434387969970703,-0.28823413468490261 -0.98172541061329488  0.17007437680437199 -0.86500833183101533  0.21095390255776536 -0.69266739269284217  0.55821955961090253,  0.55388295650482178 -0.051920183002948761   0.21445213258266449,  -0.70661276578903198 -0.0090400436893105507  0.0011137834517285228      0.707541823387146, 0.00014250354433897883 -0.00024482858134433627  2.1297701096045785e-05,  0.00239229341968894   0.91731846332550049 0.0020372474100440741,  0.24681110680103302  0.028889179229736328  0.065537534654140472  0.028889179229736328   0.23013044893741608 -0.023294923827052116  0.065537534654140472 -0.023294923827052116   0.18840433657169342,    -1.091020803436038   -0.40823125423727902    -1.1691411968550725    0.72316103966141299     0.5163745555663013   0.017859518131047025 1.1836345237270507e-05,0.00026013480965048075
IIWA_7,1714572183.7863224,-0.48244121213916896    1.120817084207522 0.020517052979121948  -1.2975885960854154  -1.9592062065299074  -1.8743629754479383  -0.9140049555359081, 0.00014079610183593023  1.7391891498620599e-06 -0.00037102976227090388   0.0010954557398622409 -0.00059743588810723977 -7.1769245114644724e-05   2.755752315268512e-05, 0.33875093078613283   64.877524494171141  -1.7721946907043458  -16.144315071105957   -1.206113624572754   1.8880332450866699 -0.27534513473510741,  28.356193793855464   3.0117014177944301    9.373220994419615  -6.8794212933118111   4.2236560753926415  -2.4355134847400501 -0.70494450633210759, 0.55388373136520386 -0.05192117765545845  0.21445228159427643,  -0.70661455392837524 -0.0090419193729758263  0.0011135125532746315    0.70753997564315796, 0.00014579619164578617 -0.00023562691058032215  2.3176313334261067e-05,0.0023917385842651129   0.91731846332550049 0.0020369489211589098,  0.24681052565574646  0.028889581561088562  0.065537653863430023  0.028889581561088562   0.23013027012348175 -0.023294961079955101  0.065537653863430023 -0.023294961079955101   0.18840491771697998,   -1.0910376875647998   -0.40823215609542274    -1.1691509432942837    0.72316745398293136    0.51638022262512351   0.017858754959299006 1.1835719071484618e-05,0.00025461553013883531
IIWA_7,1714572183.791352,-0.48244013363477434    1.120817204089825 0.020515854483341221  -1.2975834427826327  -1.9592092744696665   -1.874363454868067 -0.91400477576699513, 0.00015577705725373892  6.1866434388316775e-06 -0.00034476364104577776   0.0010824967031987248 -0.00060066630085087646 -7.6592201240006783e-05   2.923677504126348e-05, 0.34278367996215819   64.889622741699213  -1.7713143157958984  -16.141673946380614   -1.203472499847412   1.8900357551574707 -0.27501138305664063,  28.355687420855205   3.0121531585490953   9.3729746340046667  -6.8797396689971642   4.2238039299846042  -2.4356051707660482 -0.70477019032895449,  0.55388462543487549 -0.051921971142292023   0.21445252001285553,  -0.70661646127700806 -0.0090439580380916595  0.0011133556254208088    0.70753812789916992,  0.0001512066664872691 -0.00022023111523594707  2.7945679903496057e-05,0.0023917383514344692   0.91731846332550049 0.0020369486883282661,  0.24680989980697632  0.028890006244182587  0.065537795424461365  0.028890006244182587   0.23013010621070862 -0.023294975981116295  0.065537795424461365 -0.023294975981116295   0.18840552866458893,   -1.0910553493159725    -0.4082322678957695    -1.1691605647774495    0.72317328585480567    0.51638641955786824   0.017858710081419815 1.1835195046216995e-05,0.00024595929426141083
IIWA_7,1714572183.7963588,-0.48241137148136609   1.1208257128971777 0.020542219863354159  -1.2976029171664265  -1.9592011251783232  -1.8743837681007325 -0.91401807823022152,  0.0012751077821328335  0.00034530160885918031   0.0007788042876809057  8.7022010807225958e-05 -0.00015456138694887431 -0.00087380306761168582  -0.0005087091090227692, 0.13039222335815429   64.764607517242425  -2.1938942718505858   -15.83706422805786  -1.3584184837341309   1.9724724197387695 -0.24397247695922852,   28.35516532940051   3.0126368038072497   9.3727827176518836  -6.8801551526771938   4.2238853898258171  -2.4357663513175205 -0.70452800640647384,  0.55388557910919189 -0.051922675222158432   0.21445274353027344,  -0.70661836862564087 -0.0090461047366261482  0.0011130141792818904    0.70753616094589233, 0.00015992579574231058 -0.00020436053455341607   3.141253546345979e-05, 0.002391098765656352   0.91731840372085571 0.0020366066601127386,  0.24680925905704498  0.028890427201986313  0.065537944436073303  0.028890427201986313   0.23012992739677429 -0.023294983431696892  0.065537944436073303 -0.023294983431696892   0.18840615451335907,   -1.0910729225912519   -0.40823201419115662    -1.1691700359675039    0.72317883642192271    0.51639245634405029   0.017858262122416591 1.1834610624816833e-05,0.00023935936042107642
IIWA_7,1714572183.8013518,-0.48195225585847812   1.1208937832469161 0.020844761562713397   -1.297771535279874  -1.9590684358238086  -1.8745801895273304 -0.91411556992241016,  0.019384711141225201  0.0029990552766247869   0.012724711404514208 -0.0066751069292535353  0.0051839250710250407 -0.0085558995180063813 -0.0043066349747640092, -7.9848433685302735   62.061321319580081  -6.8827710342407222  -12.953836402893065  -1.1392051315307616    2.354284339904785 -0.33608794021606447,   28.35456585866908   3.0128031675572844   9.3724818403967447  -6.8801803099960788   4.2241789597313408  -2.4357424700652723 -0.70441124032973124,   0.5538862943649292 -0.051923211663961411   0.21445293724536896,   -0.7066199779510498 -0.0090482104569673538  0.0011130908969789743    0.70753449201583862, 0.00015744935080874711 -0.00018503807950764894  3.2520412787562236e-05, 0.002390559297055006   0.91731828451156616 0.0020363510120660067,  0.24680864810943604  0.028890827670693398  0.065538071095943451  0.028890827670693398   0.23012979328632355 -0.023294968530535698  0.065538071095943451 -0.023294968530535698   0.18840669095516205,   -1.0910892021716023    -0.4082313338846788    -1.1691778093636529    0.72318361818979326    0.51639888367738251   0.017859706774814299 1.1834391244747167e-05,0.00022446407820098102
IIWA_7,1714572183.806356,-0.48142369162115789   1.1208925848602185 0.021010263718030695  -1.2978729217833715   -1.958824916316463  -1.8748820122601211 -0.91419334746619907,  0.036650338405789289  0.0023513087533936724   0.016799855336303314 -0.0093955456833051502   0.013887920350643224  -0.018917628926031851 -0.0065564097313673634, -15.618837558746337   62.279089775085453  -9.7862474822998049  -13.521678218841553  -1.4490970993041992   1.9080583457946778 -0.15085575866699219,  27.891202836087736   3.0007765666979567   9.0203072803101154  -6.7524436799922203   4.2117653622070419  -2.2545463602729114 -0.69235140014483065, 0.55387049913406372 -0.05151006206870079  0.21450513601303101,  -0.70639079809188843 -0.0093009378761053085  0.0013265942689031363    0.70775967836380005,-0.00050406181253492832    0.016180727630853653   0.0020910040475428104,0.0023899239022284746   0.91731828451156616 0.0020360182970762253,  0.24678729474544525  0.028882997110486031  0.065557263791561127  0.028882997110486031   0.23018358647823334 -0.023245980963110924  0.065557263791561127 -0.023245980963110924   0.18837825953960419,  -1.0902825629255375  -0.40680925656921829   -1.1671521477119029   0.72187923198807624   0.51695176947230692  0.019854648360961846 1.223914392056713e-05,0.014946851879358292
IIWA_7,1714572183.8113549,-0.48099753250511995   1.1209003745919195 0.021130405638753291  -1.2981176995203916  -1.9583577232661638  -1.8754374210794169 -0.91433368273728421, 0.046366635366148976 0.0021926362707554731  0.018245561097946495 -0.017307546027445317  0.029798058292486468 -0.037350455912658793 -0.010858538628499722,  -17.875832847595216    62.265647277832031   -10.651656017303466   -13.091174888610839   -1.6172487068176269    2.6563296089172361 -0.068085342407226565,  27.544281078517333    3.090991396982453   8.7527426370654382  -6.7136907632466949   4.1514918902791429  -2.0849643873062962 -0.66530203813780697, 0.55388182401657104 -0.05114687979221344  0.21460935473442078,  -0.70618957281112671 -0.0095596928149461746  0.0014946461888030171    0.70795667171478271,3.6817662476096302e-05   0.027467738837003708  0.0058421571739017963,0.0023892517201602459   0.91731816530227661 0.0020356809254735708,  0.24676039814949036  0.028890293091535568  0.065576530992984772  0.028890293091535568   0.23022188246250153 -0.023208238184452057  0.065576530992984772 -0.023208238184452057   0.18836747109889984,   -1.0901938689782398   -0.40560830801350534    -1.1659372667329748    0.72085122690523917    0.51756275615932879    0.02164720390940289 1.2600851917454747e-05,0.025714192539453506
IIWA_7,1714572183.8163755,-0.48065328572695198   1.1209003745919195   0.0212597153377043  -1.2984712341772571  -1.9576447098409659  -1.8762261628573289 -0.91453657573566549, 0.050863179419637861 0.0017541090166043787  0.019768836836397567 -0.027987423096576057  0.052358983641901419 -0.061430035846606806 -0.016802550838050843, -16.737253330230711   61.906732601165771  -8.8741790771484368  -12.672996807098388  -1.3055959892272948   2.2665076484680178 -0.18723469161987305,  27.324940847783616    3.180843856716165   8.5209173769123332  -6.6463881776807563   4.0545684658646932  -1.8621919215317222 -0.64332289009860122,  0.55384725332260132 -0.050835497677326202   0.21475443243980408,  -0.70585900545120239 -0.0097619239240884781  0.0016255819937214255     0.7082831859588623,-0.0013694758526980877   0.034416999667882919   0.010478236712515354,0.0023887893185019493   0.91733628511428833 0.0020354525186121464,  0.24676516652107239  0.028897615149617195  0.065585970878601074  0.028897615149617195   0.23025131225585938 -0.023188639432191849  0.065585970878601074 -0.023188639432191849   0.18833616375923157,   -1.0901908956428841    -0.4048363959130441    -1.1653139022573811    0.72011437706454018    0.51805186022590988    0.02351170786418777 1.3017795730263515e-05,0.032966524362564087
IIWA_7,1714572183.8213813,-0.48027410476572535   1.1209009138986583 0.021495804607541556  -1.2988940975662517   -1.956676959851853  -1.8773117539432447 -0.91483606147258756, 0.055857781984775604 0.0014248594828364083  0.025258640262608257 -0.039304474037047461  0.080597186478040178 -0.092567672113916311 -0.025421470147323363, -13.289252784729005    61.73466863632202  -9.4525853919982907  -13.059481391906738  -1.7360993194580079   2.2591651115417481 -0.16654208755493163,  27.185819945596119   3.3157185240678611   8.2732566380911248  -6.5854297963534458   3.9037042025521913  -1.5900653014149504 -0.61494323678186125,  0.55378979444503784 -0.050551958382129669   0.21496415138244629,  -0.70539295673370361 -0.0099392589181661606  0.0016977512277662754    0.70874476432800293,-0.0034071439877152443   0.038847982883453369   0.016773147508502007,0.0023878582287579775   0.91734927892684937 0.0020085505675524473,  0.24679100513458252   0.02890375629067421   0.06559213250875473   0.02890375629067421   0.23027414083480835 -0.023181276395916939   0.06559213250875473 -0.023181276395916939     0.188291996717453,   -1.0902062813666902    -0.4043656452843436    -1.1650793128925585    0.71961363509842613    0.51841428401733225   0.025484667622421853 1.3496990192152225e-05,0.038870912045240402
IIWA_7,1714572183.8263547,-0.47976968879485266   1.1209027714743978 0.021781508570191409  -1.2994404583805392  -1.9554798795331476  -1.8786382877323984 -0.91528295324572684, 0.064862864422728317 0.0012141906158471313  0.031635070716080765 -0.053298011801137739   0.11236096193064642  -0.12711548925728128 -0.038212847043429879, -12.972009849548339   62.015616828918461   -9.133009300231933  -13.140475883483887  -1.8056489372253417   2.2718476753234862 -0.10813554382324218,  27.185819945596119   3.3157185240678611   8.2732566380911248  -6.5854297963534458   3.9037042025521913  -1.5900653014149504 -0.61494323678186125,  0.55378979444503784 -0.050551958382129669   0.21496415138244629,  -0.70539295673370361 -0.0099392589181661606  0.0016977512277662754    0.70874476432800293,-0.0034071439877152443   0.038847982883453369   0.016773147508502007,0.0023581776767969131   0.91735935211181641 0.0019463284406810999,  0.24679100513458252   0.02890375629067421   0.06559213250875473   0.02890375629067421   0.23027414083480835 -0.023181276395916939   0.06559213250875473 -0.023181276395916939     0.188291996717453,   -1.0902062813666902    -0.4043656452843436    -1.1650793128925585    0.71961363509842613    0.51841428401733225   0.025484667622421853 1.3496990192152225e-05,0.038870912045240402
