DesiredFlux,1.11,HitTime,1714572388.1263599,DesiredPos,0.55467534065246582 0.31005221605300903 0.21966871619224548
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572387.5660858,-0.48006677775837941   1.1315548898361114 0.014487429869253646  -1.2585687986151755   -1.962672715436635  -1.9050187425904195 -0.89056273302118827, 5.7580501128407435e-05 -1.2592855598529704e-06 -2.4144927136232483e-05  3.4161423913286212e-07 -9.8974840689103325e-06  1.7940408956253294e-06  5.3421683125645438e-06, 0.27019419479370116   65.653156585693353  -1.7079273223876952  -16.426915416717527  -1.2492519950866698   1.8209491577148438 -0.23429367828369141,-0.12539055550059214  0.78374305439006486 -0.10068808603543039  -2.2162385802191134  -0.2483447653848633  0.20080151070600702   0.4839404513629233,  0.55767709016799927 -0.057569064199924469   0.21897219121456146, -0.70523267984390259  -0.01566411554813385 0.0093600302934646606   0.70874106884002686,-7.4121612669841852e-07  2.0334258806542493e-05 -4.0409631765214726e-06,-0.00058248674031347036      1.2115577459335327  0.00013515714090317488,  0.24379932880401611  0.032093554735183716  0.066333815455436707  0.032093554735183716   0.22873386740684509 -0.024102844297885895  0.066333815455436707 -0.024102844297885895   0.19103674590587616,   -1.2267798622600523    -0.4254246537422901     -1.254582870604537    0.79141261396209472    0.56572702988777479   0.059420006378374524 1.8415900804313878e-05,1.9006196453119628e-05
IIWA_7,1714572387.5710845,-0.48006611856933756   1.1315547100671985 0.014487429869253646  -1.2585689184974784   -1.962672811255211  -1.9050187425904195 -0.89056285279440817, 7.2431962576793689e-05 -8.1981849625568657e-06 -1.9315941708985989e-05 -4.5220007276357396e-06 -1.1750730293629273e-05  1.4352327165002635e-06 -5.1719414585417782e-07, 0.28901369094848633    65.66391058349609  -1.7105684471130371  -16.429556541442871  -1.2536538696289061   1.8209491577148438 -0.23429367828369141,  35.723102898190454   3.6212180840923827   13.511509330355178  -8.5058842384302906   4.9679435234367766  -1.3812979897572086 -0.80776370723629753,  0.55767714977264404 -0.057568874210119247   0.21897214651107788, -0.70523267984390259 -0.015664214268326759  0.009360235184431076   0.70874106884002686, 3.2377425895901979e-07  2.3881020752014592e-05 -5.4946717682469171e-06,-0.00058248831192031503      1.2115578651428223  0.00013516329636331648,  0.24379931390285492  0.032093562185764313  0.066333822906017303  0.032093562185764313   0.22873389720916748 -0.024102820083498955  0.066333822906017303 -0.024102820083498955   0.19103673100471497,    -1.226779896004615   -0.42542384754185036    -1.2545820434093358    0.79141199221677283    0.56572748962935293   0.059420860862857694 1.8416040248325771e-05,2.2452837583841756e-05
IIWA_7,1714572387.5760345,-0.48006551937598874   1.1315547100671985 0.014487429869253646  -1.2585689184974784   -1.962672811255211  -1.9050187425904195 -0.89056285279440817, 8.1913304014513569e-05 -6.5585479700454926e-06 -1.5452753367188793e-05 -3.6176005821085918e-06 -9.4005842349034195e-06  1.1481861732002108e-06 -4.1375531668334226e-07, 0.30111193847656248   65.684074329376216  -1.6973628234863281  -16.431317291259766  -1.2580557441711426   1.8236191711425782 -0.23729744338989259,  35.722790873831272   3.6213476047843329   13.511303962947562  -8.5058904595093541   4.9679442706592294  -1.3811953881159837 -0.80773006061063946,  0.55767714977264404 -0.057568501681089401   0.21897220611572266, -0.70523273944854736 -0.015664521604776382 0.0093604438006877899   0.70874100923538208, 6.5473409449623432e-07  3.4039097954519093e-05 -1.9490205431793584e-06,-0.00058246706612408161      1.2115576267242432  0.00013516972830984741,  0.24379925429821014  0.032093580812215805  0.066333837807178497  0.032093580812215805   0.22873394191265106 -0.024102775380015373  0.066333837807178497 -0.024102775380015373   0.19103674590587616,   -1.2267800642886684   -0.42542233836684318    -1.2545808118700208    0.79141043697372737    0.56572823026534991    0.05942240001655108 1.8416296931889065e-05,3.1242634577210993e-05
IIWA_7,1714572387.5810816,-0.48003777584036517   1.1315605223408569 0.014520506367489739  -1.2585953436550184   -1.962658717896034  -1.9050368388186025 -0.89057663467776349,  0.0011752720681544114  0.00022724410795867052   0.0013106977267499668  -0.0010599003820625725  0.00055621389969264781 -0.00072293057838348032 -0.00055160633846629953, 0.10753997802734375   65.611484844207766  -2.1727652740478516  -16.113501949310301  -1.4631830978393554   1.8993808021545411 -0.20292102050781249,  35.722784286957101   3.6213466567974733   13.511300117499459  -8.5058885105525164   4.9679444309595118  -1.3811953617270385 -0.80773006061063946,  0.55767714977264404 -0.057568501681089401   0.21897220611572266, -0.70523273944854736 -0.015664521604776382 0.0093604438006877899   0.70874100923538208, 6.5473409449623432e-07  3.4039097954519093e-05 -1.9490205431793584e-06,-0.00058248778805136681      1.2115576267242432  0.00013516026956494898,  0.24379925429821014  0.032093580812215805  0.066333837807178497  0.032093580812215805   0.22873394191265106 -0.024102775380015373  0.066333837807178497 -0.024102775380015373   0.19103674590587616,   -1.2267800642886684   -0.42542233836684318    -1.2545808118700208    0.79141043697372737    0.56572823026534991    0.05942240001655108 1.8416296931889065e-05,3.1242634577210993e-05
IIWA_7,1714572387.5861065,-0.47958519167587049   1.1315841911871756 0.015065249261560557  -1.2588132169234525  -1.9624595880456861  -1.9051835256700849 -0.89067136994964791,   0.01904358423431048  0.0011285491391132768   0.022838273944232702 -0.0095628510430157913  0.0084101651336688302 -0.0064458185220002268 -0.0042306959461496929, -8.8854906845092767   63.617962501525881   -8.675214347839356  -13.274292869567871  -1.6366169548034668   2.3082266082763674 -0.30104401397705077, 35.690071227803031  3.6190785372538929  13.482594306732292 -8.4939208238090185  4.9662758656605179 -1.3656422630101781 -0.8070568745296226,  0.55767345428466797 -0.057537753134965897   0.21897628903388977, -0.70520955324172974 -0.015681283548474312 0.0093745216727256775    0.7087634801864624,-0.00014695174468215555   0.0012489330256357789  0.00016254036745522171,-0.00058251252630725503      1.2115577459335327  0.00013517201296053827,  0.24379877746105194  0.032091930508613586  0.066335231065750122  0.032091930508613586   0.22873879969120026 -0.024099279195070267  0.066335231065750122 -0.024099279195070267   0.19103319942951202,    -1.226664810966227   -0.42531985747729095    -1.2543991123790121    0.79130200169164056    0.56575140909309596   0.059575711206960591 1.8451459915524993e-05,0.0011617174604907632
IIWA_7,1714572387.5910611,-0.47909461736587999   1.1315598033742882 0.015439217033394566  -1.2590138328125753  -1.9620797359835456  -1.9053481289808374 -0.89073914075725358,    0.03485783978706835 -7.2673204204703264e-05    0.033229330028746534   -0.015674916399324251    0.021922214592556215   -0.011740787247700991   -0.006095389061146617,  -17.23596997833252   63.312817813873288  -10.990600357055664  -13.558653964996338  -1.2571753692626952   1.7575363388061522 -0.16654208755493163, 35.690074480658787  3.6190786970211914  13.482596316313337 -8.4939218622235355  4.9662757704248133 -1.3656425132038961 -0.8070568745296226,  0.55767345428466797 -0.057537753134965897   0.21897628903388977, -0.70520955324172974 -0.015681283548474312 0.0093745216727256775    0.7087634801864624,-0.00014695174468215555   0.0012489330256357789  0.00016254036745522171,-0.00058250996517017484      1.2115578651428223  0.00013515984755940735,  0.24379877746105194  0.032091930508613586  0.066335231065750122  0.032091930508613586   0.22873879969120026 -0.024099279195070267  0.066335231065750122 -0.024099279195070267   0.19103319942951202,    -1.226664810966227   -0.42531985747729095    -1.2543991123790121    0.79130200169164056    0.56575140909309596   0.059575711206960591 1.8451459915524993e-05,0.0011617174604907632
IIWA_7,1714572387.596071,-0.47874797370523364   1.1315583652229846  0.01583781238272192  -1.2593787524703177  -1.9613867601598911   -1.905598239789553 -0.89087324422116132,   0.041752018255508713 -0.00011566461550780389    0.042527277996091364   -0.027136719429156811    0.045256804620223474   -0.019397062146785597   -0.010240449805226978,   -19.38945803833008    63.010361625671386   -11.833119144439697   -12.840268039703369   -2.1754063987731933    2.2741839370727539 -0.055402778625488279,  35.194154091659136   3.7020558903550929    13.02321304328415  -8.4176502459073177    4.902332139854165  -1.1691014215457056 -0.78052755643825211,  0.55769288539886475 -0.057072188705205917   0.21908465027809143, -0.70492672920227051 -0.015966815873980522 0.0095353331416845322   0.70903629064559937,0.00065139366779476404   0.019619636237621307  0.0044667962938547134,-0.00058251101290807128      1.2115598917007446  0.00013516009494196624, 0.24375803768634796 0.032069873064756393 0.066370226442813873 0.032069873064756393  0.22880770266056061 -0.02403663657605648 0.066370226442813873 -0.02403663657605648  0.19101259112358093,  -1.2250819309755911  -0.42359688409288054   -1.2515097806113928   0.78973137496518575   0.56607832692989746  0.061633324233589803 1.891141110377248e-05,0.018444163724780083
IIWA_7,1714572387.6010795,-0.47851056616639576    1.131549556873499 0.016376383465308449  -1.2598708247091388  -1.9604247624269269  -1.9059033581403035 -0.89106744864327692,   0.042897916157922412 -0.00044486567182937926    0.055564665700334269   -0.041392265096168813    0.074685353014748268   -0.027722383747449793   -0.015960536728805416, -18.94988837814331  62.244139282226563 -9.3231702804565426 -12.755752048492431 -1.0450050163269042  1.8526555671691896  -0.149520751953125,  34.629289337838294   3.9177390457001815   12.396722917837776  -8.3651346980484949    4.637609979439473 -0.83464342026437688 -0.71999301302890584,  0.55777299404144287 -0.056268882006406784     0.219374880194664, -0.70426702499389648 -0.016331996768712997 0.0096258269622921944   0.70968204736709595,0.0032161420676857233  0.041270866990089417  0.013415565714240074,-0.00058090692618861794      1.2115598917007446  0.00013416293950285763,  0.24373224377632141  0.032018713653087616   0.06643039733171463  0.032018713653087616   0.22890430688858032 -0.023946035653352737   0.06643039733171463 -0.023946035653352737   0.19096346199512482,    -1.222094175707511     -0.420976497855996    -1.2471674085157147    0.78716394441435966    0.56609489705383709   0.064667663751905025 1.9668286554974657e-05,0.039865430444478989
IIWA_7,1714572387.6061056,-0.47830240020109499   1.1315311011074898 0.017180944362145092  -1.2605079062107818  -1.9591427379807245  -1.9063777536844604 -0.89138922507090701,  0.042644971538368576 -0.0010941231778326564   0.076634168433733107  -0.058597072142654603    0.11102926025989465  -0.041153728764233719  -0.025639486488248087,-15.630935806274413  61.305852973937988 -10.905203990936279  -12.68884355545044  -2.187731647491455  2.1056393394470216 -0.1602008056640625,  34.498754610019176   4.0644992103870257   12.066742993695476  -8.3556964272558325   4.4174259867709136 -0.63999137997956979 -0.68011772894674805,   0.5578160285949707 -0.055887613445520401   0.21958944201469421, -0.70374196767807007 -0.016421813517808914 0.0095053408294916153   0.71020227670669556,0.0042679836042225361  0.048242397606372833  0.019325561821460724,-0.00058092171093448997      1.2115906476974487  0.00013416634465102106,  0.24375498294830322  0.031966883689165115  0.066463857889175415  0.031966883689165115   0.22894729673862457 -0.023908492177724838  0.066463857889175415 -0.023908492177724838   0.19091737270355225,   -1.2196585296786466   -0.41997311044017493    -1.2447913237174646    0.78604313949259819    0.56553692907002073   0.065893015107398867 2.0059434113761654e-05,0.047769557684659958
IIWA_7,1714572387.6111054,-0.47802053127222716   1.1315006012606452 0.018090307371825473  -1.2612960486862617  -1.9576076067590624  -1.9069251931122255 -0.89188309499885765,  0.045390734385408242 -0.0020952924160483688   0.097681855134201745  -0.078403356733318469    0.15022865707439753  -0.054820560121992559  -0.040266386308624107, -14.819008972167969   60.863594814300534  -10.859424495697022  -12.028562374114991  -1.7114488220214843   2.2024273262023928 -0.11981685256958008,  34.328169970740468   4.3093299256523778   11.581764662298138  -8.3647915676400117   4.1155876069253576 -0.35754971387566759 -0.61228923586771977,   0.5578690767288208 -0.055414915084838867   0.21991045773029327, -0.70300239324569702 -0.016573984175920486 0.0092913787811994553    0.7109336256980896,0.0054956059902906418  0.057448472827672958  0.028322014957666397,-0.00058401958085596561      1.2116333246231079  0.00011304087820462883,  0.24378195405006409  0.031897958368062973  0.066511243581771851  0.031897958368062973   0.22900258004665375 -0.023860566318035126  0.066511243581771851 -0.023860566318035126   0.19085967540740967,   -1.216442114839289  -0.41877001710588502   -1.2416788967026804   0.78475667973254559    0.5647688813068541  0.067547290165670404 2.059598003256724e-05,0.058891307562589645
