DesiredFlux,1.16,HitTime,1714572465.3513434,DesiredPos,  0.555350661277771 0.31177639961242676 0.21992281079292297
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714572464.8029146,-0.46606261166937818    1.133004082201686  0.01676790804950366  -1.2548410455317003  -1.9654878578672075  -1.9073499140769599 -0.88833444618514223,  0.0011474366899325399 -1.0057559852390539e-05   6.435794975592477e-06 -3.8983409845710873e-05  4.3216413526898138e-06  4.6024732393767735e-05  4.0536358339055707e-05,-0.10888422775268555   65.745909816741943  -1.7308170700073242  -16.363528423309326  -1.3170408630371093   1.7538650703430176 -0.24297122192382811,0.075047747797922726  0.58836476475158084  0.41550193590228207  -1.4725149586950177   0.7948411977943215   1.3928074584219208  0.50631775493032938,  0.55859434604644775 -0.049446724355220795   0.21926572918891907, -0.70477849245071411 -0.022123944014310837  0.015954334288835526   0.70890289545059204, 7.2179936978500336e-05  0.00079300266224890947 -1.0155064956052229e-05,-0.00070877576945349574      1.2666089534759521  0.00014354598533827811,  0.24235226213932037  0.032510712742805481  0.066830582916736603  0.032510712742805481   0.22976101934909821 -0.023024141788482666  0.066830582916736603 -0.023024141788482666   0.19126862287521362,   -1.2315859584388633   -0.39194642344941855    -1.2212088075038707    0.76614099487670728    0.58509238108772621   0.099085116068486911 2.5711245577042519e-05,0.00072931806789711118
IIWA_7,1714572464.807893,-0.46606225213155228    1.133004082201686 0.016767728280590706  -1.2548411654140035  -1.9654878578672075  -1.9073497343080468 -0.88833414653392628, 0.00093233086498204225 -8.0460478819124316e-06 -2.0421205376699554e-06 -3.5982020004392513e-05  3.4573130821518511e-06  4.4010542438570468e-05  4.4415135309301979e-05,-0.12098247528076173    65.73381156921387  -1.7290563201904297  -16.370571422576905  -1.3188016128540039   1.7528638153076173 -0.24530748367309571,0.087530052910200329  0.59605635006524982  0.41993639179177111  -1.4793283907286803  0.79185430202709695    1.393107825209597  0.50622184735033837,  0.55859428644180298 -0.049446381628513336   0.21926574409008026, -0.70477837324142456 -0.022123998031020164  0.015954606235027313   0.70890295505523682, 5.5551667173858732e-05  0.00064815738005563617 -7.3949458965216763e-06,-0.00070875178789719939      1.2666089534759521  0.00014355353778228164,  0.24235226213932037  0.032510697841644287    0.0668305903673172  0.032510697841644287   0.22976106405258179 -0.023024102672934532    0.0668305903673172 -0.023024102672934532   0.19126859307289124,   -1.2315847619266407   -0.39194523434016304    -1.2212069774006906    0.76613942289061043    0.58509258599759306   0.099086360844324872 2.5711472062539542e-05,0.00059581740060821176
IIWA_7,1714572464.8128667,-0.46606147316929047    1.133004082201686   0.0167678481628937  -1.2548414650652193  -1.9654877618740985  -1.9073496743123537 -0.88833396676501331, 0.00077702318245782788 -6.4368383055299456e-06  3.1615956896387326e-06 -4.0771664637130535e-05  6.6055748264095047e-06  3.7608261674065943e-05  4.2722864766556969e-05,-0.12501522445678712    65.73784431838989  -1.7387404441833496  -16.370571422576905  -1.3135193634033202   1.7558675804138184 -0.24397247695922852,  36.379268986606846   3.6436201458473043   14.312607960132254  -8.6034228462497317   5.5593178198770108 -0.53409091189545066 -0.77228798375340069,  0.55859428644180298 -0.049446221441030502    0.2192656546831131, -0.70477843284606934 -0.022123889997601509  0.015954837203025818   0.70890289545059204, 4.444917431101203e-05 0.00052485201740637422 -9.311908797826618e-06,-0.00070878269616514444      1.2666088342666626  0.00014357994950842112,  0.24235226213932037  0.032510694116353989  0.066830582916736603  0.032510694116353989   0.22976107895374298 -0.023024087771773338  0.066830582916736603 -0.023024087771773338   0.19126857817173004,   -1.2315844533983267   -0.39194466459324673    -1.2212064542200807     0.7661385958233069    0.58509268491135913   0.099086550546800822 2.5711450746257469e-05,0.00048247183440253139
IIWA_7,1714572464.8179123,-0.46606075409363867   1.1330039623193831 0.016767728280590706  -1.2548414650652193  -1.9654878578672075  -1.9073496144257438 -0.88833354734057746, 0.00065038157203828296 -9.9447627633659866e-06 -2.2660155680637106e-06 -3.2617331709704432e-05    1.44473550043958e-06  3.2482073734985218e-05    5.09552692472088e-05,-0.12367097473144531   65.729778820037836  -1.7440226936340333  -16.373212547302245  -1.3091174888610839    1.753197566986084 -0.24163621520996093,  36.381660354967266   3.6437212084516646   14.313677399360918  -8.6036644116126269   5.5593175696580781 -0.53423700915184735 -0.77235212716646373,   0.5585942268371582 -0.049445707350969315    0.2192656397819519, -0.70477837324142456 -0.022124016657471657  0.015955220907926559   0.70890295505523682, 3.5292901884531602e-05  0.00044052785960957408 -8.3671548054553568e-06,-0.00070875580422580242      1.2666089534759521  0.00014357388135977089,  0.24235224723815918  0.032510679215192795  0.066830597817897797  0.032510679215192795   0.22976115345954895 -0.023024030029773712  0.066830597817897797 -0.023024030029773712   0.19126854836940765,   -1.2315832043920949   -0.39194283010246522    -1.2212039813581654    0.76613654169666034    0.58509314033194926   0.099088337412567284 2.5711797135841152e-05,0.0004048143164254725
IIWA_7,1714572464.8229125,-0.46603229159144638   1.1330103738954733 0.016800864665436756  -1.2548681898739751  -1.9654740519637584  -1.9073704070785382 -0.88834577119032609,  0.0016588053453224115  0.00024850723340012895   0.0013236425813875667  -0.0010950862155982657  0.00055339192636541924   -0.000805720452788865 -0.00044818977454776158,-0.31993143463134766   65.642402587890629  -2.2414345169067382  -16.045713081359864  -1.4983980941772461   1.8463142852783203 -0.21560358428955079,  36.383699649087042   3.6439106390526494   14.314667453316915  -8.6039622813405572   5.5593307082055752 -0.53440036236859667  -0.7724104997127228,  0.55859428644180298 -0.049445353448390961    0.2192656546831131, -0.70477843284606934 -0.022124124690890312  0.015955610200762749   0.70890289545059204, 2.9545304641942494e-05  0.00036661463673226535 -6.0526417655637488e-06,-0.00070875987876206636      1.2666089534759521  0.00014359423948917538,  0.2423521876335144 0.032510701566934586  0.06683061271905899 0.032510701566934586  0.22976118326187134 -0.02302398718893528  0.06683061271905899 -0.02302398718893528  0.19126856327056885,   -1.2315835215304105    -0.3919414115687303    -1.2212029185532103    0.76613513525458643    0.58509384850857771   0.099089616378833512 2.5711966777919315e-05,0.00033689121482893825
IIWA_7,1714572464.8278661, -0.4655845010828254   1.1330412332801441 0.017342311941547499  -1.2550889392268505  -1.9652644717799812  -1.9074999565420951 -0.88841336222901879,  0.019238664621097214  0.0014331811735494593   0.022716805109539748 -0.0097060430874952378  0.0088259208921782212 -0.0058265549045079584 -0.0030621933673459561, -9.0468006515502921   63.600487255096432  -8.5783731079101564  -13.205623626708984  -1.6788749504089355   2.0662566413879393 -0.31005530929565428,  36.352109930447483   3.6412045476667489   14.286650055266485  -8.5911592184729937   5.5579033228476282 -0.51800350880545221 -0.77205358450040706,  0.55858957767486572 -0.049414560198783875   0.21926984190940857,  -0.7047542929649353 -0.022140622138977051   0.01597144827246666   0.70892602205276489,-0.0001645450247451663  0.0015249083517119288 0.00016311474610120058,-0.00070873420918360353      1.2666089534759521  0.00014359492342919111,  0.24235181510448456  0.032509066164493561  0.066831916570663452  0.032509066164493561   0.22976607084274292 -0.023020518943667412  0.066831916570663452 -0.023020518943667412   0.19126486778259277,   -1.2314692621337997    -0.3918440145769253    -1.2210228692577374    0.76603201776315188    0.58511829701046736   0.099246542207609423 2.5749637089234056e-05,0.0014125838642939925
IIWA_7,1714572464.832912,-0.46510303477353637   1.1330163061605178  0.01776613406171702  -1.2552954274944077  -1.9648340943558575  -1.9075943322761537 -0.88842241034311042,  0.034649584068438766 0.00014946015379133743    0.03512632889441264  -0.016024365172284321   0.024275833678689074 -0.0084362732859492306 -0.0028116792575422263, -17.674195388793944   63.306096565246584  -11.351554069519043  -13.601792335510254  -1.4543793487548828   1.6864472312927246 -0.19324222183227538,  35.863180803292828   3.7117224301795666   13.838952334370427   -8.508225444010268   5.4942203382321306 -0.32679127633576988 -0.75013073192254431,  0.55860441923141479 -0.048951946198940277   0.21937203407287598,  -0.7044709324836731 -0.022403938695788383  0.016137214377522469   0.70919555425643921,0.0004538869543466717  0.019722484052181244 0.0042204852215945721,-0.00070876121753826737      1.2666113376617432  0.00014359450142364949,   0.2423136830329895   0.03248324990272522  0.066865749657154083   0.03248324990272522   0.22983385622501373 -0.022957665845751762  0.066865749657154083 -0.022957665845751762   0.19124330580234528,   -1.2297640909251228    -0.3902026975435291    -1.2180885431938293    0.76453397773956766    0.58538185075285298    0.10120698216464774 2.6212518378088134e-05,0.018475590273737907
IIWA_7,1714572464.8379097,-0.46478047938364453   1.1330118120467769 0.018236754567784889  -1.2556747881154642  -1.9640491756344056  -1.9076886481236022 -0.88842810284354889,   0.040621882850424743 -6.0196426604014813e-05    0.046925883358244894   -0.027993916980086631    0.050817415801028124   -0.010521652526697633  -0.0024770434235725823,-20.300859352111818  62.901477397918704 -12.628097686767578 -12.650987434387206 -2.1366699028015135   2.047566547393799 -0.1171468391418457,  35.501778755437179   3.8331852081710331    13.49010994252545  -8.4945285952118219   5.3735012598292613 -0.17638024205253577 -0.72296203288714911,  0.55866432189941406 -0.048512682318687439   0.21950805187225342, -0.70419704914093018 -0.022604560479521751    0.0162248145788908   0.70945918560028076,0.0027391056064516306  0.033345106989145279 0.0088213197886943817,-0.00070653646253049374       1.266642689704895   0.0001424384827259928,   0.2422814816236496  0.032456573098897934  0.066901132464408875  0.032456573098897934   0.22988741099834442 -0.022900994867086411  0.066901132464408875 -0.022900994867086411   0.19123110175132751,   -1.2281805886003028   -0.38869125273777172    -1.2155393632777844    0.76314142271982632    0.58544930080017821    0.10272403566968791 2.6582148926479476e-05,0.031687010079622269
IIWA_7,1714572464.8429089,-0.46460958437910471   1.1330010262392489 0.018841897962196399  -1.2561735715815916  -1.9629534338444599  -1.9077620515450364  -0.8884319377682478,   0.039333306461932484 -0.00047958944240329455    0.061746442463056293   -0.042346472229165988    0.084483604238652865   -0.011353458878728037  -0.0021350317268144215, -19.484899768829347   62.268335777282715  -10.023068332672119  -12.391276836395264  -1.3179212379455567   1.7795639495849609 -0.19958350372314454,   35.311189218420772     3.932347976810497    13.193353352438629   -8.4772089657817151    5.1901286546460579 -0.037401738569364351  -0.70517358647580197,  0.55873143672943115 -0.048119846731424332   0.21966385841369629, -0.70380538702011108 -0.022649459540843964  0.016187787055969238     0.709847092628479,0.0048517957329750061  0.042379602789878845  0.013297191821038723,-0.00070888508344069123      1.2666677236557007  0.00011999583512078971,  0.24228915572166443  0.032406255602836609  0.066935054957866669  0.032406255602836609   0.22992999851703644 -0.022855542600154877  0.066935054957866669 -0.022855542600154877   0.19119851291179657,   -1.2258227119428255   -0.38753295514126762     -1.212998142943178    0.76192072311442871    0.58497821200820255     0.1037073418181933 2.6877276404491113e-05,0.040917661041021347
IIWA_7,1714572464.847939, -0.4644854876513802   1.1329866451625448  0.01968211200866047  -1.2568117314785461  -1.9615222298239041  -1.9078534911989609 -0.88843217753285375,    0.03643051427852638 -0.00095891462208866709     0.08300571582900787   -0.059403573661512075     0.12483504421315202   -0.012740353259960074  -0.0017176159656894213, -15.059629673004151   61.586801166534421  -10.472939910888671  -12.573514442443848  -2.0741632843017577   1.8196141510009765 -0.22928740310668946,  35.234884681407834   4.0705371792907759   12.886950794790852  -8.4909845388851259   4.9399980961972396 0.099553021223657279 -0.68281870211022133,  0.55882489681243896 -0.047748956829309464   0.21986871957778931, -0.70329874753952026 -0.022594714537262917  0.016014201566576958   0.71035474538803101,0.0075948173180222511   0.04871685802936554  0.018845951184630394,-0.00073094776598736644       1.266687273979187  9.1490073828026652e-05,  0.24231848120689392  0.032332692295312881  0.066974945366382599  0.032332692295312881   0.22996623814105988 -0.022812964394688606  0.066974945366382599 -0.022812964394688606   0.19115717709064484,   -1.2226558213184191   -0.38656401502024096    -1.2101897371126213    0.76082279994960089    0.58401495372351064    0.10426813251118716 2.7119114953677581e-05,0.048337876796722412
