RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714572309.0681798,0.55607485771179199 0.42047631740570068 0.27998432517051697,  -0.00298652658239007 0.00067339546512812376  0.0047769593074917793    0.99998390674591064,0.55607485771179199 0.42047631740570068 0.27998432517051697,  -0.00298652658239007 0.00067339546512812376  0.0047769593074917793    0.99998390674591064
1714572309.0731454,0.55606329441070557 0.42047175765037537 0.27999278903007507,-0.0029761337209492922 0.00056870043044909835  0.0047677173279225826     0.9999840259552002,0.55606329441070557 0.42047175765037537 0.27999278903007507,-0.0029761337209492922 0.00056870043044909835  0.0047677173279225826     0.9999840259552002
1714572309.078176,0.55605340003967285 0.42049750685691833 0.28000122308731079,-0.0029295333661139011  0.0005145043833181262  0.0048291031271219254    0.99998390674591064,0.55605340003967285 0.42049750685691833 0.28000122308731079,-0.0029295333661139011  0.0005145043833181262  0.0048291031271219254    0.99998390674591064
1714572309.0831766,0.55605876445770264  0.4205058217048645 0.27996852993965149,-0.0030342505779117346 0.00064097932772710919  0.0047586169093847275    0.99998384714126587,0.55605876445770264  0.4205058217048645 0.27996852993965149,-0.0030342505779117346 0.00064097932772710919  0.0047586169093847275    0.99998384714126587
1714572309.0881741,0.55604416131973267 0.42050573229789734 0.28000715374946594, -0.003026911523193121 0.00061461288714781404  0.0047440552152693272    0.99998396635055542,0.55604416131973267 0.42050573229789734 0.28000715374946594, -0.003026911523193121 0.00061461288714781404  0.0047440552152693272    0.99998396635055542
1714572309.0931733,0.55604934692382812 0.42053225636482239 0.27999502420425415,-0.0029993881471455097 0.00058806897141039371  0.0047725043259561062    0.99998396635055542,0.55604934692382812 0.42053225636482239 0.27999502420425415,-0.0029993881471455097 0.00058806897141039371  0.0047725043259561062    0.99998396635055542
1714572309.0981758,0.55606615543365479 0.42054802179336548 0.27992856502532959,-0.0030295827891677618 0.00057586509501561522  0.0047909608110785484    0.99998378753662109,0.55606615543365479 0.42054802179336548 0.27992856502532959,-0.0030295827891677618 0.00057586509501561522  0.0047909608110785484    0.99998378753662109
1714572309.1031771,0.55603677034378052 0.42057690024375916 0.27991887927055359,-0.0030580027960240841 0.00058210984570905566  0.0048266877420246601    0.99998348951339722,0.55603677034378052 0.42057690024375916 0.27991887927055359,-0.0030580027960240841 0.00058210984570905566  0.0048266877420246601    0.99998348951339722
1714572309.1081748,0.55601215362548828 0.42063605785369873 0.27997440099716187,-0.0030604596249759197 0.00064577546436339617  0.0048471926711499691    0.99998337030410767,0.55601215362548828 0.42063605785369873 0.27997440099716187,-0.0030604596249759197 0.00064577546436339617  0.0048471926711499691    0.99998337030410767
1714572309.1131709,0.55601882934570312 0.42070275545120239 0.27995780110359192,-0.0029798333998769522 0.00055171438725665212  0.0048944996669888496    0.99998342990875244,0.55601882934570312 0.42070275545120239 0.27995780110359192,-0.0029798333998769522 0.00055171438725665212  0.0048944996669888496    0.99998342990875244
