RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714572198.789808, 0.5376896858215332 0.67979961633682251 0.27819544076919556,-0.00046735914656892419   0.0023512439802289009   -0.053491745144128799      0.9985654354095459, 0.5376896858215332 0.67979961633682251 0.27819544076919556,-0.00046735914656892419   0.0023512439802289009   -0.053491745144128799      0.9985654354095459
1714572198.7998078,0.53955739736557007 0.67239731550216675 0.27824991941452026,-0.00089775113156065345   0.0023112655617296696   -0.051785875111818314     0.99865514039993286,0.53955739736557007 0.67239731550216675 0.27824991941452026,-0.00089775113156065345   0.0023112655617296696   -0.051785875111818314     0.99865514039993286
1714572198.8048124,0.54072332382202148 0.66737985610961914  0.2782042920589447,-0.0011701295152306557  0.0023944217246025801  -0.050240758806467056    0.99873358011245728,0.54072332382202148 0.66737985610961914  0.2782042920589447,-0.0011701295152306557  0.0023944217246025801  -0.050240758806467056    0.99873358011245728
1714572198.8098068,0.54194724559783936 0.66230452060699463    0.27827188372612,-0.0011235870188102126  0.0023545853327959776  -0.048612061887979507    0.99881434440612793,0.54194724559783936 0.66230452060699463    0.27827188372612,-0.0011235870188102126  0.0023545853327959776  -0.048612061887979507    0.99881434440612793
1714572198.8197896,0.54373055696487427 0.65470552444458008 0.27826428413391113,-0.0010629573371261358  0.0022319757845252752  -0.046095911413431168    0.99893397092819214,0.54373055696487427 0.65470552444458008 0.27826428413391113,-0.0010629573371261358  0.0022319757845252752  -0.046095911413431168    0.99893397092819214
1714572198.8248081,0.54499161243438721 0.64955568313598633 0.27828752994537354,-0.0011406537378206849  0.0023665339685976505  -0.044420134276151657    0.99900949001312256,0.54499161243438721 0.64955568313598633 0.27828752994537354,-0.0011406537378206849  0.0023665339685976505  -0.044420134276151657    0.99900949001312256
1714572198.8298078,0.54608595371246338 0.64432287216186523 0.27830508351325989,-0.0011439059162512422  0.0021139597520232201  -0.042280465364456177     0.9991028904914856,0.54608595371246338 0.64432287216186523 0.27830508351325989,-0.0011439059162512422  0.0021139597520232201  -0.042280465364456177     0.9991028904914856
1714572198.8348072,0.54730284214019775 0.63912945985794067 0.27833300828933716,-0.0015424261800944805  0.0024345733691006899  -0.040071774274110794    0.99919265508651733,0.54730284214019775 0.63912945985794067 0.27833300828933716,-0.0015424261800944805  0.0024345733691006899  -0.040071774274110794    0.99919265508651733
1714572198.8398333,0.54842090606689453 0.63387632369995117 0.27831253409385681,-0.0016060442430898547  0.0022340328432619572  -0.038028426468372345    0.99927288293838501,0.54842090606689453 0.63387632369995117 0.27831253409385681,-0.0016060442430898547  0.0022340328432619572  -0.038028426468372345    0.99927288293838501
1714572198.8498106,0.55008441209793091 0.62597572803497314 0.27830278873443604,-0.0011466488940641284  0.0020116821397095919   -0.03467874601483345    0.99939584732055664,0.55008441209793091 0.62597572803497314 0.27830278873443604,-0.0011466488940641284  0.0020116821397095919   -0.03467874601483345    0.99939584732055664
1714572198.8548086,  0.551125168800354 0.62066537141799927 0.27834382653236389,-0.0012982635525986552  0.0020021079108119011  -0.032366026192903519     0.9994732141494751,  0.551125168800354 0.62066537141799927 0.27834382653236389,-0.0012982635525986552  0.0020021079108119011  -0.032366026192903519     0.9994732141494751
1714572198.8598077, 0.5520825982093811 0.61535936594009399 0.27834555506706238,-0.0017698686569929123  0.0023608538322150707  -0.030410675331950188    0.99953311681747437, 0.5520825982093811 0.61535936594009399 0.27834555506706238,-0.0017698686569929123  0.0023608538322150707  -0.030410675331950188    0.99953311681747437
1714572198.8647916,0.55309820175170898 0.61007803678512573 0.27829968929290771,-0.001571101020090282 0.0023705300409346819 -0.028264755383133888   0.99959641695022583,0.55309820175170898 0.61007803678512573 0.27829968929290771,-0.001571101020090282 0.0023705300409346819 -0.028264755383133888   0.99959641695022583
1714572198.8748102,0.55449652671813965 0.60216408967971802 0.27841445803642273,-0.0019304872257634997  0.0020538265816867352  -0.025249583646655083    0.99967718124389648,0.55449652671813965 0.60216408967971802 0.27841445803642273,-0.0019304872257634997  0.0020538265816867352  -0.025249583646655083    0.99967718124389648
1714572198.8798082,0.55545485019683838 0.59687459468841553 0.27841216325759888,-0.0020051836036145687  0.0021384255960583687  -0.023222610354423523    0.99972599744796753,0.55545485019683838 0.59687459468841553 0.27841216325759888,-0.0020051836036145687  0.0021384255960583687  -0.023222610354423523    0.99972599744796753
1714572198.8848078,0.55640822649002075 0.59162932634353638 0.27839773893356323,-0.0018281284719705582  0.0020273651462048292  -0.020929682999849319    0.99977719783782959,0.55640822649002075 0.59162932634353638 0.27839773893356323,-0.0018281284719705582  0.0020273651462048292  -0.020929682999849319    0.99977719783782959
1714572198.8898411,0.55725449323654175 0.58640408515930176 0.27846136689186096,-0.0020021572709083557  0.0023946315050125122  -0.019021669402718544    0.99981421232223511,0.55725449323654175 0.58640408515930176 0.27846136689186096,-0.0020021572709083557  0.0023946315050125122  -0.019021669402718544    0.99981421232223511
1714572198.899832,0.55865657329559326 0.57865703105926514 0.27847445011138916,-0.0021256383042782545  0.0020466952119022608  -0.016290586441755295    0.99986296892166138,0.55865657329559326 0.57865703105926514 0.27847445011138916,-0.0021256383042782545  0.0020466952119022608  -0.016290586441755295    0.99986296892166138
1714572198.9048078,0.55940526723861694  0.5736650824546814 0.27846074104309082,-0.0020293595734983683  0.0021425189916044474  -0.014807856641709805    0.99988597631454468,0.55940526723861694  0.5736650824546814 0.27846074104309082,-0.0020293595734983683  0.0021425189916044474  -0.014807856641709805    0.99988597631454468
1714572198.9098089,0.56018823385238647 0.56862509250640869 0.27847754955291748,-0.002062193350866437 0.0021878646221011877 -0.012977560982108116   0.99991124868392944,0.56018823385238647 0.56862509250640869 0.27847754955291748,-0.002062193350866437 0.0021878646221011877 -0.012977560982108116   0.99991124868392944
1714572198.9148076,0.56104487180709839  0.5636867880821228 0.27846115827560425,-0.0022800976876169443  0.0022332489024847746  -0.011669706553220749    0.99992680549621582,0.56104487180709839  0.5636867880821228 0.27846115827560425,-0.0022800976876169443  0.0022332489024847746  -0.011669706553220749    0.99992680549621582
