DesiredFlux,0.54,HitTime,1714663111.9375074,DesiredPos,0.52622079849243164 -0.3304893970489502 0.19779126346111298
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714663111.2004683, 0.56799659375555378   1.1073752180431189 -0.18951751396052952  -1.5116535178035944  -1.0563862239832171   1.6613031706291088 -0.54777758847113334,  0.0014183339022543864 -1.2818204990458593e-06  2.6162832831821052e-06 -4.5176678999228726e-06  3.6346205437198954e-06 -5.1765767643244557e-06 -2.4187618684574818e-06,-2.1733388137817382    66.7742275543213  6.7199043769836422 -12.626537670135498  1.3540166091918946 -1.9971700439453124 0.17688838958740236,  1.2642823879172833  0.87602562975775489  0.51260216236968037   1.0227579806463809   -1.091885728073082 -0.16327894576046942  0.26723160914086685,0.52156126499176025 0.01342339999973774 0.20264473557472229, -0.5051271915435791  0.50537657737731934 -0.49220561981201172 -0.49716663360595703,-2.3733036869089119e-05  0.00073048163903877139 -4.6856348490109667e-07, 0.0010100938379764557   -0.59178030490875244 -0.0010522096417844296,  0.25252923369407654 -0.010682222433388233  0.064316041767597198 -0.010682222433388233    0.2397315502166748  0.017500771209597588  0.064316041767597198  0.017500771209597588   0.17354093492031097,     0.3715518036191412     -0.3305185353772444     0.62775697309636058     0.31301635922797999   -0.070095973963013591    0.026476358279126089 -8.8817841970012523e-13,0.00066691503161564469
IIWA_14,1714663111.205467, 0.56800366452068596   1.1073752180431189 -0.18951769372944247  -1.5116532181523783  -1.0563864156203688   1.6613032905114118 -0.54777758847113334,   0.001417497727090619 -1.0254563992366876e-06 -5.0977298914594743e-06   8.371914322560006e-06 -4.7577896331443145e-06  6.5403070748246458e-07 -1.9350094947659855e-06, -2.196486801147461  66.751079566955568  6.7064618797302247 -12.617127922058106    1.36193998336792 -1.9988388023376464 0.17755589294433594, -21.44100274506215  3.8349921200483412 -15.193457292325952 -8.1452414759249567 -0.9483957207872431 0.85865131809227324 0.26726035219835492, 0.52156120538711548 0.013427289202809334   0.2026447057723999,-0.50512909889221191   0.5053747296333313 -0.49220743775367737 -0.49716472625732422,-2.3733036869089119e-05  0.00073048163903877139 -4.6856348490109667e-07, 0.0010101385414600372   -0.59178024530410767 -0.0010521899675950408,  0.25252938270568848 -0.010682126507163048  0.064315915107727051 -0.010682126507163048   0.23973137140274048  0.017501289024949074  0.064315915107727051  0.017501289024949074   0.17354094982147217,   0.37154900490232734   -0.33053282361361624    0.62776752657356383    0.31302669009658501  -0.070085140972508952   0.026484431297824074 8.8817841970012523e-13,0.00066691503161564469
IIWA_14,1714663111.2104933, 0.56801025575660602   1.1073752180431189 -0.18951769372944247  -1.5116531582657684  -1.0563864156203688   1.6613032905114118 -0.54777746869791344,  0.0013976476184749552 -8.2036511938935014e-07 -4.0781839131675793e-06  9.0929958537804647e-06 -3.8062317065154518e-06  5.2322456598597164e-07  3.2429212000930251e-06,-2.2582147674560549  66.753651565551763   6.702429130554199 -12.607718173980713  1.3601792335510254 -2.0005075607299805 0.17588713455200194, -21.441417810957578   3.8351512793836844  -15.193349712044437   -8.145512441277555 -0.94801800516233992  0.85890063434487174  0.26724371390514301, 0.52156126499176025 0.013430969789624214  0.20264482498168945,-0.50513076782226562  0.50537300109863281 -0.49220937490463257 -0.49716290831565857,-1.4837838534731418e-05  0.00073919643182307482  3.1559632134303683e-06, 0.0010101670632138848   -0.59178018569946289 -0.0010522222146391869,  0.25252953171730042 -0.010682033374905586  0.064315788447856903 -0.010682033374905586   0.23973122239112854  0.017501763999462128  0.064315788447856903  0.017501763999462128   0.17354096472263336,   0.37154625598301294   -0.33054597194315249    0.62777712096995231    0.31303613567246202  -0.070075094234844926   0.026492251990362092 1.7763568394002505e-12,0.00067465740721672773
IIWA_14,1714663111.215493, 0.56800827840764667   1.1073765961987294 -0.18953201491953664  -1.5116640039599065  -1.0563860321715322   1.6613077846251527 -0.54777758847113334,  0.0010390241364060539  5.4469932325320221e-05  -0.0005761101508975024 -0.00042655336884167257  1.2292968102096901e-05  0.00018018312928987356 -2.1965918358313929e-06,-2.1321868362426759  66.740791572570799  6.9148205871582027 -12.428932960510254  1.3531362342834472 -2.0138576278686524 0.17588713455200194, -21.441417810957578   3.8351512793836844  -15.193349712044437   -8.145512441277555 -0.94801800516233992  0.85890063434487174  0.26724371390514301, 0.52156126499176025 0.013430969789624214  0.20264482498168945,-0.50513076782226562  0.50537300109863281 -0.49220937490463257 -0.49716290831565857,-1.4837838534731418e-05  0.00073919643182307482  3.1559632134303683e-06, 0.0010101886000484228   -0.59178012609481812 -0.0010522345546633005,  0.25252965092658997 -0.010681943036615849  0.064315691590309143 -0.010681943036615849   0.23973105847835541  0.017502222210168839  0.064315691590309143  0.017502222210168839   0.17354099452495575,    0.37154357720048381    -0.33055860295050365       0.627786335693159     0.31304530591036439   -0.070065222790738346    0.026499077183217423 -8.8817841970012523e-13,0.00067465746542438865
IIWA_14,1714663111.2204702, 0.56785559940450991   1.1073903780820848 -0.18992198157920828  -1.5119157924663653  -1.0563849776435983   1.6613781319750667 -0.54777758847113334,  -0.005275940816345458  0.00059485128007764985   -0.016059554507583691   -0.010412782953425112  5.2015491836222515e-05   0.0029580404999901911 -1.7572734686651144e-06, 6.0261927108764652  65.213024406433107  12.547226936340332 -8.0991045951843255  1.1339228820800782 -2.5041388435363769 0.21994235610961915, -21.441428865994371   3.8351479036313538  -15.193172706271682  -8.1455606142023029 -0.94776682027362358  0.85912209591488498  0.26724693930364324,0.52156120538711548 0.01343441940844059 0.20264482498168945,-0.50513243675231934  0.50537139177322388 -0.49221104383468628 -0.49716123938560486,-1.4618158274970483e-05  0.00072932720649987459  2.7465580387797672e-06, 0.0010102046653628349   -0.59178006649017334 -0.0010522314114496112,  0.25252977013587952 -0.010681861080229282  0.064315579831600189 -0.010681861080229282   0.23973092436790466  0.017502646893262863  0.064315579831600189  0.017502646893262863   0.17354100942611694,  0.37154114896953416  -0.33057036840578036   0.62779494145992487   0.31305376892198922 -0.070056252445382938  0.026505680778221574                     0,0.0006656482582911849
IIWA_14,1714663111.2254653, 0.56779034525260252   1.1073799518123826 -0.19034814058616314  -1.5121136520442668  -1.0563904424440191   1.6613741172814547 -0.54777908650904694, -0.0068309187293719726  5.8830235971386207e-05   -0.029894003884261458   -0.016244609478801166  -0.0001769796233650736    0.002205844655512241 -6.1327335319146721e-05, 10.689226165771485  64.549448768615733  15.242447635650635 -7.8356316490173343  1.0978275108337403 -2.4474010581970216 0.16220331573486327, -21.043821118201432   3.7665267909501385  -14.828378531940178  -7.9436926578439007 -0.98514909460959421  0.73860288223689896  0.28154650826705396, 0.52149754762649536 0.013159507885575294  0.20272576808929443,-0.50491505861282349  0.50534296035766602 -0.49221977591514587 -0.49740225076675415,-0.00014012401516083628   0.0002519865520298481  0.00010909437696682289,0.0010101986117660999  -0.59178006649017334  -0.00105226447340101,  0.25252994894981384 -0.010681093670427799  0.064315684139728546 -0.010681093670427799   0.23973169922828674  0.017501156777143478  0.064315684139728546  0.017501156777143478   0.17354010045528412, 0.37151207829477784 -0.33053905202340417  0.62774078252836318  0.31302443581626704 -0.07005862291364906 0.026464268223058696                    0,0.00028130045393481851
IIWA_14,1714663111.2304931, 0.56773851355530758   1.1073829478882098 -0.19087970089931058  -1.5123931241997395  -1.0563885248507698   1.6613843637822439 -0.54777698927778451, -0.0075380028752954258  0.00016690722186553822   -0.045177615633306724   -0.024174573801946438 -6.4879968720020324e-05   0.0021745357559769703  3.4827382241975855e-05, 13.513280624389649  65.380204315185551  15.487101085662841 -8.3975280342102057  1.1462481307983399 -2.4317147293090819 0.16453957748413087, -21.043821118201432   3.7665267909501385  -14.828378531940178  -7.9436926578439007 -0.98514909460959421  0.73860288223689896  0.28154650826705396, 0.52149754762649536 0.013159507885575294  0.20272576808929443,-0.50491505861282349  0.50534296035766602 -0.49221977591514587 -0.49740225076675415,-0.0025326630566269159  -0.010461872443556786  0.0032199022825807333, 0.001010218751616776  -0.59178030490875244 -0.001052271923981607,  0.25252547860145569 -0.010662327520549297  0.064324326813220978 -0.010662327520549297   0.23975364863872528  0.017454139888286591  0.064324326813220978  0.017454139888286591   0.17352339625358582,   0.37079142322316017    -0.3295136529093412    0.62615804000909492    0.31211216708282308  -0.070252411825677541   0.025381129710844164 8.8817841970012523e-13,0.010252146981656551
IIWA_14,1714663111.2354665, 0.56769746755645756   1.1073834871949486 -0.19155177625245604  -1.5128053216635091  -1.0563904424440191   1.6613859817024605 -0.54777806789126227, -0.0076722422542371419  0.00015509804704533583    -0.06302510663246344   -0.035827557592342629 -0.00012860770494805483   0.0018043454134491739 -1.5282633316670716e-05, 13.675316535949708  65.485656257629401  14.439930549621582 -8.5480840034484871  1.1207172584533691 -2.3509468231201174 0.19557848358154298,-20.574746753671338  3.7117243324958631 -14.294782314517567 -7.7162568140117829 -1.0196623162321696 0.58181650012210406 0.29289672813644718, 0.52141886949539185 0.012670543976128101  0.20291756093502045, -0.5045095682144165  0.50528144836425781 -0.49231523275375366 -0.49778157472610474,-0.0045615751296281815  -0.024478370323777199  0.0090307407081127167, 0.0010116026969626546   -0.59178507328033447 -0.0010535647161304951,  0.25251245498657227 -0.010641910135746002  0.064338065683841705 -0.010641910135746002   0.23977364599704742   0.01740899495780468  0.064338065683841705   0.01740899495780468   0.17351712286472321,  0.37001972943517814  -0.32857458986068622   0.62458504234097489   0.31126526488645112 -0.070326211685234341  0.024518633074954721                     0,0.024168822914361954
IIWA_14,1714663111.2404995, 0.56764767309473207   1.1073823486948611 -0.19241739683867523  -1.5133467689396198  -1.0563908258928558   1.6613864610135063 -0.54777788812234929, -0.0081295722724090379  7.8538434134725713e-05    -0.08504490875473858   -0.050319937118302828 -0.00011822411742575313   0.0014626487725890348 -5.0353501342211923e-06, 13.176348808288575  65.105000465393076  13.785280933380127 -8.0722196006774904  1.0159526443481446 -2.2414762725830077 0.19390972518920899,-20.574746753671338  3.7117243324958631 -14.294782314517567 -7.7162568140117829 -1.0196623162321696 0.58181650012210406 0.29289672813644718, 0.52141886949539185 0.012670543976128101  0.20291756093502045, -0.5045095682144165  0.50528144836425781 -0.49231523275375366 -0.49778157472610474,-0.0045615751296281815  -0.024478370323777199  0.0090307407081127167, 0.0010410042013972998   -0.59178924560546875 -0.0010875645093619823,  0.25250181555747986 -0.010614895261824131  0.064351782202720642 -0.010614895261824131   0.23979879915714264  0.017353639006614685  0.064351782202720642  0.017353639006614685   0.17350360751152039,   0.36900298434439094   -0.32743588512307298     0.6226132919584515    0.31021908691908351  -0.070382922480405341   0.023406699455996716 8.8817841970012523e-13,0.024168601259589195
IIWA_14,1714663111.2454691, 0.56757313117321018    1.107382288699168 -0.19347644277566517   -1.513986666530011  -1.0563936062023542   1.6613817872399357 -0.54777788812234929, -0.0094853346788031454   6.043091958457101e-05    -0.11039776448338841   -0.065851853310289504 -0.00020579167387687881   0.0009831680752469458 -4.0282801073769542e-06, 13.124908836364748   64.97897253417969  14.574355522155761 -7.6326499404907224  1.1031097602844238 -2.3849894943237304 0.18322967147827149,-20.289722247438085  3.6521661540742705 -13.968715934744969  -7.548484697211558 -1.0480495901773268 0.47630376553742837 0.31212732201974303, 0.52133661508560181 0.012333681806921959  0.20304206013679504, -0.5042414665222168  0.50520378351211548  -0.4923795759677887 -0.49806824326515198,-0.0069550499320030212  -0.033047907054424286   0.012218165211379528, 0.0010609672171995044   -0.59179455041885376 -0.0011218873551115394,  0.25249457359313965 -0.010578024201095104  0.064365558326244354 -0.010578024201095104   0.23983095586299896   0.01728321798145771  0.064365558326244354   0.01728321798145771   0.17348036170005798,  0.36762244458454774  -0.32600024558870899   0.62005953262911362   0.30886709167976534 -0.070408010671485499  0.021999251564430722                     0,0.032770335674285889
