DesiredFlux,0.95,HitTime,1714664059.7323122,DesiredPos,  0.5270426869392395 -0.28901946544647217  0.19886602461338043
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714664059.166266, 0.56351778938844665   1.1904085194778908   -0.104994034047943  -1.3593512764926521  -1.0685903832763173   1.8009596578608249 -0.58398798398597718,  0.0015135872007158591  1.5266049838607933e-06  3.0741829319247137e-06 -2.0514029626103054e-06  5.1164752699057586e-06  1.2755056219224785e-05  4.7268420623113283e-06,-2.2582147674560549  68.955282363891612   4.589268562316895 -14.511175785064697  1.0837415122985841  -2.145689540863037  0.2960377388000488,    1.310551196971953   -2.8646516226584677  -0.79057895658664934  0.031712603137635555 -0.087337301984418525   0.69590179305514177   0.88323896759267206, 0.53541421890258789 0.061478115618228912  0.18834477663040161,0.49783423542976379 -0.4970114529132843 0.49305769801139832 0.51189333200454712,-0.00010500772623345256  0.00086847064085304737 -3.6635893252423557e-07,-0.0069500589743256569    -1.0387399196624756  0.0087333880364894867,  0.25173693895339966 -0.018694140017032623  0.062954246997833252 -0.018694140017032623   0.23368307948112488  0.031873039901256561  0.062954246997833252  0.031873039901256561   0.17767216265201569,    0.68444783202892268    -0.62673673863677948      1.1698157892867656     0.65816258324780108   -0.073965201770498368     -0.0236185368409636 -8.8817841970012523e-13,0.00080001587048172951
IIWA_14,1714664059.1712193, 0.56352426085114693   1.1904085194778908 -0.10499427381254899   -1.359351336379262  -1.0685903832763173    1.800959478091912 -0.58398810386828015,  0.0014697282685836824  1.2212839870886347e-06 -7.1312378940096223e-06 -4.0365867658207052e-06  4.0931802159246067e-06  3.0132884607053392e-06 -1.0138184690929664e-06,-2.2556427688598633  68.952710365295417  4.5973340606689455 -14.507143035888673  1.0863826370239258 -2.1470245475769043 0.30004275894165039, -37.823933565003536   5.3913032164306234  -24.473309772395993  -12.253767148045265 -0.62807806371203823  -1.1794846502256895  0.88321734689712161, 0.53541386127471924 0.061481542885303497  0.18834483623504639, 0.49783575534820557 -0.49700984358787537  0.49305948615074158  0.51189172267913818,-9.7302508947905153e-05  0.00083187688142061234  2.0329125618445687e-06,-0.0069496049545705318    -1.0387396812438965  0.0087331542745232582,  0.25173714756965637 -0.018694013357162476  0.062954060733318329 -0.018694013357162476   0.23368285596370697    0.0318734310567379  0.062954060733318329    0.0318734310567379   0.17767217755317688,    0.68444453554761253    -0.62675214030694093      1.1698238244601811     0.65817529526412955   -0.073956113304518567   -0.023611710483706361 -4.4408920985006262e-12,0.00076595449354499578
IIWA_14,1714664059.1762428, 0.56352294258214619   1.1904122945159799 -0.10500955362473481  -1.3593661968760951  -1.0685913421602082   1.8009509692845593 -0.58398798398597718,  0.0011230518548374058  0.00015197855075029415 -0.00061689747774822871 -0.00059764914273586079 -3.5080811465491315e-05 -0.00033794166333955068  3.9842373436676563e-06,-2.1167548446655275  68.826682434082031  4.8191352653503419 -14.300128578186035  1.1013490104675292 -2.1246631851196289 0.29970900726318361, -37.823434524126299   5.3912096674885204    -24.4729396272052  -12.253661810520528 -0.62781823526592473  -1.1792988813218706  0.88324539036623984, 0.53541338443756104 0.061485182493925095  0.18834479153156281, 0.49783745408058167 -0.49700814485549927   0.4930611252784729  0.51189011335372925,-9.677250636741519e-05 0.00081096915528178215 2.5115133439612691e-07,-0.0069490424357354641     -1.038739800453186  0.0087329698726534843,  0.25173741579055786 -0.018693903461098671  0.062953829765319824 -0.018693903461098671   0.23368258774280548  0.031873878091573715  0.062953829765319824  0.031873878091573715   0.17767216265201569,   0.6844420188203415  -0.62676884332280025    1.1698337858998542   0.65818912117254769 -0.073947069305191349  -0.02360465168216308                     0,0.0007469070260412991
IIWA_14,1714664059.1812634, 0.56337961123523395   1.1904780279789331 -0.10540149774244896  -1.3596706560378038  -1.0685993954584427   1.8007686891700594 -0.58398798398597718,  -0.004834812392619894   0.0027509213587299779   -0.016171282690764548   -0.012656485782538154 -0.00035019657855241371  -0.0075615579106694079  3.1873898749341254e-06, 5.6686849060058595  63.847293151855474  10.505311603546142 -8.3114960517883301  1.1251191329956054 -1.9481085472106934 0.32507413482666014, -37.822784308067881   5.3911491116313881  -24.472350376157763  -12.253555199832341 -0.62755772336537063  -1.1790787477074742  0.88326972836708495, 0.53541302680969238 0.061488553881645203    0.188344806432724, 0.49783903360366821 -0.49700650572776794  0.49306279420852661  0.51188856363296509,-9.2125585069879889e-05  0.00078370299888774753  6.3222074686564156e-07,-0.0069484720006585121    -1.0387394428253174  0.0087327621877193451,  0.25173765420913696 -0.018693771213293076  0.062953636050224304 -0.018693771213293076   0.23368236422538757  0.031874258071184158  0.062953636050224304  0.031874258071184158   0.17767216265201569,    0.68443851139754486    -0.62678389533132872       1.169841353109824     0.65820144503270228   -0.073938161382791634   -0.023597790943519215 -4.4408920985006262e-12,0.0007216451340354979
IIWA_14,1714664059.186264, 0.56332610162202934   1.1904784474033689 -0.10586277059229239  -1.3599160929638656   -1.068609941610448   1.8004531445496068  -0.5839869653681925, -0.0060082344422801286   0.0022175140644179457   -0.031387940146348853    -0.01994266566850357 -0.00070200334305160674   -0.018671031146638692  4.3294623286989135e-05, 10.429454307556153  63.322605438232422  12.548571186065674 -8.4217245292663581 0.77384954452514643 -2.4417272796630858  0.3120578193664551, -37.805888473846572   5.3847900698844695  -24.459921393079672  -12.244844257624035 -0.62904753141209235  -1.1808103049354459  0.88483794886485345, 0.53541105985641479 0.061479642987251282  0.18834319710731506, 0.49783647060394287 -0.49700158834457397  0.49306365847587585  0.51189500093460083,-0.00015330228779930621  0.00027057217084802687 -6.3658735598437488e-05,-0.0069480114616453648    -1.0387395620346069  0.0087325070053339005,  0.25173839926719666 -0.018692148849368095  0.062953650951385498 -0.018692148849368095   0.23368403315544128  0.031872346997261047  0.062953650951385498  0.031872346997261047   0.17767012119293213,     0.6843692721414385     -0.6267360248557452      1.1697479121304255     0.65814841386746537   -0.073929353072266224   -0.023623261244942739 -8.8817841970012523e-13,0.00029029726283624768
IIWA_14,1714664059.1912642, 0.56328697319461196   1.1904886940132413 -0.10648774790832356  -1.3603469258534742  -1.0686051478891245    1.799967364004573 -0.58398558710349879,-0.0063717246505192492  0.0021838756464290111  -0.050109444758325974  -0.033187448119144682 -0.0003698538215033513  -0.034368046718662434 8.9766286377900121e-05, 13.145484825134279  62.993389617919924  13.609184219360351    -8.1690055809021  1.1832238769531249 -1.6247031707763673 0.30938780593872073, -37.446474305108801   5.2679622270366391   -24.17216685779637  -12.068230565384429 -0.66344050851413283  -1.2271724020651857  0.91275291553880922,0.53538632392883301 0.06120956689119339 0.18833021819591522, 0.49772456288337708 -0.49693924188613892  0.49306455254554749  0.51206344366073608,  -0.001113064237870276   -0.010586670599877834 -0.00056833279086276889,-0.0069474563933908939    -1.0387394428253174  0.0087323430925607681,  0.25174209475517273 -0.018659809604287148  0.062963314354419708 -0.018659809604287148   0.23372727632522583    0.0318194180727005  0.062963314354419708    0.0318194180727005   0.17763078212738037,     0.6829324248789348    -0.62532345990007343      1.1674354062698455     0.65670317656518762   -0.073918992636201608   -0.024370606102053216 -8.8817841970012523e-13,0.0097487624734640121
IIWA_14,1714664059.1962671, 0.56325928965468142   1.1904849189751523 -0.10730716930199323  -1.3609737607452448  -1.0686101334221327   1.7993668943837322  -0.5839854673302789, -0.0062047213176372115   0.0015960989935825858   -0.072864411553447472   -0.051623354166140639 -0.00049530437753092234   -0.051513222208562567  7.6603957898225907e-05, 14.961315834045411   62.13948608398438  12.976042598724366 -8.0305478591918948 0.85396366119384759 -1.9938325271606445 0.32807789993286135, -37.239573106018838   5.2349647963112753  -23.954495997676016   -11.99663625280151 -0.67063570557171404  -1.2316386739442831  0.91942466880555496,  0.5354074239730835 0.060980670154094696  0.18834452331066132,0.49764391779899597 -0.4969078004360199 0.49310758709907532 0.51213091611862183,-5.1473838539095595e-05   -0.017626116052269936  0.00012226101534906775,-0.0069470196031033993    -1.0387400388717651  0.0087321558967232704, 0.25173142552375793 -0.01862679049372673 0.062981277704238892 -0.01862679049372673  0.23376698791980743 0.031763583421707153 0.062981277704238892 0.031763583421707153  0.17760878801345825,  0.68149255386185104  -0.62396362027339336    1.1650314339615164   0.65532357295960963 -0.073802014249224612 -0.024791111160382684                     0,0.016119346022605896
IIWA_14,1714664059.2012606, 0.56324544777563312   1.1904876153997637 -0.10834997658653951  -1.3617666969856816  -1.0686174198226939    1.798564370831548 -0.58398486802784699, -0.0055174522160414911   0.0013847361793208814    -0.10000382062460927   -0.073016132950386864 -0.00068769952447014001   -0.073311519854219742  8.5255263594695546e-05, 14.248872222900392  61.982594169616704  13.058041831970215 -6.5881679039001462 0.76152429580688474 -1.7885752449035643 0.33174916839599611, -36.984266509438811   5.1522025211405049  -23.699385868906106  -11.874833691459132 -0.69450463785747574  -1.2314791546376125  0.94449145938719326, 0.53540682792663574 0.060669254511594772  0.18833549320697784, 0.49756941199302673 -0.49683210253715515  0.49315056204795837  0.51223534345626831,-7.4920826591551304e-05   -0.026560205966234207 -0.00025251705665141344,-0.0069455187767744064    -1.0387563705444336  0.0087336571887135506,  0.25172948837280273 -0.018575070425868034  0.062998689711093903 -0.018575070425868034   0.23382323980331421  0.031685154885053635  0.062998689711093903  0.031685154885053635   0.17756649851799011,   0.67927306644310903   -0.62208769265659214     1.1615563072071566    0.65334726278276634  -0.073588366809040906   -0.02531466269584115 8.8817841970012523e-13,0.024289710447192192
IIWA_14,1714664059.2062635, 0.56322399604287998   1.1904833609415457 -0.10959789387394939  -1.3626777378021886   -1.068612050840849   1.7975590141675926 -0.58398450859910422, -0.0052720310829588576  0.00093761061473890905    -0.12991974799608241   -0.094854539020587381 -0.00033540034578056143   -0.098863482441591932  8.2581360586510101e-05, 14.197432250976563  61.478482444763188  13.195155303955078 -6.9336400833129881 0.87773378372192379  -2.115985641479492  0.3227378730773926, -36.673217898860202   5.0442710831952828  -23.380577356171734  -11.709455508756283 -0.72285932612854897    -1.24798350428873  0.98123034785854502, 0.53538614511489868 0.060263875871896744  0.18833430111408234, 0.49746805429458618 -0.49670690298080444   0.4932134747505188  0.51239460706710815,-0.00090708519564941525   -0.037468574941158295  -0.0002268067910335958,-0.0069219297729432583    -1.0387716293334961  0.0087405666708946228,  0.25173225998878479 -0.018505504354834557  0.063018210232257843 -0.018505504354834557   0.23389752209186554  0.031584437936544418  0.063018210232257843  0.031584437936544418   0.17750631272792816,    0.67629901395438452    -0.61969271663908643      1.1570278429022807     0.65077699051041549   -0.073254174840720054   -0.026077133012059051 -1.7763568394002505e-12,0.034273631870746613
IIWA_14,1714664059.2112195, 0.56320512096151809   1.1904859375929371 -0.11105883088730982  -1.3637666245060645  -1.0686167485690636   1.7963694600358708 -0.58398271090997467, -0.0049726281208427254  0.00085315454744559326    -0.16237327893128328    -0.11943909937150421 -0.00045622940521057701    -0.12667295122214262  0.00013797265365148012, 15.249379676818849  62.144630081176764  13.310760780334473  -7.597699447631836 0.91294878005981439 -1.5382614860534667 0.29870775222778317, -36.318639037788884   4.9126558461901544  -23.010715034281109  -11.518569183323082 -0.75579568047781787  -1.2571899048136688   1.0261396548733834, 0.53536337614059448 0.059759326279163361   0.1883227676153183, 0.49735778570175171 -0.49654412269592285  0.49329638481140137  0.51257961988449097, -0.0016687997849658132   -0.050167117267847061 -0.00060301489429548383,-0.0069407392293214798    -1.0387929677963257  0.0087303398177027702,  0.25173711776733398 -0.018415188416838646  0.063042134046554565 -0.018415188416838646   0.23399089276790619  0.031455866992473602  0.063042134046554565  0.031455866992473602   0.17742961645126343,    0.6724607732175869   -0.61666824379180696     1.1512339052295317    0.64752069694762326  -0.072793633948187164  -0.026957505762759126 2.6645352591003757e-12,0.045902207493782043
IIWA_14,1714664059.2162611, 0.56319918869647367    1.190485398286198 -0.11271948494522825  -1.3650422253334049  -1.0686150229620321   1.7950685723329121  -0.5839800743719733,  -0.004215393098450866  0.00066095136839468759    -0.19632478546176388    -0.14657531259082185 -0.00029595924290891731     -0.1533738690960651  0.00021583964297582347,  15.72777141571045  62.324669982910159  13.513742488861084 -7.8047139053344727 0.93231702804565431 -1.9664648895263672  0.3120578193664551, -35.930223603923906   4.7792340330406224  -22.604031844238481  -11.324535397523629 -0.79110640393681808  -1.2564744354401389   1.0713790684249249, 0.53535109758377075 0.059160176664590836  0.18830670416355133, 0.49723711609840393 -0.49637287855148315  0.49338996410369873  0.51277244091033936,-0.0018764253472909331  -0.064116746187210083 -0.0010622026165947318,-0.0069445036351680756    -1.0388209819793701  0.0087431948632001877,  0.25173825025558472 -0.018308654427528381  0.063073202967643738 -0.018308654427528381   0.23410063982009888  0.031300157308578491  0.063073202967643738  0.031300157308578491   0.17734384536743164,    0.6679433209839658   -0.61302485405345664     1.1443037034366554     0.6436252535104714  -0.072282264952150399  -0.027899642843109973 3.5527136788005009e-12,0.058660048991441727
IIWA_14,1714664059.2212629, 0.56319775065425304   1.1904868364375019 -0.11456367739095409  -1.3664926161947601   -1.068616365120227   1.7935286593890651 -0.58397564025392557, -0.0034298361675861389  0.00058628714686867315    -0.23082752619844471    -0.17527588452686682 -0.00029045372211936889    -0.18429561303072894   0.0003500364362900931, 15.714911422729493  62.584441841125489  13.379317516326905   -7.46596297454834 0.89622165679931642 -1.8082665939331055 0.31773159790039063, -35.505648017850852   4.6218675110895866  -22.159044804062567  -11.102747832052851 -0.83002183316509404  -1.2577398405772067   1.1252153300108019, 0.53533154726028442 0.058456949889659882  0.18828174471855164, 0.49710336327552795 -0.49615964293479919  0.49350094795227051  0.51300162076950073,-0.0023588987533003092  -0.079448454082012177 -0.0017544364091008902,-0.0069203418679535389    -1.0388566255569458  0.0087353615090250969,  0.25174307823181152 -0.018181474879384041  0.063107520341873169 -0.018181474879384041   0.23422907292842865   0.03111703135073185  0.063107520341873169   0.03111703135073185   0.17724037170410156,  0.66257549750758926  -0.60875773215141038    1.1361442009301115   0.63904571189699055 -0.071651042324205605 -0.028995683503119096                     0,0.072692170739173889
