DesiredFlux,0.56,HitTime,1714663162.0374839,DesiredPos, 0.54525452852249146 -0.30741959810256958   0.1986183375120163
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714663161.3108742, 0.57594111619888777   1.0895087160956889 -0.14575951354485242  -1.4556441640864104  -1.0602069865570121   1.6931231453592497 -0.58514655895980827, -4.447974226003986e-06  7.0682589635450539e-07 -6.6127762560637179e-07  8.6888615437023875e-07  2.4345525074717513e-06  4.2496893705363264e-06 -2.4169975313969886e-06,-1.3888792419433595  67.445519187927246  5.5248663711547854  -14.51252003479004   1.359298858642578 -2.2501538162231447 0.41685584640502932, -1.4688257859552998   4.4563391384109163  -2.0824260445268945 -0.33334956787635828 -0.80132890913350519  0.18390152265101914 -0.13738940073575662, 0.53481078147888184 0.045124292373657227  0.21322119235992432, 0.51954418420791626 -0.51028037071228027  0.48936638236045837  0.47980031371116638,1.1511953061926761e-06 -5.306926595949335e-06 1.9085875919699902e-06,0.0072495834901928902  -0.61269402503967285 -0.010136540979146957,  0.24827767908573151 -0.015926351770758629  0.065509647130966187 -0.015926351770758629    0.2358066588640213  0.024684768170118332  0.065509647130966187  0.024684768170118332   0.18113356828689575,    0.57269377765400975    -0.48766916952391881     0.92546484415123587     0.47671738199550617   -0.074279348423189617     0.11073348072176969 -1.7763568394002505e-12,5.2598661568481475e-06
IIWA_14,1714663161.3158712, 0.57594111619888777    1.089508775982299 -0.14575951354485242  -1.4556441640864104  -1.0602068907384361   1.6931231453592497 -0.58514655895980827,-3.5583793808031891e-06  2.9609251216978491e-06 -5.2902210048509741e-07  6.9510892349619105e-07  5.7803850444784086e-06  3.3997514964290614e-06  -1.933598025117591e-06,-1.3708752517700196  67.468667175292978  5.5262106208801267 -14.509831535339355  1.3584184837341309 -2.2501538162231447 0.41652209472656249, -23.625391348505595   5.2371880729596834  -18.061464789518276  -9.6632128244754547 -0.63506778513896855   2.9718113693130914 -0.13738151358801945, 0.53481072187423706 0.045124337077140808  0.21322116255760193, 0.51954418420791626 -0.51028037071228027   0.4893663227558136  0.47980034351348877,-5.5833453416198608e-07 -2.5531444407533854e-06  4.2386548670947377e-07,0.0072495383210480213  -0.61269402503967285 -0.010136556811630726,   0.2482776939868927 -0.015926361083984375   0.06550963968038559 -0.015926361083984375   0.23580664396286011  0.024684777483344078   0.06550963968038559  0.024684777483344078   0.18113356828689575,   0.57269413649407852   -0.48766938280309091    0.92546529653780851    0.47671758435541278   -0.07427950652694193    0.11073355860968803 1.7763568394002505e-12,2.4194237084884662e-06
IIWA_14,1714663161.3208749, 0.57594111619888777    1.089508775982299 -0.14575951354485242  -1.4556441640864104  -1.0602068907384361   1.6931230854726398 -0.58514661884641828,-2.8467035046425514e-06  2.3687400973582796e-06 -4.2321768038807794e-07  5.5608713879695286e-07  4.6243080355827269e-06  3.2433680141078853e-07 -3.9423428202674255e-06,-1.3554432601928712  67.507247154235841  5.5356203689575194 -14.507143035888673  1.3628203582763672 -2.2491525611877443 0.41585459136962888, -23.625398025950972   5.2371538571357457  -18.061486093952933  -9.6631944113896253 -0.63509465974593937   2.9718210109898311 -0.13737146814553333,0.53481072187423706 0.04512433335185051 0.21322111785411835, 0.51954418420791626 -0.51028043031692505  0.48936626315116882  0.47980037331581116,-1.4741026461706497e-06 -2.2183603505254723e-06  -1.279325829273148e-06,0.0072495513595640659  -0.61269402503967285  -0.01013659592717886,   0.2482776939868927 -0.015926361083984375  0.065509632229804993 -0.015926361083984375    0.2358066588640213  0.024684775620698929  0.065509632229804993  0.024684775620698929   0.18113355338573456,    0.57269413728544549    -0.48766931098498389     0.92546519154090845     0.47671753093236902   -0.074279629140860948     0.11073349914969555 -8.8817841970012523e-13,2.7001074158761185e-06
IIWA_14,1714663161.3259039, 0.57593500427401345   1.0895090756335148 -0.14577359507942367  -1.4556552494360715  -1.0602066031081754   1.6931366874779989 -0.58514673872872125,-0.00024675435777647838  1.3881040711503143e-05 -0.00056359995699421046  -0.0004429691167329481  1.5204656857274436e-05  0.00054433968380748895 -7.9491663751559698e-06,-1.2499913177490236  67.502103157043464  5.7372578277587891 -14.331046321868897  1.3628203582763672 -2.2861989974975585  0.4178571014404297, -23.625423852283383   5.2371555544977184  -18.061508580106409  -9.6632054692879468 -0.63508900085824882   2.9718381264371239 -0.13736420292082371,0.53481072187423706 0.04512433335185051 0.21322110295295715, 0.51954424381256104 -0.51028037071228027  0.48936626315116882  0.47980037331581116,-8.7383210711777792e-07 -1.7409710153515334e-06 -1.4836368791293353e-06,0.0072495569474995136  -0.61269402503967285 -0.010136613622307777,   0.2482776939868927 -0.015926359221339226  0.065509632229804993 -0.015926359221339226    0.2358066588640213   0.02468477189540863  0.065509632229804993   0.02468477189540863   0.18113355338573456,    0.57269407071824929    -0.48766926312193704     0.92546509542401623     0.47671747963473621   -0.074279621894213221     0.11073360195101856 -3.5527136788005009e-12,2.237567059637513e-06
IIWA_14,1714663161.3308752,  0.5758049155037176   1.0895097947091668 -0.14615025927586892  -1.4558921176681705  -1.0602067949198604   1.6934644560572836 -0.58514739780867997, -0.0054009542980553949  3.9867858645664041e-05   -0.015517447823405278  -0.0098291045773466739  4.4912580866305189e-06    0.013546214918431044 -3.2722531448935846e-05, 6.1239286575317387  66.586471656799318  11.471827156066894 -9.8735142326354985   1.173539752960205 -3.7503676109313964 0.43254217529296873, -23.625423852283383   5.2371555544977184  -18.061508580106409  -9.6632054692879468 -0.63508900085824882   2.9718381264371239 -0.13736420292082371,0.53481072187423706 0.04512433335185051 0.21322110295295715, 0.51954424381256104 -0.51028037071228027  0.48936626315116882  0.47980037331581116,-8.7383210711777792e-07 -1.7409710153515334e-06 -1.4836368791293353e-06,0.0072496039792895317  -0.61269402503967285 -0.010136600583791733,   0.2482776939868927 -0.015926359221339226  0.065509632229804993 -0.015926359221339226    0.2358066588640213   0.02468477189540863  0.065509632229804993   0.02468477189540863   0.18113355338573456,    0.57269407071824929    -0.48766926312193704     0.92546509542401623     0.47671747963473621   -0.074279621894213221     0.11073360195101856 -3.5527136788005009e-12,2.237567059637513e-06
IIWA_14,1714663161.3358765, 0.57575188531064192   1.0895042219819482 -0.14658145170330344  -1.4560818878631552  -1.0602079452663702    1.693877552365618 -0.58515039388450718, -0.0064419711614713574 -0.00019101480182636405    -0.02966165535610539   -0.015454091461264263  -4.242085392374159e-05    0.027360824268121448 -0.00014602105824757793, 10.488610275268556  65.840592063903813  14.294751579284668 -9.4285675735473635  1.1524107551574707 -2.7621288909912107  0.3501055107116699, -23.609158790859038   5.2344874605571272  -18.046391253414843  -9.6544056053239959 -0.63638235920828978   2.9646973442471891 -0.13671141679090099, 0.53480696678161621 0.045113682746887207  0.21322540938854218, 0.51953297853469849 -0.51027858257293701  0.48936706781387329  0.47981363534927368,-0.00015112965775188059 -0.00042731207213364542  0.00017095216026064008,0.0072495834901928902  -0.61269402503967285 -0.010136540979146957,  0.24827755987644196 -0.015925928950309753  0.065509982407093048 -0.015925928950309753   0.23580779135227203  0.024683574214577675  0.065509982407093048  0.024683574214577675   0.18113261461257935,  0.57267309164732438  -0.48763634605286654   0.92542019478791815    0.4766873833865759 -0.074287219677060534   0.11067110251072876                     0,0.00044266410986892879
IIWA_14,1714663161.3408515, 0.57570670484496012   1.0895057200198617 -0.14715993017556916  -1.4563982714415629  -1.0602072741872728   1.6946007403404066 -0.58515081330894314, -0.0069607955564492639 -9.2890324921317513e-05    -0.04686846317551311   -0.025018616305318861 -7.0935192428757551e-06    0.050816178406043272 -0.00013359382403646647, 13.729328506469727  66.421863746643069  15.210185642242431 -9.2874213523864739  1.1858650016784669 -3.5117351608276368 0.37113186645507812, -23.227240164004296   5.1888306173306162  -17.670551095769643  -9.4599868885883822 -0.65997163105408185   2.7938186626799832 -0.12745877710450898, 0.53473067283630371 0.044859383255243301  0.21334505081176758, 0.51924854516983032 -0.51024174690246582  0.48940581083297729  0.48012110590934753,-0.0031754961237311363  -0.010510959662497044  0.0049236803315579891,0.0072495830245316029  -0.61269426345825195 -0.010136529803276062,  0.24826823174953461 -0.015915598720312119  0.065521873533725739 -0.015915598720312119   0.23583553731441498  0.024653768166899681  0.065521873533725739  0.024653768166899681   0.18111521005630493,  0.57216738083099017  -0.48683673826843687   0.92430557469747043   0.47597154296941113 -0.074445973472947458   0.10915642973774453                     0,0.010996242985129356
IIWA_14,1714663161.3458774, 0.57567614500242237   1.0895059596753847 -0.14790313194997345  -1.4568459421769639  -1.0602086165200006     1.69552502373353 -0.58515111296015909, -0.0067910301466693052 -6.4726039017765286e-05   -0.067222841516582074   -0.037921722460298471 -5.9368124508722652e-05    0.077624278449768117  -0.0001188611078672306, 14.855863891601564  66.442439735412606  14.531339530944825 -9.1973566207885735  1.1277602577209473  -3.309481643676758 0.40016826248168946, -22.963780576383307    5.180707844848321  -17.350909493168071   -9.326601335400678 -0.66779316462728966   2.6353762349142804 -0.12675511028509137, 0.53466075658798218 0.044635407626628876  0.21350198984146118, 0.51892954111099243 -0.51019716262817383  0.48948702216148376  0.48043042421340942,-0.0053422339260578156  -0.017359344288706779   0.010220430791378021,0.0072550391778349876  -0.61269408464431763 -0.010143503546714783,  0.24825139343738556 -0.015907540917396545  0.065537065267562866 -0.015907540917396545   0.23586170375347137  0.024629179388284683  0.065537065267562866  0.024629179388284683   0.18110591173171997,    0.5717515139505025   -0.48620375596275522    0.92334871272470309    0.47542870338368459  -0.074522817138600317     0.1075392444001011 1.7763568394002505e-12,0.019044190645217896
IIWA_14,1714663161.3508506, 0.57565858819006122    1.089504641406384 -0.14885180315598417  -1.4574251996114913  -1.0602090957874131   1.6967541857127979 -0.58515183192672782, -0.0061350966117815434 -0.00010451159123931147   -0.091725121453694491   -0.053507675349333109 -6.6665196103906618e-05     0.11126590193053143 -0.00012384754904276889,  14.35432416534424  65.773720100402841  13.710002948760986 -8.8935561828613281 0.94992452621459955 -3.0371402740478515 0.40617579269409182, -22.621894783450049   5.1501156871418576  -16.929905572703639  -9.1198655780287421 -0.68396208542157277   2.3932921428775216 -0.11669956437585144, 0.53452306985855103 0.044334184378385544  0.21373341977596283, 0.51845467090606689 -0.51010006666183472  0.48960581421852112  0.48092496395111084,-0.0097917979583144188  -0.025913309305906296   0.017442261800169945, 0.007255112286657095  -0.61270028352737427 -0.010143606923520565,  0.24823680520057678 -0.015898389741778374   0.06555282324552536 -0.015898389741778374   0.23589688539505005  0.024603093042969704   0.06555282324552536  0.024603093042969704   0.18108537793159485,    0.57125284601333703    -0.48550870289698622     0.92226483586888008     0.47482366366136119   -0.074595700768398387     0.10504854460346991 -3.5527136788005009e-12,0.029912929981946945
IIWA_14,1714663161.3558729, 0.57563264234356715    1.089505120826513 -0.15002967274469603  -1.4581172287685595  -1.0602100544967712   1.6982644377677549 -0.58515207169133376, -0.0059459111491879839 -6.4432467834276387e-05     -0.1204948807114298   -0.070487306562195706 -9.1680531208051061e-05     0.14942280374270628 -0.00010866862347209917, 13.924800399780274  65.848308059692386  14.062196376800538 -8.6838532257080079  1.0758181381225587 -3.3014716033935545 0.39282572555541995,   -21.74984991941097    5.0397338245426191   -15.829879977581257   -8.5527127872538582  -0.73036418028191663    1.7381879671436906 -0.077168617238376661, 0.53408026695251465 0.043480824679136276  0.21440978348255157, 0.51707875728607178 -0.50976169109344482  0.48996293544769287   0.4823991060256958,-0.022500904276967049 -0.047561157494783401  0.035923343151807785,0.0073799006640911102   -0.6127094030380249 -0.010327172465622425,   0.2482064813375473 -0.015867449343204498  0.065592452883720398 -0.015867449343204498   0.23599976301193237  0.024531763046979904  0.065592452883720398  0.024531763046979904   0.18101383745670319,    0.56964591468844361    -0.48363750080504531     0.91912644544933642     0.47313276964722206   -0.074673120560753148    0.097712558005724759 -8.8817841970012523e-13,0.058213666081428528
