DesiredFlux,0.63,HitTime,1714663374.4224977,DesiredPos, 0.56237560510635376 -0.34923887252807617  0.19787769019603729
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714663373.7241554, 0.51001523593160669   1.1735203497344446 -0.18424918885324865  -1.3754514235338382  -1.1018597421400842   1.6944698726078489 -0.60698810838343142,-0.00021164797018236698  -1.198941768686401e-06 -3.7729009514523139e-05  8.4766815064260094e-06 -1.0101162583685059e-05 -9.7950993627398482e-06  5.2108314202958756e-06, 1.7026630706787109  69.955789817810057  6.9013780899047852 -14.605273265838623    1.46494384765625 -1.8650043792724609 0.37980941009521485,  0.36773976349640752  -0.17415952618837621  0.012388121682290983   0.12026047037384303  -0.85688319854503869  -0.46584025774501647 -0.076637657350858285,  0.56178182363510132 0.0031807937193661928     0.197029709815979, 0.49492210149765015 -0.50460672378540039  0.49626049399375916  0.50413256883621216,  8.355646968993824e-06 -0.00015458173584192991  2.6477703158889199e-06,2.1496109184226952e-05   -0.69028949737548828 3.0697166948812082e-05,  0.24453607201576233 -0.012212378904223442  0.068859763443470001 -0.012212378904223442   0.23924396932125092  0.018590614199638367  0.068859763443470001  0.018590614199638367   0.18013067543506622,  0.42667596740031399  -0.31952135932122872   0.68976438133017126   0.36946307765362008 -0.071951685151283584 -0.015906040159663348                     0,0.00014130726049188524
IIWA_14,1714663373.7291534, 0.51001481650717084   1.1735203497344446 -0.18424918885324865  -1.3754514235338382  -1.1018594545098233    1.694469932603542 -0.60698816837912439,-0.00018609535357985683  -9.591534149491208e-07 -3.0183207611618512e-05  6.7813452051408075e-06  3.4242803707419917e-06 -5.4362517669823097e-06  1.7688374174680242e-06, 1.6923750762939453  70.004657791137703  6.9080993385314944 -14.607961765289307  1.4596615982055663 -1.8693431510925294 0.37847440338134763,  -26.293827485626473    3.8975167186966986   -16.376744175461468   -8.3159323665143035  -0.87144917094620544  -0.62532307090378225 -0.076681785128612581,  0.56178194284439087 0.0031806218903511763   0.19702991843223572, 0.49492174386978149 -0.50460672378540039  0.49626076221466064  0.50413268804550171,9.5798277470748872e-06 -0.0001305362384300679 1.0537144589761738e-05,2.1496365661732852e-05   -0.69028955698013306 3.0698076443513855e-05,  0.24453602731227875 -0.012212367728352547  0.068859785795211792 -0.012212367728352547   0.23924398422241211  0.018590603023767471  0.068859785795211792  0.018590603023767471   0.18013070523738861,    0.4266755454596094   -0.31952103358889872    0.68976384220142961    0.36946287646077991  -0.071951389117863584  -0.015907197569831055 1.7763568394002505e-12,0.00011984215234406292
IIWA_14,1714663373.7341559, 0.51001439697365192   1.1735203497344446 -0.18424936862216162  -1.3754514834204481  -1.1018594545098233   1.6944696329523259 -0.60698828815234429, -0.0001656576236208849 -7.6732273195929671e-07 -3.1337322608410189e-05  3.0296117683801858e-06  2.7394242965935935e-06 -1.6335050056084151e-05 -3.3758588619313939e-06, 1.6872310791015626  70.035521774291993  6.9013780899047852  -14.60392901611328  1.4675849723815917 -1.8676743927001953 0.37914190673828124,    -26.2944074752834    3.8975039329551464   -16.377151220693996   -8.3160241966656248   -0.8715357614054885  -0.62529113027723615 -0.076645011605865232,  0.56178188323974609 0.0031803874298930168   0.19702988862991333, 0.49492162466049194 -0.50460690259933472  0.49626052379608154  0.50413286685943604, 5.2369678087416105e-06 -0.00011381132208043709   7.376166195172118e-06,2.149009560525883e-05  -0.69028949737548828 3.069420563406311e-05,  0.24453601241111755 -0.012212382629513741  0.068859793245792389 -0.012212382629513741    0.2392439991235733  0.018590569496154785  0.068859793245792389  0.018590569496154785   0.18013070523738861,    0.42667602735679822    -0.31952019311365376     0.68976316691049533      0.3694623156240695   -0.071952386638152177   -0.015907787518365524 -8.8817841970012523e-13,0.00010419870523037389
IIWA_14,1714663373.7391543, 0.51000630769981814   1.1735222073101843  -0.1842641691233016  -1.3754616101480175  -1.1018594545098233   1.6944670563009345 -0.60698828815234429,-0.00045609705224782345  7.3689171401318843e-05 -0.00061708990368561259 -0.00040264541336100838  2.1915394372748748e-06 -0.00011613409569933336 -2.7006870895451151e-06, 1.8003990173339846  70.020089782714848  7.1164580459594724 -14.465471294403077  1.4711064720153808 -1.8663393859863282 0.37880815505981447, -26.294825570936016   3.8974986920989556   -16.37740186909673  -8.3161154045628738 -0.87154429059510075 -0.62521719534602316 -0.07661167463842998,  0.56178188323974609 0.0031800777651369572   0.19702987372875214, 0.49492159485816956 -0.50460696220397949  0.49626040458679199  0.50413292646408081,5.5913151300046593e-06 -0.0001034288143273443  5.137433618074283e-06,2.1492458472494036e-05   -0.69028949737548828 3.0693419830640778e-05,  0.24453599750995636 -0.012212365865707397  0.068859808146953583 -0.012212365865707397    0.2392440140247345  0.018590511754155159  0.068859808146953583  0.018590511754155159   0.18013070523738861,  0.42667535708940107   -0.3195189404561205   0.68976137443144125   0.36946122891823308 -0.071952856887769201 -0.015908056360203204                     0,9.4649432867299765e-05
IIWA_14,1714663373.7441528, 0.50983211696823516   1.1735359891935395 -0.18467289109111518  -1.3756624058060531  -1.1018601255889207   1.6944498590263994 -0.60698846792125727,  -0.007332506905117434  0.00061022667132956698   -0.016842550635491692  -0.0083539426521151011 -2.5089932346297616e-05 -0.00078079825796289397 -9.3513061907514736e-06, 9.6552827301025399  68.106522827148439  12.926305358886719 -10.136987178802491  1.2650987434387206 -2.1083093528747558 0.38882070541381836,  -26.278438631156089    3.8939073238584494   -16.364533009179173   -8.3088064152605376  -0.87309315175776259   -0.6283681103744766 -0.075730255932843077,  0.56177985668182373 0.0031684604473412037   0.19703094661235809, 0.49491524696350098 -0.50460577011108398   0.4962596595287323  0.50414115190505981,-7.7697965025436133e-05  -0.0005474397330544889  4.6815232053631917e-05,  2.14831034099916e-05   -0.69028949737548828 3.0678671464556828e-05,   0.2445361316204071 -0.012211206369102001   0.06886003166437149 -0.012211206369102001   0.23924504220485687  0.018588390201330185   0.06886003166437149  0.018588390201330185   0.18012973666191101,    0.42663120853081438    -0.31947517114705448     0.68968272618707971     0.36941814746871415   -0.071958087477064225   -0.015943874574375627 -1.7763568394002505e-12,0.00050643912982195616
IIWA_14,1714663373.7491844, 0.50974115673443976   1.1735293978485364 -0.18512697340260653  -1.3758025014216153  -1.1018648234916684     1.69436590945296 -0.60699008584147385, -0.0095044148759099775  0.00022452753693815737   -0.031637332968047556   -0.012286978744178622 -0.00020798805578535297   -0.003982621543949922 -7.2197853615757831e-05, 15.612031478881837  67.795310997009281  16.143094951629639 -10.830620037078857  1.3513754844665526 -2.2017598228454589 0.33809045028686524, -25.874485907463811   3.8463368808074678  -16.014697900793756   -8.153789485333208 -0.89910199886964648 -0.71802634997091874 -0.06684473543180669,  0.56174659729003906 0.0028921277262270451   0.19709885120391846, 0.49472492933273315 -0.50459128618240356  0.49627053737640381  0.50433164834976196,-0.0013939631171524525  -0.011490351520478725  0.0027551164384931326,2.1486494006239809e-05   -0.69028949737548828 3.0681512726005167e-05,  0.24452731013298035 -0.012185331434011459  0.068871140480041504 -0.012185331434011459   0.23926983773708344  0.018537994474172592  0.068871140480041504  0.018537994474172592   0.18011753261089325,    0.42563923584548746    -0.31844504219069591     0.68783506584058074      0.3684316602354798   -0.072070797811463194   -0.016885420282441999 -5.3290705182007514e-12,0.010858716443181038
IIWA_14,1714663373.7541816, 0.50972330016177958   1.1735326934664965 -0.18568471921777088  -1.3760745432741299  -1.1018580163585197   1.6942896298380015 -0.60698858780356024,-0.0083177948071351746 0.00031144674795397637  -0.047619698981012093  -0.020711257095927502 0.00010589488132019126 -0.0062372818334993554 2.1632336516083552e-06, 16.805438827514649  69.119890274047862  16.022112476348877 -10.442131866455078  1.4904747200012207 -2.1680509033203124 0.34109421539306639,  -25.631602677116952    3.8473175461080857   -15.751963369766646   -8.0834111530197994  -0.90427379082539217  -0.77036311545812408 -0.070254548887927273,   0.5617484450340271 0.0026587587781250477   0.19718347489833832, 0.49455419182777405 -0.50458377599716187  0.49632087349891663  0.50445705652236938,-0.0010480133350938559  -0.018525637686252594  0.0055932188406586647, 2.148676139768213e-05   -0.69028979539871216 3.0682429496664554e-05,  0.24450811743736267 -0.012157958000898361  0.068887032568454742 -0.012157958000898361   0.23929260671138763  0.018489109352231026  0.068887032568454742  0.018489109352231026   0.18011672794818878,   0.42460269434485554   -0.31749431737626566    0.68600017155961979    0.36751738347273744  -0.072069968263477335   -0.01763250812558681 2.6645352591003757e-12,0.017686983570456505
IIWA_14,1714663373.759182, 0.50973240816248111   1.1735314950797988 -0.18641701530234409  -1.3764801493928962  -1.1018685625105249     1.69413599210369 -0.60698912711029918, -0.0062899158176469468  0.00020122193045702389   -0.067387602567737792   -0.032793250427393103  -0.0003371301751535227   -0.011135334839256654 -1.9841682636059464e-05, 15.637751464843751  68.386870674133306  14.275932083129883 -10.223019161224364  1.1876257514953612 -1.9377622451782226 0.36212057113647461,  -25.418697323598849    3.8170359938252436   -15.493598027516317   -7.9826823149877484  -0.91900602708559176  -0.83464947266180134 -0.057478421389694938,0.56171059608459473 0.00240671681240201 0.19727319478988647, 0.49436590075492859 -0.50452184677124023  0.49638715386390686  0.50463837385177612,-0.0023603420704603195  -0.024899093434214592  0.0080709410831332207,2.1566336727119051e-05    -0.6902959942817688 3.0652463465230539e-05,  0.24449954926967621 -0.012120947241783142  0.068898960947990417 -0.012120947241783142   0.23932059109210968  0.018433514982461929  0.068898960947990417  0.018433514982461929    0.1801026314496994,  0.42321137463563474  -0.31645575383087987   0.68379694424614001   0.36643607342590201 -0.071950132603859629 -0.018577898051930219                     0,0.023984704166650772
IIWA_14,1714663373.7641525, 0.50973396619608768   1.1735316149621018 -0.18737904885819115  -1.3770032607853009  -1.1018667409103846   1.6939162613685994 -0.60698924688351907, -0.0049696113098545748  0.00016577283648456115   -0.092391424288072788   -0.047159056038101874 -0.00019684013451146766   -0.017697497275030467 -2.0664274904753384e-05, 14.742695953369141  68.196542778015143  13.621282466888427 -9.5764350433349605  1.0855022621154784 -1.7572025871276855 0.36946310806274413,  -25.165546967792494    3.7689242155854541   -15.182761874221631   -7.8537605031740458  -0.93452079907847829  -0.90579976997282907 -0.036099332186383837,  0.56165659427642822 0.0020859488286077976   0.19738040864467621, 0.49414977431297302 -0.50441724061965942  0.49647864699363708  0.50486457347869873,-0.0040615806356072426  -0.032745134085416794   0.010761020705103874,2.2008838641340844e-05   -0.69030171632766724 2.7251395295024849e-05,  0.24449425935745239 -0.012068290263414383  0.068911820650100708 -0.012068290263414383   0.23935718834400177  0.018359968438744545  0.068911820650100708  0.018359968438744545   0.18007950484752655,  0.42124414784883157  -0.31510210291862961    0.6808275609264669   0.36497797012824407  -0.07171014134588205 -0.019723956659056796                     0,0.03167392686009407
IIWA_14,1714663373.7691834, 0.50972905265791102   1.1735311955376659 -0.18857177883465295  -1.3776243432900233  -1.1018672203523301   1.6935884329027051   -0.606989726303648, -0.0041722305749502669  0.00011584129175368571    -0.12162233848893038   -0.062570545019376311 -0.00017664978542828965   -0.027271136455796277 -3.5708225080975503e-05, 14.616668022155762  67.676999061584482  14.103868118286133 -9.4930915603637693  1.2078743743896485  -1.968467399597168 0.36512433624267576,   -24.82167836917084    3.7079128898968312    -14.77823617536748   -7.6885615110501799  -0.95806673271111964  -0.99540310351873806 -0.011113351785683831,  0.56158775091171265 0.0016603394178673625   0.19751650094985962,0.49386802315711975 -0.5042908787727356 0.49659052491188049 0.50515633821487427,-0.0060264412313699722  -0.043212577700614929   0.014081430621445179,2.0490380848059431e-05   -0.69030880928039551 2.2681189875584096e-05,  0.24448616802692413 -0.011999448761343956  0.068929225206375122 -0.011999448761343956   0.23940514028072357  0.018261691555380821  0.068929225206375122  0.018261691555380821   0.18005020916461945,  0.41867364218717285  -0.31329117211864599   0.67689066920628704   0.36304200722891977 -0.071432185626996159 -0.021205333447404939                     0,0.04184013232588768
