DesiredFlux,0.53,HitTime,1714663086.482482,DesiredPos, 0.5512579083442688 0.35733675956726074 0.22025397419929504
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714663085.707376,-0.41516734624089802   1.1121080281393334 0.051064962046322306  -1.3144151069461303  -1.9421202490943081  -1.8296867437864852 -0.90327775594593362, 0.00071723591744816072   0.0017890822456167119   0.0013102669451510896 -0.00047967515359679413  8.3244488407580077e-06  -0.0011591974364768423 -1.6039994354480577e-05, 0.31052168655395507   64.552216060638429  -3.1517421722412107  -15.783361358642578  -1.5362542152404786   1.7535313186645507 -0.25198251724243165,-0.23114095772180887   0.4155309667989171 0.098421845394215557  -3.1055143460333223  0.10750661709659134 -0.12573855369072506  0.54448788091974332,   0.56325805187225342 -0.0016539674252271652    0.21655479073524475, -0.70519804954528809 -0.023099023848772049  0.015688721090555191   0.70846027135848999,-0.00050210987683385611  0.00037496481672860682 -0.00048809906002134085,-0.0051378835923969746     0.5798460841178894  0.0015798547537997365,  0.24240006506443024  0.025113137438893318  0.068615175783634186  0.025113137438893318   0.23524264991283417 -0.015597720630466938  0.068615175783634186 -0.015597720630466938   0.18884561955928802,   -0.9075440856536332   -0.22809483324692792   -0.85761943613604785    0.54570097303585641    0.52005530972643044    0.10350692807215012 2.6780650586033516e-05,0.00072601041756570339
IIWA_7,1714663085.7123764,-0.41515638066445698    1.112120371871385 0.051075927622763355  -1.3144158260217822  -1.9421199614640474  -1.8296892604421835 -0.90327757617702076,   0.001012411791599947   0.0019250150785578403   0.0014868366137628453 -0.00041250314895389684  1.8164769501414659e-05  -0.0010280241771127305 -5.6412389689099719e-06, 0.25809594726562501   64.513232818603512  -3.1649477958679197   -15.78248098373413  -1.5397757148742675   1.7511950569152832 -0.24964625549316405, 13.937975034986453  1.7904124985468306  8.8717311122434221 -3.9657682427415519  1.6434263739160624   1.869049397258755 0.54421883020330153,   0.56325602531433105 -0.0016437586164101958    0.21655181050300598,   -0.705191969871521 -0.023103002458810806  0.015698075294494629   0.70846599340438843,-0.00048283245996572077  0.00070831406628713012 -0.00050945329712703824,-0.0051358183845877647    0.57984632253646851  0.0015806640731170774,  0.24240031838417053   0.02511260099709034  0.068615250289440155   0.02511260099709034   0.23524385690689087 -0.015596413984894753  0.068615250289440155 -0.015596413984894753   0.18884414434432983,  -0.90751530504995515   -0.22806768939709343   -0.85755942429610599    0.54567989274190154    0.52006992474673552    0.10355786998594851 2.6792299046007884e-05,0.00091142271412536502
IIWA_7,1714663085.7173748,-0.41511904981708608    1.112135771565874 0.051116134772741545   -1.314419481177568  -1.9421152635612999  -1.8296680483649532 -0.90327775594593362,  0.0023031633281158678   0.0021559998424037865   0.0027977552901378771  -0.0004762087505959169   0.0002024479255005648   2.606374752063198e-05 -1.1703747689802468e-05,0.014786746978759766   64.505167320251459  -3.6297857475280759  -15.725256614685058  -1.5829140853881836   1.6674233856201173 -0.24864500045776367, 13.929520291160316  1.7888830667929696  8.8659053614032839 -3.9640896079838517  1.6438354197373342  1.8704869893796241 0.54406270767480369,   0.56325459480285645 -0.0016328557394444942    0.21654884517192841, -0.70518577098846436 -0.023107260465621948   0.01570688933134079   0.70847183465957642,-0.00044392218114808202   0.0010027552489191294 -0.00052629044512286782,-0.0051339417695999146    0.57984650135040283  0.0015812624478712678,  0.24240043759346008  0.025111902505159378  0.068615444004535675  0.025111902505159378   0.23524512350559235 -0.015594935975968838  0.068615444004535675 -0.015594935975968838   0.18884274363517761,  -0.90748028540144077   -0.22803775912016988   -0.85749120475764329     0.5456575215809778    0.52008303398309863    0.10360815563537074 2.6803900432526007e-05,0.001111759920604527
IIWA_7,1714663085.7223744,-0.41463620535218648   1.1121899402590374  0.05162828058870518  -1.3144502806756289  -1.9420411532160688  -1.8294254876324156 -0.90327745629471767,  0.021156309258476738  0.0038915476004604951   0.022724036870655721 -0.0016129469229103572  0.0031263721496437346  0.0097232802995200623 2.6230504862154366e-06, -8.8505401916503903   63.095049358367923  -9.8311466026306142  -15.570310630798339  -2.0125370407104493   1.2512350425720216 -0.21360107421874999,  13.92307692888167  1.7862416852567624  8.8616418209673071 -3.9621548584366453  1.6445480334434255  1.8712188346744112  0.5436335967447109,   0.56325316429138184 -0.0016221483238041401    0.21654507517814636, -0.70517969131469727 -0.023110551759600639  0.015715694054961205   0.70847755670547485,-0.00041105228592641652   0.0012304875999689102 -0.00057201023446395993,-0.0051323948428034782    0.57984673976898193  0.0015821203123778105,  0.24240072071552277  0.025111053138971329  0.068615607917308807  0.025111053138971329   0.23524637520313263 -0.015593450516462326  0.068615607917308807 -0.015593450516462326   0.18884119391441345,   -0.9074398860917654   -0.22800810483136758   -0.85741962164220809    0.54563495705117759    0.52009391313667663    0.10365531917155835 2.6814827691623577e-05,0.0012958943843841553
IIWA_7,1714663085.7273765,-0.41413963899962458   1.1122286493711018  0.05207804855536869  -1.3144730506773825  -1.9419406774035584  -1.8290018452811592 -0.90327757617702076,   0.036787701509257399   0.0046616025629437341    0.036169948163064972  -0.0022011576084746084   0.0065201302201346716    0.024724318289874859 -2.6968517344105721e-06, -17.274953220367433    63.57225801086426  -12.937109279632567   -15.15477367401123   -1.312638988494873   1.7338399696350097 -0.23729744338989259, 13.892895408877463  1.7838422187360008  8.8376736581543671 -3.9589709042182615  1.6451359544838084   1.872059382829502 0.54391975726850728,   0.56325614452362061 -0.0015855684177950025    0.21654151380062103,   -0.705169677734375 -0.023124013096094131  0.015729308128356934   0.70848679542541504,-0.00020934737403877079   0.0024475797545164824 -0.00060002296231687069,-0.0051310257986187935    0.57984703779220581  0.0015832397621124983,  0.24239863455295563   0.02510732039809227  0.068617500364780426   0.02510732039809227   0.23525021970272064 -0.015587415546178818  0.068617500364780426 -0.015587415546178818   0.18883983790874481,  -0.90727542124380278   -0.22789387903632274   -0.85715211584069806    0.54553999259532304     0.5201028912296124    0.10375108788629461 2.6836894484461027e-05,0.00231124646961689
IIWA_7,1714663085.7323747,-0.41385339583931896   1.1122831176063981 0.052385803444120561  -1.3144749681397321  -1.9417863206590449    -1.82845800112257  -0.9032771567525848,  0.040879887619630781  0.0059080114622074749   0.041246154080526821 -0.0018376245807623056    0.01139037395664666   0.041533220975468403 1.4619496050875659e-05, -19.236213569641112   62.952558887481686  -11.885061264038086  -15.116917552947998  -1.7994863128662109   1.2635838546752929 -0.23796494674682617, 13.892895408877463  1.7838422187360008  8.8376736581543671 -3.9589709042182615  1.6451359544838084   1.872059382829502 0.54391975726850728,   0.56325614452362061 -0.0015855684177950025    0.21654151380062103,   -0.705169677734375 -0.023124013096094131  0.015729308128356934   0.70848679542541504,-0.00020934737403877079   0.0024475797545164824 -0.00060002296231687069,-0.0051301838830113411    0.57984733581542969  0.0015844367444515228,  0.24239863455295563   0.02510732039809227  0.068617500364780426   0.02510732039809227   0.23525021970272064 -0.015587415546178818  0.068617500364780426 -0.015587415546178818   0.18883983790874481,  -0.90727542124380278   -0.22789387903632274   -0.85715211584069806    0.54553999259532304     0.5201028912296124    0.10375108788629461 2.6836894484461027e-05,0.00231124646961689
IIWA_7,1714663085.7373731,-0.41373307414968341   1.1123308748325542 0.052742633718946157  -1.3144787431778211  -1.9415778909963106  -1.8278559136905956 -0.90327733652149778,  0.037516777681126615  0.0066366982160112192   0.047270134257445272 -0.0016211011881704677    0.01744948567468798   0.057310074059347467 4.5048403215851461e-06, -16.449583889007567   63.720125480651852  -8.3336288833618166  -14.637993602752685  -1.2756632423400878   1.3006302909851075 -0.26733509445190429, 13.043624589204391  1.7997615265199078  8.1486609703252171 -3.9742257065819766  1.6073387181862022  1.8162170475344106 0.58303603180850383,     0.5635143518447876 -0.00039925795863382518     0.21654218435287476, -0.70502662658691406 -0.023556148633360863  0.015878118574619293   0.70861160755157471,0.0020999924745410681  0.020396580919623375 0.0010221817065030336,-0.0051294579170644283    0.57984817028045654  0.0015860139392316341,  0.24235214293003082  0.025067310780286789  0.068648070096969604  0.025067310780286789   0.23529680073261261 -0.015510134398937225  0.068648070096969604 -0.015510134398937225    0.1888439953327179,  -0.90546978144878665   -0.22643623548290748   -0.85395327281823086    0.54436018535142239    0.52026687679340711     0.1049698739148397 2.7114920975179757e-05,0.018763834610581398
IIWA_7,1714663085.7423728,-0.41363168764618585    1.112405536527296 0.053333875456782448  -1.3144732304462956  -1.9412587271738546  -1.8271314673334165  -0.9032771567525848,   0.03406888228480362  0.0082958263624807963   0.061465776919407876 -0.0010763716895166885   0.026726141437990521   0.074825913534644573 1.0794628776383499e-05, -12.678963409423828   63.428423290252688  -8.2262231445312501  -15.176783046722411  -1.7607498168945312   1.0416389884948731 -0.24730999374389648, 13.107247514958763  1.8057722996105072  8.1382322066477997 -4.0516969041420747  1.5624762564523613  1.7083991654952215 0.59218057562785442,    0.56364721059799194 -0.00019617188081610948     0.21651031076908112, -0.70503979921340942 -0.023519009351730347  0.015734216198325157   0.70860296487808228,  0.012230034917593002    0.03893057256937027 -0.0019491489510983229,-0.0051325890235602856    0.57984811067581177  0.0015881112776696682,  0.24227303266525269  0.024911427870392799  0.068724758923053741  0.024911427870392799   0.23537454009056091 -0.015331058762967587  0.068724758923053741 -0.015331058762967587   0.18886697292327881,  -0.89924401089813699   -0.22323510873079044   -0.84570512025905487    0.54154691278718303    0.51916467973178726    0.10500834349524979 2.7152518455864083e-05,0.037337608635425568
IIWA_7,1714663085.7474012,-0.41346037310812706   1.1124803779909509 0.054032136311944833  -1.3144994159483125  -1.9408705341832186  -1.8261943607881124  -0.9032763777903231,  0.034107687350194801  0.0096303196361800132   0.077103055742021684 -0.0019085174322909476   0.036908632775831285   0.097344992639879682 3.9794193488859895e-05, -10.455574363708497   63.187802589416506  -9.6621146202087402  -15.584396629333495  -1.9500304222106932   1.4054283180236817 -0.23763119506835936, 13.107244491481977  1.8057341467180521  8.1382452277999278 -4.0517248183400358  1.5624632274726289  1.7083559386814513 0.59218057562785442,    0.56364721059799194 -0.00019617188081610948     0.21651031076908112, -0.70503979921340942 -0.023519009351730347  0.015734216198325157   0.70860296487808228,  0.012230034917593002    0.03893057256937027 -0.0019491489510983229,-0.0051327962428331375     0.5798715353012085  0.0015881754225119948,  0.24227303266525269  0.024911427870392799  0.068724758923053741  0.024911427870392799   0.23537454009056091 -0.015331058762967587  0.068724758923053741 -0.015331058762967587   0.18886697292327881,  -0.89924401089813699   -0.22323510873079044   -0.84570512025905487    0.54154691278718303    0.51916467973178726    0.10500834349524979 2.7152518455864083e-05,0.037337608635425568
IIWA_7,1714663085.7523754,-0.41319600121409356   1.1125556988747345 0.054735071049760969  -1.3145285975261567  -1.9404132160312941   -1.824989047424076 -0.90327565871467119,  0.037861025641495821   0.010717091060287679   0.089799834106262827 -0.0026940770595987843   0.047819632297645548    0.12608852867335968 6.0598380867549445e-05, -9.3909285812377927   63.385407299041745  -9.5467855072021486  -15.809772605895995  -1.7774769401550292   1.2218648948669433 -0.24864500045776367,  13.12665728988514  1.8648774190504533  8.0141749869903407 -4.1555088774983009  1.4819816497942253  1.6119479338632745 0.61022090842314403,   0.56382697820663452 8.0748381151352078e-05    0.21650730073451996, -0.70499312877655029 -0.023490656167268753  0.015527254901826382   0.70865494012832642,  0.016962243244051933   0.042226728051900864 -0.0016637840308248997,-0.0053636389784514904    0.57987231016159058  0.0016243456630036235, 0.24224874377250671 0.024830276146531105 0.068761169910430908 0.024830276146531105  0.23539462685585022 -0.01526509877294302 0.068761169910430908 -0.01526509877294302  0.18888114392757416,  -0.89616193872199545   -0.22219248746502274     -0.842292008020884    0.54068044445898522    0.51825232018920531    0.10441449509901446 2.7056347384757373e-05,0.041617948561906815
