DesiredFlux,0.77,HitTime,1714663767.9296288,DesiredPos,0.52830362319946289  0.3594658374786377 0.22040688991546631
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714663767.3326435,-0.43252979164619804   1.0845410751120279 0.052139347900274163  -1.4450922338414969  -1.9349609690655525  -1.8090725586530005 -0.99252733483651157,-0.00015958397842700582 -2.2442972433300304e-06   0.0017973598494682699   5.302045692303012e-06  0.00012187600454901978  0.00022721222686804612 -2.8207348652891276e-06,-0.42747141265869143   61.874470607757566  -3.2820376586914062  -13.733848571777344  -1.5521009635925294   1.7361762313842772 -0.11581183242797852,-0.076266332551027466   -3.6368126817308726  0.053006264768336545   0.17477276268707131  0.062298594267014853   0.19695893202453843    0.4123050982122744,  0.53251051902770996 0.0051083937287330627   0.20830245316028595, -0.69418245553970337 -0.011304490268230438 0.0058176056481897831   0.71968680620193481,0.00015914104005787522 0.00070199934998527169 0.00040386852924712002,-0.0026784478686749935    0.84307253360748291  0.0077104736119508743, 0.25420725345611572 0.020437834784388542  0.06287200003862381 0.020437834784388542  0.23737688362598419 -0.01606016606092453  0.06287200003862381 -0.01606016606092453  0.17758870124816895, -0.72559073703004628  -0.24043724814060141  -0.78922207183840243   0.42949496142163923   0.45626470105020189  0.089344379540001739 2.810125998564672e-05,0.0007537981728091836
IIWA_7,1714663767.3376443,-0.43253057060845984   1.0845410751120279 0.052144441098280717  -1.4450922338414969   -1.934960393805031  -1.8090717796907387 -0.99252751449634147,-0.00015882567321379864 -1.7954377946640244e-06   0.0016416157998367471    4.24163655384241e-06  0.00012051122449683234  0.00021292827196663089 -9.4429810883104681e-06,-0.41671741485595704   61.886568855285645  -3.2732339096069336   -13.73208782196045  -1.5494598388671874   1.7338399696350097 -0.11748059082031249,  21.370807432104417   1.7673013938517592   13.002879114497473  -5.3218021965488767 -0.24594960787806064   2.4425568671213349  0.41230928008932016,  0.53251147270202637 0.0051113017834722996   0.20830459892749786, -0.69417941570281982 -0.011306621134281158 0.0058164815418422222   0.71968966722488403,0.00013788876822218299 0.00055373803479596972 0.00033529361826367676,-0.0026786020025610924    0.84307265281677246   0.007708841934800148,  0.25420662760734558  0.020437270402908325   0.06287258118391037  0.020437270402908325   0.23737725615501404 -0.016059311106801033   0.06287258118391037 -0.016059311106801033   0.17758898437023163,  -0.72556838587622963   -0.24042492573528307   -0.78918551023576811    0.42948772064654861    0.45626211323046562    0.08935442074520239 2.8103065652373971e-05,0.0006044670008122921
IIWA_7,1714663767.3426459,-0.43253075037737282   1.0845411949943309  0.05214989394319626  -1.4450922338414969  -1.9349598185445096  -1.8090710606150868 -0.99252733483651157, -0.0001342512950901543  3.3589418832108101e-06   0.0015314064364911305  3.3933092430739281e-06  0.00011941940045508239  0.00019910564364976626 -3.6799167456920846e-07,-0.39252091979980469   61.917486598968509  -3.2538656616210937  -13.737370071411133  -1.5503402137756348   1.7375112380981446 -0.11914934921264649,  21.371954242377374   1.7664204106873349   13.004439831013073  -5.3216667957535417 -0.24579723652377644   2.4423100414960373  0.41234074524560516, 0.53251194953918457 0.005112700629979372  0.20830555260181427, -0.69417810440063477 -0.011307656764984131 0.0058159539476037025   0.71969097852706909,0.00012820539996027946 0.00049894582480192184 0.00030614281422458589,-0.0026787116657942533    0.84307259321212769  0.0077074151486158371,  0.25420635938644409  0.020437011495232582  0.062872849404811859  0.020437011495232582   0.23737743496894836 -0.016058912500739098  0.062872849404811859 -0.016058912500739098   0.17758908867835999,  -0.72556838587622963   -0.24042492573528307   -0.78918551023576811    0.42948772064654861    0.45626211323046562    0.08935442074520239 2.8103065652373971e-05,0.00054728967370465398
IIWA_7,1714663767.3476667,-0.43250270729961637   1.0845522803439918  0.05218890259739372  -1.4451148839609476  -1.9349595309142489  -1.8090445155752439 -0.99252751449634147,  0.0010143220741856984  0.00044610113994167252   0.0027854713170913118 -0.00090329013063292142  0.00010704073079287416   0.0012210861086356405  -7.480786535734533e-06,-0.57130613327026369   61.777684627532956  -3.7010961151123047  -13.451248226165772  -1.5538617134094237   1.6420582580566405  -0.1171468391418457,  21.371954242377374   1.7664204106873349   13.004439831013073  -5.3216667957535417 -0.24579723652377644   2.4423100414960373  0.41234074524560516, 0.53251194953918457 0.005112700629979372  0.20830555260181427, -0.69417810440063477 -0.011307656764984131 0.0058159539476037025   0.71969097852706909,0.00012820539996027946 0.00049894582480192184 0.00030614281422458589,-0.0026787889655679464    0.84307271242141724   0.007706034928560257,  0.25420635938644409  0.020437011495232582  0.062872849404811859  0.020437011495232582   0.23737743496894836 -0.016058912500739098  0.062872849404811859 -0.016058912500739098   0.17758908867835999,  -0.72555806108454135   -0.24041909360139613   -0.78916854870758613    0.42948415896049141    0.45626097922735198   0.089359049948001257 2.8103913862764784e-05,0.00054728967370465398
IIWA_7,1714663767.3526459,-0.43206066917804381   1.0846299381145608 0.052762467640565816  -1.4453083693074114  -1.9349615441515411  -1.8087823006899999 -0.99252769426525445,   0.018492982522251091   0.0034631917347135877    0.025170978780556887  -0.0084620459630581502  5.1030929459467919e-06    0.011465464296669616 -1.3175385747703008e-05, -10.021381702423096   58.997776195526122  -10.404270668029785  -10.604115772247315  -1.5723495864868164   1.5172351303100586 -0.12582438278198241,   21.37237773451859   1.7656370786966669    13.00526631794143  -5.3213864993459206 -0.24561368422112206    2.442271440402406  0.41233149875476477,    0.532512366771698 0.0051145520992577076   0.20830652117729187, -0.69417661428451538 -0.011308855377137661 0.0058158328756690025    0.7196924090385437,0.00012012434308417141 0.00047321643796749413  0.0002838729415088892,-0.0026789007242769003    0.84307289123535156  0.0077048460952937603, 0.25420603156089783 0.020436745136976242 0.062873132526874542 0.020436745136976242  0.23737765848636627 -0.01605844683945179 0.062873132526874542 -0.01605844683945179  0.17758920788764954,  -0.72554730617468977   -0.24041187091672356   -0.78914939563023978    0.42947955840144658    0.45626063819881324    0.08936550992011405 2.8105088034635628e-05,0.00051578046986833215
IIWA_7,1714663767.3576415,-0.43161958978764592   1.0846051307681546 0.053176822222207897  -1.4454262341188755  -1.9349526279625242  -1.8082504408347195 -0.99252781414755742,   0.032437561633716534    0.001778259531522987    0.036710966290128724   -0.011484229229012169  0.00036073003503208462    0.030446765648550492 -1.5335600717104438e-05, -17.852980602264406   59.820457027435303  -13.485582847595214  -10.986198482513428 -0.70606067657470706   1.4551573181152344 -0.12582438278198241,  21.343565704714063   1.7484746950230803   12.986656661655049    -5.30510073704506 -0.23702973272984351   2.4430817778726395   0.4090117352157675,  0.53250938653945923 0.0051472769118845463   0.20830096304416656,  -0.6941680908203125 -0.011314360424876213 0.0058329585008323193   0.71970033645629883,-2.3735921786283143e-05   0.0016875581350177526  4.7544799599563703e-06,-0.002679022029042244   0.84307289123535156 0.0077037154696881771,  0.25420600175857544  0.020433217287063599  0.062873683869838715  0.020433217287063599   0.23738110065460205 -0.016052506864070892  0.062873683869838715 -0.016052506864070892   0.17758630216121674,  -0.72540104259566363    -0.2403025876969167   -0.78890098397987884    0.42937441935375631    0.45626898242279168   0.089446204881937774 2.8120113348961695e-05,0.001541374484077096
IIWA_7,1714663767.3626423,-0.43133172870712372   1.0845988390743673 0.053551568956303683  -1.4456067765399387  -1.9349415065499977  -1.8074651744436807 -0.99252787403416742,   0.037464492527861243   0.0011709398737265099    0.044358642395934435   -0.016409080225739558  0.00073344052908407812    0.055768068160393161 -1.4663944973856904e-05,-19.962108421325684  59.567738079071042 -12.670355682373046 -11.857769641876221 -1.8267779350280762  1.1330869483947754 -0.1278268928527832,  20.618945834188008   1.6525079853061624   12.417894524043872  -5.1479677548106713 -0.13338098021660727   2.4674132248770801  0.39899563998233695,  0.53255313634872437 0.0060211592353880405   0.20828147232532501, -0.69406193494796753 -0.011644931510090828 0.0061484891921281815    0.7197948694229126,   0.001790554029867053    0.032262254506349564 -0.00078410084825009108,-0.0026791016571223736    0.84307396411895752  0.0077025638893246651,  0.25414684414863586  0.020357880741357803  0.062920667231082916  0.020357880741357803   0.23746491968631744 -0.015890594571828842  0.062920667231082916 -0.015890594571828842   0.17757311463356018,-0.72221541165173875 -0.23728940522538267 -0.78266597212106603  0.42669570440434512  0.45662061590867609 0.091339467433115828 2.84870687039529e-05,0.029517650604248047
IIWA_7,1714663767.3676417,-0.43116239162710746   1.0845897310736656 0.054071564390578163  -1.4458960756626815  -1.9349367130032071  -1.8063777258911085 -0.99252823357199327,   0.036745077222939515  0.00057243187091557358    0.056286731287726738   -0.024699229090302886  0.00077849429489189141    0.088112396631204792 -2.6112669012875396e-05, -18.228026275634765   59.923964256286624  -10.023948707580566  -11.589255294799804 -0.80378229141235347    1.073011646270752 -0.13116440963745118,   20.523602345708714    1.5495831527077906    12.388592412872821   -5.1407772812072086 -0.091498513945463281    2.3289836247571598   0.38742209616223289,  0.53261750936508179 0.0063395663164556026   0.20818653702735901, -0.69416195154190063  -0.01164722628891468 0.0061665689572691917   0.71969819068908691, 0.0039882976561784744   0.038550324738025665 -0.0044197803363204002,-0.0026782939676195383    0.84308862686157227  0.0077092391438782215,  0.25413233041763306  0.020301805809140205  0.062937907874584198  0.020301805809140205   0.23749305307865143 -0.015819225460290909  0.062937907874584198 -0.015819225460290909   0.17756935954093933,  -0.72005595075008699   -0.23603300295249596   -0.77958896773289155    0.42541216339131438    0.45620011064162469   0.091080183611147447 2.8450939382196339e-05,0.035623181611299515
IIWA_7,1714663767.3726428,-0.43100545816575281   1.0845878136113163 0.054837056746607382  -1.4462497900884601  -1.9349124567663287  -1.8049664036796436 -0.99252925229886113,    0.03567340023253749  0.00038124700275872194    0.075649079271350173   -0.033907960303385672   0.0015930449110497554      0.1269428057635596 -6.1639209924819251e-05, -15.075760669708252   59.172528659820557   -10.03891508102417  -11.255593204498291  -1.2818258666992188   1.2625825996398925 -0.15052200698852539,   20.497487262799204    1.4145415535676926    12.380618157343683   -5.1322628563876354 -0.040359416448513444    2.1375779925693998   0.36384805511764245,  0.53269422054290771 0.0066640679724514484   0.20804899930953979, -0.69429785013198853 -0.011561382561922073 0.0061259130015969276   0.71956878900527954, 0.0062358998693525791   0.043824471533298492 -0.0090289395302534103,-0.0026707774959504604    0.84309989213943481  0.0077046831138432026,  0.25412514805793762  0.020219454541802406  0.062955588102340698  0.020219454541802406   0.23752382397651672 -0.015734435990452766  0.062955588102340698 -0.015734435990452766   0.17755973339080811,  -0.71695033073826409   -0.23463547728752587    -0.7756564404388655    0.42388735151099866    0.45537012272056643   0.090335919723294467 2.8324531164969358e-05,0.04125748947262764
IIWA_7,1714663767.3776391,-0.43076481500464786   1.0845679198030866 0.055790341948661906  -1.4466709756706284   -1.934912073317492   -1.803221021086024 -0.99252985149220996,   0.038164446630227895 -0.00049075472697873951      0.0986506714992611   -0.043973791529440705   0.0012897738823071138     0.17136954835563006 -7.3279101892934019e-05, -13.837706672668457   58.355224826812744  -11.310176448822022   -10.93073486328125  -1.4904747200012207  0.86408309555053708 -0.14217821502685546,   20.441898068861647     1.287119836005185    12.303675892408075   -5.1358707173583298 0.0074897157125658059    1.9187731600504407   0.34005084185424472,  0.53280669450759888 0.0070815146900713444   0.20788934826850891, -0.69444656372070312  -0.01145508699119091 0.0060429610311985016   0.71942776441574097,0.0094569632783532143  0.051762878894805908 -0.013592547737061977,-0.0027143186889588833    0.84310787916183472  0.0077449455857276917,  0.25411203503608704  0.020107835531234741  0.062983065843582153  0.020107835531234741   0.23756416141986847 -0.015620780177414417  0.062983065843582153 -0.015620780177414417   0.17755047976970673,  -0.71695033073826409   -0.23463547728752587    -0.7756564404388655    0.42388735151099866    0.45537012272056643   0.090335919723294467 2.8324531164969358e-05,0.049630720168352127
