DesiredFlux,0.9,HitTime,1714663981.4622982,DesiredPos,0.51429122686386108 0.35170787572860718 0.22022345662117004
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714663980.9240606,-0.46159501253423502  0.99077925581828075 0.059867674882000545  -1.5947088102778584  -1.9360143344357927   -1.730475817199788  -1.0402424063825018,-0.0013886879845838641  0.0019273607140274699  0.0049495159716657243  0.0010499723566030801  0.0042431970016651565 1.4392867743833064e-05 -4.761505757044434e-05,  0.7393373489379883   57.630674224853514  -2.9879924392700197  -12.780402545928954  -1.5723495864868164    1.846981788635254 -0.09979175186157227,-0.098126924027347379  -0.84198373356384493  -0.15237636295889032    2.0026872869020327   0.18150120671893319  -0.57249191790580056    0.2346870307826098,  0.50706285238265991 0.0093747489154338837   0.21886973083019257, -0.70887911319732666  0.010485905222594738 -0.014469360001385212   0.70510357618331909,0.00092740583932027221 0.00062299403361976147  0.0001041899377014488, 0.0028879593592137098    0.98581433296203613 0.00054614146938547492,  0.25847333669662476  0.014743640087544918  0.060142356902360916  0.014743640087544918   0.23838572204113007 -0.014966498129069805  0.060142356902360916 -0.014966498129069805   0.17292989790439606,  -0.51917759067876545   -0.23780399320560974    -0.6706643030280901    0.29569739322532484    0.34529961717311153  -0.045709296761842211 5.1408601819957767e-06,0.0010243970900774002
IIWA_7,1714663980.9290528,-0.46158902038258059  0.99077769789375725 0.059893500846191543  -1.5946962268902838   -1.935994776101662   -1.730475697426568  -1.0402425861514146,-0.00087126432149023272   0.0014795715902820288   0.0049926513449725009   0.0013433133882662235   0.0041768909665600533  1.6305222995413158e-05 -4.5282802571029963e-05,  0.88586056900024412     57.52044574737549   -2.8955530738830566   -12.700288429260254   -1.5705888366699219    1.8453130302429199 -0.096787986755371092,-0.10856785702395449 -0.83040323541356775 -0.16299618148503769   1.9925760619079831  0.17531363980665127 -0.57097980069014098   0.2379893259853674,  0.50707030296325684 0.0093831960111856461    0.2188783586025238,-0.70887118577957153 0.010478941723704338 -0.01447717472910881  0.70511156320571899, 0.0010399813763797283 0.00083624146645888686 0.00042834627674892545, 0.0028826172929257154    0.98581445217132568 0.00054255686700344086,     0.25847128033638  0.014742663130164146  0.060144469141960144  0.014742663130164146   0.23838613927364349 -0.014964568428695202  0.060144469141960144 -0.014964568428695202   0.17293168604373932,  -0.51914134283936875   -0.23777183745288255   -0.67059341193687061    0.29568028631921095    0.34529115426629176  -0.045690147714161355 5.1454902560976734e-06,0.0012795398943126202
IIWA_7,1714663980.9340289,-0.46157781515061663  0.99077745823823427 0.059920165768337356  -1.5946816060489737  -1.9359748344932275  -1.7304755775442651  -1.0402427060337178,-0.00024880217863369942   0.0011740710513063345   0.0050607179618105498   0.0016594843630168942   0.0041391771106299748  1.7839470515272556e-05 -4.1021534184647788e-05,  0.91543406295776364    57.535232494354247   -2.8436109542846681   -12.659791183471679   -1.5670673370361328    1.8409742584228515 -0.099124248504638676, 26.620043137631455  3.0216415184144338  18.828546948248974 -7.8940289476798799 -1.3688455788652518  -1.334980512898996 0.24130832718187245,  0.50707870721817017 0.0093924226239323616   0.21888786554336548, -0.70886296033859253  0.010470457375049591 -0.014485759660601616   0.70511972904205322, 0.0011678956216201186  0.0010380329331383109 0.00072329671820625663, 0.0028765136376023293    0.98581469058990479 0.00053871178533881903,   0.2584688663482666  0.014741718769073486   0.06014685332775116  0.014741718769073486    0.2383866012096405 -0.014962476678192616   0.06014685332775116 -0.014962476678192616   0.17293381690979004,  -0.51910608845240347   -0.23773656819159328    -0.6705190182039189    0.29566231470834481    0.34528390709809287  -0.045668790760622358 5.1505102405258185e-06,0.0015719255898147821
IIWA_7,1714663980.9390533,-0.46152921907558875  0.99078602693219697 0.059975712617111328  -1.5946961070079808  -1.9359594946198988  -1.7304840264650079  -1.0402427060337178,  0.0017448012582084267    0.001282004599553356   0.0062704483204072924  0.00074754913012854197     0.00392493662165159 -0.00032368525330016447 -3.2817227347718235e-05, 0.57937163162231442   57.535232494354247  -3.3137311553955078  -12.311162719726562   -1.534493465423584   1.8793557014465332 -0.10312926864624024, 26.614305822374174  3.0320023093851365  18.820102657733216 -7.8999169610123428 -1.3723355088589386 -1.3308987073807901 0.24443463488462838,  0.50708770751953125 0.0094028636813163757   0.21889743208885193, -0.70885467529296875  0.010460381396114826 -0.014493899419903755   0.70512807369232178, 0.0012935145059600472   0.001248039654456079 0.00096113682957366109, 0.0028697391971945763    0.98581480979919434 0.00053456879686564207,   0.2584662139415741  0.014740814454853535  0.060149405151605606  0.014740814454853535   0.23838713765144348 -0.014960147440433502  0.060149405151605606 -0.014960147440433502   0.17293611168861389,  -0.51907184871513579   -0.23769648340099536   -0.67043884700179746    0.29564232065926177    0.34528016698676112  -0.045642285077640565 5.1563482372785074e-06,0.0018608355894684792
IIWA_7,1714663980.944056, -0.4609109529868638  0.99085445681976148 0.060550416160371115  -1.5949816910883277  -1.9359780940701385  -1.7305310645064291  -1.0402437845381123,   0.026126484555564752   0.0037627991822227992     0.02800450038671732   -0.010825323909770994   0.0023959712877315758  -0.0021404698594903139 -6.9393957656507986e-05, -10.439443367004394   54.662570831298829  -11.193966960906982  -7.1741751289367679 -0.95696752548217767   2.2414762725830077 -0.21693859100341797, 26.606668860322262  3.0402473398534613  18.811222436985073 -7.9045217320057493 -1.3751003964491157 -1.3269469183156035 0.24740662697757257,  0.50709724426269531 0.0094160176813602448   0.21890686452388763, -0.70884615182876587  0.010448100976645947 -0.014500537887215614   0.70513665676116943, 0.001416481682099402  0.001524556428194046 0.0011460777604952455, 0.0028621288947761059    0.98581504821777344 0.00052999978652223945,  0.25846335291862488  0.014739988371729851  0.060152117162942886  0.014739988371729851   0.23838785290718079 -0.014957432635128498  0.060152117162942886 -0.014957432635128498    0.1729385107755661,  -0.51903963431421118   -0.23764761250166799   -0.67034998281378932    0.29561681266354611       0.34528287814517  -0.045606279185150811 5.1636526166021213e-06,0.0021689310669898987
IIWA_7,1714663980.949053,-0.46023761925132761  0.99082917016230931 0.061138661822380203  -1.5951098623962741  -1.9359725334511415  -1.7305317835820808  -1.0402454623449389,   0.047834537065899227   0.0019987730476917786    0.045933426789737358    -0.01378711144567283   0.0021392017900666951  -0.0017411389136598309 -0.00012262743918853639,  -21.549667346954347    54.790274555206302   -17.874251766204832   -8.7104293441772462  -0.85836553573608398    2.0125226211547851 -0.072424114227294917, 26.562624784184511  3.0332954225668147  18.776492928230034 -7.8825351712779659 -1.3653160489846323 -1.3090185719607286 0.24627301102314922,  0.50709551572799683 0.0094637423753738403   0.21891558170318604, -0.70882314443588257   0.01042238250374794 -0.014476144686341286   0.70516067743301392,0.0010626629227772355 0.0031286489684134722 0.0012656188337132335, 0.0028540429193526506    0.98581534624099731 0.00052537245210260153,  0.25846105813980103  0.014738422818481922  0.060154285281896591  0.014738422818481922    0.2383914440870285 -0.014949738048017025  0.060154285281896591 -0.014949738048017025    0.1729370653629303,   -0.5189688057152253   -0.23749813166507039   -0.67010606394823924    0.29549826642583099    0.34535692683679287  -0.045413787248094195 5.1964486047495484e-06,0.0032302620820701122
IIWA_7,1714663980.9540536,-0.45985142762974496  0.99082066135495661 0.061629955208022558  -1.5953696204033467  -1.9359767519119437  -1.7305467638521339  -1.0402515743788963,   0.053715294516025559   0.0012586661440453081    0.056398476857484094   -0.021420009439445248   0.0015426229999641568   -0.001992121933051416 -0.00034258330964662966, -24.029808090209961   56.277014751434329  -17.325778198242187  -9.3038020324707027  -1.2650987434387206   2.2695114135742189 -0.07843164443969726,   25.9691748229016   2.956065375888465  18.286244477512973 -7.6074905453892567 -1.2352635813297734 -1.0920233993200423 0.22517522195709255, 0.50700509548187256 0.010036359541118145  0.21896962821483612, -0.70861369371414185  0.010114860720932484 -0.014086616225540638   0.70538347959518433,-0.0027800241950899363   0.025403549894690514   0.003178127808496356, 0.0028455494903028011    0.98581665754318237 0.00052077241707593203,  0.25844037532806396  0.014725829474627972  0.060169212520122528  0.014725829474627972   0.23843750357627869 -0.014859800226986408  0.060169212520122528 -0.014859800226986408   0.17290858924388885,  -0.51832427069697928   -0.23572217815015506   -0.66735759892733171     0.2939915461785958    0.34643992209382191  -0.043046135106195038 5.5844546764660663e-06,0.023509824648499489
IIWA_7,1714663980.959053, -0.4596910187815173  0.99083066809113984 0.062253134834924173  -1.5957793610980282  -1.9359717663789353   -1.730564740198014  -1.0402521735722452,   0.049388589541926674   0.0014072023625655398    0.070045966562051892    -0.03352563533881503   0.0014335197203084486   -0.002312751381644231 -0.00029803438167482323, -19.656963733673095   56.057902046203615  -12.987290649414062  -9.0678615570068359 -0.89093940734863275   1.9184046478271484 -0.10246176528930664,  25.483621158247601   3.0219689436280102   17.848165486497113   -7.500613044237709  -1.1798032077738747 -0.91107244938256882  0.24375818003013344, 0.50698435306549072 0.010612492449581623  0.21908150613307953, -0.70844638347625732 0.0097197471186518669 -0.013777409680187702    0.7055632472038269,-0.0030893513467162848   0.043362230062484741   0.007024065125733614, 0.0028463380876928568    0.98583322763442993 0.00051734352018684149,    0.258393794298172  0.014719348400831223  0.060202617198228836  0.014719348400831223   0.23848134279251099 -0.014767237938940525  0.060202617198228836 -0.014767237938940525   0.17291028797626495,  -0.51790426920117483   -0.23388938067370191   -0.66469619229359012     0.2925324004694474    0.34754548387816442  -0.040807588958635677 5.9493494575235673e-06,0.040201064199209213
IIWA_7,1714663980.9640598,-0.45954013735842703  0.99082779189761561 0.063247226271222631  -1.5962928251829924  -1.9359680273600788  -1.7305709720051914   -1.040252712878984,   0.045546128557152406   0.0010107141490829448    0.095800430701579842   -0.047359071669620875    0.001296376530507961  -0.0020994733924115322 -0.00025999977489276385, -15.117432411193848   56.449078716278073  -11.407017688751221  -8.3362700080871583 -0.89093940734863275   1.9240784263610839 -0.12882814788818359,  25.267498694488506   2.9999202463498236   17.631828932843835  -7.3780979834480718  -1.1208611077742259 -0.79723609225012215    0.231652121464126, 0.50691521167755127 0.011028156615793705  0.21915246546268463, -0.70827972888946533 0.0094964327290654182 -0.013520875945687294   0.70573848485946655,-0.0052719325758516788   0.051307063549757004  0.0084659093990921974, 0.0029165188316255808    0.98584896326065063 0.00050188694149255753,  0.25837478041648865   0.01470610499382019  0.060217130929231644   0.01470610499382019   0.23851554095745087 -0.014699111692607403  0.060217130929231644 -0.014699111692607403   0.17289251089096069,  -0.51728939292861043   -0.23259170748346492   -0.66254192133285983    0.29140342761380111    0.34825901525081804  -0.039112528343210329 6.2317537796729994e-06,0.047715067863464355
IIWA_7,1714663980.9690306,-0.45928840873857807  0.99082833120435454 0.064583647132422664  -1.5968935943459661  -1.9359701365904798  -1.7305501194657869  -1.0402528926478969,   0.046506047639680186  0.00083014358882370202     0.13009717900926521   -0.061918023854644344  0.00095273200836621004 -0.00084547713774775837 -0.00021519057642888559, -14.464127044677735   55.931542572021485  -13.133432884216308  -8.7359602165222174  -1.2650987434387206   2.1677171516418459 -0.11848184585571289,  25.164807750248499   2.9453051392480849   17.444614585244452   -7.229004367246211  -1.0617124923410499 -0.68996276908678034  0.19730186766029315,  0.5068051815032959 0.011401437222957611  0.21922443807125092, -0.70805078744888306 0.0093662170693278313 -0.013278866186738014    0.7059745192527771,-0.0086513245478272438   0.055962756276130676  0.0096663236618041992,  0.002925873501226306    0.98586118221282959 0.00045726841199211776,  0.25836992263793945  0.014678947627544403  0.060224264860153198  0.014678947627544403   0.23855051398277283 -0.014631393365561962  0.060224264860153198 -0.014631393365561962   0.17285829782485962, -0.51618275493492405  -0.23140627566764493  -0.66008170334175276   0.29028976008405039   0.34872725357981693 -0.037491285096891147 6.512323125207331e-06,0.052442535758018494
