DesiredFlux,0.91,HitTime,1714664024.7323141,DesiredPos,0.50562530755996704 0.35180646181106567  0.2196861207485199
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714664024.1971812,-0.46369926263824962  0.98486000743939162 0.054144248736360548  -1.6088274256780606  -1.9482120702191139  -1.7390339919539692  -1.0535930126618935,-0.00083392927065701456  7.1744014188179585e-05   0.0021619413844881853  0.00020013292681070934     0.00111301144251893  2.2727859595334836e-07 -3.3645360256687142e-06,0.32396418380737307  57.844409931182859 -3.0584224319458007 -12.626336936950683 -1.6577459526062011   1.861666862487793 -0.1071342887878418,-0.26094424435470953 -0.38987619122163891 -0.24355961171327084   1.5012048125072843  0.23977620569895366 -0.33059409405885887  0.34089881340065531,  0.49963083863258362 0.0081607513129711151   0.21902446448802948, -0.70892590284347534 0.0062715583480894566 -0.011481589637696743   0.70516157150268555,0.00042776792543008924 0.00039814418414607644 0.00059830892132595181, 0.0019484253134578466    0.99680590629577637 0.00021713532623834908,  0.25923165678977966  0.015528100542724133   0.05912688747048378  0.015528100542724133   0.23848313093185425 -0.015713969245553017   0.05912688747048378 -0.015713969245553017    0.1718079000711441,   -0.5463439992841046   -0.25046724663635445   -0.70543403688727579    0.29755430325995036    0.36322933142329816  -0.025364534931959781 8.6201774607275183e-06,0.00076351378811523318
IIWA_7,1714664024.2021687,-0.46370159952503492  0.98485994755278172 0.054152458001580382  -1.6088272459091477   -1.948207468309475  -1.7390339919539692  -1.0535930726575866,-0.00076061888793775274  5.4999746954811209e-05   0.0020579237163839198  0.00016729709796324196   0.0010744855395716526  1.8182287676267871e-07 -5.0914565437445402e-06,0.32127568435668946   57.81618068695068 -3.0619439315795898 -12.622815437316895 -1.6551048278808593   1.861666862487793 -0.1071342887878418,-0.26454251526602207 -0.40336603571375568 -0.24048868593427114   1.5071572540868048  0.24352836181979748 -0.33558289728615243  0.34085382396149333,  0.49963220953941345 0.0081616565585136414   0.21902658045291901, -0.70892280340194702 0.0062716379761695862 -0.011484314687550068   0.70516473054885864,0.00039722910150885582 0.00035472525632940233 0.00056315213441848755, 0.0019458705792203546    0.99680590629577637 0.00021547495271079242,  0.25923138856887817  0.015527588315308094  0.059127319604158401  0.015527588315308094    0.2384832352399826 -0.015713509172201157  0.059127319604158401 -0.015713509172201157   0.17180807888507843,   -0.5463255306112913   -0.25046201991774097   -0.70541052197992116    0.29755172363099547    0.36322186105852694  -0.025362439264320358 8.6210016903010001e-06,0.00070758868241682649
IIWA_7,1714664024.2071495,-0.46370381663860039  0.98485994755278172 0.054160187737588225  -1.6088267664890188  -1.9482026745881516  -1.7390339919539692  -1.0535930126618935, -0.0006971796529686579  4.3999797563848973e-05   0.0019555284134208533  0.00015301448352776637   0.0010513372845952561  1.4545830141014297e-07 -1.6733375117860635e-06, 0.33740668106079102   57.789295692443851  -3.0504990577697755  -12.619293937683105  -1.6533440780639648   1.8593306007385253 -0.10947055053710937,  26.051863926793644   3.1432188093464677   18.758257467435211  -8.0840133213931757 -0.97136985104618268  -1.0085936812374621  0.34103304036740784,  0.49963483214378357 0.0081649525091052055   0.21903081238269806, -0.70891684293746948 0.0062702340073883533 -0.011488642543554306   0.70517057180404663,0.00034857401624321938 0.00034680179669521749 0.00051337102195248008, 0.0019458708120509982    0.99680596590042114 0.00021547496726270765, 0.25923073291778564 0.015526703558862209 0.059128236025571823 0.015526703558862209  0.23848353326320648  -0.0157124362885952 0.059128236025571823  -0.0157124362885952  0.17180848121643066,  -0.54629303290365527   -0.25044733454393509   -0.70536253848718644     0.2975430024809711    0.36321194801924861  -0.025352764140507134 8.6234797080919634e-06,0.00064895604737102985
IIWA_7,1714664024.2121527,-0.46367757114089042  0.98486743763326667 0.054198896849652817  -1.6088551092179912   -1.948201140618272  -1.7390411824923213  -1.0535930726575866, 0.00049207618602365962   0.0003348030574491161   0.0031127872133203467  -0.0010112975720758866  0.00090242862285874715 -0.00028750516744188758 -3.7384977326384194e-06, 0.17609671401977539   57.676378715515135    -3.49332763671875  -12.242493476867676  -1.6322150802612305   1.8933732719421386 -0.11080555725097656,  26.051885017448519    3.142501270613097   18.758612388015095  -8.0835975630314234 -0.97133618723298432  -1.0084319551482126  0.34116267892066404,  0.49963626265525818 0.0081665832549333572   0.21903291344642639, -0.70891404151916504 0.0062695471569895744 -0.011490807868540287   0.70517343282699585,0.00033599327434785664 0.00034266035072505474 0.00049426424084231257, 0.0019447448430582881    0.99680596590042114 0.00021465665486175567,  0.25923037528991699  0.015526286326348782  0.059128697961568832  0.015526286326348782   0.23848366737365723 -0.015711922198534012  0.059128697961568832 -0.015711922198534012   0.17180871963500977,  -0.54627772825810439   -0.25044014866182351   -0.70533976506848006    0.29753888070338519    0.36320707826309473  -0.025348412731496239 8.6246281227886357e-06,0.0006289206794463098
IIWA_7,1714664024.2171521,-0.46325297005845911  0.98493317109621992 0.054742980663764852   -1.609148183378823   -1.948218206273165  -1.7390734200326026  -1.0535936718509353,   0.017377704246071265   0.0028971809640890352    0.024253582335137698   -0.012532004490932573  3.9316702566538435e-05  -0.0015195057452036978 -2.6958532134748451e-05, -8.3827412872314451   54.638374336242677  -10.270453681945801  -7.3520108604431149  -1.1215976333618163   2.2127736282348631 -0.21526983261108398,  26.051885017448519    3.142501270613097   18.758612388015095  -8.0835975630314234 -0.97133618723298432  -1.0084319551482126  0.34116267892066404,  0.49963626265525818 0.0081665832549333572   0.21903291344642639, -0.70891404151916504 0.0062695471569895744 -0.011490807868540287   0.70517343282699585,0.00033599327434785664 0.00034266035072505474 0.00049426424084231257, 0.0019437468145042658    0.99680620431900024 0.00021390928304754198,  0.25923037528991699  0.015526286326348782  0.059128697961568832  0.015526286326348782   0.23848366737365723 -0.015711922198534012  0.059128697961568832 -0.015711922198534012   0.17180871963500977,  -0.54627772825810439   -0.25044014866182351   -0.70533976506848006    0.29753888070338519    0.36320707826309473  -0.025348412731496239 8.6246281227886357e-06,0.0006289206794463098
IIWA_7,1714664024.2221529,-0.46281746339527979  0.98491902978412171 0.055363523752665178  -1.6093055962603064   -1.948213987812363  -1.7390579004558109  -1.0535939715021514,   0.031322429924029782    0.001752092287343081     0.04422458942412319    -0.01632211885208245  0.00020019179413354832 -0.00059482152449538391 -3.3552874350297066e-05,  -16.926792541503907    54.497228115081789   -15.571191005706787   -8.6144684791564945   -1.0388423919677734    2.0352177352905274 -0.091781711578369146,  25.558024110962688   3.0595917161477044   18.314357452945963   -7.819166880333718 -0.85299786639924924 -0.81285606264524102  0.31316399507754339,  0.49953848123550415 0.0086585897952318192   0.21908119320869446, -0.70869576930999756 0.0060320734046399593 -0.011149407364428043   0.70540034770965576,-0.0036333983298391104   0.019639763981103897  0.0022318623960018158, 0.0019418310839682817    0.99680614471435547 0.00021242024376988411,  0.25921609997749329  0.015509328804910183  0.059140153229236603  0.015509328804910183   0.23852777481079102 -0.015630980953574181  0.059140153229236603 -0.015630980953574181    0.1717749685049057,  -0.54547874408950037   -0.24886705745430504   -0.70272138936111617    0.29617192715036822    0.36406701032110078  -0.023256270524463218 8.9883105403032459e-06,0.018346847966313362
IIWA_7,1714664024.2271507,-0.46253163955032695  0.98491831070846991 0.055998328145049701  -1.6096007676524007    -1.94821619286134  -1.7390684466078159   -1.053598525502502,   0.036490897737337755   0.0013729108038024443    0.060771847234679488   -0.024864550765435117  7.1951476228178856e-05 -0.00089770329979710112  -0.0002090023135041731,  -20.437972824096679    55.506759658813479   -16.163683319091795   -8.8380837059020987   -1.4596615982055663    2.3025528297424316 -0.091781711578369146,  25.184196173106944   3.1233012694387532   17.915605809548271  -7.7289230144196566 -0.81301010162378828 -0.65731765744622284  0.32448940981641844,   0.4995136559009552 0.0091266073286533356   0.21918597817420959, -0.70851725339889526 0.0057246461510658264 -0.010910720564424992   0.70558589696884155,-0.0039223083294928074   0.034426987171173096  0.0059831505641341209, 0.0019407940562814474    0.99680620431900024 0.00021167662634979934,  0.25917717814445496  0.015496351756155491  0.059170499444007874  0.015496351756155491   0.23856848478317261 -0.015549071133136749  0.059170499444007874 -0.015549071133136749   0.17177176475524902,  -0.54483533392080119   -0.24729709621063023   -0.70018708197494561    0.29490701398859898    0.36486907028177029  -0.021387489611335297 9.3145651192116929e-06,0.032099321484565735
IIWA_7,1714664024.2321551,-0.46239741631319925   0.9849207075909483 0.056747761726631325  -1.6100381320004027  -1.9482137960006782  -1.7390740791125614  -1.0535991845824608,   0.034561647674978019    0.001194203942177306     0.07859482105100854   -0.037386214532428561  0.00015343560745151012 -0.00094346282965771335 -0.00019356504915659045, -19.030543361663817   55.182795475006102  -13.223231124877929  -8.5810142326354981 -0.96665164947509763   1.9881587486267089 -0.10813554382324218,  24.939495856861019   3.1206730081798351   17.620573823126612  -7.5975721775305667  -0.7582183717857045 -0.52023679159451175  0.31180726916377072,  0.49944090843200684 0.0095468126237392426   0.21927611529827118, -0.70830601453781128 0.0055043715983629227 -0.010667498223483562   0.70580345392227173,-0.0060762260109186172   0.044340182095766068  0.0084030646830797195,  0.001940825255587697    0.99682223796844482 0.00021168003149796277,  0.25915518403053284  0.015476384200155735  0.059189237654209137  0.015476384200155735   0.23860761523246765 -0.015473904088139534  0.059189237654209137 -0.015473904088139534   0.17175130546092987,   -0.5439543568845906   -0.24591201527890405   -0.69767106777351984    0.29371244532594432     0.3655143721070786  -0.019609890861360668 9.6284127337753489e-06,0.04156913235783577
IIWA_7,1714664024.2371533,-0.46230903262171213  0.98491992862868649 0.057818432320021068  -1.6105789200874716  -1.9482057425279107  -1.7390733601459927  -1.0535998437715026,   0.031184665799467017  0.00092420466326965088     0.10570268057639655   -0.051540495108699722   0.0004448873966634158 -0.00072601160097718635 -0.00018121960099711965, -15.952211490631104   55.459710918426516  -11.820793895721435  -7.9339386749267575 -0.97457502365112303    1.911062110900879  -0.1405094566345215,  24.775636662785679   3.0870269546428881   17.354894095945181   -7.439386681795022 -0.69857256048530203 -0.38735814454493045  0.28116898321419909,   0.4993298351764679 0.0099549181759357452   0.21937015652656555, -0.70804399251937866 0.0053486013785004616 -0.010422086343169212   0.70607119798660278,-0.0093377698212862015    0.05178181454539299    0.01050231046974659,0.0020051160827279091   0.99683696031570435 0.0001992746110772714,   0.2591436505317688  0.015445084311068058  0.059202380478382111  0.015445084311068058   0.23864880204200745 -0.015396060422062874  0.059202380478382111 -0.015396060422062874   0.17171669006347656,  -0.54266682551773471   -0.24455783837229461    -0.6948244650644142    0.29247204217330847     0.3660054820127101  -0.017825312501607016 9.9476924475538908e-06,0.04897935688495636
IIWA_7,1714664024.2421527,-0.46216204611901385  0.98492046782634235  0.05919937456694406  -1.6111950290583241  -1.9482104404306584  -1.7390522079553723  -1.0535998437715026,   0.030827192747505117  0.00076093163685003067     0.13979983433803694   -0.065876754921060321  0.00016799380742241779  0.00026527834403333478 -0.00014497568079769574,-15.130874908447266  55.122304237365725 -12.725819301605224 -8.3750065040588382 -1.2369267463684082  2.1053055877685547 -0.1388406982421875,  24.559345697891789   3.0864843502963688   16.959466246832012  -7.2653026775258827 -0.63950086148739316 -0.20767941949551802  0.25008624172571992,0.49920076131820679   0.010473039932549 0.21951529383659363, -0.70768362283706665 0.0051383222453296185 -0.010140674188733101   0.70643800497055054,-0.012681794352829456  0.062127169221639633  0.014240630902349949,0.0020187434274703264   0.99685120582580566  0.000165202422067523,  0.25912287831306458  0.015400460921227932  0.059225209057331085  0.015400460921227932    0.2387026846408844 -0.015291518531739712  0.059225209057331085 -0.015291518531739712    0.1716776043176651,  -0.54085468158060479   -0.24278869052363206   -0.69094509293154971     0.2908899777223084    0.36657121600658371  -0.015529042854289798 1.0361239866085725e-05,0.059323485940694809
