RosTime,PositionForIiwa7,OrientationForIiwa7,PositionForIiwa14,OrientationForIiwa14
1714664391.1274207,0.54722017049789429 0.46925577521324158 0.28059172630310059,-0.0038379770703613758  0.0015366066945716739    0.40937989950180054    0.91235464811325073,0.54722017049789429 0.46925577521324158 0.28059172630310059,-0.0038379770703613758  0.0015366066945716739    0.40937989950180054    0.91235464811325073
1714664391.1324205,0.54722070693969727 0.46925365924835205  0.2805684506893158,-0.003863954683765769 0.0014823952224105597   0.40933418273925781   0.91237515211105347,0.54722070693969727 0.46925365924835205  0.2805684506893158,-0.003863954683765769 0.0014823952224105597   0.40933418273925781   0.91237515211105347
1714664391.1374199,0.54721289873123169 0.46927213668823242 0.28060713410377502,-0.0038537192158401012  0.0014838828938081861     0.4093366265296936    0.91237407922744751,0.54721289873123169 0.46927213668823242 0.28060713410377502,-0.0038537192158401012  0.0014838828938081861     0.4093366265296936    0.91237407922744751
1714664391.1424229,0.54722565412521362 0.46923953294754028 0.28060296177864075,-0.0038093163166195154  0.0015115784481167793    0.40937340259552002    0.91235774755477905,0.54722565412521362 0.46923953294754028 0.28060296177864075,-0.0038093163166195154  0.0015115784481167793    0.40937340259552002    0.91235774755477905
1714664391.1474493,0.54722374677658081 0.46925520896911621 0.28058871626853943,-0.0038388650864362717  0.0015335786156356335     0.4093647301197052    0.91236144304275513,0.54722374677658081 0.46925520896911621 0.28058871626853943,-0.0038388650864362717  0.0015335786156356335     0.4093647301197052    0.91236144304275513
1714664391.1524186,0.54722964763641357 0.46924829483032227 0.28058651089668274,-0.0038772306870669127  0.0014894851483404636    0.40929114818572998    0.91239440441131592,0.54722964763641357 0.46924829483032227 0.28058651089668274,-0.0038772306870669127  0.0014894851483404636    0.40929114818572998    0.91239440441131592
1714664391.1574025,0.54719489812850952 0.46930459141731262 0.28053954243659973,-0.003884210018441081 0.0015157404122874141   0.40936276316642761   0.91236215829849243,0.54719489812850952 0.46930459141731262 0.28053954243659973,-0.003884210018441081 0.0015157404122874141   0.40936276316642761   0.91236215829849243
1714664391.1624289,0.54718858003616333 0.46933221817016602 0.28054851293563843,-0.0038619982078671455  0.0015584251377731562    0.40943396091461182     0.9123302698135376,0.54718858003616333 0.46933221817016602 0.28054851293563843,-0.0038619982078671455  0.0015584251377731562    0.40943396091461182     0.9123302698135376
1714664391.1674242,0.54713898897171021 0.46941211819648743 0.28052437305450439,-0.0039066975004971027  0.0015660180943086743    0.40948447585105896    0.91230738162994385,0.54713898897171021 0.46941211819648743 0.28052437305450439,-0.0039066975004971027  0.0015660180943086743    0.40948447585105896    0.91230738162994385
1714664391.1724267,0.54711568355560303 0.46948391199111938 0.28049793839454651,-0.0038559557870030403  0.0015733285108581185    0.40951061248779297    0.91229581832885742,0.54711568355560303 0.46948391199111938 0.28049793839454651,-0.0038559557870030403  0.0015733285108581185    0.40951061248779297    0.91229581832885742
1714664391.1774232,0.54712176322937012 0.46949946880340576 0.28052470088005066,-0.0038383128121495247  0.0015225575771182775    0.40943536162376404    0.91232979297637939,0.54712176322937012 0.46949946880340576 0.28052470088005066,-0.0038383128121495247  0.0015225575771182775    0.40943536162376404    0.91232979297637939
1714664391.1824262,0.54718559980392456 0.46947237849235535 0.28051269054412842,-0.0038455710746347904  0.0015355852665379643    0.40941807627677917    0.91233748197555542,0.54718559980392456 0.46947237849235535 0.28051269054412842,-0.0038455710746347904  0.0015355852665379643    0.40941807627677917    0.91233748197555542
1714664391.1874244, 0.5472114086151123 0.46944332122802734 0.28053542971611023,-0.0038527853321284056  0.0015621634665876627     0.4094025194644928    0.91234439611434937, 0.5472114086151123 0.46944332122802734 0.28053542971611023,-0.0038527853321284056  0.0015621634665876627     0.4094025194644928    0.91234439611434937
1714664391.1924231,0.54724311828613281 0.46945568919181824 0.28054463863372803,-0.0038585104048252106  0.0015772689366713166    0.40936106443405151    0.91236293315887451,0.54724311828613281 0.46945568919181824 0.28054463863372803,-0.0038585104048252106  0.0015772689366713166    0.40936106443405151    0.91236293315887451
1714664391.1974218,0.54724407196044922 0.46949553489685059 0.28054022789001465,-0.0038481007795780897  0.0016019759932532907    0.40941676497459412    0.91233795881271362,0.54724407196044922 0.46949553489685059 0.28054022789001465,-0.0038481007795780897  0.0016019759932532907    0.40941676497459412    0.91233795881271362
1714664391.2024226,0.54722213745117188 0.46950814127922058 0.28055545687675476,-0.0038544037379324436  0.0015486101619899273    0.40942353010177612    0.91233497858047485,0.54722213745117188 0.46950814127922058 0.28055545687675476,-0.0038544037379324436  0.0015486101619899273    0.40942353010177612    0.91233497858047485
1714664391.2074213,0.54717141389846802 0.46952682733535767 0.28057831525802612,-0.0038567343726754189  0.0014750881819054484     0.4094490110874176    0.91232365369796753,0.54717141389846802 0.46952682733535767 0.28057831525802612,-0.0038567343726754189  0.0014750881819054484     0.4094490110874176    0.91232365369796753
1714664391.2124231, 0.5471680760383606 0.46952179074287415 0.28055810928344727,-0.0039057335816323757  0.0014857903588563204    0.40946996212005615    0.91231399774551392, 0.5471680760383606 0.46952179074287415 0.28055810928344727,-0.0039057335816323757  0.0014857903588563204    0.40946996212005615    0.91231399774551392
1714664391.2174215,0.54712367057800293 0.46953997015953064 0.28055417537689209,-0.0038559453096240759  0.0014847539132460952    0.40946683287620544    0.91231566667556763,0.54712367057800293 0.46953997015953064 0.28055417537689209,-0.0038559453096240759  0.0014847539132460952    0.40946683287620544    0.91231566667556763
1714664391.2224228,0.54713255167007446 0.46951666474342346 0.28057354688644409,-0.0038433240260928869  0.0014492738991975784    0.40949088335037231    0.91230493783950806,0.54713255167007446 0.46951666474342346 0.28057354688644409,-0.0038433240260928869  0.0014492738991975784    0.40949088335037231    0.91230493783950806
1714664391.2274222,0.54710733890533447 0.46954110264778137 0.28059342503547668,-0.0037593103479593992  0.0016021468909457326    0.40950468182563782    0.91229885816574097,0.54710733890533447 0.46954110264778137 0.28059342503547668,-0.0037593103479593992  0.0016021468909457326    0.40950468182563782    0.91229885816574097
