DesiredFlux,0.61,HitTime,1714648861.8613091,DesiredPos,  0.5844728946685791 -0.30335128307342529     0.19907246530056
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714648861.1246212, 0.58065804728956771   1.2261751990643357 -0.14190053330007688  -1.3079163014814978    -1.10621394662286   1.8013339850614019 -0.61449502693232372, -0.0013912457718328829 -0.00036992148143421243   -0.003559711855291311    0.021124238980599695   -0.043188050321219522   -0.067979466433246052  2.7134054695213543e-05,-0.74845159149169926   73.867799682617189   5.0342152214050291  -17.924225837707521   2.4271936225891113  -1.4905349960327148  0.31406032943725587,-6.3020810663638036 -6.3432304513587585  -3.195431898736862  6.2389974166136746 -2.4994231465778176 -2.5194653664755098 0.66772790720369246, 0.55474525690078735 0.065060190856456757  0.18957112729549408, 0.49349236488342285 -0.47884181141853333   0.5158807635307312  0.51092350482940674,  0.0092668933793902397  0.00090524338884279132 -0.00022471074771601707,0.047696333378553391 -0.66538369655609131  0.01511554978787899,  0.24811005592346191 -0.016352865844964981  0.065598651766777039 -0.016352865844964981   0.23467488586902618  0.031674738973379135  0.065598651766777039  0.031674738973379135   0.17899547517299652,    0.59370734376162915    -0.63372754905355322      1.1054580443552453     0.68610241471755984    0.014632371610368011   -0.042564011128121138 -3.5527136788005009e-12,0.0085144611075520515
IIWA_14,1714648861.1296229, 0.58063929198142583   1.2261855054517348 -0.14194367642110614  -1.3076022548989585  -1.1068109527250667   1.8001758296210897 -0.61449544635675957,-0.0018632089431415988 0.00011631831081553994 -0.0045734943254036667   0.029461254486052031   -0.05843068434524356   -0.10070979075908362 4.9302663222076091e-06,   -1.6460791015625  74.474791351318359  5.4173263931274418 -18.463269977569581  2.1014549064636232 -1.5332552108764648 0.29436898040771486,-6.3024105884642472 -6.2123940349330411 -3.1559530497772639  6.0248955480487858 -2.3399912719570257 -2.3551790895640692 0.63905433173938597,  0.5549461841583252 0.065075203776359558  0.18952339887619019, 0.49369582533836365 -0.47882691025733948   0.5160067081451416  0.51061362028121948,  0.015451600775122643  0.0013312794035300612 -0.0020846244879066944,0.047696221619844437 -0.66538220643997192 0.015115516260266304,  0.24809171259403229 -0.016326667740941048  0.065609745681285858 -0.016326667740941048    0.2346697598695755  0.031659800559282303  0.065609745681285858  0.031659800559282303   0.17901821434497833,   0.5927818181525879  -0.63344976494406069    1.1047612886407876   0.68580266269879786  0.015252519301789391 -0.041317288271613961                     0,0.014305492863059044
IIWA_14,1714648861.1346285, 0.58061484406376229   1.2261825093759076 -0.14198723907565439  -1.3072468626663536  -1.1075123654703252    1.798682655067448 -0.61449526658784659, -0.0024684838610548494 -2.6788384435997293e-05  -0.0054013016422527708    0.037784692893039436   -0.074801057286533995    -0.14029481475293609   1.113496957688147e-05,-1.5483431549072266  73.698047775268563   5.566538112640381  -18.94182287979126  2.5530872344970703 -0.9368409614562988 0.30838655090332029,-27.790570835815572  1.7466933828768427 -13.595933704916208 -6.5354296109713843  1.5354594018454955 -1.1949584393999904 0.59654899816123952,0.55522507429122925 0.06509910523891449 0.18946681916713715, 0.49396023154258728 -0.47882154583930969  0.51617759466171265  0.51019001007080078,  0.023520177230238914  0.0020355843007564545 -0.0039216489531099796,  0.0467640720307827 -0.66545099020004272 0.014946402981877327,  0.24806246161460876 -0.016294259577989578  0.065626911818981171 -0.016294259577989578   0.23466162383556366  0.031640827655792236  0.065626911818981171  0.031640827655792236    0.1790534108877182,  0.59164593256078035   -0.6330975593433763    1.1039070387655059   0.68545218024862464  0.016055922817947987 -0.039640388771466917                     0,0.021878030151128769
IIWA_14,1714648861.1396227, 0.58058913798187428   1.2261845467205601 -0.14209090268841043  -1.3068630079315562  -1.1082756168017782   1.7969916210449877 -0.61449610543671829, -0.0030030303643643038  6.0063078552762938e-05  -0.0084675858240439855    0.045581943706327802   -0.090370899087349271    -0.17987721270076054 -2.4645979206421275e-05,-1.0262274398803712  72.507212425231941  6.0343370170593262 -18.461925727844239  2.1789278984069824 -1.5132301101684571 0.32173661804199216, -27.941177693917197   1.8241586151854439  -13.702059709537842  -6.7259067293319346    1.659355272485588 -0.96872210289056193  0.54979895532846601, 0.55558240413665771 0.065130747854709625  0.18936467170715332, 0.49433630704879761 -0.47881624102592468  0.51637822389602661  0.50962746143341064,  0.033117640763521194  0.0029234057292342186 -0.0072069521993398666,0.046073518693447113 -0.66550016403198242 0.014900375157594681,  0.24802860617637634 -0.016249487176537514  0.065647140145301819 -0.016249487176537514   0.23465155065059662  0.031612835824489594  0.065647140145301819  0.031612835824489594   0.17909546196460724,    0.59007047684822567    -0.63257658356796753      1.1026574620665031     0.68491490010913481    0.017076557683459725   -0.037347564547651757 -1.7763568394002505e-12,0.031099565327167511
IIWA_14,1714648861.1446211, 0.58047277109924067   1.2262418313718537 -0.14260969973598725  -1.3068729548902125  -1.1088304384704972   1.7951193255258124 -0.61449742370571891, -0.0070570995968359121   0.0023394365145870473   -0.027525950562307944    0.036067676618810086   -0.094489586018639729    -0.21879359092761749 -7.2447543390236269e-05,   4.82764136505127  66.712499588012705  11.022847747802734  -7.992908866882324 0.81346641540527342  -2.009185104370117 0.35711429595947264,   -28.1180294668603   1.9257511003670953  -13.832689812858709    -6.96662761092729   1.8097493122513324 -0.68639822353029589  0.49814885883775706,0.55601745843887329 0.06516740471124649 0.18922410905361176,0.49482724070549011 -0.4788188636302948 0.51660251617431641 0.50892078876495361, 0.043909832835197449 0.0038568710442632437 -0.011362015269696712,0.046073373407125473 -0.66549813747406006  0.01490032859146595,  0.24798907339572906 -0.016193199902772903   0.06567084789276123 -0.016193199902772903   0.23463933169841766  0.031575124710798264   0.06567084789276123  0.031575124710798264   0.17914612591266632,  0.58808709040025775  -0.63186812068494191    1.1010141006551066   0.68416742967780664  0.018289195094389754 -0.034414438552232696                     0,0.041613999754190445
IIWA_14,1714648861.1496229, 0.58038372832779472   1.2262113914116188 -0.14330412566645068  -1.3067358553504775  -1.1092994531209368   1.7930346696878947 -0.61449940116376145, -0.0092073905353065831  0.00065395080227424502   -0.049797797668383437    0.034338122884446182   -0.094352254832495028    -0.25842110625880305 -0.00013705635641357642, 13.238076774597168  62.448125915527349  13.910296157836914 -7.7415341682434082  1.0423638916015625 -2.1930822792053224 0.28469018173217775, -28.280190975665576    2.023357998639193  -13.943673625981274  -7.1976485845620681   1.9561080331744967 -0.39904765416398813  0.44514837161544873, 0.55650436878204346 0.065188974142074585   0.1890692412853241, 0.49536260962486267 -0.47882199287414551  0.51685410737991333  0.50814098119735718, 0.054623641073703766 0.0040226001292467117 -0.015247801318764687, 0.04393991082906723 -0.66563999652862549 0.014764704741537571,  0.24794232845306396 -0.016127614304423332  0.065699756145477295 -0.016127614304423332   0.23462991416454315  0.031527314335107803  0.065699756145477295  0.031527314335107803   0.17920145392417908,   0.58575158421891871   -0.63094157369025794     1.0989416268349927    0.68319540265004974   0.019635003450702015  -0.031195230538294538 8.8817841970012523e-13,0.051976289600133896
IIWA_14,1714648861.1546216, 0.58034915390072817    1.226189160716604 -0.14408471817483584   -1.306634348964677  -1.1096836194624555   1.7908504248174426  -0.6144998205881973, -0.0087488895109075968 -0.00036606715877402125   -0.071061938470113301    0.031530753739578213   -0.090848457526744877     -0.2941066798251265 -0.00012642206256482436, 16.766858848571779  64.760352653503418   14.69264949798584 -9.4473870697021489  1.4244466018676758 -1.7308362045288086 0.31606283950805664, -28.059032212704174   1.9532029645793378   -13.78417650393299  -7.1752594167374575   1.9829843695308824 -0.19486641121242709  0.44764545004960621, 0.55690741539001465 0.064944371581077576  0.18887798488140106, 0.49579668045043945 -0.47877976298332214  0.51703208684921265  0.50757598876953125,  0.059841547161340714 -0.0065000038594007492  -0.019819809123873711,0.042543914169073105 -0.66572922468185425  0.01472434401512146,  0.24790814518928528 -0.016029510647058487  0.065733328461647034 -0.016029510647058487   0.23466494679450989  0.031420238316059113  0.065733328461647034  0.031420238316059113   0.17921163141727448,     0.5820139668788471    -0.62850409586179268      1.0944170039310919     0.68055691214485847    0.020765076424567042   -0.028794818518917964 -3.5527136788005009e-12,0.057934507727622986
IIWA_14,1714648861.1596203, 0.58036479325073986   1.2261929956413029 -0.14498245641903332  -1.3066709008497861  -1.1099063342960513   1.7886534766771129 -0.61450149839502388, -0.0063735376082581568  -0.0001394567390628613   -0.092759080543989708    0.023762527587298854   -0.081587359365228554      -0.323163269473288 -0.00016824992311518952, 16.005547264099121   64.08391702270508  12.817421131134033 -10.990585754394532  1.0846218872070312 -1.9317547149658203 0.34476548385620115, -27.899231583686838   2.0443403213789257  -13.588647235841021  -7.3315710169803081   2.0680385752245183 0.057008971626076155  0.41397947313433781, 0.55739516019821167 0.064692385494709015  0.18873855471611023, 0.49622461199760437 -0.47884631156921387  0.51723527908325195  0.50688755512237549, 0.067412495613098145 -0.015201673842966557 -0.021381007507443428,0.041019804775714874 -0.66582608222961426 0.014671145007014275,  0.24783538281917572 -0.015934806317090988  0.065788738429546356 -0.015934806317090988   0.23470084369182587  0.031297065317630768  0.065788738429546356  0.031297065317630768   0.17925640940666199,  0.57839844226048598  -0.62577028706289894    1.0894728829073941   0.67773838556650645  0.021790885128325499 -0.026074286790134238                     0,0.066129066050052643
IIWA_14,1714648861.1646209, 0.58037342194039554   1.2261877225653002 -0.14608680281309105  -1.3068307703912749  -1.1100364349782195   1.7864526337254745 -0.61450197770606974, -0.0047536825003794692 -0.00032248843135956781    -0.11838112019750124    0.012615240410285767   -0.070473914778907715    -0.34656433364416922 -0.00015377238032628819, 13.798772468566895  63.572089302062992  11.514843147277832 -10.266035152435302  1.1902668762207032 -1.4257871704101563 0.35411053085327149,-27.796622336163043  2.0779287615738791 -13.450560949762329 -7.4025023006314576  2.0843512994440703  0.2713426501581469 0.38899187045111039, 0.55787515640258789 0.064434520900249481  0.18858201801776886, 0.49666756391525269 -0.47891616821289062  0.51742810010910034  0.50619047880172729, 0.073161691427230835 -0.022390032187104225 -0.023304492235183716,0.041020866483449936 -0.66584330797195435 0.014671524986624718,  0.24776206910610199 -0.015834307298064232  0.065845474600791931 -0.015834307298064232    0.2347416877746582  0.031164318323135376  0.065845474600791931  0.031164318323135376   0.17929822206497192,  0.57455059268285424   -0.6228727118937627    1.0841086657453758   0.67472129252355018  0.022803920130876065 -0.023298488360801173                     0,0.07311616837978363
IIWA_14,1714648861.1696224,  0.5803521498674723   1.2261859248761706 -0.14740255079471662  -1.3070317458182237  -1.1100334628570361   1.7843284898132303 -0.61450257700850164, -0.0046538289172331606 -0.00032989831026992631    -0.14733481542302357   0.0020531752502787638   -0.056260246975790712    -0.36221722340510082 -0.00014699000153714538,  11.61514566040039  64.482576805114746  12.865814121246338 -10.202855415344239  1.2932707405090331 -2.1226606750488282  0.3440979804992676,-27.678215992445217  2.0734942475744593 -13.298544181121056 -7.4379854941401113  2.0719984514383336 0.46181199930336259 0.38889634096600095, 0.55829334259033203 0.064137004315853119  0.18840132653713226, 0.49708878993988037 -0.47896945476531982  0.51757758855819702   0.5055733323097229, 0.075285233557224274 -0.029731065034866333 -0.025807579979300499,0.038370601832866669 -0.66601192951202393 0.014643705449998379,  0.24769851565361023 -0.015726532787084579  0.065899163484573364 -0.015726532787084579   0.23479382693767548  0.031018074601888657  0.065899163484573364  0.031018074601888657   0.17932279407978058,   0.57038651607488333   -0.61969507575465599     1.0781384511053815    0.67134831046544718   0.023704272342328636  -0.020784849141364248 8.8817841970012523e-13,0.077663838863372803
