DesiredFlux,0.72,HitTime,1714649286.2873938,DesiredPos, 0.53654390573501587 -0.30787169933319092  0.19896622002124786
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714649285.6939721, 0.52674743094487297   1.1059211720259776 -0.10999247452966485  -1.4555831045061109  -1.0698906238984556   1.7143332460041414 -0.56781814867483604, 0.00069074093345386966  -0.0010366062196262038 -3.7941081686568101e-05 -1.3518556167856578e-05 -5.1216072681968394e-06  1.5993674882362859e-06  0.00017708597217149403, -0.52725971221923829    68.422878654479987    4.5906128120422363   -13.817542926788331    1.4939962196350098    -1.983152473449707 -0.069420349121093752,  4.0505478715632064   1.0293559937578562  -1.5518821176751934   1.2182698563250716  -1.7800166622261671 -0.10224375672110131 0.095552826765989751, 0.53062421083450317 0.030111450701951981  0.20289939641952515, -0.5118260383605957  0.51585519313812256 -0.47827306389808655 -0.49313521385192871,0.00016510649584233761 0.00047750605153851211 0.00066137028625234962, 0.0018137730658054352   -0.78791207075119019 -0.0012041998561471701, 0.25113308429718018 -0.01705830916762352 0.063830845057964325 -0.01705830916762352  0.23581598699092865 0.025142140686511993 0.063830845057964325 0.025142140686511993  0.17821146547794342, 0.61331977010237182 -0.45856324910165114   0.9739924254930088  0.45739440649938956 -0.12182052554354783 0.066906040966152602                    0,0.00076053699012845755
IIWA_14,1714649285.6989717, 0.52675138575187497   1.1059193743368481 -0.10999223487414193  -1.4555831045061109  -1.0698906238984556   1.7143332460041414 -0.56781724983027126,  0.0007107850268428344 -0.00090119254088323511 -2.0766644432741305e-05 -1.0814844934285263e-05 -4.0972858145574715e-06  1.2794939905890288e-06  0.00017762256032833123,  -0.4423837585449219    68.422878654479987    4.6161535568237309   -13.813510177612304    1.4975177192687987    -1.983152473449707 -0.068085342407226565,   4.0564962577643024    1.0294702461581631   -1.5470633442857347    1.2140097021787972   -1.7761111162374159 -0.099235248328660153    0.0958212717679508, 0.53062444925308228 0.030113061890006065  0.20290055871009827,-0.51182621717453003  0.51585537195205688 -0.47827434539794922 -0.49313366413116455,0.00014143799489829689 0.00044645235175266862 0.00057576521066948771, 0.0018137778388336301   -0.78791207075119019 -0.0012046684278175235,  0.25113290548324585 -0.017058368772268295    0.0638309046626091 -0.017058368772268295   0.23581585288047791  0.025142347440123558    0.0638309046626091  0.025142347440123558   0.17821177840232849,    0.61332268591041128    -0.45856985539849404     0.97399947018317334     0.45739985770509861    -0.12181716615167204    0.066909994227870584 -4.4408920985006262e-12,0.00067820644471794367
IIWA_14,1714649285.7039714, 0.52675605963452876   1.1059176966391047  -0.1099921748784489  -1.4555830445104181  -1.0698907197170315   1.7143333658864444 -0.56781659075031243, 0.00075558332762602678 -0.00078806194244244098 -1.4213487824648811e-05 -6.2520482331004263e-06 -7.1105716901469854e-06  5.8188873114132527e-06  0.00016846124661591696, -0.34464781188964844    68.402302665710451    4.6376615524291989   -13.825608425140381    1.4931158447265624   -1.9838199768066407 -0.066082832336425784, -27.386052874957635   5.2918612855829945  -23.025543424477078  -10.389704426570082  -1.8993435803225294   1.2805092683055208 0.096095343010194734, 0.5306246280670166 0.03011493943631649 0.20290151238441467,-0.51182675361633301  0.51585531234741211 -0.47827553749084473 -0.49313199520111084,0.00011962383723584935 0.00043228556751273572 0.00049879401922225952, 0.0018138489685952663   -0.78791201114654541 -0.0012051613302901387,  0.25113281607627869 -0.017058415338397026  0.063830934464931488 -0.017058415338397026   0.23581568896770477  0.025142574682831764  0.063830934464931488  0.025142574682831764   0.17821203172206879,   0.61332516376744195   -0.45857723495235092    0.97400678901671256    0.45740582872877411    -0.1218134175493546    0.06691499966660075 1.7763568394002505e-12,0.00061298225773498416
IIWA_14,1714649285.7089732, 0.52675258413857262   1.1059181160635405 -0.11000685560636897  -1.4555970061626862  -1.0698909113541835   1.7143395976936218 -0.56781557202344468,  0.0004654468238552194 -0.00061367257651998963 -0.00059859990706269764 -0.00056346772930966681 -1.3353943429119604e-05  0.00025392739694527785  0.00017551807200281161, -0.10545194244384766    68.345718696594247    4.8836592521667477   -13.633380714416504     1.504560718536377   -2.0008413124084474 -0.067084087371826168, -27.386614170577015   5.2904927183510244  -23.026300869663331  -10.389188944755659  -1.8995445322903592   1.2810321340627064 0.096315667791971149,0.53062474727630615 0.03011726588010788 0.20290231704711914,-0.51182746887207031  0.51585513353347778 -0.47827684879302979  -0.4931301474571228,9.9891709396615624e-05 0.00043889251537621021 0.00043104513315483928, 0.0018138994928449392   -0.78791201114654541 -0.0012055998668074608,  0.25113275647163391 -0.017058460041880608  0.063830919563770294 -0.017058460041880608   0.23581549525260925  0.025142870843410492  0.063830919563770294  0.025142870843410492   0.17821227014064789,    0.61332774222222497    -0.45858650334107409     0.97401602434743495     0.45741336638815966    -0.12180881091339302    0.066920934138181565 -8.8817841970012523e-13,0.00056950235739350319
IIWA_14,1714649285.7139721,  0.5265576607498883   1.1059375904473343  -0.1103774078779399  -1.4559076971315723  -1.0698956092569312   1.7144533279291709 -0.56781479306118288, -0.0074245780882886431  0.00028803729053576222   -0.015300970788487304   -0.012878412938893347 -0.00019859926465161056   0.0047523513395230157   0.0001715729480744433,    8.8322431793212903     65.802012084960936     11.321271186828612    -8.2254640693664545     1.2122762489318848    -2.7093961257934569 -0.0016687583923339843, -27.387659697296389   5.2894556535603412  -23.027119382504345  -10.388931832316752  -1.8996077475255548   1.2815441172212783 0.096528131631799519,  0.5306248664855957 0.030119908973574638   0.2029031366109848,-0.51182836294174194  0.51585465669631958 -0.47827836871147156 -0.49312826991081238,8.4119048551656306e-05 0.00045682518975809216 0.00037778247497044504, 0.0018139501335099339   -0.78791195154190063 -0.0012059621512889862,  0.25113272666931152 -0.017058482393622398  0.063830889761447906 -0.017058482393622398   0.23581528663635254  0.025143206119537354  0.063830889761447906  0.025143206119537354   0.17821250855922699,   0.61332964941218648   -0.45859706949880064    0.97402576876781666    0.45742196437448257    -0.1218030559355654   0.066927102408520511 2.6645352591003757e-12,0.00054712762357667089
IIWA_14,1714649285.718972,   0.526458910784392   1.1059196739880641 -0.11076683523087268  -1.4561560702468512  -1.0699164139306807   1.7145173236986877 -0.56781071848096099, -0.0098896610904830387 -0.00048622853837875619   -0.027817870748100965   -0.020237654962271538 -0.00099106636170294979   0.0063617118522890925  0.00030024156733519908,   14.079120315551759     64.50829679107666    13.982885643005371   -7.9861876182556149    1.1013490104675292   -2.4227034339904785 -0.067751590728759761, -27.370433410201272   5.2839031555549889  -23.012519957239959  -10.378882979509676  -1.9014285822804065   1.2760808079431927 0.097857912583956708, 0.53062093257904053 0.030110213905572891  0.20290581881999969,-0.51182013750076294  0.51585149765014648 -0.47827941179275513  -0.4931391179561615,-8.9581655629444867e-05 -2.2321271899272688e-05  0.00040913705015555024,  0.001814009970985353   -0.78791177272796631 -0.0012062727473676205,   0.2511330246925354 -0.017057649791240692  0.063831046223640442 -0.017057649791240692   0.23581653833389282  0.025141822174191475  0.063831046223640442  0.025141822174191475   0.17821110785007477, 0.61329320282066391 -0.45856426650825455  0.97396548380679349  0.45738924909954903 -0.12180414373119675 0.066877487237881894                    0,0.00038327102083712816
IIWA_14,1714649285.7239726,  0.5264146290541919   1.1059156592944521 -0.11129264304788861  -1.4565250045982054  -1.0699219745496775   1.7146594566589024 -0.56780664379165613, -0.0096829980803905102 -0.00054957057518291701   -0.043286609279117982   -0.030947498023985668  -0.0010152778492349126    0.010774687890419377  0.00040318082606239904,   16.249887130737307    64.894096580505376    14.235604591369629   -8.3182173004150393     1.332007236480713   -2.6519908370971681 -0.069754100799560542,-26.941211239138681  5.1915435881247083 -22.643871828260146 -10.162407895702499 -1.9385639160008639  1.1418248230023387 0.11922642035141617, 0.53054255247116089 0.029815787449479103   0.2029651403427124,-0.51160293817520142  0.51580590009689331 -0.47827461361885071 -0.49341678619384766,-0.003209082642570138 -0.011793036013841629 0.0027020229026675224,0.0018140736501663923  -0.78791224956512451 -0.001206590561196208,   0.2511332631111145 -0.017038287594914436  0.063839495182037354 -0.017038287594914436   0.23585113883018494  0.025098809972405434  0.063839495182037354  0.025098809972405434   0.17817910015583038,    0.61241751147367296    -0.45749568972919263     0.97226566679076143     0.45638634827760427     -0.1219788777655495    0.065613168215961082 -8.8817841970012523e-13,0.011437922716140747
IIWA_14,1714649285.7290015, 0.52640594047792622   1.1059143410254515 -0.11200492544192921  -1.4570453596793891  -1.0699303156527058   1.7148483878959322  -0.5678052656360455,-0.0080939415149396399 -0.0004923872201714329  -0.063120583184918394  -0.045572201666534265 -0.0011458664005189461   0.016176999793527019 0.00037767088527519184,   16.134147193908692     64.44914082336426    13.074172828674316   -8.6677222290039069    1.2078743743896485   -2.3783144607543947 -0.051397758483886717,-26.693328166736926  5.1629218287613057 -22.384626749696068 -10.049292114857684 -1.9490336621626514  1.0529798167084823 0.12553044793012841, 0.53049707412719727 0.029579976573586464  0.20304533839225769,-0.51141148805618286  0.51576775312423706 -0.47831219434738159 -0.49361863732337952,-0.0043924218043684959  -0.018863633275032043   0.005373289342969656, 0.0018166288500651717   -0.78792214393615723 -0.0012083100154995918,  0.25112512707710266 -0.017019418999552727  0.063852116465568542 -0.017019418999552727   0.23588097095489502  0.025060322135686874  0.063852116465568542  0.025060322135686874   0.17815969884395599,   0.61158483133993968   -0.45660411609294016    0.97070552854461312    0.45555035182509585   -0.12202340744860152   0.064585705859876441 1.7763568394002505e-12,0.018366850912570953
IIWA_14,1714649285.7339981, 0.52640779805366578   1.1059097271384908 -0.11295024114336988  -1.4577207306504945  -1.0699422039629056   1.7151141980503524 -0.56780346805599902, -0.0064008501823692669 -0.00057846525456569601   -0.088309094605561578   -0.063472600177442273  -0.0013922255284081859    0.023574006011628668  0.00037403991007938929,  14.704115974426271   63.507789337158208   12.709881153106689   -8.092383346557618  0.96753202438354491  -2.2978803062438966 -0.02970389938354492,-26.437026636361839  5.1106025092343756 -22.086450771345511 -9.8971790917704006 -1.9688653990147174 0.93376571329354197 0.14457975952879776, 0.53040820360183716 0.029301116243004799  0.20314870774745941,-0.51116085052490234  0.51567840576171875 -0.47837364673614502 -0.49391195178031921,-0.0070779225789010525  -0.026238026097416878  0.0084419557824730873, 0.0018684359965845942   -0.78793054819107056 -0.0012450070353224874,  0.25112256407737732 -0.016992568969726562  0.063863798975944519 -0.016992568969726562   0.23591949045658112  0.025014916434884071  0.063863798975944519  0.025014916434884071    0.1781269758939743,   0.61042075632755655   -0.45559562324637426    0.96873392022889249    0.45456887575046068   -0.12198777047878195   0.063153297691798116 5.3290705182007514e-12,0.026003088802099228
IIWA_14,1714649285.7389727, 0.52639797097731245   1.1058982222553109 -0.11412523442947446  -1.4585206776603705  -1.0699543799033664   1.7154327986332423 -0.56780029221125883, -0.0055137632000286279 -0.00092296753084910102    -0.11764700712863262   -0.082775960536996512  -0.0016008180411572679    0.031603228124899144   0.0004262657176710561,   14.220580238342286     63.58237729644776    13.629347965240479   -7.9055326347351071    1.3355287361145018   -2.6276269645690919 -0.065081577301025387,-26.132443722634669  5.0364692647434381 -21.715841837079918 -9.6998358206798372 -1.9938490946699181 0.78212013969106864 0.17435494461424395, 0.53027957677841187 0.028946775943040848  0.20328414440155029,-0.51083850860595703  0.51553565263748169 -0.47846528887748718 -0.49430558085441589,-0.010822651907801628  -0.03515021875500679  0.012189014814794064, 0.0019061637576669455   -0.78794151544570923 -0.0012858746340498328,  0.25112345814704895 -0.016954187303781509  0.063877008855342865 -0.016954187303781509   0.23597046732902527  0.024956073611974716  0.063877008855342865  0.024956073611974716   0.17807972431182861,  0.6087789237065877 -0.45432309310289298   0.9660944026785856  0.45330142637745041  -0.1218623737777591 0.061255478374100392                    0,0.035404104739427567
