DesiredFlux,0.78,HitTime,1714649554.9538388,DesiredPos, 0.53041607141494751 -0.31300020217895508   0.1990046352148056
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714649554.3644605, 0.59977270617993039   1.0660437834658254 -0.17219545536503755  -1.5322050853231728  -1.0332031722595432   1.6569478036916012 -0.55126326024219985,-2.8144996555119789e-06  2.3742150051669042e-06  2.0632975617670334e-06  6.9904537105068836e-05 -7.4872888700265883e-06  2.3964880150706901e-06  1.7688360715758706e-06,   -1.2859992980957031     65.784008094787595     6.0585335121154786    -13.209942050933838     1.5450579643249511    -1.9774786949157714 -0.0070087852478027341,-0.81350234852263503    3.010506095091988  -1.8185524163854119   1.7774582323073884  -2.2462096881162616 0.087305769273798073  0.14500850292619058, 0.51373070478439331 0.035565447062253952  0.21142329275608063, 0.51974368095397949 -0.51105380058288574  0.48686173558235168  0.48130673170089722,3.0914219678379595e-05  1.385237010254059e-05 1.1711022125382442e-05,  0.01943458616733551  -0.85389149188995361 -0.014464391395449638,  0.25214308500289917 -0.012953540310263634  0.063980042934417725 -0.012953540310263634     0.237932950258255  0.020806329324841499  0.063980042934417725  0.020806329324841499   0.17584669589996338,  0.45742297454509639  -0.41879174851899847   0.75377873130566542   0.37908828746768819 -0.075618775793984128   0.10560843310170043                     0,3.2728214137023315e-05
IIWA_14,1714649554.3694613, 0.59977270617993039   1.0660437235792153 -0.17219557524734055  -1.5322051452097829  -1.0332033640712279   1.6569476839183814 -0.55126326024219985,-2.2515997244095832e-06 -4.9609240048072144e-07 -3.1446540706386258e-06  5.3528165279440829e-05 -1.3662298486328518e-05 -2.8737383794083691e-06  1.4150688572606966e-06,   -1.2808553009033203     65.773720100402841     6.0652547607421878    -13.208597801208496     1.5406560897827148    -1.9774786949157714 -0.0073425369262695309, -31.43472842754387   6.762852244538621 -23.665622972102199 -13.136156428330025 -1.2803183969348244  3.2240831380222241 0.14504497167884331, 0.51373076438903809 0.035565517842769623  0.21142333745956421, 0.51974368095397949 -0.51105386018753052  0.48686179518699646  0.48130661249160767,2.8797436243621632e-05 1.3896324162487872e-05 1.1077701856265776e-05, 0.019434122368693352  -0.85389155149459839 -0.014464324340224266, 0.25214305520057678 -0.01295354962348938 0.063980057835578918 -0.01295354962348938    0.237932950258255 0.020806336775422096 0.063980057835578918 0.020806336775422096  0.17584672570228577,    0.45742332015485943    -0.41879193657923253     0.75377906521723048     0.37908856925028545   -0.075618752014783297     0.10560866284770043 -2.6645352591003757e-12,3.0898816476110369e-05
IIWA_14,1714649554.3744583, 0.59977276617562347   1.0660437235792153 -0.17219545536503755  -1.5322050853231728  -1.0332034598898039   1.6569476240317715 -0.55126326024219985, 5.9854794368190221e-07 -3.9687392038457716e-07  2.2795688635413519e-06  4.5217996628166914e-05 -1.4762581827563822e-05 -4.6944550992591561e-06  1.1320550858085573e-06,   -1.2731393051147462     65.776292098999022     6.0625662612915043    -13.203220802307129     1.5424168395996094    -1.9754761848449707 -0.0046725234985351563,-31.434617288460245  6.7627972337154425  -23.66551971701454 -13.136057963158283 -1.2803050511876808  3.2240606143260857 0.14506565706826841, 0.51373088359832764 0.035565521568059921  0.21142333745956421, 0.51974374055862427 -0.51105386018753052  0.48686185479164124  0.48130655288696289,2.1026000467827544e-05 8.6109748735907488e-06 7.2000457294052467e-06,0.019433921203017235 -0.85389155149459839  -0.0144643634557724,  0.25214305520057678 -0.012953557074069977  0.063980050384998322 -0.012953557074069977   0.23793293535709381  0.020806347951292992  0.063980050384998322  0.020806347951292992   0.17584672570228577,    0.45742361294376366    -0.41879217452134299     0.75377956657529666     0.37908881697390484   -0.075618811337108127      0.1056089360362833 -8.8817841970012523e-13,2.1763202312286012e-05
IIWA_14,1714649554.3794582, 0.59976605494831725   1.0660454612726518 -0.17221019597956758    -1.53222300167336  -1.0332017341082396   1.6569624844195214 -0.55126338012450282,-0.00026797025389393363  6.9190238322754807e-05 -0.00058780092611009842 -0.00068047961018623704  5.7221197110798468e-05  0.00059065994591631977 -3.8896480502951838e-06,   -1.1728313598632814     65.729996124267586     6.2736134681701659     -12.91958411026001      1.534493465423584     -2.017528896331787 -0.0063412818908691404,-31.434617288460245  6.7627972337154425  -23.66551971701454 -13.136057963158283 -1.2803050511876808  3.2240606143260857 0.14506565706826841, 0.51373088359832764 0.035565521568059921  0.21142333745956421, 0.51974374055862427 -0.51105386018753052  0.48686185479164124  0.48130655288696289,2.1026000467827544e-05 8.6109748735907488e-06 7.2000457294052467e-06, 0.019433826208114624  -0.85389155149459839 -0.014464396983385086,  0.25214305520057678 -0.012953543104231358  0.063980057835578918 -0.012953543104231358     0.237932950258255  0.020806338638067245  0.063980057835578918  0.020806338638067245   0.17584674060344696,    0.45742311531604685     -0.4187919461164924     0.75377904395246276     0.37908855286428178   -0.075618525779752588     0.10560897123834678 -1.7763568394002505e-12,2.1763202312286012e-05
IIWA_14,1714649554.3844821, 0.59962745737066869   1.0660644562363166 -0.17258781890718758   -1.532612009601857  -1.0331833264696846   1.6572771301954095 -0.55126326024219985,-0.0057582793090574739 0.00081515073725278503  -0.015575157845688187  -0.016104700828026699 0.00078208249988802791   0.013058358992253967 1.6835736787058824e-06, 6.6280403823852545  62.954809638977054  12.250147747039795 -5.3756546516418453  1.0001058959960938 -3.4479885902404783 0.10546553039550781,  -31.4346976458427  6.7627463673365922 -23.665622568859348 -13.136031078411559 -1.2803098023185544  3.2240853384502768 0.14508896049468667, 0.51373088359832764 0.035565607249736786  0.21142330765724182, 0.51974380016326904 -0.51105380058288574  0.48686188459396362  0.48130646347999573,1.8128363080904819e-05 1.0329670658393297e-05 4.8862989387998823e-06, 0.019433656707406044  -0.85389155149459839 -0.014464253559708595,  0.25214305520057678 -0.012953543104231358  0.063980057835578918 -0.012953543104231358   0.23793293535709381  0.020806353539228439  0.063980057835578918  0.020806353539228439   0.17584674060344696,    0.45742312636321003    -0.41879230725871963     0.75377943558052607     0.37908883442927532   -0.075618285384493333     0.10560938438519685 -8.8817841970012523e-13,1.9567056369851343e-05
IIWA_14,1714649554.3894548, 0.59956687710141499   1.0660431842724765 -0.17300798587157112  -1.5328907626816777  -1.0331943518891025    1.657663321926075 -0.55126182209089614, -0.0070298342173942671 -0.00019875796380432078   -0.029266804851892342   -0.024033883855250404  0.00018464922319493633    0.025894356420425726   5.887291109144687e-05,    11.35794580078125    61.676526336669923    14.903696704864503   -5.9173872909545899   0.75712242126464846   -2.7077273674011231 -0.044722724914550781,-31.415713960675124  6.7570178569941701 -23.648888911912518 -13.122816956689231 -1.2830296928788212  3.2154864622348232 0.14676080194276603,0.51372426748275757 0.03555293008685112 0.21142688393592834, 0.51973199844360352 -0.51105016469955444  0.48686122894287109  0.48132368922233582,-0.00025135246687568724 -0.00049878581194207072  0.00014671451936010271, 0.019433572888374329  -0.85389149188995361 -0.014464311301708221,  0.25214368104934692 -0.012952911667525768  0.063979968428611755 -0.012952911667525768   0.23793408274650574  0.020804785192012787  0.063979968428611755  0.020804785192012787   0.17584496736526489,    0.45739643860187584    -0.41875263945900798     0.75372442658494521     0.37905262322279754   -0.075629499725060612     0.10553718557559932 -4.4408920985006262e-12,0.00052730116294696927
IIWA_14,1714649554.3944733, 0.59952828798073654   1.0660437834658254 -0.17357040556938921  -1.5333357369924674  -1.0331862985908677   1.6583579875120615  -0.5512581070485002, -0.0071674322010532136 -0.00013503863708593715   -0.045910231794237456   -0.037026079515788887  0.00046985130794485156    0.048502108575801395  0.00019570002471057117,    14.42891212463379    63.078265571594244    15.887687503814698   -6.5989219017028811    1.3962746047973633   -3.3064778785705564 -0.010012550354003906,-30.993428529428854   6.649791542470048 -23.255354119090065 -12.845141945878128 -1.3329528547763458  3.0242951471020807 0.17666706477086372, 0.51359182596206665 0.035262558609247208  0.21152661740779877,  0.5194549560546875 -0.51097553968429565  0.48686891794204712  0.48169413208961487,-0.005499853752553463 -0.012010027654469013 0.0041095619089901447,0.019433561712503433 -0.85389184951782227 -0.01446426659822464,  0.25215122103691101 -0.012937481515109539  0.063982285559177399 -0.012937481515109539   0.23796071112155914  0.020767038688063622  0.063982285559177399  0.020767038688063622   0.17581067979335785,  0.45674926526473314  -0.41781554702424728   0.75239534849824707   0.37820159734724967 -0.075846651672151211   0.10391870176107432                     0,0.01263160165399313
IIWA_14,1714649554.3994579, 0.59951180967276996    1.066044981961606 -0.17428945896826292  -1.5339911542687334  -1.0331873531188018   1.6592917383346293 -0.55125954509072073, -0.0063930780795058957 -6.0091078443997193e-05   -0.065490321390338335   -0.055837554663273392  0.00033369992899245449       0.076151719763351  9.9038330947451894e-05,  15.588883491516114   62.738761756896977   15.332512367248535  -6.5397749137878414  0.98337877273559571  -3.0154464149475095 0.029036396026611327,-30.724670804797448  6.6244810441696105 -22.934005355872127 -12.685524477726554 -1.3452959411865548  2.8584573566611313 0.18212706390098848, 0.51349872350692749 0.035021919757127762  0.21168231964111328, 0.51914882659912109 -0.51091426610946655  0.48693886399269104  0.48201832175254822,-0.0081298481673002243  -0.019224174320697784   0.009520338848233223,0.019450360909104347 -0.85389953851699829  -0.0144752012565732,  0.25214239954948425 -0.012927062809467316  0.063993185758590698 -0.012927062809467316   0.23798327147960663   0.02073812298476696  0.063993185758590698   0.02073812298476696   0.17579609155654907,  0.45629523369417058  -0.41711786883880109   0.75137746421471974   0.37759829336181383 -0.075960678988629127   0.10232694058043279                     0,0.020947199314832687
IIWA_14,1714649554.4044566,  0.5995123488704257     1.06604144657904 -0.17521080617216903  -1.5348335853196799  -1.0331929137377986   1.6605723126958394 -0.55125942531750083, -0.0050928945573748483 -0.00018948816539653227   -0.089246145268514793   -0.078367285768478789  4.4535183321411009e-05     0.11214435025908465  8.4021593553867339e-05,  15.174791717529297   62.165206069946294   14.819008972167969  -5.6633240928649906  0.72278779983520502  -3.1663021736145018 0.045390228271484374,-29.963863717533165  6.4504648670493072 -22.011442146299924 -12.097442100041592 -1.4148787507449774  2.2852117602319253 0.24363251323201171, 0.51305723190307617 0.034293770790100098  0.21218788623809814, 0.51811319589614868 -0.51057577133178711  0.48716750741004944  0.48325860500335693,-0.021452369168400764 -0.038804218173027039  0.024583600461483002, 0.019805328920483589   -0.8538939356803894 -0.014740748330950737,  0.25214961171150208 -0.012894527986645699  0.064005427062511444 -0.012894527986645699   0.23805332183837891  0.020667480304837227  0.064005427062511444  0.020667480304837227   0.17571532726287842,  0.45487932528764929  -0.41541292452684786   0.74864976084931811    0.3760615085379726 -0.076174915309756841  0.096569399004486911                     0,0.046290528029203415
IIWA_14,1714649554.409481,  0.5995076750968551   1.0660425850791277 -0.17634421426176788  -1.5358143742927519   -1.033193776628581   1.6621140832154258  -0.5512597248596337, -0.0042612665887241611 -0.00010605052880680108    -0.11673323979876618     -0.1019253875376617  1.1125153618222607e-06     0.15138630099072259  5.5235589528072676e-05,  13.991672363281252   62.098334106445314   15.071727920532227  -4.8608070068359375  0.99922552108764651  -3.3525356101989745 0.031372657775878908,-29.462381709204944  6.3290747276308821 -21.384983889294727 -11.681628739123354 -1.4623158701334993  1.8693145957122925 0.29066367948726007, 0.51271075010299683 0.033780913800001144  0.21257220208644867, 0.51734459400177002 -0.51029598712921143  0.48734703660011292  0.48419567942619324, -0.03104843758046627 -0.051460433751344681  0.035086128860712051, 0.020119961351156235  -0.85389024019241333 -0.015077688731253147,  0.25216010212898254 -0.012871536426246166  0.064010791480541229 -0.012871536426246166   0.23810318112373352  0.020622642710804939  0.064010791480541229  0.020622642710804939   0.17565213143825531,   0.45387830159615561   -0.41433268349155838     0.7468383005075907    0.37506773032802698  -0.076265075298564966   0.092247717105031768 8.8817841970012523e-13,0.063541464507579803
