DesiredFlux,0.85,HitTime,1714650093.9688368,DesiredPos,   0.548775315284729 -0.33696490526199341  0.19914992153644562
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714650093.3669765, 0.50332552177190182   1.2083716741595547 -0.16415745603220983  -1.3334826080218518  -1.1023485067618064   1.7532781420150336 -0.59534249777876813,  1.245376290414575e-05  3.1038015333929329e-06  0.00071664605297736504  -3.295219972148558e-06  5.0541829323322082e-07 -4.0924862373540269e-06 -4.8332137335075452e-05,0.37551179504394533  69.423386108398446  6.1916142349243168 -14.306849826812744  1.6084449577331543 -2.0018425674438478 0.42119461822509763,  2.6175097781855028  -1.2448770451015208   2.0264069972300671  -1.4272328983553912  0.10850946652877851 -0.52327613639039949 -0.53176198867863578, 0.56083917617797852 0.011106233112514019  0.19107978045940399, 0.47820821404457092 -0.50510531663894653   0.4999144971370697  0.51601457595825195,-5.3675139497499913e-05  0.00023556390078738332  -0.0001617263478692621,-0.0098259160295128822   -0.93099057674407959  0.0065702949650585651,  0.24491597712039948 -0.014753256924450397  0.068483047187328339 -0.014753256924450397   0.23842787742614746  0.022455163300037384  0.068483047187328339  0.022455163300037384   0.17936165630817413,    0.51899331040150543     -0.3833467185430095     0.83245351269045642     0.45632854691923797    -0.08312058841575265   -0.083623160509915806 -8.8817841970012523e-13,0.00026542137493379414
IIWA_14,1714650093.3719311, 0.50332540188959873   1.2083716741595547 -0.16415230272942716  -1.3334826080218518  -1.1023486985734912   1.7532783217839465   -0.595342737434291, 5.1677181999336795e-06  2.4830412267143465e-06  0.00077944895368860364 -2.6361759777188466e-06 -7.2681327557206703e-06  3.9167675247912684e-06  -4.825193078290821e-05,0.38065579223632817  69.405382118225106  6.1768274879455562 -14.301472827911377   1.611086082458496 -2.0038450775146486 0.42219587326049807,    -34.401158134747    4.945775098997566  -19.832372014659398  -10.654048616168623  -1.0310221369422268   -3.012389351919476 -0.53163299506809858, 0.56083875894546509 0.011107716709375381  0.19107857346534729,  0.4782102108001709 -0.50510519742965698  0.49991342425346375  0.51601386070251465,-5.8598481700755656e-05  0.00024778474471531808 -0.00017752120038494468,-0.0098259234800934792   -0.93099057674407959  0.0065710851922631264,  0.24491633474826813 -0.014753434807062149  0.068482808768749237 -0.014753434807062149   0.23842766880989075  0.022455506026744843  0.068482808768749237  0.022455506026744843   0.17936150729656219,  0.51900046448505321  -0.38335324234051171   0.83246693642813341   0.45633425397895166 -0.083121600823687913 -0.083616378655726464                     0,0.00028336941613815725
IIWA_14,1714650093.3768625, 0.50332540188959873   1.2083716142729448 -0.16414714953572757  -1.3334826080218518  -1.1023486985734912   1.7532782019016435 -0.59534303708550695, 4.1341745599469438e-06 -4.0903141436098347e-07  0.00082968691093455831 -2.1089407821750772e-06 -5.8145062045765364e-06 -1.6618780991090144e-06 -5.0587593264383985e-05,0.36007980346679691  69.413098114013678  6.1822044868469241 -14.308194076538086   1.611086082458496 -2.0041788291931151 0.41919210815429686, -34.401689274071799   4.9456190718468989  -19.833524436538973  -10.654093392985015  -1.0310301431666575  -3.0120995057535453 -0.53150759481109044, 0.56083834171295166 0.011109388433396816  0.19107736647129059, 0.47821229696273804 -0.50510513782501221  0.49991226196289062  0.51601308584213257,-6.2855047872290015e-05  0.00026510239695198834 -0.00018992277910001576,-0.0098259206861257553   -0.93099051713943481  0.0065720463171601295,  0.24491670727729797 -0.014753657393157482  0.068482555449008942 -0.014753657393157482   0.23842743039131165  0.022455917671322823  0.068482555449008942  0.022455917671322823   0.17936138808727264,     0.519009323468822   -0.38336093296553742    0.83248313083039704    0.45634114628700928   -0.08312274851629553  -0.083609169172049747 2.6645352591003757e-12,0.00030319910729303956
IIWA_14,1714650093.3818874, 0.50331701296454912   1.2083744904664688 -0.16415925361225631  -1.3334938132538157  -1.1023507118107834   1.7532668169007666 -0.59534321685441993,-0.00033224966233677447  0.00011472051582911666  0.00017958646759802391 -0.00044989643117978597 -8.5181096652013781e-05 -0.00045672953755688942 -4.7660831130622571e-05, 0.5195437164306641  69.323078163146974   6.444333183288574 -14.137474361419677  1.6383777046203614 -1.9714711647033691 0.41919210815429686,-34.402235414576325  4.9454899612296606 -19.834644330463249 -10.654173568067941 -1.0310732848862674 -3.0117363152028398 -0.5313771562839289, 0.56083798408508301 0.011111130006611347   0.1910761296749115,  0.4782145619392395 -0.50510513782501221  0.49991104006767273  0.51601225137710571,-6.5816551796160638e-05   0.0002817278727889061 -0.00020191952353343368,-0.0098258433863520622   -0.93099039793014526  0.0065730158239603043,  0.24491707980632782 -0.014753879979252815  0.068482302129268646 -0.014753879979252815   0.23842719197273254  0.022456320002675056  0.068482302129268646  0.022456320002675056   0.17936126887798309,  0.51901821364275236  -0.38336860509602388   0.83249913148009114   0.45634799346849775 -0.083124025054281958 -0.083601308641156891                     0,0.00032209052005782723
IIWA_14,1714650093.3868651, 0.50312910023622082   1.2084255433105853 -0.16461759027288247  -1.3337466803737523  -1.1023976901401276   1.7530119724318705 -0.59534381604776876,-0.0077823088630013743  0.0021338901773208649  -0.018189797250968323  -0.010474601942410296 -0.0019472780510893662  -0.010559162385890329 -6.209639885757667e-05, 9.9099105911254881  65.660552162170418  13.222040298461915 -10.237805908203125  1.9236191749572753 -1.4935387611389159 0.38781945037841797, -34.385102981517015    4.940885598913284  -19.822426692833705  -10.647099963924777  -1.0323268363463449  -3.0126562345226988 -0.53024681270953733, 0.56083697080612183 0.011100081726908684   0.1910744309425354,  0.4782126247882843 -0.50510293245315552  0.49990978837013245   0.5160173773765564,-9.1622365289367735e-05 -0.00021654900046996772 -0.00022928371618036181,-0.0098257632926106453   -0.93099033832550049  0.0065741720609366894,  0.24491766095161438 -0.014752383343875408  0.068482346832752228 -0.014752383343875408   0.23842829465866089  0.022454086691141129  0.068482346832752228  0.022454086691141129   0.17935989797115326,    0.51896073352253325    -0.38332111038652528     0.83241115701770951     0.45629783460299222   -0.083124345263918542   -0.083618892471548634 -8.8817841970012523e-13,0.00029982448904775083
IIWA_14,1714650093.3918617, 0.50304862615873747   1.2084271611217188 -0.16508886996799221  -1.3339978098002525  -1.1024673903874049   1.7524699858490209 -0.59534483466555344,  -0.009444810189735104   0.0017718245871968124   -0.033403025605164206   -0.018424858613935641  -0.0043458323319663381    -0.03012679322269389 -9.0421830473103162e-05, 15.879519332885742  65.462508270263669  15.062318172454834 -9.1301441345214851  1.0943060111999512 -2.1006330642700197 0.40951330947875975, -33.963022781248029   4.8558215819800408  -19.480864202236262  -10.487926138080871  -1.0552238513783478  -3.0503528081974283 -0.51220126740309302, 0.56083184480667114 0.010790242813527584  0.19108888506889343, 0.47809034585952759 -0.50505703687667847   0.4999258816242218  0.51616001129150391,-0.00028354479582048953   -0.012566777877509594   0.0003970351826865226,-0.0098256850615143776   -0.93099021911621094  0.0065753296948969364,  0.24491581320762634 -0.014711318537592888  0.068493247032165527 -0.014711318537592888    0.2384616881608963    0.0223894864320755  0.068493247032165527    0.0223894864320755   0.17933565378189087,  0.51737136979479459   -0.3819817816426152   0.82987471069184693   0.45492897707521962 -0.083088052161173209 -0.084282209324548774                     0,0.011481122113764286
IIWA_14,1714650093.3968616, 0.50304227457834028   1.2084345314289837  -0.1657020428587106  -1.3343761518035244  -1.1025777410982902   1.7515936393418836 -0.59534507443015949, -0.0078099113676756956   0.0017122719603551403   -0.051249336112866695   -0.029873567022025083   -0.007890694300984125    -0.05915529486364729 -8.1928048620807486e-05, 16.872310791015625  64.531444778442392  15.063662422180176 -8.7067054710388181  1.7026450729370117  -1.279937686920166 0.41084831619262696, -33.751731216184574   4.8152615994185339  -19.284966440265972  -10.431406222996381  -1.0552600391321312  -3.0073171963499523 -0.50282082786332416, 0.56087619066238403 0.010537093505263329  0.19107984006404877, 0.47808670997619629 -0.50501716136932373  0.49996954202651978  0.51616007089614868,  0.0015423441072925925   -0.020180745050311089 -3.9427053707186133e-05,-0.0098257130011916161   -0.93099063634872437  0.0065765511244535446,  0.24491176009178162 -0.014661918394267559   0.06850472092628479 -0.014661918394267559   0.23848983645439148  0.022321341559290886   0.06850472092628479  0.022321341559290886   0.17932029068470001,    0.51551231603763625    -0.38067527073248897     0.82714160349972587     0.45352354792438376   -0.082864357852763249   -0.084329372447733419 -8.8817841970012523e-13,0.018477004021406174
IIWA_14,1714650093.4018624, 0.50306246803778587   1.2084321346555884 -0.16652296218121079  -1.3348929715021418  -1.1026787919967893   1.7504360232083103 -0.59534561373689832, -0.0054401907163167821   0.0012739466324717978    -0.07383624179030121   -0.044571641562315578   -0.010354591380751295   -0.093628881233851713 -8.7114708449551241e-05, 16.486511001586916  64.683192695617677  13.148106563568115 -9.2040778694152827  1.1744201278686524  -1.388406982421875 0.41752334976196287,  -33.59123475468278   4.7515323287663271  -19.116098480042066  -10.383384085787021  -1.0503820661139542  -2.9124924652492328 -0.48256613687405941, 0.56094211339950562 0.010251634754240513  0.19102960824966431, 0.47817167639732361 -0.50493139028549194  0.50004178285598755  0.51609522104263306, 0.0038603947032243013  -0.027565650641918182 -0.0020301796030253172,-0.0098250899463891983   -0.93100184202194214  0.0065780701115727425, 0.24491699039936066 -0.01458863727748394 0.068514265120029449 -0.01458863727748394  0.23852396011352539  0.02223186194896698 0.068514265120029449  0.02223186194896698   0.1792944073677063,  0.51278857546499523  -0.37903824302709666   0.82343169082577106   0.45166423735221173 -0.082386691546254553 -0.084036449059965435                     0,0.025477765128016472
IIWA_14,1714650093.4068928,  0.5030817625435835   1.2084351307314156 -0.16761538426765277  -1.3355725969314654  -1.1028617192575592   1.7489044991895131 -0.59534615293455406, -0.0035803723411482642   0.0011390003390658674    -0.10276587688991995   -0.062842330422793996   -0.015600763535395018    -0.13616406573896905 -9.1259672989510028e-05,  14.53693606567383  64.292248908996584  13.653544460296631 -8.7685409584045413  1.3839493560791016 -1.2956240158081054  0.4065095443725586,  -33.38947167951391    4.672849838195555  -18.900844186210023  -10.316976159323699  -1.0540234909193804  -2.8011922779767966 -0.45522209810495856, 0.56101769208908081 0.009885142557322979  0.19096441566944122, 0.47828564047813416 -0.50482386350631714  0.50012820959091187  0.51601117849349976, 0.0060954163782298565  -0.036716759204864502 -0.0042113526724278927,-0.0098111014813184738   -0.93101179599761963  0.0065597360953688622,  0.24492417275905609 -0.014492804184556007  0.068526327610015869 -0.014492804184556007   0.23856890201568604  0.022113421931862831  0.068526327610015869  0.022113421931862831    0.1792604923248291,    0.50922766407079934    -0.37689323677270181     0.81853328031566974     0.44921703834432947    -0.08178720771212511   -0.083645513513808112 -2.6645352591003757e-12,0.034193746745586395
IIWA_14,1714650093.4119618, 0.50307523119427333   1.2084297377731101 -0.16893514705197327  -1.3364044818304064  -1.1030873102192293   1.7469837874733058 -0.59534615293455406, -0.0031255518453253391  0.00069548193903335494    -0.13500321288475595   -0.083549260295876698   -0.021504249295123443    -0.18575972123946421 -7.3007738391608031e-05, 14.843003898620607  63.206865501403811  14.611994514465332 -8.5776574974060065  1.8980883026123048 -1.2208636398315429 0.39883325576782225, -33.111523380510469   4.5763457972921682  -18.604377052821032  -10.228645763856974  -1.0464487490570136  -2.6673296081119013 -0.42227180088733096, 0.56112754344940186 0.009393901564180851  0.19088397920131683, 0.47843354940414429 -0.50466752052307129  0.50026047229766846  0.51589870452880859, 0.0092403842136263847  -0.049030471593141556 -0.0065483669750392437,-0.009881235659122467  -0.93102240562438965  0.006589802447706461,  0.24493357539176941 -0.014363790862262249  0.068542592227458954 -0.014363790862262249   0.23862828314304352  0.021956739947199821  0.068542592227458954  0.021956739947199821   0.17921558022499084,   0.50444278312156143   -0.37405286355607359    0.81203289190057149    0.44596983109101984   -0.08092669480408432  -0.083142016044313038 8.8817841970012523e-13,0.045936770737171173
