DesiredFlux,0.91,HitTime,1714656497.719964,DesiredPos,0.54731065034866333 -0.2995263934135437 0.19880174100399017
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714656497.1040349, 0.58424510556413178   1.2111210950390461 -0.15234568408318741  -1.3143151584848534  -1.0788056407520683   1.7935168549637523 -0.61468120185813235,-1.7975517003725499e-05 -2.0850946993101285e-06 -9.3780735581315273e-05  8.5231503140095333e-06  -1.410901064317183e-05  3.4568465195869553e-06 -4.1538751306693868e-07,  -0.8847675170898438    70.796833358764658    5.8878137969970705   -15.176579399108887    1.7510656929016113   -2.1526983261108397 -0.018356342315673829,  -3.3401675654763996   -2.0905595070638627 -0.080367168155206503  -0.10506759513306463   0.12940778479453496   0.14846412807347931   0.43790063478870989, 0.55237793922424316 0.063632659614086151  0.19368153810501099,0.49245408177375793 -0.4898495078086853 0.50860518217086792 0.50878012180328369, 1.3090994798403699e-05 -3.5163458960596472e-05  1.5397221432067454e-05,-0.0019907113164663315   -0.99549204111099243   0.002011722419410944,  0.24632494151592255 -0.017318394035100937  0.066525794565677643 -0.017318394035100937   0.23487922549247742  0.030254831537604332  0.066525794565677643  0.030254831537604332   0.18078626692295074,    0.62772382471010246    -0.60776792133854229      1.0770751187321181     0.66346601737965472   -0.023778604428592587   -0.035565344200350069 -8.8817841970012523e-13,3.7074380088597536e-05
IIWA_14,1714656497.109025, 0.58424474602630583   1.2111210950390461 -0.15234670270097209  -1.3143149188293304  -1.0788051614846557   1.7935164355393165 -0.61468132163135225,-2.8761926641211162e-05 -1.6680757594481029e-06 -0.00011576929985209405  1.6404741170496363e-05  7.8834879912728049e-06 -1.4011500218293661e-05 -5.1232388063593646e-06, -0.91820349884033203    70.747965385437013     5.945616535186768   -15.191366146087647          1.8030078125   -2.1780634536743162 -0.019357597351074219,-39.225289896610754  5.2663165787275492 -20.482832019150958 -12.313351359508768 0.60562356108938753 -1.0688743656544175 0.43789348019595531, 0.55237805843353271 0.063632398843765259  0.19368189573287964, 0.49245369434356689 -0.48984929919242859  0.50860559940338135  0.50878024101257324, 1.6201051039388403e-05 -3.8444206438725814e-05  2.6576979507808574e-05,-0.0019907345995306969   -0.99549204111099243  0.0020116989035159349,  0.24632486701011658 -0.017318340018391609  0.066525854170322418 -0.017318340018391609   0.23487928509712219  0.030254768207669258  0.066525854170322418  0.030254768207669258   0.18078629672527313,    0.62772151702628065    -0.60776657877070761      1.0770720245227849     0.66346457549482096   -0.023777474375208385   -0.035566771487971494 -4.4408920985006262e-12,4.5216624130262062e-05
IIWA_14,1714656497.1140506, 0.58424486579952584    1.211121035152436 -0.15234724200771096  -1.3143151584848534  -1.0788056407520683   1.7935172743881882 -0.61468132163135225,-1.8218612512622227e-05 -3.7299250121727271e-06 -0.00011418770943680094  3.5375720171083561e-06 -1.2863906112792026e-05  2.2344754693291518e-05 -4.0985910450874922e-06, -0.92334749603271493    70.699097412109381    5.8434535560607914   -15.169858150482177    1.7343385696411133   -2.1306707153320312 -0.020358852386474609,-39.224838467230811  5.2663051899832984 -20.482481581833095   -12.3132888256896 0.60549180777226319 -1.0688593373968021 0.43787103376232717, 0.55237823724746704 0.063631907105445862  0.19368201494216919, 0.49245336651802063 -0.48984962701797485  0.50860553979873657  0.50878036022186279,  1.975829218281433e-05 -5.0300113798584789e-05  2.6309369786758907e-05,-0.0019908440299332142   -0.99549204111099243  0.0020116504747420549,  0.24632474780082703 -0.017318326979875565  0.066525936126708984 -0.017318326979875565   0.23487934470176697  0.030254647135734558  0.066525936126708984  0.030254647135734558   0.18078634142875671,  0.62772073873862411  -0.60776348877311648    1.0770680830463064   0.66346204349176929 -0.023778495926052301 -0.035567819892001751                     0,5.4943491704761982e-05
IIWA_14,1714656497.1191359, 0.58423941306369331   1.2111243907660891  -0.1523662369713758  -1.3143292400194244  -1.0788044902310254   1.7935106830431851 -0.61468120185813235,-0.00023268432331101483  0.00013124060611692184 -0.00085114871414291161 -0.00056043132522844174  3.5729716824999399e-05 -0.00024577799637086301  1.5120559598358194e-06, -0.86419152832031254      70.6039334640503    6.1768274879455562   -14.906385204315185    1.7783573150634766   -2.1733909301757812 -0.018690093994140625,-39.224994086388968  5.2663472442355239 -20.482359609270574 -12.313228616156227 0.60561672743616779 -1.0691107615466107 0.43786868040015792, 0.55237817764282227 0.063631772994995117  0.19368237257003784, 0.49245285987854004 -0.48984935879707336  0.50860589742660522  0.50878071784973145, 1.4471993381448556e-05 -4.5875218347646296e-05  3.5033535823458806e-05,-0.0019908344838768244   -0.99549204111099243  0.0020116232335567474,  0.24632471799850464 -0.017318310216069221  0.066525951027870178 -0.017318310216069221   0.23487938940525055  0.030254654586315155  0.066525951027870178  0.030254654586315155   0.18078632652759552,  0.62771990188004168  -0.60776354978830938     1.077067686320099   0.66346197210265245 -0.023777573060712598 -0.035570043539046026                     0,5.4398209613282233e-05
IIWA_14,1714656497.1240213, 0.58412490375679926   1.2111805968039051 -0.15297791182418058  -1.3146347179080009   -1.078787712380926   1.7933704676544029 -0.61468120185813235,-0.0047665197344108354  0.0023532339975325641   -0.02514791308350544  -0.012667460603242298 0.00069969777743834536 -0.0058052379483835787 1.2096447678686557e-06,    7.1501560974121094     66.010343971252439     13.805444679260255    -8.9110314292907713     1.8135723114013671    -2.0766029434204101 -0.0013350067138671875,-39.208654114486386  5.2608672995395498 -20.469345973129322 -12.304879109607272 0.60364419800309521 -1.0714579158508246 0.43929494785800183, 0.55237668752670288 0.063619576394557953  0.19368216395378113, 0.49244695901870728 -0.48984628915786743  0.50860607624053955  0.50878924131393433,-4.7774141421541572e-05 -0.00052430911455303431  1.9874316421919502e-05,-0.0019908295944333076   -0.99549210071563721  0.0020114306826144457,  0.24632491171360016 -0.017316700890660286  0.066526398062705994 -0.017316700890660286   0.23488131165504456  0.030252210795879364  0.066526398062705994  0.030252210795879364   0.18078462779521942,     0.6276512962353209     -0.6076994514545575      1.0769631897566967     0.66339325433961704   -0.023776806849618026   -0.035607885196853317 -2.6645352591003757e-12,0.00048160788719542325
IIWA_14,1714656497.1290214, 0.58411088221792107   1.2111712490385975 -0.15374897690742834  -1.3148915398349397  -1.0787861784110464   1.7930888383810579  -0.6146816212825682, -0.0043740773426564697   0.0015086765857225328   -0.050960933796714639   -0.020406845560144486  0.00062111701713321859   -0.015909361292505392 -1.5809261619668299e-05,   14.812139915466309    66.506739700317382    17.476590679168702   -9.3452240905761723    1.4534989738464354   -2.5154864006042481 -0.027033885955810546, -38.77299144455602  5.1735209892327045 -20.059329146596689  -12.11788219538111 0.57216730697101004 -1.1481874814985225 0.45882790368478066, 0.55236923694610596 0.063294082880020142  0.19373464584350586, 0.49223479628562927 -0.48978546261787415  0.50866013765335083  0.50899899005889893,-0.00033999272272922099    -0.01343875378370285   0.0021185518708080053,-0.0019909129478037357   -0.99549210071563721  0.0020113969221711159,  0.24631108343601227 -0.017276201397180557  0.066548250615596771 -0.017276201397180557   0.23493431508541107   0.03018517978489399  0.066548250615596771   0.03018517978489399   0.18075412511825562,    0.62590134380613449    -0.60597455052668892      1.0741338176076809     0.66160168192475055   -0.023711138481985472   -0.036711300728242691 -1.7763568394002505e-12,0.012439939193427563
IIWA_14,1714656497.1340227, 0.58416870606687032   1.2111846713841268 -0.15457936387753907  -1.3153449030707791   -1.078789821611327   1.7927022272259563 -0.61467922440008982,-0.0011863079161549108  0.0017438350897483075  -0.073984225841800921  -0.034460005881693331 0.00035116560248387384  -0.028191935238069711 8.3227889839616008e-05,   17.301834556579593    66.815379531860358    16.285585422515869   -9.1637503776550293    1.5987608337402344    -1.981483715057373 -0.027033885955810546,-38.481385429191043  5.1729470999834692 -19.688171089646261 -12.035969554202669 0.57427839633296029 -1.1880361102961579 0.45463412736709019, 0.55241727828979492 0.062986813485622406   0.1938382089138031, 0.49202382564544678 -0.48974528908729553  0.50878411531448364   0.5091177225112915,0.0016418714076280594  -0.02304147370159626 0.0058480878360569477,-0.0019908011890947819   -0.99549287557601929  0.0020111671183258295,  0.24627570807933807 -0.017230818048119545  0.066581793129444122 -0.017230818048119545   0.23498886823654175  0.030110018327832222  0.066581793129444122  0.030110018327832222   0.18074297904968262,  0.62396813000908935  -0.60417286123204406    1.0709616923483267   0.65974019389614114 -0.023479137092330404 -0.037594720903477707                     0,0.021781319752335548
IIWA_14,1714656497.139024, 0.58424246902613053    1.211184311846301 -0.15558861535280341  -1.3159945678509135  -1.0787893421693815   1.7922004477930848 -0.61467862520674099,  0.002001472037484233  0.0013806865587692972  -0.099557439684014509  -0.053554595910730501 0.00030011015980621456  -0.042624725505313404 9.0550045824771419e-05,    17.294118560791016      66.48616371154786     13.523152236938477    -8.3047748031616209     1.3804278564453125    -1.9410997619628907 -0.0083437919616699222,-38.245225935656769  5.1064123769589171 -19.381949169455982 -11.916246032786439 0.56216206456116191 -1.2158936394946414 0.47712081011250607, 0.55242174863815308 0.062660060822963715  0.19390302896499634, 0.49185466766357422 -0.48962536454200745  0.50891023874282837  0.50927037000656128,0.0014806753024458885 -0.031503520905971527 0.0072905910201370716,-0.0019899820908904076   -0.99551206827163696   0.002011012751609087,  0.24626217782497406 -0.017168141901493073  0.066606074571609497 -0.017168141901493073   0.23505197465419769  0.030026111751794815  0.066606074571609497  0.030026111751794815   0.18070735037326813,    0.6213650058111142   -0.60221829806028637     1.0672036176710975    0.65755771468456459  -0.023057360223788237  -0.038487649440810401 8.8817841970012523e-13,0.029588103294372559
IIWA_14,1714656497.1440234,  0.5843195874899606   1.2111860495397375  -0.1568651150247086  -1.3168009863234897  -1.0788005594004839    1.791537360558338 -0.61467844543782812,  0.0046859161831902902   0.0011740569844745003      -0.130705938623419   -0.075100415631633666 -0.00020860111625193981   -0.060623269794124315  7.9630793174491631e-05,  17.538458427429202   66.082359931945803   12.434309959411621  -7.4995692176818851  0.77208879470825198  -1.6247031707763673 0.008677543640136719,-37.956262915920917  5.0085715242894304 -19.031613744822902 -11.754064811660506 0.54061963143421654 -1.2535708284400435  0.5127532529606833, 0.55240374803543091 0.062247440218925476  0.19397248327732086, 0.49166592955589294 -0.48945707082748413   0.5090487003326416  0.50947600603103638,0.00044457250623963773  -0.041710153222084045  0.0086455177515745163,-0.0019742974545806646   -0.99553209543228149  0.0019776183180510998,  0.24625480175018311 -0.017087282612919807  0.066631369292736053 -0.017087282612919807   0.23513123393058777  0.029920751228928566  0.066631369292736053  0.029920751228928566   0.18065525591373444,   0.61802183296677526   -0.59976747069967473     1.0624667307723712    0.65476443680267948  -0.022528121106368815  -0.039585733851765781 8.8817841970012523e-13,0.038936939090490341
IIWA_14,1714656497.1490228, 0.58441012829932015    1.211176881652426 -0.15840113315724669  -1.3177642783708106  -1.0788056407520683    1.790723272236364 -0.61467844543782812,  0.0073703653209342985  0.00057253009511823341    -0.16600547620025888   -0.098612014398139672 -0.00037013495637717596   -0.081062148714261428  6.3704634539593313e-05,   15.570879501342775    64.672904701232909    15.081137668609619   -7.5398967094421385    1.4341307258605958   -1.8856969833374024 0.0033375167846679686,-37.590124586067446  4.8970154867028191  -18.59445710090629 -11.563333283358434 0.51909008521858746 -1.2968095920930853  0.5521256486163183, 0.55239170789718628 0.061719097197055817  0.19405782222747803, 0.49143266677856445 -0.48925045132637024  0.50922369956970215  0.50972455739974976,-0.00015942793106660247   -0.054507430642843246    0.010388180613517761,-0.0019813801627606153   -0.99555504322052002  0.0019258586689829826,  0.24624362587928772 -0.016984419897198677  0.066664375364780426 -0.016984419897198677   0.23523099720478058  0.029785702005028725  0.066664375364780426  0.029785702005028725   0.18059134483337402,     0.6137806761437048    -0.59662359442835822      1.0564394272618571     0.65119949637004737   -0.021863131275168257   -0.040928497505809958 -2.6645352591003757e-12,0.05071667954325676
IIWA_14,1714656497.1540232, 0.58449120157015222    1.211165736307072 -0.16008755329274615  -1.3188945106156693  -1.0787858907807857   1.7896852586076915 -0.61467820578230514, 0.0091392230900300825  1.221026193627331e-05   -0.20026118638018578   -0.12409890131286187 0.00049389088620318861   -0.10637026411830944 6.0549928550963386e-05,   14.765843940734865    64.317968894958497    16.571910614013671   -8.0466788558959959     1.574110336303711   -1.8900357551574707 -0.011347557067871094,   -37.173648040501  4.7793975001739959 -18.092797375412378 -11.354292229047436 0.49567369413051376 -1.3462093360653737 0.59427199176654288, 0.55238103866577148 0.061084181070327759  0.19416368007659912,0.49115580320358276  -0.489012211561203 0.50943046808242798  0.5100134015083313,-0.00060693209525197744   -0.069012664258480072    0.012635884806513786,-0.0019704722799360752   -0.99558418989181519   0.001888591330498457,  0.24622814357280731 -0.016861435025930405  0.066704802215099335 -0.016861435025930405   0.23534975945949554  0.029622258618474007  0.066704802215099335  0.029622258618474007    0.1805175393819809,    0.60872175258452899    -0.59283224057704587      1.0491992721624044     0.64691019073848111   -0.021087232144445522   -0.042502828256907321 -1.7763568394002505e-12,0.06412573903799057
IIWA_14,1714656497.1590228, 0.58455717468862844   1.2111567481886734 -0.16189435500449115  -1.3202077419415965  -1.0787974914607248   1.7884524413635543 -0.61467748670665334,  0.0099503032110730971 -0.00034975652639767377    -0.23248101757394835    -0.15180837408737752 -6.8914488601669809e-05    -0.13440890106013365  7.7202968912791346e-05,   13.212356788635255    63.548941314697267    14.493700538635254   -7.9633353729248046    1.2624576187133789   -1.8770194396972657 -0.010012550354003906, -36.74210730160695  4.6291444256438288 -17.608407572270004 -11.128675596390586 0.45772575066198407 -1.3739994388072678 0.64683594469363959,0.55236321687698364 0.06036192923784256 0.19424284994602203, 0.49090191721916199 -0.48874980211257935  0.50962448120117188   0.5103154182434082,-0.0012741984101012349  -0.084119848906993866   0.013400610536336899,-0.0019451718544587493   -0.99562042951583862  0.0018444051966071129,  0.24621866643428802 -0.016719454899430275  0.066746056079864502 -0.016719454899430275    0.2354821115732193  0.029433209449052811  0.066746056079864502  0.029433209449052811   0.18042968213558197,  0.60291793200040189  -0.58845939305740558    1.0409024194633076   0.64194446120868776 -0.020266098056609394 -0.044064429864931753                     0,0.077856540679931641
IIWA_14,1714656497.1640227, 0.58458719522442737   1.2111452433054934 -0.16391914964880716  -1.3216804833802698  -1.0787943277023897   1.7870291348487808 -0.61467640809317559,  0.0091610640008154675 -0.00074000054831468325    -0.26697659983179922     -0.1803563568168326  7.1418742522249727e-05    -0.16445938143904751  0.00010490691424048448,   11.743745590209961     63.75727320098877    12.219230003356934   -7.9619911231994633    1.4596615982055663   -1.5743066673278809 -0.010346302032470703,-36.304996430179983  4.4491304090542165 -17.143790562750066 -10.885210911996317 0.41884006357072545 -1.3906051209169528  0.7101125774060042, 0.55233627557754517 0.059555884450674057  0.19429744780063629,0.49067327380180359 -0.4884396493434906 0.50981849431991577 0.51063835620880127,-0.0021993811242282391  -0.099568963050842285   0.013067536987364292,-0.0019204025156795979   -0.99566388130187988  0.0017929797759279609,  0.24621976912021637 -0.016557350754737854  0.066785477101802826 -0.016557350754737854   0.23562686145305634   0.02922222763299942  0.066785477101802826   0.02922222763299942   0.18032456934452057,    0.5963387791378949   -0.58358238083755509     1.0316561205696573    0.63635755025348573  -0.019326552296305977  -0.045635095027307671 2.6645352591003757e-12,0.091795116662979126
