DesiredFlux,1,HitTime,1714657059.5798736,DesiredPos, 0.52581405639648438 -0.30064696073532104  0.19859473407268524
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714657058.997304, 0.57109008175338316   1.2352249067505991 -0.11888440990570197  -1.3473667519633503  -1.0562314836153339   1.8254805204695483 -0.54124307007934647, 0.00074810140462001093  -0.0017041130430013303  2.3418571925833764e-05 -1.0512175684991322e-05 -1.6365178467339939e-05 -0.00089253368409524664  3.6393513138628677e-05,  -1.5149071731567383    70.112681732177734    5.1390666999816892   -13.235482795715333    1.4693457221984862    -1.861666862487793 -0.053400268554687498,-0.18775474976448253  -6.9073042269396643 -0.86594903601038165   1.5092164112025872   -1.783050447685957 -0.15079527003505971  0.12550099778010293, 0.52796018123626709 0.059117443859577179  0.17436003684997559, 0.47696772217750549 -0.49527138471603394  0.50431030988693237  0.52237838506698608,0.00034129616688005626 0.00051277095917612314 0.00060745171504095197,-0.0039228512905538082    -1.0932986736297607   0.044404644519090652,  0.25427237153053284 -0.017240641638636589  0.061775542795658112 -0.017240641638636589   0.23551654815673828  0.031515512615442276  0.061775542795658112  0.031515512615442276   0.17287424206733704,    0.62139467179722629     -0.6167730487289802       1.107251423023925     0.65476682017617804   -0.067574006387793872    -0.10568525775855875 -2.6645352591003757e-12,0.0007906273240223527
IIWA_14,1714657059.0022793, 0.57109523494708281   1.2352166375987694 -0.11888440990570197  -1.3473667519633503  -1.0562312918036492    1.825477344624808 -0.54124289031043349, 0.00080460887168190467  -0.0016940565075898905  1.8734857540667014e-05 -8.4097405479930571e-06 -5.4196753835647043e-06 -0.00084106073688818288  3.6305567030018329e-05,  -1.5714911422729494    70.117825729370125    5.1296569519042965   -13.228761547088624    1.4684653472900391   -1.8623343658447264 -0.052065261840820311, -38.848342864444675    4.919697364300526  -22.302272648301749  -12.553233475017041 -0.91602675095109776  -3.3198611607641726  0.12513513191415127, 0.52796149253845215 0.059121139347553253  0.17436365783214569, 0.47696927189826965 -0.49527344107627869  0.50431209802627563   0.5223732590675354,0.00032529680174775422 0.00055806204909458756 0.00063082791166380048,-0.0039251819252967834    -1.0932989120483398   0.044392123818397522,  0.25427168607711792 -0.017240991815924644  0.061775878071784973 -0.017240991815924644   0.23551605641841888  0.031515922397375107  0.061775878071784973  0.031515922397375107   0.17287544906139374,    0.62140992219195113    -0.61678891087790788      1.1072710442974198     0.65478100262605921   -0.067570020239493545    -0.10566906955400412 -8.8817841970012523e-13,0.00082514731911942363
IIWA_14,1714657059.0072789, 0.57109948940530064   1.2352085482158526 -0.11888440990570197  -1.3473667519633503  -1.0562311959850732    1.825474468431284 -0.54124318985256636, 0.00081386542605887892  -0.0016788205227460642  1.4987886032533612e-05 -6.7277924383944464e-06 -5.0299726835075627e-07 -0.00078789633047115181   1.706276830899347e-05,  -1.6820870819091798    70.102393737792966    5.1310012016296387   -13.236827045440673    1.4711064720153808   -1.8730144195556639 -0.051731510162353514, -38.849789926785299   4.9206301238830745  -22.302734925167425  -12.554107025736485 -0.91569930249750153   -3.319531450533951  0.12481035011518206, 0.52796280384063721 0.059124641120433807  0.17436695098876953, 0.47697103023529053 -0.49527555704116821  0.50431376695632935  0.52236807346343994,0.00031332223443314433 0.00058655667817220092 0.00063617760315537453,-0.0039271009154617786     -1.093299388885498   0.044377990067005157,    0.254271000623703 -0.017241308465600014  0.061776202172040939 -0.017241308465600014   0.23551557958126068  0.031516268849372864  0.061776202172040939  0.031516268849372864   0.17287661135196686,    0.62142385254393417    -0.61680322060642112      1.1072883435909731     0.65479369470633486   -0.067566390560713785    -0.10565216160429713 -1.7763568394002505e-12,0.00084106106078252196
IIWA_14,1714657059.0122802, 0.57109547471168876   1.2352061514424573 -0.11889968971788779  -1.3473834100402298  -1.0562299496454544   1.8254551139297932 -0.54124324984825944,  0.0004905045963716321  -0.0014389273540091659 -0.00059920217860699417 -0.00067170530912871469  4.9451186939053421e-05  -0.0014044971240097332  1.1250386923985208e-05, -1.6923750762939453   69.891489852905281   5.3003766670227055  -12.939747856140137     1.45525972366333  -1.8276241912841797 -0.05106400680541992, -38.850237032366813   4.9213651239544074  -22.302738168431567  -12.554598557847298 -0.91544032469090342   -3.319355723556408   0.1245555240570837, 0.52796417474746704 0.059127658605575562  0.17437022924423218, 0.47697260975837708 -0.49527764320373535   0.5043150782585144  0.52236342430114746,0.00030405563302338123 0.00058982893824577332 0.00063984427833929658,-0.0039287037216126919    -1.0932996273040771   0.044364124536514282,  0.25427034497261047 -0.017241634428501129  0.061776541173458099 -0.017241634428501129   0.23551513254642487  0.031516570597887039  0.061776541173458099  0.031516570597887039   0.17287775874137878,   0.62143797682434609   -0.61681559039161726     1.1073046120566588    0.65480482515933858  -0.067563791921187999   -0.10563679299213646 1.7763568394002505e-12,0.00084245391190052032
IIWA_14,1714657059.0172796, 0.57096562559691577   1.2352972914451656 -0.11929121441116608  -1.3477580368920226  -1.0562168149956357   1.8250374037344981 -0.54124318985256636,-0.0048015609138220587  0.0024944582251278124  -0.016140349474017043  -0.015522438319014651 0.00056494694229800577  -0.017832005511012945 1.1400137262397735e-05,  6.1547926406860354   63.085981567382817   10.595376335144042  -6.4792836761474613   1.2413286209106444 -0.78131267929077153 -0.05106400680541992, -38.833864935423115   4.9139072182138941  -22.292239399643449  -12.545828353151247 -0.91791198110838201  -3.3190316651197582  0.12643841564795053, 0.52796369791030884 0.059117496013641357  0.17436932027339935, 0.47697275876998901 -0.49527639150619507  0.50431394577026367  0.52236557006835938,0.00022347588674165308 6.5384454501327127e-05 0.00047605842701159418,-0.0039303526282310486    -1.0932999849319458   0.044349014759063721,  0.25427058339118958 -0.017240151762962341  0.061776801943778992 -0.017240151762962341   0.23551662266254425  0.031513947993516922  0.061776801943778992  0.031513947993516922   0.17287653684616089,    0.62137665645334295    -0.61675269598815419      1.1072014052295742      0.6547372620149261   -0.067563025291761392    -0.10564175137961485 -8.8817841970012523e-13,0.00048432452604174614
IIWA_14,1714657059.022279, 0.57092865428737083   1.2352901009068136  -0.1197646512241482  -1.3480618969694655  -1.0562267858871193   1.8243362067992015 -0.54124271054152062,-0.0053201011128553265  0.0017079450460192342  -0.031849752098498427  -0.024572353752931146 5.3121894495227178e-05  -0.042313481820673453 2.8292551639613874e-05,    10.2056904296875   62.306665992736818   12.715258152008056  -6.3542684516906736   0.6453148078918457  -1.8803569564819336 -0.03537767791748047, -38.492904829014705   4.7553402742311484  -22.053772276622205  -12.362415863412386 -0.96740348160445988  -3.3074261972537751  0.16958112442449555, 0.52793842554092407 0.058838371187448502  0.17429603636264801, 0.47695082426071167 -0.49520096182823181  0.50428694486618042  0.52248311042785645,-0.00083473173435777426   -0.011113353073596954  -0.0025487672537565231,-0.0039320723153650761     -1.093300461769104   0.044335309416055679,   0.2542860209941864 -0.017197517678141594  0.061778422445058823 -0.017197517678141594   0.23555938899517059  0.031446926295757294  0.061778422445058823  0.031446926295757294   0.17282958328723907,   0.61961441145541585   -0.61509373687851365     1.1044398947168688    0.65298750389874982  -0.067510876029075462    -0.1060011204483402 2.6645352591003757e-12,0.010447947308421135
IIWA_14,1714657059.0272794, 0.57090234890305092   1.2352917787136402 -0.12041767161793579  -1.3485165784743058  -1.0562235261356754   1.8232125657902629 -0.54124259065921754,-0.0053082962630807999  0.0014334683098787175  -0.051600617430302344  -0.037845143195956638 0.00017288757335157356     -0.078796425814082 2.7429333435074023e-05,   12.643945098876953    61.905434211730963    13.829641174316405   -7.3893407402038571    1.3099978637695313   -1.1444345054626466 -0.040050201416015625, -38.316711214496983   4.7075544733227277  -21.890126893173452  -12.316436669400346 -0.97708265855133791  -3.2285121474836052  0.18236852305544329, 0.52799123525619507 0.058600578457117081  0.17424078285694122, 0.47700664401054382 -0.49518260359764099  0.50430482625961304  0.52243232727050781, 0.0014401524094864726  -0.018404385074973106 -0.0042440574616193771,-0.0039339060895144939      -1.09330153465271   0.044321712106466293,  0.25428301095962524 -0.017151255160570145  0.061792336404323578 -0.017151255160570145   0.23559620976448059   0.03137177973985672  0.061792336404323578   0.03137177973985672   0.17280714213848114,  0.61775395817331713  -0.61339860623554898    1.1014314884540966   0.65120829391851487 -0.067307643515590598  -0.10576086828795184                     0,0.017310863360762596
IIWA_14,1714657059.0322821, 0.57087933913669109   1.2352847679442009  -0.1212723865143239  -1.3491989003282405  -1.0562239095845121   1.8217475543057637 -0.54124259065921754,-0.0051670276648577282 0.00086634387033463281  -0.075469089799766242  -0.057568988714152766 0.00012297210521394959   -0.12163760003123276 2.1943466748059219e-05,  14.272020210266113   61.465622451782231   13.328236026763916  -7.4619302253723143   1.0018666458129883  -1.0863617134094239 -0.03537767791748047,-38.107284051742553  4.6203942273941054 -21.714225899074645 -12.254600701346851  -0.999848309396839 -3.0929991878028043 0.20813077182298517, 0.52806556224822998 0.058275483548641205  0.17412321269512177, 0.47714710235595703 -0.49515509605407715  0.50431227684020996   0.5223228931427002,0.0041128294542431831 -0.027731135487556458 -0.008085915818810463,-0.0039332807064056396    -1.0933184623718262   0.044326156377792358,  0.25428515672683716 -0.017080770805478096  0.061807744204998016 -0.017080770805478096   0.23564684391021729  0.031261764466762543  0.061807744204998016  0.031261764466762543   0.17277182638645172,  0.61495001469058508  -0.61096266240312502    1.0970079526648746   0.64861623876666386 -0.066987106594140755  -0.10517627280393071                     0,0.026663960888981819
IIWA_14,1714657059.0373051, 0.57086435886663811   1.2352833897885904 -0.12234779098606044  -1.3500881896516952  -1.0562277445964774   1.8198965307504287 -0.54124169181465276,-0.0047328329340052926 0.00063794887184687459   -0.10339145070927463  -0.081626763909508904 -5.502279444184864e-05   -0.17135102223838872 5.3508555989583396e-05,  14.534364067077638   61.231570579528814   12.639980167388916  -5.9093217926025394  0.80994491577148431  -1.2068460693359375 -0.04372146987915039,-37.837879966711476  4.4928313784265566 -21.493474316751335 -12.148860137495355 -1.0336570166411012  -2.940896520344896 0.25039065656728016, 0.52813774347305298 0.057840790599584579  0.17396800220012665, 0.47733622789382935 -0.49508967995643616   0.5043179988861084  0.52220654487609863,0.0061557963490486145 -0.039579685777425766 -0.012653052806854248,-0.0039021591655910015    -1.0933208465576172   0.044633194804191589,  0.25429615378379822 -0.016984716057777405  0.061822768300771713 -0.016984716057777405   0.23571528494358063  0.031116697937250137  0.061822768300771713  0.031116697937250137   0.17271718382835388,  0.61113536543011548  -0.60775607178076285    1.0911243171385365   0.64515187492375503 -0.066529691738814734  -0.10447573388017162                     0,0.03838711604475975
IIWA_14,1714657059.0423076, 0.57084853974771343   1.2352786560193267 -0.12365640842502697  -1.3511012761607417   -1.056227169335956   1.8175728495625394 -0.54124079307917106, -0.0044190311041912705  0.00032100832693000793    -0.13505785812608084    -0.10582487148946806 -2.1007814695862405e-05    -0.23002806530628225  7.8756264059766514e-05,  14.616668022155762   61.151838623046878    13.00964884185791  -5.8461420555114749  0.94200115203857415  -1.3156491165161133 -0.03637893295288086,-37.524164697964835  4.3226745210591568 -21.241238184326775 -12.012530129338968 -1.0781892769157069 -2.7587921549633743 0.30553084017243914, 0.52821862697601318 0.057294532656669617  0.17376582324504852,  0.4775824248790741 -0.49499163031578064  0.50432538986206055  0.52206724882125854,0.0081187793985009193 -0.053526543080806732 -0.018166489899158478,-0.0040122801437973976    -1.0933306217193604   0.044881418347358704,  0.25431433320045471 -0.016861379146575928  0.061838783323764801 -0.016861379146575928   0.23580177128314972   0.03093365952372551  0.061838783323764801   0.03093365952372551   0.17264431715011597,   0.60625072342457287   -0.60372784262696655      1.083673552360942    0.64077458965350331  -0.065920974699373858   -0.10359995972475389 2.6645352591003757e-12,0.052183423191308975
