DesiredFlux,1.04,HitTime,1714657238.7248414,DesiredPos,0.51995968818664551 -0.3101765513420105  0.1987868994474411
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714657238.1759481, 0.59949317413784797   1.1070950268119946 -0.16336068475799101  -1.5274647251507802  -1.0779360653588472   1.6896801973938598 -0.50799481540964542, 1.1063955428795673e-06  -0.0014047840320350706 -0.00015948249789774169 -0.00044460531938146533 -3.3608465512644531e-06   1.082960475890186e-06   3.853603462935048e-06,-0.86419152832031254    66.57618366241455   6.2897444648742677  -12.229984001159668   1.4807905960083008  -2.0111876144409178 0.048727745056152343, -1.4226251450998206  0.88877319855383241  0.29686565119566605  0.57502248299855108   1.2332018761337582 0.031259947351745171 -0.52488492095888828, 0.51429212093353271 0.035718470811843872   0.2033068835735321, 0.50657123327255249 -0.49251586198806763  0.51287811994552612  0.48761638998985291, 4.3151259887963533e-05 -2.9054746846668422e-05     0.00069763622013852,  0.002564300550147891    -1.1391103267669678 -0.0020423862151801586, 0.25657105445861816 -0.01032545417547226 0.061225995421409607 -0.01032545417547226  0.23825693130493164  0.02280978299677372 0.061225995421409607  0.02280978299677372  0.17096878588199615,  0.36349636214527692  -0.45667387439962681   0.75758336421660744   0.40640948459724768 0.0075233447844880175  0.039010468257494324                     0,0.00063870294252410531
IIWA_14,1714657238.180944, 0.59949317413784797   1.1070922106141634 -0.16336128406042291  -1.5274647251507802  -1.0779359695402713   1.6896801973938598 -0.50799481540964542, 8.8511643430365391e-07  -0.0012364751388743342 -0.00015155809559430817  -0.0003556842555051723   1.144065797489445e-06  8.6636838071214882e-07  3.0828827703480388e-06,-0.90019950866699228   66.625051635742196   6.2682364692687988  -12.216541503906249   1.4737475967407225  -2.0121888694763181 0.049061496734619139,  -43.06397751887711   7.5168608654751692  -27.974156669456764  -16.706222264591034   2.3490867396658608   1.2519837188333738 -0.52487025574287949, 0.51429265737533569 0.035718560218811035  0.20330852270126343, 0.50657075643539429 -0.49251699447631836  0.51287853717803955  0.48761531710624695, 5.4924381402088329e-05 -1.9633924239315093e-05  0.00062383175827562809, 0.0025649925228208303    -1.1391103267669678 -0.0020437065977603197,  0.25657066702842712 -0.010325615294277668  0.061226248741149902 -0.010325615294277668   0.23825687170028687  0.022809835150837898  0.061226248741149902  0.022809835150837898   0.17096923291683197,   0.3635022122878695  -0.45667521140213552   0.75758773655731915   0.40641088214066201 0.0075220750650473178  0.039012364487334139                     0,0.0005720360204577446
IIWA_14,1714657238.1859257, 0.59949305436462796   1.1070902930427309 -0.16336212290929464  -1.5274646052684773  -1.0779359695402713   1.6896803172761627 -0.50799487529625542,-4.0828356529037819e-06  -0.0010658829684006815 -0.00015480043134448321 -0.00027975211228519582  9.1525263799155601e-07  5.4883868235117485e-06  7.0841816105078554e-08,-0.89248351287841798   66.645627624511718   6.2588267211914062  -12.213853004455567   1.4763887214660645  -2.0111876144409178 0.050730255126953124, -43.064218150854828   7.5157014371825577  -27.974788890870865  -16.706061510218696   2.3488343728535783   1.2525008658128238 -0.52481291519414885, 0.51429301500320435 0.035718601197004318  0.20330990850925446, 0.50657027959823608 -0.49251803755760193  0.51287877559661865  0.48761445283889771,6.0026934079360217e-05 -1.406756928190589e-05 0.00055432034423574805, 0.0025654186028987169    -1.1391100883483887 -0.0020449510775506496,  0.25657033920288086 -0.010325754061341286  0.061226468533277512 -0.010325754061341286   0.23825682699680328  0.022809868678450584  0.061226468533277512  0.022809868678450584   0.17096960544586182,  0.36350727298462004  -0.45667608868082965   0.75759115708606828   0.40641188014767238 0.0075207241474473108  0.039013785722907812                     0,0.0005092093488201499
IIWA_14,1714657238.1909442, 0.59948658279284472   1.1070919109629473 -0.16337973971734887  -1.5274817427654857  -1.0779337644912943   1.6896855902430823 -0.50799487529625542,-0.00026212913985191341 -0.00078798956606182947 -0.00082851266724489508 -0.00090930157016332861  8.8934161189053044e-05  0.00021530938624061106  5.6673452884062845e-08,-0.78188757324218749   66.573611663818369   6.4900376739501953  -11.940970310211181   1.4561400985717774  -2.0285427017211912 0.050396503448486327, -43.064164074744681    7.514462462196807  -27.975112418665628  -16.705662633937472   2.3485628218443191   1.2528727177828169 -0.52469445119256453,   0.514293372631073 0.035718444734811783  0.20331098139286041, 0.50656974315643311 -0.49251878261566162  0.51287907361984253   0.4876139760017395, 6.2291102949529886e-05 -1.7595164536032826e-05  0.00048677410813979805, 0.0025655070785433054    -1.1391102075576782 -0.0020460367668420076,  0.25657007098197937 -0.010325846262276173  0.061226651072502136 -0.010325846262276173   0.23825681209564209  0.022809857502579689  0.061226651072502136  0.022809857502579689    0.1709698885679245,    0.36351055249284059    -0.45667588447706464     0.75759253146490124     0.40641195931367946   0.0075196590394455143    0.039013889122863077 -1.7763568394002505e-12,0.00044833161518909037
IIWA_14,1714657238.1959448,  0.5993459479796267    1.107133915692972 -0.16383466087771198  -1.5278791995056424  -1.0779000168048776   1.6897850593933135 -0.50799523483408138, -0.0058350958406023822   0.0010497975481382059   -0.018859656548320263   -0.016625710862402162   0.0014210547856204285   0.0041510135182396702 -1.4336174275923514e-05, 6.9006722335815436  63.317461441040045  12.928993858337403  -5.303065166473389   1.070535888671875 -2.6923747901916504 0.07809789276123047, -43.045810101315716   7.5072217287215564  -27.959730297849834  -16.693193500936843   2.3450216980087482    1.247053488015345 -0.52270674404829298, 0.51428854465484619 0.035705402493476868  0.20331369340419769, 0.50655996799468994 -0.49251577258110046     0.51287841796875  0.48762780427932739, -0.0001437065948266536 -0.00053579348605126143  0.00049745599972084165,0.0025654972996562719   -1.1391100883483887 -0.002046964829787612,  0.25657045841217041 -0.010324988514184952  0.061226744204759598 -0.010324988514184952   0.23825812339782715  0.022807635366916656  0.061226744204759598  0.022807635366916656   0.17096820473670959,    0.36347634283906416    -0.45662206161889429     0.75751621474573483     0.40636126700999142   0.0075078436179154551    0.038955018788477958 -1.7763568394002505e-12,0.00068027724046260118
IIWA_14,1714657238.2009444, 0.59928626655493789   1.1071194147339649 -0.16434009557545246  -1.5282095447363182   -1.077900592065399   1.6898033352813264 -0.50799445587181957,-0.0070553336600346168 0.00025979967822559137  -0.035305113148275231  -0.026514377916952367  0.0011138334076387262  0.0040518463351098561 1.9689551051455179e-05,   12.80083701324463   61.787122276306157   16.149816200256346  -4.3432708625793461  0.72983079910278315  -2.6943773002624511 0.049395248413085936,-42.611264361012488  7.3861608183753473 -27.564125744771207  -16.42465682990812   2.277508788738698  1.1013058465995123 -0.4867590359039623, 0.51418584585189819 0.035391643643379211  0.20338262617588043, 0.50632643699645996 -0.49244090914726257  0.51287847757339478  0.48794588446617126,-0.0042276307940483093   -0.01297642569988966  0.0031580249778926373, 0.0025655622594058514    -1.1391102075576782 -0.0020477729849517345,   0.2565770149230957 -0.010302197188138962   0.06123124435544014 -0.010302197188138962   0.23829053342342377  0.022752135992050171   0.06123124435544014  0.022752135992050171   0.17093008756637573,   0.36257504707304378   -0.45529404461763789    0.75558272763576184    0.40510840637519863  0.0072741479320015401   0.037565645608417242 2.6645352591003757e-12,0.012789311818778515
IIWA_14,1714657238.2059686, 0.59926649251992814   1.1071168381916567 -0.16495836177326048  -1.5286684207036831  -1.0779017425864421   1.6898622976303634 -0.50799373679616777,-0.0064352283284175053 0.00010477805025348419  -0.052974738430941234  -0.039566541028159319 0.00084504588438686625  0.0055999710295685755  4.451466691318478e-05,  14.930451850891114   62.548433860778815   15.926670745849609  -5.2237544326782226  0.98601989746093743  -2.6092706222534181 0.057739040374755857, -42.339476761604026   7.3421925749575214  -27.259774585472098  -16.277442327528355   2.2503573441421421   1.0021742989542346 -0.47366601198721703, 0.51412981748580933 0.035121206194162369  0.20348203182220459, 0.50611275434494019 -0.49238434433937073  0.51292544603347778  0.48817521333694458,-0.0056294966489076614  -0.021194195374846458  0.0065089934505522251, 0.0025655517820268869    -1.1391106843948364 -0.0020483797416090965,  0.25656962394714355 -0.010278712958097458  0.061244890093803406 -0.010278712958097458   0.23832054436206818   0.02269844152033329  0.061244890093803406   0.02269844152033329   0.17090827226638794,   0.36165727268144821   -0.45406657564850406    0.75366873674287405    0.40393809838157324   0.007180323305711056   0.036426767285213657 1.7763568394002505e-12,0.020883882418274879
IIWA_14,1714657238.2109447, 0.59926517425092751   1.1071178568094413 -0.16574476655530401  -1.5293184450216435  -1.0778928263974252   1.6899494829351529 -0.50799427610290659,-0.0052009134227591035  0.0001245671515853883  -0.073835982026494246  -0.057654205540941521  0.0010326842681848201  0.0079673890152333025 1.4039463977642574e-05,  14.367184158325196   62.545861862182619   14.289374580383301  -5.9052890434265137  0.90238428115844727  -2.5138176422119138 0.073759120941162104, -42.063610607421445   7.2727654729683335  -26.935149210636588  -16.096388938855135   2.2170211597262228  0.88086280816718232 -0.44824866424535204, 0.51403564214706421 0.034805402159690857  0.20359969139099121, 0.50585639476776123 -0.49227657914161682  0.51299142837524414  0.48848015069961548,-0.0082821706309914589  -0.029579056426882744  0.0099261412397027016, 0.0025698840618133545    -1.1391240358352661 -0.0020513213239610195,  0.25656837224960327 -0.010247013531625271  0.061255995184183121 -0.010247013531625271   0.23835763335227966  0.022635409608483315  0.061255995184183121  0.022635409608483315   0.17087344825267792,  0.36042930836455156  -0.45265186802101454     0.751326528900087   0.40255160770108489 0.0071505279182204617  0.034963653265940309                     0,0.029470851644873619
IIWA_14,1714657238.2159443, 0.59925738451922661   1.1071154000403531 -0.16677852583484182  -1.5301854437634734  -1.0778955108883479   1.6900931738198912 -0.50799373679616777,-0.0044723200062433775 1.3829577416684378e-06   -0.10041915680270759  -0.080803314105950763 0.00071876777764119909   0.012121546601719133 3.2803840735019313e-05,  13.783340476989746   61.748542297363286   13.715379947662354  -5.7829623184204104  0.72102705001831058  -2.3729744338989258 0.071756610870361323, -41.725564659206725   7.1668868955645548  -26.544836504958148  -15.852867556594568   2.1683238635323612  0.72524413426407142 -0.40745856500870653, 0.51388955116271973 0.034402325749397278  0.20374324917793274, 0.50553607940673828 -0.49211394786834717  0.51306897401809692   0.4888940155506134,-0.012491197325289249 -0.039770558476448059  0.013707057572901249, 0.0026651292573660612    -1.1391363143920898 -0.0021213267464190722,  0.25657400488853455 -0.010204154066741467  0.061265271157026291 -0.010204154066741467   0.23840577900409698  0.022554788738489151  0.061265271157026291  0.022554788738489151   0.17082118988037109,  0.35877610838497276  -0.45085642571329743   0.74828257956749411   0.40076287319212867 0.0071391431282208373  0.033043317166026043                     0,0.040061429142951965
IIWA_14,1714657238.2209446, 0.59924018713560823   1.1071152801580502 -0.16804268177469531  -1.5312301686194523  -1.0778944561858808   1.6903283042494706 -0.50799331737173181, -0.0042657513497300469 -3.6889259256072789e-06    -0.13090156303630568    -0.10643164552391422  0.00061720232079857311    0.019102454464549085  4.3020050026419569e-05,  13.729328506469727   61.478482444763188   14.765238983154298  -4.8648397560119632  0.89974315643310543  -2.7307562332153319 0.071756610870361323,-41.276342439267374   7.031408114442848 -26.030590318934024 -15.533953873446343  2.1083894987731315 0.51449166622645137 -0.3558845198792604, 0.51369327306747437 0.033867523074150085  0.20394054055213928, 0.50510430335998535 -0.49189254641532898  0.51317602396011353  0.48945042490959167,-0.017879324033856392 -0.053179323673248291  0.018901536241173744, 0.0027333586476743221    -1.1391514539718628 -0.0022013320121914148,  0.25658214092254639 -0.010147854685783386  0.061276946216821671 -0.010147854685783386   0.23846906423568726   0.02244952879846096  0.061276946216821671   0.02244952879846096   0.17075163125991821,  0.35660631975176216  -0.44850860615586186   0.74430676965597797   0.39842165589121237 0.0071328834234662963  0.030460076364313693                     0,0.05404740571975708
