DesiredFlux,0.58,HitTime,1714648632.0212989,DesiredPos,  0.5442846417427063 -0.32437980175018311  0.19895939528942108
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_14,1714648631.2831447, 0.59038402468241846   1.1100557895015268 -0.16404120903187921  -1.4626511606690877  -1.0597688432903816    1.707678405922719 -0.59658622060365318,-4.3005234288308034e-06 -6.5274678609459059e-06  -0.0022819651992998574  0.00015455093477110114  6.3508528236620148e-06 -8.2446901272455677e-05 -2.7128485286019325e-08,-0.2880638427734375  67.713007041931149   6.280334716796875  -13.66698695755005  1.4033176040649413 -2.1760609436035154 0.21627108764648437,-4.6408549544043813  1.3572313602590851 -3.2115832248472427  1.8705501977164098 -1.4177709667920162 -1.0212999320793874  1.3608031793611373, 0.52919423580169678 0.043192368000745773  0.20974421501159668,0.51534312963485718 -0.4947226345539093 0.49218854308128357 0.49741473793983459, 0.00027121792663820088 -0.00067696330370381474  0.00048909190809354186,   0.01130399014800787   -0.63482344150543213 -0.0080759134143590927, 0.25022470951080322 -0.01418142206966877 0.064779065549373627 -0.01418142206966877  0.23696312308311462 0.024213286116719246 0.064779065549373627 0.024213286116719246  0.17803469300270081,   0.50493658751538106   -0.48365341055589539    0.86711719604082305    0.46782994329230831  -0.046059508522766635   0.050009197368972025 1.7763568394002505e-12,0.00080206978600472212
IIWA_14,1714648631.2881322, 0.59038414456472144   1.1100557895015268 -0.16405541033967039  -1.4626508610178719  -1.0597688432903816    1.707678405922719 -0.59658610083043317, 1.3548733758773864e-06 -5.2219742887567249e-06   -0.002393624471086802  0.00013562679645049745   5.080682258929612e-06  -6.595752101796455e-05    4.76922601211789e-06,-0.29320783996582034   67.695003051757823   6.3085639610290531  -13.679085205078126   1.4041979789733887  -2.1740584335327147   0.2139348258972168,-4.6385394067841474   1.357870228999061  -3.208533790189664  1.8715528836374538 -1.4178746512937244 -1.0224982637232591  1.3605024999237754, 0.52919566631317139 0.043188098818063736  0.20974704623222351, 0.51533806324005127 -0.49472358822822571  0.49219107627868652  0.49741652607917786,0.00027428762405179441 -0.0007123140967451036 0.00050450995331630111,  0.011303150095045567   -0.63482338190078735 -0.0080781420692801476,  0.25022369623184204 -0.014181053265929222  0.064779818058013916 -0.014181053265929222   0.23696371912956238  0.024212276563048363  0.064779818058013916  0.024212276563048363   0.17803509533405304,   0.50492090397202816   -0.48363080475599673    0.86708057526241333     0.4678110636726629  -0.046059665377740089    0.04999127367888434 1.7763568394002505e-12,0.00083574542077258229
IIWA_14,1714648631.2931328, 0.59038414456472144   1.1100556697283068 -0.16406907234072268  -1.4626508610178719  -1.0597690351020665   1.7076780463848931 -0.59658604083474021, 1.0838987007019092e-06 -8.9685082313520867e-06  -0.0024613796189612317  0.00010850143716039797 -3.6079215920453419e-06 -6.7147529852602399e-05  6.2152085284629889e-06,-0.28034784698486331   67.692431053161627   6.3287277069091799  -13.696560451507569   1.4059587287902833  -2.1730571784973143  0.21293357086181641, -24.441626818756127   3.3035756544705737  -16.787491506809555  -7.9883271049484339 -0.26410053998316974   1.3621045046857907   1.3602294224519489, 0.52919703722000122 0.043183270841836929  0.20975024998188019, 0.51533234119415283 -0.49472445249557495  0.49219375848770142  0.49741894006729126, 0.00027338776271790266 -0.00076292845187708735  0.00053128378931432962,  0.011303151957690716   -0.63482356071472168 -0.0080781430006027222,   0.2502225935459137 -0.014180648140609264  0.064780630171298981 -0.014180648140609264    0.2369643896818161  0.024211162701249123  0.064780630171298981  0.024211162701249123   0.17803549766540527,  0.50490362905275532  -0.48360578279282862   0.86704008717841674   0.46779005221253556 -0.046060121756674732  0.049970148619848942                     0,0.00088515278184786439
IIWA_14,1714648631.2981343, 0.59037935090884774   1.1100566284594815 -0.16409471853600072  -1.4626623059053587  -1.0597666382414046   1.7076890719570272 -0.59658592106152031,-0.00019087911598710355  3.1174440401786813e-05  -0.0029949515062903465 -0.00037099434974501629   9.298808920421255e-05   0.0003873048614847666  9.7630956186762048e-06,-0.18775589752197266   67.658995071411141   6.5196111679077147  -13.537938983917236    1.378667106628418  -2.2017598228454589   0.2142685775756836, -24.439235955512256   3.3037475303463539  -16.783034285904456  -7.9876540291098905 -0.26409090288118442   1.3603686950787286   1.3595755106683651, 0.52919983863830566 0.043173734098672867  0.20975674688816071, 0.51532077789306641 -0.49472609162330627  0.49219956994056702  0.49742352962493896, 0.00027572389808483422 -0.00080261065158993006  0.00055793806677684188,  0.01130245253443718  -0.63482379913330078 -0.008080529049038887,  0.25022149085998535 -0.014180234633386135  0.064781464636325836 -0.014180234633386135   0.23696506023406982  0.024210052564740181  0.064781464636325836  0.024210052564740181    0.1780359297990799, 0.50488606859655505 -0.48358096471812217  0.86699949311608293  0.46776928038827492 -0.04606007150087521 0.049948471071203926                    0,0.00092769635375589132
IIWA_14,1714648631.3031194, 0.59027041432917227   1.1100629201532688  -0.1644576008490907  -1.4629063646758098  -1.0597375884577358   1.7078959196533272 -0.59658574129260733,-0.0045101664798088111 0.00027660730381330915  -0.016911253728631455  -0.010059146297839343  0.0012363818181153595  0.0085837517411866977 1.5001233014056346e-05, 5.8435808105468752  65.933184013366699   11.43822091293335 -8.5964769935607919 0.96489089965820307 -3.3194941940307618 0.30338027572631837, -24.439235955512256   3.3037475303463539  -16.783034285904456  -7.9876540291098905 -0.26409090288118442   1.3603686950787286   1.3595755106683651, 0.52919983863830566 0.043173734098672867  0.20975674688816071, 0.51532077789306641 -0.49472609162330627  0.49219956994056702  0.49742352962493896, 0.00027587189106270671 -0.00083127210382372141   0.0005733806174248457,  0.011301998980343342   -0.63482391834259033 -0.0080833388492465019,  0.25022041797637939 -0.014179816469550133  0.064782261848449707 -0.014179816469550133   0.23696573078632355  0.024208962917327881  0.064782261848449707  0.024208962917327881   0.17803633213043213,   0.50486835421370557   -0.48355653522680342    0.86695951577997477    0.46774861190179706  -0.046059832937039857    0.04992797983049968 2.6645352591003757e-12,0.00095620920183137059
IIWA_14,1714648631.3081334, 0.59022643214110504    1.110044464496343 -0.16489892000409453  -1.4630638973305132   -1.059736246299541   1.7080036578463051 -0.59658346429243192,  -0.005367420706536106 -0.00051694043398214679   -0.031181769183058712   -0.014348623226408209   0.0010427917822845227     0.01117652911206677  0.00010308099342765369, 10.360010345458985  65.141008445739743  14.367341064453125 -9.6799422721862793  1.0150722694396972 -2.5345102462768554 0.16954585266113281, -24.424471388084203   3.3004307378174564  -16.768905556130001  -7.9788381790009471 -0.26608935673182837   1.3536275512569855   1.3602839260815895, 0.52919685840606689 0.043159902095794678  0.20976288616657257, 0.51530569791793823 -0.49472504854202271  0.49220186471939087  0.49743795394897461, 0.0001034127053571865 -0.0012182932114228606 0.00070443580625578761,  0.011301588267087936   -0.63482403755187988 -0.0080862594768404961,  0.25021952390670776 -0.014178995043039322  0.064783193171024323 -0.014178995043039322   0.23696741461753845  0.024206709116697311  0.064783193171024323  0.024206709116697311   0.17803557217121124,    0.50483196222117499     -0.4835012370980607     0.86687733846879667     0.46769924293510456   -0.046068857693981613    0.049853061580229507 -1.7763568394002505e-12,0.0012889134231954813
IIWA_14,1714648631.3131633, 0.59019772998338982   1.1100440449628239 -0.16547631997196557   -1.463350200486512  -1.0597326030992604    1.708230279468532 -0.59657795156090643, -0.0054420228738377386 -0.00043033368794715776   -0.048041414061288548   -0.022931024821076857  0.00097996143705031923    0.018006088178727959  0.00030297405576180865, 13.472128646850587  66.496451705932614  15.294873374938964 -10.182691669464111  1.2941511154174805 -3.1893310394287111 0.19090596008300781, -24.089358725036661   3.2450912138758894   -16.44723983230346  -7.7982840221188896 -0.29952656158784574   1.2204306745234659   1.3744059606853511,0.52912682294845581 0.04292665421962738 0.20985506474971771,  0.5150686502456665 -0.49469363689422607  0.49221840500831604  0.49769824743270874,-0.0027213694993406534  -0.010302260518074036  0.0042522805742919445,  0.011301048099994659   -0.63482433557510376 -0.0080890282988548279,  0.25021341443061829 -0.014166154898703098  0.064793579280376434 -0.014166154898703098    0.2369941920042038  0.024172451347112656  0.064793579280376434  0.024172451347112656    0.1780163049697876,  0.50426118671165199  -0.48263007106719158   0.86563124816141368   0.46689971948676856 -0.046238295126954654   0.04859709719973182                     0,0.010479346849024296
IIWA_14,1714648631.3181727, 0.59018256994442397   1.1100453632318246 -0.16621664544376258  -1.4637748614555532   -1.059729726796653   1.7084526468507069 -0.59657837098534228, -0.004960019857703976  -0.000291536190332627  -0.068046150120911003  -0.035331258618511774 0.00089902125393721973   0.023299565829976304 0.00022560226717548371,14.881583877563477 66.378139770507815 14.961499443054199 -9.808990245819091 1.0960667610168457  -2.92166219329834 0.2336261749267578, -23.608007521841671   3.2171697875237197  -15.857039956354049   -7.570377529017275 -0.31893614456052516   1.0040532579188723   1.3768632950959558,  0.5290457010269165 0.042447425425052643  0.21011796593666077,0.51453053951263428 -0.4946245551109314  0.4923710823059082 0.49817222356796265,-0.0048599629662930965  -0.024099526926875114   0.012326897121965885,  0.011307956650853157   -0.63483041524887085 -0.0080969752743840218,  0.25019186735153198 -0.014151143841445446   0.06481286883354187 -0.014151143841445446   0.23702016472816467  0.024135453626513481   0.06481286883354187  0.024135453626513481    0.1780126690864563,    0.50361694771350329    -0.48175510967762847     0.86425941780365889     0.46611108321936712   -0.046292252752877516    0.047557775018525206 -2.6645352591003757e-12,0.025120364502072334
IIWA_14,1714648631.3231626, 0.59017837548189911   1.1100418878449516 -0.16715069591754625  -1.4643032459239604   -1.059729726796653   1.7087695696267702 -0.59657867063655823, -0.0041357943871577676 -0.00037224442718422656   -0.091798939048075637   -0.049400385631097207  0.00071921700314977587    0.031316563706513922  0.00016849576510232956, 15.033331794738771  65.812300079345704  14.335079071044921 -9.4366330718994149 0.86716928482055666 -2.7487788238525392 0.24797749710083009, -23.293634860988849   3.1592549190106918  -15.478986576853266  -7.3845305780803292 -0.34235036316408107  0.85699026893576435   1.3952327344881945, 0.52895361185073853 0.042098145931959152  0.21028769016265869, 0.51416373252868652 -0.49452877044677734  0.49247318506240845  0.49854502081871033,-0.0048599629662930965  -0.024099526926875114   0.012326897121965885,  0.011445251293480396   -0.63483220338821411 -0.0082270195707678795,  0.25017502903938293 -0.014128981158137321  0.064831890165805817 -0.014128981158137321   0.23705580830574036  0.024089813232421875  0.064831890165805817  0.024089813232421875   0.17799539864063263,   0.50267745471810343    -0.4806789272810974    0.86247199728628487    0.46510439947677895  -0.046310238290381278   0.045993370513031095 3.5527136788005009e-12,0.025120038539171219
IIWA_14,1714648631.3281415, 0.59016962690994035   1.1100432660005621 -0.16828602146949459  -1.4649300209291212   -1.059729726796653   1.7091522858614798 -0.59657855075425525, -0.0036585783880766541 -0.00024266931732654958    -0.11885217331639414    -0.06459130871130693  0.00057537360251982072     0.04036190035359697  0.00013959190420080567, 13.837352447509767  66.213531860351566  14.595863517761231 -8.7510657119750981  1.0494068908691405 -3.0534941062927246 0.24030120849609374,-22.926447712996076  3.1014061495828402 -15.021427059828016 -7.1656269677161735 -0.3671559760386911 0.66802515642134286   1.414578650071425, 0.52883565425872803 0.041667375713586807  0.21051281690597534, 0.51369118690490723 -0.49440443515777588   0.4926108717918396  0.49901920557022095,-0.010813049040734768 -0.043790638446807861  0.022365650162100792,  0.011521419510245323   -0.63483738899230957 -0.0083595924079418182,  0.25016018748283386 -0.014095617458224297  0.064852960407733917 -0.014095617458224297   0.23710256814956665  0.024028491228818893  0.064852960407733917  0.024028491228818893   0.17796637117862701,   0.5012931068630877  -0.47925541506277369   0.86001251822942493   0.46373027570734138 -0.046280646293972438  0.044077382042928548                     0,0.045985162258148193
