DesiredFlux,0.79,HitTime,1714649603.9588952,DesiredPos,  0.568764328956604 0.30845910310745239 0.21988174319267273
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714649603.3744428,-0.45854820304000099   1.1039260382705516 0.016824773167278279  -1.3021855649152028  -1.9275663186462619  -1.8292693931290158 -0.89811908638489713,-7.1317040879807337e-06   0.0015306427395294032  3.4670145076617324e-06   0.0033042841747865414  4.3069597034497961e-05 -1.2286865765694554e-05  6.9279300052783482e-06,0.14652322006225585  64.701427780151363 -2.0275034141540527  -16.54840715408325  -1.716731071472168   1.710477352142334 -0.2573225440979004, 0.13140291608528384  0.39001320661616512   1.4311645127317061 -0.58545611749343462  0.14296598025954693  -1.1709944077716274  0.78026408329137187,  0.56733411550521851 -0.040165126323699951   0.21807591617107391, -0.71533715724945068 0.0004341958265285939 -0.010299735702574253   0.69870346784591675,  0.0007968390709720552 -0.00039802244282327592 -0.00019984354730695486,0.00014714364078827202    0.86277294158935547 0.00018458253180142492,  0.24509625136852264  0.026402756571769714  0.067299589514732361  0.026402756571769714   0.23029385507106781 -0.021150855347514153  0.067299589514732361 -0.021150855347514153   0.19080020487308502,   -0.99571813426013733    -0.35325522302454004     -1.0797736430943061     0.65908772718437092     0.46102164834849191   -0.065383548174757777 -5.5524136399753843e-06,0.00083586160326376557
IIWA_7,1714649603.3794467,-0.45854844280460694   1.1039337081199494 0.016824833053888238  -1.3021722025653664    -1.92756612700911   -1.829269213360103 -0.89811896661167723,-1.5295947508268644e-05   0.0015313081675362341  5.1690760044986262e-06   0.0031779213332851866  4.2121163704600384e-05 -2.6387360978811529e-06  1.0333272800128493e-05, 0.15458871841430663    64.69067378234864  -2.0345464134216309  -16.551928653717042  -1.7184918212890625   1.7088085937499999 -0.25832379913330078, 0.13080194606352333  0.38800018798714969   1.4314637069196789 -0.58454518917368825   0.1435523905409708  -1.1715409896438511   0.7803144961567674,  0.56733739376068115 -0.040166698396205902   0.21807441115379333,  -0.71533805131912231 0.00043211368029005826  -0.010302147828042507    0.69870251417160034, 0.00076848349999636412 -0.00038133631460368633  -0.0002196917193941772,0.00014670485688839108    0.86277282238006592 0.00018463753804098815,  0.24509549140930176  0.026402952149510384  0.067299999296665192  0.026402952149510384   0.23029346764087677 -0.021150844171643257  0.067299999296665192 -0.021150844171643257   0.19080090522766113,    -0.9957288123141339     -0.3532561043027016     -1.0797759672840357     0.65910519143397295     0.46102405497094878   -0.065389759864586949 -5.5534004061996711e-06,0.00081088184379041195
IIWA_7,1714649603.3844426,-0.45854844280460694   1.1039408387716916 0.016824773167278279  -1.3021594392997957    -1.92756612700911  -1.8292693931290158 -0.89811908638489713,-1.2236758006614917e-05   0.0015102726037162706  1.7397964052296605e-06   0.0030528676894540606  3.3696930963680309e-05 -9.3017453929794121e-06  3.4756894441969808e-06,0.15727721786499024   64.69336228179931 -2.0213407897949218 -16.556330528259277 -1.7149703216552734  1.7064723320007325 -0.2573225440979004,  24.885355681087795    3.475281074059974   16.566010500549528   -7.001814749857032 -0.18353262829179912  -1.4110461473666474  0.78042702194209146,  0.56734055280685425 -0.040168251842260361   0.21807301044464111,  -0.71533888578414917 0.00043000769801437855  -0.010304568335413933    0.69870156049728394, 0.00074201112147420645 -0.00036719380295835435 -0.00023216076078824699,0.00014629773795604706    0.86277276277542114 0.00018471956718713045,  0.24509474635124207  0.026403151452541351  0.067300401628017426  0.026403151452541351   0.23029309511184692 -0.021150838583707809  0.067300401628017426 -0.021150838583707809   0.19080159068107605,   -0.99573958477794378    -0.35325706412248081     -1.0797786346010696     0.65912226106323857     0.46102646342038867   -0.065395809002666283 -5.5543649679634655e-06,0.00078730704262852669
IIWA_7,1714649603.3894439,-0.45852153822693825   1.1039541412349179   0.0168583289765602  -1.3021719029141503  -1.9275666062765227  -1.8292717899024111 -0.89811896661167723,  0.0010663937003421052   0.0017403166120243557   0.0013436242084009973    0.001943749577379836  7.7868482651339801e-06 -0.00010331233212669796  7.5714803512633983e-06,-0.029573493957519532    64.591199302673346   -2.5337189865112304   -16.234993686676024   -1.7308170700073242    1.7208236541748048  -0.25965880584716799,  24.885358637551686   3.4741301629403831   16.566253444200051  -7.0007778195980199 -0.18289123653517811  -1.4110736398811747  0.78037900197034049,  0.56734341382980347 -0.040169760584831238   0.21807125210762024,  -0.71533972024917603 0.00042845201096497476  -0.010306630283594131    0.69870072603225708, 0.00070840417174622416 -0.00035415193997323513 -0.00025563905364833772,0.00014590672799386084    0.86277258396148682 0.00018480299331713468,  0.24509415030479431  0.026403281837701797  0.067300744354724884  0.026403281837701797   0.23029275238513947 -0.021150840446352959  0.067300744354724884 -0.021150840446352959   0.19080211222171783,   -0.99574739456809169    -0.35325820489617854     -1.0797798279069681      0.6591380831313387     0.46102806028880394    -0.06540203848359738 -5.5553428524035553e-06,0.00076203624485060573
IIWA_7,1714649603.3944435,-0.45810250976264238   1.1040221516980466 0.017382399209222694  -1.3023395622964231  -1.9275699620210753    -1.82928377420572 -0.89811836730924532,   0.017614253532108385   0.0041126718147700761    0.022037708673220593  -0.0051513756290085784 -0.00012800030349509087 -0.00056202199805507544  3.0029281557125542e-05,-8.7550984611511229  61.727947387695309 -8.4665654945373525 -13.182733879089355 -1.6735927009582519  1.9868237419128418 -0.3090540542602539,  24.885168391648147   3.4734905448911966    16.56627479675042  -6.9999204049578445 -0.18233865283074838  -1.4108625061210003  0.78041264951615552,  0.56734609603881836 -0.040171124041080475   0.21806970238685608,  -0.71534049510955811 0.00042666430817916989  -0.010308521799743176    0.69869989156723022, 0.00067396013764664531 -0.00033780228113755584 -0.00026659935247153044,0.00014552814536727965    0.86277252435684204 0.00018487565102986991,  0.24509355425834656  0.026403449475765228  0.067301072180271149  0.026403449475765228   0.23029243946075439 -0.021150840446352959  0.067301072180271149 -0.021150840446352959   0.19080264866352081,   -0.99575645617822062    -0.35325908028571718     -1.0797817761982742     0.65915305459984808     0.46103047230250382   -0.065406871270212719 -5.5561155676286944e-06,0.0007321832817979157
IIWA_7,1714649603.3994417,-0.45767940671812468   1.1040301811943534 0.017928640141207115  -1.3024347169927435  -1.9275637301484483  -1.8292834745545041 -0.89811561099802406,   0.031015524606394833   0.0036113173040855985    0.039479804217953281  -0.0079272883560219214  0.00014687466228590268 -0.00043763154981044388  0.00013427587409624563, -16.754728576660156   62.043846073150632  -12.311162719726562  -13.744413070678711  -1.2791847419738769   1.7264974327087401 -0.22761864471435547,  24.852261884787683   3.4628004074293623   16.541074237655408  -6.9835177738935945 -0.17649086778450399   -1.400420253994398  0.77783877618759478,  0.56734412908554077 -0.040141597390174866   0.21806737780570984,  -0.71532666683197021 0.00041465149843133986  -0.010289490222930908    0.69871431589126587,  0.0004594324273057282   0.0009108914528042078 -0.00030639974283985794,0.00014521060802508146    0.86277234554290771 0.00018502336752135307,  0.24509260058403015  0.026401558890938759  0.067302271723747253  0.026401558890938759   0.23029647767543793 -0.021146791055798531  0.067302271723747253 -0.021146791055798531   0.19079993665218353,   -0.99565020772374169    -0.35316031135756987     -1.0795902194500329     0.65906167182649966     0.46105998828505079   -0.065276064690422686 -5.5309126167912837e-06,0.0009753652848303318
IIWA_7,1714649603.4044442,-0.45740143260056576   1.1040549885407598 0.018575368841207425  -1.3026625969973609  -1.9275650723066431  -1.8292967171311205 -0.89811800788050244,  0.035931384387472717   0.003881347699525244    0.05745299137437504  -0.015457030869512564 6.3813402036487117e-05 -0.0008798083045039618 1.1545400141645863e-05, -20.322367347717286   61.740045635223389  -13.427478103637695  -13.359689235687256  -1.7625105667114258   1.9945000305175782 -0.22761864471435547,  24.374513136306433   3.4413406217686955   16.132560489085922  -6.8599792887820845 -0.14460406882284335   -1.260498128143327  0.77112689224673492,0.56733989715576172 -0.0396924689412117 0.21810531616210938,  -0.71514159440994263 0.00018087618809659034  -0.010053881444036961    0.69890725612640381,0.00019022617198061198   0.018692851066589355  0.0012744932901114225,0.00014490856847260147    0.86277371644973755 0.00018514605471864343,  0.24505791068077087  0.026378253474831581   0.06732766330242157  0.026378253474831581   0.23035576939582825 -0.021082095801830292   0.06732766330242157 -0.021082095801830292   0.19078053534030914,   -0.99425789948526244     -0.3516078437737491     -1.0767738578012498     0.65766015620472018     0.46152884871375477   -0.063361262789385364 -5.1719037941211354e-06,0.017156384885311127
IIWA_7,1714649603.4094424,-0.45727847448201198   1.1040648156171131 0.019387899238657906    -1.30299126442121  -1.9275585529782879  -1.8293073830563455 -0.89811662961580874,  0.033663432252129546  0.0034981612137534096    0.07846360899751928  -0.025512321649577362 0.00031182385583554986 -0.0011304836526043103 6.4366907861625503e-05, -19.530604259490968   61.170083751678469  -11.486251430511475  -13.028668270111083  -1.2307641220092773   1.7181536407470703 -0.24931250381469727,  23.989840175085217   3.5203105188507924   15.763544245235888  -6.8247846066811846 -0.15048600230228715  -1.1358774625920773  0.78428288106015076,  0.56736677885055542 -0.039246343076229095   0.21819072961807251,   -0.71497112512588501 -9.7207957878708839e-05  -0.0098647996783256531     0.69908440113067627,0.0012092692777514458  0.032797727733850479 0.0044417232275009155,0.00014531018678098917    0.86279243230819702 0.00018563991761766374,  0.24500599503517151   0.02635878324508667   0.06736011803150177   0.02635878324508667   0.23041263222694397 -0.021014625206589699   0.06736011803150177 -0.021014625206589699   0.19077882170677185,   -0.99303220504509682    -0.35001726626227025     -1.0739989337658074     0.65631772434837643     0.46201569403603315   -0.061504720858529538 -4.8273918196173327e-06,0.030324365943670273
IIWA_7,1714649603.4144423,-0.45721274101905873   1.1040672123905084 0.020474988362487321  -1.3034011248891113  -1.9275483902751196  -1.8293085815521264 -0.89811722880915756,   0.029560084319833382   0.0028943999068150421     0.10625445215119202   -0.036804276035712187  0.00065596721140192453 -0.00095232675331708263  2.7525792336221798e-05, -16.464370635986327   61.434900947570803   -10.70535888671875  -12.672116432189942  -1.3663418579101563   1.7705526542663574 -0.26066006088256838,  23.731349447469903   3.5342780627419561   15.458321855945361  -6.7443367208936795 -0.13439253760724612  -1.0175605852257819  0.77704638294862916,   0.5673527717590332 -0.038828231394290924   0.21826545894145966,   -0.7147480845451355 -0.0003125268267467618 -0.0096719292923808098    0.69931507110595703,0.0003841971920337528  0.042958620935678482 0.0065527209080755711,0.00014398209168575704    0.86281043291091919 0.00017956191732082516, 0.24497121572494507 0.026328194886445999 0.067387551069259644 0.026328194886445999  0.23047254979610443 -0.02095048688352108 0.067387551069259644 -0.02095048688352108  0.19076074659824371,     -0.991363032382786    -0.34857964028667254     -1.0710527392161495     0.65499733805562954      0.4623241281924706   -0.059672421585332813 -4.4584460567875794e-06,0.039789088070392609
IIWA_7,1714649603.4194419,-0.45710422386381905   1.1040666731928526 0.021844665381753312  -1.3039162667809021  -1.9275535674452797  -1.8292977357489051 -0.89811662961580874,   0.027988753665454093   0.0022939520192177239     0.13979064249159329   -0.050049096500201937   0.0003176869627162963 -0.00032802927380149209  4.5988367822056051e-05,-15.624214557647704  60.809824825286867 -10.878792743682862 -12.885167160034179 -1.6102057075500489   1.831962963104248  -0.257990047454834,  23.569012761682153   3.5593126267946924    15.15843665725439   -6.666072816876512 -0.12544670345284095 -0.89731638966197047   0.7624511221186816,  0.56731915473937988 -0.038426835089921951   0.21836364269256592,   -0.71446454524993896 -0.00049144943477585912  -0.0095043005421757698     0.69960695505142212,-0.0010656641097739339   0.050415415316820145  0.0091880038380622864, 0.0001359625457553193    0.86282938718795776 0.00016451253031846136,  0.24494193494319916  0.026285156607627869    0.0674162358045578  0.026285156607627869   0.23053666949272156 -0.020885061472654343    0.0674162358045578 -0.020885061472654343   0.19073612987995148,   -0.98919110013895306    -0.34722119673258334     -1.0677784894701503     0.65369149013783101     0.46243123439015932    -0.05785830932669711 -4.0605625528655764e-06,0.046929322183132172
