DesiredFlux,0.81,HitTime,1714649875.9238222,DesiredPos,0.56083834171295166 0.30797445774078369  0.2199324369430542
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714649875.3313127,-0.46781332722561031   1.1066162570363998  0.01831722864526816  -1.2938962563869618  -1.9563516599753457  -1.8703531136709892 -0.89817109796018813, 0.00059797569402255551  0.00011433013822856065 -1.8501710604912567e-05   0.0030920512016708625  5.3015385249775213e-06 -1.4998765063766602e-06  0.00010889717757057307,-0.19357196044921876   64.729657024383542  -2.0363071632385252  -16.492943534851072  -1.3672222328186034   1.7855714797973632 -0.26967135620117189,-0.081172989278028879    1.1869337140022533   0.41880231761138292  -0.54346917478592549   0.97969016263747766   0.81954457694684657   0.60319887667982641,  0.55804151296615601 -0.045826021581888199   0.22163325548171997, -0.71066665649414062 -0.012206491082906723 0.0042839325033128262   0.70340996980667114,0.00086546433158218861 1.1252401236561127e-05 0.00043781357817351818, 0.00042382848914712667     0.88462775945663452 -0.00025622476823627949,  0.24413108825683594  0.029733488336205482  0.066524982452392578  0.029733488336205482   0.23033222556114197 -0.022295653820037842  0.066524982452392578 -0.022295653820037842   0.19082988798618317,   -1.1208688355086593   -0.37920244983524753    -1.1654890425489839    0.70068477388307571    0.52855037354504475   0.026430630448714965 1.0374191283801792e-05,0.00088813999900594354
IIWA_7,1714649875.336292,-0.46781374665004621   1.1066162570363998   0.0183171687586582  -1.2938818753102577  -1.9563515641567697  -1.8703529339020764  -0.8981706185400592, 0.00046160357778186076  9.1464110582848519e-05 -1.7196832882299295e-05   0.0030488840295027214  8.0739738584830239e-06  5.9908553095731619e-06  0.00010629454721363126,-0.21373570632934571   64.739066772460944  -2.0539146614074708   -16.50702953338623  -1.3769063568115234   1.7852377281188965 -0.27167386627197265,-0.080705936976922243    1.1848783932165221   0.41966939357406446  -0.54020374839158725   0.98199920347763003   0.82023236531627053   0.60369836737366012,  0.55804526805877686 -0.045828409492969513   0.22163553535938263, -0.71066898107528687   -0.0122105423361063 0.0042793205939233303   0.70340752601623535, 0.00084474595496430993 -8.6562169599346817e-05   0.0004415302537381649, 0.00042289347038604319     0.88462752103805542 -0.00025642057880759239,  0.24412950873374939  0.029734086245298386  0.066525593400001526  0.029734086245298386   0.23033164441585541 -0.022295624017715454  0.066525593400001526 -0.022295624017715454   0.19083158671855927,   -1.1208970363565385   -0.37920423618142962    -1.1655039948861301    0.70070352719753259     0.5285545065483177   0.026420683581385163 1.0371973502287801e-05,0.00087635742966085672
IIWA_7,1714649875.3412974,-0.46781392641895914   1.1066165566876158  0.01831722864526816  -1.2938677937756864  -1.9563515641567697  -1.8703529339020764 -0.89817019911562335, 0.00036209210570859368  8.5157337108777116e-05 -1.1362001907470197e-05   0.0030023686064531876  6.4591790867864198e-06    4.79268424765853e-06  0.00010181261520486823,-0.20432595825195313   64.756542018890386  -2.0486324119567869  -16.537842655181883  -1.3751456069946288   1.7849039764404298 -0.27134011459350588, 23.595510346670686  3.1296469676288869  15.143189302228516 -6.7483412286216513 0.98475959128063306 0.36532406700401227 0.60422919017007481,  0.55804920196533203 -0.045830614864826202   0.22163784503936768, -0.71067130565643311 -0.012214585207402706 0.0042746425606310368   0.70340514183044434,0.00083097553579136729 -0.0001575406058691442 0.00044566937140189111, 0.00042197268339805305     0.88462740182876587 -0.00025661167455837131, 0.24412791430950165 0.029734650626778603 0.066526226699352264 0.029734650626778603  0.23033107817173004 -0.02229556068778038 0.066526226699352264 -0.02229556068778038  0.19083330035209656,   -1.1209238137777078   -0.37920528869861414    -1.1655173833622356    0.70072141280164146    0.52855822462483104   0.026410539556209756 1.0369716640923343e-05,0.00087536347564309835
IIWA_7,1714649875.3462875,-0.46781362676774318   1.1066166765699188 0.018317348527571154  -1.2938546111947631  -1.9563515641567697  -1.8703529339020764  -0.8981697796911875, 0.00030165973320493239  7.2921161805963731e-05 -4.2943094062014602e-06   0.0029291981220949475  5.1673432694291363e-06  3.8341473981268242e-06  9.8227069597857811e-05,-0.18281796264648437   64.774017265319827  -2.0283837890625001  -16.561612777709961  -1.3698633575439454   1.7849039764404298 -0.27134011459350588, 23.597136393689023  3.1300551672231354  15.143888989056657 -6.7488106696878116 0.98494346412465128  0.3649555452312454 0.60471067167148251,  0.55805289745330811 -0.045832592993974686   0.22163999080657959, -0.71067345142364502 -0.012218640185892582 0.0042702946811914444   0.70340293645858765, 0.00081453705206513405 -0.00020508872694335878  0.00044247022015042603, 0.00042113507515750825     0.88462716341018677 -0.00025679040118120611,  0.24412634968757629  0.029735201969742775  0.066526837646961212  0.029735201969742775   0.23033055663108826 -0.022295482456684113  0.066526837646961212 -0.022295482456684113   0.19083493947982788,   -1.1209496270723207    -0.3792057384792713    -1.1655294690955387    0.70073846102935988    0.52856232486320209   0.026401854551494353 1.0367767089292101e-05,0.00086928519885987043
IIWA_7,1714649875.3512669,-0.46778672219007444   1.1066210508013565 0.018351383647898904  -1.2938665953889887  -1.9563516599753457  -1.8703574879024272 -0.89816930027105857,  0.0013175108933135633  0.00023330618695403195   0.0013579693655850177   0.0018639907286497181  3.0113157704230173e-07 -0.00017909269611431577  9.7758460835459048e-05,-0.33740668106079102   64.744443771362299  -2.5345993614196778  -16.238515186309815  -1.4041979789733887   1.8055965805053711 -0.27100636291503905, 23.597130941827544  3.1300646666041096  15.143881985397126 -6.7488237677408849 0.98493422716381462 0.36495052929401062 0.60471067167148251,  0.55805289745330811 -0.045832592993974686   0.22163999080657959, -0.71067345142364502 -0.012218640185892582 0.0042702946811914444   0.70340293645858765, 0.00081453705206513405 -0.00020508872694335878  0.00044247022015042603, 0.00042025334550999105     0.88462704420089722 -0.00025696220109239221,  0.24412634968757629  0.029735201969742775  0.066526837646961212  0.029735201969742775   0.23033055663108826 -0.022295482456684113  0.066526837646961212 -0.022295482456684113   0.19083493947982788,   -1.1209496270723207    -0.3792057384792713    -1.1655294690955387    0.70073846102935988    0.52856232486320209   0.026401854551494353 1.0367767089292101e-05,0.00086928519885987043
IIWA_7,1714649875.3562667,-0.46733521652997445   1.1066552058039874 0.018896426193185677  -1.2940335356956099  -1.9563525228661278  -1.8703719289748242 -0.89816708326657624,   0.019114235118650586    0.001552845054796032     0.02288807730393894  -0.0051864196819250931 -3.4274726024790923e-05 -0.00072091705277181183  0.00016688694796156627, -9.8775469818115234   62.503579479217528  -8.8891454505920411  -13.378177108764648  -1.3865904808044434   2.0672578964233397 -0.32106911468505861, 23.598035238520538  3.1302559768494964  15.144270030181486 -6.7489603718596429 0.98522586406047696 0.36476335065932164 0.60512882567005777,  0.55805647373199463 -0.045834168791770935   0.22164210677146912, -0.71067547798156738 -0.012222661636769772 0.0042663486674427986   0.70340085029602051,0.00079353578621521592 -0.0002270983241032809 0.00043824128806591034,  0.0004194249922875315     0.88462704420089722 -0.00025711904163472354,  0.24412484467029572  0.029735729098320007  0.066527433693408966  0.029735729098320007   0.23033009469509125 -0.022295370697975159  0.066527433693408966 -0.022295370697975159   0.19083648920059204,  -1.1209739669313379  -0.37920508538302755   -1.1655398413683571   0.70075348293929807   0.52856668036582732  0.026394758663172979 1.036611330107462e-05,0.00085568428039550781
IIWA_7,1714649875.361279,-0.46687130714212971   1.1066474160722866 0.019347332659936881  -1.2941430714686342  -1.9563445653864693  -1.8703706107058236 -0.89816133077044469,   0.033847763608710106  0.00093068677580517229    0.036346720513199336  -0.0085305666665122827  0.00029087940552168694 -0.00052400288219235029   0.0003636094036312637, -18.180977535247802   62.810068416595456  -12.397439460754395  -13.966267547607421 -0.90590578079223627   1.7521963119506836 -0.23395992660522461, 23.567024223379551  3.1231468712145558  15.118895269131727 -6.7347864529372821 0.98963197969157091 0.37551367736546354 0.60341204498103651,  0.55805563926696777 -0.045805580914020538   0.22164510190486908, -0.71066188812255859 -0.012238291092216969 0.0042825890704989433    0.7034142017364502,0.00060261704493314028 0.00096177920931950212 0.00047042069490998983, 0.00041942490497604012     0.88462680578231812 -0.00025711898342706263,  0.24412240087985992  0.029734369367361069  0.066529177129268646  0.029734369367361069   0.23033434152603149 -0.022291306406259537  0.066529177129268646 -0.022291306406259537   0.19083502888679504,   -1.1208812277301305    -0.3791023099593005     -1.165357393010602    0.70066123054246532    0.52859639875801889    0.02652464441155189 1.0393287119825345e-05,0.0011249552480876446
IIWA_7,1714649875.366272,-0.46658452467508521   1.1066615573843845 0.019828619200312925   -1.294380598780692   -1.956347058065707  -1.8703773218240467 -0.89815959307700821,   0.038549509568748072   0.0013102019045634033    0.048328838025601208   -0.016325545815523392  0.00013299635490988151 -0.00068764703467972318  0.00036039526036407346,  -20.56433229827881   62.531808723449707  -12.375430088043213  -13.250522747039795  -1.4799102210998536   2.0065150909423828 -0.23929995346069335, 23.076600558075018  3.1341553974239034  14.691262541953387 -6.6264465054572934  1.0075645537069486 0.51947986966960469  0.6036995626815943,  0.55806267261505127 -0.045341510325670242   0.22170543670654297,-0.71046936511993408 -0.01250393595546484 0.004515279084444046  0.70360255241394043,0.00075427070260047913   0.019331559538841248  0.0027920624706894159,0.00041862795478664339    0.88462817668914795 -0.0002572787634562701,  0.24407516419887543   0.02971227839589119  0.066560328006744385   0.02971227839589119   0.23040181398391724 -0.022223057225346565  0.066560328006744385 -0.022223057225346565   0.19082024693489075,  -1.1193908326951885  -0.37739112099011152   -1.1623732532415332   0.69914168181828273   0.52904577468915193  0.028499742199095124 1.080212452819751e-05,0.017897279933094978
IIWA_7,1714649875.3712649, -0.4664393357524334   1.1066528089215091 0.020506386944813777  -1.2947050117463232  -1.9563434148654262  -1.8703857108581796 -0.89815749584574578,   0.036647164561070728  0.00069822300863220084    0.065773780200515081   -0.026036955277668226  0.00025212509515948805 -0.00088567899306042858  0.00037220545878855204,  -18.94182287979126   61.710472141265868  -10.121670322418213  -13.234675998687743 -0.80290191650390619   1.7144823722839355 -0.26499883270263674, 22.708804748094671  3.1807446940420068  14.378271973648925 -6.5776700773456644  1.0085736582747571 0.62810740239890595 0.61375205634928165,  0.55808717012405396 -0.044912900775671005   0.22177760303020477, -0.71032160520553589 -0.012770188041031361 0.0047143572010099888   0.70374560356140137,0.0015642087673768401  0.032608821988105774 0.0051244520582258701, 0.00041906832484528422     0.88465011119842529 -0.00025792323867790401,  0.24402348697185516  0.029697045683860779  0.066590838134288788  0.029697045683860779   0.23046089708805084 -0.022159812971949577  0.066590838134288788 -0.022159812971949577   0.19081665575504303,   -1.1182416916364346   -0.37578598600163104    -1.1597753111169951    0.69774635711894462    0.52950252625727501   0.030256659536931352 1.1157101909020639e-05,0.030256850644946098
IIWA_7,1714649875.3762689,-0.46632374794114467    1.106649393421246   0.0214971228765422  -1.2951214635592279  -1.9563375664416358  -1.8703886469383137 -0.89815737596344281,   0.033941244100405818  0.00042195839638336824    0.092248461429548984   -0.037487636738319258  0.00043563702774225652 -0.00082598639981356259  0.00030255965914978368, -15.969686737060547   61.367688461303707  -10.553054027557373  -13.125509510040283  -1.1832238769531249   1.7798977012634278 -0.27501138305664063, 22.372537527355792  3.1598268635083606   13.92521672085371 -6.4080151237255754  1.0467208602161913  0.8210109780669389 0.58690268049957861,  0.55803108215332031 -0.044196460396051407   0.22190527617931366, -0.70989686250686646 -0.013100981712341309 0.0050643938593566418   0.70416557788848877,-0.0011119622504338622   0.046650394797325134   0.008038349449634552, 0.00042149584623984993     0.88466924428939819 -0.00026923668337985873,  0.24397027492523193  0.029636489227414131  0.066638387739658356  0.029636489227414131   0.23057878017425537 -0.022049963474273682  0.066638387739658356 -0.022049963474273682   0.19077031314373016,  -1.1148186619083233  -0.37323701319902369   -1.1543953543737828   0.69526765846728011   0.52985106531444615    0.0333945194324059 1.184889342198403e-05,0.043352469801902771
