DesiredFlux,1,HitTime,1714657015.7748585,DesiredPos,0.56534945964813232 0.31557512283325195 0.21998420357704163
RobotName,RosTime,JointPosition,JointVelocity,JointEffort,TorqueCmd,EEF_Position,EEF_Orientation,EEF_Velocity,EEF_DesiredVelocity,Inertia,DirGrad,HittingFlux
IIWA_7,1714657015.2145147,-0.46001045832236204   1.1254959652660961 0.036602159754562005  -1.2665125420962478  -1.9533491801860494  -1.8683579799155632 -0.88282481861863149,-1.4533380293917669e-05   0.0020140523017601695   0.0023016624078694616   0.0010853500153213216  5.2611178049922941e-06  7.3241129986285745e-06  5.8192933608763562e-05,-0.045704490661621092    65.377585391998295   -2.7441285896301268   -16.708635387420653   -1.2941511154174805    1.7995890502929688  -0.24630873870849609,-0.53976374477329037  0.61132841642351199 -0.66715541911130039 -0.75629614387096311  0.98340583475628052  0.80048928636999983  0.55579694915728428, 0.56571835279464722 -0.03783923014998436  0.21988339722156525, -0.70669054985046387 -0.016583953052759171 0.0080621484667062759   0.70728248357772827, 0.00023369291739072651  0.00080299342516809702 -0.00037093460559844971,-7.5938201007375028e-06      1.0924528837203979  1.9077217530139023e-06,  0.24140897393226624  0.029034024104475975  0.068325027823448181  0.029034024104475975   0.23113341629505157 -0.020429743453860283  0.068325027823448181 -0.020429743453860283   0.19187676906585693,  -1.0868739605012223   -0.3397212536020433   -1.0798901932433935   0.70368482386484743   0.53581969690874587  0.054777388174720443 1.644210101403587e-05,0.00083745340816676617
IIWA_7,1714657015.2195144,-0.46001051820897199   1.1255070507248401 0.036610548788694797   -1.266507628558071  -1.9533491801860494  -1.8683582196801691 -0.88282463884971851,-1.4022168633087043e-05   0.0020546601911707167   0.0021768912916072234   0.0010648215393281053  4.2088942439938356e-06 -3.7312938389811988e-06  5.3745103406126233e-05,-0.04839299011230469   65.397749137878421  -2.7362052154541017  -16.708635387420653  -1.2959118652343751   1.8012578086853028 -0.24597498703002929,29.552087082042423 3.4117081942675975 17.474857121973706 -7.767891616913273  1.348997378267264 1.1343973828162317 0.5554966848119256,  0.56571924686431885 -0.037836819887161255   0.21988022327423096, -0.70668739080429077 -0.016584357246756554 0.0080636665225028992   0.70728558301925659, 0.00022372974490281194  0.00073867436731234193 -0.00042384371045045555,-7.6474434536066838e-06      1.0924532413482666  1.9689407508849399e-06,  0.24140900373458862  0.029033353552222252  0.068325348198413849  0.029033353552222252    0.2311338484287262 -0.020429238677024841  0.068325348198413849 -0.020429238677024841   0.19187609851360321,   -1.0868448446617052   -0.33971179338987412    -1.0798526578792433     0.7036854193982478     0.5358183054910981   0.054788974584774053 1.6445495631955964e-05,0.0008060140535235405
IIWA_7,1714657015.2245114,-0.46001051820897199   1.1255186154946299 0.036618578175918591  -1.2665027150198944  -1.9533492760046254  -1.8683580997978662 -0.88282451896741554,-1.1217734906469634e-05   0.0021063189445288504   0.0020626885222375536   0.0010483987585246505 -4.6562764330593882e-07  1.8102570477570704e-06  4.7791374843843021e-05,-0.055114238739013673    65.395060638427736   -2.7450089645385742   -16.717439136505128   -1.2941511154174805    1.8009240570068359  -0.24697624206542967,  29.55296360616094  3.4095167099179813  17.475921783826553 -7.7667335680379921  1.3495635701519317  1.1344546876664963 0.55514442278426557,  0.56571990251541138 -0.037834063172340393   0.21987691521644592, -0.70668387413024902 -0.016584828495979309 0.0080656604841351509   0.70728904008865356, 0.00020401275833137333  0.00070128153311088681 -0.00047117157373577356,-7.7003924161545001e-06      1.0924533605575562    2.03601166504086e-06, 0.24140912294387817 0.029032662510871887 0.068325638771057129 0.029032662510871887  0.23113434016704559 -0.02042870968580246 0.068325638771057129 -0.02042870968580246  0.19187530875205994,   -1.0868142756539356    -0.3397015916384305    -1.0798133381637598    0.70368459529390748    0.53581746835273947   0.054803142576886898 1.6449473783097801e-05,0.00079559319419786334
IIWA_7,1714657015.2295105,-0.45998277467334847   1.1255371311472491 0.036657466947813064  -1.2665244664038635  -1.9533484132883761  -1.8683547441842132 -0.88282421942528266, 0.0011007672370154044  0.0024256812603879658  0.0032057016935689532 -3.133635194400115e-05 3.4136147858474779e-05 0.00013567275175598389 5.0214785190095618e-05,-0.26078444671630857   65.278110912323001  -3.1816749191284179  -16.365289173126222  -1.3328876113891601   1.7915790100097657 -0.24697624206542967,29.553743210415476 3.4070901946103285 17.477008214267446 -7.765508381415688 1.3501999057720231 1.1343527882864017 0.5547561201497212,  0.56572049856185913 -0.037831366062164307   0.21987321972846985,  -0.7066805362701416 -0.016585018485784531 0.0080677550286054611   0.70729231834411621, 0.00018683033704292029  0.00066889671143144369 -0.00052498164586722851,-7.7426775533240288e-06      1.0924535989761353  2.1158186882530572e-06, 0.24140931665897369 0.029031945392489433 0.068325906991958618 0.029031945392489433  0.23113483190536499 -0.02042820118367672 0.068325906991958618 -0.02042820118367672  0.19187444448471069,   -1.0867828508036581   -0.33969165691072334    -1.0797739169277065    0.70368370817686099    0.53581629767052164    0.05481642918780949 1.6453234330526811e-05,0.00079691607970744371
IIWA_7,1714657015.2345116,-0.45953150877785442   1.1256055610348135 0.037215812065409297  -1.2667087238673227   -1.953346399876551  -1.8683428798722903 -0.88282254161845608,  0.018931249609374173  0.0046777405108860458   0.024898366058704487 -0.0073953676199224379  0.0001078453912884376 0.00058311067832096674  0.0001072841012154065, -9.4420100708007819   62.460563488006592  -9.5318191337585443  -13.298943367004394  -1.3434521102905272   2.0622516212463378 -0.27334262466430664,  29.52285247868663  3.3926514120294242  17.455560537171788 -7.7484533185532074  1.3559958286425235  1.1423511657721928 0.55152558065002855,  0.56571686267852783 -0.037798501551151276   0.21986706554889679, -0.70666348934173584 -0.016592906787991524 0.0080896513536572456   0.70730894804000854, 4.5167071220930666e-06   0.0018496966222301126 -0.00066604168387129903,-7.7962977229617536e-06      1.0924538373947144  2.1922373889537994e-06,  0.24140951037406921  0.029028613120317459  0.068327002227306366  0.029028613120317459   0.23113980889320374 -0.020423680543899536  0.068327002227306366 -0.020423680543899536   0.19187012314796448,   -1.0866112902743197   -0.33958335798978112    -1.0795324750718649    0.70357117581476558    0.53582891662617982   0.054946708933911736 1.6481696896164522e-05,0.0017995808739215136
IIWA_7,1714657015.2395146,-0.45907035570123089    1.125618384186994 0.037889744885211206  -1.2668439059447083  -1.9533408392575542  -1.8683196304504077 -0.88281792762241229,  0.033591122752440652  0.0042551184959304803   0.046876005639039951  -0.011323577191362327 0.00030870107290330268  0.0013964654179602688 0.00027038712272391108, -19.178410831451416   62.694462940216063  -14.406455001831054  -13.463573474884033  -1.0916648864746095   1.7962515335083007 -0.19557848358154298, 29.026616799440689  3.3778129417692657  17.034188070203008 -7.6248828311239398  1.3804317205730923  1.2790846290883806 0.54642144526466319,  0.56571507453918457 -0.037324611097574234   0.21990837156772614, -0.70646208524703979 -0.016836782917380333 0.0083303553983569145   0.70750159025192261,-7.7061740739736706e-05    0.020434293895959854   0.0011225381167605519,-7.8415487223537639e-06      1.0924539566040039  2.2710839857609244e-06,  0.24136950075626373  0.028998227789998055  0.068355061113834381  0.028998227789998055    0.2312062680721283 -0.020353512838482857  0.068355061113834381 -0.020353512838482857   0.19185076653957367,    -1.084848509025349   -0.33792171626689793    -1.0763863692186959    0.70204792465311527    0.53619477557731443   0.056865838334196894 1.6887319098657372e-05,0.018732791766524315
IIWA_7,1714657015.2445104,-0.45881712904346833   1.1256443899200981 0.038614910318042317  -1.2671119331036107  -1.9533423732274338  -1.8683179526435811 -0.88281583039114986,     0.037001964512455  0.0044443241209073062   0.066507421824476415  -0.019779948109185673 0.00018560206314009985   0.001184284607431545 0.00030019894867642214, -22.622378627777099   62.257581779479978   -14.98398094177246  -12.882526035308837  -1.2712613677978515   2.0789392051696778 -0.21326732254028319, 28.592265602705318  3.4686583063616632  16.601656759650446 -7.5789301781910057  1.3695441792429055  1.4172521842414567 0.56024828742972155,  0.56574207544326782 -0.036815207451581955    0.2200082540512085, -0.70624607801437378 -0.017146816477179527 0.0085388384759426117   0.70770722627639771,0.00099533528555184603   0.036721415817737579  0.0049008163623511791,-7.8872362792026252e-06      1.0924559831619263  2.3592019715579227e-06,  0.24130736291408539  0.028966713696718216  0.068393245339393616  0.028966713696718216   0.23127685487270355 -0.020273279398679733  0.068393245339393616 -0.020273279398679733   0.19184786081314087,  -1.0830063157509784  -0.33607956744940992   -1.0729224135781479   0.70047175755139079   0.53658230013819974  0.058905727222224868 1.732182397518045e-05,0.033922202885150909
IIWA_7,1714657015.2495096,-0.45875756750108243   1.1256519399962759 0.039483047559959808  -1.2674821258373559  -1.9533371000641646  -1.8683168141434934 -0.88281439234892922,  0.031984033305399992  0.0038574623438382099   0.087931427136280771  -0.030631667837155225 0.00035940818127801124 0.00099296768945566095 0.00029768084776658364, -20.374793087005614   61.938994594573977  -11.973098754882812  -12.643944435119629 -0.98249839782714843   1.7415162582397461 -0.23496118164062499, 28.352215710773361  3.4873064630397508  16.287253904887219 -7.4965405655932695  1.3804677629267919  1.5379622426354453 0.55183780566435814,  0.56572288274765015 -0.036387775093317032   0.22009222209453583, -0.70598971843719482 -0.017360635101795197 0.0087283337488770485   0.70795547962188721,1.1007060720658046e-06   0.046469293534755707  0.0072928899899125099,-7.7765753303538077e-06      1.0924825668334961  2.4793826014501974e-06,  0.24127036333084106  0.028926517814397812  0.068423286080360413  0.028926517814397812   0.23134367167949677 -0.020204609259963036  0.068423286080360413 -0.020204609259963036   0.19182804226875305,   -1.0808775365065415   -0.33458491673155066    -1.0696324789716272    0.69907115996148406    0.53675195330793457   0.060718805381831942 1.7726739187651219e-05,0.043053977191448212
IIWA_7,1714657015.2545099,-0.45874804007594505   1.1256554753788421 0.040715145728444993   -1.267947772918637  -1.9533353742826003   -1.868310821991839 -0.88281415258432328,  0.025968323649815151  0.0032273851777207844    0.11962906844843202  -0.043131217520970655 0.00035655780759525854  0.0010340602177413873 0.00024773526245115099, -16.593418609619139   62.198434791564942  -10.669263515472412  -12.633379936218262  -1.0458853912353516   1.8186128959655761 -0.24163621520996093, 28.239739877790285  3.5161044397970658  16.000519248919453 -7.4224830568704805  1.3830518662658613  1.6554553445749844 0.53674669218728055,   0.5656810998916626 -0.036008600145578384   0.22019833326339722, -0.70567911863327026 -0.017522437497973442 0.0088751548901200294   0.70825928449630737,-0.001697458908893168  0.052334330976009369  0.010100360959768295,-7.4923514148395043e-06      1.0925108194351196  1.5539850437562563e-06,  0.24124333262443542  0.028874952346086502  0.068453006446361542  0.028874952346086502   0.23141063749790192 -0.020139081403613091  0.068453006446361542 -0.020139081403613091   0.19180184602737427,   -1.0783255372830425   -0.33327608199851255    -1.0662089326061164      0.697772596739199    0.53669946240386679   0.062390277308033149 1.8122424449984464e-05,0.048809129744768143
IIWA_7,1714657015.2595108,-0.45868302557956053   1.1256549959587132 0.042278667632000659  -1.2685447670435217  -1.9533394969248263  -1.8682922464526099 -0.88281289431101562,  0.023375238775232881  0.0025627313370194548    0.15824413090097228  -0.058384739012163546 0.00012034055703439027  0.0015702697433537278 0.00024851914226725136, -15.851392761230469   61.535719676971432  -11.438711185455322  -12.955597152709961  -1.2774239921569823   1.7982540435791015 -0.24363872528076172,  28.06382849192217  3.5931812571249591  15.567147599509534 -7.3480493254057198  1.3718470718327032  1.8151303208018863 0.52501240629742529,  0.56563526391983032 -0.035521388053894043   0.22036144137382507, -0.70525163412094116 -0.017746828496456146 0.0090357745066285133   0.70867735147476196,-0.0032324562780559063   0.061341971158981323   0.014645420014858246,-8.4779721873928793e-06       1.092537522315979 -5.1933540134996292e-07,  0.24120126664638519  0.028803523629903793  0.068496294319629669  0.028803523629903793   0.23149889707565308 -0.020050588995218277  0.068496294319629669 -0.020050588995218277   0.19177304208278656,   -1.0748369099102817   -0.33156515393883979    -1.0615660627246726    0.69613534546864031    0.53657217857150385   0.064560862409912545 1.8644081833940618e-05,0.057796861976385117
